Hybridization REF	TCGA-AA-A00W-01A-01R-A002-07
ANKRA2	0.854166666666667
C11orf42	0.0105
TAS2R60	0.2985
PANX1	0.472875
C12orf42	-0.244166666666667
RCBTB1	0.16675
FGL2	3.30775
CEP70	0.389
WASL	-0.00449999999999998
SEPT14	-0.071
DCHS2	0.269
CYBA	0.3045
ARHGAP11A	-1.0895
MPZL2	0.8455
KIAA1881	0.214333333333333
ANXA1	-1.5209
AFF1	0.5691875
FRMD3	0.2695
SUSD5	-1.71425
C9orf32	-0.59575
RASSF7	1.0235
KIR2DL2	0.514
SENP1	-0.0876666666666667
C20orf195	-1.1
C3orf44	-0.0395
KRTAP9-3	0.53675
ZFP28	0.747
PLCB2	-0.1271
TXNDC15	-0.86525
CALR3	-0.709
HLTF	-0.582571428571429
C17orf67	-1.3985
NDUFA6	-0.318625
PKP1	0.256
HMG20B	-1.275
GPR180	0.4708
BAI3	-1.62775
NOSIP	-0.0389
TRIM23	-0.507875
ARL1	0.151214285714286
CDK5RAP2	-0.53525
SSH2	-0.375833333333333
KCTD15	-2.71791666666667
FTHL17	-0.3365
AK3	1.24933333333333
RAB3C	-1.199
PAX4	-0.3015
KDELC2	0.05425
BIK	1.663
KIAA1553	0.55225
CEP135	-0.5495
NANOG	-4.106
TRIM22	1.3275
CDH13	-2.09583333333333
B4GALNT4	-3.8335
MDGA2	-0.62
SAMD3	1.26783333333333
OR1E1	0.8215
TAS2R10	-1.072
FASN	-1.10625
GPR116	2.0343
ZNF219	-0.352
CD33	-3.654
RAB3GAP1	0.56625
H1FOO	0.84
NXPH3	0.066
CROCC	-0.681
GPX7	-2.064625
BASP1	-3.0734
STAM	0.019
TBK1	0.35075
STX2	-0.887666666666667
RPL29	0.0705
NR1H3	0.17825
MPPE1	-0.013125
PHACTR3	2.40925
SLC44A2	0.666125
C10orf109	0.14375
CLCN6	-1.36
C16orf59	-1.93375
SQSTM1	0.727166666666667
AADAC	2.29775
LRRC8C	-2.03125
BIN3	0.0077
HPS6	0.5715
MAN2A2	-0.3801
GABPB2	-1.238375
KCND1	-0.91425
PTPN11	0.394857142857143
ZNF274	-0.0205
ATF3	2.07425
C7orf26	-0.40225
C1QL3	0.5265
WDR54	-2.712
FLJ40869	0.17
ZNF397	-0.889625
MLL	-0.0912
TTLL6	1.226375
ANKRD15	0.469666666666667
KIAA1958	0.01575
C1orf218	0.636875
ZDHHC16	-0.124
DDX47	-0.51425
EVI5L	-0.0688333333333333
GDF6	-6.78025
TAPBPL	1.25733333333333
BTG1	0.3395
DPP4	2.058875
KLHL23	0.88025
APOC3	-4.245
BTBD12	-0.3475
CNOT4	0.024
HIST1H3I	-0.177333333333333
OR5H1	0.18675
APEH	0.133625
TRY1	0.100166666666667
SLC26A8	-0.127166666666667
KCNA2	0.8125
TMEM159	0.82675
C6orf81	-1.09616666666667
PCYT1A	1.01266666666667
C6orf157	1.0255
BRMS1	-0.544
CHST1	-0.0696666666666667
LGALS1	-3.346125
TAF1B	-0.485
FLJ40504	0.37075
GPR173	0.196
COL15A1	-0.19725
CASP10	1.49592857142857
PCMT1	-0.531071428571429
HDAC5	-0.6091
LOC641367	0.65325
EVC2	-2.136
SGPL1	0.550166666666667
GON4L	0.179142857142857
AFG3L2	0.0915
C5orf15	-0.508
UBXD1	-0.048
LILRB4	0.207
GSTA4	-0.123666666666667
ADIG	-0.361
GRIPAP1	0.299125
HIST1H3B	-1.18016666666667
BTRC	0.296666666666667
USP49	-1.5625
IQCH	0.643125
ACBD6	-0.07525
YEATS2	-0.74025
CABP5	-0.0735
TRIM3	0.5655
HNRPM	-0.27125
FGG	-4.6968
C18orf16	-0.0765
CLEC2B	-3.21875
PQBP1	-0.483666666666667
JTB	0.667666666666667
REST	0.607333333333333
SLC8A3	-1.02316666666667
TMEM16H	-1.10125
MRPL47	0.436125
EVI1	3.6945
MUC1	0.608875
TEAD3	0.494625
STOML1	-0.4715
USP24	0.3059
PNMA5	-1.2125
MAEL	0.876833333333333
LBP	1.1268
HSD17B4	1.346125
SEC31B	-0.8345
IDH2	0.7193
SFRS16	-0.644125
AICDA	1.0205
RNF180	-2.4335
C1orf56	-1.05016666666667
FLJ10324	-3.08666666666667
GPR148	0.1575
MEF2A	0.0380833333333333
ASF1B	-0.644166666666667
HTN3	-0.2415
RNF215	-0.39575
SLC4A3	-2.10983333333333
ADAMTS9	1.2021
C9orf66	-1.14683333333333
FOXD3	0.4415
GSDM1	0.828
IFITM5	-0.087
PODXL2	-0.168666666666667
C1orf176	-0.29925
RPS3	-0.53125
hCG_2004593	-0.450375
COL21A1	-1.664
NTNG2	-0.958666666666667
RAI14	-1.5635
P76	-0.04575
LRFN3	-0.175125
FAM14B	-1.087375
FKBP14	-1.80825
TNNI3	-2.57633333333333
HOXB3	0.945
SGCB	-1.362
PPAPDC3	-3.0695
FRAT1	0.871333333333333
MORN1	-0.654
ARHGEF2	0.213
BNIP2	-0.77625
DHX30	-0.4875
EEFSEC	0.131
FGF20	0.905
FLJ38973	0.450357142857143
PLCH2	0.0898333333333333
CCNG2	-0.024
PSPN	-0.0795
WDR88	-0.5955
HOXB13	2.831875
MTMR8	1.3805
SPAM1	-0.479
PPP2R1B	0.150125
TANC1	0.52325
CNN3	0.2909
CHGA	1.380125
C9orf128	2.85525
CACNA1B	0.0558333333333333
MMAB	-1.0079
RHOA	0.0368333333333333
RAPGEFL1	1.91725
SLC1A5	-0.0685
CALCA	1.718125
SYCP1	0.3865
CXCL11	4.8615
GFI1B	-1.83033333333333
PSCD1	0.3385
C11orf58	-0.106833333333333
MGC45438	-1.942
NUDT18	0.242
ASB3	-0.7735
ZP1	-3.8375
LPPR2	-1.2162
ZNF527	0.444833333333333
ZNF771	-0.08875
TTBK2	-0.6085
TRIM55	-0.238
GJB3	1.35966666666667
PRSS35	-0.1625
SCRG1	-3.12475
ZDHHC24	-0.16975
DUSP26	-1.271
C1orf51	-2.192375
DNAJC3	1.11233333333333
LITAF	0.50175
ZNF410	-0.7845
AFP	-5.0455
ZW10	-0.147
PHOX2B	0.945
VILL	1.98825
ELOVL7	1.513875
LOC644186	0.571
PPP3CC	0.03475
CHST13	-2.9085
WDR40B	0.295583333333333
MEA1	-0.597
HILS1	-2.23625
DLX6	-1.47866666666667
NKG7	1.14466666666667
EMP1	-1.089
ACTR6	0.129
CHCHD7	0.450285714285714
COG2	0.6652
TCEA2	-2.1419
TARS	0.145
FLJ20294	0.432
ZNF92	-0.46
TRAPPC2L	-0.2046
ARHGAP28	-1.38225
CCDC109B	-0.30325
LGTN	-0.297
INGX	0.562166666666667
LOC124446	0.5975
RPS2	-0.6875
C17orf75	-0.534833333333333
NBPF1	-0.5125
SLC2A8	1.039
SNRPE	-0.5375
CARD6	0.5245
IL13RA2	2.0125
CUEDC2	-0.145625
C4orf19	3.5505
AOC3	-0.834375
MTHFD2	-0.00833333333333333
OR5M9	0.197
C4orf38	-0.984
SS18L2	0.2145
OAS3	1.34366666666667
LARGE	-0.60175
LRIG3	2.14966666666667
LIMA1	1.69675
STARD3	-0.626166666666667
VPS39	-0.022125
CTAGE6	0.824
ODAM	-2.00875
MORF4L2	-0.10075
GSTO2	1.9635
MTFMT	0.1315
PRKAB2	-0.860571428571429
ZNF76	-0.233333333333333
HSPB2	1.0295
CRB2	1.0425
KLRK1	-2.9545
LYST	-0.548625
UBE2M	-0.2575
SLC16A9	1.483
ZNF281	-0.7065
ST8SIA1	-2.53125
C9orf105	0.0345
ANKRD46	0.5255
FAM108A3	-0.5855
C20orf91	0.20125
ZYX	0.137666666666667
RSPH1	2.3855
ZSCAN5	-0.4455
RIMS3	-0.171666666666667
KRT76	-0.056
CEACAM4	0.633333333333333
SIRPB1	-0.058125
CFHR4	0.181
SOX3	-1.35683333333333
GATAD1	-0.09675
C21orf57	0.09625
TMC8	-0.854333333333333
AVIL	0.783
LMOD1	0.94675
HIGD1A	0.846125
NEU3	0.149333333333333
DES	0.1835
BZW1	-0.5868
ZNF221	-0.341
CCDC27	0.381
GDAP1	-1.39025
RBBP4	-0.4305
MGC40499	-1.261
PHKA1	0.113375
PRKAR1A	-0.201
HSD3B1	2.6225
RAD52	-0.526333333333333
CD207	0.617
LOC389791	0.581
RSPO1	0.0148333333333333
TMEPAI	2.244625
MFSD2	1.394375
ETV4	0.6725
SCGN	-1.3845
LOC391356	-0.412
MPP1	-0.58675
STARD3NL	0.35325
TFAP2D	1.077
CD2AP	1.306875
CCL20	4.47733333333333
CCDC86	-0.7775
ZFP30	0.61875
CTBP1	0.104416666666667
MAK10	0.565666666666667
STXBP5	0.249
LOR	0.0533
MAP6D1	-1.2765
ARMC7	0.2195
TMEM150	-0.102
NSL1	-1.324
KIF5A	-0.877142857142857
ASCC2	-0.3135
PSENEN	0.655333333333333
OPTC	-0.3565
FCRL2	0.07
KBTBD11	2.574875
PCK1	1.69375
CENTD3	-0.85675
MEGF8	-0.52525
ALPPL2	-0.13775
OBFC2B	-0.0578333333333333
ZFYVE20	-0.415375
GALC	0.783833333333333
CTRB2	-0.31875
C20orf71	0.041
TBKBP1	-0.290833333333333
CAMLG	0.765125
TREML4	-0.824
RSAD1	-0.13875
TUBA3D	-0.6542
KIAA1833	0.56175
PNPLA1	2.013
LRRC34	0.530666666666667
CDH26	1.69733333333333
ZNF167	-1.46216666666667
ZBTB26	0.159
VWF	2.6337
VTN	-1.04666666666667
BAD	0.095
PDS5B	0.600416666666667
ZNF644	0.764666666666667
SH3GLB2	-0.61175
SMPDL3A	1.4767
NRG2	-1.335625
IL15	1.65583333333333
GABARAPL1	-0.6815
LAT2	-0.2756
SLCO1A2	-2.18883333333333
LIG4	1.2735
GSDMDC1	-0.5635
BMP4	0.266625
METT10D	-0.13325
SYCE1	0.194
SPANXD	-6.27
SLC12A9	0.0961666666666667
MC1R	-2.052
RNF168	-0.912
TRIM69	0.4025
GALNT7	2.01833333333333
ISG20L2	0.4995
KIAA2026	0.7985
TNFAIP8L1	0.203
DPY19L2	-1.51825
C12orf63	0.1295
PRDX5	1.255
MED6	-1.024625
TXNDC5	-0.7805
CD46	1.532
CCK	-2.4845
C17orf48	-0.702
ANUBL1	1.34525
SIT1	-1.24583333333333
TYSND1	-0.07
DEF6	-0.267833333333333
GLT8D4	-2.378
UTP14A	1.301125
RPH3AL	1.5455
NXF1	-0.356666666666667
TRERF1	-1.2125
TUBB3	-1.3565625
SLC24A2	0.72
SEC22B	-0.100333333333333
ZNF653	0.05225
GGTL3	-0.272416666666667
CDKL2	0.9385
CTF8	0.102583333333333
EPC1	0.990333333333333
CYP4A11	0.249666666666667
THRSP	-0.7395
LELP1	-0.158166666666667
TES	1.38125
C17orf87	0.4845
FERD3L	0.10275
SH3TC1	-0.074
RAB36	1.103
CRYGB	0.338
GRIA3	-0.3789
BHLHB9	-0.73275
C1QTNF9	0.45325
GOPC	0.316375
PNPLA8	0.406833333333333
ZNF444	-0.4255
FMO1	0.20725
POLR3C	0.2605
SLC35F3	-3.70425
SGCG	-3.461
DCDC2	-0.0276666666666667
NANP	0.044
MGC23270	-1.8485
BEX4	-0.470083333333333
HYDIN	0.235
RPS6KB2	0.00225
ADRM1	-0.00075000000000001
BAT3	-0.78825
RAB31	-3.2419375
SCGB2A1	4.009625
SLC6A14	0.248875
DDX4	-0.522333333333333
PRRC1	-0.0145
AP3B2	-1.10216666666667
TRGV7	0.650166666666667
TMEM184B	0.31075
ADPRHL1	0.439
C21orf45	-0.293
ARNTL	0.234625
AADAT	0.318375
CCL2	-1.395
SNTB2	0.03
RGS9BP	-0.57225
KPNA1	0.432
TMEM41B	0.479166666666667
S100A11	0.574833333333333
DOT1L	-1.0695
EFHC2	-1.104
CLTC	-0.002
SRP9	-0.0782857142857143
ZNF521	-3.84375
FAM26F	-1.05575
GPR88	0.17
COL13A1	-2.14016666666667
CHMP4B	2.146
SIGLEC6	0.4775
NFAM1	0.235
PVRL2	-0.034
ALKBH4	-0.713
CCDC93	0.7650625
NXT1	0.2395
KCNK4	0.0555
TROAP	-1.02983333333333
KCNA10	-0.031
CCDC114	0.454333333333333
RAN	0.011
LMTK2	0.7285
LOC400657	-0.137
UFC1	0.52575
UBE1DC1	-0.5525
EEF1A1	0.327111111111111
CHAC1	0.2265
HMGA2	-2.2589
B3GALTL	-0.2655
ING2	-0.5435
C1orf109	-0.09825
INTS3	0.17475
ZNF558	0.11325
TRPM4	1.67883333333333
LTB4R	-1.308
ISYNA1	-3.25025
LSM7	0.26975
LRRC47	-0.2780625
ZNF179	-2.9405
EXDL1	-0.182833333333333
SLC4A10	-0.634125
ACSS2	1.10883333333333
COPS7B	-0.203
KIAA0040	0.971666666666667
C1orf95	0.136
AP1GBP1	-0.43125
OR9A2	0.3845
FAM71C	0.552333333333333
RIN1	-0.102666666666667
ITGA4	-2.628
DNAJC6	0.334666666666667
CLOCK	0.851833333333333
SLC35A4	-0.0281666666666667
DSG4	1.75325
LOC26010	0.222
NSUN2	0.2285
TMEM86B	-1.4024
C14orf135	-1.17825
KIFC3	-2.87783333333333
PHF5A	0.246
NCAPH	-0.654375
STK11IP	0.031
FLJ42953	0.529625
CCDC19	-0.180166666666667
ZNF329	-0.06125
TAX1BP1	0.4525
ZDHHC18	-0.302833333333333
C10orf88	0.591
TMBIM4	0.9989
NMUR1	-0.2365
KIR2DS4	0.483125
C9orf90	-0.34925
MGC87631	-0.1295
KDR	2.4526
ST3GAL2	-0.73525
RLN2	0.611666666666667
HPD	-3.66575
MOXD1	-4.89716666666667
PDGFRL	-2.44916666666667
SMYD4	-1.06464285714286
FAM103A1	-0.049
MFAP4	-3.43483333333333
LOC285141	0.47025
TMEM45B	3.0025
SMCR7L	0.209071428571429
GZMH	2.58825
CBLN1	-2.49366666666667
CNNM1	-1.03375
PHF17	-2.23541666666667
NUP98	0.384333333333333
RMI1	-0.21125
PTPRS	-1.400625
ANKRD57	1.36275
CLDN15	0.920833333333333
OR51A2	0.52
GUCA2B	0.348
DOCK9	1.7855
ITGB1BP1	-1.151
DLG2	-1.103625
BRAP	-0.022
SESN3	-0.21825
ZC3H7B	1.341
FAM101A	4.035
FKSG24	-0.7825
ZYG11B	0.2785
RFC2	-1.12475
SH2D3A	1.703
DVL3	-0.205416666666667
ADFP	0.323833333333333
KRIT1	-0.102875
SERTAD3	0.134666666666667
LEFTY2	-3.9465
KRT27	-0.505
SCFD2	0.5575
MN1	-2.04575
RORA	-1.348
PTPRD	3.40725
PIAS2	-0.980666666666667
CYP4X1	2.82016666666667
FBXL15	0.24075
MYH15	1.26466666666667
CRX	-0.00333333333333333
TBC1D13	-0.67475
SLC22A17	-1.35733333333333
PLK2	-1.35516666666667
ARHGAP9	0.07925
EIF1B	-0.17625
C20orf185	0.4895
DEFA7P	0.441
PRIM1	-2.13133333333333
CRYAA	-3.2295
BACE1	-2.56625
AGTRL1	0.4855
ACAD9	-0.126375
GRASP	-0.81925
RBP4	-3.10216666666667
TFB2M	0.32225
METTL9	0.0642
ATP5O	0.168
SP100	0.4956
CPSF1	-1.383
S100A4	-2.8125
LIME1	-0.90375
GPR137C	-1.66125
OR2A2	0.2655
C2orf29	0.56625
NUP188	-0.92625
SDPR	-1.14425
RAI1	-0.938625
RPS20	-0.1918
LAMB1	-0.75275
ADM2	0.993
ZNF229	-2.94525
DKFZp434K1815	-0.8025
EPN3	2.049
CLIC3	-1.29625
MEIG1	-1.10925
HMGB4	-0.05275
STARD10	0.4815
KLF8	-0.0905
EPB41L2	2.04233333333333
JMJD6	0.12575
CTSL1	-1.96066666666667
GPR27	-0.2065
ELAVL4	0.41125
MMP21	0.085
PPM1B	0.744
SUV39H1	-0.824
AAMP	0.35725
TUSC4	0.2945
MBD6	0.44125
KLK13	-1.386375
FMNL3	0.616333333333333
TRIM13	0.515583333333333
C15orf5	-0.4865
IQCF1	0.440875
CACNG8	0.7705
SLC35D3	0.263833333333333
ZDHHC9	2.1775
ODF3L1	0.58075
C9orf86	0.5114
TSEN2	0.136
C17orf64	0.29275
SEPX1	0.2394
TSPO	0.836833333333333
SYMPK	0.1335
ADORA1	-0.98725
TSPAN10	-0.05975
SEMA6C	-1.68833333333333
RTTN	-1.2726
IL2	0.297166666666667
ARRDC3	-0.721416666666667
TBPL1	-0.383166666666667
STX12	0.9065
MRPL39	-0.28625
OR8H3	0.382
IFIT5	0.986166666666667
CASC5	-0.65375
FAM46A	-0.952833333333333
HPCAL1	-0.746375
CYLC1	0.856
VGLL2	0.15425
C20orf191	0.603
CDH1	2.766
ITPA	-1.33325
CCDC101	-0.27275
D15Wsu75e	0.87875
EDA	-0.2265
CREG1	-0.3315
OR7G2	0.61
SAP18	1.34583333333333
IFIT1	-0.399
CALML3	-0.710666666666667
FLJ37440	-1.076
FNDC5	-1.59875
SERPINB6	0.120071428571429
JUNB	2.3
SYS1	1.231
SCN2A	-0.395833333333333
ZKSCAN5	-0.952
WNT7A	-0.146666666666667
TSHZ3	-0.86975
RNF148	1.219
H6PD	0.774625
CAD	-1.00216666666667
ZNF449	-0.25325
DOCK10	-0.694
FAIM2	-0.298833333333333
HEXDC	-0.51825
PRB1	0.1095
C14orf148	-0.516
ETHE1	2.086
IRF5	-0.899
GNMT	-1.09683333333333
MGC16291	-2.29025
RPAIN	-0.803642857142857
CAGE1	0.4345
CNTNAP3	-4.06775
ACTR1B	-0.5805
EEF1E1	-0.382
MSX1	2.031125
ESF1	0.4694
HSPC171	0.112
MRPL2	-0.1575
RDH12	0.431
CELP	1.373
METRNL	-0.162
C10orf116	3.37283333333333
C19orf48	-0.49275
ZNF346	-0.2285
NCR1	-0.648
C10orf64	0.28
CD52	-0.69975
VPS18	-0.1965
AP4S1	-1.41883333333333
NPBWR1	0.159
TPK1	2.19625
UBA52	-0.162611111111111
RIPK1	0.695166666666667
CPNE3	-0.1119
HSPC159	0.529625
C8orf38	-0.002
LRRC4B	0.525
PARP10	0.2108
ANKRD50	0.566375
CXCL9	4.29125
FGF18	1.69209090909091
EIF2A	0.34775
SLC20A2	0.552
KIAA1549	0.805833333333333
SPINT1	2.1224
ZNF584	-0.3205
CRBN	0.578333333333333
ABCF3	-0.0206666666666667
NCBP1	0.348
PLA2G4F	2.46266666666667
PCDH10	-0.905375
TTC21A	0.20425
C20orf144	-0.0465
FGFR1OP2	-0.442833333333333
SLC9A1	0.3383
CHRND	-0.153
FOXF1	0.2195
KIAA1467	-3.074
TPO	-1.61216666666667
LTF	0.234285714285714
DNAJB9	0.18375
MRPS27	-0.1005
bA16L21.2.1	0.5605
WBP2	0.168833333333333
MRGPRX3	-2.3375
PRPF18	0.647
C10orf58	0.385
SMOC1	-2.9571
ADAT3	0.313166666666667
TMEM138	-0.22575
TMEM131	0.600625
TIMM8B	0.1605
MYH7	-0.188666666666667
ST6GAL2	1.435625
KIF1C	-0.13125
SUHW2	-0.629
PAPSS1	0.49
CABP2	-0.017
HOXA4	-1.49575
ELF2	-0.07675
SEMA3D	-1.2646
MC5R	0.101
OGFR	-0.392
FLJ30092	0.472666666666667
TGFA	1.008
MMP17	-0.86675
KIF15	-0.8775
CHIA	0.4455
CATSPER3	0.6485
CEACAM7	5.02091666666667
PADI2	2.24025
HOXA9	4.656
LNX2	1.96466666666667
TMEM144	2.39925
HIF1AN	-0.2485
METTL7A	-1.421
C6orf165	-0.282666666666667
KIAA1468	0.528375
DSG3	0.438
ZNF180	0.183666666666667
EIF4E3	0.174375
SLC46A1	0.17075
DKK1	-7.22883333333333
ZNF205	0.187333333333333
LOC162073	0.7545
COX7A1	3.74225
MAGEA1	-5.59133333333333
NEDD8	-1.10941666666667
KLHDC5	0.278666666666667
C3orf19	0.166
MRPS2	-0.49375
POLR3H	-0.367214285714286
ABHD11	1.0296
TMEM17	1.17525
PAIP2B	0.5053
MAT1A	-1.10525
LGI3	-0.23775
THUMPD2	0.2675
TKTL2	0.03375
XAGE3	-1.13916666666667
CALM3	-0.123833333333333
C6orf136	0.522333333333333
KCNC4	0.411833333333333
RGS9	-0.6245
ACIN1	-0.786833333333333
SPATS1	-0.9615
XKR8	-0.51625
FAM84A	5.2335
MS4A7	3.00836363636364
AGXT2L2	0.59575
OR1F1	-0.17
SMAP1L	-0.03075
IPO11	-0.068375
ZC3H11A	-0.0726875
C1orf151	0.855375
RNASEH2A	-1.10425
CCR10	-2.03
TXNDC11	-0.0565833333333333
TMEM112	-0.4815
MAP1B	-3.06907142857143
NVL	-0.54475
PKM2	-1.57825
ARC	-1.1365
NUP54	0.1255
PPFIBP2	1.71316666666667
STAT2	-0.201875
PTAFR	0.752333333333333
ROBO2	-0.370875
RNF40	-0.564166666666667
CCDC135	-0.601833333333333
IFT81	-0.2698
MORF4	-0.8225
TM7SF3	-0.550375
OR10H3	0.1925
ABP1	2.84375
CHRD	-1.27275
PLEKHA8	0.114
NCALD	1.75383333333333
OR5AK2	0.64225
ACCN1	-0.0495
SLITRK1	-0.3665
ARMET	0.10775
C9orf52	2.04825
REEP4	-0.39775
MTSS1	0.00525
ADH1B	1.28566666666667
DLD	0.37375
CDK5	-0.5435
PPFIA1	0.3019375
WFDC3	0.20225
DNAJB12	0.703428571428571
RANGRF	-1.069
MLANA	-4.84775
AMY2B	1.684
KIAA0319	0.287125
RPS7	0.143
JAK3	0.3099
ARFGEF1	0.997
CXCL5	1.64958333333333
TRAPPC4	-0.5195
CETN2	0.02875
HSPC111	0.1425
RHOBTB3	-0.4516
PHLPP	-0.388
RGS10	-1.279
TMEM58	-1.54775
CHERP	0.055625
HSP90AB3P	-0.141166666666667
FSTL3	-2.075
PEX11A	0.34375
OR5V1	0.3385
FCN3	1.7395
PTPN3	2.2855
NPTX1	-5.832375
C21orf84	-0.556
C11orf51	-0.13425
ZBED2	-0.40825
FLJ90757	0.7515
NPY2R	1.001
PLD3	-1.24075
SYT17	-1.172
SGSM2	-2.75025
OR1A2	0.24325
FOXP1	1.152125
SLC5A1	4.912
POFUT1	0.3063
EPHB6	-3.6505
MYO1G	-2.649
STAC	-2.5883
KLHL17	-0.7285
RGMA	-2.0036
TJP2	1.3217
FAM114A1	-1.03616666666667
SERINC1	0.327333333333333
SLC9A8	0.488125
PEX19	0.0835
EDN2	-1.3655
PSMD7	0.243888888888889
C3orf41	-4.181
UQCR	0.10675
PPP1R3C	-5.7575
LRP4	0.993
TM2D1	0.35325
TTC17	0.681625
C4BPB	-1.04425
CCL25	0.37625
ZNF253	-0.4815
CHRNA9	-4.33433333333333
SOX11	-3.495625
HIVEP3	-0.4995
CGN	2.53958333333333
C3orf35	0.329
PKD2L1	0.37525
SYVN1	0.212125
PDE8B	-0.912875
LOC439951	-0.0945
LTC4S	-0.1515
MIF4GD	-0.282333333333333
SMARCA2	0.906875
TUBGCP6	-0.771
CABLES1	-1.281375
C16orf77	0.6505
ZNF791	0.72225
FUT5	3.414
ADH6	-0.733666666666667
P4HB	-0.0625
CLDND2	-1.1045
ALKBH8	0.06075
PLAC4	-0.23425
F11R	1.5435
MGC35295	0.288833333333333
PDZD4	-0.7145
LOC389073	-0.74425
FAM80B	-1.4525
PSMB1	-0.118
TXN	0.820166666666667
VIPR1	2.5659
WBSCR18	-0.0533
EXOSC6	-0.854166666666667
ACTA2	1.3505
SP5	-0.68075
ANKRD1	-3.69075
DDR1	1.3682
ATP6V1D	-0.61825
PTGS1	-1.78166666666667
RNF157	0.39925
DCC	0.582
SPAG7	-0.92275
FBXO18	0.46375
UBE3C	0.343
HOXC6	-1.55025
LRP2BP	-0.190833333333333
MYST2	-0.29975
PDSS2	1.25775
ATE1	0.9335
ARAF	0.249
KLF10	0.82375
PLA2G2E	0.009
ASCL1	-1.374
TSNAXIP1	-0.804
FAM131B	0.08225
IFNA10	0.202
NUP43	-0.15
FAM44B	-0.6535
L1TD1	-5.10116666666667
NMD3	-0.3105
C18orf54	-1.4257
PHOSPHO1	-0.0345
RAG2	-0.831
EMILIN3	-0.147
METTL3	-1.21225
VPS13C	0.852
REXO2	0.0525
ANXA4	1.5695
CA1	0.11075
DCP1B	0.10675
TULP3	-0.725666666666667
ATP2A2	0.293571428571429
ATIC	0.32775
ADAM15	-0.1815
NPL	1.51466666666667
LGR4	1.10225
UEVLD	1.30033333333333
GAB1	1.5285
SNAI2	-3.1725
ZGPAT	0.6136
SNF1LK	0.016625
DLEU1	-0.11375
UBE2Q1	0.66125
ZMYM6	0.5971875
JPH3	-2.85016666666667
FAM38A	-0.473333333333333
PXK	0.214333333333333
DENND2D	2.62425
BAX	0.191
CP	-5.182
RPL37	-0.1822
G6PC3	-0.0255
NCOA4	0.610666666666667
LRRC14	-0.285125
GORASP1	0.787
FCHO2	1.066625
CYP24A1	-2.7942
FXYD3	2.846375
SMARCAL1	0.18025
ABCB8	-0.5355
CCDC44	-0.33225
PRDM7	-3.12825
USH1C	3.4985
DNAH5	0.136833333333333
SRF	0.36475
MAL2	2.50983333333333
PGPEP1	0.677916666666667
SIN3B	-0.88925
SEMA3C	0.190666666666667
GRAMD3	1.921
FBXO10	-0.236625
OR5D13	1.3985
FLJ31818	-0.33925
CACNA1I	-0.340375
S100A13	-1.7
TP63	-1.023
ANXA11	0.9718
WDR66	0.158625
CSF2RB	0.0615
IFI44	-0.352
DACT1	-0.232833333333333
ANKRD23	-1.22125
ATP5G1	0.066
C21orf70	-0.469833333333333
PPWD1	-0.4775
DNAJC13	0.42875
PAH	-0.725
PTCH2	0.014
TRMU	-0.7615
CCDC9	0.104
USP3	0.555
DCLRE1C	0.1411
FAM55C	-1.3135
FRMD4B	1.7625
CYP2R1	0.20075
RFPL1	-1.1858
XPO5	-0.2085
ARL6IP2	0.36
OSBPL5	1.1435
MMP9	1.94327272727273
KIAA0802	-1.038
DHRS2	-4.49566666666667
SGEF	-0.164125
TXNDC10	-0.9002
EXOC6	0.80225
RPS27	0.199166666666667
PNCK	-1.8625
FSTL1	-2.586
AACS	0.41275
SLMAP	1.05383333333333
SAMD4A	-1.188
ABRA	-0.104666666666667
SMARCD3	-2.30325
PKNOX2	-3.06933333333333
A4GNT	0.153
C9orf39	-1.023
RALYL	-0.227
MGC33556	-3.6455
C10orf25	-0.5895
BBOX1	0.165
NHEDC1	-1.02125
XDH	3.274
GCSH	-0.3945
EDN1	1.80133333333333
MTERF	0.11475
CLK4	0.34325
ZNF799	1.29033333333333
KCNG1	-0.340125
CXCR4	-2.3515
PTPRR	-2.03075
IRAK1	0.113
LOC401397	-0.4045
TMSB10	0.704642857142857
CXCL3	4.2983
TMC4	2.212
OR7A10	0.6455
STYK1	3.4935
CHRNA10	0.5535
CCNI	0.38425
EP300	0.528642857142857
LOC165186	-0.508833333333333
HIC2	-2.351
SDR-O	-0.4095
OR2W1	0.4715
KCNA6	-0.1965
TRIM74	-1.87825
REEP6	-1.055
ATP5G2	-0.2255
ERG	-0.552375
TMEM42	-0.115
PARN	-0.0243333333333333
SOD2	0.775125
DIRAS1	-1.713
PNPT1	0.029
JOSD3	0.18725
hCG_40738	0.902
PDE1C	-1.97675
SEMA4D	0.77225
AGPAT1	-0.0773333333333333
NOSTRIN	1.3455
MAP3K3	-1.55116666666667
MAX	0.0501428571428571
CAPS	-0.5665
SERPINA12	-0.204
OSBPL8	-0.17225
RICS	1.9678
NR4A2	0.796333333333333
PPCS	1.2725
LONP1	-0.76975
SCYL3	1.00925
HERC2P2	-0.225166666666667
FIBCD1	-0.6665
C15orf41	0.18625
DMC1	-2.04116666666667
C20orf27	-1.4795
RPS6KA5	-0.7331
FAHD1	0.8495
SLC12A4	-2.09925
BRCA1	-0.637333333333333
GBL	-0.35775
SLK	0.870166666666667
NUDT9P1	-1.2805
NOXO1	4.7375
USP52	-0.65525
BAZ1B	0.10825
SLCO2B1	2.74475
BBS12	0.599333333333333
LRGUK	-1.09333333333333
TERF2IP	-0.28125
COL1A1	0.288
