Hybridization REF	TCGA-AA-A01I-01A-02R-A00A-07
NIPSNAP3B	-0.035
FTMT	0.119
PWP2	-0.608
MMP15	0.6822
DNAH11	-1.0275
MTMR14	-0.788375
DNAL4	-0.7365
IPP	0.22175
TMEM59	0.47275
C1orf157	0.6785
RGS4	-1.43566666666667
DDX18	0.692333333333333
SNX6	0.02925
ZNHIT2	0.0968333333333333
NCDN	-1.59133333333333
FLJ33534	-0.03025
RAG1	-1.0145
OR4D10	0.106
PTPN5	0.160833333333333
POMT1	-0.14425
LRRC8A	-0.0632
CYP1A1	-0.9065
CAPN1	-0.533666666666667
DDHD2	-0.7415
GRIK2	0.2955
GNRHR	0.307
PPBP	4.4655
HTR3A	-0.42275
SLITRK4	-3.099
ANKRD49	-0.39375
BTF3	-0.1068
SARS	0.5015
C13orf18	4.24433333333333
CACNB1	-0.206285714285714
QKI	-1.83086363636364
SETMAR	0.17225
MAN2B1	-0.0555
EML3	-1.645
ACADL	-0.433833333333333
OFD1	0.01425
DEFB114	0.0235
CGA	-3.91355555555556
PEX16	0.326333333333333
LRRC10	0.084
GNG12	0.723
C1orf152	0.438333333333333
CHRM1	0.2505
CD53	-1.398875
DBH	-1.205
TFAP2B	-3.057
HIST1H2BJ	-1.2175
FAM46D	1.0545
TMEM11	-0.32725
C3orf32	-1.3195
PCCB	-0.2265
IPO13	-0.596
C6orf105	-0.273
COMMD5	-0.121
SUV420H1	-0.3643
LTBR	1.029
ARHGAP15	-1.93425
HDHD2	0.1435
TDRKH	-0.673333333333333
LOC401052	-1.5265
PSG4	-0.3475
GNB4	-2.2349
SPATA4	-0.64475
SLC9A3	0.222
OSBP	0.818166666666667
NBPF3	-1.3485
DOCK11	-0.7245
SLC39A5	2.80816666666667
PRR5	0.8422
C10orf63	0.0135
SMTNL2	-1.531
ADRA1A	-0.0565
ASAH1	1.1212
DOM3Z	-0.1972
GIPR	0.626
AHI1	0.363583333333333
NADSYN1	0.490666666666667
RGS14	-1.1377
IL18BP	0.5888
RTN4RL1	-2.42566666666667
ARMC6	-0.553
PSMD5	0.0391666666666667
HK3	0.6066
OR4S1	0.12925
RSU1	0.7835
MAD2L1	-0.913222222222222
EIF4A3	-0.553
DLEC1	0.3825
E4F1	-0.745333333333333
CHMP2B	0.8254
CAMSAP1	-0.482
RPS21	-0.1225
ARID5A	0.91875
UBE2N	0.5454
IGSF8	-0.703666666666667
MAGEB6	-1.313
ACAD11	-1.2399
MGC4172	-0.9125
LMO4	0.038
KLKB1	-0.46425
HP	-0.0835
HDAC3	-0.39725
SCHIP1	-1.57925
CLCA1	7.2195
OLFML2A	-0.193375
C1orf112	-1.0735
KIF19	1.17433333333333
HAPLN4	0.2108
CXCR7	-1.24483333333333
GOT2	0.4091
RAB38	-1.7875
DCX	-0.8255
PPM1H	1.93633333333333
NFYC	0.2825
KIN	-0.062875
ZNF228	0.62875
PLSCR4	1.25383333333333
HIG2	0.2095
FAM79B	0.782
C21orf86	-1.0121
KCNK10	0.47325
ZNF738	-0.8195
FSTL5	-0.594
OR6A2	0.48
OTOA	0.1985
EXOC1	1.161625
AHRR	-2.390875
PDAP1	-0.780666666666667
C19orf6	-0.533125
ZAN	0.378
LY6G6E	0.22
EIF4E2	0.2895
C20orf198	-0.03975
ZNF324	-0.68675
CYP3A5	4.50916666666667
ENTPD7	1.74016666666667
MBOAT5	-0.572333333333333
GJB5	-0.972
TTC13	0.372
S100Z	-0.749333333333333
KIAA0664	-0.504
PDGFRB	0.87725
IL17D	0.024
OR56B4	0.5275
RDX	-3.91183333333333
SLC34A3	0.135
IL28B	0.3845
JUND	0.74525
CHRNB1	-0.453875
CAMK2B	-0.87625
FETUB	-0.742
CXorf23	1.7715
MRTO4	-0.175125
TTC3	0.3426
NDUFB8	0.0813333333333333
EDG2	-1.66175
SEMA3G	-1.39125
IL23A	0.28125
GRHL1	-0.4559
LOC441054	-2.4015
WDR65	0.4015
PSTK	-0.40125
STOML3	0.784166666666667
R3HDM2	0.2938
C5	-2.7235
SLC2A10	0.013
C3orf22	0.47125
PAQR3	-0.546
ANKRD26	-0.6185
HCRTR1	0.1325
LOC399947	-0.637333333333333
PSD2	-0.787
TIGD2	0.8115
SCRN1	-1.6125
COQ10A	-1.2155
DDI2	0.215
METTL7B	1.98833333333333
UCN2	0.49875
FAM92A3	0.35175
WDR16	0.46825
ZNF511	1.45483333333333
ZMYM5	0.235375
POLR3G	-0.9615
ZNF586	-0.013
C1orf49	0.398666666666667
TANK	0.594166666666667
RCAN1	0.215833333333333
PELI3	-1.139
LIMD2	-0.949583333333333
TMEM189	-0.3015
NTN4	-1.437375
LOC151300	0.278
CLEC2A	-1.756
GPR135	-0.516375
DPYSL4	-3.6931
JAK2	-0.488666666666667
TSHZ1	0.506
TM9SF4	0.66525
ZNF264	-1.26066666666667
SIRPG	1.082375
BICD1	-1.5865
HERC6	1.54016666666667
METTL5	0.291
CASP1	3.69225
PRRT1	-0.862
PLA2G4C	0.646333333333333
ICA1L	-0.364071428571428
TPTE2	-0.268
OTUD7A	1.08983333333333
AQP11	-0.065
APOA2	-4.9598
KALRN	-0.4817
SECTM1	-0.44725
IFNAR1	0.052
TALDO1	0.195625
RAB11FIP4	0.87025
EIF5A	-1.435
FAM49A	0.24775
NEGR1	-0.574833333333333
YTHDC2	0.031
EHD2	-1.841875
NCF1	-0.0023
SCRT2	0.9025
HOXA5	0.806333333333333
NUP133	-0.43975
FGF12	-2.1738
SLMO2	1.175875
SNTA1	-1.85625
CACNG2	0.0328750000000001
GCM1	0.123125
ELF1	0.463
TLR5	0.76975
TCFL5	-0.3305
RBMY2FP	-0.473
LOC100125556	0.44775
FAM129B	-0.1485
MAP3K7IP1	-0.920375
NCK2	-0.132
OXA1L	-0.51925
FMO9P	-0.101
ZSCAN12	0.2125
PSMD12	-0.204083333333333
HSCB	0.1465
CLDN10	-2.765
MGC13053	-0.53975
HPCAL4	-0.642166666666667
ASZ1	0.782
MEX3D	1.10433333333333
NFAT5	0.4032
CSPG4LYP1	-0.0523333333333333
FBXO3	0.4898
DVL1	-0.182166666666667
CMKLR1	0.496333333333333
TYMS	-1.50875
PEF1	0.308
ZNF750	-1.7035
MCM5	-0.8301
MEGF11	-0.26225
KCNK7	0.1405
PTP4A3	0.5515
C1QTNF2	-1.36433333333333
OR6S1	0.012
FAM122B	-0.31425
ZNF551	-1.52175
HBQ1	-2.0825
GEMIN6	0.3795
ARSK	-0.27275
RBP7	-1.57833333333333
CPNE9	0.759
DSC1	-1.65
LOC730112	0.3
MAP2K4	0.44275
HS3ST5	-1.0545
EPB41L3	-3.02625
TEKT2	-0.8045
CDKN2B	-0.649916666666667
ZNF480	0.63225
MAP3K6	-0.3207
MAP6	-0.378833333333333
HN1	1.0289
OR2L13	0.854833333333333
SLC16A11	0.14475
FAM96A	0.048
APOL1	0.21825
C5orf32	2.01875
RTP1	-0.8005
RNF175	-2.181
ZBTB41	0.45
AHCTF1	-0.753
SAE2	-0.2996
ITGA2	2.02525
MME	-2.38766666666667
CCDC14	-0.35525
MAST4	-0.0160714285714285
KRT33B	-0.375
KCTD2	-0.993
WDR26	-0.33975
MFI2	0.7825
NR4A3	-0.583125
ARSA	0.86975
UNKL	-1.11133333333333
SULT6B1	0.3775
CCNA2	-0.545333333333333
SOX15	0.6385
PPAPDC1B	-0.193666666666667
C19orf44	-0.0125
MCAT	1.06041666666667
ARID1B	0.434
OR52N1	0.447
C12orf48	0.25225
MAGI1	-0.061875
NIPA2	0.35125
GBX2	-0.6225
RSHL3	0.04
RAVER1	0.119333333333333
C15orf17	-0.981
SLC30A2	0.8875
ZNF518	0.6235
PCYT1B	-1.476
C10orf114	-1.635
EIF3H	0.4005
SLC25A39	-1.25216666666667
KIF1B	0.16375
AMOTL2	-0.749
C6orf120	0.06325
PSRC1	-0.8055
PLA2G10	4.395875
KIF5C	-0.680166666666667
MRPL37	-0.2275
C17orf62	-0.5985
C9orf135	-1.118
DUSP10	0.6239
CLCNKB	-0.056
PSMA5	0.257625
C8orf53	-0.0445
AMPD3	1.246
PIAS1	-0.84875
ADCYAP1R1	0.518
GYLTL1B	1.945
CDH20	-0.315833333333333
FBXO7	-0.0845
TMEM134	0.012
FLJ14213	2.62916666666667
ZNF3	-0.51925
LRRFIP1	0.495875
CNOT2	0.380333333333333
ABI3	1.26625
ALDH5A1	0.196833333333333
HNT	0.4216
SERPINA4	-0.91425
TK2	0.434083333333333
STMN1	-1.06977777777778
GUCA2A	1.89983333333333
GALNT10	0.720071428571429
DPP6	-0.48105
C9orf93	-0.983625
PRELID2	1.200625
STK39	2.085
SFTPA1	-1.23275
CKS2	-0.209777777777778
RHO	0.30575
C20orf135	-0.406
XKR3	-1.155
CR1	0.033375
RPS6KA2	0.150428571428571
C20orf112	0.639
MRPL22	0.18075
C4orf23	-0.0996666666666667
GADD45B	-0.82475
KLHDC1	-0.236333333333333
C2orf48	-1.8445
ZNF287	-1.172
DAAM2	-2.516
DPPA2	-2.7425
TCTN3	-0.220166666666667
DNAJB11	0.411
FPR1	1.22725
DEFB4	0.7265
PTCD2	-1.2056
SMOC2	5.79833333333333
CABP7	0.362
SERPINB11	0.41
MAGEF1	-0.44875
NDE1	-0.410833333333333
ITGA10	-0.8355
FSHB	-0.106
ANXA2	1.0655
HORMAD2	0.43125
HLCS	0.2555
MCF2L	1.37483333333333
FH	-0.4115
TBC1D24	0.32075
KIAA1505	1.019
LGALS2	-0.20675
CNBD1	-0.1735
SYNPO2L	0.00900000000000004
PTPN23	-0.260571428571429
C1orf183	-0.052
MAGEA8	-1.42125
DGCR8	-0.962
GSR	1.05975
PAQR7	0.0435
ZNF676	-1.58475
CACNA1C	0.7734
SP7	0.183
PDCD6	-0.4675
NRN1L	-1.8115
BRI3BP	0.630833333333333
KIAA1183	-0.0685
ASB4	0.375
CCL23	0.9057
OBSL1	-4.212875
SLC12A7	0.659416666666667
KIAA0240	1.5765
CD1B	-3.00333333333333
FCGR2A	0.77
MDC1	-0.886
HTR1A	0.2705
OCEL1	-0.85
ATP11B	0.727625
FBXO34	1.80483333333333
PCDH12	1.63983333333333
RPE	0.94875
C17orf74	0.5895
CSDC2	0.259166666666667
PET112L	-0.1765
TMBIM1	1.55725
P2RXL1	0.27975
TCHP	0.47525
TRMT1	-0.798
F2RL2	-0.388333333333333
LRRC32	2.256
IMPG2	0.414
BGLAP	-0.38325
LOC493869	-2.81608333333333
MRAS	-1.298875
SLC35F5	1.65875
CBWD1	-0.631
AXL	-2.911625
ATP2C2	3.64175
TELO2	-1.0815
PNPLA3	-3.7685
PCDHB14	1.9185
CD276	-0.29625
KRT80	0.02925
DUSP28	-0.4075
CSNK1E	-1.01383333333333
SRP14	-0.038
KCNQ4	-0.5115
KRT72	-0.1374
CCDC117	0.0715
C6orf89	-0.135111111111111
TUBB2B	-2.7848
RTN4IP1	0.519
CR1L	-3.78733333333333
CEND1	0.0111250000000001
C12orf41	-0.515
RNF31	-0.5265
UBN1	-0.2255
C17orf32	0.2245
SLC5A7	0.87275
GPR92	2.90366666666667
ESAM	1.0713
CTNNA1	0.150333333333333
HRBL	0.6785
CBX4	-1.275
TMEM182	0.41
SH3TC2	3.57616666666667
IL10	0.00266666666666668
PXMP4	1.0505
RNF167	-0.7749
PAK7	-0.131333333333333
ETV3	0.005
ATPIF1	0.408166666666667
LOC554207	-2.0805
OR8H1	-0.00875000000000002
WDFY3	0.1135
DPM1	-0.7725
GPSM1	-0.8425
WDR92	-0.1257
LRP1	0.0706666666666667
ANKH	0.668
THUMPD3	-0.46225
POLR1B	0.2745
OLFM4	9.93233333333333
RAD9B	0.4205
TSPY2	-2.502
PAX6	-0.7225
SCG2	-3.44725
SLC17A6	0.52025
FMO3	0.71375
PADI4	-0.0005
TUBB4	-1.0836
NLK	0.37225
POU4F3	-0.1205
SDF4	-0.521
ITGBL1	-1.22
NETO1	-1.474625
TAP2	0.4105
ABBA-1	-0.245416666666667
GNAI1	-0.2585
VPS4B	1.23175
NOPE	-0.1029
GALNT6	1.37483333333333
SESN1	2.542375
GBE1	-2.16788888888889
CLASP1	0.425
RASGEF1B	0.666375
ACOT11	1.815
AFAP1	0.7435
OR2H2	0.33425
DPY19L2P1	-1.04575
DZIP1	-2.76425
SEC22C	-0.850916666666667
GPR161	-2.08983333333333
RNF146	0.548
WDR74	-0.406875
GALP	0.5685
PURA	-0.35825
DNPEP	0.662083333333333
RP11-78J21.1	-0.619
ERBB2	1.211125
FANCM	-1.12041666666667
NEO1	1.07383333333333
DDX3Y	-0.1426
RPS3A	0.473
MXRA7	-1.74130769230769
LGALS3	1.78283333333333
GLT8D1	-0.97625
CFL2	-3.27866666666667
UPB1	0.168
NAP1L5	-0.493375
CLDN14	3.8445
DHX38	-1.22425
BTBD1	0.19725
TARS2	-0.309
ABCF1	-0.278
FCF1	-0.535333333333333
LRRC49	0.7575
GUCY1B2	0.934
C1orf177	-0.0833333333333334
SMARCA4	-1.14514285714286
LRP8	-0.3305
TAGLN3	-1.889
MRPL14	0.22975
TTRAP	1.155
ZDHHC20	1.33675
NFE2L3	1.8375
KIAA1377	0.76325
PALMD	-1.5666
TMEM43	-0.67675
TTL	-0.067125
STAT5B	-0.669166666666667
SSB	-0.321875
OR10H5	-0.366
SLC22A13	-0.2105
AKAP3	-0.4015
TIMM23	0.0401666666666667
OAS2	0.501909090909091
KIAA0423	-0.82875
TRIM11	0.0896666666666667
GLIS3	0.119125
TMEM50B	1.01316666666667
ARHGEF4	-1.582875
DEGS1	-1.98063636363636
TBL1XR1	0.660433333333333
G6PD	-2.0275
SP140	0.8594
MUC17	0.732214285714286
NUDC	-0.3443
DNAJC5B	0.901
SCARA3	-2.59433333333333
CPA3	2.99516666666667
BCAT2	-0.1225
MFN1	-0.4252
NRG3	-0.0595
SNX11	0.25425
PLEKHH1	0.347333333333333
GPR177	0.0726666666666667
HCFC2	0.129
TCAP	-0.567
MOCOS	0.3145
C14orf93	0.2505
PRDM10	-0.0383333333333333
SLC16A4	1.01766666666667
SRGAP1	-0.269166666666667
VIP	1.031
DUSP27	5.10666666666667
LILRA1	0.3458
MC2R	0.458
MGC24103	-2.944
MBTD1	-2.753
FUT11	-0.7485
USP33	0.2495
C15orf39	-0.664
MAP3K12	-1.381375
PAAF1	-0.852333333333333
BARHL1	0.1005
FLJ16165	-0.713
PIWIL2	1.11425
SYNE1	-0.801583333333333
CMTM4	1.654125
TSPYL1	0.2308
GUF1	1.07433333333333
TMEM157	0.7695
WDR44	1.25825
HIST1H3C	-0.55875
DKFZp666G057	-0.49875
RNPEP	0.55475
GAS2L2	-0.1845
ADH4	-2.246
GRPR	-0.244333333333333
FBXL17	0.61375
ZBTB10	0.314
Gcom1	0.870944444444444
HTRA1	-0.9066
ZNF585A	-0.272166666666667
SLC26A2	0.184142857142857
OTOP3	-0.0155
WISP1	1.11066666666667
ATP2B4	-1.92033333333333
FLJ10769	0.63025
CRAMP1L	-0.610875
CHST12	-1.65775
RAB22A	0.655916666666667
TARDBP	-0.337214285714286
STAU1	0.19775
CRB3	3.062
MIG7	-2.20425
CHMP1A	0.1355
ZNF160	-1.182875
B3GALT6	-0.46575
BARX1	-2.37816666666667
C6orf167	-0.97275
NXNL1	-0.368
DHX29	-0.102875
HADHB	-0.1645
PLXNB2	0.00349999999999998
ILDR1	-1.09875
SLC15A3	0.985
GAS2	-1.63866666666667
C20orf69	-0.6535
NUMB	0.4915
TNIP1	-0.01975
MESP1	1.01366666666667
PSKH1	-0.21475
NSFL1C	-0.331625
RHOG	-0.40625
HEY1	-2.1335
KNG1	-0.4315
ITGAX	0.4736
LIN9	-0.407166666666667
CANT1	0.8065
XRN1	0.0547857142857143
CCDC96	-0.3068
HEATR6	-2.32616666666667
GNG7	-1.56925
RUNX2	0.010125
SOX1	0.147333333333333
FCRL5	0.3604
ZNF99	-0.779375
FAM9A	-0.205
SNX22	0.627333333333333
MBNL3	-0.498333333333333
ODC1	0.3917
ADORA2B	2.38133333333333
NR2F6	-1.1675
ZFYVE16	-0.566888888888889
SYNJ2BP	0.9838
POLE	-1.085625
E2F2	-0.31425
THRA	-0.137833333333333
PTGES2	-0.456333333333333
HIP1R	1.347
TMUB1	-0.760333333333333
ENO3	-2.6945
RSPH10B	-0.389
CXorf39	1.978
IRGC	0.10975
GPR109B	-1.406
FLJ13305	-2.072
LCE3A	0.2135
TNFRSF18	-1.67116666666667
DET1	-0.4575
TRPM3	0.148916666666667
C16orf79	-1.573
FECH	-0.884
RAP2A	1.47633333333333
CRIP1	0.0658333333333333
AZIN1	0.0365
SLC7A7	3.97125
IL10RA	-0.179
TMEM64	-3.68025
CDC42EP4	0.3389
C16orf58	-0.6134
ARG2	0.857
POU5F1P4	-2.80375
FAM62B	-0.6
DNAH8	-1.6946
ASH2L	-0.258625
TSLP	-3.583
CNTNAP5	0.101
TMEM16C	-0.21725
IFNA14	0.5915
SLC1A3	-2.002
CABYR	-0.45475
BCL7B	-0.6485
NUDT13	-0.5215
C13orf28	0.610333333333333
C1orf53	1.16025
ARL6IP4	0.3812
RPL35A	0.156
EMR3	0.3055
RAB40C	0.133916666666667
SLC41A1	-1.36016666666667
LRCH1	0.33275
LY6G5B	-0.015
FAM124A	-0.666142857142857
MGC10981	-4.3155
CLIP3	-1.0061
MAP4K2	-1.5895
CHIC1	1.01275
SULF1	1.5555
C20orf30	0.1475
PRDM5	0.106375
ELOVL1	0.02575
C11orf48	-0.31075
SLC39A10	0.11775
KCNV1	0.75825
ACP1	-0.295333333333333
ZMYM2	-0.057125
B3GNT6	1.2535
C9orf69	0.4565
C2orf15	1.7575
C20orf166	1.767
HSP90AA6P	-0.888
EDG7	0.162
NEURL	0.988375
LPL	0.0493333333333334
CLEC2D	-0.811357142857143
GRRP1	0.543666666666667
CD8B	-3.097
HIST1H3D	-1.20983333333333
SLC6A12	0.42
FAM27L	-0.3985
CD84	0.0421111111111111
RASA1	0.1165
PHKG1	-0.42
MAGEA11	2.77
IMPA1	-0.0671
NPM3	0.89425
RARRES1	3.05
SH3BP1	0.61825
B3GNTL1	1.7035
ARPC5L	0.121333333333333
KLHL26	-0.2585
SIM2	2.235875
GJC1	0.442
C20orf194	-2.2195
EXO1	-2.6025
SLC2A2	-1.24866666666667
LOC285074	-0.84675
LRG1	2.22375
KIRREL	-0.8915
PIK3R1	0.252857142857143
C4orf34	-0.61975
MAF	-2.55344444444444
ADCY4	2.6615
ZMIZ2	0.9808
SLC46A3	1.94233333333333
STAMBP	0.184333333333333
CCDC16	0.2995
MS4A12	0.835
TCF20	1.2505
LRRC46	-0.09275
C20orf152	0.21075
MRPS6	-0.55675
ABCB11	-0.356
KCNC2	0.590833333333333
CDH19	-1.1048
C9orf123	-0.051
SSH3	0.265125
LDLRAD1	-1.593
CCBE1	-1.10325
ZNF135	-1.695
TAAR1	0.212
WFDC12	0.4535
CCDC42	-0.444166666666667
FLJ12529	-1.06175
PER1	-1.04733333333333
TIMM50	0.131166666666667
SMARCAD1	-0.449833333333333
FAM26C	0.765
TP53TG3	-1.93533333333333
SH3RF1	1.8287
LMCD1	0.852
GPR63	0.2605
FLJ21986	-1.81425
AIFM3	4.10625
MICAL1	0.4765
BLZF1	-0.426166666666667
IQCA	-1.34633333333333
PCDHGC3	-1.4685
SAC	-0.31125
BCL6B	1.06133333333333
DDO	2.121
MARCO	0.66775
DCHS1	0.710166666666667
C1orf170	-1.20516666666667
CD200R1	0.0716666666666667
C22orf15	0.486
SEPT11	0.509
ADNP	-0.49825
UST	-2.0342
C13orf34	0.0503333333333334
RFFL	1.34521428571429
APBA3	-0.316
C2orf60	0.6145
CUTL1	0.0866
PMS1	-0.435
ZNF689	-0.6715
EIF3E	-0.317666666666667
IL9	0.5716
RPL31	0.571125
LY9	0.385166666666667
ATP2B3	0.282
KDELR2	0.378083333333333
TFCP2	1.13725
NLRP12	-0.4765
FLJ45422	-0.25875
TLE4	-0.5475
ZNF570	-1.149
FLJ43806	-0.0295
TLK2	-0.604
CIR	0.877
MARS2	1.4295
COL24A1	-1.0185
SDF2L1	0.067
HIBADH	0.116833333333333
IGFBP3	-3.15635714285714
C12orf23	0.106
PSPC1	-0.16725
C20orf43	-0.16375
TRAV20	-0.1235
ARHGAP24	-0.493375
KIAA1975	-0.56475
C1QA	3.4103
DNTT	-4.927
C10orf6	-0.267833333333333
C11orf41	-3.127
HNRPF	0.731875
COL11A1	2.09183333333333
UBAP2	-0.390166666666667
CDKN2AIPNL	-1.4565
C20orf174	1.38725
SPRED2	0.42125
PLA2G12A	0.535
ICEBERG	-0.9295
SCN10A	-0.6045
C11orf65	-0.56625
GBP5	3.0185
PITPNC1	-0.482833333333333
POU3F3	0.6435
NCOA7	2.566625
LIN7C	0.9277
LOC348840	-1.062
NKX2-2	-2.33666666666667
ANKRD13D	-0.460625
LOC123688	0.6935
FUT2	3.62966666666667
TAAR8	0.711
FZD4	-1.22408333333333
PNMA3	-1.94766666666667
OR4L1	0.058
WIT1	-2.682
EXOC3L	0.72975
ATPBD4	-0.0203
KRBA1	-4.01475
UBXD6	0.184
HOXB7	1.09792857142857
C7orf23	-0.6845
UNQ338	2.82325
STAB2	-0.1065
CDC20B	0.098
IRF9	1.461
CENTG1	0.961083333333333
TNPO2	-1.293
MCPH1	0.00337500000000004
BMS1P5	-1.07425
SLC26A7	0.38075
HIST1H3J	0.745
C9orf3	-0.3713
LBH	0.844375
MYO1D	1.65225
PTDSS2	-0.47725
NFU1	1.6975
DEPDC4	-1.1535
WNT7B	-0.567111111111111
GLP2R	-0.1135
SETD4	-0.4943
DYNLT3	1.2042
FKBP11	-0.467833333333333
SESTD1	-0.0998333333333333
FLII	-0.75775
RPS16	0.5399
CHPF	-0.4635
CSNK2A1	0.210333333333333
SUMO1P1	0.53475
FKBP6	-0.1
ZNF214	-0.241833333333333
TWIST1	-0.770166666666667
DDX56	-1.164
TRAM1L1	0.0769
EPO	-2.87616666666667
MRPS18B	0.3605
ZNF682	-2.23416666666667
RPL14	-0.143
MAFF	0.08025
LOC51136	-0.216625
LY96	-1.76325
DDX20	-0.19825
ABTB1	-0.214666666666667
ARL5A	1.163
CCT6A	-0.6835
HEPACAM	-1.217
EHHADH	0.814166666666667
RBAK	-0.816
CGB1	0.93175
ITGB5	-0.7931
YIPF3	-0.75275
FKBP2	-0.29275
NR1D1	0.1472
TMEM110	-1.603
NEK2	-0.279
PRAMEF8	-3.45975
C20orf52	0.109
PCDHGA3	-0.689
VWA3B	0.14125
NDUFA5	-0.31825
THAP9	-0.51025
FLVCR2	-0.846
AP1S1	-0.098375
SMAD6	-1.46375
SAV1	0.051
SAT1	1.76925
ZNF251	0.264875
ADAMTS7	-0.1188
RPP38	0.31575
C1orf211	-3.6215
YPEL2	0.3723
RBMS1	-3.2115
ZNF445	0.1065
NRXN2	-0.317833333333333
PGBD4	-0.61425
UGT2B28	0.25525
WBSCR16	-0.7656
NLRC3	0.04
ASTL	0.3585
ST6GALNAC1	2.7735
ZADH2	0.56825
MLLT4	1.79133333333333
ARL6	-0.09
MEF2C	-2.076
CBFA2T3	-3.221
AFF3	-0.416
COG7	-0.370333333333333
MYB	0.248833333333333
PLXNA3	0.005
XRCC2	-1.44983333333333
MMS19	-0.5165
ST8SIA5	-1.298
CHPT1	0.647
KIAA1712	-0.677375
OR6X1	-0.2265
ACTR3	1.156
UGCG	-0.834833333333333
OR4P4	0.3155
ZAP70	-3.1525
LPP	1.49375
ZNF485	0.37425
PTPRCAP	-0.27475
IL12RB1	0.386
ATRX	-0.1198
CHST8	-2.972625
C14orf109	0.35575
ARV1	-0.70225
NMB	-0.135142857142857
COX5A	0.5695
EIF6	0.05675
MPPED2	-1.6022
SEMG1	-0.889
CHRDL1	1.102
TRAF3IP2	0.962
WNK2	0.775375
LILRA4	0.423
LAMA2	1.19775
PXT1	-0.036
RLBP1	3.619
CD300C	-0.31825
SLTM	-0.181625
FLJ10404	-0.413875
APOBEC3D	-1.8585
RENBP	0.647833333333333
ATXN7L1	0.163875
NID1	-1.033
TUBGCP3	-0.26125
ITIH5	1.00738888888889
CCDC110	-1.536
C8A	-2.362
MGC87042	1.20125
HOXC13	-3.73425
TFDP2	-0.50825
HCP5	1.716625
POLI	0.0015
UCN	-0.517
ZNF764	-0.347666666666667
C8orf45	0.97625
FHL3	-1.651
SPATA5L1	0.8085
MMRN2	1.04366666666667
NDST1	-0.258333333333333
COL20A1	-0.484166666666667
ZNF248	-1.26016666666667
PELP1	-0.6385
MBL2	-1.7506
RNF41	0.446375
C5orf24	0.0902857142857143
THOC5	-0.253625
SERINC3	0.433583333333333
RP11-151A6.2	1.8055
CDCP2	0.113
HIST1H2AA	-0.033
C11orf75	0.889666666666667
FKBP7	-0.71475
DDOST	-0.3885
GPNMB	-2.40866666666667
TTF2	-0.900666666666667
KCNT1	0.0935
SLC39A14	0.4235
NGRN	-0.2742
GPR137B	1.2085
MECP2	0.184625
PSMA1	0.1195
C16orf73	-4.67825
TMEM60	-0.3695
CSN3	0.067
NOS1	0.3075
RAB7L1	-0.0871666666666667
YBX2	0.5945
KIAA1166	0.12375
FUBP3	-0.306833333333333
ABCG1	1.3255
ACACA	-0.346416666666667
ARL11	1.4196
ATOH1	0.7175
ODF1	-0.161333333333333
CREB3L3	-0.455166666666667
TMEM127	0.838428571428572
DSCAML1	-1.21425
PLN	1.55133333333333
LYPLA1	-0.945583333333333
PRDM9	-2.7055
SASP	0.01425
PLUNC	-0.3495
INTU	0.6375
HISPPD1	0.05
LNPEP	-0.0396666666666667
YARS2	-0.0246666666666666
APCDD1L	-2.171
ZCCHC4	-0.0696
FBXO22	-0.749333333333333
TTLL13	0.1805
ZNF669	-1.2335
PTGDR	0.1815
DDX27	0.67925
KIAA0409	-0.189333333333333
GJB6	0.32
ASB8	0.62425
PLP2	1.29866666666667
MEPE	-0.62625
OR10J5	0.4705
KRT222P	-0.74675
COQ7	0.436166666666667
C1orf101	0.2055
RERG	-2.12122222222222
CHMP5	0.294
THAP11	-0.72275
ZNF43	-1.5545
ZRANB3	-0.515166666666667
KRT13	-0.52375
MRPL19	0.62325
RBBP9	-0.012875
SPATA17	-0.221875
BXDC5	-0.252666666666667
PAFAH1B1	-0.12125
MAGEE1	-0.1185
OSTF1	0.8915
KIAA0323	-0.0517500000000001
TXNDC13	-1.01333333333333
CNTN4	0.09875
LCE1B	0.032
UNQ501	0.06425
ZNF154	-0.49625
C3orf64	0.44225
SYT5	0.00679999999999999
PON1	0.242333333333333
FLJ10357	-0.392375
ATP4A	-0.4405
GNPDA1	0.0431666666666667
MGAT1	-0.294333333333333
C14orf121	-0.1125
SLC35B2	0.14
MIER3	0.509166666666667
CHEK1	-0.85125
ZNF8	-0.6305
TXNDC1	-0.0253333333333333
CKB	0.1795
RTN3	0.131214285714286
FZD2	-2.17133333333333
PART1	0.259625
PSMB6	-0.11875
PCDHB8	-1.654
PHC3	0.4321
PPP1R8	-0.0906666666666667
NOVA2	1.07516666666667
TNFRSF11B	-0.44475
GOLPH3	0.628666666666667
UBLCP1	-0.07325
SUHW3	0.658
TTLL1	-0.409
OPN4	0.505
OR13G1	0.1645
ZPBP2	0.7634
HSD17B11	0.825125
C9orf50	-0.657
DHDDS	-0.174928571428571
CTSW	0.2347
NEFM	-2.739
MRPL28	-0.834
SYN1	0.383833333333333
PIGV	-0.0916666666666667
ZIM2	-0.8635
APBB1	-1.04516666666667
SND1	-0.74675
C1orf123	-0.0095
CHD3	-1.2915
BHLHB8	0.2085
RNASE2	-0.5186
BCAP31	0.323375
SLC25A44	-0.159666666666667
CHD6	-1.0045
PIB5PA	0.660538461538462
SELS	0.4245
LOC541471	-0.188125
FAT2	0.4925
ZNF81	0.1755
OR4C16	-0.00950000000000001
FLJ10081	-0.8792
