Hybridization REF	TCGA-AA-A02W-01A-01R-A00A-07
SPATS1	-0.05275
XKR8	-0.0945
FAM84A	5.25425
MS4A7	2.12081818181818
AGXT2L2	-0.1195
OR1F1	0.2085
SMAP1L	-1.32766666666667
IPO11	-0.6745
ZC3H11A	-0.56875
C1orf151	-0.142625
RNASEH2A	-1.29
CCR10	-1.244
TXNDC11	-0.00608333333333333
TMEM112	-0.124875
MAP1B	-2.83292857142857
NVL	-0.4535
PKM2	-1.4633
ARC	-0.05125
NUP54	-0.312
PPFIBP2	2.31383333333333
STAT2	-0.196625
PTAFR	0.220666666666667
ROBO2	0.33375
RNF40	0.11
CCDC135	-0.0631666666666667
IFT81	0.1348
MORF4	-1.1525
TM7SF3	-0.941375
OR10H3	0.48
ABP1	3.20025
CHRD	-0.399375
PLEKHA8	-0.721333333333333
NCALD	0.866583333333333
OR5AK2	0.213
ACCN1	0.454666666666667
SLITRK1	-0.07075
ARMET	1.0815
C9orf52	1.36625
REEP4	-1.45475
MTSS1	1.742625
ADH1B	2.39633333333333
DLD	-0.60775
CDK5	-0.4355
PPFIA1	-0.2953125
WFDC3	1.62275
DNAJB12	0.332928571428571
RANGRF	-0.1755
MLANA	-5.20575
AMY2B	0.803
KIAA0319	1.233125
RPS7	0.5365
JAK3	0.2866
ARFGEF1	2.17225
CXCL5	0.90575
TRAPPC4	0.036
CETN2	0.50925
HSPC111	-0.396
RHOBTB3	-0.9843
PHLPP	0.3405
RGS10	-0.36525
TMEM58	-0.529
CHERP	-0.17075
HSP90AB3P	-0.00383333333333333
FSTL3	-1.60116666666667
PEX11A	-1.02975
OR5V1	0.3235
FCN3	1.57825
PTPN3	1.19525
NPTX1	-5.0685
C21orf84	-1.41225
C11orf51	-0.012625
ZBED2	1.65525
FLJ90757	0.582
NPY2R	0.547
PLD3	-1.19725
SYT17	2.133
SGSM2	-1.24425
OR1A2	0.03925
FOXP1	1.001125
SLC5A1	5.51925
POFUT1	0.9834
EPHB6	-3.189
MYO1G	-2.568
STAC	-1.9761
KLHL17	-0.5325
RGMA	-0.2248
TJP2	1.052
FAM114A1	-1.12016666666667
SERINC1	0.360666666666667
SLC9A8	1.02525
PEX19	-0.565625
EDN2	-1.55625
PSMD7	-1.35166666666667
C3orf41	0.57375
UQCR	-0.259
PPP1R3C	-2.22475
LRP4	1.9965
TM2D1	-0.26525
TTC17	0.86
C4BPB	-3.6895
CCL25	0.488
ZNF253	0.00633333333333334
CHRNA9	-3.55725
SOX11	-2.162125
HIVEP3	-0.421
CGN	1.54316666666667
C3orf35	0.27675
PKD2L1	0.719
SYVN1	0.25275
PDE8B	-2.588875
LOC439951	0.58725
LTC4S	0.897166666666667
MIF4GD	0.467666666666667
SMARCA2	0.6
TUBGCP6	-0.403333333333333
CABLES1	-0.628375
C16orf77	0.556
ZNF791	0.08425
FUT5	2.7415
ADH6	-0.905166666666667
P4HB	-0.15625
CLDND2	-0.0445
ALKBH8	-0.10125
PLAC4	-0.7085
F11R	0.662071428571429
MGC35295	0.375833333333333
PDZD4	0.0153333333333333
LOC389073	-0.31825
FAM80B	-2.91533333333333
PSMB1	-0.36
TXN	-0.077
VIPR1	2.1499
WBSCR18	0.3301
EXOSC6	-0.376166666666667
ACTA2	3.6205
SP5	0.177583333333333
ANKRD1	-3.04925
DDR1	1.086
ATP6V1D	-0.645
PTGS1	-2.80308333333333
RNF157	0.17125
DCC	0.1365
SPAG7	-0.119
FBXO18	-0.2835
UBE3C	-0.3719
HOXC6	-0.80875
LRP2BP	-0.191
MYST2	0.2015
PDSS2	0.405
ATE1	-0.077
ARAF	0.17225
KLF10	0.5355
PLA2G2E	0.105
ASCL1	-0.951666666666667
TSNAXIP1	-0.46175
FAM131B	-0.289625
IFNA10	-0.028
NUP43	-0.283875
FAM44B	-0.488875
L1TD1	-6.13533333333333
NMD3	-0.806166666666667
C18orf54	-1.5293
PHOSPHO1	-0.509
RAG2	-0.9505
EMILIN3	0.206
METTL3	-0.50875
VPS13C	0.49225
REXO2	-0.7495
ANXA4	1.36775
CA1	-0.9105
DCP1B	0.266
TULP3	-0.8225
ATP2A2	0.322357142857143
ATIC	0.3545
ADAM15	-0.251
NPL	0.306833333333333
LGR4	0.047625
UEVLD	0.362833333333333
GAB1	0.4705
SNAI2	-2.445
ZGPAT	0.5908
SNF1LK	-0.395625
DLEU1	-0.244
UBE2Q1	0.181
ZMYM6	-0.144875
JPH3	-2.0105
FAM38A	-0.48
PXK	-0.386333333333333
DENND2D	2.13675
BAX	0.754583333333333
CP	-5.28509090909091
RPL37	1.4444
G6PC3	0.440625
NCOA4	-0.6915
LRRC14	0.53475
GORASP1	0.66575
FCHO2	0.261125
CYP24A1	-2.341
FXYD3	1.502375
SMARCAL1	0.35725
ABCB8	-0.516833333333333
CCDC44	-0.19325
PRDM7	-3.227
USH1C	4.2645
DNAH5	0.1395
SRF	-0.108666666666667
MAL2	3.14033333333333
PGPEP1	0.0878333333333333
SIN3B	-1.04725
SEMA3C	-1.24566666666667
GRAMD3	0.591
FBXO10	-0.174375
OR5D13	0.1455
FLJ31818	-0.118875
CACNA1I	0.47525
S100A13	-1.4665
TP63	-1.05457142857143
ANXA11	0.4948
WDR66	0.951375
CSF2RB	0.0255
IFI44	-1.45
DACT1	1.1575
ANKRD23	-1.16975
ATP5G1	0.0241666666666667
C21orf70	-0.301666666666667
PPWD1	-0.98875
DNAJC13	-0.1035
PAH	-4.03983333333333
PTCH2	0.2175
TRMU	-0.4735
CCDC9	-0.006
USP3	-0.4482
DCLRE1C	0.2761
FAM55C	-0.69975
FRMD4B	0.60275
CYP2R1	0.3055
RFPL1	-0.2936
XPO5	-0.03775
ARL6IP2	0.354
OSBPL5	0.6115
MMP9	2.16990909090909
KIAA0802	-0.35425
DHRS2	-5.26866666666667
SGEF	-0.499875
TXNDC10	-1.073
EXOC6	-0.48325
RPS27	0.5185
PNCK	-0.916833333333333
FSTL1	-1.7695
AACS	0.54425
SLMAP	0.189
SAMD4A	-0.5856
ABRA	-0.01475
SMARCD3	-1.351
PKNOX2	-2.39883333333333
A4GNT	0.1055
C9orf39	-2.84033333333333
RALYL	-0.13125
MGC33556	-3.412
C10orf25	-0.6835
BBOX1	-0.012
NHEDC1	-0.04625
XDH	0.673
GCSH	-0.772
EDN1	3.83666666666667
MTERF	0.247
CLK4	0.100125
ZNF799	0.430833333333333
KCNG1	-2.243125
CXCR4	-2.222
PTPRR	2.75575
IRAK1	-0.18
LOC401397	-0.469
TMSB10	1.11857142857143
CXCL3	1.2843
TMC4	2.2815
OR7A10	0.5015
STYK1	1.20175
CHRNA10	0.21025
CCNI	-0.03825
EP300	0.948714285714286
LOC165186	-0.682833333333333
HIC2	-1.81375
SDR-O	-0.4545
OR2W1	0.4875
KCNA6	0.363
TRIM74	-0.12825
REEP6	0.8175
ATP5G2	0.33825
ERG	-0.225875
TMEM42	0.6265
PARN	0.2205
SOD2	-0.0485625
DIRAS1	-1.21616666666667
PNPT1	-0.171
JOSD3	-0.07125
hCG_40738	0.5135
PDE1C	-1.7355
SEMA4D	1.181875
AGPAT1	-0.286
NOSTRIN	0.298
MAP3K3	-1.035
MAX	0.982785714285714
CAPS	1.983
SERPINA12	-0.018
OSBPL8	-0.206
RICS	1.8222
NR4A2	-0.618166666666667
PPCS	0.482166666666667
LONP1	-1.4305
SCYL3	0.3295
HERC2P2	0.0318333333333333
FIBCD1	-0.7385
C15orf41	-0.522
DMC1	-0.644
C20orf27	0.4015
RPS6KA5	0.059
FAHD1	-0.268833333333333
SLC12A4	-1.8105
BRCA1	-0.3605
GBL	-0.748
SLK	-0.299833333333333
NUDT9P1	-0.622
NOXO1	3.751
USP52	0.05625
BAZ1B	-0.163625
SLCO2B1	2.3015
BBS12	0.495333333333333
LRGUK	-0.584166666666667
TERF2IP	-0.72425
COL1A1	2.654
KIAA0090	0.032625
GRK5	0.489166666666667
AP1S2	-2.6537
TMEM52	0.511
CA11	-0.655875
OR4A15	0.379666666666667
ACBD3	-0.037
SPAG11B	0.650875
PRDM2	0.5229
FOXP3	0.11675
SMYD3	-1.2093
LOC389199	0.467
LGI2	4.12666666666667
NAPE-PLD	0.177
ANKRD6	-0.399
WDR45	0.233833333333333
SHROOM1	0.403
PSCD3	-0.2235
PYY	0.3785
KCNC1	-1.3615
ARHGEF9	0.0387
OR8J1	0.38125
GPR55	0.569
NS3BP	-0.803
C10orf22	0.0913333333333333
NAT8L	-0.39925
DUSP4	-2.434
FOXM1	-1.14883333333333
GRAMD2	1.4258
ZBTB48	0.0485
BUD31	-0.4635
PABPC5	0.86
CCDC41	0.186
FBXO11	0.0494166666666667
C6orf148	-2.10675
RFXAP	-0.3425
C6orf15	1.88616666666667
CDK8	0.792833333333333
C6orf70	0.549375
TESSP2	0.453
ALG2	0.07525
PPP1R3D	0.82375
TPM3	-0.352444444444444
SYT13	1.7395
EPB42	-0.403333333333333
CETN3	-1.1635
PRY	-0.019
NTHL1	0.223166666666667
POLR2B	-0.555
RPS28	0.842666666666667
P2RX3	0.23925
LYZL4	-0.199
WBP4	0.8463
PMM1	0.07575
C11orf79	0.00175
CBLL1	-0.28975
IL1F10	0.233666666666667
VAX2	-0.4105
SETDB1	-0.032
LRAP	0.206833333333333
GCLM	-1.14733333333333
CPEB3	0.09875
PPM1A	0.1990625
INTS1	-0.37775
CAMTA1	0.829083333333334
SAMSN1	-3.52975
LOC158830	0.592666666666667
GMPPA	-0.0385
AIPL1	-0.1045
IL24	0.368333333333333
BDKRB1	-1.46116666666667
MLF1	0.5168
TAF12	-0.4485
ID1	-0.081625
THADA	-0.00162500000000004
PIK3CB	0.4785
OR4N5	0.046
TBC1D17	-0.464833333333333
COX8A	-0.45625
CDCA4	-0.38425
C2orf44	-0.32925
ZNF534	-0.899
IMMP1L	0.204
NIPSNAP3B	-0.198625
FTMT	0.3255
PWP2	-0.3785
MMP15	0.9835
DNAH11	-1.18625
MTMR14	0.189875
DNAL4	-0.50075
IPP	0.708
TMEM59	0.3175
C1orf157	1.16
RGS4	-1.79483333333333
DDX18	0.524333333333333
SNX6	-0.032
ZNHIT2	0.747333333333333
NCDN	-1.275
FLJ33534	-0.13
RAG1	-0.793875
OR4D10	0.1395
PTPN5	-0.537166666666667
POMT1	-0.040875
LRRC8A	-0.3281
CYP1A1	-0.9855
CAPN1	0.6555
DDHD2	-1.590875
GRIK2	0.288
GNRHR	-0.2925
PPBP	1.977
HTR3A	-0.39375
SLITRK4	-3.0725
ANKRD49	0.33125
BTF3	-0.3288
SARS	-0.53425
C13orf18	3.64433333333333
CACNB1	0.126928571428571
QKI	-2.14709090909091
SETMAR	0.59525
MAN2B1	-0.570166666666667
EML3	-0.75975
ACADL	-0.696166666666667
OFD1	0.5145
DEFB114	-0.491
CGA	-3.7875
PEX16	0.170166666666667
LRRC10	0.0815
GNG12	-0.062
C1orf152	-0.0966666666666666
CHRM1	0.006
CD53	-1.275375
DBH	-0.64725
TFAP2B	-3.685625
HIST1H2BJ	-1.24516666666667
FAM46D	0.483
TMEM11	-0.34875
C3orf32	-0.68825
PCCB	-0.326875
IPO13	-0.167625
C6orf105	-4.06075
COMMD5	0.857
SUV420H1	0.4627
LTBR	1.24525
ARHGAP15	-2.3205
HDHD2	-0.09825
TDRKH	0.462833333333333
LOC401052	-0.466
PSG4	-0.60925
GNB4	-2.3709
SPATA4	-0.3405
SLC9A3	-0.029
OSBP	0.760666666666667
NBPF3	-0.427916666666667
DOCK11	1.829
SLC39A5	2.323
PRR5	0.9329
C10orf63	-0.000874999999999997
SMTNL2	2.0795
ADRA1A	0.31625
ASAH1	-0.289
DOM3Z	-0.0299
GIPR	0.4935
AHI1	-0.0445
NADSYN1	0.211
RGS14	-0.7434
IL18BP	0.6211
RTN4RL1	-1.65675
ARMC6	-0.652
PSMD5	-0.380833333333333
HK3	0.4985
OR4S1	-0.0765
RSU1	0.298
MAD2L1	-1.25711111111111
EIF4A3	-0.199
DLEC1	0.9595
E4F1	-0.717333333333333
CHMP2B	0.8084
CAMSAP1	-0.64775
RPS21	0.742833333333333
ARID5A	0.16425
UBE2N	0.1169
IGSF8	0.506
MAGEB6	-0.7945
ACAD11	-0.3032
MGC4172	-0.2475
LMO4	-1.26525
KLKB1	0.0765
HP	-0.757
HDAC3	-0.4485
SCHIP1	-1.3795
CLCA1	1.2385
OLFML2A	-0.317625
C1orf112	-1.197
KIF19	0.955666666666667
HAPLN4	-0.1128
CXCR7	-0.395333333333333
GOT2	0.1574
RAB38	-2.008375
DCX	-0.837
PPM1H	1.64941666666667
NFYC	-0.049
KIN	-0.53575
ZNF228	0.03625
PLSCR4	2.368
HIG2	0.58825
FAM79B	0.5215
C21orf86	-0.8533
KCNK10	3.22475
ZNF738	-1.2305
FSTL5	-1.04966666666667
OR6A2	0.351
OTOA	0.283666666666667
EXOC1	0.5045
AHRR	-3.193625
PDAP1	0.0251666666666667
C19orf6	-0.5335
ZAN	0.204
LY6G6E	1.171
EIF4E2	0.03175
C20orf198	1.11575
ZNF324	0.02125
CYP3A5	3.43133333333333
ENTPD7	0.276333333333333
MBOAT5	0.641166666666667
GJB5	1.594
TTC13	-0.16175
S100Z	-1.1865
KIAA0664	-0.392333333333333
PDGFRB	0.909916666666667
IL17D	0.41575
OR56B4	0.13
RDX	-3.89416666666667
SLC34A3	0.2845
IL28B	0.0535
JUND	0.672
CHRNB1	-0.5105
CAMK2B	-1.077
FETUB	-1.0425
CXorf23	1.278625
MRTO4	-0.089625
TTC3	0.1862
NDUFB8	-0.540333333333333
EDG2	-3.26925
SEMA3G	-0.59
IL23A	0.0805
GRHL1	-0.453
LOC441054	-2.294
WDR65	-0.174375
PSTK	-0.79325
STOML3	0.0858333333333333
R3HDM2	0.5534
C5	-2.85425
SLC2A10	0.199833333333333
C3orf22	0.27
PAQR3	-0.830076923076923
ANKRD26	-0.888916666666667
HCRTR1	0.0715
LOC399947	-0.30425
PSD2	0.098
TIGD2	-0.220666666666667
SCRN1	-2.604375
COQ10A	-0.91375
DDI2	0.2225
METTL7B	2.6865
UCN2	0.3515
FAM92A3	0.633
WDR16	0.18075
ZNF511	0.678
ZMYM5	-0.2315
POLR3G	-2.01675
ZNF586	-0.141
C1orf49	0.00149999999999998
TANK	0.00483333333333334
RCAN1	-1.5075
PELI3	-0.885833333333333
LIMD2	-1.00241666666667
TMEM189	0.088
NTN4	-1.69525
LOC151300	0.255
CLEC2A	-1.2145
GPR135	-0.321
DPYSL4	-3.7917
JAK2	-1.10416666666667
TSHZ1	0.777
TM9SF4	0.474875
ZNF264	0.166
SIRPG	1.1995
BICD1	-0.805
HERC6	1.51016666666667
METTL5	0.0055
CASP1	-0.746
PRRT1	-0.572333333333333
PLA2G4C	0.490333333333333
ICA1L	-0.154
TPTE2	-0.1525
OTUD7A	0.8475
AQP11	-0.585
APOA2	-4.6277
KALRN	1.2035
SECTM1	-0.855083333333333
IFNAR1	-0.21975
TALDO1	0.018625
RAB11FIP4	1.04591666666667
EIF5A	-0.9125
FAM49A	0.013
NEGR1	-0.270666666666667
YTHDC2	-0.917125
EHD2	-1.662375
NCF1	0.1685
SCRT2	0.913
HOXA5	1.68383333333333
NUP133	-0.47825
FGF12	-2.1579375
SLMO2	0.912625
SNTA1	-0.403
CACNG2	0.0455
GCM1	0.30375
ELF1	1.5045
TLR5	0.8945
TCFL5	-0.285333333333333
RBMY2FP	-1.065
LOC100125556	0.734
FAM129B	-0.301
MAP3K7IP1	-0.554375
NCK2	0.751
OXA1L	-0.652
FMO9P	0.1555
ZSCAN12	0.06175
PSMD12	-0.38375
HSCB	-0.55825
CLDN10	-2.58525
MGC13053	-0.786
HPCAL4	-0.386333333333333
ASZ1	-0.431
MEX3D	0.595583333333333
NFAT5	-0.4016
CSPG4LYP1	-0.168333333333333
FBXO3	0.0058
DVL1	-0.219
CMKLR1	0.961666666666667
TYMS	-2.486875
PEF1	0.053
ZNF750	-2.22216666666667
MCM5	-0.6273
MEGF11	-0.49575
KCNK7	0.0375
PTP4A3	1.3035
C1QTNF2	-1.55416666666667
OR6S1	0.141
FAM122B	-0.54975
ZNF551	-0.010625
HBQ1	-1.9655
GEMIN6	-0.029
ARSK	-0.6075
RBP7	-0.6475
CPNE9	1.386
DSC1	-0.4285
LOC730112	0.32925
MAP2K4	-0.202625
HS3ST5	-1.3095
EPB41L3	-3.113
TEKT2	0.20325
CDKN2B	-0.134666666666667
ZNF480	0.18725
MAP3K6	-0.897
MAP6	1.10466666666667
HN1	0.1683
OR2L13	0.0138
SLC16A11	0.3985
FAM96A	-0.69325
APOL1	-0.4035
C5orf32	0.54875
RTP1	-0.447833333333333
RNF175	-2.149
ZBTB41	-0.18475
AHCTF1	-0.6983
SAE2	-0.2146
ITGA2	1.37683333333333
MME	2.07983333333333
CCDC14	0.8775
MAST4	-0.271214285714286
KRT33B	-0.329
KCTD2	-0.132833333333333
WDR26	-0.634916666666667
MFI2	2.2685
NR4A3	-0.866875
ARSA	0.57275
UNKL	-0.295833333333333
SULT6B1	0.1935
CCNA2	-1.99416666666667
SOX15	-0.2795
PPAPDC1B	-0.748666666666667
C19orf44	0.2225
MCAT	0.186583333333333
ARID1B	0.110375
OR52N1	-0.109
C12orf48	-0.50125
MAGI1	-0.08975
NIPA2	-0.05725
GBX2	-1.35475
RSHL3	-0.19075
RAVER1	0.215166666666667
C15orf17	-1.42
SLC30A2	1.711125
ZNF518	0.2845
PCYT1B	-0.53
C10orf114	-2.652
EIF3H	0.970833333333333
SLC25A39	-0.0956666666666667
KIF1B	-0.178625
AMOTL2	-0.30775
C6orf120	0.136
PSRC1	-1.511
PLA2G10	4.201875
KIF5C	-0.300125
MRPL37	-0.6155
C17orf62	-0.356333333333333
C9orf135	-1.02683333333333
DUSP10	-0.4576
CLCNKB	0.0225
PSMA5	-0.263625
C8orf53	1.3035
AMPD3	1.03816666666667
PIAS1	-0.49775
ADCYAP1R1	0.294
GYLTL1B	2.44175
CDH20	0.0678333333333333
FBXO7	-0.3395
TMEM134	0.6435
FLJ14213	1.91616666666667
ZNF3	0.8805
LRRFIP1	0.167083333333333
CNOT2	0.295833333333333
ABI3	1.142
ALDH5A1	0.529416666666667
HNT	1.0644
SERPINA4	0.62925
TK2	-1.00233333333333
STMN1	-1.39055555555556
GUCA2A	1.42083333333333
GALNT10	0.208142857142857
DPP6	-0.61465
C9orf93	-0.03025
PRELID2	1.288875
STK39	1.2955
SFTPA1	-1.42475
CKS2	-0.296777777777778
RHO	0.1725
C20orf135	0.158
XKR3	-1.7985
CR1	0.08725
RPS6KA2	0.0262142857142857
C20orf112	0.91425
MRPL22	-1.07475
C4orf23	0.0893333333333333
GADD45B	-1.021
KLHDC1	0.541333333333333
C2orf48	-1.73
ZNF287	0.049
DAAM2	-2.2405
DPPA2	-3.10816666666667
TCTN3	0.0831666666666667
DNAJB11	0.136375
FPR1	1.645
DEFB4	0.3095
PTCD2	-0.6123
SMOC2	5.84983333333333
CABP7	0.2985
SERPINB11	-0.2495
MAGEF1	0.24275
NDE1	0.2595
ITGA10	0.1605
FSHB	-0.111
ANXA2	-0.106625
HORMAD2	-0.22475
HLCS	-0.4235
MCF2L	1.347
FH	-1.34875
TBC1D24	-0.1615
KIAA1505	1.19975
LGALS2	-0.72625
CNBD1	0.066
SYNPO2L	-0.487
PTPN23	0.0172857142857143
C1orf183	-0.972666666666667
MAGEA8	-2.3375
DGCR8	-0.80225
GSR	-1.54325
PAQR7	0.02075
ZNF676	-1.1305
CACNA1C	0.6705
SP7	0.5285
PDCD6	0.53725
NRN1L	0.2425
BRI3BP	0.674583333333333
KIAA1183	0.12425
ASB4	0.16525
CCL23	0.5762
OBSL1	-0.77525
SLC12A7	1.162
KIAA0240	1.454375
CD1B	-3.73416666666667
FCGR2A	0.22725
MDC1	-0.45075
HTR1A	0.434
OCEL1	-0.4845
ATP11B	-0.086625
FBXO34	1.8735
PCDH12	1.65933333333333
RPE	-0.203
C17orf74	0.291
CSDC2	0.378333333333333
PET112L	-0.4935
TMBIM1	1.05225
P2RXL1	-0.3825
TCHP	-0.153
TRMT1	-0.373333333333333
F2RL2	-0.556916666666667
LRRC32	2.508
IMPG2	0.0725
BGLAP	-0.15925
LOC493869	-3.79266666666667
MRAS	-0.718625
SLC35F5	0.504
CBWD1	-0.072
AXL	-3.045
ATP2C2	3.2495
TELO2	-0.936
PNPLA3	-4.427
PCDHB14	0.44775
CD276	-0.575
KRT80	-0.22475
DUSP28	-0.083
CSNK1E	-0.267666666666667
SRP14	-0.4735
KCNQ4	-0.239
KRT72	0.143
CCDC117	-0.269
C6orf89	0.0486111111111111
TUBB2B	-2.93983333333333
RTN4IP1	-0.4395
CR1L	-3.831
CEND1	0.286375
C12orf41	-0.198833333333333
RNF31	0.0055
UBN1	0.064
C17orf32	0.23425
SLC5A7	0.6225
GPR92	2.3615
ESAM	0.863
CTNNA1	-0.0300833333333333
HRBL	0.3725
CBX4	-0.34975
TMEM182	-0.4715
SH3TC2	2.03783333333333
IL10	0.159666666666667
PXMP4	0.8895
RNF167	-0.1031
PAK7	-0.538833333333333
ETV3	-0.0045
ATPIF1	-0.449833333333333
LOC554207	-1.87933333333333
OR8H1	-0.05675
WDFY3	0.07125
DPM1	-0.34275
GPSM1	-0.053
WDR92	0.1155
LRP1	1.0185
ANKH	1.844625
THUMPD3	-0.48325
POLR1B	0.277
OLFM4	6.55083333333333
RAD9B	0.3085
TSPY2	-2.512
PAX6	-2.3455
SCG2	-2.113375
SLC17A6	0.2745
FMO3	0.77125
PADI4	0.196
TUBB4	-1.2423
NLK	-0.9355
POU4F3	-0.124
SDF4	-0.15625
ITGBL1	-0.467333333333333
NETO1	-1.588
TAP2	0.149125
ABBA-1	-0.297833333333333
GNAI1	-1.19825
VPS4B	0.20775
NOPE	0.3343
GALNT6	2.49533333333333
SESN1	2.30275
GBE1	-2.008
CLASP1	0.15625
RASGEF1B	0.551375
ACOT11	1.12364285714286
AFAP1	0.52375
OR2H2	0.06975
DPY19L2P1	-1.50975
DZIP1	-2.95
SEC22C	-1.42741666666667
GPR161	-0.561333333333333
RNF146	0.746
WDR74	0.16325
GALP	-0.3015
PURA	0.3315
DNPEP	1.08708333333333
RP11-78J21.1	-0.4445
ERBB2	1.61
FANCM	-0.82775
NEO1	1.03383333333333
DDX3Y	-4.959
RPS3A	0.38275
MXRA7	-0.221571428571429
LGALS3	1.434
GLT8D1	0.1465
CFL2	-2.268
UPB1	-0.0125
NAP1L5	-0.97775
CLDN14	-1.276
DHX38	-1.6405
BTBD1	-0.46
TARS2	-0.308166666666667
ABCF1	-0.2711
FCF1	-0.253666666666667
LRRC49	0.444
GUCY1B2	2.3025
C1orf177	0.423333333333333
SMARCA4	-0.9115
LRP8	-1.06716666666667
TAGLN3	-0.787
MRPL14	-0.22325
TTRAP	0.69875
ZDHHC20	0.53375
NFE2L3	1.8705
KIAA1377	0.54
PALMD	-1.3765
TMEM43	0.583
TTL	-1.088875
STAT5B	-0.712666666666667
SSB	-0.2065
OR10H5	0.329
SLC22A13	0.1815
AKAP3	-0.09325
TIMM23	-0.7745
OAS2	0.395083333333333
KIAA0423	-0.19225
TRIM11	0.133666666666667
GLIS3	-0.0935
TMEM50B	0.0045
ARHGEF4	-1.692375
DEGS1	-1.55454545454545
TBL1XR1	0.494433333333333
G6PD	-1.53775
SP140	-0.2537
MUC17	0.535285714285714
NUDC	-0.5779
DNAJC5B	0.388833333333333
SCARA3	-2.118
CPA3	3.73516666666667
BCAT2	-0.252875
MFN1	-0.2975
NRG3	-0.2925
SNX11	0.39075
PLEKHH1	1.17466666666667
GPR177	0.4605
HCFC2	-1.73875
TCAP	0.50775
MOCOS	-2.16975
C14orf93	0.18525
PRDM10	-0.0883333333333333
SLC16A4	0.585333333333333
SRGAP1	1.2335
VIP	4.79775
DUSP27	4.896
LILRA1	0.2964
MC2R	0.362
MGC24103	-2.73375
MBTD1	0.0195
FUT11	-1.24066666666667
USP33	-0.0126
C15orf39	-1.65675
MAP3K12	-0.812125
PAAF1	-0.0745
BARHL1	0.486
FLJ16165	-0.249
PIWIL2	-1.24325
SYNE1	-0.700833333333333
CMTM4	0.567875
TSPYL1	-0.1891
GUF1	-0.743666666666667
TMEM157	-0.2845
WDR44	-0.51825
HIST1H3C	-0.8535
DKFZp666G057	-0.677
RNPEP	0.07375
GAS2L2	-0.0996666666666667
ADH4	-3.6455
GRPR	-0.36
FBXL17	0.7955
ZBTB10	0.89275
Gcom1	0.159055555555556
HTRA1	-1.0351
ZNF585A	-0.0481666666666667
SLC26A2	0.957214285714286
OTOP3	0.295333333333333
WISP1	0.693333333333333
ATP2B4	-1.05133333333333
FLJ10769	1.25
CRAMP1L	-0.167875
CHST12	-0.781
RAB22A	0.775416666666667
TARDBP	-0.324142857142857
STAU1	0.69375
CRB3	2.12466666666667
MIG7	-1.184
CHMP1A	-0.0643333333333333
ZNF160	0.103
B3GALT6	0.121
BARX1	-2.265
C6orf167	-0.7700625
NXNL1	0.085
DHX29	-0.54775
HADHB	-1.228
PLXNB2	0.418375
ILDR1	-0.055
SLC15A3	0.923
GAS2	0.971
C20orf69	0.0295
NUMB	0.305
TNIP1	0.110375
MESP1	-1.9045
PSKH1	-0.35925
NSFL1C	0.424
RHOG	-0.05375
HEY1	-3.31666666666667
KNG1	-1.30925
ITGAX	0.6537
LIN9	-0.540333333333333
CANT1	0.999625
XRN1	-0.0172142857142857
CCDC96	-0.151
HEATR6	-1.22
GNG7	-1.29258333333333
RUNX2	0.433875
SOX1	0.516
FCRL5	0.4035
ZNF99	-0.172125
FAM9A	-0.7745
SNX22	0.5335
MBNL3	-1.92966666666667
ODC1	0.1533
ADORA2B	1.7325
NR2F6	-0.205
ZFYVE16	-0.471833333333333
SYNJ2BP	0.4698
POLE	-0.37825
E2F2	-0.96825
THRA	1.58266666666667
PTGES2	-0.560833333333333
HIP1R	0.863
TMUB1	0.1365
ENO3	-1.96975
RSPH10B	0.36
CXorf39	0.853
IRGC	0.1185
GPR109B	-1.06375
FLJ13305	-0.511
LCE3A	-0.5355
TNFRSF18	-1.39533333333333
DET1	0.14675
TRPM3	-0.124083333333333
C16orf79	-1.0105
FECH	-1.19
RAP2A	0.283833333333333
CRIP1	0.604
AZIN1	0.374375
SLC7A7	3.3785
IL10RA	-0.3747
TMEM64	-1.77725
CDC42EP4	0.6159
C16orf58	0.7551
ARG2	0.15
POU5F1P4	-2.485
FAM62B	-0.5745
DNAH8	-1.7534
ASH2L	-0.93925
TSLP	-2.763
CNTNAP5	-0.457666666666667
TMEM16C	-0.88525
IFNA14	0.3945
SLC1A3	-1.86275
CABYR	-2.32575
BCL7B	-0.4523
NUDT13	-0.853833333333333
C13orf28	-0.14575
C1orf53	0.46275
ARL6IP4	0.0518
RPL35A	0.5
EMR3	0.39125
RAB40C	0.31925
SLC41A1	-0.489
LRCH1	0.9075
LY6G5B	-0.2385
FAM124A	-0.0794285714285714
MGC10981	-4.2735
CLIP3	-0.415
MAP4K2	-0.960333333333333
CHIC1	0.5695
SULF1	2.58266666666667
C20orf30	0.838357142857143
PRDM5	-0.254
ELOVL1	-0.347
C11orf48	-0.147
SLC39A10	0.265
KCNV1	0.52725
ACP1	-0.151833333333333
ZMYM2	0.56325
B3GNT6	0.175166666666667
C9orf69	0.558
C2orf15	1.4765
C20orf166	0.681
HSP90AA6P	0.2035
EDG7	-0.481
NEURL	-0.312125
LPL	-1.70933333333333
CLEC2D	-0.531928571428571
GRRP1	0.419166666666667
CD8B	-1.6877
HIST1H3D	-1.609
SLC6A12	-0.01025
FAM27L	-0.1765
CD84	0.1018
RASA1	-0.0625
PHKG1	-0.2415
MAGEA11	-1.2775
IMPA1	-1.1076
NPM3	0.267
RARRES1	3.8435
