Hybridization REF	TCGA-AA-A01G-01A-01R-A002-07
ATE1	0.5105
ARAF	-0.8215
KLF10	-0.435
PLA2G2E	0.911333333333333
ASCL1	-1.7165
TSNAXIP1	-1.04575
FAM131B	1.28725
IFNA10	1.1745
NUP43	0.122625
FAM44B	-0.067625
L1TD1	-0.0451666666666667
NMD3	-0.788833333333333
C18orf54	-0.1724
PHOSPHO1	0.2875
RAG2	-1.346
EMILIN3	-0.0395
METTL3	-1.14775
VPS13C	1.004125
REXO2	-0.204
ANXA4	1.67375
CA1	2.4505
DCP1B	0.237
TULP3	-0.773833333333333
ATP2A2	0.650857142857143
ATIC	0.0235
ADAM15	-0.211
NPL	1.43666666666667
LGR4	0.92725
UEVLD	0.302833333333333
GAB1	1.405
SNAI2	-2.1525
ZGPAT	-0.2685
SNF1LK	-0.13975
DLEU1	0.352
UBE2Q1	0.14725
ZMYM6	-0.075875
JPH3	-3.1254
FAM38A	-0.38175
PXK	0.0213333333333333
DENND2D	2.10075
BAX	0.550666666666667
CP	-4.98454545454545
RPL37	0.1572
G6PC3	0.230875
NCOA4	-0.496
LRRC14	-0.153
GORASP1	0.159
FCHO2	0.972
CYP24A1	-2.5226
FXYD3	2.743875
SMARCAL1	0.114
ABCB8	-0.643166666666667
CCDC44	0.18825
PRDM7	-4.467
USH1C	3.96875
DNAH5	-0.7675
SRF	-0.0524166666666666
MAL2	2.46166666666667
PGPEP1	0.150666666666667
SIN3B	-0.84525
SEMA3C	-1.01016666666667
GRAMD3	1.65325
FBXO10	0.179125
OR5D13	1.1725
FLJ31818	-0.5255
CACNA1I	0.194875
S100A13	-1.532
TP63	-0.791
ANXA11	1.0757
WDR66	-0.697375
CSF2RB	-0.0405
IFI44	-0.51225
DACT1	1.17666666666667
ANKRD23	-1.383875
ATP5G1	0.9525
C21orf70	-0.259166666666667
PPWD1	-0.7725
DNAJC13	-0.18675
PAH	-4.07183333333333
PTCH2	0.27775
TRMU	-0.5985
CCDC9	0.288
USP3	0.6858
DCLRE1C	0.4343
FAM55C	-0.215
FRMD4B	1.25975
CYP2R1	0.22575
RFPL1	-1.1699
XPO5	-0.41375
ARL6IP2	0.6155
OSBPL5	0.74025
MMP9	2.52327272727273
KIAA0802	-1.24875
DHRS2	-4.055
SGEF	0.07525
TXNDC10	-0.6798
EXOC6	0.5675
RPS27	0.3415
PNCK	-2.23266666666667
FSTL1	-2.22875
AACS	0.326
SLMAP	0.697833333333333
SAMD4A	-0.0213
ABRA	0.09425
SMARCD3	-1.80475
PKNOX2	-2.9095
A4GNT	-0.0305
C9orf39	-0.4035
RALYL	0.222
MGC33556	-2.991
C10orf25	-1.0135
BBOX1	-0.3305
NHEDC1	-1.32825
XDH	1.5195
GCSH	-0.5745
EDN1	2.84666666666667
MTERF	-1.001
CLK4	0.010125
ZNF799	0.510833333333333
KCNG1	-1.946125
CXCR4	-1.09783333333333
PTPRR	0.01475
IRAK1	0.221875
LOC401397	-1.563
TMSB10	0.902285714285714
CXCL3	2.7723
TMC4	2.026
OR7A10	-0.00500000000000012
STYK1	3.4735
CHRNA10	0.035
CCNI	-0.085
EP300	0.681142857142857
LOC165186	-0.128166666666667
HIC2	-1.44675
SDR-O	-0.096
OR2W1	0.4955
KCNA6	-0.6305
TRIM74	-0.014
REEP6	-2.4385
ATP5G2	0.12025
ERG	-0.08225
TMEM42	-0.389
PARN	-0.0888333333333333
SOD2	0.181375
DIRAS1	-1.08833333333333
PNPT1	-0.052
JOSD3	-0.29375
hCG_40738	1.01
PDE1C	-1.61025
SEMA4D	0.507875
AGPAT1	-0.472
NOSTRIN	1.32825
MAP3K3	-1.30283333333333
MAX	0.409928571428571
CAPS	-0.904833333333333
SERPINA12	-0.246
OSBPL8	-0.3335
RICS	1.1894
NR4A2	1.1585
PPCS	0.724833333333333
LONP1	-0.86
SCYL3	0.6595
HERC2P2	-0.8065
FIBCD1	-0.34
C15orf41	0.6885
DMC1	-1.12266666666667
C20orf27	-0.19375
RPS6KA5	0.2898
FAHD1	0.0561666666666667
SLC12A4	-1.9415
BRCA1	0.0868333333333334
GBL	-0.268
SLK	0.749833333333333
NUDT9P1	-0.9555
NOXO1	5.7895
USP52	-0.836
BAZ1B	0.025625
SLCO2B1	2.099
BBS12	1.00433333333333
LRGUK	-1.39283333333333
TERF2IP	-0.49275
COL1A1	3.3555
KIAA0090	0.557125
GRK5	0.126
AP1S2	-2.8888
TMEM52	-0.316833333333333
CA11	-1.316
OR4A15	0.127666666666667
ACBD3	0.908
SPAG11B	-0.1165
PRDM2	0.508
FOXP3	0.032
SMYD3	-0.8249
LOC389199	0.578
LGI2	1.4005
NAPE-PLD	0.6577
ANKRD6	-1.671
WDR45	-0.714833333333333
SHROOM1	0.79225
PSCD3	0.1205
PYY	0.517
KCNC1	-0.648
ARHGEF9	1.2677
OR8J1	0.35925
GPR55	0.871166666666667
NS3BP	-1.89
C10orf22	0.294166666666667
NAT8L	-3.24025
DUSP4	-2.66733333333333
FOXM1	-0.446
GRAMD2	1.7204
ZBTB48	-0.573166666666667
BUD31	-0.2575
PABPC5	-0.992
CCDC41	1.30175
FBXO11	0.2415
C6orf148	-0.4345
RFXAP	-0.188
C6orf15	0.505333333333333
CDK8	0.869166666666667
C6orf70	-0.11925
TESSP2	-0.2825
ALG2	0.5025
PPP1R3D	1.36325
TPM3	0.705222222222222
SYT13	1.24775
EPB42	-0.787166666666667
CETN3	-1.10125
PRY	0.2245
NTHL1	0.192333333333333
POLR2B	-0.329
RPS28	0.515833333333333
P2RX3	0.55575
LYZL4	1.13275
WBP4	0.7769
PMM1	-0.96275
C11orf79	-0.463
CBLL1	-0.38625
IL1F10	0.324
VAX2	-0.7895
SETDB1	-0.507833333333333
LRAP	-0.225
GCLM	0.0868333333333333
CPEB3	1.0965
PPM1A	0.512625
INTS1	-0.58375
CAMTA1	0.800583333333333
SAMSN1	-3.2175
LOC158830	0.765333333333333
GMPPA	-0.456625
AIPL1	0.209333333333333
IL24	0.735083333333333
BDKRB1	-1.06233333333333
MLF1	-3.9913
TAF12	-0.56075
ID1	0.352625
THADA	-1.026125
PIK3CB	-0.41975
OR4N5	-0.5415
TBC1D17	-0.3445
COX8A	-0.22275
CDCA4	-0.65325
C2orf44	-0.7705
ZNF534	-0.2525
IMMP1L	0.58
NIPSNAP3B	-0.341125
FTMT	0.180571428571429
PWP2	-0.590166666666667
MMP15	1.1167
DNAH11	-1.4745
MTMR14	-0.84
DNAL4	-1.00025
IPP	-0.17825
TMEM59	0.248125
C1orf157	0.26
RGS4	-1.16983333333333
DDX18	0.574166666666667
SNX6	-0.18375
ZNHIT2	0.595333333333333
NCDN	-1.416
FLJ33534	-0.5205
RAG1	-1.187375
OR4D10	0.288
PTPN5	0.131166666666667
POMT1	-0.321375
LRRC8A	-0.2056
CYP1A1	-0.2865
CAPN1	-0.496666666666667
DDHD2	-1.432625
GRIK2	0.00425
GNRHR	0.282
PPBP	2.4205
HTR3A	-1.123125
SLITRK4	-3.613
ANKRD49	0.20025
BTF3	-0.1169
SARS	-0.205
C13orf18	4.377
CACNB1	-0.275785714285714
QKI	-1.82736363636364
SETMAR	-0.230875
MAN2B1	-0.5445
EML3	-1.919
ACADL	-0.761833333333333
OFD1	-0.41825
DEFB114	0.133
CGA	-3.4972
PEX16	-0.00483333333333333
LRRC10	0.398
GNG12	0.374
C1orf152	-0.113833333333333
CHRM1	0.0965
CD53	-1.69425
DBH	-0.77175
TFAP2B	-4.37085714285714
HIST1H2BJ	-1.36116666666667
FAM46D	0.3275
TMEM11	-0.92225
C3orf32	-1.35175
PCCB	-1.19975
IPO13	-0.084125
C6orf105	0.7025
COMMD5	0.23975
SUV420H1	-0.4036
LTBR	1.102
ARHGAP15	-2.484
HDHD2	-0.00325
TDRKH	-0.7055
LOC401052	-1.7065
PSG4	-0.93675
GNB4	-2.2156
SPATA4	-1.332
SLC9A3	0.636
OSBP	0.572666666666667
NBPF3	-1.09441666666667
DOCK11	0.1075
SLC39A5	2.39366666666667
PRR5	0.7702
C10orf63	0.5245
SMTNL2	-0.68575
ADRA1A	-0.2655
ASAH1	0.3459
DOM3Z	-0.7607
GIPR	0.801666666666667
AHI1	0.0158333333333333
NADSYN1	0.0908333333333333
RGS14	-0.9292
IL18BP	0.4766
RTN4RL1	-2.38733333333333
ARMC6	-0.3795
PSMD5	0.0283333333333333
HK3	0.7539
OR4S1	-0.32325
RSU1	1.0619
MAD2L1	-0.416111111111111
EIF4A3	0.00425
DLEC1	0.319
E4F1	-0.375
CHMP2B	1.1273
CAMSAP1	-0.25175
RPS21	0.421833333333333
ARID5A	-0.102
UBE2N	0.8304
IGSF8	-0.224
MAGEB6	-1.256
ACAD11	-1.4349
MGC4172	0.347
LMO4	0.8145
KLKB1	0.2785
HP	-1.345
HDAC3	-0.35625
SCHIP1	-1.63875
CLCA1	8.705
OLFML2A	0.106857142857143
C1orf112	-0.902
KIF19	2.01316666666667
HAPLN4	-0.0855
CXCR7	-0.6195
GOT2	0.8441
RAB38	-2.39525
DCX	-1.666
PPM1H	1.79283333333333
NFYC	0.13975
KIN	0.111375
ZNF228	1.47025
PLSCR4	0.369166666666667
HIG2	-0.11725
FAM79B	0.9445
C21orf86	-0.6791
KCNK10	3.25275
ZNF738	-1.166625
FSTL5	-0.833
OR6A2	0.738
OTOA	-0.00216666666666669
EXOC1	0.48925
AHRR	-3.261125
PDAP1	-0.520916666666667
C19orf6	-0.359875
ZAN	0.37625
LY6G6E	1.0845
EIF4E2	0.51475
C20orf198	-0.058
ZNF324	0.354
CYP3A5	3.0265
ENTPD7	1.8
MBOAT5	-0.212166666666667
GJB5	-1.07125
TTC13	0.61925
S100Z	-1.487
KIAA0664	-0.599333333333333
PDGFRB	1.34208333333333
IL17D	0.09075
OR56B4	-0.4995
RDX	-4.58733333333333
SLC34A3	0.669
IL28B	0.1905
JUND	1.041
CHRNB1	-1.57825
CAMK2B	-1.57775
FETUB	-2.4735
CXorf23	1.284375
MRTO4	0.3225
TTC3	0.3745
NDUFB8	0.0431666666666667
EDG2	-1.506
SEMA3G	-1.18925
IL23A	-0.00325
GRHL1	-0.5944
LOC441054	-4.1665
WDR65	0.11725
PSTK	0.23425
STOML3	1.1035
R3HDM2	0.623
C5	-2.86375
SLC2A10	-0.892166666666667
C3orf22	0.46375
PAQR3	-0.184153846153846
ANKRD26	-0.64225
HCRTR1	0.914
LOC399947	-0.9345
PSD2	-0.9675
TIGD2	0.707166666666667
SCRN1	-2.202875
COQ10A	-0.836
DDI2	-0.611
METTL7B	2.3155
UCN2	0.825
FAM92A3	-0.11075
WDR16	1.91925
ZNF511	1.3805
ZMYM5	0.208
POLR3G	-0.6095
ZNF586	-0.6075
C1orf49	0.315333333333333
TANK	-0.00166666666666667
RCAN1	0.108666666666667
PELI3	-0.438166666666667
LIMD2	-1.12108333333333
TMEM189	0.489
NTN4	-1.6145
LOC151300	0.446
CLEC2A	-1.341
GPR135	-0.36875
DPYSL4	-3.5569
JAK2	-0.340333333333333
TSHZ1	0.879333333333333
TM9SF4	0.736125
ZNF264	-0.743333333333333
SIRPG	1.0765
BICD1	-0.34175
HERC6	1.52483333333333
METTL5	-0.3245
CASP1	3.07525
PRRT1	-1.112
PLA2G4C	2.74533333333333
ICA1L	-0.522285714285714
TPTE2	-0.1134
OTUD7A	0.945
AQP11	-0.1825
APOA2	-4.3098
KALRN	0.7846
SECTM1	-0.48525
IFNAR1	-0.1405
TALDO1	-0.02125
RAB11FIP4	1.61166666666667
EIF5A	-1.0455
FAM49A	0.13875
NEGR1	-0.6635
YTHDC2	0.550125
EHD2	-1.8405
NCF1	0.2751
SCRT2	0.9
HOXA5	2.214
NUP133	-0.1865
FGF12	-1.94053333333333
SLMO2	1.395
SNTA1	-1.544375
CACNG2	0.13
GCM1	0.423
ELF1	0.974833333333333
TLR5	1.14275
TCFL5	-0.348416666666667
RBMY2FP	-0.799
LOC100125556	0.0299999999999999
FAM129B	-0.15375
MAP3K7IP1	-0.765875
NCK2	0.062
OXA1L	-0.88025
FMO9P	0.384
ZSCAN12	0.3865
PSMD12	0.236
HSCB	-0.433
CLDN10	-3.9265
MGC13053	-0.47125
HPCAL4	-1.0528
ASZ1	-0.322
MEX3D	1.2565
NFAT5	0.155
CSPG4LYP1	-0.653166666666667
FBXO3	0.3009
DVL1	-0.512333333333333
CMKLR1	1.30183333333333
TYMS	-1.725375
PEF1	0.4915
ZNF750	-2.1964
MCM5	-0.6291
MEGF11	0.918
KCNK7	0.4735
PTP4A3	0.45
C1QTNF2	-1.0175
OR6S1	0.1605
FAM122B	-0.2795
ZNF551	0.393875
HBQ1	-2.504
GEMIN6	-0.14
ARSK	-0.2205
RBP7	-0.499166666666667
CPNE9	0.436
DSC1	0.31
LOC730112	-0.0185
MAP2K4	-0.404
HS3ST5	-1.333
EPB41L3	-0.89325
TEKT2	-1.37825
CDKN2B	0.6205
ZNF480	1.59675
MAP3K6	-1.0509
MAP6	-0.1495
HN1	1.6737
OR2L13	0.2014
SLC16A11	0.34575
FAM96A	-0.0415
APOL1	-0.4355
C5orf32	1.17625
RTP1	-0.512666666666667
RNF175	-1.347625
ZBTB41	0.138625
AHCTF1	-0.1171
SAE2	1.0124
ITGA2	1.51716666666667
MME	-1.851
CCDC14	-0.017
MAST4	-0.2555
KRT33B	-0.6965
KCTD2	-0.645
WDR26	-0.420833333333333
MFI2	1.818
NR4A3	0.096625
ARSA	0.419
UNKL	-0.568333333333333
SULT6B1	0.8655
CCNA2	-0.309666666666667
SOX15	0.4505
PPAPDC1B	-0.81525
C19orf44	-0.228
MCAT	0.818583333333333
ARID1B	0.160375
OR52N1	0.6145
C12orf48	0.585
MAGI1	0.20975
NIPA2	0.21775
GBX2	-1.3825
RSHL3	0.07175
RAVER1	0.211
C15orf17	-1.41925
SLC30A2	2.069625
ZNF518	0.889
PCYT1B	-2.22325
C10orf114	-2.3895
EIF3H	1.1875
SLC25A39	-0.0441666666666667
KIF1B	0.261875
AMOTL2	-0.423
C6orf120	-0.00924999999999999
PSRC1	-0.906
PLA2G10	3.82125
KIF5C	-0.904125
MRPL37	0.0155
C17orf62	-0.375666666666667
C9orf135	-1.16966666666667
DUSP10	0.505
CLCNKB	-0.692
PSMA5	0.433625
C8orf53	1.04775
AMPD3	0.791333333333333
PIAS1	-0.6525
ADCYAP1R1	-0.015
GYLTL1B	0.9565
CDH20	0.199833333333333
FBXO7	-0.1545
TMEM134	-0.412
FLJ14213	2.602
ZNF3	-0.418
LRRFIP1	0.225833333333333
CNOT2	0.757083333333333
ABI3	1.37925
ALDH5A1	-0.301666666666667
HNT	1.1405
SERPINA4	-3.06375
TK2	-0.458833333333333
STMN1	-0.983444444444444
GUCA2A	4.84666666666667
GALNT10	0.703214285714286
DPP6	-0.871944444444444
C9orf93	-0.3035
PRELID2	1.77025
STK39	1.727875
SFTPA1	-1.31825
CKS2	-0.124333333333333
RHO	0.41025
C20orf135	-0.22725
XKR3	-3.1745
CR1	-0.029875
RPS6KA2	-0.284214285714286
C20orf112	1.67325
MRPL22	-0.245
C4orf23	0.107333333333333
GADD45B	-1.2425
KLHDC1	-0.540333333333333
C2orf48	-2.178
ZNF287	-1.3865
DAAM2	-2.24925
DPPA2	-2.489
TCTN3	-0.147666666666667
DNAJB11	0.74425
FPR1	1.85725
DEFB4	0.566
PTCD2	-0.3679
SMOC2	3.996
CABP7	0.01375
SERPINB11	-0.125
MAGEF1	-0.696
NDE1	-0.359833333333333
ITGA10	0.358
FSHB	-0.032
ANXA2	0.8525
HORMAD2	-0.47675
HLCS	-0.195
MCF2L	1.11825
FH	-0.3065
TBC1D24	0.976
KIAA1505	1.509
LGALS2	0.71625
CNBD1	0.564
SYNPO2L	-0.14725
PTPN23	-0.356357142857143
C1orf183	-0.998
MAGEA8	-3.2435
DGCR8	-0.401
GSR	-0.2
PAQR7	0.00125
ZNF676	-1.43
CACNA1C	-0.2632
SP7	0.4005
PDCD6	-0.54675
NRN1L	-0.976
BRI3BP	1.42358333333333
KIAA1183	-0.311
ASB4	0.5545
CCL23	1.2408
OBSL1	-3.394375
SLC12A7	0.368166666666667
KIAA0240	1.015
CD1B	-3.0885
FCGR2A	0.431375
MDC1	-0.6815
HTR1A	0.754833333333333
OCEL1	-0.671
ATP11B	0.4885625
FBXO34	1.82316666666667
PCDH12	2.1575
RPE	0.32175
C17orf74	0.5025
CSDC2	0.249666666666667
PET112L	-0.88125
TMBIM1	0.428
P2RXL1	-0.0185
TCHP	0.1865
TRMT1	-0.8095
F2RL2	-0.664916666666667
LRRC32	2.1835
IMPG2	0.261
BGLAP	-0.758
LOC493869	-2.90333333333333
MRAS	-0.504875
SLC35F5	0.21225
CBWD1	-0.202
AXL	-3.516625
ATP2C2	3.84275
TELO2	-0.33425
PNPLA3	-2.5895
PCDHB14	1.24875
CD276	-0.487
KRT80	0.263375
DUSP28	-0.8345
CSNK1E	-0.657083333333333
SRP14	-0.0145
KCNQ4	0.462
KRT72	-0.0446666666666667
CCDC117	-0.128125
C6orf89	-0.459222222222222
TUBB2B	-2.07166666666667
RTN4IP1	-0.02425
CR1L	-4.50266666666667
CEND1	-0.13975
C12orf41	-0.141833333333333
RNF31	-0.22575
UBN1	0.0493333333333333
C17orf32	0.61575
SLC5A7	0.894666666666667
GPR92	2.43183333333333
ESAM	1.6056
CTNNA1	0.34625
HRBL	1.058
CBX4	-0.406
TMEM182	-0.09675
SH3TC2	2.04466666666667
IL10	0.461
PXMP4	0.806
RNF167	-1.0485
PAK7	-0.302666666666667
ETV3	-0.014
ATPIF1	0.241833333333333
LOC554207	-2.157
OR8H1	0.18325
WDFY3	0.128625
DPM1	0.01525
GPSM1	-0.399
WDR92	-0.0446
LRP1	0.515333333333333
ANKH	0.2635
THUMPD3	-1.086
POLR1B	0.18
OLFM4	8.94083333333333
RAD9B	0.73425
TSPY2	-3.862
PAX6	-2.01466666666667
SCG2	-3.27
SLC17A6	-0.10225
FMO3	1.462375
PADI4	-0.088125
TUBB4	-1.158
NLK	-0.10375
POU4F3	0.088
SDF4	-0.544
ITGBL1	-2.98933333333333
NETO1	-2.141625
TAP2	0.432375
ABBA-1	-0.598166666666667
GNAI1	-0.66825
VPS4B	0.9685
NOPE	-0.0632
GALNT6	1.954
SESN1	1.66625
GBE1	-2.15522222222222
CLASP1	-0.1835
RASGEF1B	1.271
ACOT11	1.901
AFAP1	0.90275
OR2H2	-0.05075
DPY19L2P1	-1.325
DZIP1	-2.62175
SEC22C	-0.914666666666667
GPR161	-1.32666666666667
RNF146	0.3955
WDR74	-0.446125
GALP	0.3105
PURA	0.4265
DNPEP	0.337166666666667
RP11-78J21.1	-0.614
ERBB2	1.747
FANCM	-0.467583333333333
NEO1	1.73283333333333
DDX3Y	0.3901
RPS3A	0.357875
MXRA7	-1.44921428571429
LGALS3	2.26283333333333
GLT8D1	-0.666
CFL2	-3.19916666666667
UPB1	-0.00849999999999999
NAP1L5	-0.829625
CLDN14	0.7665
DHX38	-0.4755
BTBD1	0.3035
TARS2	-0.4675
ABCF1	-0.1214
FCF1	-0.261
LRRC49	1.32525
GUCY1B2	0.6135
C1orf177	0.728333333333333
SMARCA4	-0.900357142857143
LRP8	-0.2715
TAGLN3	-0.6585
MRPL14	-0.30175
TTRAP	0.20375
ZDHHC20	1.80175
NFE2L3	1.74025
KIAA1377	0.158375
PALMD	-1.09144444444444
TMEM43	-0.853
TTL	-0.594375
STAT5B	-0.971333333333333
SSB	-0.405
OR10H5	0.4285
SLC22A13	-0.3235
AKAP3	-1.73675
TIMM23	0.165333333333333
OAS2	1.51258333333333
KIAA0423	-0.36875
TRIM11	0.255166666666667
GLIS3	0.773625
TMEM50B	0.904666666666667
ARHGEF4	-2.219125
DEGS1	-1.84363636363636
TBL1XR1	1.3637
G6PD	-1.94675
SP140	0.4233
MUC17	1.23542857142857
NUDC	-0.1189
DNAJC5B	1.45383333333333
SCARA3	-2.606
CPA3	4.486
BCAT2	0.617625
MFN1	-0.1283
NRG3	0.2835
SNX11	0.29875
PLEKHH1	0.379
GPR177	-0.0481666666666667
HCFC2	-0.214
TCAP	0.04575
MOCOS	-0.05725
C14orf93	0.25725
PRDM10	0.269166666666667
SLC16A4	-0.26475
SRGAP1	0.0996666666666667
VIP	2.63775
DUSP27	0.454333333333333
LILRA1	0.0985
MC2R	-0.329
MGC24103	-3.216
MBTD1	-0.555
FUT11	-1.70033333333333
USP33	0.1151
C15orf39	-0.27775
MAP3K12	-0.880875
PAAF1	-0.8265
BARHL1	0.2135
FLJ16165	-0.1195
PIWIL2	-1.441
SYNE1	-1.06891666666667
CMTM4	1.546875
TSPYL1	0.2503
GUF1	0.59
TMEM157	0.049
WDR44	-0.0085
HIST1H3C	0.0665
DKFZp666G057	-1.13275
RNPEP	-0.19375
GAS2L2	0.170833333333333
ADH4	-0.7095
GRPR	-0.377
FBXL17	0.42275
ZBTB10	0.730666666666667
Gcom1	0.672944444444445
HTRA1	-0.99
ZNF585A	0.402
SLC26A2	2.85671428571429
OTOP3	0.155333333333333
WISP1	1.07188888888889
ATP2B4	-2.0615
FLJ10769	0.05325
CRAMP1L	-0.29875
CHST12	-1.081
RAB22A	0.838166666666667
TARDBP	0.205
STAU1	0.47625
CRB3	2.59583333333333
MIG7	-1.06225
CHMP1A	0.303833333333333
ZNF160	-0.11775
B3GALT6	0.086375
BARX1	-2.04283333333333
C6orf167	-0.5755
NXNL1	0.8835
DHX29	0.078375
HADHB	-0.5305
PLXNB2	-0.056
ILDR1	-0.65825
SLC15A3	0.984
GAS2	-2.03716666666667
C20orf69	-0.96825
NUMB	0.2435
TNIP1	-0.0445
MESP1	1.53366666666667
PSKH1	-0.18725
NSFL1C	-0.435625
RHOG	-0.352
HEY1	-2.35916666666667
KNG1	-1.257125
ITGAX	0.4937
LIN9	-0.0716666666666667
CANT1	1.171625
XRN1	-0.0632857142857143
CCDC96	-0.0581
HEATR6	-1.72366666666667
GNG7	-1.51608333333333
RUNX2	0.389875
SOX1	0.173666666666667
FCRL5	0.5027
ZNF99	-0.52775
FAM9A	0.208
SNX22	0.701
MBNL3	-1.37566666666667
ODC1	0.818
ADORA2B	1.02916666666667
NR2F6	0.06775
ZFYVE16	-0.465944444444445
SYNJ2BP	0.7185
POLE	-0.494375
E2F2	0.304125
THRA	1.16333333333333
PTGES2	-0.4
HIP1R	0.887833333333333
TMUB1	-0.4475
ENO3	-2.52025
RSPH10B	-0.7445
CXorf39	1.812
IRGC	0.20925
GPR109B	-0.376
FLJ13305	-0.872
LCE3A	0.321
TNFRSF18	-1.6085
DET1	-0.29325
TRPM3	-0.0705833333333333
C16orf79	-0.777
FECH	-1.15583333333333
RAP2A	1.30683333333333
CRIP1	0.3195
AZIN1	0.199625
SLC7A7	3.90925
IL10RA	-0.2614
TMEM64	-1.9545
CDC42EP4	0.7869
C16orf58	-0.406
ARG2	-0.96625
POU5F1P4	-3.61325
FAM62B	-0.84975
DNAH8	-2.0212
ASH2L	-0.748375
TSLP	-2.96216666666667
CNTNAP5	-0.1986
TMEM16C	-1.246
IFNA14	-0.0335
SLC1A3	-1.955875
CABYR	-0.30875
BCL7B	-0.4625
NUDT13	-1.8225
C13orf28	0.30975
C1orf53	0.872
ARL6IP4	0.5099
RPL35A	-0.2475
EMR3	1.05825
RAB40C	0.548916666666666
SLC41A1	-0.625
LRCH1	0.82175
LY6G5B	-0.7245
FAM124A	0.0512857142857143
MGC10981	-3.8105
CLIP3	-1.0242
MAP4K2	-2.07316666666667
CHIC1	0.2045
SULF1	2.413
C20orf30	-0.301
PRDM5	0.639375
ELOVL1	-0.44375
C11orf48	0.093875
SLC39A10	0.29425
KCNV1	1.388
ACP1	-0.34
ZMYM2	0.607875
B3GNT6	2.713
C9orf69	0.278
C2orf15	1.496
C20orf166	1.056
HSP90AA6P	-0.017
EDG7	-0.548
NEURL	0.771125
LPL	2.19466666666667
CLEC2D	-1.07292307692308
GRRP1	0.881166666666667
CD8B	-3.1455
HIST1H3D	-0.559666666666667
SLC6A12	0.51525
FAM27L	-1.0925
CD84	-0.4224
RASA1	-0.3335
PHKG1	-0.4125
MAGEA11	-0.091
IMPA1	0.038
NPM3	0.748
RARRES1	3.55825
SH3BP1	0.498
B3GNTL1	-0.2055
ARPC5L	0.0735
KLHL26	-0.151
SIM2	-0.96375
GJC1	0.4595
C20orf194	-2.04325
EXO1	-1.38825
SLC2A2	-2.81733333333333
LOC285074	-0.89275
LRG1	-0.56975
KIRREL	-0.4425
PIK3R1	1.00985714285714
C4orf34	-0.78125
MAF	-2.34916666666667
ADCY4	2.954
ZMIZ2	1.0711
SLC46A3	2.153
STAMBP	-0.1075
CCDC16	1.04775
MS4A12	4.9235
TCF20	1.644
LRRC46	-0.15725
C20orf152	0.00499999999999999
MRPS6	-0.557125
ABCB11	0.308
KCNC2	0.247
CDH19	-2.7916
C9orf123	-0.175666666666667
SSH3	-0.19575
LDLRAD1	-3.42525
CCBE1	-1.5415
ZNF135	-1.9175
TAAR1	0.788
WFDC12	0.1035
CCDC42	-0.495166666666667
FLJ12529	-0.7445
PER1	-1.39166666666667
TIMM50	1.06533333333333
SMARCAD1	-0.5165
FAM26C	0.1985
TP53TG3	-3.11333333333333
SH3RF1	1.9679
LMCD1	0.62125
GPR63	0.4385
FLJ21986	-3.16475
AIFM3	2.4625
MICAL1	-0.0108333333333333
BLZF1	-0.3435
IQCA	-1.77883333333333
PCDHGC3	-0.7155
SAC	0.49375
BCL6B	1.169
DDO	-0.59225
MARCO	2.03625
DCHS1	0.471333333333333
C1orf170	-2.258
CD200R1	0.116
C22orf15	-0.458
SEPT11	1.18016666666667
ADNP	0.07675
UST	-2.7528
C13orf34	0.419666666666667
RFFL	1.73442857142857
APBA3	0.3075
C2orf60	-0.053875
CUTL1	0.153
PMS1	-0.63425
ZNF689	-0.5625
EIF3E	-0.120666666666667
IL9	0.2738
RPL31	-0.00899999999999998
LY9	-0.0902
ATP2B3	0.2175
KDELR2	0.346916666666667
TFCP2	1.2465
NLRP12	-1.108625
FLJ45422	0.05725
TLE4	-0.0994
ZNF570	-1.9905
FLJ43806	-1.0415
TLK2	0.2805
CIR	0.51025
MARS2	1.634
COL24A1	-0.90725
SDF2L1	0.192
HIBADH	-0.511
IGFBP3	-3.36885714285714
C12orf23	-0.52825
PSPC1	0.5625
C20orf43	-0.05625
TRAV20	1.418
ARHGAP24	-0.105375
KIAA1975	-0.819125
C1QA	3.3479
DNTT	-4.723
C10orf6	-0.635916666666667
C11orf41	-0.9485
HNRPF	0.722625
COL11A1	2.91966666666667
UBAP2	0.0673333333333333
CDKN2AIPNL	-0.827
C20orf174	2.01925
SPRED2	0.08375
PLA2G12A	0.154666666666667
ICEBERG	-1.965
SCN10A	0.1345
C11orf65	-0.8485
GBP5	3.97625
PITPNC1	-1.55183333333333
POU3F3	0.594
NCOA7	1.8715
LIN7C	0.8209
LOC348840	-0.12
NKX2-2	-1.8325
ANKRD13D	-0.56225
LOC123688	0.332
FUT2	3.85183333333333
TAAR8	0.6405
FZD4	-0.592666666666667
PNMA3	-1.9715
OR4L1	0.1705
WIT1	-2.9355
EXOC3L	1.38425
ATPBD4	0.2177
KRBA1	-3.976
UBXD6	-1.154
HOXB7	1.75757142857143
C7orf23	-0.5375
UNQ338	1.14025
STAB2	0.89425
CDC20B	-0.349666666666667
IRF9	1.38275
CENTG1	-0.122666666666667
TNPO2	-0.67
MCPH1	-0.7585
BMS1P5	-1.132
SLC26A7	0.47975
HIST1H3J	0.758
C9orf3	0.5699
LBH	0.870125
MYO1D	2.294625
PTDSS2	-0.55225
NFU1	-0.153
DEPDC4	-0.47125
WNT7B	-0.9702
GLP2R	-0.4255
SETD4	-0.9396
DYNLT3	-0.1401
