Hybridization REF	TCGA-AA-A00D-01A-01R-A002-07
COQ10A	-0.79225
DDI2	0.502
METTL7B	1.7475
UCN2	0.03525
FAM92A3	-0.90325
WDR16	0.374333333333333
ZNF511	1.18116666666667
ZMYM5	0.62625
POLR3G	-1.6845
ZNF586	-0.442
C1orf49	0.257
TANK	0.337166666666667
RCAN1	-0.252
PELI3	-0.229833333333333
LIMD2	-0.232
TMEM189	0.0795
NTN4	-2.50675
LOC151300	null
CLEC2A	-0.7865
GPR135	-0.1625
DPYSL4	-3.4091
JAK2	1.50716666666667
TSHZ1	0.683833333333333
TM9SF4	0.131125
ZNF264	-0.447
SIRPG	2.19125
BICD1	-0.38575
HERC6	2.71366666666667
METTL5	-0.1905
CASP1	3.907
PRRT1	-0.1675
PLA2G4C	1.39933333333333
ICA1L	-0.0357857142857143
TPTE2	0.0716666666666667
OTUD7A	0.457833333333333
AQP11	0.1275
APOA2	-4.7368
KALRN	-0.2956
SECTM1	1.411
IFNAR1	0.397
TALDO1	0.31275
RAB11FIP4	1.17425
EIF5A	-1.216
FAM49A	2.33575
NEGR1	-0.199666666666667
YTHDC2	0.035
EHD2	-1.387875
NCF1	2.2532
SCRT2	0.4085
HOXA5	-0.976
NUP133	-0.29575
FGF12	-2.0868125
SLMO2	0.501625
SNTA1	-1.487625
CACNG2	0.174875
GCM1	0.12575
ELF1	1.83266666666667
TLR5	2.10275
TCFL5	-0.673333333333333
RBMY2FP	-1.473
LOC100125556	0.135875
FAM129B	-0.05675
MAP3K7IP1	-0.4365
NCK2	0.975
OXA1L	-0.38175
FMO9P	0.821
ZSCAN12	0.2555
PSMD12	-0.10025
HSCB	-0.20375
CLDN10	-3.86825
MGC13053	-0.85475
HPCAL4	-0.461666666666667
ASZ1	-0.5365
MEX3D	0.748583333333333
NFAT5	0.8731
CSPG4LYP1	-0.696166666666667
FBXO3	0.2492
DVL1	-0.284333333333333
CMKLR1	3.53333333333333
TYMS	-1.576
PEF1	0.73625
ZNF750	-0.479333333333333
MCM5	-0.7764
MEGF11	-0.478
KCNK7	-0.028
PTP4A3	1.3575
C1QTNF2	-1.80466666666667
OR6S1	0.3445
FAM122B	0.20575
ZNF551	-1.1675
HBQ1	-2.8345
GEMIN6	-0.27525
ARSK	-0.43875
RBP7	0.406166666666667
CPNE9	0.47625
DSC1	0.389
LOC730112	0.415
MAP2K4	-0.257375
HS3ST5	-1.672
EPB41L3	-1.16775
TEKT2	-1.72875
CDKN2B	-0.457333333333333
ZNF480	-2.324
MAP3K6	-1.2244
MAP6	0.921166666666667
HN1	0.7083
OR2L13	-0.0835
SLC16A11	0.60725
FAM96A	-0.755
APOL1	1.69875
C5orf32	1.599
RTP1	-0.4738
RNF175	-1.029875
ZBTB41	0.465875
AHCTF1	-0.1585
SAE2	-0.3386
ITGA2	1.29491666666667
MME	-2.10833333333333
CCDC14	-0.96225
MAST4	-0.389
KRT33B	-0.523
KCTD2	-0.225666666666667
WDR26	0.09975
MFI2	2.760875
NR4A3	-0.145125
ARSA	1.65925
UNKL	-0.643
SULT6B1	0.353
CCNA2	-0.735166666666667
SOX15	-0.024
PPAPDC1B	0.00375
C19orf44	-0.061
MCAT	0.366916666666667
ARID1B	0.11275
OR52N1	0.0115
C12orf48	-0.3635
MAGI1	-1.081125
NIPA2	-0.63825
GBX2	-2.0935
RSHL3	0.072
RAVER1	0.213666666666667
C15orf17	-1.2915
SLC30A2	1.97775
ZNF518	0.4175
PCYT1B	-1.6575
C10orf114	-2.244
EIF3H	1.11225
SLC25A39	0.1285
KIF1B	0.08725
AMOTL2	-1.13275
C6orf120	0.0955
PSRC1	-1.17775
PLA2G10	2.760375
KIF5C	-0.583875
MRPL37	-0.3685
C17orf62	-0.1975
C9orf135	-1.307
DUSP10	0.0917
CLCNKB	-0.0235
PSMA5	0.613
C8orf53	1.237
AMPD3	0.824333333333333
PIAS1	-0.42875
ADCYAP1R1	0.0445
GYLTL1B	0.9515
CDH20	-0.162833333333333
FBXO7	0.201
TMEM134	-0.1055
FLJ14213	2.67066666666667
ZNF3	0.48225
LRRFIP1	-0.087125
CNOT2	0.216833333333333
ABI3	2.6885
ALDH5A1	0.60125
HNT	0.8051
SERPINA4	-1.4755
TK2	0.285583333333333
STMN1	-0.940222222222222
GUCA2A	3.1535
GALNT10	0.2535
DPP6	-0.8486
C9orf93	-0.453
PRELID2	0.81
STK39	1.471
SFTPA1	-0.76825
CKS2	-0.312
RHO	0.271
C20orf135	0.04025
XKR3	-2.622
CR1	1.477625
RPS6KA2	0.390571428571429
C20orf112	1.027
MRPL22	-0.43
C4orf23	0.5205
GADD45B	-0.23425
KLHDC1	0.896333333333333
C2orf48	-1.8005
ZNF287	-0.9695
DAAM2	-2.09275
DPPA2	-3.30783333333333
TCTN3	0.3695
DNAJB11	-0.16675
FPR1	3.62125
DEFB4	0.325
PTCD2	-0.4805
SMOC2	3.44566666666667
CABP7	0.847
SERPINB11	0.0305
MAGEF1	-0.2625
NDE1	0.0231666666666667
ITGA10	0.3015
FSHB	0.6515
ANXA2	0.3805
HORMAD2	0.29025
HLCS	0.1585
MCF2L	1.5005
FH	-0.785875
TBC1D24	0.4855
KIAA1505	1.574
LGALS2	1.12775
CNBD1	-0.749
SYNPO2L	-0.348
PTPN23	0.0131428571428571
C1orf183	-0.551666666666667
MAGEA8	-3.22325
DGCR8	-0.49425
GSR	-0.17575
PAQR7	-0.3065
ZNF676	-1.286
CACNA1C	0.1579
SP7	-0.046
PDCD6	-0.18025
NRN1L	-1.2145
BRI3BP	0.85675
KIAA1183	0.59275
ASB4	0.14325
CCL23	2.3576
OBSL1	-3.203125
SLC12A7	1.01933333333333
KIAA0240	0.551
CD1B	-2.39233333333333
FCGR2A	2.160625
MDC1	-1.254
HTR1A	0.306666666666667
OCEL1	-0.6895
ATP11B	0.22525
FBXO34	1.42666666666667
PCDH12	2.2875
RPE	-0.3215
C17orf74	0.00800000000000001
CSDC2	0.586666666666667
PET112L	-0.45625
TMBIM1	1.554625
P2RXL1	-0.39925
TCHP	-0.0875
TRMT1	-0.6995
F2RL2	0.286333333333333
LRRC32	2.59233333333333
IMPG2	-0.065
BGLAP	-0.6605
LOC493869	-2.3595
MRAS	0.78975
SLC35F5	0.5995
CBWD1	-0.4255
AXL	-2.186125
ATP2C2	3.99275
TELO2	-0.66725
PNPLA3	-3.411
PCDHB14	-0.1315
CD276	-0.604
KRT80	-0.64375
DUSP28	-0.1575
CSNK1E	-0.552166666666667
SRP14	-0.7035
KCNQ4	-0.1755
KRT72	0.6425
CCDC117	0.0185
C6orf89	-0.0303333333333333
TUBB2B	-2.27883333333333
RTN4IP1	-0.49
CR1L	-2.56933333333333
CEND1	-0.182875
C12orf41	-0.1895
RNF31	0.745
UBN1	-0.00733333333333332
C17orf32	0.238875
SLC5A7	0.674333333333333
GPR92	1.492
ESAM	1.6504
CTNNA1	0.105333333333333
HRBL	0.415
CBX4	-0.4165
TMEM182	-0.18325
SH3TC2	1.28666666666667
IL10	0.880666666666667
PXMP4	0.6955
RNF167	-0.3513
PAK7	-0.1265
ETV3	-0.325
ATPIF1	0.2425
LOC554207	-2.1988
OR8H1	0.284
WDFY3	0.565
DPM1	-0.3475
GPSM1	-0.278
WDR92	-0.0882
LRP1	0.511166666666667
ANKH	0.00687500000000003
THUMPD3	-0.676
POLR1B	0.11525
OLFM4	1.156
RAD9B	1.58625
TSPY2	-4.0445
PAX6	-1.11683333333333
SCG2	-1.922125
SLC17A6	0.45375
FMO3	1.938125
PADI4	-0.00525000000000002
TUBB4	-1.2891
NLK	-0.3235
POU4F3	-0.248
SDF4	-0.0475
ITGBL1	0.868833333333333
NETO1	-2.04225
TAP2	1.37375
ABBA-1	-0.28225
GNAI1	-1.417
VPS4B	0.22325
NOPE	0.0996
GALNT6	1.5745
SESN1	3.574375
GBE1	-2.55955555555556
CLASP1	-0.039
RASGEF1B	2.264
ACOT11	1.54385714285714
AFAP1	0.618
OR2H2	0.1175
DPY19L2P1	-1.0515
DZIP1	-2.166
SEC22C	-0.541083333333333
GPR161	-0.755
RNF146	0.95175
WDR74	-0.42775
GALP	0.267
PURA	0.6725
DNPEP	0.765333333333333
RP11-78J21.1	-0.52725
ERBB2	1.127625
FANCM	-0.68
NEO1	0.481666666666667
DDX3Y	1.1781
RPS3A	0.017875
MXRA7	-0.332
LGALS3	1.89383333333333
GLT8D1	0.236
CFL2	-2.42666666666667
UPB1	0.06225
NAP1L5	-0.845125
CLDN14	-0.483
DHX38	-0.572
BTBD1	-0.63325
TARS2	-0.254666666666667
ABCF1	-0.315
FCF1	-0.00433333333333334
LRRC49	-0.9765
GUCY1B2	-0.4775
C1orf177	0.242833333333333
SMARCA4	-0.577
LRP8	-0.960166666666667
TAGLN3	-0.8565
MRPL14	-0.24475
TTRAP	-0.0815
ZDHHC20	1.5115
NFE2L3	1.769
KIAA1377	0.424375
PALMD	-0.1223
TMEM43	-0.1765
TTL	-0.168875
STAT5B	-1.1855
SSB	-0.254625
OR10H5	-0.236
SLC22A13	-0.82325
AKAP3	-0.3655
TIMM23	-0.335166666666667
OAS2	2.901
KIAA0423	-0.49025
TRIM11	0.0801666666666667
GLIS3	0.261375
TMEM50B	0.933
ARHGEF4	-1.478625
DEGS1	-0.635
TBL1XR1	0.772333333333333
G6PD	-1.48375
SP140	1.8233
MUC17	2.89335714285714
NUDC	-0.3419
DNAJC5B	2.83016666666667
SCARA3	-1.98333333333333
CPA3	5.8555
BCAT2	-0.493875
MFN1	0.2724
NRG3	-0.4265
SNX11	-0.29425
PLEKHH1	0.251333333333333
GPR177	1.081
HCFC2	0.10525
TCAP	-0.94875
MOCOS	-0.63225
C14orf93	-0.15925
PRDM10	-0.258666666666667
SLC16A4	0.668916666666667
SRGAP1	-0.464
VIP	4.18925
DUSP27	-0.6265
LILRA1	1.2939
MC2R	-0.1305
MGC24103	-2.093
MBTD1	-0.674
FUT11	-1.59666666666667
USP33	0.3317
C15orf39	-0.98575
MAP3K12	-0.49025
PAAF1	-1.1185
BARHL1	0.322
FLJ16165	-0.4325
PIWIL2	-1.2535
SYNE1	-0.255083333333333
CMTM4	0.921875
TSPYL1	-0.3977
GUF1	0.381166666666667
TMEM157	0.163
WDR44	0.25875
HIST1H3C	-0.29625
DKFZp666G057	-0.8135
RNPEP	0.63975
GAS2L2	-0.5355
ADH4	-4.391
GRPR	-0.2358
FBXL17	0.4945
ZBTB10	-0.232916666666667
Gcom1	-0.111944444444444
HTRA1	-0.4172
ZNF585A	0.160333333333333
SLC26A2	0.3545
OTOP3	0.492666666666667
WISP1	1.87033333333333
ATP2B4	-1.16316666666667
FLJ10769	1.39325
CRAMP1L	-0.319375
CHST12	-0.6155
RAB22A	0.6965
TARDBP	-0.0929285714285714
STAU1	0.47075
CRB3	2.53216666666667
MIG7	-2.46325
CHMP1A	0.449
ZNF160	-0.3925
B3GALT6	0.435375
BARX1	-2.27033333333333
C6orf167	-0.4274375
NXNL1	0.408
DHX29	0.1285
HADHB	-0.00199999999999999
PLXNB2	0.41825
ILDR1	-0.50325
SLC15A3	2.50475
GAS2	-0.446333333333333
C20orf69	-0.6105
NUMB	0.6675
TNIP1	0.8995
MESP1	-0.5695
PSKH1	-0.01525
NSFL1C	-0.722875
RHOG	0.15525
HEY1	-2.24333333333333
KNG1	-0.2695
ITGAX	2.3538
LIN9	-0.697333333333333
CANT1	1.7805
XRN1	1.1745
CCDC96	0.5167
HEATR6	-1.34
GNG7	0.6975
RUNX2	0.4224375
SOX1	0.109
FCRL5	3.0205
ZNF99	-0.936875
FAM9A	-0.0535
SNX22	0.882833333333333
MBNL3	-1.65
ODC1	-0.7002
ADORA2B	-0.892
NR2F6	-0.5065
ZFYVE16	0.216722222222222
SYNJ2BP	0.9812
POLE	-0.80125
E2F2	-0.666
THRA	0.922833333333334
PTGES2	-0.00166666666666668
HIP1R	1.02383333333333
TMUB1	0.0706666666666667
ENO3	-2.35125
RSPH10B	0.652
CXorf39	1.03025
IRGC	0.34475
GPR109B	2.17075
FLJ13305	-0.6255
LCE3A	-0.038
TNFRSF18	-0.901166666666667
DET1	-0.894
TRPM3	-0.263333333333333
C16orf79	-1.5585
FECH	-1.1305
RAP2A	1.3695
CRIP1	0.339833333333333
AZIN1	0.8465
SLC7A7	4.30025
IL10RA	1.4106
TMEM64	-0.31925
CDC42EP4	0.5637
C16orf58	-0.1904
ARG2	-3.29
POU5F1P4	-2.72975
FAM62B	-0.340375
DNAH8	-1.502
ASH2L	-0.183
TSLP	-3.71116666666667
CNTNAP5	-0.193833333333333
TMEM16C	-0.64175
IFNA14	0.499
SLC1A3	0.5375
CABYR	-0.825
BCL7B	-0.3185
NUDT13	-1.76183333333333
C13orf28	0.29525
C1orf53	-1.1365
ARL6IP4	0.2533
RPL35A	-0.32675
EMR3	1.13675
RAB40C	0.311833333333333
SLC41A1	-0.885666666666666
LRCH1	2.12675
LY6G5B	-1.697
FAM124A	-0.540214285714286
MGC10981	-4.25416666666667
CLIP3	-0.2804
MAP4K2	-2.10233333333333
CHIC1	1.15475
SULF1	3.86433333333333
C20orf30	-1.11621428571429
PRDM5	0.622375
ELOVL1	0.102
C11orf48	-0.448875
SLC39A10	-0.3935
KCNV1	0.01025
ACP1	-0.340166666666667
ZMYM2	0.7785
B3GNT6	0.880833333333333
C9orf69	0.48575
C2orf15	1.091
C20orf166	0.203
HSP90AA6P	0.8875
EDG7	-1.234
NEURL	-1.473125
LPL	-1.3685
CLEC2D	-0.0332142857142857
GRRP1	1.6605
CD8B	-2.6651
HIST1H3D	-1.285
SLC6A12	1.504625
FAM27L	-0.121
CD84	2.5209
RASA1	0.2895
PHKG1	-0.6835
MAGEA11	-1.561
IMPA1	1.252
NPM3	0.26725
RARRES1	5.6735
SH3BP1	0.343375
B3GNTL1	0.05
ARPC5L	0.063
KLHL26	-0.375
SIM2	1.735625
GJC1	0.2425
C20orf194	-0.92725
EXO1	-1.386
SLC2A2	-2.55583333333333
LOC285074	-0.9555
LRG1	1.397
KIRREL	-0.69
PIK3R1	1.30157142857143
C4orf34	-0.66225
MAF	-1.29861111111111
ADCY4	3.5605
ZMIZ2	0.9497
SLC46A3	3.11583333333333
STAMBP	0.00916666666666667
CCDC16	0.31125
MS4A12	-0.1515
TCF20	0.80775
LRRC46	0.0825
C20orf152	0.58825
MRPS6	-0.667125
ABCB11	-0.3925
KCNC2	-0.0306666666666667
CDH19	-1.6145
C9orf123	-0.071
SSH3	0.31925
LDLRAD1	-2.69025
CCBE1	-0.8575
ZNF135	-0.96325
TAAR1	0.151
WFDC12	0.5875
CCDC42	0.300166666666667
FLJ12529	-0.45075
PER1	-1.37066666666667
TIMM50	-0.315833333333333
SMARCAD1	-0.616333333333333
FAM26C	1.206
TP53TG3	-3.16283333333333
SH3RF1	1.2528
LMCD1	0.3025
GPR63	-0.413
FLJ21986	-2.49825
AIFM3	0.889
MICAL1	0.528333333333333
BLZF1	0.228
IQCA	-0.700666666666667
PCDHGC3	-0.743
SAC	0.4785
BCL6B	2.29933333333333
DDO	0.057
MARCO	3.9
DCHS1	1.36883333333333
C1orf170	-2.26716666666667
CD200R1	1.58516666666667
C22orf15	-0.7735
SEPT11	0.425833333333333
ADNP	0.305
UST	-2.3552
C13orf34	0.313833333333333
RFFL	0.740714285714286
APBA3	0.3095
C2orf60	-0.048625
CUTL1	0.4538
PMS1	-0.632
ZNF689	-0.1925
EIF3E	1.15983333333333
IL9	0.1995
RPL31	-0.3395
LY9	1.243
ATP2B3	-0.127
KDELR2	0.444083333333333
TFCP2	0.688375
NLRP12	-0.438375
FLJ45422	0.15675
TLE4	-0.048
ZNF570	-1.0595
FLJ43806	1.176
TLK2	-0.095125
CIR	0.6105
MARS2	1.008
COL24A1	-0.26575
SDF2L1	0.107
HIBADH	-0.238833333333333
IGFBP3	-1.95028571428571
C12orf23	-0.480625
PSPC1	0.6915
C20orf43	0.1685
TRAV20	-0.23
ARHGAP24	0.223
KIAA1975	-1.438625
C1QA	3.745
DNTT	-4.7595
C10orf6	0.34175
C11orf41	-3.00325
HNRPF	0.394125
COL11A1	3.77283333333333
UBAP2	0.2735
CDKN2AIPNL	-1.148
C20orf174	4.014
SPRED2	0.1055
PLA2G12A	0.513333333333333
ICEBERG	-1.7245
SCN10A	0.2875
C11orf65	-0.2145
GBP5	5.24725
PITPNC1	-1.181
POU3F3	0.457
NCOA7	2.116625
LIN7C	-0.1558
LOC348840	-0.7805
NKX2-2	-3.34933333333333
ANKRD13D	-0.394625
LOC123688	-0.998
FUT2	3.31316666666667
TAAR8	0.3605
FZD4	-0.78075
PNMA3	-0.904166666666666
OR4L1	0.7245
WIT1	-2.87
EXOC3L	1.271
ATPBD4	-0.0711
KRBA1	-3.215
UBXD6	-1.0765
HOXB7	1.69028571428571
C7orf23	0.216
UNQ338	2.26775
STAB2	1.484
CDC20B	0.075
IRF9	2.815
CENTG1	0.662083333333333
TNPO2	-0.549
MCPH1	-0.0785
BMS1P5	-0.99175
SLC26A7	-0.23175
HIST1H3J	0.16075
C9orf3	1.2587
LBH	1.08075
MYO1D	1.6025
PTDSS2	-0.5235
NFU1	0.2795
DEPDC4	-1.08675
WNT7B	-1.1582
GLP2R	-0.558833333333333
SETD4	-0.297
DYNLT3	-0.1734
FKBP11	0.740166666666667
SESTD1	-0.146166666666667
FLII	-0.81475
RPS16	0.0774
CHPF	-0.4
CSNK2A1	-1.11966666666667
SUMO1P1	-0.30275
FKBP6	-1.341
ZNF214	1.051
TWIST1	-0.343833333333333
DDX56	-0.180333333333333
TRAM1L1	-0.3158
EPO	-3.24216666666667
MRPS18B	-0.36875
ZNF682	-1.89466666666667
RPL14	-0.1325
MAFF	-0.01825
LOC51136	-0.693375
LY96	0.23075
DDX20	-0.1465
ABTB1	0.180166666666667
ARL5A	0.6096
CCT6A	-0.30125
HEPACAM	-1.6815
EHHADH	0.673
RBAK	0.6475
CGB1	0.26525
ITGB5	-0.8283
YIPF3	0.37975
FKBP2	0.4495
NR1D1	-0.8228
TMEM110	-0.145
NEK2	-0.259333333333333
PRAMEF8	-3.47575
C20orf52	-0.165333333333333
PCDHGA3	-1.4895
VWA3B	0.178
NDUFA5	-0.009375
THAP9	0.103
FLVCR2	0.648333333333334
AP1S1	0.241
SMAD6	-1.01275
SAV1	0.588625
SAT1	1.71625
ZNF251	1.084875
ADAMTS7	0.4743
RPP38	0.52775
C1orf211	-1.873
YPEL2	0.8703
RBMS1	-1.5725
ZNF445	-0.1925
NRXN2	-0.168833333333333
PGBD4	-1.0405
UGT2B28	4.09675
WBSCR16	-0.53
NLRC3	1.204125
ASTL	0.09175
ST6GALNAC1	1.3215
ZADH2	-0.082875
MLLT4	0.832583333333334
ARL6	-0.465333333333333
MEF2C	-0.07375
CBFA2T3	-2.482
AFF3	-0.553428571428571
COG7	-0.745166666666667
MYB	-0.689333333333333
PLXNA3	0.3545
XRCC2	-1.47866666666667
MMS19	-0.4985
ST8SIA5	-1.15325
CHPT1	-0.073
KIAA1712	-0.828125
OR6X1	1.4655
ACTR3	0.948125
UGCG	-0.3335
OR4P4	0.537
ZAP70	-1.769
LPP	1.096875
ZNF485	0.7875
PTPRCAP	0.90825
IL12RB1	1.43825
ATRX	-0.1172
CHST8	-3.197
C14orf109	0.00699999999999999
ARV1	-0.14775
NMB	-0.654
COX5A	-0.686333333333333
EIF6	0.1605
MPPED2	-1.85433333333333
SEMG1	-1.008
CHRDL1	1.7385
TRAF3IP2	0.973
WNK2	0.51325
LILRA4	1.90916666666667
LAMA2	2.99225
PXT1	0.303
RLBP1	-3.21025
CD300C	0.4835
SLTM	-0.24975
FLJ10404	-0.199875
APOBEC3D	-0.169333333333333
RENBP	1.79633333333333
ATXN7L1	0.6705
NID1	-0.216
TUBGCP3	0.36
ITIH5	0.925611111111111
CCDC110	-0.16875
C8A	-3.8185
MGC87042	1.28575
HOXC13	-3.99925
TFDP2	-0.29525
HCP5	2.929125
POLI	-1.468
UCN	-1.18583333333333
ZNF764	-0.320666666666667
C8orf45	2.69375
FHL3	-0.39625
SPATA5L1	-0.703
MMRN2	2.47133333333333
NDST1	-0.1865
COL20A1	-0.445
ZNF248	-0.219333333333333
PELP1	-0.954833333333333
MBL2	-3.21533333333333
RNF41	0.285875
C5orf24	0.6715
THOC5	-0.46475
SERINC3	0.265916666666667
RP11-151A6.2	2.49975
CDCP2	0.537
HIST1H2AA	-0.06525
C11orf75	0.7145
FKBP7	-0.93225
DDOST	-0.234
GPNMB	0.727
TTF2	-0.0681666666666667
KCNT1	0.0428333333333333
SLC39A14	0.521625
NGRN	-0.8887
GPR137B	1.1625
MECP2	0.42375
PSMA1	0.12575
C16orf73	-5.5115
TMEM60	-0.349
CSN3	-0.7795
NOS1	0.192333333333333
RAB7L1	0.707333333333333
YBX2	1.2235
KIAA1166	0.0545
FUBP3	-0.130333333333333
ABCG1	1.428
ACACA	-0.28075
ARL11	1.0906
ATOH1	-0.124
ODF1	0.233666666666667
CREB3L3	-0.995666666666667
TMEM127	0.9445
DSCAML1	-0.1355
PLN	2.63116666666667
LYPLA1	1.23175
PRDM9	-2.24475
SASP	0.31125
PLUNC	0.185
INTU	-0.10975
HISPPD1	0.08525
LNPEP	0.560166666666667
YARS2	-0.5185
APCDD1L	-1.8
ZCCHC4	-0.3879
FBXO22	-1.35616666666667
TTLL13	-0.00899999999999999
ZNF669	-0.0993333333333333
PTGDR	2.8115
DDX27	0.56975
KIAA0409	-0.144333333333333
GJB6	0.34925
ASB8	0.65625
PLP2	1.00616666666667
MEPE	0.05
OR10J5	0.0445
KRT222P	0.58075
COQ7	-0.290833333333333
C1orf101	0.37425
RERG	-1.1459
CHMP5	-0.096875
THAP11	-0.228625
ZNF43	-1.1665
ZRANB3	-0.406
KRT13	-1.28475
MRPL19	-0.4435
RBBP9	-0.846
SPATA17	0.34875
BXDC5	-0.228166666666667
PAFAH1B1	-0.7685
MAGEE1	-1.15025
OSTF1	0.56225
KIAA0323	0.5455
TXNDC13	1.351
CNTN4	1.184
LCE1B	-0.3785
UNQ501	0.691
ZNF154	-0.4215
C3orf64	0.3775
SYT5	0.00189999999999999
PON1	0.9115
FLJ10357	-0.133125
ATP4A	-1.1025
GNPDA1	0.3735
MGAT1	0.675666666666667
C14orf121	0.56775
SLC35B2	-0.5245
MIER3	-0.321333333333333
CHEK1	-1.071
ZNF8	-1.69466666666667
TXNDC1	0.140333333333333
CKB	-1.8654
RTN3	0.208
FZD2	-1.35383333333333
PART1	-0.51625
PSMB6	-0.86725
PCDHB8	-1.9535
PHC3	0.2743
PPP1R8	0.403166666666667
NOVA2	0.780833333333333
TNFRSF11B	-2.89725
GOLPH3	0.114166666666667
UBLCP1	-0.0635
SUHW3	0.24425
TTLL1	0.0475
OPN4	0.2525
OR13G1	0.11
ZPBP2	0.28375
HSD17B11	1.70075
C9orf50	-0.482
DHDDS	0.0522142857142857
CTSW	2.5691
NEFM	-2.09083333333333
MRPL28	-0.64
SYN1	0.121166666666667
PIGV	0.45
ZIM2	-1.115
APBB1	-1.23233333333333
SND1	0.373
C1orf123	-0.185666666666667
CHD3	-1.02025
BHLHB8	0.78225
RNASE2	0.266166666666667
BCAP31	0.706375
SLC25A44	0.114
CHD6	0.2794
PIB5PA	0.959538461538462
SELS	-0.112625
LOC541471	-1.062
FAT2	-0.5555
ZNF81	0.3895
OR4C16	0.049
FLJ10081	-0.0634
LRRC4	-0.201
CS	-0.164833333333333
N4BP2	-0.1895
IGFBP7	1.44325
ZNF318	-0.005
NDNL2	-0.233625
ZNF609	-0.77825
SIRT4	-0.13525
EXOSC10	-0.27375
ECE2	0.174166666666667
OVGP1	1.71875
GTPBP3	-0.80225
PACS2	0.1644
C19orf36	-1.24333333333333
ARL4C	-0.572875
ATG4B	-0.166125
UBQLNL	-0.15175
RHOXF2B	-3.996
PLEKHG2	-0.8865
GALR1	-0.3525
AQP4	0.224666666666667
HDAC7A	-0.605166666666667
DCUN1D3	1.81
OR8A1	-0.017
CCRN4L	0.04225
CBR4	0.134666666666667
KIFC1	-0.357666666666667
SLC7A14	-1.2174
LHX5	-0.281
TRPC7	-0.019
LPXN	-0.0945
SERPINA1	-1.03425
RPS13	-0.2771
BPIL3	-0.374
PRKAA1	-0.658
FADS2	-1.6802
ENAH	-0.8356875
PRO1768	-0.06
APBA2BP	-1.44775
LIPH	3.20216666666667
C3orf33	-1.36575
RCC2	0.0441428571428571
ALDH1A2	-3.4526
RNF103	0.70475
AHCY	0.487375
ALG12	-0.375
CCL17	2.5185
ZNF543	-1.25466666666667
ESRRG	1.3832
CNGA1	2.429
RDH5	0.203333333333333
OTX1	0.3852
PTGFR	-0.031
CDR2	0.212625
SELE	4.22625
NLGN2	-1.453
EXOSC9	-0.67725
ZNF566	0.4085
KLRC2	-0.4135
GPR12	1.1775
KIAA0196	1.3305
PDRG1	0.2785
SSR3	-0.260714285714286
MSI1	-0.299
CST9	-0.1585
CC2D1A	0.301875
PLAGL1	0.270611111111111
ZNF778	-0.118
RNF2	-0.5315
KLF6	1.03383333333333
THBD	1.12183333333333
tcag7.1314	1.62025
NR5A1	-0.247166666666667
ABCD2	0.496
DNAJC7	0.63675
CLEC4C	0.234
TM2D3	-0.203875
CCDC4	-1.314
PLAC2	-3.84925
DCD	0.411
FAAH	1.832875
POLA1	0.183166666666667
TM7SF2	-0.371375
FLJ39822	-0.171833333333333
FLOT2	-0.25225
MAP4K1	0.0226666666666667
SRP68	0.010875
C21orf74	0.4725
ARPC5	0.652125
LOC126075	0.82325
HECW2	-0.0165
ZDHHC4	-0.44225
ANKRD42	0.8226
PDE9A	-1.457
ABCA8	-0.61525
NDUFS2	-0.72325
UBR5	0.777625
BTBD16	0.7815
LOC554174	-0.611
ZNF20	0.6835
KIAA1843	0.2925
WDR17	-0.61025
C15orf33	-0.936
RNF113A	0.10375
CAMKK1	-0.7187
CLCN2	0.485
ANXA6	-0.0915
LOC340069	0.6945
EMID1	0.160625
DPM3	-0.314
ELA1	0.2175
SLC25A13	-0.0755
KRT24	1.5075
SMPD1	-0.5635
TH	-0.1165
COL6A2	-0.800214285714286
ANKS1B	-0.02225
GPR126	-1.6529
ZC3H12A	2.84066666666667
TMEM47	2.09766666666667
C2orf51	-0.509333333333333
C1orf88	-0.753333333333333
HSF2BP	0.478
AKAP10	-0.186
RPAP3	0.095
KLHDC8B	-0.252375
STOM	0.1114
MUPCDH	3.427125
C10orf72	-0.7505
PLEKHA3	0.394416666666667
TCP11L1	-0.144
CWF19L1	0.181
SPEF1	-0.130076923076923
YSK4	-0.107
ELN	1.3091
SAMD8	0.142666666666667
MPI	-1.98766666666667
MEPCE	-0.2949
ABCC3	1.585125
NANOGP1	-4.406
KCNK17	-0.00700000000000002
HLA-DMB	4.7155
RRAGA	0.209
ANGEL1	1.07275
RBM32B	0.231
CPN1	-3.5865
MGC52282	2.0691
HLA-A	2.9115
OR9G4	0.282
EDNRB	-0.993875
SCD	-0.882071428571429
C14orf80	-0.298333333333333
BAGE2	-0.1365
RABL4	0.655833333333333
RCVRN	0.2255
SHANK1	-0.0895
NLRP7	-1.54925
CD226	2.651
STAT3	0.64225
SYNJ2	-0.3432
TPCN2	-0.17
WDR36	-0.188666666666667
MBD4	-0.53975
ROBO1	-1.1271
ST3GAL6	-3.29125
SLAMF8	3.5265
ATN1	-0.1225
GPR141	0.717
KRT36	-0.0275
TPH1	0.4535
DDX52	0.6105
ZSCAN29	-0.364333333333333
TRPT1	-0.354666666666667
DPEP3	0.76625
DENND4A	-0.727125
TSPAN16	-0.3395
PTCHD2	-1.0175
LOC145814	-0.9175
CAP1	0.661666666666667
EIF5A2	0.8418
NT5DC3	-0.244625
SEPT9	-0.269125
SEZ6L2	-1.14075
EGFLAM	2.2755
