Hybridization REF	TCGA-C8-A12U-01A-11R-A115-07
FTMT	0.427375
PWP2	-0.16
MMP15	0.5504
DNAH11	-0.621
MTMR14	0.10875
DNAL4	0.924
IPP	1.2745
TMEM59	0.400125
C1orf157	0.68
RGS4	-0.801166666666667
DDX18	-0.215166666666667
SNX6	0.169
ZNHIT2	0.431833333333333
NCDN	0.0665
FLJ33534	-0.078
RAG1	-1.74575
OR4D10	0.1815
PTPN5	-0.153166666666667
POMT1	-0.050375
LRRC8A	0.0502
CYP1A1	-1.00475
CAPN1	-0.0395
DDHD2	-0.256375
GRIK2	-0.031
GNRHR	0.16175
PPBP	0.54
HTR3A	-0.465375
SLITRK4	1.63125
ANKRD49	-0.38
BTF3	-0.3662
SARS	-0.5925
C13orf18	-0.870333333333333
CACNB1	-0.0235
QKI	-0.687272727272727
SETMAR	1.5615
MAN2B1	0.780333333333333
EML3	-1.011
ACADL	-1.52866666666667
OFD1	-0.2945
DEFB114	0.0945
CGA	-2.7351
PEX16	0.233333333333333
LRRC10	-0.1435
GNG12	-1.2955
C1orf152	0.2245
CHRM1	0.4965
CD53	0.257625
DBH	-0.559
TFAP2B	-2.6835
HIST1H2BJ	1.54233333333333
FAM46D	0.0165
TMEM11	0.019
C3orf32	-3.363
PCCB	0.392625
IPO13	0.670375
C6orf105	-5.28125
COMMD5	0.93925
SUV420H1	-0.6936
LTBR	-0.09425
ARHGAP15	-0.841875
HDHD2	0.57575
TDRKH	-0.160833333333333
LOC401052	2.566
PSG4	-1.15675
GNB4	0.4243
SPATA4	2.7745
SLC9A3	-0.494
OSBP	0.0211666666666667
NBPF3	-0.615416666666667
DOCK11	-1.1075
SLC39A5	-1.31616666666667
PRR5	0.4822
C10orf63	2.265
SMTNL2	-1.57975
ADRA1A	0.27125
ASAH1	1.3203
DOM3Z	-0.7956
GIPR	0.034
AHI1	-0.143416666666667
NADSYN1	-0.106333333333333
RGS14	-0.8981
IL18BP	1.4048
RTN4RL1	1.44608333333333
ARMC6	-0.14975
PSMD5	0.513
HK3	1.2777
OR4S1	0.36725
RSU1	1.3087
MAD2L1	-0.644111111111111
EIF4A3	0.73
DLEC1	-0.959333333333333
E4F1	0.3305
CHMP2B	0.794
CAMSAP1	0.35975
RPS21	-0.856333333333333
ARID5A	-0.2585
UBE2N	-0.171
IGSF8	2.03316666666667
MAGEB6	-1.292
ACAD11	-2.3938
MGC4172	-0.938
LMO4	1.826
KLKB1	-0.05825
HP	-0.8615
HDAC3	-0.588
SCHIP1	-1.284
CLCA1	0.818
OLFML2A	0.1225
C1orf112	-1.097
KIF19	1.10316666666667
HAPLN4	-0.1109
CXCR7	4.19166666666667
GOT2	0.6791
RAB38	-3.2595
DCX	4.79575
PPM1H	0.601833333333333
NFYC	0.216
KIN	0.100625
ZNF228	0.65175
PLSCR4	-0.581666666666667
HIG2	0.4875
FAM79B	0.966
C21orf86	-0.5405
KCNK10	0.38275
ZNF738	-0.877875
FSTL5	-0.973333333333333
OR6A2	0.411
OTOA	0.456333333333333
EXOC1	0.339375
AHRR	-3.76625
PDAP1	-1.46883333333333
C19orf6	-0.696625
ZAN	0.24
LY6G6E	0.2875
EIF4E2	0.98675
C20orf198	0.06625
ZNF324	-0.299
CYP3A5	-3.992
ENTPD7	0.3525
MBOAT5	-0.692833333333333
GJB5	-1.78475
TTC13	0.14225
S100Z	-1.16666666666667
KIAA0664	-0.700833333333333
PDGFRB	0.957583333333333
IL17D	-2.94875
OR56B4	0.0245
RDX	-3.77066666666667
SLC34A3	0.094
IL28B	0.863
JUND	1.594
CHRNB1	-0.494625
CAMK2B	0.602
FETUB	-0.73825
CXorf23	1.043625
MRTO4	-0.392125
TTC3	1.1227
NDUFB8	0.0933333333333333
EDG2	-3.952
SEMA3G	0.121
IL23A	-1.56775
GRHL1	0.9374
LOC441054	-0.3345
WDR65	1.257125
PSTK	-0.1525
STOML3	0.187
R3HDM2	-1.1173
C5	-1.82475
SLC2A10	0.0085
C3orf22	0.36575
PAQR3	-0.705846153846154
ANKRD26	0.162666666666667
HCRTR1	0.1655
LOC399947	-0.855
PSD2	-1.06675
TIGD2	-0.842833333333333
SCRN1	-3.894875
COQ10A	-1.772
DDI2	0.286
METTL7B	-0.752666666666667
UCN2	0.0435
FAM92A3	0.31525
WDR16	-0.09725
ZNF511	-0.455166666666667
ZMYM5	-0.4895
POLR3G	-2.2335
ZNF586	-0.17575
C1orf49	0.394
TANK	0.6075
RCAN1	-0.118833333333333
PELI3	-0.102833333333333
LIMD2	0.518666666666667
TMEM189	1.1265
NTN4	-2.563625
LOC151300	-0.203
CLEC2A	-1.2115
GPR135	-0.13025
DPYSL4	-3.4484
JAK2	0.0165
TSHZ1	1.56283333333333
TM9SF4	0.214875
ZNF264	0.5875
SIRPG	1.931375
BICD1	-2.283
HERC6	1.66783333333333
METTL5	-0.457
CASP1	0.68375
PRRT1	-0.521
PLA2G4C	2.80916666666667
ICA1L	0.287642857142857
TPTE2	0.0678333333333333
OTUD7A	0.165166666666667
AQP11	-0.284
APOA2	-3.9306
KALRN	0.5281
SECTM1	2.01541666666667
IFNAR1	2.26475
TALDO1	0.84575
RAB11FIP4	0.8885
EIF5A	-1.439
FAM49A	1.77875
NEGR1	-0.237666666666667
YTHDC2	0.627875
EHD2	-1.651125
NCF1	2.0059
SCRT2	0.2295
HOXA5	-2.11466666666667
NUP133	-0.225
FGF12	2.0885
SLMO2	-0.078875
SNTA1	-0.241625
CACNG2	0.0275
GCM1	0.405875
ELF1	1.98683333333333
TLR5	3.577
TCFL5	-0.378083333333333
RBMY2FP	-1.059
LOC100125556	0.65025
FAM129B	0.155375
MAP3K7IP1	-0.3355
NCK2	-0.2415
OXA1L	-0.034
FMO9P	0.279
ZSCAN12	0.0505
PSMD12	0.720333333333333
HSCB	-0.64425
CLDN10	-2.99775
MGC13053	-0.25675
HPCAL4	-0.724833333333333
ASZ1	-0.732
MEX3D	0.0763333333333333
NFAT5	-1.1752
CSPG4LYP1	-0.135166666666667
FBXO3	1.366
DVL1	-0.0296666666666667
CMKLR1	2.02283333333333
TYMS	-1.661375
PEF1	0.773
ZNF750	2.64533333333333
MCM5	-1.103
MEGF11	-0.611
KCNK7	0.656
PTP4A3	0.385
C1QTNF2	-1.25116666666667
OR6S1	0.2005
FAM122B	-0.93125
ZNF551	-0.626625
HBQ1	-1.699
GEMIN6	0.51375
ARSK	0.213
RBP7	3.76666666666667
CPNE9	0.26675
DSC1	0.1325
LOC730112	-0.40575
MAP2K4	-0.173625
HS3ST5	-1.748
EPB41L3	1.72
TEKT2	-0.14025
CDKN2B	-0.615333333333333
ZNF480	0.1915
MAP3K6	-0.2734
MAP6	2.16083333333333
HN1	3.4567
OR2L13	-0.0105
SLC16A11	0.1025
FAM96A	0.00725
APOL1	1.128
C5orf32	0.2935
RTP1	-0.270166666666667
RNF175	-1.426875
ZBTB41	1.442375
AHCTF1	0.0682
SAE2	-0.6264
ITGA2	-0.698833333333333
MME	-2.25466666666667
CCDC14	-1.20125
MAST4	1.55892857142857
KRT33B	-0.339
KCTD2	0.00816666666666667
WDR26	0.457833333333333
MFI2	-1.509625
NR4A3	0.39125
ARSA	0.3885
UNKL	-0.0776666666666667
SULT6B1	0.1435
CCNA2	-1.31866666666667
SOX15	0.5955
PPAPDC1B	-0.00641666666666666
C19orf44	-0.3205
MCAT	0.097
ARID1B	0.083375
OR52N1	0.8605
C12orf48	-0.9475
MAGI1	0.606875
NIPA2	-0.83875
GBX2	-1.76975
RSHL3	1.200125
RAVER1	-0.221833333333333
C15orf17	-0.08125
SLC30A2	0.38975
ZNF518	0.8435
PCYT1B	-1.15175
C10orf114	-1.461
EIF3H	0.0566666666666667
SLC25A39	-0.196333333333333
KIF1B	0.55025
AMOTL2	-1.39575
C6orf120	-0.080875
PSRC1	-1.30925
PLA2G10	2.3745
KIF5C	1.478125
MRPL37	-0.085
C17orf62	0.717
C9orf135	-1.1485
DUSP10	0.7831
CLCNKB	0.243
PSMA5	0.27425
C8orf53	0.787
AMPD3	-0.212833333333333
PIAS1	-0.22525
ADCYAP1R1	0.241
GYLTL1B	-1.76975
CDH20	0.165666666666667
FBXO7	-0.56475
TMEM134	0.222
FLJ14213	-0.0346666666666667
ZNF3	-0.30675
LRRFIP1	0.544583333333333
CNOT2	1.403
ABI3	1.987
ALDH5A1	-0.297916666666667
HNT	1.6192
SERPINA4	-2.17525
TK2	0.400083333333333
STMN1	-0.00688888888888889
GUCA2A	0.2135
GALNT10	-0.253214285714286
DPP6	-0.8518
C9orf93	0.494875
PRELID2	0.685
STK39	-1.477625
SFTPA1	-1.417
CKS2	-0.230777777777778
RHO	0.3145
C20orf135	0.03475
XKR3	-2.1565
CR1	0.51425
RPS6KA2	-0.0388571428571429
C20orf112	0.9445
MRPL22	0.52
C4orf23	0.930166666666667
GADD45B	0.623
KLHDC1	1.325
C2orf48	-2.2155
ZNF287	1.2125
DAAM2	-2.18
DPPA2	-2.64966666666667
TCTN3	-0.0395
DNAJB11	0.2605
FPR1	3.366
DEFB4	0.2715
PTCD2	-0.49
SMOC2	3.96366666666667
CABP7	0.78125
SERPINB11	0.26275
MAGEF1	1.1
NDE1	0.502833333333333
ITGA10	-0.3185
FSHB	0.2185
ANXA2	-1.248
HORMAD2	0.21725
HLCS	1.67675
MCF2L	1.69275
FH	-0.384125
TBC1D24	2.06275
KIAA1505	0.53725
LGALS2	0.255
CNBD1	-0.4105
SYNPO2L	-0.925
PTPN23	0.329571428571429
C1orf183	-0.710666666666667
MAGEA8	-2.4775
DGCR8	-1.3565
GSR	0.57775
PAQR7	-0.17225
ZNF676	1.37075
CACNA1C	-1.191
SP7	0.619
PDCD6	-0.1
NRN1L	-0.267
BRI3BP	0.0794166666666667
KIAA1183	0.39725
ASB4	-0.14375
CCL23	1.0281
OBSL1	-1.02025
SLC12A7	-0.382
KIAA0240	1.09925
CD1B	-2.82716666666667
FCGR2A	1.132625
MDC1	-0.8605
HTR1A	0.104666666666667
OCEL1	1.202
ATP11B	0.287
FBXO34	0.101
PCDH12	2.63016666666667
RPE	-0.03975
C17orf74	-0.2375
CSDC2	0.00883333333333333
PET112L	0.72425
TMBIM1	-0.400875
P2RXL1	0.26975
TCHP	-1.1055
TRMT1	-0.572666666666667
F2RL2	-0.61975
LRRC32	1.72766666666667
IMPG2	0.2685
BGLAP	-0.07875
LOC493869	-3.61441666666667
MRAS	0.80125
SLC35F5	0.3555
CBWD1	1.339
AXL	-2.951375
ATP2C2	2.441
TELO2	-0.04775
PNPLA3	-2.93225
PCDHB14	0.281
CD276	1.03175
KRT80	-2.338875
DUSP28	0.4945
CSNK1E	-0.161333333333333
SRP14	1.0965
KCNQ4	0.003
KRT72	0.330666666666667
CCDC117	0.069625
C6orf89	-0.4985
TUBB2B	-3.42833333333333
RTN4IP1	-0.369
CR1L	-3.02533333333333
CEND1	0.0845
C12orf41	-0.910333333333333
RNF31	0.647
UBN1	0.718833333333333
C17orf32	0.8675
SLC5A7	0.0505
GPR92	-0.235333333333333
ESAM	1.6776
CTNNA1	0.293166666666667
HRBL	0.0254
CBX4	1.7415
TMEM182	0.536
SH3TC2	-1.10333333333333
IL10	0.487666666666667
PXMP4	2.7435
RNF167	0.2245
PAK7	2.89916666666667
ETV3	-0.124
ATPIF1	0.4545
LOC554207	-0.846666666666667
OR8H1	0.49675
WDFY3	1.204
DPM1	-0.52725
GPSM1	0.6525
WDR92	0.3911
LRP1	-0.349166666666667
ANKH	-2.19025
THUMPD3	-0.149
POLR1B	0.125
OLFM4	0.2665
RAD9B	1.39
TSPY2	-2.5675
PAX6	-2.14316666666667
SCG2	-3.9025
SLC17A6	0.1675
FMO3	2.749125
PADI4	-0.024125
TUBB4	0.3891
NLK	-0.29125
POU4F3	-0.332
SDF4	0.3485
ITGBL1	1.26783333333333
NETO1	-1.971125
TAP2	0.5375
ABBA-1	-0.404666666666667
GNAI1	-1.5175
VPS4B	1.124
NOPE	-1.2795
GALNT6	2.097
SESN1	0.11575
GBE1	-2.61677777777778
CLASP1	0.17125
RASGEF1B	0.542
ACOT11	0.5935
AFAP1	1.11175
OR2H2	0.233
DPY19L2P1	-0.72375
DZIP1	-3.5875
SEC22C	0.482083333333333
GPR161	-2.16883333333333
RNF146	0.13525
WDR74	-0.878875
GALP	0.029
PURA	1.2335
DNPEP	0.849583333333333
RP11-78J21.1	-1.26125
ERBB2	1.2075
FANCM	0.579416666666667
NEO1	0.779166666666667
DDX3Y	-4.5744
RPS3A	-1.07425
MXRA7	-2.1925
LGALS3	-1.47016666666667
GLT8D1	-0.1735
CFL2	-3.827
UPB1	0.723
NAP1L5	0.722125
CLDN14	-0.894
DHX38	-0.40625
BTBD1	-0.1255
TARS2	0.454166666666667
ABCF1	-0.5543
FCF1	0.3545
LRRC49	0.42125
GUCY1B2	-2.2215
C1orf177	0.0628333333333333
SMARCA4	-0.485714285714286
LRP8	-3.78733333333333
TAGLN3	-0.576
MRPL14	0.209
TTRAP	-0.60275
ZDHHC20	0.57075
NFE2L3	-0.8945
KIAA1377	1.45
PALMD	0.0502
TMEM43	-0.456
TTL	-0.55525
STAT5B	-1.05333333333333
SSB	-0.50375
OR10H5	0.472
SLC22A13	-1.0715
AKAP3	1.5895
TIMM23	-0.248
OAS2	1.19083333333333
KIAA0423	2.042
TRIM11	0.358833333333333
GLIS3	-0.705625
TMEM50B	1.944
ARHGEF4	-0.825875
DEGS1	-1.10390909090909
TBL1XR1	0.793533333333333
G6PD	-0.117
SP140	0.9703
MUC17	-0.0612857142857143
NUDC	0.3466
DNAJC5B	2.52166666666667
SCARA3	-1.67766666666667
CPA3	6.16916666666667
BCAT2	0.5845
MFN1	0.2921
NRG3	-0.1475
SNX11	0.29375
PLEKHH1	-0.303
GPR177	-2.902
HCFC2	-0.14175
TCAP	-0.09075
MOCOS	0.1255
C14orf93	-0.04
PRDM10	-0.161166666666667
SLC16A4	-1.50275
SRGAP1	1.39333333333333
VIP	0.2035
DUSP27	-0.4
LILRA1	0.4722
MC2R	0.223
MGC24103	-4.193
MBTD1	-1.3425
FUT11	-1.09933333333333
USP33	-0.0225
C15orf39	-0.90825
MAP3K12	-0.096125
PAAF1	-0.906333333333333
BARHL1	0.17
FLJ16165	0.0575
PIWIL2	-2.85
SYNE1	1.07233333333333
CMTM4	-0.22
TSPYL1	-0.3472
GUF1	1.193
TMEM157	1.0715
WDR44	0.531
HIST1H3C	2.3745
DKFZp666G057	2.57675
RNPEP	0.4685
GAS2L2	-0.149333333333333
ADH4	-4.34825
GRPR	1.6905
FBXL17	-0.2275
ZBTB10	1.91066666666667
Gcom1	-0.439444444444444
HTRA1	-1.3233
ZNF585A	0.553333333333333
SLC26A2	0.281214285714286
OTOP3	0.078
WISP1	0.885222222222222
ATP2B4	-1.09666666666667
FLJ10769	-0.03625
CRAMP1L	0.43575
CHST12	-0.34825
RAB22A	0.374416666666667
TARDBP	-0.187357142857143
STAU1	0.00800000000000001
CRB3	1.923
MIG7	-0.90125
CHMP1A	0.529166666666667
ZNF160	0.359375
B3GALT6	-0.074875
BARX1	-2.41833333333333
C6orf167	-1.6479375
NXNL1	0.2475
DHX29	0.479375
HADHB	0.66675
PLXNB2	0.58125
ILDR1	-0.99475
SLC15A3	2.0325
GAS2	-2.61566666666667
C20orf69	0.25975
NUMB	-0.26525
TNIP1	0.06075
MESP1	-1.0105
PSKH1	-0.122
NSFL1C	0.526375
RHOG	-0.457
HEY1	-3.13966666666667
KNG1	-2.173875
ITGAX	1.8351
LIN9	-0.3
CANT1	1.114625
XRN1	0.172071428571429
CCDC96	1.7337
HEATR6	0.185333333333333
GNG7	-1.01266666666667
RUNX2	0.00843750000000004
SOX1	-0.0203333333333333
FCRL5	1.2094
ZNF99	1.006875
FAM9A	0.007
SNX22	0.891833333333333
MBNL3	-2.1815
ODC1	-2.4173
ADORA2B	-3.4845
NR2F6	0.41225
ZFYVE16	0.924888888888889
SYNJ2BP	2.8595
POLE	-1.173
E2F2	-0.480375
THRA	0.0101666666666667
PTGES2	-0.310833333333333
HIP1R	-0.00249999999999998
TMUB1	-0.3695
ENO3	-1.44575
RSPH10B	0.579
CXorf39	1.271875
IRGC	0.43025
GPR109B	-0.3705
FLJ13305	0.284
LCE3A	-0.1735
TNFRSF18	-1.28183333333333
DET1	0.06775
TRPM3	-0.0811666666666667
C16orf79	0.5375
FECH	-0.104833333333333
RAP2A	0.175333333333333
CRIP1	3.4695
AZIN1	-0.049875
SLC7A7	2.8845
IL10RA	0.8864
TMEM64	-2.36325
CDC42EP4	1.6542
C16orf58	0.418
ARG2	-1.87975
POU5F1P4	-4.6245
FAM62B	-0.372375
DNAH8	-1.784
ASH2L	-0.209125
TSLP	-4.4455
CNTNAP5	-0.367333333333333
TMEM16C	4.7845
IFNA14	0.0125
SLC1A3	0.05825
CABYR	2.857
BCL7B	-0.3734
NUDT13	-0.489166666666667
C13orf28	0.28525
C1orf53	0.4495
ARL6IP4	-0.4343
RPL35A	-0.605
EMR3	0.13975
RAB40C	0.927166666666667
SLC41A1	-0.302333333333333
LRCH1	-0.29575
LY6G5B	-0.4275
FAM124A	-0.2355
MGC10981	-4.08283333333333
CLIP3	-0.00610000000000001
MAP4K2	0.576833333333333
CHIC1	0.649
SULF1	1.982
C20orf30	0.412785714285714
PRDM5	-1.443375
ELOVL1	0.24725
C11orf48	-0.22225
SLC39A10	-0.67325
KCNV1	0.23075
ACP1	-0.4515
ZMYM2	-0.3625
B3GNT6	0.124666666666667
C9orf69	0.1885
C2orf15	2.01475
C20orf166	0.5485
HSP90AA6P	0.868
EDG7	-0.7635
NEURL	-1.45525
LPL	-1.11883333333333
CLEC2D	0.300642857142857
GRRP1	1.357
CD8B	-2.0817
HIST1H3D	2.59783333333333
SLC6A12	0.6455
FAM27L	-0.057
CD84	2.0104
RASA1	1.01
PHKG1	0.391
MAGEA11	-1.614
IMPA1	-0.2022
NPM3	-1.3025
RARRES1	2.73725
SH3BP1	0.052875
B3GNTL1	0.24
ARPC5L	0.738
KLHL26	0.84875
SIM2	-2.51275
GJC1	0.2335
C20orf194	0.0425
EXO1	-0.8225
SLC2A2	-2.12816666666667
LOC285074	-1.475
LRG1	2.07475
KIRREL	-0.7075
PIK3R1	0.192428571428571
C4orf34	0.79025
MAF	-2.03727777777778
ADCY4	3.02866666666667
ZMIZ2	0.5276
SLC46A3	1.37666666666667
STAMBP	0.405833333333333
CCDC16	0.30125
MS4A12	0.309
TCF20	-0.3055
LRRC46	2.11225
C20orf152	1.08075
MRPS6	1.601625
ABCB11	0.2935
KCNC2	4.10816666666667
CDH19	-2.60666666666667
C9orf123	0.284333333333333
SSH3	0.316
LDLRAD1	-1.68875
CCBE1	-0.64625
ZNF135	2.007375
TAAR1	1.658
WFDC12	0.2265
CCDC42	0.0553333333333333
FLJ12529	-0.9805
PER1	-1.24333333333333
TIMM50	0.0341666666666667
SMARCAD1	-0.423
FAM26C	0.2925
TP53TG3	-2.69483333333333
SH3RF1	0.5608
LMCD1	0.8835
GPR63	-0.286
FLJ21986	-2.85025
AIFM3	0.665
MICAL1	-0.465166666666667
BLZF1	-0.204833333333333
IQCA	0.1055
PCDHGC3	-0.6355
SAC	1.66125
BCL6B	1.7525
DDO	-1.3635
MARCO	3.10825
DCHS1	-0.0985
C1orf170	0.0946666666666667
CD200R1	1.00883333333333
C22orf15	-0.502
SEPT11	-1.21433333333333
ADNP	0.585
UST	-1.2518
C13orf34	-1.06733333333333
RFFL	0.528571428571429
APBA3	0.201
C2orf60	-0.18475
CUTL1	-0.0336
PMS1	-0.718625
ZNF689	0.5735
EIF3E	-0.936
IL9	0.291333333333333
RPL31	-0.393
LY9	0.9675
ATP2B3	0.22825
KDELR2	0.265291666666667
TFCP2	-2.709125
NLRP12	0.69875
FLJ45422	-0.098
TLE4	-1.2731
ZNF570	0.7045
FLJ43806	-0.4395
TLK2	1.71225
CIR	0.7185
MARS2	0.006
COL24A1	0.20875
SDF2L1	-0.24
HIBADH	-0.492
IGFBP3	-2.24178571428571
C12orf23	0.180625
PSPC1	0.14275
C20orf43	0.03275
TRAV20	0.4645
ARHGAP24	-0.270875
KIAA1975	-1.805
C1QA	3.32
DNTT	-5.08033333333333
C10orf6	0.495666666666667
C11orf41	-1.20375
HNRPF	0.328375
COL11A1	3.42566666666667
UBAP2	0.469
CDKN2AIPNL	-0.4345
C20orf174	3.7815
SPRED2	0.04675
PLA2G12A	0.298833333333333
ICEBERG	-1.66416666666667
SCN10A	0.0985
C11orf65	0.10325
GBP5	5.253
PITPNC1	-1.37233333333333
POU3F3	0.108
NCOA7	-0.8125
LIN7C	-0.7628
LOC348840	-0.1585
NKX2-2	-2.762
ANKRD13D	0.003125
LOC123688	0.104
FUT2	1.1365
TAAR8	0.2865
FZD4	-1.25666666666667
PNMA3	0.0475
OR4L1	0.532
WIT1	-2.93375
EXOC3L	0.91425
ATPBD4	-0.3802
KRBA1	-3.241
UBXD6	-0.86875
HOXB7	0.4615
C7orf23	-1.577
UNQ338	-1.32975
STAB2	0.51025
CDC20B	0.8925
IRF9	2.93775
CENTG1	0.552583333333333
TNPO2	-0.8755
MCPH1	0.27325
BMS1P5	-1.71975
SLC26A7	0.44525
HIST1H3J	1.776
C9orf3	0.3471
LBH	0.349
MYO1D	0.11825
PTDSS2	-1.0175
NFU1	0.56575
DEPDC4	-1.54825
WNT7B	-0.6765
GLP2R	-0.169333333333333
SETD4	0.0852
DYNLT3	0.9065
FKBP11	-1.37016666666667
SESTD1	1.136
FLII	0.1945
RPS16	-0.7526
CHPF	0.474666666666667
CSNK2A1	0.217833333333333
SUMO1P1	-0.179
FKBP6	0.7035
ZNF214	1.53166666666667
TWIST1	-0.138
DDX56	-0.369
TRAM1L1	2.7305
EPO	-1.98483333333333
MRPS18B	0.561
ZNF682	0.0131666666666667
RPL14	-1.11016666666667
MAFF	-0.14825
LOC51136	1.319
LY96	-0.68
DDX20	-0.82875
ABTB1	0.0463333333333333
ARL5A	0.3614
CCT6A	-0.966
HEPACAM	-1.37
EHHADH	-1.30233333333333
RBAK	0.616333333333333
CGB1	0.15775
ITGB5	-1.4144
YIPF3	0.641
FKBP2	-0.26025
NR1D1	-0.6939
TMEM110	0.181
NEK2	0.6405
PRAMEF8	-1.244
C20orf52	0.567333333333333
PCDHGA3	1.4825
VWA3B	0.305
NDUFA5	0.347375
THAP9	0.4185
FLVCR2	-0.0348333333333333
AP1S1	-0.063625
SMAD6	-1.8075
SAV1	0.396875
SAT1	0.71825
ZNF251	0.750625
ADAMTS7	0.1054
RPP38	0.68775
C1orf211	0.1775
YPEL2	0.2797
RBMS1	-1.606
ZNF445	-0.073
NRXN2	0.0373333333333333
PGBD4	0.11375
UGT2B28	-1.98025
WBSCR16	-0.8739
NLRC3	0.874125
ASTL	0.2455
ST6GALNAC1	-3.75325
ZADH2	0.0095
MLLT4	-0.00758333333333335
ARL6	1.32266666666667
MEF2C	-0.38475
CBFA2T3	0.9425
AFF3	2.38392857142857
COG7	0.295166666666667
MYB	-0.528
PLXNA3	0.0495
XRCC2	-1.40616666666667
MMS19	-0.82375
ST8SIA5	-1.042875
CHPT1	-1.849
KIAA1712	-0.623875
OR6X1	0.344
ACTR3	0.177625
UGCG	1.67166666666667
OR4P4	0.779
ZAP70	-2.218
LPP	1.051875
ZNF485	-0.21425
PTPRCAP	0.76075
IL12RB1	0.517
ATRX	0.4591
CHST8	0.09375
C14orf109	0.60375
ARV1	-0.1215
NMB	-1.7
COX5A	0.0233333333333333
EIF6	-0.13675
MPPED2	0.297333333333333
SEMG1	-1.63
CHRDL1	-0.3975
TRAF3IP2	1.78775
WNK2	-0.14825
LILRA4	2.4805
LAMA2	2.3075
PXT1	0.32
RLBP1	-3.1475
CD300C	-0.1125
SLTM	0.268125
FLJ10404	-0.538
APOBEC3D	0.923166666666667
RENBP	0.833833333333333
ATXN7L1	0.73525
NID1	-0.7795
TUBGCP3	-0.47975
ITIH5	0.00505555555555555
CCDC110	3.42175
C8A	-2.4975
MGC87042	-3.74025
HOXC13	0.741
TFDP2	-0.85975
HCP5	1.702
POLI	0.798
UCN	0.376
ZNF764	0.530666666666667
C8orf45	3.42925
FHL3	-0.96225
SPATA5L1	-0.18375
MMRN2	1.99866666666667
NDST1	-0.291166666666667
COL20A1	0.1395
ZNF248	0.299833333333333
PELP1	0.0868333333333333
MBL2	-2.42166666666667
RNF41	0.66625
C5orf24	0.91375
THOC5	-0.538
SERINC3	0.39625
RP11-151A6.2	0.55225
CDCP2	-0.13625
HIST1H2AA	0.735
C11orf75	-0.604
FKBP7	-0.75475
DDOST	-0.228
GPNMB	1.041
TTF2	-1.35983333333333
KCNT1	0.116
SLC39A14	-1.333875
NGRN	-0.3112
GPR137B	1.88525
MECP2	0.45175
PSMA1	0.54875
C16orf73	-4.094
TMEM60	0.254166666666667
CSN3	-0.3115
NOS1	0.3025
RAB7L1	1.08783333333333
YBX2	0.8325
KIAA1166	-1.392
FUBP3	-0.0156666666666667
ABCG1	0.82
ACACA	-0.0370833333333333
ARL11	-0.1276
ATOH1	-0.0385
ODF1	-0.0356666666666667
CREB3L3	-1.32116666666667
TMEM127	0.956285714285714
DSCAML1	-0.345
PLN	1.61783333333333
LYPLA1	1.2795
PRDM9	-1.8775
SASP	-1.848
PLUNC	0.0233333333333333
INTU	1.4615
HISPPD1	0.46
LNPEP	0.473
YARS2	-0.5175
APCDD1L	-1.855
ZCCHC4	-0.7956
FBXO22	0.296833333333333
TTLL13	1.171
ZNF669	0.903333333333333
PTGDR	1.53975
DDX27	0.56575
KIAA0409	-0.467333333333333
GJB6	0.14875
ASB8	0.43
PLP2	0.3505
MEPE	0.251
OR10J5	-0.0575
KRT222P	-0.55675
COQ7	0.475666666666667
C1orf101	0.4885
RERG	1.1253
CHMP5	0.31775
THAP11	-0.09275
ZNF43	1.01066666666667
ZRANB3	-0.414166666666667
KRT13	-1.169625
MRPL19	-0.318125
RBBP9	0.758625
SPATA17	1.098875
BXDC5	0.0333333333333333
PAFAH1B1	-0.77175
MAGEE1	0.78975
OSTF1	0.962
KIAA0323	0.348583333333333
TXNDC13	1.43016666666667
CNTN4	0.096625
LCE1B	0.251
UNQ501	0.879
ZNF154	0.3285
C3orf64	-0.35125
SYT5	-0.0269
PON1	-0.022
FLJ10357	-0.784
ATP4A	-0.658
GNPDA1	-0.544166666666667
MGAT1	0.124
C14orf121	0.335
SLC35B2	-0.95725
MIER3	0.111
CHEK1	-1.972
ZNF8	0.3895
TXNDC1	0.1915
CKB	0.9806
RTN3	0.145071428571429
FZD2	-2.2325
PART1	0.325125
PSMB6	0.3445
PCDHB8	3.391
PHC3	0.9415
PPP1R8	0.0543333333333333
NOVA2	1.53433333333333
TNFRSF11B	-3.59775
GOLPH3	0.532833333333333
UBLCP1	-0.8375
SUHW3	-0.39925
TTLL1	1.27075
OPN4	0.3065
OR13G1	-0.0315
ZPBP2	-0.148833333333333
HSD17B11	-0.91725
C9orf50	-0.594
DHDDS	0.352428571428571
CTSW	1.8305
NEFM	-2.44866666666667
MRPL28	0.31225
SYN1	-0.0785
PIGV	1.04983333333333
ZIM2	-0.869
APBB1	-1.03983333333333
SND1	-0.558
C1orf123	0.982833333333333
CHD3	-0.65725
BHLHB8	0.29975
RNASE2	-0.182333333333333
BCAP31	0.704
SLC25A44	0.696
CHD6	0.6556
PIB5PA	0.267538461538462
SELS	0.3655
LOC541471	-1.98625
FAT2	-0.4
ZNF81	0.634
OR4C16	0.4195
FLJ10081	0.5072
LRRC4	-0.00025
CS	-0.616166666666667
N4BP2	0.406125
IGFBP7	0.99925
ZNF318	-0.115083333333333
NDNL2	-0.1465
ZNF609	1.278
SIRT4	0.49625
EXOSC10	-0.556
ECE2	0.162166666666667
