Hybridization REF	TCGA-B6-A0RM-01A-11R-A084-07
MCAT	0.810083333333333
ARID1B	0.609625
OR52N1	-0.3345
C12orf48	-1.64575
MAGI1	0.844875
NIPA2	-0.137
GBX2	-2.0335
RSHL3	0.223
RAVER1	-0.0903333333333333
C15orf17	-0.0715
SLC30A2	1.039875
ZNF518	0.4595
PCYT1B	-1.13
C10orf114	-0.5355
EIF3H	0.706166666666667
SLC25A39	-0.922
KIF1B	0.778875
AMOTL2	0.71175
C6orf120	0.577125
PSRC1	-1.652
PLA2G10	2.906
KIF5C	1.022125
MRPL37	-0.942
C17orf62	-0.0485
C9orf135	-1.22233333333333
DUSP10	0.2281
CLCNKB	0.307
PSMA5	-0.435125
C8orf53	2.1155
AMPD3	0.398333333333333
PIAS1	-0.37175
ADCYAP1R1	0.033
GYLTL1B	-0.50475
CDH20	0.276
FBXO7	-0.1345
TMEM134	0.143
FLJ14213	0.198333333333333
ZNF3	-0.10775
LRRFIP1	0.59875
CNOT2	0.420916666666667
ABI3	1.18375
ALDH5A1	-0.25725
HNT	2.0177
SERPINA4	-2.91325
TK2	0.160666666666667
STMN1	-1.64077777777778
GUCA2A	0.0831666666666667
GALNT10	0.976857142857143
DPP6	-0.53245
C9orf93	0.542625
PRELID2	0.3225
STK39	1.232625
SFTPA1	-0.1785
CKS2	-0.558555555555555
RHO	0.10325
C20orf135	-0.08325
XKR3	-2.2245
CR1	-0.123625
RPS6KA2	0.0787142857142857
C20orf112	0.7595
MRPL22	-0.32225
C4orf23	0.293166666666667
GADD45B	1.76075
KLHDC1	2.15833333333333
C2orf48	-1.1015
ZNF287	1.831
DAAM2	-1.36775
DPPA2	-3.01633333333333
TCTN3	0.398
DNAJB11	-0.763875
FPR1	2.04475
DEFB4	0.0465
PTCD2	-0.228
SMOC2	5.62133333333333
CABP7	0.43275
SERPINB11	-0.013
MAGEF1	0.7635
NDE1	1.24333333333333
ITGA10	0.241
FSHB	-0.201
ANXA2	0.09375
HORMAD2	-0.22
HLCS	0.1405
MCF2L	1.22158333333333
FH	-0.718
TBC1D24	1.80575
KIAA1505	0.74575
LGALS2	-1.6175
CNBD1	-0.6095
SYNPO2L	4.20175
PTPN23	0.00935714285714286
C1orf183	-0.761
MAGEA8	-3.0435
DGCR8	-1.0095
GSR	-2.54725
PAQR7	0.56875
ZNF676	-0.42175
CACNA1C	-0.8866
SP7	0.581
PDCD6	-0.2905
NRN1L	-1.0625
BRI3BP	0.188166666666667
KIAA1183	0.45025
ASB4	-0.0785
CCL23	0.2951
OBSL1	-0.269
SLC12A7	0.559166666666667
KIAA0240	1.75575
CD1B	-2.76383333333333
FCGR2A	0.78975
MDC1	-0.89625
HTR1A	0.441
OCEL1	0.651
ATP11B	-1.324875
FBXO34	0.3775
PCDH12	2.24816666666667
RPE	-0.652
C17orf74	0.623
CSDC2	0.484
PET112L	0.42675
TMBIM1	0.425125
P2RXL1	-0.2475
TCHP	-0.63325
TRMT1	-0.932166666666667
F2RL2	-1.55716666666667
LRRC32	1.70183333333333
IMPG2	-0.1675
BGLAP	-0.4545
LOC493869	-2.24566666666667
MRAS	1.29125
SLC35F5	0.67
CBWD1	0.52
AXL	-2.204875
ATP2C2	2.257
TELO2	0.221
PNPLA3	-2.8955
PCDHB14	0.09825
CD276	-0.412
KRT80	-1.974375
DUSP28	0.6875
CSNK1E	-0.2505
SRP14	0.7595
KCNQ4	-0.003
KRT72	0.160166666666667
CCDC117	1.508
C6orf89	0.246722222222222
TUBB2B	-3.00383333333333
RTN4IP1	-0.96275
CR1L	-4.35416666666667
CEND1	0.106625
C12orf41	-0.0168333333333333
RNF31	0.121
UBN1	0.597666666666667
C17orf32	1.19175
SLC5A7	0.54675
GPR92	0.0565
ESAM	1.463
CTNNA1	0.32375
HRBL	-0.4914
CBX4	-0.168
TMEM182	0.995
SH3TC2	-1.37016666666667
IL10	0.667
PXMP4	0.9205
RNF167	0.3758
PAK7	-0.202166666666667
ETV3	-0.0985
ATPIF1	0.213666666666667
LOC554207	-1.656
OR8H1	0.1295
WDFY3	1.524
DPM1	-1.35
GPSM1	-0.9785
WDR92	0.00909999999999999
LRP1	-0.271833333333333
ANKH	-1.227625
THUMPD3	-1.19475
POLR1B	-0.39175
OLFM4	0.981166666666667
RAD9B	0.3395
TSPY2	-2.892
PAX6	-1.98666666666667
SCG2	-3.056
SLC17A6	0.0145
FMO3	0.76
PADI4	0.00962499999999999
TUBB4	-1.3498
NLK	0.2225
POU4F3	-0.27
SDF4	-0.37275
ITGBL1	1.51183333333333
NETO1	-1.71625
TAP2	-0.534875
ABBA-1	-0.319916666666667
GNAI1	-1.46825
VPS4B	1.14725
NOPE	0.1769
GALNT6	3.02966666666667
SESN1	0.95075
GBE1	-1.51444444444444
CLASP1	0.03075
RASGEF1B	0.29375
ACOT11	-0.646214285714286
AFAP1	0.51
OR2H2	0.27775
DPY19L2P1	-1.05625
DZIP1	-2.674
SEC22C	0.40425
GPR161	-1.72658333333333
RNF146	1.4015
WDR74	-0.80325
GALP	-0.435
PURA	1.69425
DNPEP	0.71325
RP11-78J21.1	-1.12225
ERBB2	1.0645
FANCM	-0.544583333333333
NEO1	0.657833333333333
DDX3Y	-4.28822222222222
RPS3A	0.289375
MXRA7	0.308714285714286
LGALS3	-2.30133333333333
GLT8D1	0.391
CFL2	0.0848333333333333
UPB1	0.272
NAP1L5	-0.6355
CLDN14	-2.06725
DHX38	-1.1705
BTBD1	0.02725
TARS2	-0.224
ABCF1	-0.2322
FCF1	0.997
LRRC49	0.00975
GUCY1B2	-2.523
C1orf177	0.002
SMARCA4	-0.423785714285714
LRP8	-3.70216666666667
TAGLN3	-1.2685
MRPL14	0.041
TTRAP	-0.19075
ZDHHC20	0.419
NFE2L3	-0.34825
KIAA1377	-1.443625
PALMD	1.0187
TMEM43	0.11075
TTL	-1.0755
STAT5B	-1.2255
SSB	-0.5615
OR10H5	0.304
SLC22A13	-0.6555
AKAP3	0.02525
TIMM23	0.200333333333333
OAS2	0.764083333333333
KIAA0423	1.17775
TRIM11	0.353666666666667
GLIS3	-0.212125
TMEM50B	0.234833333333333
ARHGEF4	-1.70525
DEGS1	-1.42945454545455
TBL1XR1	1.00823333333333
G6PD	-1.83425
SP140	-0.0576
MUC17	0.157428571428571
NUDC	0.0146
DNAJC5B	1.32233333333333
SCARA3	-1.25666666666667
CPA3	6.751
BCAT2	-0.095875
MFN1	-0.1718
NRG3	0.7725
SNX11	0.431
PLEKHH1	0.0445
GPR177	-2.255
HCFC2	-0.106
TCAP	6.36625
MOCOS	-2.99125
C14orf93	0.0555
PRDM10	0.0248333333333333
SLC16A4	-0.574916666666667
SRGAP1	0.844333333333333
VIP	0.385
DUSP27	4.35016666666667
LILRA1	0.2395
MC2R	0.2995
MGC24103	-2.87225
MBTD1	-0.9185
FUT11	-0.864
USP33	0.4775
C15orf39	-1.12225
MAP3K12	0.2305
PAAF1	-0.3995
BARHL1	-0.2585
FLJ16165	0.2765
PIWIL2	-3.03075
SYNE1	0.330583333333333
CMTM4	0.293375
TSPYL1	0.9573
GUF1	-0.256333333333333
TMEM157	1.2825
WDR44	-0.51875
HIST1H3C	0.0595
DKFZp666G057	2.71775
RNPEP	0.0945
GAS2L2	0.219
ADH4	-4.9525
GRPR	2.34283333333333
FBXL17	0.36175
ZBTB10	1.8045
Gcom1	0.652833333333333
HTRA1	0.3893
ZNF585A	-0.0581666666666666
SLC26A2	-1.06507142857143
OTOP3	0.114833333333333
WISP1	0.896666666666667
ATP2B4	-1.184
FLJ10769	1.73925
CRAMP1L	1.34275
CHST12	-1.2865
RAB22A	0.447666666666667
TARDBP	-0.143285714285714
STAU1	-0.253
CRB3	1.97966666666667
MIG7	-2.43675
CHMP1A	-0.246833333333333
ZNF160	0.059125
B3GALT6	0.585625
BARX1	-1.3985
C6orf167	-1.0029375
NXNL1	0.1755
DHX29	0.551875
HADHB	0.13425
PLXNB2	0.72125
ILDR1	-0.895
SLC15A3	1.515
GAS2	-2.75983333333333
C20orf69	0.09175
NUMB	-0.1135
TNIP1	-0.0185
MESP1	0.65
PSKH1	-0.23875
NSFL1C	0.180625
RHOG	-0.59025
HEY1	-2.72433333333333
KNG1	-1.84325
ITGAX	1.1484
LIN9	-0.797666666666667
CANT1	1.3795
XRN1	0.214928571428571
CCDC96	1.3217
HEATR6	-1.08583333333333
GNG7	0.721666666666667
RUNX2	0.85025
SOX1	-0.114166666666667
FCRL5	0.2023
ZNF99	0.03375
FAM9A	0.222
SNX22	0.426833333333333
MBNL3	-1.86683333333333
ODC1	-2.8278
ADORA2B	-3.80666666666667
NR2F6	0.611
ZFYVE16	0.398944444444444
SYNJ2BP	1.3871
POLE	-0.90225
E2F2	-1.04925
THRA	1.2505
PTGES2	-1.06866666666667
HIP1R	-0.584
TMUB1	-0.798833333333333
ENO3	2.43
RSPH10B	1.358
CXorf39	0.78325
IRGC	0.0985
GPR109B	-0.2565
FLJ13305	-0.212
LCE3A	0.489
TNFRSF18	-0.742666666666667
DET1	0.69525
TRPM3	-0.38525
C16orf79	-1.141
FECH	0.192666666666667
RAP2A	0.756166666666667
CRIP1	3.71983333333333
AZIN1	1.241875
SLC7A7	2.06475
IL10RA	0.0866
TMEM64	-3.84875
CDC42EP4	1.3015
C16orf58	0.4598
ARG2	-3.07675
POU5F1P4	-4.38325
FAM62B	-0.080625
DNAH8	-1.9758
ASH2L	0.6325
TSLP	-3.45516666666667
CNTNAP5	-0.512333333333333
TMEM16C	-1.26775
IFNA14	0.024
SLC1A3	-0.173125
CABYR	1.907
BCL7B	-0.0064
NUDT13	-0.854333333333334
C13orf28	0.58925
C1orf53	0.3475
ARL6IP4	0.1055
RPL35A	-0.32675
EMR3	0.4255
RAB40C	0.969083333333333
SLC41A1	-1.3385
LRCH1	0.17025
LY6G5B	-0.6095
FAM124A	-0.995071428571429
MGC10981	-3.78183333333333
CLIP3	-0.4269
MAP4K2	-0.7065
CHIC1	0.3235
SULF1	2.7115
C20orf30	0.422857142857143
PRDM5	-0.989875
ELOVL1	-0.44425
C11orf48	-0.26075
SLC39A10	-0.88175
KCNV1	-0.066
ACP1	-0.0523333333333333
ZMYM2	0.196375
B3GNT6	-0.0705
C9orf69	-0.032
C2orf15	1.20025
C20orf166	2.3395
HSP90AA6P	1.3795
EDG7	-1.2765
NEURL	2.861
LPL	0.4065
CLEC2D	0.206142857142857
GRRP1	1.263
CD8B	-3.6589
HIST1H3D	-1.09966666666667
SLC6A12	1.0375
FAM27L	-0.366
CD84	1.4348
RASA1	-0.478
PHKG1	1.732
MAGEA11	-0.5595
IMPA1	-0.2978
NPM3	-2.045
RARRES1	2.10325
SH3BP1	-0.288
B3GNTL1	-0.567
ARPC5L	-0.021
KLHL26	0.39775
SIM2	-1.26825
GJC1	0.4505
C20orf194	-0.247
EXO1	-2.7675
SLC2A2	-2.35566666666667
LOC285074	-1.05725
LRG1	2.05875
KIRREL	-0.371
PIK3R1	1.06257142857143
C4orf34	1.865
MAF	-1.80088888888889
ADCY4	2.699
ZMIZ2	0.5846
SLC46A3	1.15983333333333
STAMBP	-0.143166666666667
CCDC16	0.5275
MS4A12	0.048
TCF20	0.38575
LRRC46	1.02175
C20orf152	0.20475
MRPS6	-0.764375
ABCB11	0.514
KCNC2	-0.0901666666666667
CDH19	-2.3644
C9orf123	0.753166666666667
SSH3	0.974625
LDLRAD1	-2.196
CCBE1	-0.444
ZNF135	-1.27975
TAAR1	0.312
WFDC12	-0.0655
CCDC42	-0.5155
FLJ12529	-0.663
PER1	-1.291
TIMM50	-0.761166666666667
SMARCAD1	-0.5845
FAM26C	0.1665
TP53TG3	-2.8645
SH3RF1	2.3873
LMCD1	2.02525
GPR63	-1.013
FLJ21986	-1.63875
AIFM3	-0.915
MICAL1	-0.9265
BLZF1	0.579
IQCA	0.5815
PCDHGC3	-0.4955
SAC	0.167
BCL6B	1.397
DDO	0.46825
MARCO	0.1655
DCHS1	0.081
C1orf170	1.43983333333333
CD200R1	0.679166666666667
C22orf15	-0.5555
SEPT11	-0.0776666666666667
ADNP	0.0265
UST	-0.5386
C13orf34	-1.25983333333333
RFFL	0.536428571428571
APBA3	-0.3355
C2orf60	-0.62425
CUTL1	0.5448
PMS1	-1.229625
ZNF689	0.8225
EIF3E	0.358666666666667
IL9	0.526333333333333
RPL31	-0.31725
LY9	0.0526666666666667
ATP2B3	-0.00525
KDELR2	-0.4005
TFCP2	0.594375
NLRP12	-0.391375
FLJ45422	-0.11125
TLE4	-1.0521
ZNF570	-0.586
FLJ43806	-0.8965
TLK2	-0.379625
CIR	0.921
MARS2	0.578
COL24A1	1.193
SDF2L1	-0.848
HIBADH	0.505
IGFBP3	-3.06607142857143
C12orf23	0.472
PSPC1	0.1375
C20orf43	-0.00375
TRAV20	0.00799999999999999
ARHGAP24	0.453
KIAA1975	2.47475
C1QA	3.527
DNTT	-3.76616666666667
C10orf6	0.3325
C11orf41	-0.7095
HNRPF	0.50975
COL11A1	5.14
UBAP2	0.0606666666666667
CDKN2AIPNL	0.1355
C20orf174	1.56875
SPRED2	0.9775
PLA2G12A	0.587833333333333
ICEBERG	-1.555
SCN10A	0.4495
C11orf65	0.04275
GBP5	3.096
PITPNC1	-2.82983333333333
POU3F3	0.3785
NCOA7	-1.1735
LIN7C	-0.1052
LOC348840	-0.8315
NKX2-2	-2.18975
ANKRD13D	-0.00112499999999999
LOC123688	-0.895
FUT2	0.6715
TAAR8	0.26
FZD4	0.271916666666666
PNMA3	-1.697
OR4L1	0.1575
WIT1	1.18975
EXOC3L	0.56325
ATPBD4	0.3839
KRBA1	-0.64
UBXD6	-1.35875
HOXB7	-1.58571428571429
C7orf23	-1.12
UNQ338	-1.215
STAB2	0.348
CDC20B	0.287
IRF9	1.89825
CENTG1	-0.241833333333333
TNPO2	-1.0705
MCPH1	-0.107125
BMS1P5	-1.27675
SLC26A7	0.3175
HIST1H3J	-0.21025
C9orf3	0.6993
LBH	0.186125
MYO1D	0.183875
PTDSS2	0.441
NFU1	0.73975
DEPDC4	-1.318
WNT7B	1.4596
GLP2R	-0.103666666666667
SETD4	-0.5781
DYNLT3	-0.4398
FKBP11	-2.17033333333333
SESTD1	1.38516666666667
FLII	0.41525
RPS16	-0.4468
CHPF	-1.0565
CSNK2A1	-0.268833333333333
SUMO1P1	-0.03525
FKBP6	0.764
ZNF214	0.724
TWIST1	-0.528666666666667
DDX56	-0.8775
TRAM1L1	2.5817
EPO	-3.55316666666667
MRPS18B	0.0885
ZNF682	-0.456166666666667
RPL14	-0.015
MAFF	-0.2225
LOC51136	-0.593375
LY96	-1.372
DDX20	0.00575
ABTB1	0.581333333333333
ARL5A	0.3276
CCT6A	-0.94125
HEPACAM	-1.51033333333333
EHHADH	-0.86
RBAK	0.331
CGB1	-0.28725
ITGB5	1.0149
YIPF3	-0.0065
FKBP2	-0.057
NR1D1	-1.0429
TMEM110	0.031
NEK2	-1.26033333333333
PRAMEF8	-2.71275
C20orf52	-1.2245
PCDHGA3	-0.786
VWA3B	0.15425
NDUFA5	0.374
THAP9	0.09075
FLVCR2	-0.713666666666667
AP1S1	-1.329625
SMAD6	-0.9275
SAV1	0.868125
SAT1	0.415875
ZNF251	1.837625
ADAMTS7	0.0474
RPP38	0.2665
C1orf211	-1.7535
YPEL2	1.2363
RBMS1	-0.4135
ZNF445	-0.216833333333333
NRXN2	0.222666666666667
PGBD4	0.17875
UGT2B28	0.3745
WBSCR16	-0.5435
NLRC3	-0.07375
ASTL	0.01475
ST6GALNAC1	-3.3715
ZADH2	0.147625
MLLT4	1.70733333333333
ARL6	0.069
MEF2C	2.91325
CBFA2T3	-0.2395
AFF3	3.10357142857143
COG7	0.934833333333334
MYB	1.5195
PLXNA3	-0.5475
XRCC2	-1.5575
MMS19	-0.33875
ST8SIA5	-0.2305
CHPT1	1.80866666666667
KIAA1712	-0.147
OR6X1	0.139
ACTR3	-0.25825
UGCG	2.72333333333333
OR4P4	0.554
ZAP70	-3.27075
LPP	1.182
ZNF485	-1.359
PTPRCAP	-0.653
IL12RB1	0.16125
ATRX	0.4827
CHST8	1.83875
C14orf109	0.74525
ARV1	0.023
NMB	-1.89357142857143
COX5A	-0.609166666666667
EIF6	-0.57125
MPPED2	1.88766666666667
SEMG1	-1.503
CHRDL1	-0.0135
TRAF3IP2	0.6625
WNK2	-0.92175
LILRA4	0.574166666666667
LAMA2	4.15425
PXT1	-0.3295
RLBP1	-2.048
CD300C	-0.24825
SLTM	0.417875
FLJ10404	-0.4735625
APOBEC3D	-1.4965
RENBP	-0.38
ATXN7L1	0.3545
NID1	-0.82075
TUBGCP3	-0.658625
ITIH5	0.0357777777777778
CCDC110	2.50225
C8A	-2.8105
MGC87042	-2.4185
HOXC13	-2.088
TFDP2	-0.87275
HCP5	0.46925
POLI	0.65725
UCN	-1.07283333333333
ZNF764	0.504833333333333
C8orf45	0.48875
FHL3	0.13725
SPATA5L1	-0.51375
MMRN2	2.32366666666667
NDST1	0.4505
COL20A1	-0.583166666666667
ZNF248	-0.400166666666667
PELP1	0.168333333333333
MBL2	-2.38683333333333
RNF41	0.48825
C5orf24	0.606
THOC5	-0.461625
SERINC3	0.197833333333333
RP11-151A6.2	0.6495
CDCP2	0.1495
HIST1H2AA	0.28925
C11orf75	-0.731
FKBP7	-0.8185
DDOST	-0.61325
GPNMB	-0.201333333333333
TTF2	-1.2835
KCNT1	0.0425
SLC39A14	-1.069625
NGRN	1.3236
GPR137B	2.707
MECP2	-0.1175
PSMA1	-0.58375
C16orf73	-5.43375
TMEM60	-0.414166666666667
CSN3	0.4005
NOS1	0.413333333333333
RAB7L1	-1.7795
YBX2	-0.252
KIAA1166	-1.531375
FUBP3	0.338333333333333
ABCG1	1.935
ACACA	-0.502333333333333
ARL11	1.1973
ATOH1	0.243
ODF1	0.0145
CREB3L3	-1.72216666666667
TMEM127	1.36578571428571
DSCAML1	1.734
PLN	4.19583333333333
LYPLA1	1.96783333333333
PRDM9	-1.53075
SASP	0.76925
PLUNC	0.033
INTU	-0.31475
HISPPD1	-0.54575
LNPEP	-0.2735
YARS2	-0.71
APCDD1L	-1.431
ZCCHC4	-0.3839
FBXO22	-0.408833333333333
TTLL13	0.3295
ZNF669	-0.250166666666667
PTGDR	1.213
DDX27	-0.3825
KIAA0409	-0.593833333333333
GJB6	0.3065
ASB8	1.2765
PLP2	-0.249333333333333
MEPE	-0.226
OR10J5	-0.101
KRT222P	0.66425
COQ7	0.9745
C1orf101	1.611
RERG	3.9789
CHMP5	0.814875
THAP11	-0.195375
ZNF43	0.772833333333333
ZRANB3	-0.3985
KRT13	0.0125
MRPL19	-0.3175
RBBP9	-0.185375
SPATA17	0.46
BXDC5	0.268166666666667
PAFAH1B1	-0.700333333333333
MAGEE1	-0.032
OSTF1	0.21
KIAA0323	0.370916666666667
TXNDC13	-0.295
CNTN4	3.27575
LCE1B	-0.051
UNQ501	0.35525
ZNF154	-0.358
C3orf64	-0.39875
SYT5	-0.0793
PON1	0.00183333333333335
FLJ10357	-0.811375
ATP4A	-1.2605
GNPDA1	-0.222833333333333
MGAT1	0.482333333333333
C14orf121	-0.30025
SLC35B2	-0.3215
MIER3	0.350666666666667
CHEK1	-2.425125
ZNF8	0.0386666666666667
TXNDC1	-0.509333333333333
CKB	-1.7963
RTN3	0.865214285714286
FZD2	-2.39116666666667
PART1	-0.548125
PSMB6	-0.1215
PCDHB8	-0.9555
PHC3	0.4347
PPP1R8	0.439333333333333
NOVA2	0.791833333333333
TNFRSF11B	-1.376
GOLPH3	0.744833333333333
UBLCP1	-1.19575
SUHW3	-0.99225
TTLL1	0.98675
OPN4	0.2195
OR13G1	0.6005
ZPBP2	0.0293333333333333
HSD17B11	-2.671625
C9orf50	-0.635
DHDDS	0.145642857142857
CTSW	0.1038
NEFM	-2.007
MRPL28	0.06075
SYN1	0.1485
PIGV	0.512833333333333
ZIM2	4.618
APBB1	0.800166666666667
SND1	-0.31025
C1orf123	0.315833333333333
CHD3	0.10175
BHLHB8	0.2145
RNASE2	-0.511166666666667
BCAP31	0.107625
SLC25A44	-0.0118333333333333
CHD6	0.4356
PIB5PA	3.14176923076923
SELS	0.66425
LOC541471	-1.30875
FAT2	-0.323
ZNF81	0.1205
OR4C16	0.46
FLJ10081	1.0446
LRRC4	0.17175
CS	-0.685
N4BP2	0.608875
IGFBP7	0.387
ZNF318	-0.103416666666667
NDNL2	0.802125
ZNF609	0.354
SIRT4	-0.55975
EXOSC10	-0.5995
ECE2	-0.265416666666667
OVGP1	3.1195
GTPBP3	-0.2165
PACS2	0.647
C19orf36	-0.589666666666667
ARL4C	-1.826125
ATG4B	-0.34175
UBQLNL	-0.8845
RHOXF2B	-3.5725
PLEKHG2	-1.2915
GALR1	-0.6185
AQP4	0.573666666666667
HDAC7A	0.4295
DCUN1D3	0.5725
OR8A1	-0.687
CCRN4L	0.3355
CBR4	0.215833333333333
KIFC1	-1.46666666666667
SLC7A14	-1.19733333333333
LHX5	-0.3015
TRPC7	0.186
LPXN	-1.3975
SERPINA1	-2.747
RPS13	-0.3604
BPIL3	-0.445
PRKAA1	-2.412
FADS2	-1.9545
ENAH	0.1501875
PRO1768	-0.593
APBA2BP	0.21175
LIPH	3.0375
C3orf33	-1.532
RCC2	0.0459285714285714
ALDH1A2	-1.8865
RNF103	1.79775
AHCY	-0.28225
ALG12	0.1475
CCL17	1.71275
ZNF543	0.844666666666667
ESRRG	2.0117
CNGA1	-0.5575
RDH5	-0.415833333333333
OTX1	-1.2738
PTGFR	-1.09333333333333
CDR2	-0.033375
SELE	6.155
NLGN2	-1.36733333333333
EXOSC9	-1.10225
ZNF566	0.530333333333333
KLRC2	-4.68
GPR12	0.5065
KIAA0196	1.69675
PDRG1	0.4425
SSR3	-0.489928571428571
MSI1	0.00599999999999998
CST9	4.115
CC2D1A	-0.322375
PLAGL1	-0.9025
ZNF778	-0.7355
RNF2	0.382375
KLF6	0.4275
THBD	1.72716666666667
tcag7.1314	1.2355
NR5A1	-0.223666666666667
ABCD2	-0.27775
DNAJC7	-1.70475
CLEC4C	-0.3125
TM2D3	0.673
CCDC4	-0.4045
PLAC2	0.07325
DCD	-0.519
FAAH	1.409375
POLA1	-0.0726666666666667
TM7SF2	-0.67125
FLJ39822	-1.14366666666667
FLOT2	0.030625
MAP4K1	-1.084
SRP68	-0.242625
C21orf74	-0.326
ARPC5	-0.387625
LOC126075	1.106
HECW2	-0.018
ZDHHC4	-0.17475
ANKRD42	1.3315
PDE9A	-1.46016666666667
ABCA8	1.088
NDUFS2	-0.32825
UBR5	1.54375
BTBD16	-3.56375
LOC554174	1.0215
ZNF20	1.0445
KIAA1843	0.2985
WDR17	-0.040625
C15orf33	1.283
RNF113A	-0.45625
CAMKK1	-0.4837
CLCN2	-0.0355
ANXA6	-0.741
LOC340069	0.2995
EMID1	0.56925
DPM3	-0.474833333333333
ELA1	0.154
SLC25A13	-1.1483
KRT24	0.126
SMPD1	-0.495
TH	0.268375
COL6A2	-0.353714285714286
ANKS1B	2.467
GPR126	-1.8184
ZC3H12A	0.759333333333333
TMEM47	-0.463166666666667
C2orf51	-0.226166666666667
C1orf88	1.3765
HSF2BP	0.46125
AKAP10	0.80475
RPAP3	-0.689
KLHDC8B	0.375
STOM	1.22
MUPCDH	-0.122375
C10orf72	-0.09125
PLEKHA3	0.808416666666667
TCP11L1	-1.04025
CWF19L1	0.061625
SPEF1	0.423307692307692
YSK4	-0.3515
ELN	0.9351
SAMD8	0.849166666666667
MPI	-0.7
MEPCE	-0.2032
ABCC3	-1.596875
NANOGP1	-3.415
KCNK17	-0.87625
HLA-DMB	3.62766666666667
RRAGA	0.809
ANGEL1	-0.16525
RBM32B	-0.4095
CPN1	-3.0635
MGC52282	1.9557
HLA-A	-0.399083333333333
OR9G4	0.359
EDNRB	-1.867875
SCD	-1.01914285714286
C14orf80	-0.684333333333333
BAGE2	-0.0515
RABL4	1.50666666666667
RCVRN	0.2995
SHANK1	-0.202
NLRP7	-3.7925
CD226	0.685
STAT3	1.1874375
SYNJ2	-0.4249
TPCN2	-0.606333333333333
WDR36	-0.89275
MBD4	-0.2405
ROBO1	-1.4079
ST3GAL6	-3.0805
SLAMF8	1.43283333333333
ATN1	0.2015
GPR141	0.31975
KRT36	-0.0595
TPH1	0.684
DDX52	-0.03725
ZSCAN29	-0.1955
TRPT1	-0.534166666666667
DPEP3	0.0205
DENND4A	-0.493125
TSPAN16	-0.1455
PTCHD2	0.271
LOC145814	1.34725
CAP1	-0.203166666666667
EIF5A2	-2.3589
NT5DC3	-0.684875
SEPT9	-0.738
SEZ6L2	0.346875
EGFLAM	2.5095
VPS11	0.899625
NDUFB5	-0.479
CIDEA	0.807
IER5L	-0.47075
N6AMT1	-0.05025
FAM83C	-0.1625
OXR1	3.18708333333333
IRX1	-0.396
DGKB	-0.140666666666667
GCN5L2	-0.8605
MIR16	1.14125
FBXW9	-0.15275
WDR4	-1.30283333333333
PDC	-0.113
VPS33B	-0.2835
HEXB	-0.605
FLJ32214	0.2355
TCEB3	-0.85775
CRLF1	-2.99675
ABI3BP	0.7405
C8orf22	3.00975
PYCR1	-0.8315
KIAA1706	-0.3585
CDK5R2	0.349375
WAS	0.073
C12orf60	0.53925
CCBL2	0.40275
MADD	-0.36025
C5orf34	-1.55625
WDR42A	0.9617
KLF12	-0.1645
HSPA1A	2.66625
ITM2C	-2.2525
DAPK2	2.45183333333333
LOC442590	1.0695
SUMF2	1.64675
CENPA	-1.92776923076923
TMED5	-0.462875
CDH6	-1.5822
BRP44	1.415375
THG1L	-0.8595
GABRA2	-2.1855
C14orf166	-0.51725
MYL1	6.54466666666667
TNFSF18	0.447
PAP2D	-0.941166666666667
PPIB	-0.98375
KLHL4	-0.16925
SFN	-0.929333333333333
CCDC127	0.58825
FRAP1	0.03975
GOLGA5	0.72925
SDCCAG1	-0.05925
MGC21675	0.1435
C10orf95	0.00825
KIAA1345	-0.729
C1orf163	-1.096
LACE1	-0.696833333333333
OR10K2	0.279
CENPN	-3.02136
TMED2	0.60225
UGT1A6	-1.98
ANG	0.05825
U2AF1	-0.866
CASC2	-0.019
NMT2	-1.19233333333333
OSGEPL1	0.190125
DFNB31	-0.695
SLC6A20	-0.428125
DKC1	-0.30625
FXYD4	-1.014
WDR64	-0.2875
MGC5590	0.401
CREBZF	0.394
DAZ1	-0.125
PRPSAP1	-0.48
GCHFR	-1.694
TTC7A	-1.00425
LOC196993	0.71275
UBD	-1.09866666666667
S100A1	0.225875
RPL6	-0.091
DNAJB6	0.67545
NAGS	1.863
C2orf58	0.24
KERA	1.00833333333333
MT1X	-0.2465
UBE2B	1.6332
KEAP1	0.191
MST1	-2.81725
OMA1	1.108
ABLIM2	3.7495
BCL2L13	-0.0630833333333334
JAZF1	-0.486
TMEM63B	0.6545
S100A8	-1.6065
ARFIP2	0.865
UROS	0.4655
KHDRBS2	0.413
POLQ	-2.609375
SOAT1	-1.44975
SPAG4	-2.84575
MRPS30	2.25
LOC494141	-0.48175
OR2T11	0.247
ORAOV1	-0.394
ZNF184	-0.225
TCEB3B	-0.2335
ADAM21	0.523
GDPD1	0.668
SPINLW1	0.62675
PRR14	0.835666666666667
KCTD9	-1.0661
NUDT3	0.62575
KIAA1822	-0.0355
HIST1H4K	0.874
DFNA5	-2.441
GABPA	0.3395
C14orf44	1.67075
POLB	1.095375
PTAR1	-0.43375
SEC31A	0.3926
TRIM58	-0.3095
TAS2R14	0.807
VPS8	0.30375
H1F0	1.72383333333333
PRKCB1	-3.041
UGT2A1	0.3205
TOR1B	0.30825
LSS	-1.74825
C2orf19	0.361
HNRNPC	0.419357142857143
TMEM100	-1.61133333333333
LOC116349	-0.12725
OR51M1	0.3915
CCDC142	-0.97225
ISG15	-0.165
