Hybridization REF	TCGA-AN-A0AS-01A-11R-A00Z-07
LOC493869	-0.027
MRAS	1.9575
SLC35F5	0.43675
CBWD1	-0.8545
AXL	-0.99525
ATP2C2	-0.105
TELO2	-0.48825
PNPLA3	-3.1515
PCDHB14	1.003
CD276	1.54575
KRT80	-0.802875
DUSP28	-0.4455
CSNK1E	0.174583333333333
SRP14	0.2295
KCNQ4	-0.325
KRT72	-0.2115
CCDC117	0.392
C6orf89	0.0322222222222222
TUBB2B	-2.44216666666667
RTN4IP1	-1.246
CR1L	-3.97466666666667
CEND1	0.41475
C12orf41	-0.707333333333333
RNF31	0.42175
UBN1	0.231833333333333
C17orf32	0.189875
SLC5A7	0.366
GPR92	1.14416666666667
ESAM	2.4857
CTNNA1	0.710333333333333
HRBL	-0.7095
CBX4	0.204
TMEM182	-0.3135
SH3TC2	-2.07566666666667
IL10	1.06916666666667
PXMP4	0.224
RNF167	-0.4657
PAK7	-0.528666666666667
ETV3	0.325
ATPIF1	-0.848166666666667
LOC554207	-1.941
OR8H1	-0.0465
WDFY3	0.56725
DPM1	-1.29125
GPSM1	0.2365
WDR92	-0.6198
LRP1	1.61966666666667
ANKH	0.785
THUMPD3	-0.9655
POLR1B	-0.93
OLFM4	0.152166666666667
RAD9B	-0.73075
TSPY2	-3.5215
PAX6	-1.987
SCG2	-1.74775
SLC17A6	0.27675
FMO3	2.418875
PADI4	-0.310875
TUBB4	0.0732
NLK	-1.319
POU4F3	0.755
SDF4	-0.033
ITGBL1	3.23666666666667
NETO1	-1.370375
TAP2	0.3395
ABBA-1	0.742166666666667
GNAI1	0.36
VPS4B	1.06975
NOPE	-0.1744
GALNT6	2.27366666666667
SESN1	-1.01775
GBE1	-0.720555555555556
CLASP1	-0.21125
RASGEF1B	1.52425
ACOT11	0.239357142857143
AFAP1	0.8205
OR2H2	0.3095
DPY19L2P1	-1.17425
DZIP1	-1.26125
SEC22C	-0.38925
GPR161	-0.237416666666667
RNF146	1.21425
WDR74	-0.4735
GALP	0.189
PURA	1.34925
DNPEP	0.896166666666667
RP11-78J21.1	-1.413
ERBB2	1.941
FANCM	-1.8875
NEO1	0.423166666666667
DDX3Y	-4.7693
RPS3A	0.615
MXRA7	0.968928571428571
LGALS3	0.154666666666667
GLT8D1	0.505
CFL2	-1.78183333333333
UPB1	0.17275
NAP1L5	-0.302875
CLDN14	2.42725
DHX38	0.002
BTBD1	-0.3845
TARS2	-0.559666666666667
ABCF1	-0.1975
FCF1	-0.0353333333333333
LRRC49	-0.615
GUCY1B2	0.556
C1orf177	1.4515
SMARCA4	-1.185
LRP8	-1.7425
TAGLN3	-0.92375
MRPL14	-0.89625
TTRAP	-0.05425
ZDHHC20	1.64525
NFE2L3	-3.3485
KIAA1377	-1.297875
PALMD	1.227
TMEM43	0.47925
TTL	-1.295125
STAT5B	-1.14966666666667
SSB	-1.194875
OR10H5	0.617
SLC22A13	-0.11825
AKAP3	-1.33375
TIMM23	0.0623333333333333
OAS2	1.46191666666667
KIAA0423	-0.1285
TRIM11	1.12166666666667
GLIS3	2.527125
TMEM50B	0.989666666666667
ARHGEF4	-1.142375
DEGS1	-0.588090909090909
TBL1XR1	1.0384
G6PD	-1.069
SP140	0.287
MUC17	0.123571428571429
NUDC	-0.00699999999999997
DNAJC5B	3.868
SCARA3	0.522166666666667
CPA3	6.73016666666667
BCAT2	-0.194875
MFN1	-0.4342
NRG3	1.351
SNX11	0.5825
PLEKHH1	-1.08866666666667
GPR177	-1.10283333333333
HCFC2	-0.07575
TCAP	-0.534
MOCOS	-1.14325
C14orf93	-0.0465
PRDM10	-0.386333333333333
SLC16A4	-0.529666666666667
SRGAP1	0.197333333333333
VIP	0.10675
DUSP27	0.814333333333333
LILRA1	1.1386
MC2R	0.4625
MGC24103	0.379
MBTD1	-2.998
FUT11	0.151833333333333
USP33	-0.2935
C15orf39	-0.44525
MAP3K12	-0.461625
PAAF1	-0.362166666666667
BARHL1	0.411
FLJ16165	0.3345
PIWIL2	-2.38
SYNE1	0.282166666666667
CMTM4	1.837
TSPYL1	0.6745
GUF1	-1.60833333333333
TMEM157	1.156
WDR44	-0.0465
HIST1H3C	-0.66375
DKFZp666G057	-1.10775
RNPEP	1.10675
GAS2L2	-0.114666666666667
ADH4	-5.13475
GRPR	0.632333333333333
FBXL17	1.2115
ZBTB10	0.762083333333333
Gcom1	0.241222222222222
HTRA1	2.5836
ZNF585A	-0.547333333333333
SLC26A2	-0.0216428571428571
OTOP3	0.386666666666667
WISP1	3.31677777777778
ATP2B4	-0.28875
FLJ10769	0.911
CRAMP1L	-0.07475
CHST12	-0.1065
RAB22A	0.197166666666667
TARDBP	-0.346214285714286
STAU1	0.0895
CRB3	2.72133333333333
MIG7	-0.01575
CHMP1A	0.0446666666666667
ZNF160	-0.329
B3GALT6	0.754125
BARX1	-1.02283333333333
C6orf167	-2.2078125
NXNL1	0.564
DHX29	-0.057
HADHB	-0.8295
PLXNB2	1.739625
ILDR1	-1.3855
SLC15A3	3.55875
GAS2	-5.02583333333333
C20orf69	-0.26725
NUMB	0.234
TNIP1	0.539375
MESP1	2.21866666666667
PSKH1	0.638
NSFL1C	0.630125
RHOG	0.63775
HEY1	-1.26316666666667
KNG1	-1.8065
ITGAX	3.0804
LIN9	-1.07483333333333
CANT1	0.629
XRN1	-0.209357142857143
CCDC96	0.7904
HEATR6	-1.7675
GNG7	0.053
RUNX2	2.165875
SOX1	0.5
FCRL5	-0.1507
ZNF99	-0.804625
FAM9A	-0.296
SNX22	0.5175
MBNL3	-2.19716666666667
ODC1	-1.3647
ADORA2B	-2.71266666666667
NR2F6	0.95425
ZFYVE16	-0.679111111111111
SYNJ2BP	-0.2016
POLE	-1.436625
E2F2	-0.733
THRA	-0.0728333333333333
PTGES2	-0.464333333333333
HIP1R	0.449833333333333
TMUB1	-0.599666666666667
ENO3	-2.08825
RSPH10B	0.4505
CXorf39	1.08325
IRGC	0.56225
GPR109B	-1.69125
FLJ13305	-2.2865
LCE3A	0.615
TNFRSF18	0.834833333333333
DET1	0.27
TRPM3	-0.426583333333333
C16orf79	-1.4825
FECH	0.229166666666667
RAP2A	0.160833333333333
CRIP1	4.00783333333333
AZIN1	0.233625
SLC7A7	4.12
IL10RA	1.1675
TMEM64	-3.3855
CDC42EP4	0.3604
C16orf58	0.649
ARG2	-1.03475
POU5F1P4	-4.4665
FAM62B	-0.187625
DNAH8	-2.1378
ASH2L	-0.74375
TSLP	-4.23283333333333
CNTNAP5	-0.65
TMEM16C	0.81825
IFNA14	0.3085
SLC1A3	1.62325
CABYR	-1.137
BCL7B	-0.0129
NUDT13	-1.42683333333333
C13orf28	0.4025
C1orf53	-2.0755
ARL6IP4	0.1656
RPL35A	0.1145
EMR3	-0.0135
RAB40C	1.34066666666667
SLC41A1	-0.597666666666667
LRCH1	-0.00325
LY6G5B	-0.3575
FAM124A	-0.490142857142857
MGC10981	-3.6025
CLIP3	0.4071
MAP4K2	-0.316
CHIC1	-0.8915
SULF1	5.15883333333333
C20orf30	0.0713571428571429
PRDM5	-0.615875
ELOVL1	0.7405
C11orf48	-0.838
SLC39A10	-0.7745
KCNV1	0.0585
ACP1	-1.17883333333333
ZMYM2	-0.640625
B3GNT6	-0.0266666666666667
C9orf69	0.9845
C2orf15	-1.662
C20orf166	3.3465
HSP90AA6P	0.6765
EDG7	1.299
NEURL	-0.597375
LPL	0.874
CLEC2D	-0.626
GRRP1	1.07616666666667
CD8B	-3.1706
HIST1H3D	-0.145
SLC6A12	1.304875
FAM27L	0.123
CD84	2.5221
RASA1	-0.639
PHKG1	-0.234
MAGEA11	-1.88
IMPA1	-1.0942
NPM3	-1.92075
RARRES1	6.18825
SH3BP1	0.904375
B3GNTL1	-0.768
ARPC5L	-0.0445
KLHL26	0.52775
SIM2	2.9585
GJC1	0.8225
C20orf194	0.58925
EXO1	-3.0695
SLC2A2	-2.758
LOC285074	-0.5
LRG1	-0.28825
KIRREL	0.784
PIK3R1	-0.228571428571429
C4orf34	0.732
MAF	-0.180888888888889
ADCY4	2.989
ZMIZ2	0.8488
SLC46A3	3.46983333333333
STAMBP	-0.8925
CCDC16	0.24525
MS4A12	0.191
TCF20	0.6
LRRC46	-0.148
C20orf152	1.08875
MRPS6	-0.027625
ABCB11	-0.261
KCNC2	0.3765
CDH19	-2.16116666666667
C9orf123	-0.280333333333333
SSH3	1.326
LDLRAD1	-2.12975
CCBE1	-0.229
ZNF135	0.328875
TAAR1	-0.253
WFDC12	0.1335
CCDC42	0.116166666666667
FLJ12529	-0.712
PER1	-0.444833333333333
TIMM50	-0.361166666666667
SMARCAD1	-0.65
FAM26C	0.5705
TP53TG3	-2.16216666666667
SH3RF1	1.706
LMCD1	3.75075
GPR63	-0.3775
FLJ21986	-2.349375
AIFM3	-0.70425
MICAL1	-0.0951666666666667
BLZF1	0.577833333333333
IQCA	0.892333333333333
PCDHGC3	0.1475
SAC	-0.341
BCL6B	2.1835
DDO	-1.17725
MARCO	5.06225
DCHS1	2.02916666666667
C1orf170	0.609
CD200R1	0.5844
C22orf15	-0.4525
SEPT11	0.0948333333333333
ADNP	-0.89175
UST	-0.2571
C13orf34	-1.19783333333333
RFFL	-0.305571428571429
APBA3	-0.09
C2orf60	-0.568625
CUTL1	-0.1627
PMS1	-1.441
ZNF689	-0.5335
EIF3E	0.135333333333333
IL9	-0.1905
RPL31	0.067125
LY9	0.00983333333333332
ATP2B3	1.436
KDELR2	1.40754166666667
TFCP2	-0.046375
NLRP12	2.288625
FLJ45422	-0.20425
TLE4	-0.8848
ZNF570	-0.1115
FLJ43806	-0.1665
TLK2	-0.792875
CIR	0.808
MARS2	-0.126
COL24A1	0.35825
SDF2L1	1.332
HIBADH	-0.6195
IGFBP3	-1.66621428571429
C12orf23	0.3895
PSPC1	-0.658
C20orf43	-0.29025
TRAV20	0.3135
ARHGAP24	0.941875
KIAA1975	-0.985375
C1QA	4.1546
DNTT	-4.26166666666667
C10orf6	-0.901833333333333
C11orf41	1.70825
HNRPF	0.572125
COL11A1	8.43083333333333
UBAP2	-0.472833333333333
CDKN2AIPNL	-1.5395
C20orf174	0.97575
SPRED2	0.868
PLA2G12A	-0.588833333333333
ICEBERG	-1.946
SCN10A	0.041
C11orf65	-1.029
GBP5	3.99675
PITPNC1	-0.740833333333333
POU3F3	1.234
NCOA7	0.142375
LIN7C	0.3897
LOC348840	-1.324
NKX2-2	-2.1895
ANKRD13D	1.034375
LOC123688	-0.00425
FUT2	2.01533333333333
TAAR8	0.57
FZD4	0.513916666666666
PNMA3	-0.113833333333333
OR4L1	0.727
WIT1	2.545
EXOC3L	2.11475
ATPBD4	-0.6222
KRBA1	-1.40575
UBXD6	-1.23225
HOXB7	0.428642857142857
C7orf23	-0.558
UNQ338	1.4575
STAB2	0.7725
CDC20B	-0.01225
IRF9	2.09475
CENTG1	0.36225
TNPO2	-1.27075
MCPH1	-0.2515
BMS1P5	-0.425
SLC26A7	0.1775
HIST1H3J	0.3295
C9orf3	0.6899
LBH	1.239875
MYO1D	1.23925
PTDSS2	0.42575
NFU1	-0.20875
DEPDC4	-3.04225
WNT7B	3.039
GLP2R	-0.582666666666667
SETD4	-0.7051
DYNLT3	-0.1572
FKBP11	-0.423333333333333
SESTD1	1.61683333333333
FLII	0.46325
RPS16	0.4073
CHPF	1.437
CSNK2A1	0.0308333333333333
SUMO1P1	-0.185
FKBP6	-0.3825
ZNF214	-1.16483333333333
TWIST1	0.905
DDX56	0.122666666666667
TRAM1L1	0.6132
EPO	-1.90616666666667
MRPS18B	-0.385
ZNF682	-1.069
RPL14	0.561
MAFF	0.089
LOC51136	-1.299125
LY96	0.9915
DDX20	-0.511
ABTB1	1.16216666666667
ARL5A	-0.3204
CCT6A	-1.54525
HEPACAM	-1.52766666666667
EHHADH	-1.94883333333333
RBAK	-0.274666666666667
CGB1	0.4705
ITGB5	1.668
YIPF3	-0.05375
FKBP2	-0.01
NR1D1	-0.0986
TMEM110	1.0685
NEK2	-1.168
PRAMEF8	-3.03975
C20orf52	0.185166666666667
PCDHGA3	-0.571
VWA3B	-0.47575
NDUFA5	-1.009125
THAP9	-0.565
FLVCR2	0.633166666666667
AP1S1	-1.53875
SMAD6	0.77225
SAV1	1.659375
SAT1	1.54175
ZNF251	1.898875
ADAMTS7	0.5909
RPP38	0.03
C1orf211	-2.0645
YPEL2	0.8326
RBMS1	0.50325
ZNF445	-0.260833333333333
NRXN2	0.135333333333333
PGBD4	-0.74175
UGT2B28	-2.65025
WBSCR16	-0.9171
NLRC3	-0.318125
ASTL	0.73325
ST6GALNAC1	-3.6025
ZADH2	-0.673375
MLLT4	0.24125
ARL6	-0.489333333333333
MEF2C	-0.41925
CBFA2T3	0.657
AFF3	-0.646642857142857
COG7	0.2085
MYB	-1.7485
PLXNA3	1.018
XRCC2	-2.52466666666667
MMS19	0.225875
ST8SIA5	-0.87525
CHPT1	-1.2455
KIAA1712	-1.325
OR6X1	0.2475
ACTR3	-0.12825
UGCG	-0.585833333333333
OR4P4	0.335
ZAP70	-3.1065
LPP	1.4035
ZNF485	-0.25525
PTPRCAP	-0.858
IL12RB1	0.6075
ATRX	-0.2763
CHST8	0.001
C14orf109	1.3285
ARV1	-0.1405
NMB	0.643714285714286
COX5A	-1.2325
EIF6	0.65125
MPPED2	-1.0845
SEMG1	-1.7355
CHRDL1	-0.907
TRAF3IP2	0.38825
WNK2	0.549
LILRA4	1.98266666666667
LAMA2	4.04425
PXT1	0.005
RLBP1	-3.10825
CD300C	1.933
SLTM	-0.58375
FLJ10404	0.16425
APOBEC3D	-1.46833333333333
RENBP	1.6705
ATXN7L1	0.128875
NID1	0.78675
TUBGCP3	-0.619
ITIH5	0.481722222222222
CCDC110	1.25475
C8A	-2.97825
MGC87042	-1.05375
HOXC13	1.23725
TFDP2	-1.743
HCP5	0.8085
POLI	-0.05375
UCN	-1.09166666666667
ZNF764	0.407333333333333
C8orf45	-0.98125
FHL3	-0.171
SPATA5L1	-0.217
MMRN2	3.00983333333333
NDST1	0.713
COL20A1	-0.232666666666667
ZNF248	-0.966333333333333
PELP1	-0.311833333333333
MBL2	-2.24216666666667
RNF41	1.248875
C5orf24	0.00724999999999999
THOC5	-0.028
SERINC3	0.313083333333333
RP11-151A6.2	0.127
CDCP2	0.55075
HIST1H2AA	0.99725
C11orf75	1.47566666666667
FKBP7	0.37375
DDOST	0.21975
GPNMB	2.13766666666667
TTF2	-2.25983333333333
KCNT1	0.571833333333333
SLC39A14	-0.322625
NGRN	-0.014
GPR137B	2.92375
MECP2	0.0575
PSMA1	-1.0185
C16orf73	-5.0195
TMEM60	-0.829666666666667
CSN3	-0.205
NOS1	0.44
RAB7L1	-0.786666666666667
YBX2	-0.2995
KIAA1166	-0.532125
FUBP3	0.448166666666667
ABCG1	1.722
ACACA	-0.561083333333333
ARL11	1.3432
ATOH1	-0.2515
ODF1	0.533166666666667
CREB3L3	-1.666
TMEM127	1.64128571428571
DSCAML1	0.1395
PLN	2.899
LYPLA1	-0.137833333333333
PRDM9	-1.94475
SASP	-0.884
PLUNC	1.3
INTU	-1.31575
HISPPD1	-0.36075
LNPEP	0.1555
YARS2	-0.0223333333333333
APCDD1L	-0.4345
ZCCHC4	-0.1068
FBXO22	-1.1645
TTLL13	-0.0225
ZNF669	-0.810666666666667
PTGDR	2.68
DDX27	0.5715
KIAA0409	0.0448333333333333
GJB6	0.077
ASB8	0.494
PLP2	-0.157333333333333
MEPE	0.092
OR10J5	0.981
KRT222P	-0.28975
COQ7	-0.635
C1orf101	0.169
RERG	2.2271
CHMP5	0.382375
THAP11	0.406375
ZNF43	-1.179
ZRANB3	-2.05416666666667
KRT13	-0.397
MRPL19	-1.175375
RBBP9	-0.8525
SPATA17	0.277
BXDC5	-0.254166666666667
PAFAH1B1	-0.198416666666667
MAGEE1	0.1725
OSTF1	0.65175
KIAA0323	-0.211583333333333
TXNDC13	-1.49016666666667
CNTN4	3.560875
LCE1B	-0.126
UNQ501	-0.67025
ZNF154	0.13
C3orf64	0.2255
SYT5	-0.0697
PON1	-0.1015
FLJ10357	0.29825
ATP4A	-1.629
GNPDA1	-0.9405
MGAT1	1.77316666666667
C14orf121	0.03175
SLC35B2	0.2295
MIER3	-0.237166666666667
CHEK1	-3.12325
ZNF8	-0.496
TXNDC1	-0.605666666666667
CKB	-0.392
RTN3	0.615785714285714
FZD2	-0.615166666666667
PART1	-0.2665
PSMB6	-1.1175
PCDHB8	-1.3405
PHC3	-0.6664
PPP1R8	0.415833333333333
NOVA2	1.6315
TNFRSF11B	-3.5805
GOLPH3	1.083
UBLCP1	-0.75375
SUHW3	-0.9335
TTLL1	0.5305
OPN4	0.6225
OR13G1	0.148
ZPBP2	-0.2366
HSD17B11	-1.472375
C9orf50	0.449
DHDDS	0.869357142857143
CTSW	0.5321
NEFM	-2.0125
MRPL28	-0.37375
SYN1	0.693166666666667
PIGV	-0.484666666666667
ZIM2	0.18425
APBB1	0.854166666666667
SND1	-0.4095
C1orf123	-0.604666666666667
CHD3	-0.69525
BHLHB8	0.8365
RNASE2	0.2425
BCAP31	0.8
SLC25A44	0.624666666666667
CHD6	-1.1624
PIB5PA	1.26415384615385
SELS	1.618
LOC541471	0.163
FAT2	-0.4005
ZNF81	-0.093
OR4C16	0.5915
FLJ10081	-0.5869
LRRC4	1.992
CS	0.104833333333333
N4BP2	-1.5245
IGFBP7	1.41375
ZNF318	-0.263833333333333
NDNL2	0.990875
ZNF609	0.035375
SIRT4	-0.8145
EXOSC10	-0.405
ECE2	0.0725
OVGP1	1.01325
GTPBP3	-0.778
PACS2	1.4347
C19orf36	-0.812
ARL4C	1.399625
ATG4B	-0.219125
UBQLNL	-0.694
RHOXF2B	-3.278
PLEKHG2	-0.0115
GALR1	-0.547
AQP4	0.2595
HDAC7A	0.723333333333333
DCUN1D3	-0.013
OR8A1	0.668
CCRN4L	-0.49725
CBR4	-1.17633333333333
KIFC1	-1.6665
SLC7A14	-1.38116666666667
LHX5	0.6355
TRPC7	0.3095
LPXN	-0.219
SERPINA1	-2.589875
RPS13	0.2334
BPIL3	-0.4725
PRKAA1	-1.56525
FADS2	0.6221
ENAH	0.658875
PRO1768	-0.03
APBA2BP	-0.007
LIPH	0.362833333333333
C3orf33	-0.42975
RCC2	-0.891714285714286
ALDH1A2	-2.9818
RNF103	1.6855
AHCY	-0.52525
ALG12	1.243
CCL17	0.229
ZNF543	0.89
ESRRG	-0.0138
CNGA1	-1.475
RDH5	-1.40166666666667
OTX1	-0.2973
PTGFR	-1.39516666666667
CDR2	0.3865
SELE	3.66425
NLGN2	-0.676666666666667
EXOSC9	-1.27525
ZNF566	-0.8305
KLRC2	-4.41
GPR12	0.828
KIAA0196	0.81525
PDRG1	-0.25375
SSR3	0.520285714285714
MSI1	0.419
CST9	0.0905
CC2D1A	-0.20875
PLAGL1	0.283888888888889
ZNF778	0.7175
RNF2	-0.337375
KLF6	1.34516666666667
THBD	1.60033333333333
tcag7.1314	-0.5315
NR5A1	0.0673333333333333
ABCD2	-0.628
DNAJC7	-1.2455
CLEC4C	0.2675
TM2D3	0.639625
CCDC4	-0.7815
PLAC2	-0.49875
DCD	8.4615
FAAH	1.163375
POLA1	-1.29683333333333
TM7SF2	0.392375
FLJ39822	-1.45166666666667
FLOT2	-0.207
MAP4K1	-0.695666666666667
SRP68	0.372625
C21orf74	-0.165
ARPC5	-0.02075
LOC126075	1.0365
HECW2	-0.311875
ZDHHC4	-0.166
ANKRD42	1.3243
PDE9A	-1.256
ABCA8	-0.2345
NDUFS2	-0.1395
UBR5	0.166375
BTBD16	-3.18525
LOC554174	0.455
ZNF20	0.2645
KIAA1843	0.131
WDR17	-0.48025
C15orf33	-0.0845
RNF113A	0.055
CAMKK1	-0.2559
CLCN2	0.67825
ANXA6	-0.4745
LOC340069	0.079
EMID1	1.319625
DPM3	-0.08675
ELA1	0.245
SLC25A13	-0.7137
KRT24	-0.198
SMPD1	0.879333333333333
TH	0.459875
COL6A2	2.51135714285714
ANKS1B	-0.10275
GPR126	-1.326
ZC3H12A	0.0661666666666667
TMEM47	0.543333333333333
C2orf51	-0.174666666666667
C1orf88	2.05166666666667
HSF2BP	-0.4485
AKAP10	0.017
RPAP3	-0.6295
KLHDC8B	1.583375
STOM	1.4485
MUPCDH	0.385125
C10orf72	0.15175
PLEKHA3	0.82
TCP11L1	0.19625
CWF19L1	-0.201125
SPEF1	1.08515384615385
YSK4	-0.436333333333333
ELN	0.9466
SAMD8	1.0565
MPI	-0.313166666666667
MEPCE	-0.0535
ABCC3	0.312
NANOGP1	-4.1525
KCNK17	-0.289
HLA-DMB	4.88966666666667
RRAGA	0.953
ANGEL1	0.3365
RBM32B	0.2995
CPN1	-2.9365
MGC52282	-0.2349
HLA-A	1.48375
OR9G4	0.231
EDNRB	-2.323875
SCD	-0.529214285714286
C14orf80	0.0905
BAGE2	-1.1955
RABL4	0.640166666666667
RCVRN	-1.3295
SHANK1	0.3995
NLRP7	-3.581
CD226	0.39475
STAT3	1.2658125
SYNJ2	-0.5474
TPCN2	0.9955
WDR36	-1.04666666666667
MBD4	-0.081
ROBO1	-0.5715
ST3GAL6	-2.6445
SLAMF8	3.90633333333333
ATN1	0.642666666666667
GPR141	0.644
KRT36	0.2085
TPH1	0.176
DDX52	-1.01075
ZSCAN29	0.122166666666667
TRPT1	-0.0735
DPEP3	0.9025
DENND4A	-1.300125
TSPAN16	0.3335
PTCHD2	-0.1425
LOC145814	-0.52625
CAP1	0.517666666666667
EIF5A2	-0.3149
NT5DC3	-1.375125
SEPT9	-1.249375
SEZ6L2	0.728625
EGFLAM	3.35475
VPS11	0.649125
NDUFB5	-1.235
CIDEA	0.166
IER5L	1.90325
N6AMT1	-0.31675
FAM83C	-0.31925
OXR1	0.159833333333333
IRX1	0.8855
DGKB	-1.01616666666667
GCN5L2	-2.42275
MIR16	-0.242125
FBXW9	0.08125
WDR4	-1.33266666666667
PDC	0.278
VPS33B	-0.1625
HEXB	0.36975
FLJ32214	0.95075
TCEB3	-0.12925
CRLF1	-3.259
ABI3BP	0.55925
C8orf22	-3.42
PYCR1	-0.169875
KIAA1706	1.78375
CDK5R2	0.817
WAS	0.573
C12orf60	-1.6315
CCBL2	-0.305375
MADD	0.2055
C5orf34	-2.01475
WDR42A	0.0818
KLF12	0.197
HSPA1A	1.542
ITM2C	-0.87
DAPK2	2.05783333333333
LOC442590	-0.5855
SUMF2	-0.05825
CENPA	-2.41061538461538
TMED5	0.51225
CDH6	-1.3427
BRP44	0.116875
THG1L	-0.7195
GABRA2	-2.038
C14orf166	-0.571
MYL1	-2.22116666666667
TNFSF18	-0.1235
PAP2D	-1.80116666666667
PPIB	-0.17825
KLHL4	-0.96775
SFN	0.217333333333333
CCDC127	0.64825
FRAP1	-0.4885
GOLGA5	2.316
SDCCAG1	-0.812625
MGC21675	-0.3225
C10orf95	-0.262
KIAA1345	-1.4185
C1orf163	-1.484
LACE1	-0.683333333333333
OR10K2	-0.147
CENPN	-1.9704
TMED2	0.5095
UGT1A6	-1.436
ANG	0.38225
U2AF1	-0.6655
CASC2	-0.021
NMT2	-0.131
OSGEPL1	-0.673125
DFNB31	-0.3845
SLC6A20	0.08
DKC1	-0.95525
FXYD4	-0.69675
WDR64	-0.108
MGC5590	0.819
CREBZF	0.104
DAZ1	-0.24075
PRPSAP1	-1.72775
GCHFR	0.37875
TTC7A	0.16725
LOC196993	0.2465
UBD	-0.948666666666667
S100A1	0.2165
RPL6	-0.133333333333333
DNAJB6	-0.23405
NAGS	0.7947
C2orf58	0.4475
KERA	1.13033333333333
MT1X	-0.442
UBE2B	0.4777
KEAP1	0.04175
MST1	-2.93375
OMA1	-0.37
ABLIM2	0.962
BCL2L13	-0.101
JAZF1	0.128166666666667
TMEM63B	1.148
S100A8	0.7437
ARFIP2	1.06875
UROS	0.4385
KHDRBS2	-1.7305
POLQ	-2.702625
SOAT1	-0.75925
SPAG4	-0.29575
MRPS30	-1.50716666666667
LOC494141	-0.65925
OR2T11	0.343
ORAOV1	-0.2824
ZNF184	-0.698166666666667
TCEB3B	0.918
ADAM21	-0.4705
GDPD1	-0.7925
SPINLW1	-0.414
PRR14	0.31
KCTD9	-0.6645
NUDT3	-0.02175
KIAA1822	1.5135
HIST1H4K	2.2425
DFNA5	-0.399
GABPA	-0.281
C14orf44	-0.30775
POLB	1.875625
PTAR1	-0.9885
SEC31A	1.4053
TRIM58	-2.238
TAS2R14	-1.139
VPS8	-0.278875
H1F0	0.68
PRKCB1	-3.84533333333333
UGT2A1	0.6935
TOR1B	-0.4675
LSS	-1.12341666666667
C2orf19	-0.166
HNRNPC	-0.0170714285714286
TMEM100	-2.7295
LOC116349	-0.175
OR51M1	0.4945
CCDC142	-0.77475
ISG15	1.3833125
ZCCHC14	0.39775
CREBL2	0.06475
TGDS	-1.52375
DC2	0.302
CACNA2D3	-2.28078571428571
ZNF429	-1.721125
LYPD6	-1.26233333333333
SUCLG1	-0.566833333333333
OR51I1	-1.6785
MAGEH1	2.0035
PRPF40A	-0.6975
SMR3A	0.6515
SPINK2	-1.35625
THAP2	0.2975
NPY5R	-1.467
IRF4	-2.8685
SPESP1	-1.80616666666667
OR10S1	0.332
DTD1	-0.48875
TUBE1	-1.5515
DDX19A	-0.1655
PDPN	1.211
TMEM34	0.2635
MGAM	-0.22825
COL3A1	6.77227777777778
GFM2	-0.4947
OR5A2	-0.4875
PSG9	-0.47175
ARHGEF11	0.2225
IVNS1ABP	-0.0213125
SIGIRR	1.59275
DUSP19	-1.28325
DNAJC14	0.0608
ACSS1	-0.837625
IL1RAPL2	0.07
C4orf30	-1.21325
SEPT4	1.99625
LANCL3	-2.15975
SPAG17	-0.6835
PRDX3	-0.970125
HNF1A	-1.14975
P4HA2	0.601625
RFWD3	-1.38316666666667
MOV10	-0.94575
DNAJA5	-0.0261428571428572
LOC729440	0.5385
LOC200383	0.259
SMC2	-3.18025
MIXL1	-0.838333333333333
TMEM9	1.36025
FAM86A	0.887
ZNF174	0.3561
MYH14	-0.7375
CCR8	0.09525
VPS37C	0.653833333333333
GPATCH1	-0.363833333333333
B3GNT8	3.2125
TBX4	0.3745
CNR2	0.538
PCDH1	1.78875
C5orf29	2.330625
OCIAD2	0.3315
PLCG2	0.2475
KIAA0247	2.557375
HRH3	0.4735
CAPN13	4.209875
CCR1	1.2158
MGC15523	-0.0303888888888888
UVRAG	0.261333333333333
DNAJA2	0.291833333333333
ITGA2B	-0.737333333333333
CLDN5	3.868375
PTPRN2	-1.66478571428571
ZNF512	-1.11333333333333
PSAP	1.76128571428571
CCDC140	-0.564
LRRC55	0.21375
CYP26C1	0.303
C8orf47	-0.4885
LYN	0.4675
DUSP6	-0.496166666666667
TGFB3	2.45086666666667
ELK1	0.3075
PCDH11Y	-0.360833333333333
HGD	-3.38775
C17orf58	-1.2575
MYO3A	0.338
SERPINE2	-3.80333333333333
AARSD1	-1.008125
C14orf73	-1.65375
ADAM33	0.262
ZNF491	-0.093
MAPK6	-1.53566666666667
TCN1	-1.3385
SLC24A6	0.775
UBE2R2	0.21375
H1FNT	0.1785
TATDN2	0.1995
LILRB1	2.05875
P2RY5	0.589
NUCB2	0.84975
C2orf37	-0.34525
SNX27	0.407
MTA3	-0.927
FOXO4	0.31125
ID4	-0.1705
SOX5	-2.80133333333333
PXMP3	1.014125
OR52M1	0.7195
SFT2D3	-0.25875
INA	-3.459
MCOLN1	0.75125
NFIX	1.2174
CLEC14A	5.48316666666667
HIBCH	-0.336833333333333
PLA2G5	1.92375
TIMM10	-0.929333333333333
MED17	0.1805
COL4A4	-3.047
TPP1	0.807
GJA3	-0.9705
TMPRSS5	-1.50325
AADACL3	0.8765
DNMBP	-1.64675
ENPP5	3.71783333333333
