Hybridization REF	TCGA-E2-A15D-01A-11R-A115-07
ANKRD23	-1.533375
ATP5G1	-1.06633333333333
C21orf70	-0.948
PPWD1	-1.23175
DNAJC13	0.08325
PAH	-1.84183333333333
PTCH2	0.27025
TRMU	-0.642
CCDC9	0.694
USP3	-0.0753
DCLRE1C	-0.1147
FAM55C	-1.15825
FRMD4B	1.3565
CYP2R1	0.06475
RFPL1	-0.0722
XPO5	-1.069
ARL6IP2	-0.5795
OSBPL5	2.1435
MMP9	3.50945454545455
KIAA0802	0.50375
DHRS2	-3.9
SGEF	1.66425
TXNDC10	-0.4826
EXOC6	0.76525
RPS27	1.02516666666667
PNCK	0.9655
FSTL1	0.31325
AACS	0.5055
SLMAP	0.6875
SAMD4A	-0.7294
ABRA	-0.222
SMARCD3	1.4785
PKNOX2	-2.54633333333333
A4GNT	-0.844
C9orf39	-1.33133333333333
RALYL	-0.1545
MGC33556	-1.9495
C10orf25	-0.8215
BBOX1	6.4495
NHEDC1	0.3435
XDH	-0.14175
GCSH	-2.4795
EDN1	-0.0403333333333333
MTERF	-0.228
CLK4	1.221125
ZNF799	0.976166666666667
KCNG1	-1.947125
CXCR4	-0.378666666666667
PTPRR	-4.03275
IRAK1	-0.63625
LOC401397	-0.4895
TMSB10	-0.0714285714285714
CXCL3	-3.2088
TMC4	2.531
OR7A10	1.189
STYK1	0.54475
CHRNA10	0.395
CCNI	1.087
EP300	0.618428571428571
LOC165186	0.833666666666667
HIC2	-3.04875
SDR-O	0.1525
OR2W1	0.4775
KCNA6	-0.054
TRIM74	-1.3735
REEP6	1.556
ATP5G2	-0.12775
ERG	1.236125
TMEM42	0.25375
PARN	0.774166666666667
SOD2	-0.7605625
DIRAS1	0.555833333333333
PNPT1	-1.4785
JOSD3	-1.40225
hCG_40738	-0.281
PDE1C	-2.7515
SEMA4D	-0.096625
AGPAT1	0.367666666666667
NOSTRIN	2.039
MAP3K3	-0.241333333333333
MAX	-0.00335714285714286
CAPS	3.44733333333333
SERPINA12	-0.791
OSBPL8	0.17475
RICS	2.167
NR4A2	-0.575833333333333
PPCS	0.907833333333333
LONP1	-0.59725
SCYL3	2.4445
HERC2P2	-0.792333333333333
FIBCD1	-0.977
C15orf41	-0.81075
DMC1	-1.87816666666667
C20orf27	-1.354
RPS6KA5	0.2614
FAHD1	0.308
SLC12A4	0.0025
BRCA1	-2.10158333333333
GBL	0.317
SLK	0.2645
NUDT9P1	-0.467
NOXO1	2.788
USP52	-0.8365
BAZ1B	-0.075
SLCO2B1	2.50325
BBS12	0.650333333333333
LRGUK	1.78466666666667
TERF2IP	-0.082
COL1A1	5.424
KIAA0090	-0.28975
GRK5	-0.0626666666666667
AP1S2	-1.7494
TMEM52	-0.399833333333333
CA11	0.0315
OR4A15	0.337833333333333
ACBD3	1.269
SPAG11B	0.325285714285714
PRDM2	1.0983
FOXP3	0.4395
SMYD3	2.0377
LOC389199	0.8505
LGI2	1.689
NAPE-PLD	0.2279
ANKRD6	1.6995
WDR45	0.318333333333333
SHROOM1	-0.834
PSCD3	0.7185
PYY	1.3825
KCNC1	2.3055
ARHGEF9	0.2728
OR8J1	0.22975
GPR55	-0.182666666666667
NS3BP	-1.247
C10orf22	-0.0148333333333333
NAT8L	0.1155
DUSP4	0.318833333333333
FOXM1	-3.1195
GRAMD2	2.1781
ZBTB48	0.358166666666667
BUD31	-0.375
PABPC5	0.0215
CCDC41	-0.809
FBXO11	-0.06825
C6orf148	-0.45625
RFXAP	-1.48425
C6orf15	-0.105666666666667
CDK8	-0.8665
C6orf70	0.248
TESSP2	0.077
ALG2	0.13225
PPP1R3D	0.93525
TPM3	0.568333333333333
SYT13	4.62825
EPB42	0.689166666666667
CETN3	-1.06975
PRY	0.783
NTHL1	0.2665
POLR2B	-0.0465
RPS28	0.08875
P2RX3	0.162
LYZL4	0.391
WBP4	-0.2063
PMM1	-0.09175
C11orf79	0.09525
CBLL1	-0.491
IL1F10	0.988333333333333
VAX2	-1.6565
SETDB1	0.8835
LRAP	0.4055
GCLM	-0.772333333333333
CPEB3	2.053
PPM1A	0.5525
INTS1	-0.38775
CAMTA1	1.82108333333333
SAMSN1	-2.8935
LOC158830	-1.7835
GMPPA	0.289875
AIPL1	-0.341
IL24	1.33416666666667
BDKRB1	-2.11916666666667
MLF1	1.9496
TAF12	-0.102
ID1	-1.5485
THADA	-0.17625
PIK3CB	-0.33775
OR4N5	1.0135
TBC1D17	-0.2065
COX8A	-0.9215
CDCA4	-1.32925
C2orf44	-0.5915
ZNF534	0.59775
IMMP1L	-0.77975
NIPSNAP3B	0.149125
FTMT	0.111
PWP2	-0.437333333333333
MMP15	-0.2386
DNAH11	-0.41275
MTMR14	-0.135375
DNAL4	1.77975
IPP	0.02775
TMEM59	0.47875
C1orf157	4.275
RGS4	-1.90216666666667
DDX18	-0.291
SNX6	0.12725
ZNHIT2	0.941666666666667
NCDN	0.213833333333333
FLJ33534	-0.68025
RAG1	-1.767375
OR4D10	0.236
PTPN5	0.6795
POMT1	0.282625
LRRC8A	0.244
CYP1A1	-1.84225
CAPN1	0.114
DDHD2	0.15225
GRIK2	0.07
GNRHR	-0.1615
PPBP	0.4655
HTR3A	-0.88775
SLITRK4	1.07125
ANKRD49	-0.30525
BTF3	-0.8296
SARS	-0.068
C13orf18	-0.544
CACNB1	0.0206923076923077
QKI	-0.297333333333333
SETMAR	0.675375
MAN2B1	0.500833333333333
EML3	0.316
ACADL	2.01
OFD1	-0.114875
DEFB114	0.428
CGA	-1.9918
PEX16	0.3025
LRRC10	-0.7205
GNG12	-0.3945
C1orf152	0.180166666666667
CHRM1	-0.273
CD53	-0.092375
DBH	-0.588
TFAP2B	4.392625
HIST1H2BJ	-0.644333333333333
FAM46D	0.872
TMEM11	0.09525
C3orf32	-2.71575
PCCB	-0.003375
IPO13	0.122875
C6orf105	-4.31225
COMMD5	0.59475
SUV420H1	-0.1576
LTBR	0.91575
ARHGAP15	-1.56075
HDHD2	0.86475
TDRKH	-0.00466666666666667
LOC401052	1.3315
PSG4	-1.879
GNB4	0.3989
SPATA4	4.03825
SLC9A3	-0.4645
OSBP	0.5015
NBPF3	0.65875
DOCK11	-0.4785
SLC39A5	-1.65233333333333
PRR5	0.9873
C10orf63	3.77675
SMTNL2	-2.67275
ADRA1A	0.02825
ASAH1	2.2057
DOM3Z	0.2715
GIPR	0.411166666666667
AHI1	0.582083333333333
NADSYN1	0.375666666666667
RGS14	-0.0638
IL18BP	0.8095
RTN4RL1	1.22133333333333
ARMC6	-0.65775
PSMD5	0.139666666666667
HK3	0.5534
OR4S1	1.61775
RSU1	0.6726
MAD2L1	-3.60266666666667
EIF4A3	-0.653
DLEC1	1.82633333333333
E4F1	0.378666666666667
CHMP2B	0.211
CAMSAP1	-0.0705
RPS21	-1.08083333333333
ARID5A	0.89025
UBE2N	-0.379
IGSF8	1.40116666666667
MAGEB6	-1.89
ACAD11	-0.6865
MGC4172	-0.566
LMO4	-1.0165
KLKB1	-0.07575
HP	-1.1025
HDAC3	-0.28375
SCHIP1	-0.26325
CLCA1	-0.184
OLFML2A	0.765125
C1orf112	-1.4475
KIF19	1.36075
HAPLN4	-0.3804
CXCR7	-0.279166666666667
GOT2	-1.1968
RAB38	-1.61075
DCX	1.0755
PPM1H	-0.295666666666667
NFYC	0.267
KIN	-0.504375
ZNF228	0.8045
PLSCR4	2.42716666666667
HIG2	-0.0245
FAM79B	6.4665
C21orf86	-0.2209
KCNK10	1.44775
ZNF738	-1.440625
FSTL5	-2.51316666666667
OR6A2	0.3415
OTOA	1.30533333333333
EXOC1	0.197875
AHRR	-2.373375
PDAP1	-1.33958333333333
C19orf6	0.078
ZAN	0.291
LY6G6E	-0.3625
EIF4E2	-0.7725
C20orf198	-0.27225
ZNF324	0.48175
CYP3A5	-3.6555
ENTPD7	0.3365
MBOAT5	0.910666666666667
GJB5	-2.16725
TTC13	0.2405
S100Z	-1.62316666666667
KIAA0664	0.0685
PDGFRB	1.98016666666667
IL17D	-0.57625
OR56B4	0.258
RDX	-1.21533333333333
SLC34A3	0.128
IL28B	-1.5075
JUND	1.22275
CHRNB1	-0.054375
CAMK2B	-0.41
FETUB	-1.7385
CXorf23	0.905625
MRTO4	-1.24675
TTC3	0.7793
NDUFB8	-0.57
EDG2	-1.14275
SEMA3G	1.63475
IL23A	-1.1595
GRHL1	1.2972
LOC441054	-0.364
WDR65	1.515125
PSTK	-0.42
STOML3	0.146333333333333
R3HDM2	0.464
C5	-1.53125
SLC2A10	1.075
C3orf22	0.0855
PAQR3	-1.60738461538462
ANKRD26	-0.810083333333333
HCRTR1	-0.0945
LOC399947	-0.828
PSD2	-0.68075
TIGD2	-1.1795
SCRN1	-1.21475
COQ10A	-0.219
DDI2	0.535
METTL7B	-0.985
UCN2	0.3035
FAM92A3	-0.9965
WDR16	4.217
ZNF511	-0.180833333333333
ZMYM5	-1.029875
POLR3G	-3.6585
ZNF586	-0.41525
C1orf49	0.259666666666667
TANK	0.712333333333333
RCAN1	-0.404833333333333
PELI3	1.20533333333333
LIMD2	-0.492
TMEM189	-0.924
NTN4	1.76625
LOC151300	0.2395
CLEC2A	-2.375
GPR135	0.61975
DPYSL4	-3.0128
JAK2	-0.349
TSHZ1	1.6885
TM9SF4	-0.360375
ZNF264	0.8595
SIRPG	0.99025
BICD1	-0.66425
HERC6	-0.304166666666667
METTL5	-1.431
CASP1	0.174
PRRT1	0.185
PLA2G4C	3.002
ICA1L	0.596857142857143
TPTE2	-0.198
OTUD7A	0.962666666666667
AQP11	-1.04325
APOA2	-3.8862
KALRN	-0.8854
SECTM1	-0.230666666666667
IFNAR1	0.04925
TALDO1	-0.31775
RAB11FIP4	0.956916666666667
EIF5A	-0.993
FAM49A	1.278
NEGR1	0.743333333333333
YTHDC2	0.024375
EHD2	0.288125
NCF1	1.5957
SCRT2	1.265
HOXA5	-0.213166666666667
NUP133	1.08975
FGF12	-1.3615625
SLMO2	-1.21225
SNTA1	-0.448375
CACNG2	-0.182875
GCM1	0.46225
ELF1	0.508166666666667
TLR5	3.5075
TCFL5	-1.39375
RBMY2FP	-1.473
LOC100125556	0.869125
FAM129B	0.464
MAP3K7IP1	0.231125
NCK2	0.6285
OXA1L	-0.9815
FMO9P	0.347
ZSCAN12	0.33325
PSMD12	-1.21541666666667
HSCB	-0.28075
CLDN10	-3.0305
MGC13053	-1.59275
HPCAL4	-0.9185
ASZ1	-1.504
MEX3D	0.311916666666667
NFAT5	-1.4009
CSPG4LYP1	-0.0655
FBXO3	0.3116
DVL1	0.0546666666666667
CMKLR1	2.94416666666667
TYMS	-3.8185
PEF1	1.033
ZNF750	1.33433333333333
MCM5	-1.3506
MEGF11	-1.9525
KCNK7	-0.276
PTP4A3	0.622
C1QTNF2	-0.566666666666667
OR6S1	0.1845
FAM122B	-1.02825
ZNF551	-1.3395
HBQ1	-2.2705
GEMIN6	-0.72575
ARSK	-0.51325
RBP7	2.71666666666667
CPNE9	0.38925
DSC1	0.9315
LOC730112	-0.0295
MAP2K4	1.001625
HS3ST5	-3.4405
EPB41L3	-1.016
TEKT2	3.87525
CDKN2B	0.950333333333333
ZNF480	-0.701
MAP3K6	1.2488
MAP6	2.30116666666667
HN1	-0.7579
OR2L13	0.19375
SLC16A11	1.47975
FAM96A	-0.38625
APOL1	0.68475
C5orf32	0.46525
RTP1	-0.628666666666667
RNF175	-0.38675
ZBTB41	2.587125
AHCTF1	0.0204
SAE2	-0.4408
ITGA2	0.207833333333333
MME	0.113333333333333
CCDC14	-0.97825
MAST4	0.406928571428571
KRT33B	-0.7265
KCTD2	0.786666666666667
WDR26	0.64775
MFI2	0.75625
NR4A3	-0.915625
ARSA	1.82975
UNKL	0.487166666666667
SULT6B1	-0.104
CCNA2	-3.734
SOX15	0.251
PPAPDC1B	0.951166666666667
C19orf44	1.162
MCAT	0.868416666666667
ARID1B	0.3775
OR52N1	1.6675
C12orf48	-3.1765
MAGI1	0.469
NIPA2	-0.59925
GBX2	-2.0015
RSHL3	3.33525
RAVER1	0.1725
C15orf17	0.4955
SLC30A2	0.3695
ZNF518	-0.0675
PCYT1B	-1.59275
C10orf114	-0.43175
EIF3H	0.0499166666666667
SLC25A39	-0.5045
KIF1B	-0.589375
AMOTL2	0.419
C6orf120	0.387857142857143
PSRC1	-1.94925
PLA2G10	3.4465
KIF5C	0.794375
MRPL37	-0.4055
C17orf62	0.391333333333333
C9orf135	-1.581
DUSP10	1.6324
CLCNKB	0.125
PSMA5	-1.026
C8orf53	0.03625
AMPD3	1.008
PIAS1	0.02025
ADCYAP1R1	0.563
GYLTL1B	1.06975
CDH20	0.901166666666667
FBXO7	-0.02175
TMEM134	0.627833333333333
FLJ14213	1.30583333333333
ZNF3	0.0795
LRRFIP1	0.459333333333333
CNOT2	0.185666666666667
ABI3	2.33775
ALDH5A1	-1.06958333333333
HNT	2.5516
SERPINA4	-2.9775
TK2	0.617333333333333
STMN1	-2.91211111111111
GUCA2A	0.148666666666667
GALNT10	1.30592857142857
DPP6	-1.08885
C9orf93	0.3155
PRELID2	-1.0005
STK39	1.133375
SFTPA1	-2.15033333333333
CKS2	-2.43922222222222
RHO	-0.00637499999999999
C20orf135	-0.3185
XKR3	-2.8765
CR1	0.279857142857143
RPS6KA2	1.13564285714286
C20orf112	0.114
MRPL22	-0.66475
C4orf23	0.563
GADD45B	1.205
KLHDC1	2.05533333333333
C2orf48	-3.0055
ZNF287	1.851
DAAM2	-1.0885
DPPA2	-4.36966666666667
TCTN3	0.278833333333333
DNAJB11	-0.533625
FPR1	3.11275
DEFB4	0.4585
PTCD2	-0.5351
SMOC2	5.20566666666667
CABP7	2.25675
SERPINB11	0.3335
MAGEF1	-0.29625
NDE1	0.996833333333333
ITGA10	0.8555
FSHB	-0.0145
ANXA2	0.62225
HORMAD2	0.47025
HLCS	0.3865
MCF2L	1.49225
FH	-0.227375
TBC1D24	1.09875
KIAA1505	2.766
LGALS2	-1.172
CNBD1	-0.8825
SYNPO2L	-0.81825
PTPN23	0.372785714285714
C1orf183	-0.592166666666667
MAGEA8	-3.3335
DGCR8	-0.509125
GSR	-0.79425
PAQR7	0.3135
ZNF676	-0.99875
CACNA1C	0.5583
SP7	-0.122
PDCD6	-0.0265
NRN1L	-0.6645
BRI3BP	-1.05825
KIAA1183	1.10925
ASB4	0.20975
CCL23	1.2708
OBSL1	-0.39675
SLC12A7	1.35416666666667
KIAA0240	1.515375
CD1B	-3.18916666666667
FCGR2A	0.43875
MDC1	-0.97575
HTR1A	-0.00783333333333333
OCEL1	0.31425
ATP11B	-0.8883125
FBXO34	-0.0575
PCDH12	3.6635
RPE	-1.23
C17orf74	-0.6245
CSDC2	0.4205
PET112L	0.15725
TMBIM1	0.310625
P2RXL1	-0.20325
TCHP	-0.39375
TRMT1	-0.732
F2RL2	0.0155833333333333
LRRC32	2.47266666666667
IMPG2	0.00949999999999998
BGLAP	0.8695
LOC493869	-1.32266666666667
MRAS	1.75775
SLC35F5	0.46575
CBWD1	0.754
AXL	-1.656375
ATP2C2	-0.09825
TELO2	0.23075
PNPLA3	-3.66175
PCDHB14	0.12725
CD276	0.34225
KRT80	-1.426875
DUSP28	0.4575
CSNK1E	0.021
SRP14	0.9105
KCNQ4	-0.4485
KRT72	0.262333333333333
CCDC117	0.126875
C6orf89	0.294333333333333
TUBB2B	-2.8858
RTN4IP1	-0.89375
CR1L	-3.94833333333333
CEND1	0.158625
C12orf41	-0.230166666666667
RNF31	0.10875
UBN1	1.09783333333333
C17orf32	0.3845
SLC5A7	0.156
GPR92	0.598333333333333
ESAM	2.3633
CTNNA1	0.453916666666667
HRBL	-0.0167000000000001
CBX4	0.46225
TMEM182	-0.84025
SH3TC2	-0.752166666666667
IL10	0.773333333333333
PXMP4	0.257
RNF167	0.5569
PAK7	-1.36083333333333
ETV3	-0.585
ATPIF1	-0.482833333333333
LOC554207	-2.0515
OR8H1	-0.18875
WDFY3	1.122625
DPM1	-1.78775
GPSM1	-0.45
WDR92	-0.0861
LRP1	1.17633333333333
ANKH	-0.227625
THUMPD3	-1.27725
POLR1B	-0.73375
OLFM4	1.21933333333333
RAD9B	0.01825
TSPY2	-5.0695
PAX6	-1.9848
SCG2	-1.908
SLC17A6	0.322333333333333
FMO3	3.52125
PADI4	0.102
TUBB4	-0.6583
NLK	-0.89975
POU4F3	-0.877
SDF4	0.20575
ITGBL1	3.2975
NETO1	-2.30125
TAP2	-0.133
ABBA-1	-0.495166666666667
GNAI1	-0.2525
VPS4B	1.061
NOPE	-0.3189
GALNT6	0.833833333333333
SESN1	1.359875
GBE1	-1.91366666666667
CLASP1	0.056
RASGEF1B	0.859625
ACOT11	-0.136714285714286
AFAP1	0.8865
OR2H2	0.17
DPY19L2P1	1.0275
DZIP1	-1.88825
SEC22C	-0.412916666666667
GPR161	-0.165583333333333
RNF146	0.801
WDR74	-0.72325
GALP	0.803
PURA	1.05725
DNPEP	0.814666666666667
RP11-78J21.1	-1.06925
ERBB2	2.639625
FANCM	-1.29975
NEO1	1.25416666666667
DDX3Y	-5.1018
RPS3A	0.028125
MXRA7	-0.137428571428571
LGALS3	-0.973
GLT8D1	0.41275
CFL2	-2.17966666666667
UPB1	0.3385
NAP1L5	-0.7655
CLDN14	-1.55325
DHX38	-0.9555
BTBD1	0.108
TARS2	0.689333333333333
ABCF1	-0.1559
FCF1	0.129833333333333
LRRC49	0.768
GUCY1B2	1.615
C1orf177	0.150333333333333
SMARCA4	-0.0598571428571429
LRP8	-3.63483333333333
TAGLN3	-0.85325
MRPL14	-0.86825
TTRAP	0.101
ZDHHC20	-0.038
NFE2L3	-0.96975
KIAA1377	1.9475
PALMD	2.1124
TMEM43	0.03125
TTL	-1.76625
STAT5B	-0.469
SSB	-1.072625
OR10H5	0.3595
SLC22A13	-0.46575
AKAP3	0.17425
TIMM23	-0.375666666666667
OAS2	1.44808333333333
KIAA0423	1.31
TRIM11	1.31783333333333
GLIS3	1.45575
TMEM50B	0.504333333333333
ARHGEF4	-0.783875
DEGS1	0.555363636363636
TBL1XR1	-0.00823333333333333
G6PD	-1.66525
SP140	0.0722
MUC17	0.0166923076923077
NUDC	0.0077
DNAJC5B	1.66033333333333
SCARA3	0.575
CPA3	5.55516666666667
BCAT2	0.191375
MFN1	-0.6128
NRG3	2.5815
SNX11	0.397
PLEKHH1	-1.3385
GPR177	0.564
HCFC2	-0.17125
TCAP	-0.1055
MOCOS	-0.598
C14orf93	0.02225
PRDM10	-0.56
SLC16A4	1.9345
SRGAP1	0.596
VIP	1.232
DUSP27	0.332333333333333
LILRA1	0.5422
MC2R	0.5655
MGC24103	-0.477
MBTD1	-1.686
FUT11	-0.882
USP33	0.1042
C15orf39	-0.27225
MAP3K12	0.461125
PAAF1	-0.718166666666667
BARHL1	-0.026
FLJ16165	-0.296
PIWIL2	-2.95575
SYNE1	0.303166666666667
CMTM4	-0.029125
TSPYL1	0.8282
GUF1	-0.629166666666667
TMEM157	1.188
WDR44	-0.048
HIST1H3C	-0.48
DKFZp666G057	4.2155
RNPEP	1.09575
GAS2L2	2.3855
ADH4	-4.32125
GRPR	3.495
FBXL17	1.41575
ZBTB10	0.137666666666667
Gcom1	0.844444444444445
HTRA1	1.3191
ZNF585A	0.129666666666667
SLC26A2	-0.6865
OTOP3	0.221166666666667
WISP1	2.34888888888889
ATP2B4	0.803333333333333
FLJ10769	0.9235
CRAMP1L	1.133375
CHST12	-0.267
RAB22A	-0.208333333333333
TARDBP	-0.376571428571429
STAU1	-0.28825
CRB3	1.97833333333333
MIG7	-0.54275
CHMP1A	-0.0521666666666667
ZNF160	0.198375
B3GALT6	0.380375
BARX1	-2.78766666666667
C6orf167	-2.6454375
NXNL1	-0.0515
DHX29	0.430875
HADHB	0.13925
PLXNB2	1.0875
ILDR1	-0.35325
SLC15A3	2.17675
GAS2	-3.4945
C20orf69	-0.113
NUMB	-0.056
TNIP1	0.630875
MESP1	0.137333333333333
PSKH1	0.099
NSFL1C	-0.112375
RHOG	0.16075
HEY1	-1.75133333333333
KNG1	-3.114625
ITGAX	1.927
LIN9	-0.956833333333333
CANT1	0.9165
XRN1	0.00792857142857143
CCDC96	1.995
HEATR6	-1.12016666666667
GNG7	0.29175
RUNX2	1.1218125
SOX1	1.14316666666667
FCRL5	0.3815
ZNF99	-0.47025
FAM9A	-0.506
SNX22	0.725
MBNL3	-1.6305
ODC1	-2.1429
ADORA2B	-3.56066666666667
NR2F6	0.32125
ZFYVE16	-0.153388888888889
SYNJ2BP	-0.0661
POLE	-0.708125
E2F2	-2.18825
THRA	0.533333333333333
PTGES2	-0.789666666666667
HIP1R	0.137333333333333
TMUB1	0.172
ENO3	-1.32675
RSPH10B	0.116
CXorf39	0.174
IRGC	-0.06525
GPR109B	1.8365
FLJ13305	-0.544
LCE3A	-0.3395
TNFRSF18	0.921
DET1	0.73325
TRPM3	-0.489833333333333
C16orf79	-0.557
FECH	0.397166666666667
RAP2A	-0.481666666666667
CRIP1	3.3195
AZIN1	-0.034625
SLC7A7	2.78875
IL10RA	0.6191
TMEM64	-3.1265
CDC42EP4	0.9265
C16orf58	0.3366
ARG2	-2.4945
POU5F1P4	-4.40825
FAM62B	0.29675
DNAH8	-1.6244
ASH2L	0.062375
TSLP	-3.9585
CNTNAP5	-0.9692
TMEM16C	1.102
IFNA14	-0.5555
SLC1A3	1.00175
CABYR	1.86825
BCL7B	0.064
NUDT13	-0.728166666666667
C13orf28	0.65775
C1orf53	-0.48225
ARL6IP4	0.4659
RPL35A	-0.59875
EMR3	0.29125
RAB40C	1.06558333333333
SLC41A1	-0.269666666666667
LRCH1	0.69025
LY6G5B	-1.3825
FAM124A	-0.346357142857143
MGC10981	-4.23016666666667
CLIP3	-0.00689999999999998
MAP4K2	-0.214333333333333
CHIC1	0.6025
SULF1	5.17916666666667
C20orf30	-0.416857142857143
PRDM5	-0.337
ELOVL1	-0.23625
C11orf48	-0.622375
SLC39A10	0.01925
KCNV1	-0.26525
ACP1	-0.775833333333333
ZMYM2	0.135625
B3GNT6	-0.174833333333333
C9orf69	-0.05825
C2orf15	1.4395
C20orf166	0.646
HSP90AA6P	-1.1375
EDG7	1.2795
NEURL	0.16575
LPL	4.03433333333333
CLEC2D	0.0162857142857143
GRRP1	2.06733333333333
CD8B	-2.8785
HIST1H3D	-0.28
SLC6A12	0.961875
FAM27L	-0.2535
CD84	1.2687
RASA1	0.278
PHKG1	0.7585
MAGEA11	-2.3955
IMPA1	-1.0811
NPM3	-0.92325
RARRES1	3.873
SH3BP1	0.00549999999999999
B3GNTL1	-0.1915
ARPC5L	-0.396166666666667
KLHL26	0.54375
SIM2	0.130875
GJC1	0.066
C20orf194	0.4555
EXO1	-3.33175
SLC2A2	-2.33083333333333
LOC285074	-0.79725
LRG1	2.55975
KIRREL	-0.602
PIK3R1	1.31307142857143
C4orf34	0.66525
MAF	-1.73911111111111
ADCY4	4.30933333333333
ZMIZ2	1.1546
SLC46A3	1.00483333333333
STAMBP	-0.178333333333333
CCDC16	0.7545
MS4A12	-0.232
TCF20	0.31575
LRRC46	2.62775
C20orf152	0.4705
MRPS6	-0.354625
ABCB11	0.182
KCNC2	4.9585
CDH19	-2.58266666666667
C9orf123	-0.484
SSH3	1.313
LDLRAD1	0.18475
CCBE1	0.98
ZNF135	-0.393125
TAAR1	-0.243
WFDC12	0.1395
CCDC42	0.460333333333333
FLJ12529	-0.53925
PER1	-0.516666666666667
TIMM50	-0.659833333333333
SMARCAD1	-0.2725
FAM26C	0.071
TP53TG3	-2.27383333333333
SH3RF1	2.3931
LMCD1	2.43775
GPR63	-0.3385
FLJ21986	-2.199125
AIFM3	0.00650000000000001
MICAL1	-0.0285
BLZF1	0.807166666666667
IQCA	1.07833333333333
PCDHGC3	-0.572
SAC	-0.375
BCL6B	2.66183333333333
DDO	0.97575
MARCO	1.8505
DCHS1	1.78866666666667
C1orf170	0.749166666666667
CD200R1	0.8972
C22orf15	1.3225
SEPT11	-0.188166666666667
ADNP	0.396
UST	-0.6394
C13orf34	-1.548
RFFL	0.657714285714286
APBA3	0.2825
C2orf60	-0.54475
CUTL1	-0.2334
PMS1	-0.306125
ZNF689	0.23
EIF3E	-0.566166666666667
IL9	-0.0256
RPL31	-0.562
LY9	0.692666666666667
ATP2B3	0.36075
KDELR2	-0.211666666666667
TFCP2	0.363125
NLRP12	0.44325
FLJ45422	-0.18475
TLE4	-1.2118
ZNF570	0.1545
FLJ43806	-0.3335
TLK2	-0.575375
CIR	0.48925
MARS2	-0.975
COL24A1	1.22625
SDF2L1	-0.7225
HIBADH	0.1895
IGFBP3	-2.30778571428571
C12orf23	0.21225
PSPC1	-0.622
C20orf43	0.02575
TRAV20	-0.057
ARHGAP24	0.8135
KIAA1975	-1.118875
C1QA	3.0434
DNTT	-5.06833333333333
C10orf6	-0.257666666666667
C11orf41	-0.867625
HNRPF	-0.040875
COL11A1	6.06866666666667
UBAP2	-0.4235
CDKN2AIPNL	-1.542
C20orf174	3.42225
SPRED2	-0.3875
PLA2G12A	0.00133333333333334
ICEBERG	-2.6824
SCN10A	-0.0645
C11orf65	-0.468
GBP5	4.2365
PITPNC1	-1.54233333333333
POU3F3	1.3045
NCOA7	-0.391625
LIN7C	-0.1599
LOC348840	-0.914
NKX2-2	-3.2795
ANKRD13D	0.32625
LOC123688	-0.72075
FUT2	2.116
TAAR8	0.557
FZD4	0.584583333333333
PNMA3	1.07216666666667
OR4L1	-0.92
WIT1	-0.78775
EXOC3L	1.46775
ATPBD4	-0.7442
KRBA1	0.43975
UBXD6	0.6135
HOXB7	0.792642857142857
C7orf23	-0.6545
UNQ338	1.25025
STAB2	0.66375
CDC20B	2.46125
IRF9	1.73775
CENTG1	0.73525
TNPO2	-1.087
MCPH1	0.739125
BMS1P5	-1.39975
SLC26A7	1.097
HIST1H3J	0.4645
C9orf3	-0.1469
LBH	0.94125
MYO1D	0.908375
PTDSS2	-0.0145
NFU1	-0.01725
DEPDC4	-1.79325
WNT7B	0.9883
GLP2R	-0.0152
SETD4	-0.2384
DYNLT3	-0.8015
FKBP11	-0.922166666666667
SESTD1	0.083
FLII	0.23525
RPS16	-0.402
CHPF	0.0715
CSNK2A1	-0.563333333333333
SUMO1P1	-0.51425
FKBP6	-0.9245
ZNF214	2.50333333333333
TWIST1	0.0595
DDX56	-0.0436666666666667
TRAM1L1	1.8111
EPO	-2.69633333333333
MRPS18B	-0.02025
ZNF682	-0.508333333333333
RPL14	-0.433666666666667
MAFF	-0.96125
LOC51136	-0.867
LY96	-0.337
DDX20	-0.25925
ABTB1	1.4615
ARL5A	-0.4904
CCT6A	-0.9355
HEPACAM	-0.0791666666666667
EHHADH	-1.0495
RBAK	-0.2425
CGB1	4.036
ITGB5	1.4666
YIPF3	0.61775
FKBP2	0.1295
NR1D1	-1.242
TMEM110	-0.48
NEK2	-0.894333333333333
PRAMEF8	-3.69825
C20orf52	-0.923666666666667
PCDHGA3	-0.9155
VWA3B	0.73775
NDUFA5	0.082125
THAP9	-0.38175
FLVCR2	0.120333333333333
AP1S1	-1.197125
SMAD6	-0.28475
SAV1	0.36025
SAT1	0.946375
ZNF251	0.77375
ADAMTS7	0.417555555555556
RPP38	0.086
C1orf211	-1.336
YPEL2	0.90525
RBMS1	-0.828
ZNF445	-0.501166666666667
NRXN2	1.13933333333333
PGBD4	-0.409125
UGT2B28	-3.044
WBSCR16	-0.1867
NLRC3	0.4995
ASTL	0.08325
ST6GALNAC1	-2.1635
ZADH2	0.461
MLLT4	-0.06875
ARL6	0.31
MEF2C	0.429
CBFA2T3	-0.676
AFF3	1.91964285714286
COG7	1.01066666666667
MYB	0.595166666666667
PLXNA3	0.3
XRCC2	-3.19733333333333
MMS19	-0.235625
ST8SIA5	-1.28375
