Hybridization REF	TCGA-B6-A0WV-01A-11R-A109-07
MRTO4	-1.10575
TTC3	0.8599
NDUFB8	0.0616666666666667
EDG2	-1.8215
SEMA3G	0.169
IL23A	-1.3465
GRHL1	1.7705
LOC441054	0.281
WDR65	0.72375
PSTK	0.05925
STOML3	0.469833333333333
R3HDM2	0.016
C5	-1.537
SLC2A10	1.202
C3orf22	0.77925
PAQR3	-0.448384615384615
ANKRD26	-0.621583333333333
HCRTR1	-0.2955
LOC399947	-0.57525
PSD2	0.4145
TIGD2	-0.840666666666667
SCRN1	-0.830375
COQ10A	-0.2755
DDI2	0.339
METTL7B	-0.239833333333333
UCN2	-0.0925
FAM92A3	-0.75475
WDR16	3.92275
ZNF511	0.317
ZMYM5	-0.424125
POLR3G	-1.9595
ZNF586	0.965
C1orf49	0.125333333333333
TANK	0.471333333333333
RCAN1	-1.01566666666667
PELI3	1.02666666666667
LIMD2	-1.49741666666667
TMEM189	0.5415
NTN4	1.487625
LOC151300	-0.4675
CLEC2A	-1.0735
GPR135	-0.552
DPYSL4	-3.016
JAK2	-0.392333333333333
TSHZ1	0.6785
TM9SF4	0.765125
ZNF264	0.224833333333333
SIRPG	0.344
BICD1	-0.74425
HERC6	1.6785
METTL5	-0.844
CASP1	-1.6365
PRRT1	-0.693
PLA2G4C	2.14416666666667
ICA1L	1.11742857142857
TPTE2	0.00383333333333332
OTUD7A	0.343
AQP11	-0.6555
APOA2	-4.8568
KALRN	-0.1918
SECTM1	0.119416666666667
IFNAR1	0.08875
TALDO1	0.645625
RAB11FIP4	0.0705
EIF5A	-0.675
FAM49A	0.56125
NEGR1	-0.262666666666667
YTHDC2	0.984375
EHD2	0.650625
NCF1	0.4152
SCRT2	0.6295
HOXA5	-1.08833333333333
NUP133	0.22625
FGF12	-0.2078125
SLMO2	0.62625
SNTA1	1.275625
CACNG2	-0.240125
GCM1	0.4465
ELF1	0.324833333333333
TLR5	3.2115
TCFL5	-0.82725
RBMY2FP	-0.957
LOC100125556	0.62625
FAM129B	0.236875
MAP3K7IP1	0.277375
NCK2	0.1665
OXA1L	-0.20075
FMO9P	0.42
ZSCAN12	-0.2305
PSMD12	0.0416666666666667
HSCB	-0.2325
CLDN10	-2.702
MGC13053	-0.122
HPCAL4	-0.619666666666667
ASZ1	0.08
MEX3D	0.658
NFAT5	-0.639
CSPG4LYP1	-0.402666666666667
FBXO3	1.3874
DVL1	-0.676166666666667
CMKLR1	1.14266666666667
TYMS	-2.354625
PEF1	1.10075
ZNF750	1.97233333333333
MCM5	-0.3165
MEGF11	-0.97325
KCNK7	0.1185
PTP4A3	-0.2715
C1QTNF2	-1.313
OR6S1	-0.1715
FAM122B	-0.427
ZNF551	-0.403
HBQ1	-2.854
GEMIN6	-0.10975
ARSK	0.69775
RBP7	3.28166666666667
CPNE9	0.958
DSC1	2.2
LOC730112	-0.2955
MAP2K4	-0.0585
HS3ST5	-0.0115
EPB41L3	-2.26525
TEKT2	1.0525
CDKN2B	1.09308333333333
ZNF480	-0.61475
MAP3K6	-0.1224
MAP6	1.7635
HN1	0.6006
OR2L13	-0.512666666666667
SLC16A11	0.501
FAM96A	-1.906
APOL1	0.2935
C5orf32	1.1645
RTP1	-0.442333333333333
RNF175	-0.251125
ZBTB41	1.368375
AHCTF1	-0.4
SAE2	-0.4419
ITGA2	0.595666666666667
MME	-0.818166666666666
CCDC14	-1.06425
MAST4	0.917071428571429
KRT33B	-0.1835
KCTD2	1.4195
WDR26	0.374916666666667
MFI2	-0.211375
NR4A3	-1.121125
ARSA	1.0845
UNKL	-0.617666666666667
SULT6B1	0.2455
CCNA2	-1.79833333333333
SOX15	-0.716
PPAPDC1B	0.42975
C19orf44	0.4385
MCAT	0.875166666666667
ARID1B	-0.160875
OR52N1	-0.0925
C12orf48	-0.839
MAGI1	1.04325
NIPA2	-0.66
GBX2	-2.47525
RSHL3	1.766375
RAVER1	0.0161666666666667
C15orf17	-0.124
SLC30A2	2.8225
ZNF518	-0.03375
PCYT1B	-1.359
C10orf114	2.226
EIF3H	0.0611666666666667
SLC25A39	-0.722166666666667
KIF1B	-0.041625
AMOTL2	-0.4535
C6orf120	-0.097875
PSRC1	-1.88625
PLA2G10	2.602625
KIF5C	0.7355
MRPL37	-0.494
C17orf62	0.857333333333333
C9orf135	-1.38116666666667
DUSP10	0.1296
CLCNKB	0.3535
PSMA5	-0.41675
C8orf53	-0.16
AMPD3	-0.3495
PIAS1	-0.5445
ADCYAP1R1	0.4585
GYLTL1B	-0.2415
CDH20	0.125666666666667
FBXO7	0.47425
TMEM134	1.6485
FLJ14213	-0.0105
ZNF3	0.30725
LRRFIP1	0.421583333333333
CNOT2	0.6045
ABI3	1.0535
ALDH5A1	-0.218583333333333
HNT	2.0705
SERPINA4	-2.467
TK2	0.957
STMN1	-1.56611111111111
GUCA2A	0.607166666666667
GALNT10	1.42228571428571
DPP6	-0.5929
C9orf93	0.513375
PRELID2	0.07525
STK39	0.041125
SFTPA1	-0.50975
CKS2	-1.06322222222222
RHO	0.11825
C20orf135	0.35825
XKR3	-3.225
CR1	0.01775
RPS6KA2	1.08707142857143
C20orf112	1.3935
MRPL22	0.049
C4orf23	0.528
GADD45B	1.115
KLHDC1	1.03833333333333
C2orf48	-3.2435
ZNF287	1.452
DAAM2	-2.1025
DPPA2	-2.95333333333333
TCTN3	1.11566666666667
DNAJB11	0.16425
FPR1	2.0495
DEFB4	0.007
PTCD2	-0.9365
SMOC2	3.99783333333333
CABP7	0.84475
SERPINB11	0.208
MAGEF1	0.5325
NDE1	0.822
ITGA10	0.815
FSHB	0.861
ANXA2	0.70775
HORMAD2	-0.28275
HLCS	0.994
MCF2L	2.11016666666667
FH	0.13425
TBC1D24	0.6055
KIAA1505	2.15025
LGALS2	-2.9065
CNBD1	-0.788
SYNPO2L	-0.78125
PTPN23	0.497214285714286
C1orf183	-1.21566666666667
MAGEA8	-3.03325
DGCR8	-1.182875
GSR	0.2485
PAQR7	0.04775
ZNF676	-1.5615
CACNA1C	0.2667
SP7	0.4955
PDCD6	0.22675
NRN1L	-1.2975
BRI3BP	-0.377090909090909
KIAA1183	0.8535
ASB4	-0.446
CCL23	0.0506
OBSL1	-0.573625
SLC12A7	1.11925
KIAA0240	-0.03425
CD1B	-3.686
FCGR2A	-0.229375
MDC1	-1.707
HTR1A	0.839
OCEL1	1.1085
ATP11B	0.168875
FBXO34	0.750166666666667
PCDH12	2.6015
RPE	-0.39675
C17orf74	0.007
CSDC2	0.573833333333333
PET112L	0.38175
TMBIM1	1.13425
P2RXL1	-0.046
TCHP	-0.38275
TRMT1	-1.294
F2RL2	0.458666666666667
LRRC32	2.9905
IMPG2	0.7755
BGLAP	-0.55775
LOC493869	-1.318
MRAS	0.989375
SLC35F5	0.55925
CBWD1	0.2085
AXL	-2.621625
ATP2C2	2.41725
TELO2	-0.43175
PNPLA3	-2.89475
PCDHB14	0.74325
CD276	0.26025
KRT80	0.688875
DUSP28	0.587
CSNK1E	-0.424333333333333
SRP14	0.379
KCNQ4	0.33
KRT72	0.0243333333333333
CCDC117	0.889
C6orf89	0.0198333333333333
TUBB2B	-2.8816
RTN4IP1	-0.63325
CR1L	-4.4455
CEND1	-0.136625
C12orf41	-0.0456666666666667
RNF31	1.171
UBN1	0.0983333333333333
C17orf32	1.405
SLC5A7	0.9145
GPR92	-0.571
ESAM	1.4305
CTNNA1	1.44091666666667
HRBL	0.8401
CBX4	1.55175
TMEM182	0.338
SH3TC2	-0.846833333333333
IL10	1.107
PXMP4	2.2815
RNF167	0.1226
PAK7	0.718666666666667
ETV3	-0.1765
ATPIF1	-0.770666666666667
LOC554207	-1.53216666666667
OR8H1	0.26125
WDFY3	1.27175
DPM1	-0.3315
GPSM1	-0.4275
WDR92	0.1654
LRP1	0.164833333333333
ANKH	-1.534625
THUMPD3	-0.341
POLR1B	-0.38125
OLFM4	3.5958
RAD9B	1.25725
TSPY2	-3.9705
PAX6	-2.26916666666667
SCG2	-2.601875
SLC17A6	-0.223
FMO3	2.650875
PADI4	-0.065625
TUBB4	-0.4221
NLK	0.185
POU4F3	-2.2845
SDF4	-0.2365
ITGBL1	0.912166666666667
NETO1	-1.764875
TAP2	-0.04675
ABBA-1	-0.12875
GNAI1	-2.17725
VPS4B	0.756
NOPE	-0.5787
GALNT6	1.99933333333333
SESN1	0.372375
GBE1	-1.85322222222222
CLASP1	0.14475
RASGEF1B	0.829875
ACOT11	-0.246785714285714
AFAP1	0.888
OR2H2	0.195
DPY19L2P1	-0.057
DZIP1	-2.398
SEC22C	0.42525
GPR161	-1.28583333333333
RNF146	-0.1355
WDR74	-0.64225
GALP	1.301
PURA	0.7195
DNPEP	1.02066666666667
RP11-78J21.1	-0.675
ERBB2	1.60625
FANCM	-0.2935
NEO1	0.340333333333333
DDX3Y	-5.1308
RPS3A	-0.27025
MXRA7	0.0820714285714285
LGALS3	0.274166666666667
GLT8D1	0.201
CFL2	-1.58083333333333
UPB1	0.399
NAP1L5	-0.219375
CLDN14	0.532
DHX38	-0.45675
BTBD1	-0.83025
TARS2	-0.00866666666666667
ABCF1	-0.3296
FCF1	-0.696666666666667
LRRC49	-0.0355
GUCY1B2	-0.6895
C1orf177	0.559833333333333
SMARCA4	-0.102142857142857
LRP8	-3.34883333333333
TAGLN3	-0.99425
MRPL14	-0.57575
TTRAP	-0.788
ZDHHC20	-0.0015
NFE2L3	-1.54325
KIAA1377	0.343125
PALMD	0.1245
TMEM43	-0.2285
TTL	-0.976375
STAT5B	-0.774833333333333
SSB	-1.201375
OR10H5	0.37
SLC22A13	-0.5915
AKAP3	-1.109
TIMM23	0.608166666666667
OAS2	1.43127272727273
KIAA0423	1.82
TRIM11	0.338
GLIS3	0.718
TMEM50B	0.637
ARHGEF4	-1.8015
DEGS1	0.157636363636364
TBL1XR1	0.6369
G6PD	-1.054
SP140	-0.7379
MUC17	0.0660769230769231
NUDC	0.0346
DNAJC5B	0.998166666666667
SCARA3	-1.10066666666667
CPA3	3.88983333333333
BCAT2	0.827875
MFN1	0.316
NRG3	0.3635
SNX11	1.299
PLEKHH1	0.438166666666667
GPR177	-1.07016666666667
HCFC2	0.21125
TCAP	-0.82475
MOCOS	-1.24825
C14orf93	0.11675
PRDM10	-0.544333333333333
SLC16A4	0.912083333333333
SRGAP1	0.182
VIP	-0.1135
DUSP27	-0.100666666666667
LILRA1	0.1563
MC2R	0.674
MGC24103	-1.5725
MBTD1	-1.364
FUT11	-0.380833333333333
USP33	0.0639
C15orf39	-2.02575
MAP3K12	0.488125
PAAF1	-1.10983333333333
BARHL1	0.599
FLJ16165	-0.1635
PIWIL2	-3.50125
SYNE1	-0.1235
CMTM4	1.438875
TSPYL1	0.7097
GUF1	-0.296166666666667
TMEM157	1.3805
WDR44	0.763
HIST1H3C	0.87275
DKFZp666G057	0.91825
RNPEP	0.55125
GAS2L2	0.200166666666667
ADH4	-5.2435
GRPR	5.84966666666667
FBXL17	0.0365
ZBTB10	0.782166666666667
Gcom1	0.0456111111111111
HTRA1	1.3663
ZNF585A	0.248
SLC26A2	-0.541357142857143
OTOP3	0.2755
WISP1	1.65388888888889
ATP2B4	-0.3085
FLJ10769	0.288
CRAMP1L	0.061
CHST12	-0.4525
RAB22A	0.97975
TARDBP	-0.0410714285714286
STAU1	0.681
CRB3	2.61816666666667
MIG7	-1.20975
CHMP1A	0.977166666666667
ZNF160	-0.00149999999999999
B3GALT6	-0.2695
BARX1	-1.66566666666667
C6orf167	-1.2575625
NXNL1	0.429
DHX29	0.506875
HADHB	0.30425
PLXNB2	1.28525
ILDR1	-1.18225
SLC15A3	1.4715
GAS2	-4.18016666666667
C20orf69	-0.5555
NUMB	0.206
TNIP1	0.499125
MESP1	-1.12166666666667
PSKH1	0.6535
NSFL1C	1.11825
RHOG	0.2255
HEY1	-3.2225
KNG1	-2.3855
ITGAX	0.8809
LIN9	-1.07483333333333
CANT1	1.523875
XRN1	0.0236428571428571
CCDC96	1.7546
HEATR6	-0.6905
GNG7	1.28666666666667
RUNX2	0.6718125
SOX1	0.698666666666667
FCRL5	-0.196555555555556
ZNF99	-0.504625
FAM9A	0.1315
SNX22	0.482166666666667
MBNL3	-1.70633333333333
ODC1	-2.489
ADORA2B	-2.82516666666667
NR2F6	0.56825
ZFYVE16	0.0549444444444444
SYNJ2BP	1.1698
POLE	-0.580375
E2F2	-1.23925
THRA	0.5505
PTGES2	-0.293333333333333
HIP1R	1.03116666666667
TMUB1	-0.190833333333333
ENO3	-2.86675
RSPH10B	0.078
CXorf39	0.330875
IRGC	0.30525
GPR109B	0.00425
FLJ13305	-0.136
LCE3A	-0.5905
TNFRSF18	-1.28416666666667
DET1	-0.55
TRPM3	-0.20975
C16orf79	-1.647
FECH	-0.6825
RAP2A	-0.401333333333333
CRIP1	2.932
AZIN1	-0.140625
SLC7A7	1.867
IL10RA	-0.4045
TMEM64	-1.0535
CDC42EP4	1.1993
C16orf58	-0.0358
ARG2	-2.61625
POU5F1P4	-5.228
FAM62B	0.200625
DNAH8	-2.4783
ASH2L	-0.133625
TSLP	-2.98333333333333
CNTNAP5	-0.2472
TMEM16C	0.0325
IFNA14	0.2675
SLC1A3	-1.4785
CABYR	0.16
BCL7B	0.1123
NUDT13	-0.192333333333333
C13orf28	1.17033333333333
C1orf53	1.2805
ARL6IP4	0.7343
RPL35A	-0.705
EMR3	-0.7495
RAB40C	0.389166666666667
SLC41A1	-0.993166666666667
LRCH1	0.01425
LY6G5B	-1.1485
FAM124A	-0.421071428571429
MGC10981	-4.63283333333333
CLIP3	0.8516
MAP4K2	-0.382666666666667
CHIC1	0.59625
SULF1	3.17683333333333
C20orf30	1.01614285714286
PRDM5	-0.49625
ELOVL1	0.2805
C11orf48	-0.0335
SLC39A10	0.13225
KCNV1	-0.004
ACP1	-0.469333333333333
ZMYM2	-0.911625
B3GNT6	-0.299333333333333
C9orf69	-0.721
C2orf15	1.712
C20orf166	-0.2225
HSP90AA6P	-0.812
EDG7	-0.7815
NEURL	0.936
LPL	-0.0606666666666667
CLEC2D	0.157214285714286
GRRP1	1.16733333333333
CD8B	-4.0083
HIST1H3D	0.1485
SLC6A12	-0.15025
FAM27L	1.886
CD84	0.5245
RASA1	0.8555
PHKG1	-0.1555
MAGEA11	-2.0665
IMPA1	-0.6065
NPM3	-1.612
RARRES1	2.08325
SH3BP1	-0.2515
B3GNTL1	0.582
ARPC5L	-0.152333333333333
KLHL26	0.7265
SIM2	-1.557125
GJC1	0.5045
C20orf194	0.65125
EXO1	-1.493
SLC2A2	-3.06516666666667
LOC285074	-0.1145
LRG1	2.0985
KIRREL	-0.198
PIK3R1	1.308
C4orf34	0.73175
MAF	-2.62483333333333
ADCY4	3.25533333333333
ZMIZ2	0.3143
SLC46A3	2.20316666666667
STAMBP	0.0103333333333334
CCDC16	-0.52975
MS4A12	0.135
TCF20	-0.10225
LRRC46	2.628
C20orf152	2.5925
MRPS6	-1.04775
ABCB11	0.4655
KCNC2	0.231333333333333
CDH19	-3.18933333333333
C9orf123	-0.323333333333333
SSH3	1.628375
LDLRAD1	-1.116
CCBE1	-1.352
ZNF135	-0.690375
TAAR1	-1.0135
WFDC12	0.28
CCDC42	-0.222
FLJ12529	-0.5695
PER1	-0.741
TIMM50	0.00950000000000001
SMARCAD1	-0.332666666666667
FAM26C	3.161
TP53TG3	-2.83333333333333
SH3RF1	1.653
LMCD1	1.9955
GPR63	-0.643
FLJ21986	-3.303
AIFM3	-0.77525
MICAL1	-0.729
BLZF1	0.610833333333333
IQCA	1.82033333333333
PCDHGC3	-0.1225
SAC	0.41675
BCL6B	1.17816666666667
DDO	0.1565
MARCO	1.908
DCHS1	1.0645
C1orf170	1.49033333333333
CD200R1	0.269333333333333
C22orf15	-0.5815
SEPT11	-0.404666666666667
ADNP	1.09575
UST	-0.4217
C13orf34	-1.403
RFFL	-0.186928571428571
APBA3	0.144
C2orf60	-0.219125
CUTL1	0.4
PMS1	-0.819571428571429
ZNF689	-0.306
EIF3E	-1.518
IL9	-0.961
RPL31	-0.670875
LY9	-0.369833333333333
ATP2B3	0.35425
KDELR2	0.378333333333333
TFCP2	0.494625
NLRP12	0.095375
FLJ45422	-0.52075
TLE4	-1.8055
ZNF570	-1.3265
FLJ43806	-0.6165
TLK2	0.0505
CIR	-0.133
MARS2	-0.064
COL24A1	-0.1045
SDF2L1	-0.1055
HIBADH	0.3255
IGFBP3	-2.69978571428571
C12orf23	1.137375
PSPC1	-0.3225
C20orf43	1.112
TRAV20	-0.2525
ARHGAP24	-0.233625
KIAA1975	1.550125
C1QA	2.6367
DNTT	-4.91166666666667
C10orf6	0.484833333333333
C11orf41	0.167
HNRPF	0.564625
COL11A1	5.06066666666667
UBAP2	-0.391166666666667
CDKN2AIPNL	-0.165
C20orf174	0.88175
SPRED2	0.88725
PLA2G12A	0.177
ICEBERG	-1.8462
SCN10A	-0.075
C11orf65	0.025
GBP5	2.26875
PITPNC1	-2.56733333333333
POU3F3	-0.1585
NCOA7	-1.40675
LIN7C	0.0286
LOC348840	-1.639
NKX2-2	-3.43175
ANKRD13D	0.434
LOC123688	0.33975
FUT2	1.35183333333333
TAAR8	0.752
FZD4	-0.201166666666667
PNMA3	-1.63316666666667
OR4L1	1.207
WIT1	-2.95825
EXOC3L	1.5655
ATPBD4	0.2189
KRBA1	-0.1055
UBXD6	-0.04825
HOXB7	-1.606
C7orf23	-1.5665
UNQ338	-0.7255
STAB2	0.45675
CDC20B	0.24975
IRF9	2.47775
CENTG1	0.497833333333333
TNPO2	-0.78275
MCPH1	-0.29175
BMS1P5	-1.31
SLC26A7	1.295
HIST1H3J	0.2895
C9orf3	-0.2052
LBH	0.4195
MYO1D	0.669375
PTDSS2	0.199
NFU1	0.23475
DEPDC4	-0.836
WNT7B	2.5073
GLP2R	-0.880166666666667
SETD4	-0.1025
DYNLT3	0.7899
FKBP11	-2.1225
SESTD1	0.3325
FLII	-0.00425
RPS16	-0.3289
CHPF	0.274333333333333
CSNK2A1	0.353333333333333
SUMO1P1	-0.03575
FKBP6	-0.9075
ZNF214	0.441833333333333
TWIST1	-1.04833333333333
DDX56	0.171166666666667
TRAM1L1	3.1783
EPO	1.06433333333333
MRPS18B	-1.32625
ZNF682	-0.8425
RPL14	-0.532166666666667
MAFF	-0.27925
LOC51136	-0.067625
LY96	-1.68175
DDX20	-0.84
ABTB1	0.311666666666667
ARL5A	-0.4162
CCT6A	-0.88325
HEPACAM	-0.971166666666667
EHHADH	0.167
RBAK	0.580333333333333
CGB1	0.0245
ITGB5	0.1623
YIPF3	0.3185
FKBP2	0.05925
NR1D1	0.2498
TMEM110	0.964
NEK2	-0.539333333333333
PRAMEF8	-3.69275
C20orf52	0.585
PCDHGA3	-0.2385
VWA3B	0.25775
NDUFA5	0.09375
THAP9	0.17275
FLVCR2	-0.317166666666667
AP1S1	-0.16125
SMAD6	-1.5165
SAV1	0.076375
SAT1	-0.5805
ZNF251	-0.00125
ADAMTS7	0.1271
RPP38	0.16875
C1orf211	-1.853
YPEL2	1.2452
RBMS1	-1.00675
ZNF445	-0.0768333333333333
NRXN2	0.0643333333333333
PGBD4	-0.56875
UGT2B28	-2.566
WBSCR16	-0.6927
NLRC3	-0.35675
ASTL	0.348
ST6GALNAC1	-3.87975
ZADH2	-0.115125
MLLT4	0.127166666666667
ARL6	0.517333333333333
MEF2C	-2.1155
CBFA2T3	0.269
AFF3	1.89114285714286
COG7	0.209
MYB	0.410166666666667
PLXNA3	0.458
XRCC2	-0.974333333333333
MMS19	-0.22175
ST8SIA5	-1.500125
CHPT1	0.353666666666667
KIAA1712	0.02625
OR6X1	0.6725
ACTR3	-0.46875
UGCG	1.45916666666667
OR4P4	0.5045
ZAP70	-4.076
LPP	1.169875
ZNF485	0.1605
PTPRCAP	-1.132
IL12RB1	0.10225
ATRX	0.234
CHST8	2.657625
C14orf109	-0.453
ARV1	0.6525
NMB	-1.45885714285714
COX5A	-1.35233333333333
EIF6	0.2495
MPPED2	1.36516666666667
SEMG1	-1.0205
CHRDL1	-0.223
TRAF3IP2	1.03525
WNK2	-0.46475
LILRA4	0.976166666666667
LAMA2	3.64975
PXT1	-1.504
RLBP1	-3.05925
CD300C	-0.27425
SLTM	-0.224125
FLJ10404	-0.2148125
APOBEC3D	0.12
RENBP	-0.369833333333333
ATXN7L1	0.393375
NID1	-0.426
TUBGCP3	-1.125375
ITIH5	0.6355
CCDC110	2.64
C8A	-3.588
MGC87042	-0.90025
HOXC13	2.33
TFDP2	-0.73025
HCP5	1.1415
POLI	-0.178
UCN	-0.324833333333333
ZNF764	0.423666666666667
C8orf45	0.65675
FHL3	-0.7925
SPATA5L1	-1.275
MMRN2	2.35433333333333
NDST1	1.0145
COL20A1	-0.129833333333333
ZNF248	0.0891666666666667
PELP1	-0.6385
MBL2	-2.694
RNF41	1.117125
C5orf24	0.469375
THOC5	0.034125
SERINC3	1.12691666666667
RP11-151A6.2	-0.81775
CDCP2	-0.02525
HIST1H2AA	0.82225
C11orf75	-0.951166666666667
FKBP7	-1.19725
DDOST	-0.42375
GPNMB	-0.462333333333333
TTF2	-1.4
KCNT1	0.728166666666667
SLC39A14	-1.0135
NGRN	-0.1392
GPR137B	1.82
MECP2	0.886875
PSMA1	-0.10475
C16orf73	-5.707
TMEM60	0.180166666666667
CSN3	-0.0395
NOS1	0.578833333333333
RAB7L1	0.3775
YBX2	0.91
KIAA1166	-0.01825
FUBP3	0.605666666666667
ABCG1	1.2705
ACACA	-0.307
ARL11	-0.7746
ATOH1	0.429
ODF1	0.0918333333333333
CREB3L3	-2.45116666666667
TMEM127	1.31114285714286
DSCAML1	0.66825
PLN	1.2865
LYPLA1	0.0276666666666667
PRDM9	-2.0965
SASP	-0.85275
PLUNC	0.103666666666667
INTU	0.86725
HISPPD1	0.7105
LNPEP	0.527833333333333
YARS2	-0.296333333333333
APCDD1L	-0.8875
ZCCHC4	-0.4412
FBXO22	-0.3095
TTLL13	-0.323
ZNF669	-0.170333333333333
PTGDR	2.04725
DDX27	0.16
KIAA0409	0.0383333333333333
GJB6	1.16075
ASB8	1.221
PLP2	0.67
MEPE	0.319
OR10J5	-0.4265
KRT222P	3.903
COQ7	0.146833333333333
C1orf101	-0.16825
RERG	4.6402
CHMP5	-0.152375
THAP11	-0.00225
ZNF43	-0.7915
ZRANB3	-0.364333333333333
KRT13	0.761375
MRPL19	-0.83125
RBBP9	1.599375
SPATA17	1.12475
BXDC5	0.146166666666667
PAFAH1B1	-0.699416666666667
MAGEE1	0.99125
OSTF1	0.34975
KIAA0323	0.973583333333333
TXNDC13	-0.271833333333333
CNTN4	0.85375
LCE1B	-3.617
UNQ501	1.66825
ZNF154	0.209
C3orf64	-0.28575
SYT5	0.0417
PON1	-0.504333333333333
FLJ10357	-0.50975
ATP4A	-1.076
GNPDA1	-0.00633333333333334
MGAT1	0.391333333333333
C14orf121	0.80175
SLC35B2	-0.47125
MIER3	0.181333333333333
CHEK1	-3.2
ZNF8	-0.6565
TXNDC1	-0.0498333333333334
CKB	-1.4232
RTN3	0.907357142857143
FZD2	-0.636333333333333
PART1	-0.456125
PSMB6	-0.43975
PCDHB8	-0.355
PHC3	0.5209
PPP1R8	-1.30133333333333
NOVA2	0.694333333333333
TNFRSF11B	-5.1
GOLPH3	0.673666666666667
UBLCP1	-0.80275
SUHW3	-0.40375
TTLL1	2.01925
OPN4	0.393
OR13G1	0.3555
ZPBP2	0.426166666666667
HSD17B11	-3.176375
C9orf50	0.2005
DHDDS	0.308142857142857
CTSW	0.0228
NEFM	-2.28366666666667
MRPL28	-0.04875
SYN1	0.312166666666667
PIGV	0.157166666666667
ZIM2	-1.5965
APBB1	-0.0591666666666667
SND1	-0.21225
C1orf123	-0.156833333333333
CHD3	-0.076
BHLHB8	0.2415
RNASE2	-0.7835
BCAP31	1.1645
SLC25A44	0.9125
CHD6	0.5818
PIB5PA	2.59646153846154
SELS	-0.017625
LOC541471	-1.094875
FAT2	1.654
ZNF81	0.6185
OR4C16	0.5015
FLJ10081	0.1356
LRRC4	-0.71175
CS	0.171333333333333
N4BP2	-0.144
IGFBP7	0.7545
ZNF318	0.0159166666666667
NDNL2	-0.705375
ZNF609	-0.15625
SIRT4	0.37
EXOSC10	-0.49875
ECE2	0.391333333333333
OVGP1	0.241
GTPBP3	-0.3625
PACS2	0.1141
C19orf36	-0.0376666666666667
ARL4C	-1.521875
ATG4B	-0.195875
UBQLNL	-0.0315
RHOXF2B	-4.148
PLEKHG2	-0.7455
GALR1	-0.2535
AQP4	0.717166666666667
HDAC7A	-0.5275
DCUN1D3	-0.1385
OR8A1	0.6215
CCRN4L	0.835375
CBR4	0.0318333333333333
KIFC1	-2.08916666666667
SLC7A14	-1.22
LHX5	-0.23
TRPC7	-0.0765
LPXN	-1.4085
SERPINA1	-0.817375
RPS13	-0.3357
BPIL3	-0.3495
PRKAA1	-1.4335
FADS2	0.511
ENAH	0.4128125
PRO1768	-1.2645
APBA2BP	0.77775
LIPH	2.10266666666667
C3orf33	0.23575
RCC2	-0.0665714285714286
ALDH1A2	-3.3916
RNF103	1.95575
AHCY	0.452125
ALG12	1.5765
CCL17	0.37525
ZNF543	1.12016666666667
ESRRG	1.2638
CNGA1	-0.192
RDH5	-0.148166666666667
OTX1	-0.0455
PTGFR	-1.83666666666667
CDR2	-0.604125
SELE	2.919
NLGN2	-0.847833333333333
EXOSC9	-0.94525
ZNF566	-0.175166666666667
KLRC2	-5.8725
GPR12	0.8835
KIAA0196	0.72525
PDRG1	1.5505
SSR3	-0.502357142857143
MSI1	-0.00149999999999999
CST9	3.1365
CC2D1A	0.6575
PLAGL1	-1.03961111111111
ZNF778	0.182
RNF2	0.106875
KLF6	0.667166666666667
THBD	2.71433333333333
tcag7.1314	1.41425
NR5A1	-0.201833333333333
ABCD2	-0.4355
DNAJC7	-1.6545
CLEC4C	-0.0935
TM2D3	-0.410125
CCDC4	-0.858
PLAC2	0.65375
DCD	0.444
FAAH	1.606
POLA1	-0.263
TM7SF2	-0.156125
FLJ39822	-0.0951666666666667
FLOT2	0.706375
MAP4K1	-1.4925
SRP68	1.292375
C21orf74	-0.003
ARPC5	-0.022625
LOC126075	1.21625
HECW2	0.185875
ZDHHC4	0.244
ANKRD42	1.0342
PDE9A	-1.822
ABCA8	0.4945
NDUFS2	0.33425
UBR5	-0.47375
BTBD16	-2.15775
LOC554174	-0.289
ZNF20	1.8195
KIAA1843	0.6445
WDR17	-0.870625
C15orf33	0.2075
RNF113A	0.12275
CAMKK1	-0.7636
CLCN2	-0.18575
ANXA6	-1.537
LOC340069	1.1595
EMID1	0.785625
DPM3	-0.557416666666667
ELA1	-0.162
SLC25A13	-0.9218
KRT24	1.44025
SMPD1	0.691333333333333
TH	0.200125
COL6A2	0.377642857142857
ANKS1B	1.41266666666667
GPR126	-3.9352
ZC3H12A	0.310166666666667
TMEM47	-0.6615
C2orf51	0.4515
C1orf88	3.45166666666667
HSF2BP	0.2385
AKAP10	0.9065
RPAP3	-0.5215
KLHDC8B	1.1565
STOM	0.6343
MUPCDH	0.014875
C10orf72	-0.113125
PLEKHA3	0.76575
TCP11L1	0.365
CWF19L1	0.562125
SPEF1	2.17538461538462
YSK4	-0.42
ELN	1.042
SAMD8	-0.153666666666667
MPI	-1.20383333333333
MEPCE	-0.1255
ABCC3	-2.141125
NANOGP1	-4.2375
KCNK17	1.46575
HLA-DMB	2.62616666666667
RRAGA	0.52475
ANGEL1	-0.6225
RBM32B	-0.079
CPN1	-3.19875
MGC52282	-0.8165
HLA-A	0.22875
OR9G4	0.6915
EDNRB	-2.3415
SCD	0.559857142857143
C14orf80	-0.676833333333333
BAGE2	0.0205
RABL4	1.79983333333333
RCVRN	0.076
SHANK1	0.083
NLRP7	-3.867
