Hybridization REF	TCGA-AN-A0XW-01A-11R-A109-07
PSTK	-0.86675
STOML3	0.175666666666667
R3HDM2	-0.3662
C5	-1.33475
SLC2A10	1.76316666666667
C3orf22	0.652
PAQR3	-1.29830769230769
ANKRD26	-0.655666666666667
HCRTR1	0.3245
LOC399947	0.23225
PSD2	-0.2345
TIGD2	-1.42883333333333
SCRN1	-0.91125
COQ10A	-0.8195
DDI2	0.0525
METTL7B	-0.236833333333333
UCN2	0.29775
FAM92A3	-0.7205
WDR16	0.03925
ZNF511	-0.3465
ZMYM5	-1.20025
POLR3G	-2.4065
ZNF586	1.09325
C1orf49	0.2005
TANK	0.486
RCAN1	0.471166666666667
PELI3	0.0646666666666667
LIMD2	0.256083333333333
TMEM189	-0.5045
NTN4	1.0385
LOC151300	-0.195
CLEC2A	-1.6035
GPR135	-0.510125
DPYSL4	-1.4429
JAK2	0.697166666666667
TSHZ1	1.29383333333333
TM9SF4	-0.501
ZNF264	0.762
SIRPG	2.319125
BICD1	-0.1075
HERC6	1.66716666666667
METTL5	-0.913
CASP1	1.665
PRRT1	-0.027
PLA2G4C	3.03916666666667
ICA1L	0.588642857142857
TPTE2	0.615333333333333
OTUD7A	0.610166666666667
AQP11	3.48675
APOA2	-4.2178
KALRN	0.4259
SECTM1	1.23066666666667
IFNAR1	0.53875
TALDO1	0.620375
RAB11FIP4	-0.547833333333333
EIF5A	-1.211
FAM49A	2.5875
NEGR1	1.34133333333333
YTHDC2	0.000375
EHD2	0.617625
NCF1	3.5848
SCRT2	0.557
HOXA5	-1.013
NUP133	0.0705
FGF12	0.91525
SLMO2	-0.360375
SNTA1	-0.039375
CACNG2	-0.1255
GCM1	0.676375
ELF1	0.660166666666667
TLR5	3.41375
TCFL5	-0.669083333333333
RBMY2FP	-0.865
LOC100125556	-0.018625
FAM129B	0.250125
MAP3K7IP1	-0.189
NCK2	0.327
OXA1L	-0.155
FMO9P	0.532
ZSCAN12	-0.12425
PSMD12	-0.530166666666667
HSCB	-0.09625
CLDN10	-3.16625
MGC13053	-0.44875
HPCAL4	0.0571666666666667
ASZ1	0.0655
MEX3D	0.57075
NFAT5	-0.6121
CSPG4LYP1	-0.255166666666667
FBXO3	0.6779
DVL1	-0.783166666666667
CMKLR1	3.011
TYMS	-2.99375
PEF1	0.681
ZNF750	-2.051
MCM5	-0.3326
MEGF11	-0.193
KCNK7	0.0395
PTP4A3	0.177
C1QTNF2	1.6545
OR6S1	0.438
FAM122B	-1.24025
ZNF551	-0.17425
HBQ1	-2.2945
GEMIN6	-0.592
ARSK	0.91225
RBP7	1.186
CPNE9	0.6085
DSC1	1.897
LOC730112	-0.65175
MAP2K4	-0.149375
HS3ST5	0.5625
EPB41L3	0.95
TEKT2	1.2355
CDKN2B	0.841333333333333
ZNF480	-0.357
MAP3K6	0.3442
MAP6	2.40233333333333
HN1	0.7488
OR2L13	0.130833333333333
SLC16A11	0.29525
FAM96A	-0.942
APOL1	2.275
C5orf32	0.42575
RTP1	-0.0153333333333333
RNF175	0.3075
ZBTB41	1.375625
AHCTF1	-0.1244
SAE2	-0.0866
ITGA2	0.792916666666667
MME	-0.0838333333333333
CCDC14	-1.08125
MAST4	1.49871428571429
KRT33B	-0.55
KCTD2	0.274666666666667
WDR26	0.672583333333333
MFI2	-0.566875
NR4A3	0.2465
ARSA	1.0965
UNKL	-1.072
SULT6B1	-0.1585
CCNA2	-1.81883333333333
SOX15	-0.018
PPAPDC1B	0.2915
C19orf44	0.637
MCAT	0.57025
ARID1B	-0.000875000000000003
OR52N1	-1.0565
C12orf48	-0.618
MAGI1	-1.18525
NIPA2	-0.34475
GBX2	-1.83075
RSHL3	1.158625
RAVER1	0.468166666666667
C15orf17	-0.11775
SLC30A2	0.765
ZNF518	-0.5505
PCYT1B	-1.1415
C10orf114	-0.50175
EIF3H	-0.144083333333333
SLC25A39	-0.426
KIF1B	-0.2735
AMOTL2	-0.23875
C6orf120	-0.225375
PSRC1	-2.3935
PLA2G10	2.6725
KIF5C	0.4945
MRPL37	-0.527
C17orf62	0.41
C9orf135	-1.30333333333333
DUSP10	1.802
CLCNKB	0.2275
PSMA5	-0.355875
C8orf53	-0.7395
AMPD3	1.17683333333333
PIAS1	0.29675
ADCYAP1R1	0.0645
GYLTL1B	0.63675
CDH20	0.793833333333333
FBXO7	0.24225
TMEM134	2.367
FLJ14213	1.825
ZNF3	-0.31125
LRRFIP1	0.725916666666667
CNOT2	0.43425
ABI3	3.015
ALDH5A1	-0.396916666666667
HNT	2.7441
SERPINA4	-2.23
TK2	0.879166666666667
STMN1	-1.16311111111111
GUCA2A	0.269333333333333
GALNT10	1.56164285714286
DPP6	-0.88145
C9orf93	-0.23825
PRELID2	-0.844375
STK39	0.12575
SFTPA1	-0.41
CKS2	-0.479666666666667
RHO	0.092875
C20orf135	-0.27625
XKR3	-2.4925
CR1	0.052
RPS6KA2	0.741357142857143
C20orf112	0.27125
MRPL22	-0.52425
C4orf23	0.3675
GADD45B	1.62625
KLHDC1	1.11666666666667
C2orf48	-2.68
ZNF287	1.7625
DAAM2	0.10925
DPPA2	-2.86616666666667
TCTN3	0.416833333333333
DNAJB11	0.125
FPR1	3.8675
DEFB4	0.2095
PTCD2	-1.1005
SMOC2	5.15966666666667
CABP7	0.737
SERPINB11	0.47
MAGEF1	0.37825
NDE1	0.00166666666666666
ITGA10	0.983
FSHB	0.8585
ANXA2	1.3245
HORMAD2	-0.12
HLCS	0.12125
MCF2L	1.18058333333333
FH	-0.415625
TBC1D24	0.31825
KIAA1505	1.74975
LGALS2	0.0945
CNBD1	-0.455
SYNPO2L	0.531
PTPN23	0.464714285714286
C1orf183	-1.173
MAGEA8	-2.5975
DGCR8	-1.392375
GSR	-0.392
PAQR7	0.241
ZNF676	-1.00225
CACNA1C	0.9407
SP7	0.327
PDCD6	-0.39
NRN1L	-0.684
BRI3BP	-0.242333333333333
KIAA1183	1.269
ASB4	-0.18725
CCL23	0.7673
OBSL1	-0.635875
SLC12A7	0.229416666666667
KIAA0240	0.479375
CD1B	-2.35
FCGR2A	2.5885
MDC1	-0.98675
HTR1A	0.289666666666667
OCEL1	0.7755
ATP11B	-0.5025625
FBXO34	0.0835
PCDH12	3.24333333333333
RPE	-0.34325
C17orf74	-0.0125
CSDC2	0.775333333333333
PET112L	-0.5035
TMBIM1	0.1725
P2RXL1	-0.0415
TCHP	-0.4345
TRMT1	-0.8905
F2RL2	-0.118166666666667
LRRC32	3.0015
IMPG2	0.5155
BGLAP	0.5235
LOC493869	-0.181666666666667
MRAS	1.933125
SLC35F5	1.04775
CBWD1	-0.824
AXL	-0.816
ATP2C2	2.0515
TELO2	-0.82275
PNPLA3	-2.979
PCDHB14	0.581
CD276	0.311
KRT80	0.078625
DUSP28	0.019
CSNK1E	-0.327833333333333
SRP14	0.6405
KCNQ4	-0.356
KRT72	-0.1315
CCDC117	0.196375
C6orf89	0.0606111111111111
TUBB2B	-2.44166666666667
RTN4IP1	1.84375
CR1L	-2.37233333333333
CEND1	0.35875
C12orf41	-0.228333333333333
RNF31	0.199
UBN1	-0.474333333333333
C17orf32	0.505375
SLC5A7	1.61025
GPR92	1.86116666666667
ESAM	2.0831
CTNNA1	0.895583333333333
HRBL	0.3399
CBX4	-0.963
TMEM182	-0.2345
SH3TC2	-0.723833333333333
IL10	1.547
PXMP4	1.0095
RNF167	-0.7337
PAK7	1.06416666666667
ETV3	-0.2265
ATPIF1	-0.58
LOC554207	-1.62883333333333
OR8H1	0.00424999999999999
WDFY3	0.575375
DPM1	-1.12475
GPSM1	-0.144
WDR92	-0.1244
LRP1	1.02516666666667
ANKH	-0.1855
THUMPD3	-0.4735
POLR1B	-0.363
OLFM4	1.44
RAD9B	0.68225
TSPY2	-3.727
PAX6	-1.72916666666667
SCG2	-1.79775
SLC17A6	0.3385
FMO3	4.04425
PADI4	-0.062875
TUBB4	0.0268
NLK	-0.3105
POU4F3	-0.289
SDF4	0.195
ITGBL1	3.99716666666667
NETO1	-1.140625
TAP2	0.667
ABBA-1	0.131583333333333
GNAI1	-0.93275
VPS4B	0.77725
NOPE	-0.0624
GALNT6	2.65116666666667
SESN1	0.632625
GBE1	-1.256
CLASP1	0.26125
RASGEF1B	1.81875
ACOT11	-0.0660714285714286
AFAP1	1.55575
OR2H2	0.42275
DPY19L2P1	-0.93575
DZIP1	-1.0015
SEC22C	0.00616666666666666
GPR161	0.1255
RNF146	0.7085
WDR74	-1.332625
GALP	0.3725
PURA	0.27575
DNPEP	0.413916666666667
RP11-78J21.1	-0.815
ERBB2	1.478125
FANCM	-0.667833333333333
NEO1	1.62583333333333
DDX3Y	-4.815
RPS3A	-0.58325
MXRA7	0.221785714285714
LGALS3	0.354
GLT8D1	0.64775
CFL2	-1.78766666666667
UPB1	0.1695
NAP1L5	0.00725000000000001
CLDN14	-0.64125
DHX38	-0.485
BTBD1	-0.25425
TARS2	-0.0853333333333333
ABCF1	-0.1918
FCF1	-0.379833333333333
LRRC49	0.46225
GUCY1B2	-0.3005
C1orf177	0.839666666666667
SMARCA4	0.0181428571428571
LRP8	-1.97683333333333
TAGLN3	-0.41025
MRPL14	-0.41925
TTRAP	-0.3495
ZDHHC20	0.0065
NFE2L3	-0.39675
KIAA1377	0.27125
PALMD	0.6869
TMEM43	0.28875
TTL	-0.602625
STAT5B	-0.807166666666667
SSB	-0.7795
OR10H5	0.5385
SLC22A13	-0.43475
AKAP3	-0.77475
TIMM23	0.283833333333333
OAS2	2.35383333333333
KIAA0423	0.68575
TRIM11	0.248833333333333
GLIS3	2.21525
TMEM50B	0.776
ARHGEF4	-0.4165
DEGS1	-0.176545454545455
TBL1XR1	1.20253333333333
G6PD	-1.6075
SP140	1.1656
MUC17	0.283714285714286
NUDC	-0.2612
DNAJC5B	2.82966666666667
SCARA3	-0.726333333333333
CPA3	6.343
BCAT2	0.4805
MFN1	-0.1566
NRG3	0.0915
SNX11	2.0945
PLEKHH1	-0.880166666666667
GPR177	0.544333333333333
HCFC2	0.13825
TCAP	-0.1805
MOCOS	-0.9175
C14orf93	-0.163
PRDM10	-0.692
SLC16A4	0.494833333333333
SRGAP1	1.26316666666667
VIP	0.4435
DUSP27	0.658166666666667
LILRA1	0.9674
MC2R	0.2155
MGC24103	-1.98425
MBTD1	-1.297
FUT11	-0.588
USP33	0.2408
C15orf39	-0.5985
MAP3K12	0.3775
PAAF1	-1.365
BARHL1	0.1785
FLJ16165	0.4515
PIWIL2	-3.18125
SYNE1	1.01825
CMTM4	-0.143375
TSPYL1	0.0194
GUF1	0.1465
TMEM157	0.735
WDR44	0.434
HIST1H3C	-0.113
DKFZp666G057	1.79575
RNPEP	1.4185
GAS2L2	0.0101666666666667
ADH4	-4.8485
GRPR	1.63283333333333
FBXL17	0.6385
ZBTB10	0.433416666666667
Gcom1	0.218611111111111
HTRA1	2.268
ZNF585A	0.408666666666667
SLC26A2	-0.0703571428571429
OTOP3	0.7565
WISP1	4.12355555555556
ATP2B4	1.12141666666667
FLJ10769	0.47075
CRAMP1L	-0.733875
CHST12	-0.726
RAB22A	0.085
TARDBP	-0.377
STAU1	0.049
CRB3	2.1395
MIG7	1.20975
CHMP1A	0.700833333333333
ZNF160	0.0695
B3GALT6	-0.036875
BARX1	-1.74483333333333
C6orf167	-1.6205625
NXNL1	0.749
DHX29	0.848875
HADHB	0.11775
PLXNB2	0.87575
ILDR1	-1.44225
SLC15A3	3.45825
GAS2	-4.14383333333333
C20orf69	-0.7245
NUMB	0.16125
TNIP1	0.380125
MESP1	-1.7955
PSKH1	-0.31225
NSFL1C	0.294625
RHOG	0.93825
HEY1	-2.49533333333333
KNG1	-1.714625
ITGAX	2.1096
LIN9	-0.874333333333333
CANT1	0.55625
XRN1	0.411428571428572
CCDC96	1.1909
HEATR6	1.22916666666667
GNG7	0.57425
RUNX2	1.731625
SOX1	0.1705
FCRL5	1.0688
ZNF99	-0.300125
FAM9A	-0.402
SNX22	0.532
MBNL3	-1.97983333333333
ODC1	-2.6349
ADORA2B	-2.10766666666667
NR2F6	0.475
ZFYVE16	0.476055555555556
SYNJ2BP	0.5114
POLE	-1.10975
E2F2	-1.32475
THRA	0.102333333333333
PTGES2	-1.20733333333333
HIP1R	-0.413166666666667
TMUB1	-0.373
ENO3	-2.29675
RSPH10B	-0.0165
CXorf39	0.31875
IRGC	0.4225
GPR109B	-0.1195
FLJ13305	-0.3855
LCE3A	-0.519
TNFRSF18	0.517666666666667
DET1	-0.5555
TRPM3	0.27475
C16orf79	-0.1425
FECH	-0.0635
RAP2A	0.637
CRIP1	2.97016666666667
AZIN1	0.017125
SLC7A7	4.551
IL10RA	1.8487
TMEM64	-1.097
CDC42EP4	0.0298
C16orf58	-0.1502
ARG2	-2.5695
POU5F1P4	-4.90325
FAM62B	-0.007625
DNAH8	-1.7788
ASH2L	-0.023875
TSLP	-3.05233333333333
CNTNAP5	0.037
TMEM16C	2.46075
IFNA14	0.3595
SLC1A3	1.176
CABYR	1.74
BCL7B	-0.311
NUDT13	-2.16
C13orf28	-1.29975
C1orf53	1.17325
ARL6IP4	0.1923
RPL35A	-0.7365
EMR3	0.49575
RAB40C	0.1615
SLC41A1	1.11716666666667
LRCH1	0.14725
LY6G5B	-0.796
FAM124A	-0.132571428571429
MGC10981	-4.21733333333333
CLIP3	1.129
MAP4K2	-1.08566666666667
CHIC1	0.6965
SULF1	4.6365
C20orf30	-0.0831428571428572
PRDM5	0.0565
ELOVL1	-0.08475
C11orf48	-1.215
SLC39A10	0.44075
KCNV1	0.5335
ACP1	-0.394333333333333
ZMYM2	-1.285125
B3GNT6	0.00333333333333332
C9orf69	-0.57025
C2orf15	1.184
C20orf166	0.327
HSP90AA6P	-0.3495
EDG7	-0.353
NEURL	-1.019
LPL	-1.48583333333333
CLEC2D	0.478928571428571
GRRP1	0.9885
CD8B	-2.1131
HIST1H3D	0.0631666666666667
SLC6A12	1.56925
FAM27L	0.159
CD84	2.707
RASA1	0.7415
PHKG1	-0.408
MAGEA11	-2.2555
IMPA1	-0.0579
NPM3	-1.93
RARRES1	3.767
SH3BP1	0.123375
B3GNTL1	0.202
ARPC5L	-0.247166666666667
KLHL26	0.809
SIM2	-0.656875
GJC1	0.4305
C20orf194	0.271
EXO1	-1.61475
SLC2A2	-2.429
LOC285074	-0.9255
LRG1	-0.65925
KIRREL	0.534
PIK3R1	1.3305
C4orf34	0.4455
MAF	-0.217
ADCY4	3.496
ZMIZ2	0.431
SLC46A3	2.0815
STAMBP	-0.489833333333333
CCDC16	-0.43425
MS4A12	-0.0295
TCF20	-0.386
LRRC46	2.37625
C20orf152	0.1715
MRPS6	-0.19075
ABCB11	-0.01
KCNC2	3.80433333333333
CDH19	-2.22833333333333
C9orf123	-0.00866666666666666
SSH3	1.645875
LDLRAD1	-2.252
CCBE1	1.03825
ZNF135	0.08525
TAAR1	0.542
WFDC12	0.555
CCDC42	0.425833333333333
FLJ12529	-0.6845
PER1	-0.992166666666667
TIMM50	0.1685
SMARCAD1	-0.835333333333333
FAM26C	0.157
TP53TG3	-2.243
SH3RF1	0.6211
LMCD1	2.50775
GPR63	0.0295
FLJ21986	-1.147375
AIFM3	-0.1255
MICAL1	0.0128333333333333
BLZF1	0.666
IQCA	3.0715
PCDHGC3	-0.01
SAC	0.2305
BCL6B	1.75066666666667
DDO	0.53975
MARCO	3.859
DCHS1	1.61083333333333
C1orf170	-1.65216666666667
CD200R1	2.35383333333333
C22orf15	-0.345
SEPT11	0.0215
ADNP	0.46025
UST	0.2598
C13orf34	-1.67316666666667
RFFL	-0.0827857142857143
APBA3	0.3975
C2orf60	-0.35675
CUTL1	0.3253
PMS1	-0.548
ZNF689	0.8305
EIF3E	-1.04616666666667
IL9	0.0478333333333333
RPL31	-0.639875
LY9	1.49166666666667
ATP2B3	-0.12325
KDELR2	0.619791666666667
TFCP2	0.447125
NLRP12	-0.439
FLJ45422	-0.238
TLE4	-0.1466
ZNF570	0.597
FLJ43806	-1.174
TLK2	-0.35375
CIR	0.215
MARS2	-0.2105
COL24A1	0.68625
SDF2L1	-0.5135
HIBADH	-0.432
IGFBP3	-1.24264285714286
C12orf23	0.998125
PSPC1	-0.4535
C20orf43	0.12025
TRAV20	1.067
ARHGAP24	1.026125
KIAA1975	0.17225
C1QA	3.7232
DNTT	-4.40016666666667
C10orf6	-0.18625
C11orf41	0.023625
HNRPF	0.21375
COL11A1	7.39383333333333
UBAP2	-0.985
CDKN2AIPNL	-0.7315
C20orf174	3.625
SPRED2	0.08725
PLA2G12A	0.0658333333333333
ICEBERG	-1.9765
SCN10A	0.0895
C11orf65	-1.2325
GBP5	5.58075
PITPNC1	-1.34366666666667
POU3F3	0.69
NCOA7	-0.5545
LIN7C	-0.521
LOC348840	-0.9515
NKX2-2	-2.2305
ANKRD13D	1.202
LOC123688	0.2245
FUT2	2.00466666666667
TAAR8	0.7925
FZD4	-0.136583333333333
PNMA3	-0.0205
OR4L1	0.2615
WIT1	-1.348
EXOC3L	1.602
ATPBD4	0.00470000000000001
KRBA1	-1.2925
UBXD6	-0.38825
HOXB7	0.118642857142857
C7orf23	-0.428
UNQ338	-0.82525
STAB2	0.0715
CDC20B	0.02475
IRF9	2.43775
CENTG1	0.808083333333333
TNPO2	-0.94875
MCPH1	0.205625
BMS1P5	-1.843
SLC26A7	0.49925
HIST1H3J	0.84975
C9orf3	0.6314
LBH	1.90875
MYO1D	0.6565
PTDSS2	-1.03575
NFU1	-0.24075
DEPDC4	-1.415
WNT7B	1.7478
GLP2R	-0.61
SETD4	-0.3426
DYNLT3	-0.3001
FKBP11	-0.0713333333333333
SESTD1	0.431666666666667
FLII	0.50575
RPS16	0.0246
CHPF	0.438166666666667
CSNK2A1	-0.6275
SUMO1P1	0.07125
FKBP6	-1.037
ZNF214	1.73083333333333
TWIST1	1.211
DDX56	-0.500666666666667
TRAM1L1	2.2614
EPO	-2.07933333333333
MRPS18B	-1.1135
ZNF682	-1.54216666666667
RPL14	-0.372833333333333
MAFF	-0.39625
LOC51136	0.9195
LY96	0.975
DDX20	-0.706
ABTB1	0.919
ARL5A	0.1858
CCT6A	-1.36275
HEPACAM	-1.465
EHHADH	0.292833333333333
RBAK	-0.0151666666666667
CGB1	0.21575
ITGB5	1.5075
YIPF3	0.961
FKBP2	-0.82275
NR1D1	-0.7234
TMEM110	0.143
NEK2	-0.157166666666667
PRAMEF8	-3.357
C20orf52	-0.0728333333333333
PCDHGA3	-0.323
VWA3B	0.73525
NDUFA5	-0.153875
THAP9	-0.7365
FLVCR2	0.881333333333333
AP1S1	-0.473375
SMAD6	-1.1815
SAV1	0.275
SAT1	1.4675
ZNF251	0.2835
ADAMTS7	0.6755
RPP38	0.00950000000000001
C1orf211	-1.3865
YPEL2	2.4948
RBMS1	0.13475
ZNF445	-0.188833333333333
NRXN2	0.203833333333333
PGBD4	-0.56525
UGT2B28	-2.662
WBSCR16	-1.2331
NLRC3	1.180625
ASTL	0.3815
ST6GALNAC1	-3.67675
ZADH2	0.624875
MLLT4	-0.592583333333333
ARL6	0.187833333333333
MEF2C	0.326
CBFA2T3	-1.773
AFF3	1.58178571428571
COG7	0.165666666666667
MYB	-0.811333333333333
PLXNA3	0.0425
XRCC2	-1.86883333333333
MMS19	-0.994375
ST8SIA5	-0.991375
CHPT1	-0.256833333333333
KIAA1712	-1.569375
OR6X1	1.3785
ACTR3	0.583875
UGCG	0.682833333333333
OR4P4	0.172
ZAP70	-1.73875
LPP	1.405875
ZNF485	-0.5585
PTPRCAP	1.086
IL12RB1	1.02375
ATRX	0.0229
CHST8	1.8035
C14orf109	0.053
ARV1	0.39125
NMB	-0.659571428571429
COX5A	-0.474333333333333
EIF6	-0.6135
MPPED2	-1.052
SEMG1	-1.4205
CHRDL1	-0.5355
TRAF3IP2	0.355
WNK2	-0.572625
LILRA4	2.61
LAMA2	4.6185
PXT1	-0.163
RLBP1	-3.35325
CD300C	0.852
SLTM	0.192375
FLJ10404	-0.3845
APOBEC3D	-0.771333333333333
RENBP	1.52483333333333
ATXN7L1	0.66675
NID1	0.35275
TUBGCP3	-0.480625
ITIH5	0.433
CCDC110	2.23425
C8A	-2.91275
MGC87042	-0.495
HOXC13	0.9235
TFDP2	-0.6915
HCP5	2.528
POLI	-0.071
UCN	-0.331
ZNF764	-0.379833333333333
C8orf45	-0.22725
FHL3	0.156
SPATA5L1	-0.88425
MMRN2	2.5225
NDST1	0.368333333333333
COL20A1	1.1865
ZNF248	-0.0738333333333333
PELP1	-0.775666666666667
MBL2	-2.35516666666667
RNF41	0.312375
C5orf24	0.523375
THOC5	-0.236375
SERINC3	0.153083333333333
RP11-151A6.2	0.902
CDCP2	0.165
HIST1H2AA	0.79225
C11orf75	0.707333333333333
FKBP7	0.5725
DDOST	-0.09225
GPNMB	1.746
TTF2	-1.82066666666667
KCNT1	0.688666666666667
SLC39A14	-0.94225
NGRN	0.3868
GPR137B	2.29525
MECP2	-0.054
PSMA1	-0.05075
C16orf73	-2.402
TMEM60	0.216166666666667
CSN3	-0.378
NOS1	0.287
RAB7L1	0.747
YBX2	0.2365
KIAA1166	-0.60925
FUBP3	-0.2085
ABCG1	0.921
ACACA	0.1865
ARL11	1.2132
ATOH1	0.5025
ODF1	0.266666666666667
CREB3L3	-1.6715
TMEM127	0.878285714285714
DSCAML1	0.48475
PLN	3.95966666666667
LYPLA1	-0.760166666666667
PRDM9	-1.35525
SASP	-0.76225
PLUNC	0.167
INTU	0.4305
HISPPD1	-0.156
LNPEP	0.615666666666667
YARS2	-0.4335
APCDD1L	-1.3505
ZCCHC4	-0.8664
FBXO22	-0.0446666666666667
TTLL13	-0.363
ZNF669	0.0628333333333333
PTGDR	2.63075
DDX27	-0.65525
KIAA0409	-0.334833333333333
GJB6	1.83325
ASB8	0.8765
PLP2	0.505166666666667
MEPE	4.63875
OR10J5	-0.103
KRT222P	3.66375
COQ7	-0.013
C1orf101	0.808
RERG	2.302
CHMP5	-0.2595
THAP11	0.0815
ZNF43	-0.620833333333333
ZRANB3	-0.5405
KRT13	-0.2815
MRPL19	-0.7555
RBBP9	0.058125
SPATA17	0.6585
BXDC5	-0.335
PAFAH1B1	-0.69725
MAGEE1	0.295
OSTF1	0.623
KIAA0323	-0.263166666666667
TXNDC13	-0.278166666666667
CNTN4	3.137875
LCE1B	0.0835
UNQ501	0.5195
ZNF154	0.09425
C3orf64	0.35775
SYT5	-0.0823
PON1	1.995
FLJ10357	-0.18125
ATP4A	-1.2835
GNPDA1	-0.144166666666667
MGAT1	0.951666666666667
C14orf121	0.453
SLC35B2	-0.3665
MIER3	0.229166666666667
CHEK1	-2.863875
ZNF8	0.399166666666667
TXNDC1	-0.615333333333333
CKB	-0.6612
RTN3	-0.0895
FZD2	0.396
PART1	0.430625
PSMB6	-0.4525
PCDHB8	-0.4355
PHC3	0.5094
PPP1R8	-0.736833333333333
NOVA2	1.51366666666667
TNFRSF11B	-2.904625
GOLPH3	0.853666666666667
UBLCP1	-0.3985
SUHW3	-0.51625
TTLL1	1.4845
OPN4	0.3125
OR13G1	0.269
ZPBP2	-0.282333333333333
HSD17B11	-1.073375
C9orf50	0.0785
DHDDS	-0.152
CTSW	2.5783
NEFM	-1.11633333333333
MRPL28	-0.5385
SYN1	0.366666666666667
PIGV	-0.311333333333333
ZIM2	-1.07775
APBB1	0.31
SND1	-0.33425
C1orf123	0.0901666666666667
CHD3	-0.71375
BHLHB8	0.28475
RNASE2	1.45833333333333
BCAP31	-0.078125
SLC25A44	0.824666666666667
CHD6	0.3761
PIB5PA	1.15815384615385
SELS	0.6315
LOC541471	-0.13025
FAT2	0.5775
ZNF81	0.106
OR4C16	0.4775
FLJ10081	-0.7124
LRRC4	0.5865
CS	-0.788666666666667
N4BP2	-1.15075
IGFBP7	2.45975
ZNF318	0.0236666666666667
NDNL2	0.135625
ZNF609	-0.29275
SIRT4	-0.73775
EXOSC10	0.04825
ECE2	0.2445
OVGP1	0.13575
GTPBP3	-0.69425
PACS2	0.2441
C19orf36	0.175666666666667
ARL4C	-0.276375
ATG4B	-0.64375
UBQLNL	-0.12825
RHOXF2B	-3.7045
PLEKHG2	-0.1265
GALR1	-0.087
AQP4	-0.13
HDAC7A	-0.441833333333333
DCUN1D3	0.0925
OR8A1	-0.066
CCRN4L	-0.08475
CBR4	-1.6285
KIFC1	-1.12083333333333
SLC7A14	-1.2182
LHX5	0.89
TRPC7	0.161
LPXN	0.485
SERPINA1	0.1195
RPS13	-0.3418
BPIL3	0.1735
PRKAA1	-1.29625
FADS2	2.5896
ENAH	0.8426875
PRO1768	-0.3875
APBA2BP	-1.07475
LIPH	0.518166666666667
C3orf33	-1.1055
RCC2	0.170785714285714
ALDH1A2	-2.899
RNF103	1.61225
AHCY	-0.952125
ALG12	0.682
CCL17	2.187
ZNF543	1.27
ESRRG	1.5234
CNGA1	-1.00175
RDH5	-0.898833333333333
OTX1	-0.1316
PTGFR	-1.13416666666667
CDR2	0.52525
SELE	4.16275
NLGN2	-0.722333333333333
EXOSC9	-0.91875
ZNF566	0.387166666666667
KLRC2	-2.487
GPR12	0.696
KIAA0196	0.29525
PDRG1	-0.024
SSR3	-0.418642857142857
MSI1	-0.3495
CST9	1.181
CC2D1A	0.255375
PLAGL1	-0.392611111111111
ZNF778	-0.105
RNF2	-0.530375
KLF6	1.39083333333333
THBD	2.9195
tcag7.1314	1.74675
NR5A1	-0.250833333333333
ABCD2	0.98
DNAJC7	-2.45125
CLEC4C	0.436
TM2D3	0.37925
CCDC4	-1.0495
PLAC2	-0.3115
DCD	0.6985
FAAH	0.988625
POLA1	-0.808
TM7SF2	-0.83725
FLJ39822	-0.345166666666667
FLOT2	0.256375
MAP4K1	0.263666666666667
SRP68	0.333875
C21orf74	0.2695
ARPC5	0.83375
LOC126075	1.174
HECW2	0.757875
ZDHHC4	-0.265
ANKRD42	0.7008
PDE9A	-0.717333333333333
ABCA8	-1.326
NDUFS2	0.06525
UBR5	-0.743625
BTBD16	-2.49075
LOC554174	-0.162
ZNF20	1.3115
KIAA1843	0.4045
WDR17	-0.02725
C15orf33	0.159
RNF113A	-0.718
CAMKK1	-0.6362
CLCN2	-0.18625
ANXA6	-0.734
LOC340069	0.543
EMID1	0.98275
DPM3	0.1215
ELA1	-0.2215
SLC25A13	-1.0654
KRT24	0.81325
SMPD1	0.7435
TH	0.119875
COL6A2	1.73835714285714
ANKS1B	1.06225
GPR126	-3.1487
ZC3H12A	0.0426666666666667
TMEM47	1.93016666666667
C2orf51	0.220166666666667
C1orf88	2.41533333333333
HSF2BP	-0.38075
AKAP10	0.3175
RPAP3	-0.6335
KLHDC8B	0.63675
STOM	1.2391
MUPCDH	-0.100125
C10orf72	0.21375
PLEKHA3	0.811083333333333
TCP11L1	0.75125
CWF19L1	-0.141625
SPEF1	1.11392307692308
YSK4	0.1965
ELN	2.5883
SAMD8	-0.127166666666667
MPI	-1.72316666666667
MEPCE	-0.6638
ABCC3	2.339375
NANOGP1	-3.999
KCNK17	1.734875
HLA-DMB	4.6755
RRAGA	0.276
ANGEL1	0.166
RBM32B	-0.1725
CPN1	-2.684
MGC52282	0.1866
HLA-A	2.23383333333333
OR9G4	0.3495
EDNRB	-1.8515
SCD	-1.0455
C14orf80	-0.605
BAGE2	-0.379
RABL4	1.7895
RCVRN	0.4645
SHANK1	0.00799999999999998
NLRP7	-1.6675
CD226	2.454
STAT3	1.583125
SYNJ2	-1.292
TPCN2	-0.4885
WDR36	-0.716166666666667
MBD4	0.02775
ROBO1	-0.0813
ST3GAL6	-2.343
SLAMF8	3.82833333333333
ATN1	0.416
GPR141	1.19625
KRT36	0.703
TPH1	0.1615
DDX52	-0.1135
ZSCAN29	0.0553333333333333
TRPT1	-1.0645
DPEP3	0.7405
DENND4A	-0.306875
