Hybridization REF	TCGA-B6-A0WW-01A-11R-A109-07
KIAA1183	1.0875
ASB4	0.06425
CCL23	0.2038
OBSL1	-0.57975
SLC12A7	1.21933333333333
KIAA0240	0.614125
CD1B	-2.79566666666667
FCGR2A	1.0655
MDC1	-1.5265
HTR1A	0.246333333333333
OCEL1	1.2655
ATP11B	0.302625
FBXO34	0.252
PCDH12	3.44383333333333
RPE	-0.7385
C17orf74	-0.0345
CSDC2	0.273166666666667
PET112L	0.7015
TMBIM1	1.138125
P2RXL1	-0.116
TCHP	-0.3205
TRMT1	-1.2585
F2RL2	0.15825
LRRC32	2.61133333333333
IMPG2	0.395
BGLAP	0.3255
LOC493869	-1.33041666666667
MRAS	1.0335
SLC35F5	0.937
CBWD1	0.2965
AXL	-1.612625
ATP2C2	1.967
TELO2	-0.13475
PNPLA3	-4.8405
PCDHB14	2.04525
CD276	1.0355
KRT80	0.033375
DUSP28	0.6225
CSNK1E	-1.11808333333333
SRP14	1.169
KCNQ4	-0.431
KRT72	0.0683333333333333
CCDC117	0.344875
C6orf89	0.290333333333333
TUBB2B	-2.42916666666667
RTN4IP1	-0.39125
CR1L	-3.563
CEND1	0.327125
C12orf41	-0.210333333333333
RNF31	0.73975
UBN1	0.234
C17orf32	1.343125
SLC5A7	0.23625
GPR92	0.427666666666667
ESAM	2.2189
CTNNA1	0.72525
HRBL	-0.2295
CBX4	0.628
TMEM182	0.35475
SH3TC2	-0.836333333333333
IL10	0.895666666666667
PXMP4	-1.9535
RNF167	0.6611
PAK7	0.281166666666667
ETV3	0.155
ATPIF1	-0.946666666666667
LOC554207	-1.02283333333333
OR8H1	-0.000500000000000014
WDFY3	1.425125
DPM1	-1.57375
GPSM1	0.347
WDR92	0.1898
LRP1	0.506333333333333
ANKH	-1.1145
THUMPD3	-1.182
POLR1B	0.003
OLFM4	3.35683333333333
RAD9B	0.077
TSPY2	-3.6555
PAX6	-1.17766666666667
SCG2	-3.269
SLC17A6	-0.128
FMO3	2.3965
PADI4	0.17375
TUBB4	-0.8841
NLK	0.09125
POU4F3	-0.5835
SDF4	-0.2195
ITGBL1	2.77016666666667
NETO1	-0.905
TAP2	0.509125
ABBA-1	0.0209166666666666
GNAI1	-1.32525
VPS4B	0.03025
NOPE	-0.3186
GALNT6	2.87866666666667
SESN1	1.411875
GBE1	-2.479
CLASP1	0.464
RASGEF1B	1.014625
ACOT11	-0.208428571428571
AFAP1	1.48225
OR2H2	0.2055
DPY19L2P1	-0.76925
DZIP1	-2.32975
SEC22C	-0.09175
GPR161	-0.723083333333333
RNF146	0.287
WDR74	-0.85575
GALP	-0.799
PURA	1.4675
DNPEP	1.01991666666667
RP11-78J21.1	-1.37275
ERBB2	2.562375
FANCM	-0.91
NEO1	0.512
DDX3Y	-4.7834
RPS3A	-0.496
MXRA7	0.9205
LGALS3	-1.8985
GLT8D1	-0.506
CFL2	-2.03566666666667
UPB1	0.37575
NAP1L5	-0.35875
CLDN14	-0.82375
DHX38	-1.0235
BTBD1	-0.482
TARS2	1.41766666666667
ABCF1	0.1875
FCF1	-0.211666666666667
LRRC49	-0.25775
GUCY1B2	1.2315
C1orf177	0.4785
SMARCA4	-0.165857142857143
LRP8	-4.27416666666667
TAGLN3	-0.45025
MRPL14	0.1555
TTRAP	-0.15825
ZDHHC20	0.197
NFE2L3	-1.79825
KIAA1377	-0.590125
PALMD	0.1342
TMEM43	-0.8735
TTL	-1.05325
STAT5B	-0.318833333333333
SSB	-1.052375
OR10H5	0.318
SLC22A13	-0.41775
AKAP3	-0.55525
TIMM23	0.364166666666667
OAS2	2.52858333333333
KIAA0423	1.0895
TRIM11	1.22833333333333
GLIS3	1.320125
TMEM50B	-0.0173333333333333
ARHGEF4	-1.659125
DEGS1	1.28672727272727
TBL1XR1	0.6136
G6PD	-2.05375
SP140	0.7447
MUC17	-0.160571428571429
NUDC	-0.2267
DNAJC5B	1.70466666666667
SCARA3	-1.038
CPA3	5.45916666666667
BCAT2	0.589375
MFN1	-0.0412
NRG3	0.376
SNX11	1.004
PLEKHH1	-1.066
GPR177	-1.43433333333333
HCFC2	0.056
TCAP	-0.914
MOCOS	-0.929
C14orf93	0.05625
PRDM10	-0.588
SLC16A4	1.00966666666667
SRGAP1	1.03283333333333
VIP	0.50375
DUSP27	0.2455
LILRA1	0.2844
MC2R	0.4025
MGC24103	-1.43475
MBTD1	-1.5995
FUT11	0.0368333333333333
USP33	-0.037
C15orf39	-0.40475
MAP3K12	-0.1505
PAAF1	-1.67866666666667
BARHL1	-0.05
FLJ16165	0.3425
PIWIL2	-2.9385
SYNE1	0.247583333333333
CMTM4	-0.37875
TSPYL1	1.0085
GUF1	-0.354666666666667
TMEM157	1.984
WDR44	0.18725
HIST1H3C	0.186
DKFZp666G057	1.36025
RNPEP	1.29175
GAS2L2	-0.0226666666666667
ADH4	-4.6255
GRPR	1.14183333333333
FBXL17	1.0055
ZBTB10	1.46916666666667
Gcom1	0.0518333333333333
HTRA1	1.6665
ZNF585A	0.321166666666667
SLC26A2	0.2435
OTOP3	0.3065
WISP1	2.54266666666667
ATP2B4	0.134083333333333
FLJ10769	0.68175
CRAMP1L	-0.447
CHST12	-0.1495
RAB22A	0.171166666666667
TARDBP	-0.513
STAU1	-0.01075
CRB3	2.70866666666667
MIG7	-2.60275
CHMP1A	0.1405
ZNF160	-0.0895
B3GALT6	-0.131125
BARX1	-1.355
C6orf167	-1.48825
NXNL1	0.644
DHX29	1.01625
HADHB	0.345
PLXNB2	0.304125
ILDR1	-0.58075
SLC15A3	2.919
GAS2	-2.9075
C20orf69	-0.1525
NUMB	-0.59725
TNIP1	0.366375
MESP1	0.147
PSKH1	-0.3835
NSFL1C	0.571125
RHOG	0.10525
HEY1	-2.18716666666667
KNG1	-1.700125
ITGAX	1.1711
LIN9	-0.9815
CANT1	1.2805
XRN1	0.257428571428571
CCDC96	1.8413
HEATR6	-0.424333333333333
GNG7	-0.186083333333333
RUNX2	0.8191875
SOX1	0.1435
FCRL5	-0.0024
ZNF99	-0.402375
FAM9A	-0.9285
SNX22	1.56583333333333
MBNL3	-2.56083333333333
ODC1	-3.1583
ADORA2B	-0.503666666666667
NR2F6	0.60425
ZFYVE16	0.469277777777778
SYNJ2BP	1.0382
POLE	-0.568125
E2F2	-1.554
THRA	0.201333333333333
PTGES2	-0.493833333333333
HIP1R	0.114666666666667
TMUB1	-0.473333333333333
ENO3	-2.32975
RSPH10B	-0.8415
CXorf39	1.047
IRGC	0.316
GPR109B	0.20425
FLJ13305	-1.3825
LCE3A	-0.6705
TNFRSF18	-0.769666666666667
DET1	-0.44925
TRPM3	-0.01825
C16orf79	-1.5655
FECH	-1.03483333333333
RAP2A	-0.822833333333333
CRIP1	3.842
AZIN1	1.443375
SLC7A7	2.90575
IL10RA	0.2679
TMEM64	-1.163
CDC42EP4	0.76
C16orf58	0.0461
ARG2	-3.3465
POU5F1P4	-4.7045
FAM62B	-0.06025
DNAH8	-1.7713
ASH2L	0.93225
TSLP	-3.55166666666667
CNTNAP5	0.356166666666667
TMEM16C	-0.8305
IFNA14	0.42
SLC1A3	-0.123375
CABYR	0.8215
BCL7B	-0.1645
NUDT13	-1.45366666666667
C13orf28	0.958
C1orf53	0.25525
ARL6IP4	0.6279
RPL35A	-0.71125
EMR3	0.3425
RAB40C	0.261583333333333
SLC41A1	0.5215
LRCH1	-0.00775000000000001
LY6G5B	-0.817
FAM124A	-0.0725
MGC10981	-4.00733333333333
CLIP3	0.4641
MAP4K2	0.0263333333333333
CHIC1	0.827
SULF1	3.81216666666667
C20orf30	0.129142857142857
PRDM5	-0.2655
ELOVL1	-0.363
C11orf48	-0.386875
SLC39A10	0.5725
KCNV1	0.1595
ACP1	-0.801166666666667
ZMYM2	-1.042
B3GNT6	0.0363333333333333
C9orf69	-0.4235
C2orf15	1.34375
C20orf166	-0.7
HSP90AA6P	0.36
EDG7	-0.5075
NEURL	0.770875
LPL	-0.0841666666666667
CLEC2D	-0.675357142857143
GRRP1	0.811833333333333
CD8B	-3.6882
HIST1H3D	-0.258666666666667
SLC6A12	0.26275
FAM27L	0.7595
CD84	1.4615
RASA1	0.2645
PHKG1	-0.483
MAGEA11	-1.307
IMPA1	-0.5192
NPM3	-1.67425
RARRES1	1.683
SH3BP1	-0.213375
B3GNTL1	0.0395
ARPC5L	0.222166666666667
KLHL26	0.682
SIM2	-2.214375
GJC1	0.487
C20orf194	-0.38625
EXO1	-1.4185
SLC2A2	-1.99816666666667
LOC285074	-0.99575
LRG1	2.95225
KIRREL	0.204
PIK3R1	1.44442857142857
C4orf34	1.37575
MAF	-1.48272222222222
ADCY4	2.866
ZMIZ2	0.1704
SLC46A3	0.7735
STAMBP	0.506166666666667
CCDC16	0.17075
MS4A12	0.46
TCF20	-0.73875
LRRC46	1.87075
C20orf152	0.54825
MRPS6	-0.563
ABCB11	0.3035
KCNC2	0.104
CDH19	-2.02216666666667
C9orf123	-0.258166666666667
SSH3	1.979875
LDLRAD1	-1.9095
CCBE1	-0.93675
ZNF135	1.336875
TAAR1	0.1215
WFDC12	0.1615
CCDC42	0.162
FLJ12529	-0.9025
PER1	-0.840166666666667
TIMM50	-0.141666666666667
SMARCAD1	-0.439
FAM26C	0.923
TP53TG3	-2.79283333333333
SH3RF1	1.7913
LMCD1	1.382
GPR63	-0.598
FLJ21986	-2.565375
AIFM3	0.2135
MICAL1	-0.929833333333333
BLZF1	1.46566666666667
IQCA	4.16233333333333
PCDHGC3	-0.6335
SAC	0.21375
BCL6B	2.017
DDO	1.1065
MARCO	0.53125
DCHS1	1.7815
C1orf170	0.458166666666667
CD200R1	0.481166666666667
C22orf15	-0.481
SEPT11	0.3
ADNP	0.4175
UST	-1.0955
C13orf34	-2.04333333333333
RFFL	0.205928571428571
APBA3	0.5545
C2orf60	-0.26875
CUTL1	0.5481
PMS1	-1.215125
ZNF689	-2.3205
EIF3E	-0.576333333333333
IL9	0.0961666666666667
RPL31	-1.01875
LY9	-0.489166666666667
ATP2B3	-0.0825
KDELR2	0.533833333333333
TFCP2	0.579625
NLRP12	0.131875
FLJ45422	-0.35
TLE4	-0.7796
ZNF570	-0.1805
FLJ43806	-1.486
TLK2	-0.033625
CIR	0.432
MARS2	0.0985
COL24A1	1.43325
SDF2L1	0.7165
HIBADH	-0.484166666666667
IGFBP3	-1.65821428571429
C12orf23	0.98925
PSPC1	-0.621
C20orf43	0.375
TRAV20	0.281
ARHGAP24	0.909625
KIAA1975	-1.107125
C1QA	3.1307
DNTT	-4.17133333333333
C10orf6	0.33275
C11orf41	0.111875
HNRPF	0.4355
COL11A1	6.682
UBAP2	-0.6895
CDKN2AIPNL	-0.8365
C20orf174	0.459
SPRED2	0.245
PLA2G12A	0.622666666666667
ICEBERG	-1.3895
SCN10A	0.2705
C11orf65	-0.5575
GBP5	4.068
PITPNC1	-2.60333333333333
POU3F3	0.995
NCOA7	-0.294625
LIN7C	-0.6813
LOC348840	-0.422
NKX2-2	-1.23975
ANKRD13D	1.316625
LOC123688	-0.5925
FUT2	1.02216666666667
TAAR8	0.55
FZD4	-0.710083333333333
PNMA3	-1.93366666666667
OR4L1	0.201
WIT1	-1.40525
EXOC3L	1.94875
ATPBD4	-0.2553
KRBA1	-0.4635
UBXD6	-0.55375
HOXB7	0.123714285714286
C7orf23	-2.5765
UNQ338	-0.515
STAB2	0.18975
CDC20B	-0.0005
IRF9	2.966
CENTG1	-0.1805
TNPO2	-1.2755
MCPH1	0.126375
BMS1P5	-1.74475
SLC26A7	0.53325
HIST1H3J	0.801
C9orf3	0.7705
LBH	1.341625
MYO1D	0.4085
PTDSS2	-0.2685
NFU1	0.61975
DEPDC4	-1.47475
WNT7B	1.0572
GLP2R	0.028
SETD4	-0.8771
DYNLT3	-0.8238
FKBP11	-0.9745
SESTD1	1.12983333333333
FLII	0.15725
RPS16	-0.784
CHPF	0.0153333333333333
CSNK2A1	0.231166666666667
SUMO1P1	0.0135
FKBP6	-0.3055
ZNF214	-0.914833333333333
TWIST1	0.1122
DDX56	-0.348833333333333
TRAM1L1	2.6215
EPO	-2.407
MRPS18B	-0.48175
ZNF682	-0.345
RPL14	-1.54533333333333
MAFF	-0.99525
LOC51136	-1.349375
LY96	0.02025
DDX20	-0.8985
ABTB1	0.901
ARL5A	0.0146
CCT6A	-1.16625
HEPACAM	-1.24433333333333
EHHADH	-0.771833333333333
RBAK	-0.113166666666667
CGB1	0.23275
ITGB5	1.1784
YIPF3	0.8945
FKBP2	0.43375
NR1D1	-1.1215
TMEM110	0.6955
NEK2	-0.312333333333333
PRAMEF8	-3.31125
C20orf52	0.138666666666667
PCDHGA3	1.413
VWA3B	-0.12125
NDUFA5	-0.230125
THAP9	0.22775
FLVCR2	-0.150666666666667
AP1S1	-0.571
SMAD6	-0.69
SAV1	0.162
SAT1	0.438375
ZNF251	0.40575
ADAMTS7	0.5957
RPP38	0.27625
C1orf211	-0.987
YPEL2	1.0565
RBMS1	-0.79675
ZNF445	-0.4155
NRXN2	0.604666666666667
PGBD4	-0.12675
UGT2B28	-3.1535
WBSCR16	-0.7977
NLRC3	-0.24675
ASTL	0.3395
ST6GALNAC1	-2.3155
ZADH2	-0.6375
MLLT4	0.97725
ARL6	0.3395
MEF2C	-0.50525
CBFA2T3	-3.2455
AFF3	2.76492857142857
COG7	0.692833333333333
MYB	-0.00416666666666667
PLXNA3	0.018
XRCC2	-1.8455
MMS19	-0.492
ST8SIA5	-0.443375
CHPT1	-0.921166666666667
KIAA1712	-0.172125
OR6X1	0.291
ACTR3	0.202375
UGCG	1.1225
OR4P4	-0.3115
ZAP70	-3.407
LPP	1.098
ZNF485	0.03825
PTPRCAP	-0.524
IL12RB1	0.4185
ATRX	0.2168
CHST8	-1.510375
C14orf109	0.243
ARV1	0.804
NMB	-2.01085714285714
COX5A	-0.618333333333333
EIF6	-0.4645
MPPED2	-0.122166666666667
SEMG1	-1.11
CHRDL1	0.179
TRAF3IP2	1.22075
WNK2	0.024375
LILRA4	1.20566666666667
LAMA2	3.0545
PXT1	-0.6285
RLBP1	-2.838
CD300C	-0.005
SLTM	0.019
FLJ10404	-0.1729375
APOBEC3D	-3.88783333333333
RENBP	0.005
ATXN7L1	0.318125
NID1	0.32625
TUBGCP3	-1.29525
ITIH5	0.221222222222222
CCDC110	1.7835
C8A	-3.0145
MGC87042	-1.5065
HOXC13	2.74125
TFDP2	-0.5035
HCP5	1.705375
POLI	-1.201
UCN	-1.50983333333333
ZNF764	0.422333333333333
C8orf45	2.142
FHL3	-0.55525
SPATA5L1	-0.772
MMRN2	2.67033333333333
NDST1	0.783333333333333
COL20A1	0.0278333333333334
ZNF248	-0.126
PELP1	-0.134
MBL2	-1.966
RNF41	0.37925
C5orf24	0.666875
THOC5	-0.645
SERINC3	0.578333333333333
RP11-151A6.2	1.8105
CDCP2	-0.041
HIST1H2AA	0.3175
C11orf75	-0.664
FKBP7	-0.415
DDOST	-0.73625
GPNMB	0.353
TTF2	-1.807
KCNT1	0.3095
SLC39A14	-1.09125
NGRN	0.6962
GPR137B	3.11875
MECP2	0.196875
PSMA1	-1.2525
C16orf73	-5.08425
TMEM60	-0.599333333333333
CSN3	0.7485
NOS1	0.171666666666667
RAB7L1	1.4285
YBX2	0.44
KIAA1166	-1.0865
FUBP3	0.128666666666667
ABCG1	2.5735
ACACA	-0.0424166666666667
ARL11	1.4995
ATOH1	-0.0645
ODF1	-0.0723333333333333
CREB3L3	-1.68833333333333
TMEM127	1.53421428571429
DSCAML1	1.13875
PLN	1.8535
LYPLA1	-0.718
PRDM9	-1.4045
SASP	-1.4895
PLUNC	-0.0015
INTU	0.593
HISPPD1	-0.75025
LNPEP	0.981666666666667
YARS2	-0.186
APCDD1L	-1.065
ZCCHC4	-0.1857
FBXO22	0.542166666666667
TTLL13	-0.293
ZNF669	0.364166666666667
PTGDR	1.5265
DDX27	-1.11925
KIAA0409	-0.686833333333333
GJB6	-0.1045
ASB8	1.414
PLP2	-0.165166666666667
MEPE	0.11975
OR10J5	0.493
KRT222P	2.721
COQ7	0.794833333333333
C1orf101	0.75125
RERG	3.1753
CHMP5	-0.127875
THAP11	-0.165875
ZNF43	-0.678833333333333
ZRANB3	-0.588
KRT13	-0.1245
MRPL19	-0.1385
RBBP9	0.123375
SPATA17	0.89975
BXDC5	-0.521833333333333
PAFAH1B1	-0.0638333333333334
MAGEE1	0.73475
OSTF1	0.20875
KIAA0323	0.239
TXNDC13	-0.575833333333333
CNTN4	0.165875
LCE1B	0.432
UNQ501	1.84575
ZNF154	0.07775
C3orf64	-0.55975
SYT5	0.3155
PON1	2.76333333333333
FLJ10357	-0.494375
ATP4A	-1.6565
GNPDA1	0.108666666666667
MGAT1	0.899333333333333
C14orf121	0.144
SLC35B2	0.11975
MIER3	0.351166666666667
CHEK1	-3.52625
ZNF8	0.209833333333333
TXNDC1	-0.986166666666667
CKB	-2.0632
RTN3	0.545285714285714
FZD2	-0.269333333333333
PART1	0.100625
PSMB6	0.38925
PCDHB8	2.671
PHC3	0.476
PPP1R8	-1.02316666666667
NOVA2	1.40266666666667
TNFRSF11B	-4.515
GOLPH3	0.8275
UBLCP1	-0.81425
SUHW3	-0.95175
TTLL1	0.73025
OPN4	0.402
OR13G1	0.31
ZPBP2	-0.208333333333333
HSD17B11	-2.302
C9orf50	0.072
DHDDS	-0.238071428571429
CTSW	0.0857
NEFM	-1.9695
MRPL28	0.20225
SYN1	0.4585
PIGV	-0.510166666666667
ZIM2	-1.0925
APBB1	-0.5715
SND1	-0.24925
C1orf123	-0.345
CHD3	0.538
BHLHB8	0.28175
RNASE2	-0.339166666666667
BCAP31	0.663
SLC25A44	1.4655
CHD6	0.6698
PIB5PA	2.35830769230769
SELS	0.595375
LOC541471	0.2195
FAT2	-0.0855
ZNF81	-0.0285
OR4C16	0.558
FLJ10081	0.1281
LRRC4	0.3745
CS	-0.0911666666666667
N4BP2	0.00175000000000001
IGFBP7	1.93225
ZNF318	0.4015
NDNL2	0.578875
ZNF609	0.536
SIRT4	-0.033
EXOSC10	-0.64375
ECE2	0.00816666666666667
OVGP1	0.418
GTPBP3	-0.712
PACS2	-0.1945
C19orf36	-1.19483333333333
ARL4C	-0.675
ATG4B	-0.144
UBQLNL	0.0695
RHOXF2B	-3.788
PLEKHG2	-0.731
GALR1	-0.778
AQP4	0.442333333333333
HDAC7A	-0.153
DCUN1D3	0.1085
OR8A1	0.351
CCRN4L	0.5305
CBR4	-0.374333333333333
KIFC1	-2.25
SLC7A14	-0.901666666666667
LHX5	0.366
TRPC7	0.259
LPXN	-1.278
SERPINA1	-2.50525
RPS13	-1.7008
BPIL3	0.2075
PRKAA1	-2.07
FADS2	0.5075
ENAH	1.121
PRO1768	-0.1125
APBA2BP	0.55025
LIPH	2.0925
C3orf33	0.381
RCC2	-0.139
ALDH1A2	-3.3972
RNF103	2.17775
AHCY	-0.516625
ALG12	0.26
CCL17	1.45075
ZNF543	1.33633333333333
ESRRG	1.5715
CNGA1	-0.89475
RDH5	-1.43783333333333
OTX1	-0.9639
PTGFR	-1.729
CDR2	-0.0555
SELE	3.00375
NLGN2	-0.908333333333333
EXOSC9	-0.7265
ZNF566	-0.294166666666667
KLRC2	-5.2055
GPR12	0.6445
KIAA0196	2.01675
PDRG1	-0.3425
SSR3	-0.209
MSI1	-0.5995
CST9	1.1505
CC2D1A	0.19375
PLAGL1	-0.785222222222222
ZNF778	-0.683
RNF2	0.06975
KLF6	1.001
THBD	0.849666666666667
tcag7.1314	1.69125
NR5A1	-0.042
ABCD2	-0.275
DNAJC7	-1.89425
CLEC4C	0.393
TM2D3	0.302875
CCDC4	-0.5795
PLAC2	-3.1865
DCD	-0.127
FAAH	1.95
POLA1	-0.4955
TM7SF2	0.00725
FLJ39822	-0.00500000000000001
FLOT2	0.213375
MAP4K1	-1.0385
SRP68	0.41625
C21orf74	0.0625
ARPC5	0.38375
LOC126075	2.375
HECW2	0.826125
ZDHHC4	-0.02825
ANKRD42	0.7055
PDE9A	-1.41083333333333
ABCA8	-0.86925
NDUFS2	0.7125
UBR5	0.727625
BTBD16	-2.6215
LOC554174	0.2155
ZNF20	1.075
KIAA1843	-0.201
WDR17	-0.88225
C15orf33	0.157
RNF113A	-0.5635
CAMKK1	-0.8179
CLCN2	-0.49575
ANXA6	-0.964
LOC340069	0.3765
EMID1	0.501625
DPM3	0.28575
ELA1	-0.1095
SLC25A13	-0.8814
KRT24	3.87125
SMPD1	0.301666666666667
TH	0.39225
COL6A2	0.972642857142857
ANKS1B	1.002
GPR126	-2.6676
ZC3H12A	-0.902
TMEM47	0.186
C2orf51	-0.198
C1orf88	1.4115
HSF2BP	0.673
AKAP10	1.4165
RPAP3	-0.406
KLHDC8B	0.4285
STOM	1.2179
MUPCDH	-0.12325
C10orf72	0.035
PLEKHA3	0.802916666666667
TCP11L1	-0.2565
CWF19L1	0.37875
SPEF1	1.56853846153846
YSK4	0.1385
ELN	1.616
SAMD8	0.402166666666667
MPI	-0.810166666666667
MEPCE	-0.242
ABCC3	-1.5035
NANOGP1	-3.7265
KCNK17	0.656
HLA-DMB	3.50283333333333
RRAGA	0.45725
ANGEL1	-0.29525
RBM32B	0.0815
CPN1	-2.8235
MGC52282	-0.5629
HLA-A	1.58183333333333
OR9G4	0.3305
EDNRB	-2.012625
SCD	-0.524
C14orf80	-0.783166666666667
BAGE2	0.1675
RABL4	1.3705
RCVRN	0.055
SHANK1	0.1665
NLRP7	-3.027
CD226	0.51325
STAT3	1.3935625
SYNJ2	0.1947
TPCN2	0.538333333333333
WDR36	-1.02025
MBD4	0.0815
ROBO1	-0.9923
ST3GAL6	-3.40575
SLAMF8	2.85316666666667
ATN1	0.574166666666667
GPR141	0.216
KRT36	0.393
TPH1	-0.063
DDX52	-0.10175
ZSCAN29	0.537333333333333
TRPT1	-0.183166666666667
DPEP3	0.637
DENND4A	-0.394
TSPAN16	0.0285
PTCHD2	-0.1475
LOC145814	-0.75725
CAP1	0.11
EIF5A2	-0.558
NT5DC3	-1.21725
SEPT9	-0.785375
SEZ6L2	-2.6725
EGFLAM	3.6905
VPS11	0.324625
NDUFB5	-0.273166666666667
CIDEA	0.250666666666667
IER5L	0.943
N6AMT1	0.24725
FAM83C	-0.0935
OXR1	1.04908333333333
IRX1	-0.142
DGKB	-0.095
GCN5L2	-0.59825
MIR16	0.760375
FBXW9	-0.18975
WDR4	-2.32016666666667
PDC	-0.073
VPS33B	-0.6555
HEXB	-0.3575
FLJ32214	0.7805
TCEB3	-1.02125
CRLF1	-3.77825
ABI3BP	0.11525
C8orf22	-3.9555
PYCR1	-0.78075
KIAA1706	0.23875
CDK5R2	0.675125
WAS	0.0995
C12orf60	0.4595
CCBL2	-0.7315
MADD	-0.5175
C5orf34	-2.06325
WDR42A	1.1014
KLF12	-0.628125
HSPA1A	3.88925
ITM2C	-1.74475
DAPK2	1.52866666666667
LOC442590	-0.3715
SUMF2	-0.279
CENPA	-1.92938461538462
TMED5	-0.755375
CDH6	-0.0352
BRP44	1.59875
THG1L	-1.719
GABRA2	-2.21625
C14orf166	0.0985
MYL1	-1.24983333333333
TNFSF18	-0.057
PAP2D	-1.26816666666667
PPIB	-0.254
KLHL4	-0.708
SFN	-0.136833333333333
CCDC127	0.865
FRAP1	-0.6165
GOLGA5	0.5325
SDCCAG1	0.117625
MGC21675	0.146166666666667
C10orf95	-0.26575
KIAA1345	-0.310666666666667
C1orf163	-1.6905
LACE1	-0.391666666666667
OR10K2	-0.1505
CENPN	-2.831
TMED2	0.7025
UGT1A6	-1.5385
ANG	-0.13225
U2AF1	-1.951
CASC2	0.196666666666667
NMT2	-2.02066666666667
OSGEPL1	0.375875
DFNB31	-0.4115
SLC6A20	1.36675
DKC1	-1.39025
FXYD4	-0.4505
WDR64	-0.10975
MGC5590	0.371
CREBZF	-0.8745
DAZ1	0.17725
PRPSAP1	-0.405
GCHFR	-0.76775
TTC7A	-0.73725
LOC196993	0.6595
UBD	1.68416666666667
S100A1	-0.863875
RPL6	-0.185833333333333
DNAJB6	0.42475
NAGS	0.4421
C2orf58	0.067
KERA	0.526166666666667
MT1X	-0.845
UBE2B	0.7113
KEAP1	0.48375
MST1	-3.6455
OMA1	0.0685
ABLIM2	2.00475
BCL2L13	0.0730833333333334
JAZF1	-0.357333333333333
TMEM63B	1.319
S100A8	-0.6527
ARFIP2	0.27
UROS	1.00625
KHDRBS2	-1.1165
POLQ	-2.3735
SOAT1	-1.235
SPAG4	-1.71325
MRPS30	-0.796
LOC494141	0.26225
OR2T11	1.724
ORAOV1	1.3429
ZNF184	-0.314
TCEB3B	0.0365
ADAM21	0.9995
GDPD1	0.515
SPINLW1	0.57275
PRR14	0.249166666666667
KCTD9	-1.5502
NUDT3	0.89
KIAA1822	1.1106
HIST1H4K	1.5895
DFNA5	-2.58375
GABPA	0.16175
C14orf44	0.4575
POLB	1.78025
PTAR1	-0.58775
SEC31A	0.9781
TRIM58	-1.50025
TAS2R14	-0.456
VPS8	1.23725
H1F0	0.525333333333333
PRKCB1	-3.93383333333333
UGT2A1	0.42
TOR1B	0.9425
LSS	-1.70116666666667
C2orf19	0.428
HNRNPC	0.652642857142857
TMEM100	-2.491
LOC116349	-0.0125
OR51M1	0.08
CCDC142	-0.4475
ISG15	2.810875
ZCCHC14	-0.17075
CREBL2	0.963375
TGDS	-2.0835
DC2	-0.71925
CACNA2D3	-1.73114285714286
ZNF429	-0.332375
LYPD6	1.05116666666667
SUCLG1	0.258666666666667
OR51I1	-1.1715
MAGEH1	1.479
PRPF40A	-0.289
SMR3A	0.337
SPINK2	-0.8845
THAP2	1.309
NPY5R	-0.84575
IRF4	-2.710375
SPESP1	2.37166666666667
OR10S1	0.568
DTD1	-0.9595
TUBE1	-1.33775
DDX19A	-0.9775
PDPN	-0.8385
TMEM34	1.20175
MGAM	-0.24025
COL3A1	5.37472222222222
GFM2	-0.288
OR5A2	-0.069
PSG9	-1.1065
ARHGEF11	0.669833333333333
IVNS1ABP	-0.95325
SIGIRR	0.81625
DUSP19	0.05175
DNAJC14	0.8024
ACSS1	0.9935
IL1RAPL2	0.57
C4orf30	-0.7685
SEPT4	2.309
LANCL3	-2.24575
SPAG17	1.87816666666667
PRDX3	0.440875
HNF1A	-0.381
P4HA2	0.282
RFWD3	-1.09183333333333
MOV10	-0.31225
DNAJA5	0.690142857142857
LOC729440	0.5275
LOC200383	0.51025
SMC2	-1.71325
MIXL1	-1.2075
TMEM9	1.26925
FAM86A	1.5555
ZNF174	0.5529
MYH14	-0.097
CCR8	0.18575
VPS37C	1.27583333333333
GPATCH1	0.2785
B3GNT8	1.8685
TBX4	-0.30625
CNR2	0.392833333333333
PCDH1	1.57525
C5orf29	2.63
OCIAD2	1.0605
PLCG2	-0.425
KIAA0247	1.89875
HRH3	0.2324
CAPN13	4.114375
CCR1	-0.2339
MGC15523	0.149611111111111
UVRAG	0.1065
DNAJA2	-0.604833333333333
ITGA2B	-0.922166666666667
CLDN5	3.484125
PTPRN2	-2.34471428571429
ZNF512	0.587
PSAP	1.01535714285714
CCDC140	-0.3925
LRRC55	-0.06675
CYP26C1	0.2655
C8orf47	-0.51875
LYN	-0.248125
DUSP6	-1.40816666666667
TGFB3	2.8932
ELK1	-0.6146
PCDH11Y	-0.370166666666667
HGD	1.152
C17orf58	-0.08825
MYO3A	0.314
SERPINE2	-4.61566666666667
AARSD1	-0.4515
C14orf73	-1.70925
ADAM33	-0.3705
ZNF491	0.521
MAPK6	-0.932666666666667
TCN1	0.2855
SLC24A6	0.418
UBE2R2	0.14225
H1FNT	0.51925
TATDN2	-0.398833333333333
LILRB1	0.79225
P2RY5	0.279
NUCB2	-0.14575
C2orf37	0.977
SNX27	1.23666666666667
MTA3	0.827625
FOXO4	0.3685
