Hybridization REF	TCGA-BH-A0HK-11A-11R-A089-07
ACIN1	-0.834833333333333
SPATS1	-0.303
XKR8	-0.433
FAM84A	1.63483333333333
MS4A7	4.49381818181818
AGXT2L2	0.236
OR1F1	-0.0335
SMAP1L	-0.0805
IPO11	1.830125
ZC3H11A	-0.1470625
C1orf151	0.374625
RNASEH2A	-2.399
CCR10	-0.581
TXNDC11	0.207583333333333
TMEM112	0.498375
MAP1B	0.800142857142857
NVL	-1.10925
PKM2	-1.5497
ARC	1.55125
NUP54	0.0905
PPFIBP2	1.38066666666667
STAT2	0.920125
PTAFR	1.64566666666667
ROBO2	0.65025
RNF40	-0.436333333333333
CCDC135	-0.426833333333333
IFT81	-0.4052
MORF4	0.44975
TM7SF3	-0.452
OR10H3	0.1315
ABP1	-0.154875
CHRD	0.562125
PLEKHA8	-0.306166666666667
NCALD	3.76433333333333
OR5AK2	0.43475
ACCN1	0.454333333333333
SLITRK1	-0.26525
ARMET	-0.5615
C9orf52	0.655
REEP4	-1.678
MTSS1	0.712875
ADH1B	4.334
DLD	-0.314
CDK5	-1.43325
PPFIA1	0.0576875
WFDC3	-0.18775
DNAJB12	0.945428571428571
RANGRF	-0.319
MLANA	-4.9515
AMY2B	-0.2015
KIAA0319	-1.532125
RPS7	-0.3085
JAK3	-0.1099
ARFGEF1	0.1905
CXCL5	0.336083333333333
TRAPPC4	-0.92575
CETN2	0.76125
HSPC111	-1.052
RHOBTB3	-1.6678
PHLPP	0.217
RGS10	0.7685
TMEM58	0.72475
CHERP	-0.053
HSP90AB3P	-0.316833333333333
FSTL3	-0.120833333333333
PEX11A	1.24875
OR5V1	0.611
FCN3	1.25325
PTPN3	0.396625
NPTX1	-5.2475
C21orf84	-0.1395
C11orf51	-0.368875
ZBED2	-0.68075
FLJ90757	0.904
NPY2R	6.42375
PLD3	0.55275
SYT17	1.02466666666667
SGSM2	-0.0135
OR1A2	0.45575
FOXP1	1.677
SLC5A1	3.642
POFUT1	-0.9349
EPHB6	-1.6735
MYO1G	-2.4985
STAC	0.3449
KLHL17	-1.03133333333333
RGMA	2.0291
TJP2	0.301
FAM114A1	0.1075
SERINC1	1.82258333333333
SLC9A8	-0.07625
PEX19	0.49225
EDN2	1.945
PSMD7	-0.867777777777778
C3orf41	-1.347
UQCR	-0.356
PPP1R3C	0.109
LRP4	-1.022
TM2D1	0.19
TTC17	0.6931875
C4BPB	-3.5225
CCL25	0.231
ZNF253	-0.0935
CHRNA9	-3.77775
SOX11	-0.468375
HIVEP3	0.637
CGN	1.96833333333333
C3orf35	0.020875
PKD2L1	0.78
SYVN1	-0.088625
PDE8B	0.398625
LOC439951	0.04125
LTC4S	2.37066666666667
MIF4GD	0.104333333333333
SMARCA2	1.7575625
TUBGCP6	-0.354
CABLES1	-0.174125
C16orf77	3.20566666666667
ZNF791	0.45475
FUT5	-0.6085
ADH6	-1.983
P4HB	-0.06975
CLDND2	-0.635
ALKBH8	0.9225
PLAC4	-2.14425
F11R	0.3535
MGC35295	-0.0651666666666667
PDZD4	-0.0993333333333333
LOC389073	-0.7745
FAM80B	0.185166666666667
PSMB1	-0.409875
TXN	-1.01966666666667
VIPR1	1.651
WBSCR18	0.1327
EXOSC6	-0.0751666666666667
ACTA2	3.88033333333333
SP5	-2.42383333333333
ANKRD1	-2.271
DDR1	1.4785
ATP6V1D	-0.34025
PTGS1	-0.4415
RNF157	-1.10875
DCC	0.24825
SPAG7	0.46975
FBXO18	0.173
UBE3C	-0.6129
HOXC6	0.601
LRP2BP	0.875666666666667
MYST2	-0.482
PDSS2	0.00925
ATE1	-0.18575
ARAF	-0.215
KLF10	2.77925
PLA2G2E	0.24075
ASCL1	-1.06633333333333
TSNAXIP1	0.74675
FAM131B	0.171375
IFNA10	0.775
NUP43	-0.897875
FAM44B	-0.295375
L1TD1	-5.3165
NMD3	-0.482
C18orf54	-1.4481
PHOSPHO1	-0.3235
RAG2	-0.932
EMILIN3	-0.453
METTL3	-0.77
VPS13C	0.631625
REXO2	-0.34625
ANXA4	0.59475
CA1	-0.99275
DCP1B	0.349
TULP3	-0.643166666666667
ATP2A2	0.397357142857143
ATIC	-1.2585
ADAM15	-1.2045
NPL	0.812833333333333
LGR4	0.495125
UEVLD	0.6415
GAB1	1.877
SNAI2	1.50483333333333
ZGPAT	-0.1843
SNF1LK	0.996875
DLEU1	-2.1085
UBE2Q1	0.23575
ZMYM6	0.4448125
JPH3	-2.161
FAM38A	-0.394
PXK	0.328666666666667
DENND2D	1.42875
BAX	-1.37441666666667
CP	1.01345454545455
RPL37	-0.6137
G6PC3	-0.2625
NCOA4	0.660833333333333
LRRC14	-0.29325
GORASP1	0.83525
FCHO2	1.342125
CYP24A1	-3.1317
FXYD3	1.11775
SMARCAL1	-0.11025
ABCB8	-0.456333333333333
CCDC44	-0.68275
PRDM7	-3.393
USH1C	-1.538
DNAH5	1.61266666666667
SRF	1.50441666666667
MAL2	1.07266666666667
PGPEP1	-0.16325
SIN3B	-0.76125
SEMA3C	1.33716666666667
GRAMD3	3.3665
FBXO10	-0.197125
OR5D13	0.576
FLJ31818	0.724625
CACNA1I	0.099375
S100A13	0.7275
TP63	4.15828571428571
ANXA11	1.0456
WDR66	0.482375
CSF2RB	0.0425
IFI44	0.16875
DACT1	1.9145
ANKRD23	-2.285875
ATP5G1	-1.09183333333333
C21orf70	-0.9725
PPWD1	-0.62875
DNAJC13	0.07025
PAH	-4.3055
PTCH2	0.212
TRMU	-1.8005
CCDC9	0.1225
USP3	-0.268
DCLRE1C	-0.5435
FAM55C	0.97125
FRMD4B	2.52825
CYP2R1	-0.64825
RFPL1	-0.4572
XPO5	-1.40975
ARL6IP2	0.1375
OSBPL5	1.28875
MMP9	1.62636363636364
KIAA0802	-0.865875
DHRS2	-3.92583333333333
SGEF	0.87975
TXNDC10	-0.4597
EXOC6	0.5775
RPS27	0.732
PNCK	-1.41133333333333
FSTL1	1.574
AACS	0.04975
SLMAP	1.56116666666667
SAMD4A	0.774
ABRA	-0.1255
SMARCD3	1.9975
PKNOX2	-1.19783333333333
A4GNT	0.2155
C9orf39	0.39
RALYL	0.08325
MGC33556	-2.9885
C10orf25	-0.0625
BBOX1	6.45725
NHEDC1	-0.048
XDH	2.03575
GCSH	-0.996
EDN1	2.58766666666667
MTERF	-0.688
CLK4	0.403625
ZNF799	0.191833333333333
KCNG1	-1.675
CXCR4	-0.473166666666667
PTPRR	-2.04175
IRAK1	-0.576625
LOC401397	-0.47775
TMSB10	0.184142857142857
CXCL3	-1.2424
TMC4	1.50925
OR7A10	0.015
STYK1	1.4215
CHRNA10	-0.4175
CCNI	0.98025
EP300	1.10707142857143
LOC165186	-0.039
HIC2	-2.00425
SDR-O	-0.275
OR2W1	0.548
KCNA6	0.3605
TRIM74	-1.45675
REEP6	0.92575
ATP5G2	-0.199
ERG	1.52525
TMEM42	0.105
PARN	-0.3775
SOD2	1.37625
DIRAS1	-0.373166666666667
PNPT1	-1.45875
JOSD3	-1.3735
hCG_40738	-0.605
PDE1C	0.15425
SEMA4D	0.222125
AGPAT1	-0.257833333333333
NOSTRIN	1.041875
MAP3K3	0.201166666666667
MAX	0.597357142857143
CAPS	1.15816666666667
SERPINA12	-0.2855
OSBPL8	0.856375
RICS	1.0675
NR4A2	3.23516666666667
PPCS	0.886666666666667
LONP1	-1.525
SCYL3	0.25575
HERC2P2	-0.953166666666667
FIBCD1	-1.0415
C15orf41	-0.454
DMC1	-0.941833333333333
C20orf27	-1.37725
RPS6KA5	1.7873
FAHD1	-0.614
SLC12A4	0.44175
BRCA1	-2.34625
GBL	-0.70975
SLK	0.373333333333333
NUDT9P1	0.4715
NOXO1	0.4845
USP52	-1.20975
BAZ1B	-0.827625
SLCO2B1	3.645
BBS12	1.5
LRGUK	-0.509333333333333
TERF2IP	0.362
COL1A1	2.0815
KIAA0090	0.0105
GRK5	1.29283333333333
AP1S2	-0.6893
TMEM52	-1.28716666666667
CA11	0.877625
OR4A15	0.603166666666667
ACBD3	0.7247
SPAG11B	0.1475
PRDM2	1.215
FOXP3	-0.3635
SMYD3	-0.8067
LOC389199	-0.071
LGI2	1.36633333333333
NAPE-PLD	-0.4602
ANKRD6	1.66
WDR45	0.279166666666667
SHROOM1	-0.146
PSCD3	0.4085
PYY	-0.0075
KCNC1	0.85
ARHGEF9	0.467
OR8J1	-0.00625000000000001
GPR55	-0.1265
NS3BP	-1.6645
C10orf22	0.680166666666667
NAT8L	-0.87725
DUSP4	0.4915
FOXM1	-3.84233333333333
GRAMD2	2.6442
ZBTB48	-0.460833333333333
BUD31	-0.6335
PABPC5	1.459
CCDC41	-1.4575
FBXO11	0.215916666666667
C6orf148	-0.576
RFXAP	-0.047
C6orf15	1.80666666666667
CDK8	-0.7585
C6orf70	-0.064375
TESSP2	-0.5325
ALG2	0.677
PPP1R3D	0.6135
TPM3	-0.0791111111111111
SYT13	-1.30725
EPB42	0.208
CETN3	-0.96475
PRY	0.17
NTHL1	-1.22716666666667
POLR2B	0.12
RPS28	-0.160916666666667
P2RX3	-0.0955
LYZL4	0.73125
WBP4	0.5306
PMM1	-0.44475
C11orf79	0.4055
CBLL1	-0.2745
IL1F10	1.04816666666667
VAX2	0.0945
SETDB1	-0.529166666666667
LRAP	-0.6325
GCLM	-0.158666666666667
CPEB3	2.43775
PPM1A	0.7830625
INTS1	-0.9585
CAMTA1	1.45983333333333
SAMSN1	-1.375
LOC158830	-2.66516666666667
GMPPA	-0.68225
AIPL1	-0.7765
IL24	0.0328333333333333
BDKRB1	-0.5425
MLF1	1.6827
TAF12	-0.4535
ID1	-1.629625
THADA	0.10275
PIK3CB	0.181
OR4N5	-1.212
TBC1D17	-0.341333333333333
COX8A	-1.2375
CDCA4	-1.11975
C2orf44	-1.41825
ZNF534	-1.18825
IMMP1L	-0.519
NIPSNAP3B	0.83225
FTMT	0.62
PWP2	-0.857833333333333
MMP15	-0.9446
DNAH11	-0.58275
MTMR14	0.014125
DNAL4	0.79475
IPP	-0.6335
TMEM59	1.086125
C1orf157	0.198
RGS4	-0.781666666666667
DDX18	-0.148666666666667
SNX6	0.24075
ZNHIT2	0.0966666666666667
NCDN	-0.326333333333333
FLJ33534	0.523
RAG1	-1.437375
OR4D10	-0.095
PTPN5	0.0925
POMT1	0.110875
LRRC8A	0.6791
CYP1A1	-1.82375
CAPN1	0.464333333333333
DDHD2	-0.172
GRIK2	-0.43325
GNRHR	0.13675
PPBP	2.02325
HTR3A	-0.669875
SLITRK4	1.7345
ANKRD49	-0.3765
BTF3	-0.0398
SARS	-0.08375
C13orf18	0.149666666666667
CACNB1	0.149
QKI	1.0755
SETMAR	0.615875
MAN2B1	0.410666666666667
EML3	-0.37725
ACADL	1.77266666666667
OFD1	0.186375
DEFB114	-0.8665
CGA	-4.1421
PEX16	-0.0336666666666667
LRRC10	-0.676
GNG12	0.5845
C1orf152	-0.219
CHRM1	0.1375
CD53	0.2745
DBH	-0.65175
TFAP2B	3.27175
HIST1H2BJ	-1.7055
FAM46D	0.1595
TMEM11	-0.1375
C3orf32	-3.45375
PCCB	-0.988125
IPO13	-0.24625
C6orf105	-1.91825
COMMD5	0.13675
SUV420H1	0.518
LTBR	0.7525
ARHGAP15	-0.544625
HDHD2	0.27025
TDRKH	-0.555833333333333
LOC401052	1.0645
PSG4	1.0275
GNB4	0.268
SPATA4	1.958
SLC9A3	-1.35
OSBP	0.671833333333333
NBPF3	0.0813333333333333
DOCK11	0.4355
SLC39A5	-2.23133333333333
PRR5	0.5511
C10orf63	0.575875
SMTNL2	0.5695
ADRA1A	0.279
ASAH1	1.7526
DOM3Z	-0.3542
GIPR	0.277166666666667
AHI1	-0.384416666666667
NADSYN1	-0.219333333333333
RGS14	-0.145
IL18BP	0.801
RTN4RL1	1.29066666666667
ARMC6	-0.64925
PSMD5	-0.00883333333333333
HK3	1.0833
OR4S1	1.1285
RSU1	1.866
MAD2L1	-3.50844444444444
EIF4A3	-0.25875
DLEC1	0.366333333333333
E4F1	-0.728166666666667
CHMP2B	0.7715
CAMSAP1	-0.6665
RPS21	-0.802666666666667
ARID5A	2.82725
UBE2N	0.2026
IGSF8	0.4345
MAGEB6	-1.408
ACAD11	-1.0254
MGC4172	-0.764
LMO4	0.4295
KLKB1	-0.01225
HP	-1.4855
HDAC3	0.2335
SCHIP1	2.05925
CLCA1	1.239
OLFML2A	2.317875
C1orf112	-2.41625
KIF19	1.10808333333333
HAPLN4	-0.3825
CXCR7	3.758
GOT2	-0.6515
RAB38	-1.582875
DCX	0.37025
PPM1H	0.0880833333333333
NFYC	0.224833333333333
KIN	-0.187
ZNF228	0.3995
PLSCR4	3.654
HIG2	-1.69475
FAM79B	3.967
C21orf86	-0.9049
KCNK10	0.18675
ZNF738	-0.58975
FSTL5	-0.401666666666667
OR6A2	0.4105
OTOA	0.892
EXOC1	0.35
AHRR	-3.07025
PDAP1	-1.86725
C19orf6	-0.47025
ZAN	-0.04875
LY6G6E	0.202
EIF4E2	-0.69425
C20orf198	-0.961
ZNF324	-0.0225
CYP3A5	-0.803166666666667
ENTPD7	-0.077
MBOAT5	0.574
GJB5	2.12925
TTC13	-0.84075
S100Z	-1.02766666666667
KIAA0664	-0.657
PDGFRB	1.93366666666667
IL17D	1.607
OR56B4	-0.147
RDX	-0.9015
SLC34A3	-0.127
IL28B	-0.5545
JUND	2.75025
CHRNB1	-0.3175
CAMK2B	0.26875
FETUB	-0.94375
CXorf23	1.239375
MRTO4	-0.966875
TTC3	0.3172
NDUFB8	-0.235666666666667
EDG2	1.064
SEMA3G	2.2545
IL23A	-1.776
GRHL1	1.8248
LOC441054	-0.8995
WDR65	0.359875
PSTK	-0.01025
STOML3	0.279333333333333
R3HDM2	0.3647
C5	-2.2075
SLC2A10	0.4855
C3orf22	0.2155
PAQR3	0.0235384615384615
ANKRD26	-0.55475
HCRTR1	-0.4365
LOC399947	0.55475
PSD2	1.334
TIGD2	0.181166666666667
SCRN1	-0.684
COQ10A	-0.389
DDI2	0.3175
METTL7B	-0.819166666666667
UCN2	-0.0835
FAM92A3	-0.32325
WDR16	1.523
ZNF511	-0.2175
ZMYM5	0.00912500000000003
POLR3G	-2.44475
ZNF586	-0.1
C1orf49	0.00916666666666664
TANK	1.47183333333333
RCAN1	2.964
PELI3	0.981833333333333
LIMD2	-1.00741666666667
TMEM189	-1.077
NTN4	3.021875
LOC151300	-0.532
CLEC2A	-0.7825
GPR135	0.07075
DPYSL4	-1.4641
JAK2	-0.0166666666666667
TSHZ1	1.576
TM9SF4	-0.657875
ZNF264	0.883833333333333
SIRPG	0.752125
BICD1	0.0575
HERC6	1.36216666666667
METTL5	-0.6025
CASP1	1.88425
PRRT1	-0.4525
PLA2G4C	2.3075
ICA1L	0.607857142857143
TPTE2	-0.108333333333333
OTUD7A	0.0045
AQP11	-1.61425
APOA2	-4.6656
KALRN	0.3105
SECTM1	1.04866666666667
IFNAR1	0.04575
TALDO1	-0.511125
RAB11FIP4	-0.473333333333333
EIF5A	-1.191
FAM49A	2.554
NEGR1	2.20783333333333
YTHDC2	0.205875
EHD2	0.903125
NCF1	1.8592
SCRT2	-0.7405
HOXA5	1.787
NUP133	-0.10575
FGF12	0.1805
SLMO2	-0.512
SNTA1	0.014875
CACNG2	0.026875
GCM1	0.63075
ELF1	1.3785
TLR5	3.3535
TCFL5	-0.682083333333333
RBMY2FP	-0.5975
LOC100125556	0.04875
FAM129B	-0.021875
MAP3K7IP1	-0.22975
NCK2	0.702
OXA1L	-0.69325
FMO9P	0.5095
ZSCAN12	0.26
PSMD12	-0.495
HSCB	-0.55375
CLDN10	-1.16375
MGC13053	-0.416
HPCAL4	-0.563166666666667
ASZ1	-0.598
MEX3D	0.396416666666667
NFAT5	0.2477
CSPG4LYP1	-0.720666666666667
FBXO3	1.3131
DVL1	-0.794333333333333
CMKLR1	1.46566666666667
TYMS	-4.849
PEF1	0.92725
ZNF750	2.25133333333333
MCM5	-1.5722
MEGF11	-0.43825
KCNK7	-0.4335
PTP4A3	-0.211
C1QTNF2	1.22533333333333
OR6S1	0.227
FAM122B	-2.1305
ZNF551	-0.6315
HBQ1	-0.789
GEMIN6	-1.21875
ARSK	0.58125
RBP7	3.30533333333333
CPNE9	-0.26625
DSC1	3.6115
LOC730112	-0.5265
MAP2K4	0.835375
HS3ST5	-1.301
EPB41L3	0.69925
TEKT2	0.884
CDKN2B	0.27925
ZNF480	-1.44525
MAP3K6	1.0841
MAP6	2.37983333333333
HN1	-1.3115
OR2L13	0.529166666666667
SLC16A11	0.55375
FAM96A	-1.23675
APOL1	0.455
C5orf32	0.45375
RTP1	-0.322166666666667
RNF175	0.30125
ZBTB41	0.770875
AHCTF1	-0.4199
SAE2	-0.2383
ITGA2	1.06008333333333
MME	3.10633333333333
CCDC14	-1.036
MAST4	1.34035714285714
KRT33B	-0.281
KCTD2	0.3455
WDR26	0.2895
MFI2	1.027125
NR4A3	2.75975
ARSA	1.05425
UNKL	-0.923666666666667
SULT6B1	0.0925
CCNA2	-4.7205
SOX15	0.136
PPAPDC1B	0.0950833333333333
C19orf44	-0.2455
MCAT	0.476916666666667
ARID1B	0.245875
OR52N1	-0.5885
C12orf48	-2.5135
MAGI1	0.79525
NIPA2	-0.2685
GBX2	-1.93525
RSHL3	1.600125
RAVER1	-0.238333333333333
C15orf17	0.15975
SLC30A2	0.855875
ZNF518	0.2925
PCYT1B	-1.1955
C10orf114	-1.16175
EIF3H	-0.01825
SLC25A39	-1.31566666666667
KIF1B	0.21475
AMOTL2	1.4925
C6orf120	0.61325
PSRC1	-3.49025
PLA2G10	0.0355
KIF5C	0.5685
MRPL37	-1.1175
C17orf62	-0.0956666666666667
C9orf135	-0.445
DUSP10	1.4943
CLCNKB	-0.026
PSMA5	-0.86325
C8orf53	0.07625
AMPD3	0.0761666666666667
PIAS1	0.209
ADCYAP1R1	-0.0125
GYLTL1B	0.358
CDH20	-0.0521666666666667
FBXO7	0.12525
TMEM134	0.112166666666667
FLJ14213	0.587333333333333
ZNF3	-1.014
LRRFIP1	0.60025
CNOT2	0.220666666666667
ABI3	2.1965
ALDH5A1	-0.779666666666667
HNT	2.3139
SERPINA4	-2.36425
TK2	0.559
STMN1	-2.78744444444444
GUCA2A	0.0185
GALNT10	0.294071428571429
DPP6	-0.1582
C9orf93	0.442125
PRELID2	-0.003625
STK39	-0.231375
SFTPA1	-1.029
CKS2	-4.18466666666667
RHO	0.196
C20orf135	-0.1265
XKR3	-2.49
CR1	1.1355
RPS6KA2	1.17642857142857
C20orf112	0.07025
MRPL22	-0.50975
C4orf23	0.445
GADD45B	3.70025
KLHDC1	2.07983333333333
C2orf48	-2.5565
ZNF287	1.0145
DAAM2	0.846
DPPA2	-2.225
TCTN3	0.5405
DNAJB11	-0.127
FPR1	3.59725
DEFB4	-0.3095
PTCD2	-0.6952
SMOC2	5.22566666666667
CABP7	1.873
SERPINB11	-0.3775
MAGEF1	-0.08275
NDE1	-0.484333333333333
ITGA10	0.463
FSHB	0.003
ANXA2	1.093625
HORMAD2	-0.13975
HLCS	0.05
MCF2L	1.24691666666667
FH	-0.604375
TBC1D24	0.722
KIAA1505	1.2835
LGALS2	-0.74625
CNBD1	-0.493
SYNPO2L	0.027
PTPN23	-0.102357142857143
C1orf183	0.399833333333333
MAGEA8	-2.8475
DGCR8	-1.761625
GSR	-1.696
PAQR7	0.4435
ZNF676	-0.30375
CACNA1C	0.1522
SP7	0.7285
PDCD6	-0.1845
NRN1L	-0.889
BRI3BP	-1.29066666666667
KIAA1183	1.2335
ASB4	-0.63275
CCL23	1.7689
OBSL1	-0.249375
SLC12A7	0.534
KIAA0240	2.101
CD1B	-2.99066666666667
FCGR2A	1.153625
MDC1	-1.106
HTR1A	0.327666666666667
OCEL1	0.046
ATP11B	-0.0053125
FBXO34	0.512666666666667
PCDH12	3.309
RPE	-0.8895
C17orf74	-0.274
CSDC2	0.140333333333333
PET112L	-0.08825
TMBIM1	1.2905
P2RXL1	-0.40925
TCHP	-0.75125
TRMT1	-1.19533333333333
F2RL2	-0.455083333333333
LRRC32	3.20616666666667
IMPG2	0.693
BGLAP	-0.553
LOC493869	-0.79275
MRAS	2.47475
SLC35F5	0.704
CBWD1	0.506
AXL	-0.212625
ATP2C2	1.299
TELO2	-1.306
PNPLA3	-3.10625
PCDHB14	1.9255
CD276	0.1725
KRT80	-0.082625
DUSP28	0.255
CSNK1E	0.272416666666667
SRP14	0.896
KCNQ4	-0.158
KRT72	-0.103666666666667
CCDC117	-0.173625
C6orf89	0.4825
TUBB2B	0.0655
RTN4IP1	-0.5745
CR1L	-3.47733333333333
CEND1	-0.168875
C12orf41	-0.325
RNF31	-0.1105
UBN1	-0.578
C17orf32	0.313375
SLC5A7	0.65825
GPR92	0.851666666666667
ESAM	2.5974
CTNNA1	0.215916666666667
HRBL	0.2175
CBX4	-0.9575
TMEM182	0.40425
SH3TC2	0.588833333333333
IL10	0.94
PXMP4	-0.143
RNF167	-0.1542
PAK7	4.03683333333333
ETV3	-0.2805
ATPIF1	-0.829666666666667
LOC554207	-2.0485
OR8H1	0.0355
WDFY3	1.5755
DPM1	-0.76625
GPSM1	-0.12
WDR92	-0.3009
LRP1	0.6735
ANKH	-0.0665
THUMPD3	-1.00675
POLR1B	-1.189
OLFM4	5.64266666666667
RAD9B	0.712
TSPY2	-3.472
PAX6	-1.57116666666667
SCG2	-3.302875
SLC17A6	0.45825
FMO3	4.05225
PADI4	0.23725
TUBB4	-0.1356
NLK	-1.2555
POU4F3	-0.8105
SDF4	-0.20075
ITGBL1	2.42733333333333
NETO1	-1.107
TAP2	0.102375
ABBA-1	-0.259333333333333
GNAI1	0.95025
VPS4B	1.2395
NOPE	-0.2733
GALNT6	1.36966666666667
SESN1	1.594875
GBE1	-1.38666666666667
CLASP1	-0.07975
RASGEF1B	1.895
ACOT11	-0.0367142857142857
AFAP1	0.78825
OR2H2	-0.09375
DPY19L2P1	-0.93875
DZIP1	-0.7665
SEC22C	-0.0438333333333333
GPR161	-0.218666666666667
RNF146	0.77125
WDR74	-1.258
GALP	-0.4665
PURA	1.56525
DNPEP	0.35425
RP11-78J21.1	0.09575
ERBB2	1.883
FANCM	-0.574166666666667
NEO1	0.642833333333333
DDX3Y	-4.6031
RPS3A	0.61425
MXRA7	1.4655
LGALS3	0.899833333333333
GLT8D1	0.13975
CFL2	0.233833333333333
UPB1	-0.13875
NAP1L5	0.95525
CLDN14	-1.2795
DHX38	-0.496
BTBD1	0.02875
TARS2	-0.957333333333333
ABCF1	-0.7818
FCF1	0.575
LRRC49	0.4675
GUCY1B2	-2.9815
C1orf177	0.421166666666667
SMARCA4	-0.721071428571429
LRP8	-4.1465
TAGLN3	-0.45725
MRPL14	-0.833
TTRAP	0.03575
ZDHHC20	0.32225
NFE2L3	-1.806
KIAA1377	1.444875
PALMD	3.0655
TMEM43	1.06475
TTL	-1.19
STAT5B	-1.122
SSB	-0.87325
OR10H5	0.015
SLC22A13	-0.652
AKAP3	0.4295
TIMM23	-0.131666666666667
OAS2	0.893583333333333
KIAA0423	1.53725
TRIM11	-0.411166666666667
GLIS3	1.919125
TMEM50B	0.877
ARHGEF4	0.040875
DEGS1	0.478909090909091
TBL1XR1	0.4974
G6PD	-2.4545
SP140	0.4726
MUC17	0.0695
NUDC	-0.4999
DNAJC5B	0.9615
SCARA3	0.699333333333333
CPA3	5.67416666666667
BCAT2	-0.19825
MFN1	-0.2062
NRG3	0.209
SNX11	0.05725
PLEKHH1	-0.476333333333333
GPR177	1.28233333333333
HCFC2	0.45675
TCAP	-0.98675
MOCOS	-1.40775
C14orf93	-0.31575
PRDM10	-0.143833333333333
SLC16A4	1.69341666666667
SRGAP1	-0.201833333333333
VIP	0.8525
DUSP27	0.828
LILRA1	0.8903
MC2R	0.147
MGC24103	-1.4585
MBTD1	-1.627
FUT11	-0.585166666666667
USP33	0.9315
C15orf39	-0.52525
MAP3K12	0.376875
PAAF1	-0.893833333333333
BARHL1	-0.031
FLJ16165	-0.521
PIWIL2	-2.86625
SYNE1	1.92208333333333
CMTM4	0.3355
TSPYL1	1.4212
GUF1	-1.01516666666667
TMEM157	1.09
WDR44	0.38175
HIST1H3C	0.63575
DKFZp666G057	2.46625
RNPEP	-0.0705
GAS2L2	1.1275
ADH4	-0.203
GRPR	2.84766666666667
FBXL17	-0.1035
ZBTB10	0.687333333333333
Gcom1	1.15227777777778
HTRA1	1.6965
ZNF585A	-0.278
SLC26A2	1.27614285714286
OTOP3	0.0168333333333333
WISP1	-0.244111111111111
ATP2B4	-0.179083333333333
FLJ10769	0.43825
CRAMP1L	-0.245625
CHST12	-0.5775
RAB22A	0.305916666666667
TARDBP	-0.244
STAU1	-0.1805
CRB3	1.424
MIG7	-0.0965
CHMP1A	-0.188666666666667
ZNF160	0.39075
B3GALT6	0.055375
BARX1	-1.859
C6orf167	-1.5864375
NXNL1	0.347
DHX29	0.215375
HADHB	-0.00325
PLXNB2	0.768625
ILDR1	-0.96525
SLC15A3	2.2115
GAS2	-0.984166666666667
C20orf69	0.5895
NUMB	0.19375
TNIP1	0.2675
MESP1	0.977833333333333
PSKH1	0.2695
NSFL1C	0.336625
RHOG	0.071
HEY1	-2.57766666666667
KNG1	-1.517375
ITGAX	1.0784
LIN9	-1.28166666666667
CANT1	0.084625
XRN1	0.479642857142857
CCDC96	1.5798
HEATR6	-1.68516666666667
GNG7	1.32433333333333
RUNX2	0.00287500000000002
SOX1	-0.1875
FCRL5	0.4306
ZNF99	0.225625
FAM9A	0.4625
SNX22	0.0926666666666667
MBNL3	-1.471
ODC1	-1.6054
ADORA2B	-0.238833333333333
NR2F6	-0.4545
ZFYVE16	0.207666666666667
SYNJ2BP	0.8434
POLE	-1.4815
E2F2	-2.066
THRA	1.5575
PTGES2	-1.11583333333333
HIP1R	0.999
TMUB1	-0.985833333333333
ENO3	-2.7965
RSPH10B	-0.044
CXorf39	-0.02825
IRGC	0.051
GPR109B	0.8265
FLJ13305	-0.5765
LCE3A	-0.379
TNFRSF18	-1.58566666666667
DET1	0.11075
TRPM3	0.0843333333333334
C16orf79	-1.842
FECH	0.127
RAP2A	0.434
CRIP1	1.9845
AZIN1	-0.312125
SLC7A7	2.91225
IL10RA	0.8586
TMEM64	-1.762
CDC42EP4	1.5912
C16orf58	-0.6359
ARG2	-2.05625
POU5F1P4	-5.31175
FAM62B	0.476875
DNAH8	-2.0698
ASH2L	-0.228625
TSLP	-0.176833333333333
CNTNAP5	0.753333333333333
TMEM16C	2.265
IFNA14	-0.025
SLC1A3	0.78075
CABYR	0.69425
BCL7B	0.2075
NUDT13	-1.39783333333333
C13orf28	0.63775
C1orf53	-0.46225
ARL6IP4	0.3726
RPL35A	0.1755
EMR3	0.9245
RAB40C	0.111916666666667
SLC41A1	-0.167333333333333
LRCH1	0.85525
LY6G5B	-0.625
FAM124A	-0.0112857142857143
MGC10981	-4.39116666666667
CLIP3	0.7349
MAP4K2	-0.493333333333333
CHIC1	1.231
SULF1	2.17933333333333
C20orf30	-0.0105
PRDM5	0.427625
ELOVL1	-0.19475
C11orf48	-1.390125
SLC39A10	-0.24725
KCNV1	-0.33975
ACP1	-0.463166666666667
ZMYM2	-0.353375
B3GNT6	-0.0735
C9orf69	-0.13075
C2orf15	0.148
C20orf166	0.2155
HSP90AA6P	0.241
EDG7	-0.417
NEURL	-1.63175
LPL	2.77583333333333
CLEC2D	-0.675857142857143
GRRP1	3.22
CD8B	-2.3658
HIST1H3D	-1.836
SLC6A12	0.0525
FAM27L	-0.0655
CD84	1.5632
RASA1	0.067
PHKG1	0.2615
MAGEA11	-1.5065
IMPA1	0.07
NPM3	-1.88625
RARRES1	5.63875
SH3BP1	-0.19475
B3GNTL1	-1.0175
ARPC5L	-0.491833333333333
