Hybridization REF	TCGA-BH-A0B3-11B-21R-A089-07
CMTM4	0.53975
TSPYL1	1.2612
GUF1	-1.51016666666667
TMEM157	0.944
WDR44	0.31975
HIST1H3C	0.359
DKFZp666G057	0.94425
RNPEP	-0.4795
GAS2L2	1.42333333333333
ADH4	-3.331
GRPR	1.41066666666667
FBXL17	-0.328
ZBTB10	0.480833333333333
Gcom1	1.26194444444444
HTRA1	1.106
ZNF585A	0.501333333333333
SLC26A2	0.493071428571429
OTOP3	0.189833333333333
WISP1	-0.281222222222222
ATP2B4	-0.24475
FLJ10769	1.028
CRAMP1L	0.280125
CHST12	-0.0235
RAB22A	-0.0173333333333333
TARDBP	0.0139285714285714
STAU1	-0.41875
CRB3	1.005
MIG7	-0.273
CHMP1A	-0.7335
ZNF160	0.64725
B3GALT6	-0.190375
BARX1	-2.22266666666667
C6orf167	-1.4426875
NXNL1	-0.022
DHX29	0.23025
HADHB	0.10725
PLXNB2	0.958125
ILDR1	0.0365
SLC15A3	2.23475
GAS2	0.722333333333333
C20orf69	0.1105
NUMB	0.16125
TNIP1	0.538875
MESP1	0.776
PSKH1	-0.02175
NSFL1C	0.275875
RHOG	-0.0105
HEY1	-1.611
KNG1	-1.75725
ITGAX	1.2585
LIN9	-1.122
CANT1	-0.15725
XRN1	0.5715
CCDC96	0.9074
HEATR6	-1.62783333333333
GNG7	1.49308333333333
RUNX2	-0.2595
SOX1	-0.3565
FCRL5	0.7607
ZNF99	0.7265
FAM9A	0.3455
SNX22	-0.744666666666667
MBNL3	-1.61183333333333
ODC1	-2.3029
ADORA2B	-1.7975
NR2F6	-0.74175
ZFYVE16	0.230111111111111
SYNJ2BP	0.7778
POLE	-1.316625
E2F2	-2.33625
THRA	1.9165
PTGES2	-1.198
HIP1R	0.958166666666667
TMUB1	-1.03033333333333
ENO3	-2.21225
RSPH10B	0.3235
CXorf39	-0.500375
IRGC	0.3135
GPR109B	2.39175
FLJ13305	-0.3165
LCE3A	-0.584
TNFRSF18	-1.97183333333333
DET1	0.5625
TRPM3	0.33
C16orf79	-1.885
FECH	-0.0221666666666667
RAP2A	0.0886666666666667
CRIP1	0.450333333333333
AZIN1	-0.863625
SLC7A7	2.929
IL10RA	1.0346
TMEM64	-2.15525
CDC42EP4	1.2787
C16orf58	-0.2424
ARG2	-2.6095
POU5F1P4	-4.9275
FAM62B	0.116875
DNAH8	-2.0894
ASH2L	-0.23
TSLP	0.2
CNTNAP5	-0.1565
TMEM16C	2.14525
IFNA14	0.233
SLC1A3	0.91775
CABYR	0.754
BCL7B	-0.1041
NUDT13	-0.496166666666667
C13orf28	0.15075
C1orf53	-1.064
ARL6IP4	0.4806
RPL35A	0.359
EMR3	0.37975
RAB40C	0.10275
SLC41A1	-0.161666666666667
LRCH1	0.65025
LY6G5B	-0.8135
FAM124A	-0.0992857142857143
MGC10981	-4.47233333333333
CLIP3	0.5959
MAP4K2	-0.383333333333333
CHIC1	0.87375
SULF1	1.74616666666667
C20orf30	0.268285714285714
PRDM5	0.11375
ELOVL1	-0.38225
C11orf48	-1.203625
SLC39A10	-0.55375
KCNV1	-0.28875
ACP1	-0.209833333333333
ZMYM2	0.201125
B3GNT6	-0.199333333333333
C9orf69	-0.41475
C2orf15	0.47
C20orf166	0.5935
HSP90AA6P	-0.3015
EDG7	-0.205
NEURL	-2.02025
LPL	5.57783333333333
CLEC2D	0.486714285714286
GRRP1	2.487
CD8B	-2.2274
HIST1H3D	-2.08583333333333
SLC6A12	0.223
FAM27L	-0.479
CD84	1.4685
RASA1	0.544
PHKG1	0.543
MAGEA11	-1.3345
IMPA1	-0.0428
NPM3	-2.03775
RARRES1	5.752
SH3BP1	-0.658125
B3GNTL1	-1.4115
ARPC5L	-0.627333333333333
KLHL26	0.4405
SIM2	-2.439
GJC1	-0.643
C20orf194	0.84
EXO1	-4.2075
SLC2A2	-2.22516666666667
LOC285074	-0.47625
LRG1	-0.123
KIRREL	-0.5245
PIK3R1	2.58228571428571
C4orf34	0.74875
MAF	-0.355666666666667
ADCY4	3.93166666666667
ZMIZ2	0.1151
SLC46A3	1.79483333333333
STAMBP	-0.445833333333333
CCDC16	1.1135
MS4A12	0.1415
TCF20	0.9405
LRRC46	0.11175
C20orf152	0.324
MRPS6	-0.449625
ABCB11	0.1695
KCNC2	3.4885
CDH19	-1.12983333333333
C9orf123	0.8965
SSH3	0.773375
LDLRAD1	-2.62925
CCBE1	0.5645
ZNF135	1.58575
TAAR1	-0.0225
WFDC12	-0.152
CCDC42	-0.0526666666666667
FLJ12529	-0.391
PER1	0.608666666666667
TIMM50	-1.33783333333333
SMARCAD1	-0.114
FAM26C	0.057
TP53TG3	-1.13766666666667
SH3RF1	1.3437
LMCD1	1.98625
GPR63	-0.37
FLJ21986	-0.961
AIFM3	-0.8535
MICAL1	-0.679166666666667
BLZF1	1.01016666666667
IQCA	2.663
PCDHGC3	-0.188
SAC	0.29275
BCL6B	2.051
DDO	1.281
MARCO	3.67575
DCHS1	1.344
C1orf170	1.20983333333333
CD200R1	1.64616666666667
C22orf15	-0.887
SEPT11	-0.4645
ADNP	0.234
UST	0.2054
C13orf34	-1.25833333333333
RFFL	0.174285714285714
APBA3	-0.4925
C2orf60	-0.463125
CUTL1	-0.3312
PMS1	-0.465125
ZNF689	0.002
EIF3E	0.120833333333333
IL9	-0.222333333333333
RPL31	-0.2755
LY9	1.05633333333333
ATP2B3	-0.2225
KDELR2	-0.35825
TFCP2	0.244875
NLRP12	-0.28175
FLJ45422	-0.4335
TLE4	0.4109
ZNF570	0.534
FLJ43806	-0.054
TLK2	-0.505375
CIR	1.3255
MARS2	-0.3445
COL24A1	-0.13925
SDF2L1	-1.2275
HIBADH	0.6735
IGFBP3	-1.84335714285714
C12orf23	0.314625
PSPC1	-0.36275
C20orf43	0.19325
TRAV20	-0.101
ARHGAP24	1.50925
KIAA1975	0.3485
C1QA	3.1287
DNTT	-4.74133333333333
C10orf6	-0.1025
C11orf41	0.52325
HNRPF	-0.282125
COL11A1	0.205333333333333
UBAP2	-0.595166666666667
CDKN2AIPNL	-0.577
C20orf174	3.89325
SPRED2	0.207
PLA2G12A	-0.267333333333333
ICEBERG	-1.58933333333333
SCN10A	-0.335
C11orf65	-0.35675
GBP5	3.686
PITPNC1	-0.893666666666667
POU3F3	-0.2975
NCOA7	1.350625
LIN7C	0.2361
LOC348840	-0.9735
NKX2-2	-2.41375
ANKRD13D	-0.48025
LOC123688	0.056
FUT2	1.47333333333333
TAAR8	0.6055
FZD4	0.9035
PNMA3	-0.254
OR4L1	0.1715
WIT1	-3.16375
EXOC3L	1.38725
ATPBD4	0.3918
KRBA1	0.04625
UBXD6	-0.5805
HOXB7	-0.336142857142857
C7orf23	0.382
UNQ338	3.238
STAB2	3.062
CDC20B	-0.4445
IRF9	2.74625
CENTG1	0.148916666666667
TNPO2	-1.0665
MCPH1	0.1355
BMS1P5	1.06375
SLC26A7	0.95175
HIST1H3J	-0.60725
C9orf3	0.9764
LBH	0.820875
MYO1D	0.40675
PTDSS2	-0.166
NFU1	0.684
DEPDC4	-1.0165
WNT7B	0.1522
GLP2R	-0.0948333333333333
SETD4	-0.14
DYNLT3	-0.4326
FKBP11	-0.908166666666667
SESTD1	0.886333333333333
FLII	0.73025
RPS16	-0.4098
CHPF	-0.951166666666667
CSNK2A1	-0.711833333333333
SUMO1P1	0.407
FKBP6	-0.794
ZNF214	1.999
TWIST1	1.40116666666667
DDX56	-1.06166666666667
TRAM1L1	2.3096
EPO	-3.24216666666667
MRPS18B	-0.084
ZNF682	-0.413666666666667
RPL14	0.104666666666667
MAFF	0.286
LOC51136	-0.30375
LY96	0.608
DDX20	-0.14975
ABTB1	0.882833333333333
ARL5A	0.3623
CCT6A	-1.51825
HEPACAM	0.212666666666667
EHHADH	0.5
RBAK	0.205
CGB1	0.4895
ITGB5	0.1261
YIPF3	0.4075
FKBP2	-0.08325
NR1D1	1.0049
TMEM110	-0.358
NEK2	-4.7145
PRAMEF8	-3.779
C20orf52	-1.247
PCDHGA3	0.2005
VWA3B	-0.11925
NDUFA5	0.170125
THAP9	0.7095
FLVCR2	-0.32
AP1S1	-2.15625
SMAD6	-0.487
SAV1	1.701
SAT1	1.7725
ZNF251	0.8905
ADAMTS7	-0.3783
RPP38	0.27325
C1orf211	-2.7045
YPEL2	1.39905
RBMS1	0.58
ZNF445	-0.294666666666667
NRXN2	0.548
PGBD4	0.0945
UGT2B28	0.32625
WBSCR16	-0.4107
NLRC3	0.838375
ASTL	-0.17625
ST6GALNAC1	-0.77725
ZADH2	0.50725
MLLT4	0.9835
ARL6	0.0378333333333333
MEF2C	1.72
CBFA2T3	-0.716
AFF3	1.40321428571429
COG7	-0.448666666666667
MYB	0.146333333333333
PLXNA3	-0.7415
XRCC2	-2.419
MMS19	-0.432
ST8SIA5	-1.2135
CHPT1	1.18666666666667
KIAA1712	-0.261375
OR6X1	1.1385
ACTR3	0.137625
UGCG	0.303666666666667
OR4P4	0.2745
ZAP70	-2.1735
LPP	1.563625
ZNF485	-0.303
PTPRCAP	0.273
IL12RB1	0.401
ATRX	0.5547
CHST8	-1.10525
C14orf109	0.52325
ARV1	0.204
NMB	1.06971428571429
COX5A	-1.43316666666667
EIF6	-0.85225
MPPED2	1.34766666666667
SEMG1	-1.385
CHRDL1	2.288
TRAF3IP2	1.095
WNK2	-0.167375
LILRA4	2.69066666666667
LAMA2	4.447
PXT1	0.671
RLBP1	-2.73475
CD300C	0.61325
SLTM	0.59625
FLJ10404	-0.1890625
APOBEC3D	-2.149
RENBP	0.539166666666667
ATXN7L1	0.326
NID1	0.4905
TUBGCP3	-0.468375
ITIH5	2.50783333333333
CCDC110	2.4515
C8A	-3.41425
MGC87042	-0.0345
HOXC13	-1.4925
TFDP2	-1.1475
HCP5	1.63325
POLI	1.01475
UCN	-1.66016666666667
ZNF764	0.0238333333333333
C8orf45	0.33975
FHL3	-0.1225
SPATA5L1	-0.789
MMRN2	3.01183333333333
NDST1	0.455333333333333
COL20A1	-0.934833333333334
ZNF248	0.133333333333333
PELP1	-0.610166666666667
MBL2	-2.778
RNF41	0.378125
C5orf24	0.040875
THOC5	-0.53075
SERINC3	0.604083333333333
RP11-151A6.2	0.6225
CDCP2	-0.114
HIST1H2AA	-0.39025
C11orf75	0.5825
FKBP7	-0.06225
DDOST	-0.23125
GPNMB	1.93333333333333
TTF2	-1.7685
KCNT1	-0.357833333333333
SLC39A14	-1.000125
NGRN	0.5179
GPR137B	0.81525
MECP2	0.63825
PSMA1	-0.77225
C16orf73	-5.5625
TMEM60	0.023
CSN3	3.387
NOS1	-0.0225
RAB7L1	0.6535
YBX2	-0.5795
KIAA1166	-0.27825
FUBP3	0.3705
ABCG1	0.564
ACACA	-0.911583333333334
ARL11	0.3433
ATOH1	0.074
ODF1	-0.234166666666667
CREB3L3	-1.8
TMEM127	0.914714285714286
DSCAML1	1.6445
PLN	4.00933333333333
LYPLA1	-0.167083333333333
PRDM9	-1.8915
SASP	1.08575
PLUNC	-0.130666666666667
INTU	1.1585
HISPPD1	0.0145
LNPEP	-0.188333333333333
YARS2	-0.7025
APCDD1L	-0.017
ZCCHC4	0.0815
FBXO22	-0.8825
TTLL13	-0.268
ZNF669	0.146
PTGDR	3.12475
DDX27	0.001
KIAA0409	-0.2285
GJB6	0.34575
ASB8	1.024
PLP2	-0.365
MEPE	-0.01975
OR10J5	-0.243
KRT222P	3.377
COQ7	-0.021
C1orf101	1.7765
RERG	3.3809
CHMP5	0.352375
THAP11	0.259375
ZNF43	1.13433333333333
ZRANB3	-0.859
KRT13	3.527625
MRPL19	-1.06975
RBBP9	0.05875
SPATA17	0.203875
BXDC5	0.290166666666667
PAFAH1B1	-0.423416666666667
MAGEE1	0.19175
OSTF1	0.1155
KIAA0323	0.29925
TXNDC13	1.01216666666667
CNTN4	2.3415
LCE1B	0.023
UNQ501	0.22075
ZNF154	0.7905
C3orf64	1.7185
SYT5	-0.3796
PON1	0.0461666666666667
FLJ10357	0.394375
ATP4A	-0.1165
GNPDA1	-0.581833333333333
MGAT1	0.696166666666667
C14orf121	0.16425
SLC35B2	-0.29275
MIER3	-0.210166666666667
CHEK1	-4.918875
ZNF8	-0.4135
TXNDC1	-0.309333333333333
CKB	-1.103
RTN3	0.0753571428571429
FZD2	-1.44383333333333
PART1	0.97575
PSMB6	-0.16675
PCDHB8	-0.262
PHC3	0.2454
PPP1R8	-0.2655
NOVA2	1.1955
TNFRSF11B	-3.626625
GOLPH3	0.220666666666667
UBLCP1	-0.10425
SUHW3	-1.37325
TTLL1	0.99575
OPN4	-0.268
OR13G1	0.014
ZPBP2	0.188833333333333
HSD17B11	-0.401375
C9orf50	-0.184
DHDDS	0.354428571428571
CTSW	1.5312
NEFM	-1.805
MRPL28	-1.1915
SYN1	-0.423333333333333
PIGV	0.415166666666667
ZIM2	0.5035
APBB1	0.894666666666667
SND1	-0.564
C1orf123	0.473
CHD3	-0.3695
BHLHB8	-0.4025
RNASE2	-0.0575
BCAP31	0.2445
SLC25A44	-0.200166666666667
CHD6	-0.2989
PIB5PA	2.50607692307692
SELS	0.129375
LOC541471	-1.357
FAT2	2.7625
ZNF81	0.528
OR4C16	0.1845
FLJ10081	0.7803
LRRC4	1.68875
CS	-1.0175
N4BP2	0.0725
IGFBP7	2.27925
ZNF318	-0.04975
NDNL2	0.87
ZNF609	0.247875
SIRT4	0.55075
EXOSC10	-0.09125
ECE2	-0.259
OVGP1	0.26025
GTPBP3	-1.37225
PACS2	0.1846
C19orf36	-0.695666666666667
ARL4C	0.12725
ATG4B	-0.3535
UBQLNL	1.12975
RHOXF2B	-3.8805
PLEKHG2	-1.1885
GALR1	0.742
AQP4	0.783333333333334
HDAC7A	0.537833333333333
DCUN1D3	0.35
OR8A1	0.2945
CCRN4L	-0.909375
CBR4	-0.0425
KIFC1	-3.07333333333333
SLC7A14	-0.789
LHX5	-0.0125
TRPC7	-0.2005
LPXN	-0.641
SERPINA1	-2.580375
RPS13	-0.2576
BPIL3	-0.2465
PRKAA1	-0.8515
FADS2	-1.4618
ENAH	0.406875
PRO1768	-0.2475
APBA2BP	-1.07525
LIPH	2.15466666666667
C3orf33	0.118
RCC2	-1.0515
ALDH1A2	-2.1928
RNF103	1.86375
AHCY	-1.172875
ALG12	0.038
CCL17	1.36925
ZNF543	0.839833333333333
ESRRG	2.1109
CNGA1	2.72025
RDH5	1.96616666666667
OTX1	-1.5677
PTGFR	0.553166666666667
CDR2	-0.557375
SELE	3.155
NLGN2	-0.566166666666667
EXOSC9	-0.74325
ZNF566	0.765833333333333
KLRC2	-1.9855
GPR12	-0.03
KIAA0196	0.06675
PDRG1	-0.42975
SSR3	-1.17528571428571
MSI1	-1.43
CST9	2.373
CC2D1A	-0.254
PLAGL1	0.909555555555556
ZNF778	-0.2325
RNF2	0.1005
KLF6	1.41983333333333
THBD	2.79133333333333
tcag7.1314	1.629
NR5A1	-0.4625
ABCD2	2.088
DNAJC7	-1.96675
CLEC4C	0.197
TM2D3	1.267
CCDC4	-0.463
PLAC2	-2.3965
DCD	3.923
FAAH	1.044125
POLA1	-0.9595
TM7SF2	-0.224875
FLJ39822	-0.333333333333333
FLOT2	0.004875
MAP4K1	-0.392833333333333
SRP68	-0.353
C21orf74	-0.3765
ARPC5	0.299125
LOC126075	1.56825
HECW2	0.661
ZDHHC4	-0.0035
ANKRD42	0.5563
PDE9A	0.788333333333333
ABCA8	3.80725
NDUFS2	-0.37675
UBR5	0.15
BTBD16	-2.4855
LOC554174	-0.058
ZNF20	0.8055
KIAA1843	0.096
WDR17	0.31175
C15orf33	0.651
RNF113A	-0.1635
CAMKK1	-0.4021
CLCN2	-1.3635
ANXA6	-1.0565
LOC340069	-0.0165
EMID1	-0.088
DPM3	-0.472916666666667
ELA1	-0.017
SLC25A13	-1.3132
KRT24	-0.0675
SMPD1	0.0583333333333333
TH	-0.407625
COL6A2	0.311357142857143
ANKS1B	1.1965
GPR126	-1.8703
ZC3H12A	0.975666666666667
TMEM47	1.94716666666667
C2orf51	-0.237
C1orf88	2.0995
HSF2BP	-0.37575
AKAP10	0.44725
RPAP3	-0.2035
KLHDC8B	0.6955
STOM	1.4337
MUPCDH	-0.41425
C10orf72	0.392875
PLEKHA3	0.6525
TCP11L1	-0.84925
CWF19L1	0.16475
SPEF1	0.0866153846153846
YSK4	0.17125
ELN	1.7629
SAMD8	-0.0463333333333333
MPI	-1.13616666666667
MEPCE	-0.0456
ABCC3	-0.779625
NANOGP1	-3.716
KCNK17	1.257375
HLA-DMB	4.28183333333333
RRAGA	1.084
ANGEL1	-0.4005
RBM32B	-0.122
CPN1	-3.6155
MGC52282	-0.3765
HLA-A	1.80583333333333
OR9G4	-0.0925
EDNRB	1.226125
SCD	-2.23342857142857
C14orf80	-1.83833333333333
BAGE2	-0.36
RABL4	0.600333333333333
RCVRN	-0.061
SHANK1	-0.0955
NLRP7	-3.39875
CD226	1.49125
STAT3	0.8779375
SYNJ2	-0.4592
TPCN2	-0.876833333333333
WDR36	-0.792416666666667
MBD4	-0.28125
ROBO1	-0.5365
ST3GAL6	-1.888
SLAMF8	2.808
ATN1	0.0475
GPR141	0.19525
KRT36	-0.1015
TPH1	0.2125
DDX52	-0.19625
ZSCAN29	-0.3905
TRPT1	-0.544833333333333
DPEP3	0.27925
DENND4A	-0.0365
TSPAN16	-0.476
PTCHD2	0.422
LOC145814	-0.8525
CAP1	0.238666666666667
EIF5A2	-0.7861
NT5DC3	-0.53625
SEPT9	-1.081375
SEZ6L2	-0.2685
EGFLAM	3.4085
VPS11	0.476875
NDUFB5	-0.285666666666667
CIDEA	3.96633333333333
IER5L	-0.80025
N6AMT1	-0.46375
FAM83C	-0.66
OXR1	0.60475
IRX1	1.3175
DGKB	-0.458833333333333
GCN5L2	-0.924
MIR16	0.133625
FBXW9	-0.527
WDR4	-2.67683333333333
PDC	-0.1005
VPS33B	-0.49325
HEXB	0.258
FLJ32214	-0.6875
TCEB3	-1.4305
CRLF1	-2.62575
ABI3BP	2.89125
C8orf22	-4.2485
PYCR1	-2.06475
KIAA1706	1.5305
CDK5R2	-0.271
WAS	0.2785
C12orf60	-0.87125
CCBL2	0.6855
MADD	-0.1635
C5orf34	-1.77075
WDR42A	0.6226
KLF12	0.429125
HSPA1A	2.016
ITM2C	-0.788083333333333
DAPK2	2.32966666666667
LOC442590	1.7975
SUMF2	0.581625
CENPA	-4.512
TMED5	-0.165625
CDH6	0.1324
BRP44	0.39
THG1L	-0.99975
GABRA2	-0.0825
C14orf166	-0.2775
MYL1	-1.4475
TNFSF18	-0.1655
PAP2D	-1.195
PPIB	-0.18575
KLHL4	1.614
SFN	-0.2525
CCDC127	0.15575
FRAP1	-0.303
GOLGA5	0.767
SDCCAG1	0.289125
MGC21675	-0.0978333333333333
C10orf95	-1.1375
KIAA1345	0.379833333333333
C1orf163	-1.2735
LACE1	-0.798833333333333
OR10K2	0.051
CENPN	-3.27184
TMED2	0.967
UGT1A6	-1.6025
ANG	0.84425
U2AF1	-0.44
CASC2	0.528833333333333
NMT2	0.622166666666667
OSGEPL1	0.495
DFNB31	-0.6815
SLC6A20	0.496875
DKC1	-0.78425
FXYD4	-1.333
WDR64	0.61
MGC5590	0.063
CREBZF	-0.0413333333333333
DAZ1	0.017
PRPSAP1	-0.033
GCHFR	-0.93575
TTC7A	-0.680125
LOC196993	1.2605
UBD	2.74616666666667
S100A1	-0.371875
RPL6	-0.157
DNAJB6	0.49045
NAGS	1.0546
C2orf58	0.5425
KERA	2.139
MT1X	-0.1481
UBE2B	0.8921
KEAP1	-0.0285
MST1	-1.974125
OMA1	0.677
ABLIM2	1.18825
BCL2L13	-0.193666666666667
JAZF1	0.186
TMEM63B	-0.4485
S100A8	0.2893
ARFIP2	0.5845
UROS	-0.338
KHDRBS2	-0.5555
POLQ	-4.162
SOAT1	-0.68725
SPAG4	-2.57475
MRPS30	-1.288
LOC494141	-0.629
OR2T11	-0.16
ORAOV1	-0.4537
ZNF184	0.001
TCEB3B	-0.1805
ADAM21	-0.442
GDPD1	0.3325
SPINLW1	-0.193
PRR14	-0.0928333333333333
KCTD9	0.2678
NUDT3	-0.236
KIAA1822	0.2929
HIST1H4K	-0.549
DFNA5	-1.10725
GABPA	0.00474999999999999
C14orf44	0.9265
POLB	0.566285714285714
PTAR1	0.32625
SEC31A	0.1565
TRIM58	-0.8335
TAS2R14	0.374
VPS8	0.071375
H1F0	-0.487166666666667
PRKCB1	-2.06116666666667
UGT2A1	0.2695
TOR1B	-0.37575
LSS	-0.9015
C2orf19	-0.1455
HNRNPC	-0.234
TMEM100	1.59233333333333
LOC116349	-0.077
OR51M1	0.457
CCDC142	-0.7675
ISG15	1.4555625
ZCCHC14	0.25725
CREBL2	1.479375
TGDS	-0.6405
DC2	-0.65125
CACNA2D3	-0.732285714285714
ZNF429	0.42425
LYPD6	0.943333333333333
SUCLG1	0.916833333333333
OR51I1	-1.3905
MAGEH1	2.194
PRPF40A	-0.345
SMR3A	0.218
SPINK2	0.46525
THAP2	0.32925
NPY5R	1.936625
IRF4	-1.33575
SPESP1	-0.9035
OR10S1	0.3985
DTD1	-0.51875
TUBE1	0.7175
DDX19A	-0.789
PDPN	-0.885125
TMEM34	0.831666666666667
MGAM	0.90725
COL3A1	4.38761111111111
GFM2	-0.5725
OR5A2	-0.7915
PSG9	-0.19425
ARHGEF11	0.211
IVNS1ABP	-0.4579375
SIGIRR	0.47875
DUSP19	0.035375
DNAJC14	0.0193
ACSS1	0.618
IL1RAPL2	0.302
C4orf30	0.26475
SEPT4	2.36
LANCL3	-1.23575
SPAG17	2.10116666666667
PRDX3	0.291875
HNF1A	-0.225125
P4HA2	-1.17025
RFWD3	-1.66466666666667
MOV10	-0.55775
DNAJA5	0.211
LOC729440	0.0085
LOC200383	1.594125
SMC2	-2.32725
MIXL1	-1.45116666666667
TMEM9	-0.74125
FAM86A	-0.0075
ZNF174	0.4103
MYH14	-0.62275
CCR8	-0.05875
VPS37C	0.674833333333333
GPATCH1	0.4205
B3GNT8	1.9575
TBX4	-0.5235
CNR2	0.1465
PCDH1	0.9335
C5orf29	3.442
OCIAD2	0.9725
PLCG2	1.6495
KIAA0247	1.69275
HRH3	-0.3963
CAPN13	2.20775
CCR1	0.3688
MGC15523	0.0111111111111111
UVRAG	0.609333333333333
DNAJA2	-0.137333333333333
ITGA2B	-1.049
CLDN5	3.93225
PTPRN2	-0.537285714285714
ZNF512	0.2955
PSAP	0.962357142857143
CCDC140	0.386
LRRC55	-0.06975
CYP26C1	-0.0515
C8orf47	2.61
LYN	0.359125
DUSP6	0.824166666666667
TGFB3	2.77333333333333
ELK1	-0.8457
PCDH11Y	0.793333333333333
HGD	-1.2325
C17orf58	0.77875
MYO3A	0.066
SERPINE2	-4.2055
AARSD1	-0.74
C14orf73	-2.00675
ADAM33	0.685
ZNF491	0.5575
MAPK6	-0.8705
TCN1	2.586
SLC24A6	0.8405
UBE2R2	0.32275
H1FNT	-0.25475
TATDN2	0.337333333333333
LILRB1	1.4195
P2RY5	2.564
NUCB2	0.65975
C2orf37	-1.09925
SNX27	0.3055
MTA3	0.3475
FOXO4	0.86
ID4	3.4895
SOX5	-1.11016666666667
PXMP3	0.954125
OR52M1	-0.498
SFT2D3	0.372
INA	-3.38766666666667
MCOLN1	0.11575
NFIX	1.4248
CLEC14A	5.05016666666667
HIBCH	0.125166666666667
PLA2G5	1.5135
TIMM10	-0.731333333333333
MED17	0.4881
COL4A4	-0.138
TPP1	0.158
GJA3	-1.86983333333333
TMPRSS5	-0.133
AADACL3	0.0525
DNMBP	0.5285
ENPP5	3.62116666666667
NQO1	-1.2568
ZSCAN2	-0.71925
SEC24C	-0.188833333333333
GTF2A1L	0.2185
AXIN2	0.1554
FAM33A	-2.36191666666667
C16orf13	-1.52025
SPNS2	1.28875
TAF1	-0.2425
AP1G2	-0.379833333333333
RBM42	0.0468333333333333
HCN2	-0.191166666666667
EFHB	1.90416666666667
RUSC1	-0.846833333333333
GRIK5	0.067
USP21	-0.0343333333333333
ATAD3C	-0.38925
ORMDL2	-0.25175
PRSS7	-2.982
PSAT1	-3.75775
FLJ13195	-0.3635
TBC1D1	0.5165
IFNG	2.285
OTOS	-0.217333333333333
ZNF773	0.534333333333333
EMD	-1.394
RETN	-0.42075
CCL8	3.9625
APH1A	-1.099
COX18	-0.51475
GTF2IRD2	-0.77225
CCDC82	0.537
PAFAH2	0.2803
NPEPL1	-0.7009
RP11-114G1.1	1.3395
TP53INP1	1.198375
ZNF300	0.117
FOXL2	-3.4545
LARP2	-0.438833333333333
LATS1	0.75775
HTR6	-0.9125
SPOCK2	0.801166666666667
RNF144B	2.72783333333333
HTATIP2	-0.459
MGC10334	-0.214666666666667
CENTA2	2.20233333333333
FGF2	1.15975
FXYD7	0.3795
PHYHIPL	-1.8285
GPR34	5.4125
DDX6	-0.573333333333333
OR10W1	-0.058
LHFPL1	-0.2165
ZNF313	-0.311071428571429
VPS28	0.74425
AP3M1	0.031
AKR1CL2	-0.75625
TRAF4	-0.686625
OR2B11	-0.08
C19orf12	0.929
AKAP9	1.13
C1orf62	0.035
SLC20A1	-1.7809
FAM112A	-0.0925
LDB2	2.495625
MRPS23	-0.869
KLK5	3.80175
SPTB	-0.25
EFEMP2	0.71575
EFNB2	1.71925
PCM1	0.773642857142857
NMNAT3	1.572625
TSG101	0.646
C8orf40	0.968833333333333
NOB1	-0.62375
ABHD3	-0.756
GTF3C4	-0.513375
PIGN	0.575166666666667
GALNTL1	1.281
AEBP1	0.950625
OR9Q1	0.2265
ANKRD2	-0.358625
CCL28	2.19425
TRIM38	1.02783333333333
TMCC1	0.0455
SMG5	-0.41675
LRRC7	-0.2725
NCAPD2	-1.88166666666667
C6orf153	-0.9045
C1orf74	-0.6225
OTUD6A	0.0115
DCP2	-0.587166666666667
TMEM24	-0.427
RPL18	0.608833333333333
TMEM177	-1.39575
LRRC37A3	0.659
C1D	-0.285666666666667
LDHC	-1.442
UBE4B	-0.0915
NIT1	0.229625
BTN3A3	1.206625
RASD1	2.7135
COMMD3	0.4305
SHFM1	-0.5035
BIRC8	0.19825
DUT	-0.679
C12orf51	0.1285
LRRC59	-1.83716666666667
LY6H	-0.7605
WDR22	0.83275
EDEM1	-0.386785714285714
ADH1A	3.332
PANX2	-0.5515
CYP11B1	0.294
CDC73	-0.25125
GPR172A	-1.17925
GSTM3	3.38284615384615
KCNA5	1.11525
SERAC1	0.728166666666667
NFATC2	0.042
ANAPC5	-0.6132
C15orf24	0.24025
NFATC2IP	-0.81625
TNRC6C	0.647
MGC102966	1.919375
FGD5	1.8915
MED9	0.16275
RAB13	0.275833333333333
C15orf49	0.461
CRYGS	0.058
C12orf53	-0.4768
LOC283693	-0.2415
COX6B2	0.333625
PHF14	0.00949999999999997
FAM3A	-0.416625
RPL13	0.6148
PRDX2	-0.6691
FLJ34047	-1.64425
PRMT3	-0.35175
KCTD19	-1.736
TRIM10	-1.112
MGC26597	-1.0735
GCNT4	-0.07225
GPRASP1	2.748
CDKN1C	1.14716666666667
RHBDL2	1.061
HSPH1	-0.8055
AQP1	3.82875
COL17A1	3.7367
GFAP	0.28075
CDC16	-0.0025
KIAA1614	0.575
C6orf118	-0.395666666666667
ZSWIM5	-0.46925
FAM83F	2.36925
LYNX1	0.848875
SYNPR	-0.35125
XG	2.49916666666667
PRSS16	1.6375
KIF13B	1.537
PCDH9	1.576875
HIST1H2AH	0.116833333333333
RBM18	-1.52675
ZNF626	0.72925
HEXIM2	-0.2965
ITFG1	0.2345
TUBG2	-1.357
SFRS7	-0.37425
C9orf14	-0.124
EXTL1	-0.924
GBP3	2.30616666666667
WDR5	-1.98125
RARG	0.383166666666667
MYO7A	-0.155875
