Hybridization REF	TCGA-AN-A04A-01A-21R-A034-07
DVL3	0.106
ADFP	-1.4235
KRIT1	-1.17275
SERTAD3	1.67033333333333
LEFTY2	-2.97525
KRT27	-0.6855
SCFD2	0.4205
MN1	-1.0195
RORA	0.3975
PTPRD	0.84925
PIAS2	-0.954833333333333
CYP4X1	1.8825
FBXL15	0.186
MYH15	0.1156
CRX	0.393
TBC1D13	-0.6275
SLC22A17	1.23016666666667
PLK2	1.8355
ARHGAP9	0.4825
EIF1B	-0.3665
C20orf185	0.0405
DEFA7P	0.5325
PRIM1	-2.04566666666667
CRYAA	-1.17825
BACE1	0.489
AGTRL1	0.368666666666667
ACAD9	-0.349625
GRASP	0.143
RBP4	-4.02833333333333
TFB2M	-0.35875
METTL9	0.3686
ATP5O	-1.3525
SP100	0.0653
CPSF1	-0.0665
S100A4	-0.92025
LIME1	-1.08375
GPR137C	1.02475
OR2A2	-0.3815
C2orf29	0.5605
NUP188	-0.421
SDPR	-0.0755
RAI1	0.120625
RPS20	-0.7007
LAMB1	-0.063
ADM2	0.603833333333333
ZNF229	-2.5065
DKFZp434K1815	-1.548625
EPN3	4.09033333333333
CLIC3	-0.68525
MEIG1	0.34325
HMGB4	0.1325
STARD10	2.359125
KLF8	2.32675
EPB41L2	-0.4965
JMJD6	-0.285375
CTSL1	-0.352
GPR27	1.064
ELAVL4	0.361875
MMP21	0.691
PPM1B	0.237
SUV39H1	-0.91325
AAMP	-0.0175
TUSC4	0.426666666666667
MBD6	0.17
KLK13	-0.864
FMNL3	0.348
TRIM13	-0.00324999999999992
C15orf5	-1.772
IQCF1	0.091
CACNG8	0.937
SLC35D3	0.389166666666667
ZDHHC9	1.8715
ODF3L1	0.1435
C9orf86	-0.005
TSEN2	-1.2655
C17orf64	0.5425
SEPX1	0.1608
TSPO	0.472166666666667
SYMPK	-0.5925
ADORA1	2.00075
TSPAN10	0.83425
SEMA6C	0.155833333333333
RTTN	-0.7852
IL2	1.2928
ARRDC3	0.138583333333333
TBPL1	-0.703
STX12	0.596
MRPL39	-1.10425
OR8H3	-0.95
IFIT5	1.58166666666667
CASC5	-1.450375
FAM46A	-0.364
HPCAL1	-0.642125
CYLC1	0.635
VGLL2	0.087
C20orf191	0.33625
CDH1	2.86625
ITPA	0.21575
CCDC101	0.36075
D15Wsu75e	1.27875
EDA	-1.1115
CREG1	-0.39075
OR7G2	0.548
SAP18	0.385416666666667
IFIT1	2.25575
CALML3	3.27566666666667
FLJ37440	1.7855
FNDC5	-0.5765
SERPINB6	-0.246785714285714
JUNB	1.1524
SYS1	2.05125
SCN2A	-0.362666666666667
ZKSCAN5	-1.1455
WNT7A	0.609166666666667
TSHZ3	3.19875
RNF148	0.027
H6PD	-0.303375
CAD	-1.3695
ZNF449	0.75375
DOCK10	-0.888
FAIM2	3.658
HEXDC	-0.5185
PRB1	1.668
C14orf148	0.335
ETHE1	0.877
IRF5	0.4177
GNMT	-0.742666666666667
MGC16291	-1.765625
RPAIN	-0.767571428571428
CAGE1	0.838
CNTNAP3	-2.157125
ACTR1B	-0.55025
EEF1E1	-0.46875
MSX1	-0.28525
ESF1	-0.3075
HSPC171	0.994
MRPL2	-1.19033333333333
RDH12	-0.159
CELP	0.997
METRNL	-0.42975
C10orf116	4.30683333333333
C19orf48	-0.7485
ZNF346	-0.385625
NCR1	-1.6775
C10orf64	0.135
CD52	0.01325
VPS18	0.980375
AP4S1	-0.193833333333333
NPBWR1	1.285
TPK1	0.774
UBA52	-0.561277777777778
RIPK1	0.1295
CPNE3	-0.1953
HSPC159	0.6025
C8orf38	0.32325
LRRC4B	-0.2155
PARP10	0.7169
ANKRD50	1.65975
CXCL9	5.13075
FGF18	-0.281
EIF2A	-0.360875
SLC20A2	0.825833333333333
KIAA1549	0.453
SPINT1	2.3383
ZNF584	-0.4345
CRBN	0.355333333333333
ABCF3	0.0265
NCBP1	0.0546666666666667
PLA2G4F	0.229333333333333
PCDH10	0.379125
TTC21A	-0.15675
C20orf144	0.766
FGFR1OP2	-0.346666666666667
SLC9A1	0.1121
CHRND	-0.19
FOXF1	-2.51275
KIAA1467	1.66325
TPO	-0.136166666666667
LTF	3.59392857142857
DNAJB9	0.563
MRPS27	-0.66025
bA16L21.2.1	-0.43125
WBP2	0.225666666666667
MRGPRX3	-1.37883333333333
PRPF18	0.341
C10orf58	0.5535
SMOC1	-1.6886
ADAT3	1.12933333333333
TMEM138	-0.39925
TMEM131	0.902
TIMM8B	-0.21075
MYH7	-0.637833333333333
ST6GAL2	1.507875
KIF1C	-0.343
SUHW2	-0.3735
PAPSS1	0.8455
CABP2	0.14
HOXA4	-0.966
ELF2	0.19975
SEMA3D	0.6141
MC5R	0.8145
OGFR	0.3555
FLJ30092	-0.162333333333333
TGFA	0.2063
MMP17	1.01075
KIF15	-3.02425
CHIA	0.22425
CATSPER3	-0.11025
CEACAM7	1.78033333333333
PADI2	1.328125
HOXA9	0.3415
LNX2	0.382333333333333
TMEM144	0.98
HIF1AN	0.59225
METTL7A	-1.2585
C6orf165	0.881
KIAA1468	0.87425
DSG3	4.225
ZNF180	0.257
EIF4E3	1.19975
SLC46A1	0.32575
DKK1	-4.8235
ZNF205	1.14316666666667
LOC162073	1.01577777777778
COX7A1	4.84375
MAGEA1	-4.6588
NEDD8	-0.0296666666666667
KLHDC5	0.692333333333333
C3orf19	0.280166666666667
MRPS2	-0.29575
POLR3H	0.554857142857143
ABHD11	0.3339
TMEM17	1.095
PAIP2B	-1.4325
MAT1A	-2.3035
LGI3	0.18
THUMPD2	-0.082
TKTL2	0.4115
XAGE3	-2.1518
CALM3	0.240333333333333
C6orf136	-0.353166666666667
KCNC4	0.171666666666667
RGS9	0.922166666666667
ACIN1	-0.82
SPATS1	-0.6995
XKR8	-0.42
FAM84A	1.90116666666667
MS4A7	3.63354545454545
AGXT2L2	-0.56675
OR1F1	-0.086
SMAP1L	0.297333333333333
IPO11	-0.028625
ZC3H11A	-0.2685625
C1orf151	0.363428571428571
RNASEH2A	-1.8
CCR10	-0.901
TXNDC11	0.101416666666667
TMEM112	0.56875
MAP1B	-0.362857142857143
NVL	0.62075
PKM2	-0.67175
ARC	0.055
NUP54	-0.694
PPFIBP2	0.334166666666667
STAT2	0.819375
PTAFR	1.65816666666667
ROBO2	-0.197875
RNF40	0.388
CCDC135	-0.3845
IFT81	-0.3879
MORF4	0.3845
TM7SF3	-0.344125
OR10H3	0.3085
ABP1	0.0575
CHRD	1.54075
PLEKHA8	-0.325666666666667
NCALD	2.87075
OR5AK2	0.55425
ACCN1	0.238833333333333
SLITRK1	0.8795
ARMET	0.13175
C9orf52	0.0325
REEP4	-0.60425
MTSS1	2.323625
ADH1B	1.576
DLD	-1.2315
CDK5	-0.26175
PPFIA1	-0.744875
WFDC3	1.3305
DNAJB12	0.867714285714286
RANGRF	-0.654
MLANA	-4.125
AMY2B	-1.39525
KIAA0319	-1.055375
RPS7	-0.7295
JAK3	0.0209
ARFGEF1	0.0685
CXCL5	0.515
TRAPPC4	-0.7145
CETN2	1.32025
HSPC111	-0.964
RHOBTB3	-1.20666666666667
PHLPP	0.185
RGS10	0.80075
TMEM58	0.53025
CHERP	-0.49175
HSP90AB3P	-1.02266666666667
FSTL3	-0.4025
PEX11A	0.9665
OR5V1	0.88
FCN3	1.80525
PTPN3	-0.100125
NPTX1	-4.822125
C21orf84	-1.74525
C11orf51	-0.33875
ZBED2	1.6605
FLJ90757	-0.305
NPY2R	1.032
PLD3	0.453
SYT17	3.04516666666667
SGSM2	-0.99825
OR1A2	-0.8415
FOXP1	1.855875
SLC5A1	0.8445
POFUT1	-1.0489
EPHB6	-2.67016666666667
MYO1G	-1.793375
STAC	-0.8205
KLHL17	-0.0868333333333334
RGMA	0.3389
TJP2	-0.5597
FAM114A1	-0.165333333333333
SERINC1	1.17083333333333
SLC9A8	-0.078625
PEX19	0.172875
EDN2	2.75425
PSMD7	-0.355444444444444
C3orf41	-1.085
UQCR	-0.03975
PPP1R3C	0.8965
LRP4	-1.573
TM2D1	0.01625
TTC17	-0.1710625
C4BPB	-4.827625
CCL25	0.67225
ZNF253	-0.270333333333333
CHRNA9	-3.22125
SOX11	-0.4765
HIVEP3	0.873
CGN	2.28741666666667
C3orf35	0.034625
PKD2L1	2.0695
SYVN1	-0.2455
PDE8B	-1.695125
LOC439951	0.853
LTC4S	1.358
MIF4GD	0.230833333333333
SMARCA2	0.6778125
TUBGCP6	-0.575166666666667
CABLES1	-0.482375
C16orf77	0.8525
ZNF791	0.17025
FUT5	0.1155
ADH6	-1.78816666666667
P4HB	-0.05775
CLDND2	-1.42175
ALKBH8	-0.21025
PLAC4	-0.6675
F11R	-0.0818571428571429
MGC35295	0.668
PDZD4	-0.2938
LOC389073	0.4595
FAM80B	-0.8085
PSMB1	-0.480375
TXN	0.283666666666667
VIPR1	1.1252
WBSCR18	-0.3299
EXOSC6	-0.077
ACTA2	4.26283333333333
SP5	-3.46141666666667
ANKRD1	-0.59525
DDR1	1.443
ATP6V1D	0.3195
PTGS1	-1.32816666666667
RNF157	-1.09475
DCC	-0.1
SPAG7	-0.342
FBXO18	-0.1965
UBE3C	-0.198
HOXC6	0.66625
LRP2BP	0.0892
MYST2	1.1965
PDSS2	-0.5495
ATE1	0.076
ARAF	0.053
KLF10	0.6515
PLA2G2E	0.40425
ASCL1	-0.2795
TSNAXIP1	0.1345
FAM131B	0.9765
IFNA10	null
NUP43	-1.48475
FAM44B	-0.253875
L1TD1	-5.0645
NMD3	-0.0501666666666667
C18orf54	-1.2107
PHOSPHO1	-0.227
RAG2	0.041
EMILIN3	-0.2075
METTL3	-1.28225
VPS13C	0.072375
REXO2	-0.789
ANXA4	-0.18025
CA1	-0.432
DCP1B	0.20825
TULP3	-1.42533333333333
ATP2A2	0.381142857142857
ATIC	-0.5495
ADAM15	-0.506666666666667
NPL	0.260166666666667
LGR4	-0.4835
UEVLD	-0.00100000000000001
GAB1	0.89525
SNAI2	1.314
ZGPAT	-0.1105
SNF1LK	0.331375
DLEU1	-0.94775
UBE2Q1	0.72825
ZMYM6	0.0855625
JPH3	2.269
FAM38A	-0.2345
PXK	0.2385
DENND2D	2.137
BAX	-0.538416666666667
CP	-4.01645454545455
RPL37	-0.1511
G6PC3	0.152625
NCOA4	0.491
LRRC14	0.2235
GORASP1	0.56075
FCHO2	0.529
CYP24A1	-2.2775
FXYD3	2.53725
SMARCAL1	0.22375
ABCB8	0.1145
CCDC44	1.0885
PRDM7	-3.373
USH1C	-0.843
DNAH5	0.657333333333333
SRF	-0.272
MAL2	2.46466666666667
PGPEP1	-0.3335
SIN3B	-0.6285
SEMA3C	1.26716666666667
GRAMD3	1.46775
FBXO10	0.176375
OR5D13	-0.0285
FLJ31818	-0.283875
CACNA1I	0.3785
S100A13	0.403
TP63	2.22014285714286
ANXA11	0.4099
WDR66	0.35925
CSF2RB	-0.074
IFI44	0.1395
DACT1	2.513
ANKRD23	-2.057375
ATP5G1	-0.407
C21orf70	-0.586666666666667
PPWD1	-1.61525
DNAJC13	-0.1405
PAH	-4.8662
PTCH2	0.47475
TRMU	-1.2605
CCDC9	0.4275
USP3	-0.1354
DCLRE1C	-0.742
FAM55C	-0.13375
FRMD4B	1.18025
CYP2R1	-1.36175
RFPL1	0.4463
XPO5	-1.2905
ARL6IP2	-0.388
OSBPL5	1.51925
MMP9	3.52490909090909
KIAA0802	-0.24025
DHRS2	-3.74633333333333
SGEF	0.680625
TXNDC10	-1.0081
EXOC6	0.3
RPS27	0.4035
PNCK	-0.3145
FSTL1	0.25025
AACS	0.25325
SLMAP	0.372166666666667
SAMD4A	-0.3737
ABRA	-0.20825
SMARCD3	1.90175
PKNOX2	-1.90733333333333
A4GNT	0.3485
C9orf39	-0.551
RALYL	-0.065
MGC33556	-3.1875
C10orf25	-0.7135
BBOX1	4.16875
NHEDC1	1.381
XDH	-0.10075
GCSH	-1.4675
EDN1	1.6115
MTERF	-0.7715
CLK4	-0.247
ZNF799	-0.0913333333333333
KCNG1	-1.313125
CXCR4	-0.00716666666666666
PTPRR	-1.62125
IRAK1	-0.46525
LOC401397	-1.08275
TMSB10	0.198857142857143
CXCL3	-2.3071
TMC4	2.074
OR7A10	0.3065
STYK1	-0.03625
CHRNA10	-0.7075
CCNI	0.495
EP300	1.172
LOC165186	-0.844333333333333
HIC2	-2.9175
SDR-O	-0.524
OR2W1	0.331
KCNA6	0.562
TRIM74	-2.7955
REEP6	-0.3025
ATP5G2	-0.00274999999999999
ERG	0.544375
TMEM42	-0.36725
PARN	0.227833333333333
SOD2	-1.0165
DIRAS1	0.152333333333333
PNPT1	-1.42075
JOSD3	-1.7835
hCG_40738	-0.3215
PDE1C	-1.86975
SEMA4D	-0.84625
AGPAT1	-0.025
NOSTRIN	0.132375
MAP3K3	0.3495
MAX	0.9075
CAPS	2.20483333333333
SERPINA12	-0.1455
OSBPL8	0.54
RICS	1.8446
NR4A2	2.709
PPCS	0.834666666666667
LONP1	-1.35425
SCYL3	1.25075
HERC2P2	-2.69666666666667
FIBCD1	0.367
C15orf41	-1.591
DMC1	-0.5465
C20orf27	-0.77625
RPS6KA5	0.4796
FAHD1	0.646833333333333
SLC12A4	0.19925
BRCA1	-2.02018181818182
GBL	-0.2025
SLK	0.3105
NUDT9P1	-1.0205
NOXO1	0.6655
USP52	-1.756
BAZ1B	-0.2765
SLCO2B1	2.3585
BBS12	1.03816666666667
LRGUK	-0.483
TERF2IP	1.078
COL1A1	4.938
KIAA0090	0.103625
GRK5	-0.522166666666667
AP1S2	-1.7675
TMEM52	-0.486166666666667
CA11	1.171875
OR4A15	0.322333333333333
ACBD3	1.042
SPAG11B	0.387
PRDM2	0.6428
FOXP3	-0.056
SMYD3	0.1598
LOC389199	1.047
LGI2	0.722333333333333
NAPE-PLD	-0.8086
ANKRD6	0.592
WDR45	0.5545
SHROOM1	-0.92025
PSCD3	0.4205
PYY	0.5525
KCNC1	-0.798
ARHGEF9	0.1328
OR8J1	-0.11925
GPR55	0.244
NS3BP	-1.6045
C10orf22	1.17416666666667
NAT8L	0.74975
DUSP4	0.8845
FOXM1	-2.43333333333333
GRAMD2	0.0564
ZBTB48	-0.329833333333333
BUD31	-0.808
PABPC5	0.463
CCDC41	-1.01275
FBXO11	-0.0599166666666667
C6orf148	-1.39475
RFXAP	-1.63325
C6orf15	0.9515
CDK8	-0.467333333333333
C6orf70	-0.1625
TESSP2	0.984
ALG2	0.765
PPP1R3D	1.09625
TPM3	0.309277777777778
SYT13	5.72125
EPB42	-0.8685
CETN3	-0.269
PRY	-0.499
NTHL1	0.392166666666667
POLR2B	-0.2335
RPS28	-0.33025
P2RX3	0.75125
LYZL4	0.474666666666667
WBP4	-0.5573
PMM1	0.01125
C11orf79	-0.03625
CBLL1	-0.84675
IL1F10	0.188333333333333
VAX2	1.7035
SETDB1	0.017
LRAP	-3.45416666666667
GCLM	-0.452333333333333
CPEB3	0.968
PPM1A	0.786375
INTS1	-0.29775
CAMTA1	0.656916666666667
SAMSN1	-2.19775
LOC158830	-2.9335
GMPPA	-0.2915
AIPL1	-0.318333333333333
IL24	0.138916666666667
BDKRB1	-1.16466666666667
MLF1	1.2566
TAF12	-0.50125
ID1	-2.506
THADA	-0.23975
PIK3CB	-0.50875
OR4N5	0.59
TBC1D17	-0.432666666666667
COX8A	-0.82675
CDCA4	-0.53425
C2orf44	-0.81125
ZNF534	-0.99775
IMMP1L	-1.33425
NIPSNAP3B	0.025125
FTMT	0.238571428571429
PWP2	-1.02483333333333
MMP15	-1.0601
DNAH11	-1.03925
MTMR14	-0.612875
DNAL4	0.89225
IPP	-0.84925
TMEM59	0.7265
C1orf157	-0.341
RGS4	0.807666666666667
DDX18	-0.235333333333333
SNX6	0.15575
ZNHIT2	0.402333333333333
NCDN	-0.1435
FLJ33534	1.25375
RAG1	-2.04975
OR4D10	0.477
PTPN5	-0.251
POMT1	-0.107
LRRC8A	0.5403
CYP1A1	-0.53975
CAPN1	0.343666666666667
DDHD2	-0.466375
GRIK2	0.1405
GNRHR	1.99766666666667
PPBP	0.57775
HTR3A	-0.203875
SLITRK4	1.19925
ANKRD49	-0.7925
BTF3	0.4044
SARS	-0.00374999999999999
C13orf18	0.300833333333333
CACNB1	-0.209153846153846
QKI	0.263772727272727
SETMAR	0.408625
MAN2B1	-0.0861666666666667
EML3	-0.40575
ACADL	0.647
OFD1	-0.822
DEFB114	0.9215
CGA	1.0753
PEX16	-0.3315
LRRC10	-0.661
GNG12	-0.001
C1orf152	-0.257
CHRM1	0.491
CD53	-0.245
DBH	-0.622
TFAP2B	0.08
HIST1H2BJ	0.6025
FAM46D	-0.336
TMEM11	-0.57875
C3orf32	-2.67475
PCCB	-0.29825
IPO13	0.21475
C6orf105	-2.8335
COMMD5	1.0425
SUV420H1	-0.2041
LTBR	0.68
ARHGAP15	-1.822
HDHD2	-0.7085
TDRKH	-0.465666666666667
LOC401052	0.292
PSG4	-0.23675
GNB4	-0.5702
SPATA4	0.2885
SLC9A3	-0.322
OSBP	0.286
NBPF3	-1.19266666666667
DOCK11	-0.7415
SLC39A5	-0.774166666666667
PRR5	0.9686
C10orf63	0.8025
SMTNL2	-0.9985
ADRA1A	1.4155
ASAH1	1.1882
DOM3Z	-0.5201
GIPR	0.979166666666667
AHI1	-0.441916666666667
NADSYN1	-0.6045
RGS14	-0.4883
IL18BP	0.3435
RTN4RL1	0.905666666666667
ARMC6	-0.1125
PSMD5	0.777166666666667
HK3	0.8407
OR4S1	0.25125
RSU1	0.6724
MAD2L1	-2.01388888888889
EIF4A3	-0.775
DLEC1	-0.655833333333333
E4F1	-0.0935
CHMP2B	0.601
CAMSAP1	0.02625
RPS21	-0.534666666666667
ARID5A	-0.02175
UBE2N	0.2703
IGSF8	0.828166666666667
MAGEB6	-1.308
ACAD11	-1.4767
MGC4172	-1.69375
LMO4	-0.2655
KLKB1	-0.1025
HP	-0.785
HDAC3	-0.54625
SCHIP1	0.8375
CLCA1	-0.0365
OLFML2A	1.653875
C1orf112	-2.311
KIF19	0.362916666666667
HAPLN4	0.3836
CXCR7	0.227166666666667
GOT2	-0.466
RAB38	0.68575
DCX	1.45375
PPM1H	0.342416666666667
NFYC	0.784
KIN	-0.22
ZNF228	0.762
PLSCR4	2.14433333333333
HIG2	-0.46975
FAM79B	4.6645
C21orf86	-0.5938
KCNK10	0.79325
ZNF738	-1.79775
FSTL5	-0.662
OR6A2	-0.074
OTOA	0.340833333333333
EXOC1	-0.19525
AHRR	-2.8125
PDAP1	-2.09625
C19orf6	-0.748125
ZAN	0.39975
LY6G6E	-0.5395
EIF4E2	-0.61975
C20orf198	-0.3465
ZNF324	-0.0985
CYP3A5	-0.600333333333333
ENTPD7	0.841666666666667
MBOAT5	-0.3425
GJB5	2.31825
TTC13	-0.15525
S100Z	-0.419666666666667
KIAA0664	-0.76
PDGFRB	2.47091666666667
IL17D	-0.09775
OR56B4	-0.9975
RDX	-2.58666666666667
SLC34A3	1.112
IL28B	-0.4555
JUND	1.10025
CHRNB1	-0.374
CAMK2B	1.1645
FETUB	-0.98525
CXorf23	0.8805
MRTO4	-1.284875
TTC3	0.2472
NDUFB8	-0.327
EDG2	-0.8385
SEMA3G	0.533
IL23A	-0.679
GRHL1	0.441
LOC441054	-0.8105
WDR65	0.225285714285714
PSTK	-0.05
STOML3	0.302333333333333
R3HDM2	-0.3002
C5	-2.3145
SLC2A10	2.063
C3orf22	1.02775
PAQR3	-0.193846153846154
ANKRD26	-0.987916666666667
HCRTR1	0.054
LOC399947	0.23125
PSD2	-0.1135
TIGD2	-1.11866666666667
SCRN1	-0.03625
COQ10A	-1.1505
DDI2	0.1075
METTL7B	0.147666666666667
UCN2	1.07725
FAM92A3	-0.63925
WDR16	-0.262333333333333
ZNF511	-0.0213333333333333
ZMYM5	-0.732125
POLR3G	-2.22
ZNF586	0.5235
C1orf49	-0.0315
TANK	0.434333333333333
RCAN1	-0.663166666666667
PELI3	0.28
LIMD2	-0.45325
TMEM189	-0.42
NTN4	0.382875
LOC151300	-0.047
CLEC2A	0.173
GPR135	-0.376375
DPYSL4	-0.7167
JAK2	-0.629
TSHZ1	0.784333333333333
TM9SF4	-0.45725
ZNF264	0.933666666666667
SIRPG	0.574375
BICD1	0.82
HERC6	0.389833333333333
METTL5	-1.29
CASP1	0.07
PRRT1	0.231333333333333
PLA2G4C	2.27066666666667
ICA1L	0.304571428571429
TPTE2	0.295333333333333
OTUD7A	1.18716666666667
AQP11	-1.537
APOA2	-3.8638
KALRN	-0.3835
SECTM1	0.237166666666667
IFNAR1	-0.043
TALDO1	-0.7275
RAB11FIP4	-0.19675
EIF5A	-0.6335
FAM49A	1.5425
NEGR1	0.5235
YTHDC2	-0.34375
EHD2	0.4665
NCF1	1.3108
SCRT2	1.033
HOXA5	-0.477333333333333
NUP133	-0.05775
FGF12	-0.985066666666667
SLMO2	-0.44675
SNTA1	-0.763875
CACNG2	0.314
GCM1	0.25175
ELF1	0.613166666666667
TLR5	2.20725
TCFL5	-0.778583333333333
RBMY2FP	-0.155
LOC100125556	0.62775
FAM129B	0.33225
MAP3K7IP1	-0.323375
NCK2	0.33
OXA1L	-0.338
FMO9P	0.1195
ZSCAN12	-0.351333333333333
PSMD12	0.39875
HSCB	-0.1355
CLDN10	-2.21
MGC13053	0.02325
HPCAL4	-0.1446
ASZ1	1.4825
MEX3D	0.538083333333333
NFAT5	-0.5586
CSPG4LYP1	-0.327666666666667
FBXO3	0.4151
DVL1	-0.649833333333333
CMKLR1	1.24416666666667
TYMS	-4.29775
PEF1	1.224
ZNF750	0.589666666666667
MCM5	-0.4711
MEGF11	-0.14275
KCNK7	-0.024
PTP4A3	0.7945
C1QTNF2	-1.1065
OR6S1	0.374
FAM122B	-1.44
ZNF551	-0.51175
HBQ1	-1.5635
GEMIN6	0.04975
ARSK	-0.103
RBP7	1.69483333333333
CPNE9	0.54475
DSC1	1.2015
LOC730112	-0.4335
MAP2K4	0.282625
HS3ST5	-1.129
EPB41L3	-0.38975
TEKT2	0.0325
CDKN2B	1.10558333333333
ZNF480	-0.403
MAP3K6	0.2108
MAP6	2.2005
HN1	0.1963
OR2L13	0.428
SLC16A11	0.1855
FAM96A	-1.051
APOL1	0.44725
C5orf32	-0.1135
RTP1	0.1375
RNF175	-0.055375
ZBTB41	0.78975
AHCTF1	-0.4478
SAE2	-0.2709
ITGA2	1.69741666666667
MME	0.4865
CCDC14	-2.5205
MAST4	1.89242857142857
KRT33B	-0.3455
KCTD2	-0.3595
WDR26	0.558166666666667
MFI2	0.990625
NR4A3	-0.177625
ARSA	1.0225
UNKL	-0.424833333333333
SULT6B1	0.266
CCNA2	-2.4025
SOX15	-0.4925
PPAPDC1B	-0.254583333333333
C19orf44	0.655
MCAT	0.734166666666667
ARID1B	0.64225
OR52N1	0.512
C12orf48	-1.89725
MAGI1	-0.568125
NIPA2	-0.76375
GBX2	-1.66425
RSHL3	0.09375
RAVER1	0.322833333333333
C15orf17	0.11725
SLC30A2	0.03775
ZNF518	-0.29175
PCYT1B	-0.4165
C10orf114	-0.29125
EIF3H	1.20025
SLC25A39	-0.465166666666667
KIF1B	0.406375
AMOTL2	-0.0115
C6orf120	0.6045
PSRC1	-2.3385
PLA2G10	3.8025
KIF5C	1.219375
MRPL37	-0.779
C17orf62	-0.07
C9orf135	-1.22883333333333
DUSP10	0.9829
CLCNKB	0.2455
PSMA5	-0.423
C8orf53	1.337
AMPD3	0.339666666666667
PIAS1	-0.46825
ADCYAP1R1	-0.16
GYLTL1B	0.556
CDH20	0.0643333333333333
FBXO7	0.182
TMEM134	0.4915
FLJ14213	1.03883333333333
ZNF3	-0.4575
LRRFIP1	0.430208333333333
CNOT2	0.08225
ABI3	1.76875
ALDH5A1	-0.302666666666667
HNT	3.4626
SERPINA4	-1.86625
TK2	1.12466666666667
STMN1	-1.51744444444444
GUCA2A	0.172833333333333
GALNT10	0.927571428571429
DPP6	-0.18165
C9orf93	-1.29775
PRELID2	-1.175
STK39	0.244125
SFTPA1	-0.8535
CKS2	-1.71666666666667
RHO	0.529875
C20orf135	0.0125
XKR3	-2.091
CR1	0.404857142857143
RPS6KA2	1.108
C20orf112	0.44975
MRPL22	-0.549
C4orf23	-0.205166666666667
GADD45B	1.07325
KLHDC1	0.679833333333333
C2orf48	-2.209
ZNF287	1.3855
DAAM2	-0.68175
DPPA2	-3.1544
TCTN3	0.411833333333333
DNAJB11	-0.089875
FPR1	3.05275
DEFB4	0.374
PTCD2	-0.9535
SMOC2	5.08033333333333
CABP7	0.794
SERPINB11	-0.41
MAGEF1	0.73675
NDE1	-0.0413333333333333
ITGA10	-0.494
FSHB	0.1185
ANXA2	0.622
HORMAD2	-0.55025
HLCS	-0.02725
MCF2L	1.78625
FH	-0.335
TBC1D24	0.8445
KIAA1505	0.3
LGALS2	-1.847
CNBD1	-0.3225
SYNPO2L	-0.58775
PTPN23	0.0492857142857143
C1orf183	0.0166666666666667
MAGEA8	-2.5735
DGCR8	-2.011875
GSR	-0.66525
PAQR7	0.271
ZNF676	-0.64575
CACNA1C	0.6972
SP7	-0.45
PDCD6	-0.71375
NRN1L	-1.31
BRI3BP	0.01725
KIAA1183	0.88525
ASB4	-0.2325
CCL23	0.4022
OBSL1	-0.943875
SLC12A7	0.317
KIAA0240	0.3855
CD1B	-2.68083333333333
FCGR2A	1.234875
MDC1	-1.081
HTR1A	0.861666666666667
OCEL1	-0.32425
ATP11B	-0.32825
FBXO34	0.00983333333333334
PCDH12	3.69433333333333
RPE	-0.499
C17orf74	-0.1775
CSDC2	1.118
PET112L	-0.073
TMBIM1	0.43925
P2RXL1	0.09525
TCHP	-0.7415
TRMT1	-1.64683333333333
F2RL2	1.22358333333333
LRRC32	3.28316666666667
IMPG2	0.21
BGLAP	-0.56825
LOC493869	-1.01783333333333
MRAS	1.6745
SLC35F5	0.78875
CBWD1	0.23
AXL	-0.94825
ATP2C2	3.579
TELO2	-0.329
PNPLA3	-3.62225
PCDHB14	0.5805
CD276	1.2115
KRT80	-0.150875
DUSP28	-0.224
CSNK1E	-0.0193333333333333
SRP14	1.196
KCNQ4	0.6745
KRT72	0.875
CCDC117	0.84225
C6orf89	0.105277777777778
TUBB2B	-0.2295
RTN4IP1	-1.15375
CR1L	-3.80016666666667
CEND1	0.638125
C12orf41	-0.483166666666667
RNF31	0.072
UBN1	-0.0251666666666667
C17orf32	0.247375
SLC5A7	1.08725
GPR92	0.523333333333333
ESAM	2.0497
CTNNA1	0.547833333333333
HRBL	-0.1347
CBX4	0.52875
TMEM182	-1.08175
SH3TC2	-1.06466666666667
IL10	1.12933333333333
PXMP4	0.583
RNF167	-0.3889
PAK7	1.5615
ETV3	0.114
ATPIF1	-1.78616666666667
LOC554207	-1.4475
OR8H1	0.55
WDFY3	1.0415
DPM1	-1.0995
GPSM1	-0.6175
WDR92	-0.091
LRP1	0.770333333333333
ANKH	0.274375
THUMPD3	-0.79025
POLR1B	-0.3735
OLFM4	3.837
RAD9B	-0.851
TSPY2	-2.505
PAX6	-2.13566666666667
SCG2	-1.953125
SLC17A6	-0.20725
FMO3	1.6505
PADI4	0.1225
TUBB4	-0.0518
NLK	-0.7465
POU4F3	-0.363
SDF4	-0.1555
ITGBL1	2.54183333333333
NETO1	-0.720125
TAP2	0.101875
ABBA-1	0.485916666666667
GNAI1	-0.3175
VPS4B	1.6775
NOPE	0.0884
GALNT6	2.82016666666667
SESN1	0.57025
GBE1	-1.68622222222222
CLASP1	0.317
RASGEF1B	0.16325
ACOT11	0.112642857142857
AFAP1	1.06525
OR2H2	-0.2875
DPY19L2P1	-0.82525
DZIP1	-1.189
SEC22C	-0.0656666666666667
GPR161	-0.442583333333333
RNF146	1.0805
WDR74	-1.015875
GALP	-0.26
