Hybridization REF	TCGA-A8-A09N-01A-11R-A00Z-07
SEPX1	0.2409
TSPO	-0.111666666666667
SYMPK	-1.261
ADORA1	-0.51575
TSPAN10	0.185
SEMA6C	-0.642
RTTN	-1.3272
IL2	0.0378333333333333
ARRDC3	0.174166666666667
TBPL1	-1.57033333333333
STX12	1.09825
MRPL39	-0.05875
OR8H3	0.2925
IFIT5	2.2135
CASC5	-2.29325
FAM46A	-1.69866666666667
HPCAL1	-0.639625
CYLC1	0.127
VGLL2	0.253875
C20orf191	-0.4105
CDH1	2.30866666666667
ITPA	0.1615
CCDC101	-0.14625
D15Wsu75e	-0.0645
EDA	-1.848
CREG1	-0.0375
OR7G2	0.631
SAP18	0.44575
IFIT1	2.34225
CALML3	-0.00333333333333332
FLJ37440	1.7165
FNDC5	-0.48425
SERPINB6	0.530928571428571
JUNB	0.7248
SYS1	1.44775
SCN2A	-0.577
ZKSCAN5	-0.7123
WNT7A	0.135833333333333
TSHZ3	1.9655
RNF148	1.4225
H6PD	0.459375
CAD	-1.32066666666667
ZNF449	-0.1935
DOCK10	-1.4185
FAIM2	0.227333333333333
HEXDC	-0.04925
PRB1	-0.0905
C14orf148	-0.7145
ETHE1	0.83325
IRF5	0.5027
GNMT	2.74316666666667
MGC16291	-2.49325
RPAIN	-0.874
CAGE1	0.287
CNTNAP3	-3.237875
ACTR1B	-0.1685
EEF1E1	-0.9885
MSX1	-1.102875
ESF1	-0.59
HSPC171	-0.3675
MRPL2	-0.140166666666667
RDH12	-0.369
CELP	-0.261
METRNL	0.00725
C10orf116	4.114
C19orf48	-0.885
ZNF346	0.0565
NCR1	-1.0665
C10orf64	0.3185
CD52	0.4375
VPS18	0.786375
AP4S1	-0.2075
NPBWR1	-0.1425
TPK1	0.792
UBA52	-1.39883333333333
RIPK1	1.22266666666667
CPNE3	1.8466
HSPC159	-1.37175
C8orf38	0.963
LRRC4B	-1.3175
PARP10	0.6754
ANKRD50	1.72825
CXCL9	6.73925
FGF18	0.470545454545455
EIF2A	-0.125125
SLC20A2	1.08983333333333
KIAA1549	0.50375
SPINT1	2.2084
ZNF584	-0.52
CRBN	0.546833333333333
ABCF3	0.235833333333333
NCBP1	-0.418
PLA2G4F	1.57516666666667
PCDH10	-0.887
TTC21A	0.62
C20orf144	0.068
FGFR1OP2	-0.141666666666667
SLC9A1	1.0528
CHRND	0.251
FOXF1	-2.70575
KIAA1467	2.9765
TPO	0.129333333333333
LTF	2.83957142857143
DNAJB9	1.725
MRPS27	-0.3815
bA16L21.2.1	1.3835
WBP2	0.08
MRGPRX3	-2.06366666666667
PRPF18	1.44925
C10orf58	1.139
SMOC1	-3.4655
ADAT3	-0.0363333333333333
TMEM138	0.22725
TMEM131	-0.313625
TIMM8B	0.287
MYH7	-0.615166666666667
ST6GAL2	0.7975
KIF1C	-0.56
SUHW2	-1.687
PAPSS1	0.68025
CABP2	-0.1815
HOXA4	-2.23475
ELF2	0.24775
SEMA3D	0.3598
MC5R	0.424
OGFR	0.281
FLJ30092	0.261166666666667
TGFA	-0.1508
MMP17	-0.49125
KIF15	-1.0055
CHIA	0.76775
CATSPER3	1.012
CEACAM7	2.8575
PADI2	0.8435
HOXA9	0.103666666666667
LNX2	0.928166666666667
TMEM144	3.029
HIF1AN	1.23625
METTL7A	-0.1028
C6orf165	3.07766666666667
KIAA1468	0.037125
DSG3	-0.939
ZNF180	0.304666666666667
EIF4E3	1.519625
SLC46A1	1.168
DKK1	-7.38766666666667
ZNF205	0.326333333333333
LOC162073	1.36288888888889
COX7A1	4.615
MAGEA1	-4.7885
NEDD8	0.709166666666667
KLHDC5	0.083
C3orf19	0.259833333333333
MRPS2	-1.02275
POLR3H	0.351357142857143
ABHD11	1.6758
TMEM17	-0.067
PAIP2B	-0.5052
MAT1A	-4.7885
LGI3	0.06975
THUMPD2	0.11825
TKTL2	-0.102333333333333
XAGE3	-2.454
CALM3	0.400916666666667
C6orf136	-0.3555
KCNC4	0.144333333333333
RGS9	-0.604
ACIN1	-0.760166666666667
SPATS1	0.045
XKR8	-0.384
FAM84A	1.21833333333333
MS4A7	4.83772727272727
AGXT2L2	0.078
OR1F1	0.084
SMAP1L	0.146416666666667
IPO11	0.645375
ZC3H11A	0.07625
C1orf151	0.671125
RNASEH2A	-1.4855
CCR10	-1.974
TXNDC11	0.88075
TMEM112	0.1565
MAP1B	-1.43314285714286
NVL	2.37375
PKM2	-1.31075
ARC	-0.4555
NUP54	0.7415
PPFIBP2	2.13583333333333
STAT2	1.651625
PTAFR	0.995833333333333
ROBO2	5.361
RNF40	0.191833333333333
CCDC135	0.119333333333333
IFT81	-0.1911
MORF4	0.20475
TM7SF3	0.553375
OR10H3	1.116
ABP1	-0.513125
CHRD	2.00725
PLEKHA8	0.2145
NCALD	0.91425
OR5AK2	0.8935
ACCN1	0.018
SLITRK1	-0.556333333333333
ARMET	1.00525
C9orf52	1.6225
REEP4	-0.7115
MTSS1	0.137625
ADH1B	0.832
DLD	-0.0725
CDK5	-0.3745
PPFIA1	0.5105
WFDC3	1.34925
DNAJB12	1.50142857142857
RANGRF	-1.1165
MLANA	-4.426
AMY2B	-0.50575
KIAA0319	-2.19657142857143
RPS7	-1.676
JAK3	-0.2126
ARFGEF1	1.50125
CXCL5	1.09
TRAPPC4	0.48625
CETN2	1.10225
HSPC111	-0.60425
RHOBTB3	-1.277
PHLPP	-0.63
RGS10	1.75
TMEM58	-0.1485
CHERP	-0.205625
HSP90AB3P	0.3885
FSTL3	-0.696333333333333
PEX11A	1.56775
OR5V1	0.9585
FCN3	1.869
PTPN3	1.70775
NPTX1	-5.292
C21orf84	-0.91425
C11orf51	-0.1375
ZBED2	2.75475
FLJ90757	0.0995
NPY2R	1.25575
PLD3	0.11075
SYT17	2.96366666666667
SGSM2	-0.438
OR1A2	0.32525
FOXP1	2.10775
SLC5A1	0.41625
POFUT1	-0.1384
EPHB6	-3.32916666666667
MYO1G	-1.3105
STAC	-2.22644444444444
KLHL17	-0.396666666666667
RGMA	-0.0832
TJP2	1.0149
FAM114A1	0.616
SERINC1	0.9395
SLC9A8	0.497375
PEX19	0.63525
EDN2	5.042
PSMD7	-0.463111111111111
C3orf41	-3.247
UQCR	-0.304625
PPP1R3C	-0.93675
LRP4	-2.64483333333333
TM2D1	-0.238
TTC17	0.502125
C4BPB	-1.33525
CCL25	0.7125
ZNF253	-0.5015
CHRNA9	-3.36175
SOX11	-0.54875
HIVEP3	0.327
CGN	2.92858333333333
C3orf35	-0.025625
PKD2L1	2.2
SYVN1	1.056875
PDE8B	-0.76275
LOC439951	0.015
LTC4S	2.45116666666667
MIF4GD	-0.197
SMARCA2	1.235
TUBGCP6	-0.227166666666667
CABLES1	1.0385
C16orf77	0.975
ZNF791	0.0325
FUT5	0.7795
ADH6	-2.21016666666667
P4HB	0.17175
CLDND2	-1.864
ALKBH8	0.3105
PLAC4	-2.1905
F11R	0.492928571428571
MGC35295	1.2775
PDZD4	-0.465
LOC389073	-0.474
FAM80B	0.102166666666667
PSMB1	-0.336375
TXN	-0.465666666666667
VIPR1	2.1104
WBSCR18	0.6677
EXOSC6	-0.433
ACTA2	3.261
SP5	-3.20191666666667
ANKRD1	-2.5625
DDR1	2.5433
ATP6V1D	-0.146
PTGS1	-1.25283333333333
RNF157	-0.76475
DCC	0.164
SPAG7	-0.5735
FBXO18	0.5375
UBE3C	0.4403
HOXC6	1.119
LRP2BP	0.530666666666667
MYST2	-0.128
PDSS2	-0.56975
ATE1	1.1025
ARAF	0.01025
KLF10	0.718
PLA2G2E	0.397
ASCL1	3.61383333333333
TSNAXIP1	1.294
FAM131B	-0.20775
IFNA10	3.031
NUP43	-1.099375
FAM44B	0.010125
L1TD1	-5.1065
NMD3	-0.498833333333333
C18orf54	-2.3004
PHOSPHO1	-0.0575
RAG2	-1.1925
EMILIN3	0.3295
METTL3	-0.749
VPS13C	0.01825
REXO2	-0.752
ANXA4	-0.687
CA1	-0.74975
DCP1B	0.4835
TULP3	-0.657833333333333
ATP2A2	0.547428571428571
ATIC	-0.2265
ADAM15	-0.398583333333333
NPL	1.24466666666667
LGR4	-1.208625
UEVLD	1.58616666666667
GAB1	2.34425
SNAI2	-0.528
ZGPAT	0.3019
SNF1LK	-0.048875
DLEU1	-1.83425
UBE2Q1	0.39575
ZMYM6	0.2445625
JPH3	-2.435
FAM38A	-0.419916666666667
PXK	-0.0896666666666667
DENND2D	2.3875
BAX	-1.51883333333333
CP	-4.23390909090909
RPL37	-1.113
G6PC3	0.500125
NCOA4	0.780666666666667
LRRC14	1.251
GORASP1	1.608
FCHO2	0.873125
CYP24A1	-3.4348
FXYD3	2.1515
SMARCAL1	0.167
ABCB8	0.640666666666667
CCDC44	-0.2665
PRDM7	-3.52925
USH1C	-1.3615
DNAH5	2.94966666666667
SRF	0.55375
MAL2	1.95166666666667
PGPEP1	-0.190083333333333
SIN3B	-0.46025
SEMA3C	0.0646666666666667
GRAMD3	1.19825
FBXO10	-0.52775
OR5D13	0.009
FLJ31818	-0.009625
CACNA1I	-0.13025
S100A13	0.43
TP63	0.577285714285714
ANXA11	0.8957
WDR66	2.4775
CSF2RB	0.5805
IFI44	0.49775
DACT1	1.85966666666667
ANKRD23	-1.87675
ATP5G1	-1.3405
C21orf70	-0.581833333333333
PPWD1	-0.93075
DNAJC13	0.1
PAH	-5.66133333333333
PTCH2	1.81
TRMU	-0.935
CCDC9	0.208
USP3	0.3455
DCLRE1C	-0.0532
FAM55C	0.3095
FRMD4B	2.42825
CYP2R1	-0.03425
RFPL1	0.2372
XPO5	-0.09
ARL6IP2	-0.079
OSBPL5	1.83275
MMP9	1.65690909090909
KIAA0802	-0.645
DHRS2	-4.12566666666667
SGEF	2.294
TXNDC10	-0.8618
EXOC6	2.12275
RPS27	-0.303166666666667
PNCK	0.911
FSTL1	-0.1355
AACS	1.7685
SLMAP	0.7025
SAMD4A	-0.9022
ABRA	0.18825
SMARCD3	-0.382
PKNOX2	-3.00266666666667
A4GNT	0.7475
C9orf39	-1.648
RALYL	-0.06575
MGC33556	-2.9385
C10orf25	-0.814
BBOX1	3.236
NHEDC1	0.1485
XDH	-1.26675
GCSH	-1.5405
EDN1	1.218
MTERF	-0.1915
CLK4	0.873
ZNF799	0.414333333333333
KCNG1	-2.27125
CXCR4	-0.539
PTPRR	-2.95675
IRAK1	0.3565
LOC401397	-0.58
TMSB10	0.516785714285714
CXCL3	-3.544
TMC4	2.62725
OR7A10	0.179
STYK1	2.1905
CHRNA10	0.40225
CCNI	1.82875
EP300	0.532142857142857
LOC165186	-0.179833333333333
HIC2	-3.81675
SDR-O	0.0975
OR2W1	0.9475
KCNA6	0.089
TRIM74	-2.4945
REEP6	2.081
ATP5G2	-0.046
ERG	0.197375
TMEM42	0.17625
PARN	0.434166666666667
SOD2	-0.8379375
DIRAS1	-1.019
PNPT1	-1.4895
JOSD3	-1.49375
hCG_40738	0.227
PDE1C	-2.126
SEMA4D	1.47875
AGPAT1	0.0966666666666667
NOSTRIN	2.15
MAP3K3	-0.8885
MAX	0.250071428571429
CAPS	1.04066666666667
SERPINA12	-0.416
OSBPL8	-0.24125
RICS	1.927
NR4A2	0.9375
PPCS	1.949
LONP1	-1.05275
SCYL3	1.07275
HERC2P2	-2.01316666666667
FIBCD1	-0.683
C15orf41	-2.30625
DMC1	-0.609
C20orf27	-1.22825
RPS6KA5	1.3231
FAHD1	0.224666666666667
SLC12A4	0.15025
BRCA1	-1.2605
GBL	0.42875
SLK	1.709
NUDT9P1	-1.6185
NOXO1	2.601
USP52	-0.9985
BAZ1B	0.515625
SLCO2B1	2.6565
BBS12	0.9425
LRGUK	-1.1945
TERF2IP	0.229
COL1A1	4.766
KIAA0090	0.198625
GRK5	0.557
AP1S2	-2.0995
TMEM52	0.00583333333333334
CA11	-0.720625
OR4A15	0.609666666666667
ACBD3	1.2799
SPAG11B	0.64525
PRDM2	1.4723
FOXP3	-0.2265
SMYD3	-0.1474
LOC389199	0.272
LGI2	0.1885
NAPE-PLD	-0.6392
ANKRD6	1.9675
WDR45	0.144166666666667
SHROOM1	-0.6655
PSCD3	0.105
PYY	0.2835
KCNC1	-2.435
ARHGEF9	0.9774
OR8J1	-0.50075
GPR55	0.1685
NS3BP	-1.162
C10orf22	0.197
NAT8L	-1.07625
DUSP4	-0.4145
FOXM1	-0.980333333333333
GRAMD2	0.392111111111111
ZBTB48	-0.00766666666666666
BUD31	-0.095
PABPC5	0.4935
CCDC41	0.1835
FBXO11	-0.549
C6orf148	-1.7825
RFXAP	-1.41925
C6orf15	0.141
CDK8	-0.563166666666667
C6orf70	0.2495
TESSP2	0.1315
ALG2	0.64125
PPP1R3D	1.588
TPM3	0.427277777777778
SYT13	0.8195
EPB42	-0.721166666666667
CETN3	-0.09125
PRY	0.6145
NTHL1	-0.3565
POLR2B	0.587
RPS28	0.214166666666667
P2RX3	0.7635
LYZL4	-0.0277499999999999
WBP4	-0.8802
PMM1	-0.53225
C11orf79	0.56825
CBLL1	-0.8305
IL1F10	1.08683333333333
VAX2	-0.665
SETDB1	0.0805
LRAP	0.372833333333333
GCLM	-0.306
CPEB3	2.3415
PPM1A	1.9839375
INTS1	-0.04675
CAMTA1	-0.35475
SAMSN1	-1.06425
LOC158830	-2.581
GMPPA	-0.686625
AIPL1	1.10575
IL24	0.00941666666666665
BDKRB1	-1.54816666666667
MLF1	1.2279
TAF12	0.5075
ID1	-2.781
THADA	-0.053625
PIK3CB	0.77225
OR4N5	0.347
TBC1D17	-0.165833333333333
COX8A	-0.36775
CDCA4	0.19625
C2orf44	-1.2145
ZNF534	-0.40125
IMMP1L	0.5185
NIPSNAP3B	0.897875
FTMT	0.524375
PWP2	-0.553833333333333
MMP15	-0.3178
DNAH11	-0.09625
MTMR14	0.07675
DNAL4	1.628
IPP	0.10875
TMEM59	1.332
C1orf157	0.237
RGS4	0.991666666666667
DDX18	-0.598
SNX6	-0.027
ZNHIT2	1.245
NCDN	0.526833333333333
FLJ33534	0.88425
RAG1	-1.939125
OR4D10	0.562
PTPN5	-0.0261666666666667
POMT1	-0.147875
LRRC8A	-0.0813
CYP1A1	-1.838
CAPN1	0.999666666666667
DDHD2	-0.97375
GRIK2	0.367333333333333
GNRHR	0.398666666666667
PPBP	0.3055
HTR3A	-0.72375
SLITRK4	-0.8995
ANKRD49	0.07625
BTF3	0.4386
SARS	0.18125
C13orf18	0.00433333333333336
CACNB1	-0.367153846153846
QKI	-0.291818181818182
SETMAR	0.506
MAN2B1	-0.0488333333333333
EML3	-0.66525
ACADL	-0.67225
OFD1	-0.709125
DEFB114	-0.636
CGA	-3.4388
PEX16	0.4765
LRRC10	0.041
GNG12	0.614
C1orf152	-0.1605
CHRM1	0.899
CD53	-0.082
DBH	-0.995
TFAP2B	-1.81
HIST1H2BJ	-0.892
FAM46D	-0.158
TMEM11	-0.832
C3orf32	-1.91325
PCCB	0.2615
IPO13	0.291625
C6orf105	-2.64325
COMMD5	0.87975
SUV420H1	0.2631
LTBR	0.9395
ARHGAP15	-1.4185
HDHD2	0.30125
TDRKH	0.5615
LOC401052	1.3565
PSG4	-1.0805
GNB4	-0.7471
SPATA4	0.5575
SLC9A3	-1.128
OSBP	1.9505
NBPF3	0.235833333333333
DOCK11	-1.472
SLC39A5	-1.8555
PRR5	0.2395
C10orf63	1.579125
SMTNL2	-1.79525
ADRA1A	0.04325
ASAH1	1.6883
DOM3Z	0.5044
GIPR	0.463666666666667
AHI1	-1.33216666666667
NADSYN1	0.466333333333333
RGS14	0.1901
IL18BP	1.0515
RTN4RL1	1.37841666666667
ARMC6	-0.26075
PSMD5	0.969833333333333
HK3	1.4708
OR4S1	0.519
RSU1	0.3351
MAD2L1	-0.951666666666667
EIF4A3	0.413
DLEC1	-0.8875
E4F1	0.689833333333333
CHMP2B	1.1605
CAMSAP1	-0.07425
RPS21	-1.775
ARID5A	-0.98725
UBE2N	0.6612
IGSF8	0.6595
MAGEB6	-0.985
ACAD11	-1.674
MGC4172	-1.8755
LMO4	-0.49625
KLKB1	-0.647
HP	-0.623
HDAC3	0.3425
SCHIP1	-0.518
CLCA1	-0.2115
OLFML2A	1.028875
C1orf112	-1.352
KIF19	1.10283333333333
HAPLN4	-0.227
CXCR7	0.0275
GOT2	0.3407
RAB38	2.1895
DCX	-1.03275
PPM1H	2.29733333333333
NFYC	0.5595
KIN	0.072125
ZNF228	0.952
PLSCR4	1.61283333333333
HIG2	0.60325
FAM79B	6.426
C21orf86	-0.737
KCNK10	-0.17125
ZNF738	-0.462625
FSTL5	-1.05916666666667
OR6A2	0.629
OTOA	0.829333333333333
EXOC1	0.50875
AHRR	-1.53975
PDAP1	-1.78491666666667
C19orf6	-0.66175
ZAN	0.28075
LY6G6E	-0.383
EIF4E2	-1.02675
C20orf198	0.48625
ZNF324	0.29975
CYP3A5	-3.90433333333333
ENTPD7	2.42483333333333
MBOAT5	0.357166666666667
GJB5	-2.05475
TTC13	-0.27175
S100Z	-1.6075
KIAA0664	-0.3045
PDGFRB	2.00375
IL17D	-1.00075
OR56B4	0.3605
RDX	-1.401
SLC34A3	0.093
IL28B	0.4235
JUND	1.534
CHRNB1	-0.227875
CAMK2B	-0.81025
FETUB	-1.7195
CXorf23	0.805
MRTO4	-0.787875
TTC3	0.6448
NDUFB8	-0.7025
EDG2	0.131
SEMA3G	1.27625
IL23A	-1.8745
GRHL1	1.8402
LOC441054	-0.9345
WDR65	0.603625
PSTK	0.55025
STOML3	0.819
R3HDM2	0.6646
C5	-2.908
SLC2A10	1.70466666666667
C3orf22	0.61825
PAQR3	-2.09892307692308
ANKRD26	-0.045
HCRTR1	0.0785
LOC399947	0.54725
PSD2	0.6035
TIGD2	0.531833333333333
SCRN1	-2.7485
COQ10A	-0.2595
DDI2	1.3405
METTL7B	-1.09466666666667
UCN2	-0.04125
FAM92A3	-1.74325
WDR16	1.32675
ZNF511	0.214666666666667
ZMYM5	-0.552625
POLR3G	-3.54425
ZNF586	0.51575
C1orf49	0.7155
TANK	0.640666666666667
RCAN1	-0.410833333333333
PELI3	0.793666666666667
LIMD2	-0.740666666666667
TMEM189	-0.238
NTN4	2.368375
LOC151300	1.0655
CLEC2A	-0.9105
GPR135	-0.303375
DPYSL4	-1.6544
JAK2	-0.299833333333333
TSHZ1	0.248666666666667
TM9SF4	0.39725
ZNF264	1.44733333333333
SIRPG	1.353875
BICD1	-0.65175
HERC6	2.82083333333333
METTL5	-1.9095
CASP1	0.813
PRRT1	-0.742833333333333
PLA2G4C	2.86283333333333
ICA1L	-0.990785714285714
TPTE2	-0.8812
OTUD7A	0.0713333333333333
AQP11	-0.366
APOA2	-4.3914
KALRN	-0.7491
SECTM1	1.00008333333333
IFNAR1	0.5955
TALDO1	1.003125
RAB11FIP4	-0.0851666666666667
EIF5A	-2.083
FAM49A	1.23325
NEGR1	1.21816666666667
YTHDC2	0.34325
EHD2	-0.680125
NCF1	2.0906
SCRT2	0.7425
HOXA5	-1.10216666666667
NUP133	0.28
FGF12	-0.3755
SLMO2	0.21675
SNTA1	0.14425
CACNG2	0.016625
GCM1	0.87475
ELF1	0.399166666666667
TLR5	2.5975
TCFL5	-0.986
RBMY2FP	-2.126
LOC100125556	0.5805
FAM129B	-0.10525
MAP3K7IP1	-0.311375
NCK2	0.2165
OXA1L	-1.309
FMO9P	0.246
ZSCAN12	0.5185
PSMD12	-0.719166666666667
HSCB	-1.40925
CLDN10	-3.44025
MGC13053	-0.742
HPCAL4	-1.04833333333333
ASZ1	-0.242
MEX3D	0.410833333333333
NFAT5	-1.2664
CSPG4LYP1	-0.238666666666667
FBXO3	1.3916
DVL1	-0.1345
CMKLR1	1.74633333333333
TYMS	-2.72475
PEF1	1.75425
ZNF750	2.63533333333333
MCM5	-0.8897
MEGF11	-1.08525
KCNK7	-0.088
PTP4A3	0.204
C1QTNF2	-0.505166666666667
OR6S1	0.8835
FAM122B	-0.16625
ZNF551	0.173375
HBQ1	-2.403
GEMIN6	-1.18975
ARSK	-0.786
RBP7	1.316
CPNE9	0.03825
DSC1	1.598
LOC730112	-0.58775
MAP2K4	0.03025
HS3ST5	-2.2465
EPB41L3	0.08
TEKT2	1.73075
CDKN2B	0.828666666666667
ZNF480	-1.5045
MAP3K6	0.1332
MAP6	1.4715
HN1	-0.4564
OR2L13	0.6678
SLC16A11	0.534
FAM96A	-0.12475
APOL1	0.5645
C5orf32	-0.40175
RTP1	0.273166666666667
RNF175	-1.185875
ZBTB41	1.20025
AHCTF1	-0.4064
SAE2	0.1447
ITGA2	-1.12108333333333
MME	-0.884
CCDC14	-0.45225
MAST4	1.08128571428571
KRT33B	-0.0905
KCTD2	-0.031
WDR26	1.46991666666667
MFI2	-0.540375
NR4A3	0.078125
ARSA	1.438
UNKL	0.394
SULT6B1	0.3575
CCNA2	-1.28366666666667
SOX15	-1.0075
PPAPDC1B	0.0270833333333333
C19orf44	-0.951
MCAT	0.307416666666667
ARID1B	-0.113
OR52N1	0.096
C12orf48	-1.25275
MAGI1	0.480375
NIPA2	-0.349
GBX2	-1.5505
RSHL3	1.50125
RAVER1	-0.289166666666667
C15orf17	-0.02775
SLC30A2	2.491875
ZNF518	-0.87075
PCYT1B	-1.50375
C10orf114	-1.685
EIF3H	0.718416666666667
SLC25A39	-1.10833333333333
KIF1B	-0.567125
AMOTL2	1.0475
C6orf120	0.316857142857143
PSRC1	-1.57675
PLA2G10	1.567125
KIF5C	0.456625
MRPL37	-0.5035
C17orf62	-0.0191666666666667
C9orf135	-2.10416666666667
DUSP10	1.0727
CLCNKB	0.5295
PSMA5	0.489875
C8orf53	0.0565
AMPD3	-0.272333333333333
PIAS1	-0.118
ADCYAP1R1	0.01
GYLTL1B	-1.16675
CDH20	0.0558333333333333
FBXO7	-0.30775
TMEM134	0.932833333333333
FLJ14213	0.974333333333333
ZNF3	0.10125
LRRFIP1	0.188166666666667
CNOT2	0.494
ABI3	1.728
ALDH5A1	-1.16125
HNT	2.8667
SERPINA4	-2.67025
TK2	0.218833333333333
STMN1	-0.674
GUCA2A	0.583166666666667
GALNT10	1.08135714285714
DPP6	-0.80855
C9orf93	-1.5465
PRELID2	-1.031
STK39	1.407
SFTPA1	-0.96125
CKS2	-0.285111111111111
RHO	0.02275
C20orf135	-0.3645
XKR3	-2.014
CR1	0.112375
RPS6KA2	-0.165214285714286
C20orf112	0.52125
MRPL22	0.21375
C4orf23	1.13616666666667
GADD45B	1.672
KLHDC1	1.66166666666667
C2orf48	-1.382
ZNF287	1.0125
DAAM2	-0.9015
DPPA2	-3.44316666666667
TCTN3	0.713
DNAJB11	0.78325
FPR1	2.3345
DEFB4	0.311
PTCD2	0.2029
SMOC2	4.94116666666667
CABP7	0.555
SERPINB11	-0.00324999999999999
MAGEF1	-0.19375
NDE1	1.24633333333333
ITGA10	-0.3415
FSHB	0.516
ANXA2	1.426625
HORMAD2	0.677
HLCS	1.449
MCF2L	1.58075
FH	0.212625
TBC1D24	2.0045
KIAA1505	1.1885
LGALS2	-1.93425
CNBD1	0.2955
SYNPO2L	-0.58125
PTPN23	0.680071428571429
C1orf183	-1.13333333333333
MAGEA8	-3.14925
DGCR8	-1.794
GSR	-0.2175
PAQR7	0.607
ZNF676	-0.73025
CACNA1C	0.4548
SP7	0.665
PDCD6	0.28625
NRN1L	-1.8975
BRI3BP	-0.547833333333333
KIAA1183	0.77025
ASB4	0.37975
CCL23	0.1647
OBSL1	-1.657875
SLC12A7	2.0475
KIAA0240	1.0985
CD1B	-2.63766666666667
FCGR2A	1.746125
MDC1	-1.3395
HTR1A	0.245166666666667
OCEL1	0.3875
ATP11B	-0.865
FBXO34	-0.0713333333333333
PCDH12	3.4355
RPE	-0.9305
C17orf74	0.205
CSDC2	0.282833333333333
PET112L	0.94625
TMBIM1	-0.592375
P2RXL1	-0.62775
TCHP	0.69775
TRMT1	-1.66566666666667
F2RL2	2.05866666666667
LRRC32	3.25066666666667
IMPG2	0.932
BGLAP	-0.3785
LOC493869	-0.85625
MRAS	0.763
SLC35F5	0.8535
CBWD1	0.3965
AXL	-1.62
ATP2C2	3.149
TELO2	-0.4235
PNPLA3	-2.456
PCDHB14	0.781
CD276	1.1685
KRT80	0.2445
DUSP28	0.767
CSNK1E	-0.588916666666667
SRP14	0.00649999999999999
KCNQ4	0.4625
KRT72	0.810166666666667
CCDC117	0.275875
C6orf89	0.916222222222222
TUBB2B	-2.38066666666667
RTN4IP1	-0.126
CR1L	-3.3515
CEND1	-0.375625
C12orf41	0.421666666666667
RNF31	0.99975
UBN1	0.332833333333333
C17orf32	0.13925
SLC5A7	-0.00125
GPR92	0.712666666666667
ESAM	2.2741
CTNNA1	1.33841666666667
HRBL	0.2655
CBX4	1.56475
TMEM182	0.23225
SH3TC2	-0.246666666666667
IL10	0.942333333333333
PXMP4	1.165
RNF167	-0.0443
PAK7	0.0666666666666667
ETV3	0.0075
ATPIF1	0.114333333333333
LOC554207	-1.8645
OR8H1	0.2975
WDFY3	1.0435
DPM1	-0.53775
GPSM1	0.5065
WDR92	-0.8001
LRP1	-0.1175
ANKH	-0.938875
THUMPD3	-0.48575
POLR1B	-1.04275
OLFM4	2.85166666666667
RAD9B	1.6665
TSPY2	-4.033
PAX6	-1.0556
SCG2	-3.106375
SLC17A6	0.574
FMO3	1.93775
PADI4	-0.22
TUBB4	-0.9108
NLK	-0.7945
POU4F3	-0.717
SDF4	-0.0165
ITGBL1	2.65566666666667
NETO1	-1.696
TAP2	-0.1765
ABBA-1	-0.286333333333333
GNAI1	-0.87775
VPS4B	0.73125
NOPE	0.0151
GALNT6	3.64966666666667
SESN1	-0.475375
GBE1	-1.59244444444444
CLASP1	-0.80775
RASGEF1B	1.55575
ACOT11	-0.128428571428571
AFAP1	0.429
OR2H2	0.61375
DPY19L2P1	-1.081
DZIP1	-2.20225
SEC22C	0.26875
GPR161	-1.32433333333333
RNF146	0.0875
WDR74	-0.696375
GALP	-0.229
PURA	1.05025
DNPEP	1.24008333333333
RP11-78J21.1	-0.33425
ERBB2	1.595375
FANCM	-1.13108333333333
NEO1	0.788833333333333
DDX3Y	-4.8922
RPS3A	0.4745
MXRA7	-0.323857142857143
LGALS3	-1.21583333333333
GLT8D1	0.571
CFL2	-2.38716666666667
UPB1	-0.34425
NAP1L5	-0.248125
CLDN14	-1.624
DHX38	-0.58325
BTBD1	-0.295
TARS2	-0.015
ABCF1	0.3223
FCF1	0.5365
LRRC49	0.96025
GUCY1B2	-2.793
C1orf177	0.3185
SMARCA4	-0.635785714285714
LRP8	-2.81783333333333
TAGLN3	-0.84175
MRPL14	0.18525
TTRAP	0.26075
ZDHHC20	0.344
NFE2L3	-2.24025
KIAA1377	1.591
PALMD	0.8908
TMEM43	-0.52025
TTL	-1.842875
STAT5B	-1.73433333333333
SSB	-1.09625
OR10H5	0.246
SLC22A13	-0.669
AKAP3	-0.79375
TIMM23	0.848833333333333
OAS2	2.7245
KIAA0423	0.73025
TRIM11	0.821833333333333
GLIS3	0.779875
TMEM50B	1.966
ARHGEF4	-1.8395
DEGS1	1.70890909090909
TBL1XR1	1.0425
G6PD	-1.7685
SP140	0.5554
MUC17	0.368714285714286
NUDC	-0.2153
DNAJC5B	2.52966666666667
SCARA3	-1.18866666666667
CPA3	6.97383333333333
BCAT2	0.8385
MFN1	0.0573
NRG3	0.456
SNX11	0.97725
PLEKHH1	-1.49983333333333
GPR177	-0.0908333333333333
HCFC2	0.57325
TCAP	-1.46325
MOCOS	-5.0255
C14orf93	-0.217
PRDM10	-0.372833333333333
SLC16A4	-0.153916666666667
SRGAP1	0.0331666666666667
VIP	-0.695
DUSP27	-0.4485
LILRA1	0.2105
MC2R	0.63
MGC24103	-2.6185
MBTD1	-2.4825
FUT11	-0.615333333333333
USP33	0.5879
