Hybridization REF	TCGA-B6-A0WZ-01A-11R-A109-07
KCNK10	-0.36125
ZNF738	-0.95925
FSTL5	-1.02083333333333
OR6A2	0.322
OTOA	0.772
EXOC1	-0.2125
AHRR	-2.598375
PDAP1	-1.46475
C19orf6	0.28575
ZAN	0.72575
LY6G6E	0.262
EIF4E2	0.2635
C20orf198	0.18375
ZNF324	1.01325
CYP3A5	-3.7785
ENTPD7	1.924
MBOAT5	0.556833333333333
GJB5	-0.67275
TTC13	-0.4355
S100Z	-1.188
KIAA0664	-1.18083333333333
PDGFRB	2.312
IL17D	-1.69425
OR56B4	0.033
RDX	-2.576
SLC34A3	2.2785
IL28B	0.6575
JUND	2.20375
CHRNB1	-0.764875
CAMK2B	1.12825
FETUB	-2.37625
CXorf23	1.135125
MRTO4	-1.1845
TTC3	0.6896
NDUFB8	0.14
EDG2	-0.81
SEMA3G	0.6495
IL23A	-1.4395
GRHL1	1.0959
LOC441054	-2.455
WDR65	0.819
PSTK	-0.1065
STOML3	0.188333333333333
R3HDM2	-0.7093
C5	-2.30925
SLC2A10	0.605
C3orf22	0.6145
PAQR3	-1.85561538461538
ANKRD26	0.55675
HCRTR1	-0.008
LOC399947	-0.80725
PSD2	0.098
TIGD2	-0.562
SCRN1	0.61325
COQ10A	-1.01125
DDI2	-0.6305
METTL7B	-0.9335
UCN2	1.38375
FAM92A3	-1.52225
WDR16	0.69475
ZNF511	-0.1865
ZMYM5	-0.01475
POLR3G	-3.25775
ZNF586	0.295
C1orf49	0.210666666666667
TANK	-0.653
RCAN1	-0.0361666666666667
PELI3	1.13883333333333
LIMD2	-0.9405
TMEM189	-0.3315
NTN4	1.89625
LOC151300	0.455
CLEC2A	-0.93
GPR135	0.029125
DPYSL4	-1.1426
JAK2	1.4435
TSHZ1	0.862166666666667
TM9SF4	-0.218375
ZNF264	1.107
SIRPG	0.10175
BICD1	-1.5525
HERC6	1.331
METTL5	-0.92
CASP1	0.51475
PRRT1	-0.0936666666666667
PLA2G4C	2.897
ICA1L	0.344428571428571
TPTE2	-0.0491666666666667
OTUD7A	2.37416666666667
AQP11	-0.577
APOA2	-4.0148
KALRN	-0.8382
SECTM1	0.996166666666667
IFNAR1	0.50025
TALDO1	-0.167125
RAB11FIP4	0.97825
EIF5A	-1.9955
FAM49A	1.11525
NEGR1	-0.258333333333333
YTHDC2	0.587375
EHD2	0.559375
NCF1	0.9495
SCRT2	3.127
HOXA5	-0.592666666666667
NUP133	-0.2655
FGF12	-0.8463125
SLMO2	-1.130375
SNTA1	0.838375
CACNG2	0.29775
GCM1	0.824625
ELF1	0.526333333333333
TLR5	3.6735
TCFL5	-0.709083333333333
RBMY2FP	-0.6375
LOC100125556	0.139
FAM129B	1.017625
MAP3K7IP1	-0.1755
NCK2	-1.025
OXA1L	0.192
FMO9P	1.4635
ZSCAN12	-0.0615
PSMD12	-1.0985
HSCB	-0.335
CLDN10	-3.40175
MGC13053	-0.7955
HPCAL4	-0.824333333333333
ASZ1	-1.1125
MEX3D	1.5395
NFAT5	-0.4106
CSPG4LYP1	-0.57
FBXO3	-0.0581
DVL1	-0.189166666666667
CMKLR1	1.797
TYMS	-2.894375
PEF1	0.984
ZNF750	1.71183333333333
MCM5	-0.5249
MEGF11	-1.1275
KCNK7	0.4065
PTP4A3	0.163
C1QTNF2	1.441
OR6S1	0.202
FAM122B	-0.817
ZNF551	-0.2205
HBQ1	-2.2905
GEMIN6	0.17875
ARSK	-1.752
RBP7	3.53983333333333
CPNE9	0.0625
DSC1	0.9955
LOC730112	-0.86925
MAP2K4	0.912125
HS3ST5	-3.2795
EPB41L3	-0.22775
TEKT2	2.68675
CDKN2B	-0.0146666666666667
ZNF480	0.04925
MAP3K6	1.4972
MAP6	1.565
HN1	0.6019
OR2L13	0.697666666666667
SLC16A11	1.163
FAM96A	-1.21775
APOL1	0.9225
C5orf32	-0.56025
RTP1	-0.0833333333333333
RNF175	-0.680875
ZBTB41	1.78925
AHCTF1	-0.1167
SAE2	-0.644
ITGA2	-0.890333333333333
MME	-1.32533333333333
CCDC14	-1.44275
MAST4	2.71528571428571
KRT33B	-0.415
KCTD2	0.230166666666667
WDR26	0.650666666666667
MFI2	-0.292625
NR4A3	-0.858875
ARSA	2.1565
UNKL	-0.132833333333333
SULT6B1	0.4085
CCNA2	-2.79
SOX15	-0.2435
PPAPDC1B	1.05291666666667
C19orf44	0.8905
MCAT	1.70575
ARID1B	0.5675
OR52N1	0.434
C12orf48	-2.48975
MAGI1	0.868375
NIPA2	-0.737
GBX2	-2.10325
RSHL3	1.399125
RAVER1	1.56866666666667
C15orf17	-0.495
SLC30A2	0.653625
ZNF518	0.19725
PCYT1B	-1.532
C10orf114	-1.13125
EIF3H	0.611083333333333
SLC25A39	-0.3175
KIF1B	-0.213375
AMOTL2	0.56675
C6orf120	0.5195
PSRC1	-1.78175
PLA2G10	1.97125
KIF5C	2.19775
MRPL37	-0.7855
C17orf62	0.3715
C9orf135	-0.971333333333333
DUSP10	0.8674
CLCNKB	0.729
PSMA5	-0.067
C8orf53	0.66225
AMPD3	0.0786666666666667
PIAS1	-0.079
ADCYAP1R1	0.421
GYLTL1B	-0.65025
CDH20	0.3875
FBXO7	-0.2005
TMEM134	1.07783333333333
FLJ14213	0.415166666666667
ZNF3	0.20875
LRRFIP1	1.06804166666667
CNOT2	0.478583333333333
ABI3	1.9165
ALDH5A1	-2.64183333333333
HNT	3.1244
SERPINA4	-2.5125
TK2	0.568083333333333
STMN1	-1.27077777777778
GUCA2A	0.130666666666667
GALNT10	1.61464285714286
DPP6	-1.1509
C9orf93	-0.094
PRELID2	0.091375
STK39	1.755375
SFTPA1	-1.37925
CKS2	-0.591666666666667
RHO	0.265875
C20orf135	-0.06675
XKR3	-2.929
CR1	-0.119125
RPS6KA2	1.26292857142857
C20orf112	0.7065
MRPL22	-0.1295
C4orf23	0.455166666666667
GADD45B	1.30875
KLHDC1	1.45216666666667
C2orf48	-3.0295
ZNF287	0.711
DAAM2	-1.49775
DPPA2	-3.1465
TCTN3	0.541833333333333
DNAJB11	-0.157875
FPR1	2.90225
DEFB4	0.5
PTCD2	-1.1395
SMOC2	5.0295
CABP7	0.8625
SERPINB11	0.27
MAGEF1	-0.1425
NDE1	0.675833333333333
ITGA10	0.216
FSHB	0.1115
ANXA2	0.7925
HORMAD2	0.13075
HLCS	0.8425
MCF2L	1.42816666666667
FH	-0.16475
TBC1D24	1.271
KIAA1505	2.17
LGALS2	-3.2925
CNBD1	-0.26
SYNPO2L	1.445
PTPN23	0.419857142857143
C1orf183	0.0595
MAGEA8	-1.8185
DGCR8	-0.745625
GSR	-0.9485
PAQR7	0.42575
ZNF676	-0.24175
CACNA1C	0.5338
SP7	-0.0905
PDCD6	-0.77625
NRN1L	-1.5655
BRI3BP	0.5615
KIAA1183	0.6705
ASB4	-0.307
CCL23	-0.0457
OBSL1	-1.278125
SLC12A7	-0.282666666666667
KIAA0240	0.727125
CD1B	-3.2925
FCGR2A	1.016875
MDC1	-1.4765
HTR1A	0.382833333333333
OCEL1	1.394
ATP11B	-1.983
FBXO34	0.651333333333333
PCDH12	4.15266666666667
RPE	-0.3095
C17orf74	0.1785
CSDC2	1.1585
PET112L	-0.0955
TMBIM1	0.7285
P2RXL1	-0.8075
TCHP	-1.49575
TRMT1	-1.04883333333333
F2RL2	-0.481916666666667
LRRC32	2.90983333333333
IMPG2	0.114
BGLAP	0.67875
LOC493869	0.0148333333333333
MRAS	0.6955
SLC35F5	1.141
CBWD1	0.2845
AXL	-2.6715
ATP2C2	2.46225
TELO2	0.096
PNPLA3	-3.06125
PCDHB14	-0.06625
CD276	0.36025
KRT80	-1.288875
DUSP28	0.046
CSNK1E	0.100166666666667
SRP14	0.6245
KCNQ4	-0.357
KRT72	0.0366
CCDC117	-0.237
C6orf89	-0.0343333333333333
TUBB2B	-2.34216666666667
RTN4IP1	-0.792
CR1L	-4.3155
CEND1	1.063
C12orf41	-1.3685
RNF31	1.129
UBN1	0.681
C17orf32	0.462875
SLC5A7	0.895
GPR92	-0.472333333333333
ESAM	2.7601
CTNNA1	0.6225
HRBL	0.7658
CBX4	0.001
TMEM182	-0.426
SH3TC2	-1.33983333333333
IL10	-0.0218333333333333
PXMP4	2.2565
RNF167	-0.6101
PAK7	0.0175
ETV3	-0.6395
ATPIF1	0.5625
LOC554207	-1.646
OR8H1	0.11725
WDFY3	1.424
DPM1	-1.78225
GPSM1	0.4345
WDR92	0.3976
LRP1	0.952833333333333
ANKH	-0.21575
THUMPD3	-0.92625
POLR1B	-1.12525
OLFM4	1.041
RAD9B	0.0595
TSPY2	-3.8835
PAX6	-1.74716666666667
SCG2	-3.154875
SLC17A6	-0.11825
FMO3	1.662
PADI4	-0.413625
TUBB4	-0.5401
NLK	0.33025
POU4F3	-0.532
SDF4	-0.1705
ITGBL1	2.82183333333333
NETO1	-1.524875
TAP2	-0.8515
ABBA-1	0.324833333333333
GNAI1	-1.84325
VPS4B	-0.33975
NOPE	-0.6838
GALNT6	1.70333333333333
SESN1	1.3385
GBE1	-1.67566666666667
CLASP1	0.671
RASGEF1B	-0.402625
ACOT11	-0.280642857142857
AFAP1	0.72875
OR2H2	0.523
DPY19L2P1	-0.27475
DZIP1	-2.242
SEC22C	0.374833333333333
GPR161	-1.0395
RNF146	-0.86475
WDR74	-1.016375
GALP	-0.4265
PURA	0.98775
DNPEP	0.6055
RP11-78J21.1	-2.32475
ERBB2	2.462375
FANCM	-0.471083333333333
NEO1	1.52466666666667
DDX3Y	-5.1961
RPS3A	0.073875
MXRA7	-0.550714285714285
LGALS3	1.11333333333333
GLT8D1	0.04725
CFL2	-2.2045
UPB1	0.67925
NAP1L5	0.03125
CLDN14	0.39025
DHX38	-1.3135
BTBD1	-0.59175
TARS2	0.174833333333333
ABCF1	-0.1527
FCF1	-0.278833333333333
LRRC49	0.36825
GUCY1B2	-1.7015
C1orf177	0.8595
SMARCA4	-0.261
LRP8	-3.38166666666667
TAGLN3	-0.7965
MRPL14	0.17425
TTRAP	-1.184
ZDHHC20	0.77375
NFE2L3	-1.91775
KIAA1377	3.226375
PALMD	0.5738
TMEM43	-0.6155
TTL	-0.637375
STAT5B	-1.05916666666667
SSB	-0.97975
OR10H5	0.208
SLC22A13	-0.8675
AKAP3	-1.639
TIMM23	0.0155
OAS2	2.61558333333333
KIAA0423	1.019
TRIM11	0.540166666666667
GLIS3	1.74925
TMEM50B	0.4145
ARHGEF4	-1.705125
DEGS1	-0.459
TBL1XR1	1.668
G6PD	-1.33875
SP140	1.0895
MUC17	0.125142857142857
NUDC	0.1993
DNAJC5B	0.662
SCARA3	-0.4095
CPA3	5.6995
BCAT2	0.209875
MFN1	-0.6879
NRG3	0.1285
SNX11	0.513
PLEKHH1	-0.0868333333333333
GPR177	-0.923666666666667
HCFC2	-0.274
TCAP	-0.8515
MOCOS	-0.797
C14orf93	0.01225
PRDM10	-0.2455
SLC16A4	-1.32933333333333
SRGAP1	-0.0948333333333333
VIP	-0.000250000000000004
DUSP27	0.257333333333333
LILRA1	0.2564
MC2R	0.3475
MGC24103	-0.51075
MBTD1	-2.872
FUT11	-0.561666666666667
USP33	-0.0191
C15orf39	-1.2115
MAP3K12	-0.044125
PAAF1	-0.692333333333333
BARHL1	0.102
FLJ16165	0.078
PIWIL2	-3.11775
SYNE1	0.0326666666666667
CMTM4	0.068625
TSPYL1	0.1837
GUF1	0.393
TMEM157	1.65
WDR44	0.24
HIST1H3C	0.22425
DKFZp666G057	1.0085
RNPEP	-0.146
GAS2L2	1.33283333333333
ADH4	-5.11025
GRPR	2.6485
FBXL17	2.97975
ZBTB10	-0.0536666666666667
Gcom1	-0.435555555555556
HTRA1	2.2735
ZNF585A	0.4915
SLC26A2	-0.0408571428571428
OTOP3	0.367166666666667
WISP1	2.63177777777778
ATP2B4	0.2185
FLJ10769	0.836
CRAMP1L	-0.18225
CHST12	-0.6025
RAB22A	0.416416666666667
TARDBP	-0.448071428571429
STAU1	-0.14325
CRB3	2.9975
MIG7	-1.28
CHMP1A	-0.386333333333333
ZNF160	0.156375
B3GALT6	-0.213375
BARX1	-1.37983333333333
C6orf167	-3.2175
NXNL1	0.2915
DHX29	0.90925
HADHB	0.7825
PLXNB2	1.1115
ILDR1	-1.067
SLC15A3	1.81575
GAS2	-3.95783333333333
C20orf69	-0.03875
NUMB	0.79325
TNIP1	0.71925
MESP1	1.18966666666667
PSKH1	-0.462
NSFL1C	-0.4335
RHOG	0.156
HEY1	-2.6995
KNG1	-2.339875
ITGAX	1.0396
LIN9	-1.40383333333333
CANT1	0.515625
XRN1	0.104285714285714
CCDC96	2.5183
HEATR6	-0.663
GNG7	1.05766666666667
RUNX2	1.505
SOX1	1.19516666666667
FCRL5	-0.0481
ZNF99	0.452375
FAM9A	0.347
SNX22	0.8685
MBNL3	-3.11733333333333
ODC1	-2.9024
ADORA2B	-2.38566666666667
NR2F6	0.7005
ZFYVE16	-0.228
SYNJ2BP	2.0305
POLE	-1.09975
E2F2	-1.136625
THRA	0.386333333333333
PTGES2	-0.8355
HIP1R	0.577666666666667
TMUB1	0.567666666666667
ENO3	-2.371
RSPH10B	1.038
CXorf39	1.48
IRGC	0.60425
GPR109B	-0.12975
FLJ13305	0.568
LCE3A	-0.06
TNFRSF18	-0.5275
DET1	-0.76975
TRPM3	-0.407583333333333
C16orf79	-0.838
FECH	-1.01433333333333
RAP2A	-0.795
CRIP1	4.20833333333333
AZIN1	-0.5115
SLC7A7	2.176
IL10RA	-0.3335
TMEM64	0.33975
CDC42EP4	0.3561
C16orf58	0.3952
ARG2	-1.72
POU5F1P4	-4.8035
FAM62B	-0.262375
DNAH8	-2.487
ASH2L	-0.215
TSLP	-4.74866666666667
CNTNAP5	-0.170833333333333
TMEM16C	6.26
IFNA14	0.639
SLC1A3	-0.918625
CABYR	2.28225
BCL7B	-0.0502
NUDT13	-1.6335
C13orf28	0.04225
C1orf53	1.06275
ARL6IP4	-0.0268
RPL35A	0.2735
EMR3	0.3875
RAB40C	0.861
SLC41A1	-0.2675
LRCH1	-0.075
LY6G5B	-1.298
FAM124A	-0.758785714285715
MGC10981	-4.18233333333333
CLIP3	-0.00620000000000001
MAP4K2	-0.479833333333333
CHIC1	0.0385
SULF1	2.551
C20orf30	-0.643357142857143
PRDM5	0.438875
ELOVL1	0.17875
C11orf48	-0.689
SLC39A10	0.13875
KCNV1	-0.01925
ACP1	-0.219833333333333
ZMYM2	-0.36125
B3GNT6	-0.166333333333333
C9orf69	-0.1345
C2orf15	2.558
C20orf166	0.521
HSP90AA6P	-1.8675
EDG7	-1.563
NEURL	-0.828125
LPL	0.527166666666667
CLEC2D	-0.459857142857143
GRRP1	1.3655
CD8B	-3.5641
HIST1H3D	-0.142666666666667
SLC6A12	0.185
FAM27L	-0.112
CD84	0.4359
RASA1	-0.755
PHKG1	-1.04
MAGEA11	-2.1295
IMPA1	-2.6202
NPM3	-0.9445
RARRES1	0.15625
SH3BP1	0.316125
B3GNTL1	0.0615
ARPC5L	-0.000166666666666685
KLHL26	0.771
SIM2	-0.41475
GJC1	1.2595
C20orf194	0.5625
EXO1	-2.21225
SLC2A2	-2.7485
LOC285074	-0.15625
LRG1	4.229
KIRREL	0.559
PIK3R1	1.99471428571429
C4orf34	1.29125
MAF	-1.28911111111111
ADCY4	4.218
ZMIZ2	1.0474
SLC46A3	2.23916666666667
STAMBP	-0.262833333333333
CCDC16	-0.20375
MS4A12	-0.01
TCF20	-0.23475
LRRC46	3.05975
C20orf152	-0.30175
MRPS6	-1.66975
ABCB11	1.581
KCNC2	2.625
CDH19	-2.75233333333333
C9orf123	-0.312666666666667
SSH3	1.72625
LDLRAD1	-1.647
CCBE1	-0.1025
ZNF135	1.767875
TAAR1	0.4885
WFDC12	-0.041
CCDC42	0.270333333333333
FLJ12529	-0.824
PER1	0.197333333333333
TIMM50	0.473833333333333
SMARCAD1	-0.861833333333333
FAM26C	0.1945
TP53TG3	-2.27616666666667
SH3RF1	2.2107
LMCD1	1.8725
GPR63	-0.7435
FLJ21986	-3.286875
AIFM3	0.46325
MICAL1	0.75
BLZF1	0.0685
IQCA	5.01683333333333
PCDHGC3	-0.1305
SAC	0.01175
BCL6B	2.474
DDO	1.68975
MARCO	0.93825
DCHS1	1.283
C1orf170	2.36183333333333
CD200R1	0.189166666666667
C22orf15	-0.39
SEPT11	0.4565
ADNP	-0.43625
UST	-0.2886
C13orf34	-1.00216666666667
RFFL	0.946
APBA3	-0.0115
C2orf60	-0.200875
CUTL1	0.071
PMS1	-0.787
ZNF689	-0.3155
EIF3E	-1.543
IL9	0.21
RPL31	0.194625
LY9	-1.003
ATP2B3	0.1625
KDELR2	0.868833333333333
TFCP2	-0.454625
NLRP12	0.036
FLJ45422	0.53825
TLE4	-1.7388
ZNF570	0.1185
FLJ43806	0.2245
TLK2	-0.683375
CIR	0.835
MARS2	-1.0365
COL24A1	1.39425
SDF2L1	0.1225
HIBADH	-0.440333333333333
IGFBP3	-2.81028571428571
C12orf23	0.567
PSPC1	0.019
C20orf43	-0.421
TRAV20	0.00950000000000001
ARHGAP24	-0.426625
KIAA1975	-0.414125
C1QA	3.4929
DNTT	-4.901
C10orf6	-0.0944166666666667
C11orf41	-0.347
HNRPF	0.3295
COL11A1	7.07833333333333
UBAP2	-0.181333333333333
CDKN2AIPNL	-0.3125
C20orf174	1.27525
SPRED2	0.90275
PLA2G12A	1.16116666666667
ICEBERG	-2.05183333333333
SCN10A	0.2195
C11orf65	0.50975
GBP5	3.138
PITPNC1	-1.60816666666667
POU3F3	3.079
NCOA7	-0.240125
LIN7C	-0.4658
LOC348840	-0.919
NKX2-2	-2.70525
ANKRD13D	0.937125
LOC123688	0.71975
FUT2	2.57533333333333
TAAR8	0.612
FZD4	-0.23725
PNMA3	-1.36366666666667
OR4L1	0.2815
WIT1	-2.091
EXOC3L	2.4225
ATPBD4	-0.8731
KRBA1	-0.59775
UBXD6	-0.60625
HOXB7	0.822857142857143
C7orf23	-0.8535
UNQ338	-0.61775
STAB2	0.5515
CDC20B	0.512
IRF9	2.51075
CENTG1	1.16641666666667
TNPO2	-0.42925
MCPH1	0.145875
BMS1P5	-1.22825
SLC26A7	0.7165
HIST1H3J	1.1645
C9orf3	0.7162
LBH	1.392875
MYO1D	0.393125
PTDSS2	0.118
NFU1	1.33725
DEPDC4	-1.66275
WNT7B	2.8865
GLP2R	-0.471666666666667
SETD4	-0.3482
DYNLT3	-0.038
FKBP11	-0.912166666666667
SESTD1	1.8085
FLII	-0.21125
RPS16	0.5109
CHPF	0.655666666666667
CSNK2A1	-0.1975
SUMO1P1	-0.201
FKBP6	-1.2295
ZNF214	0.681333333333333
TWIST1	-0.121
DDX56	-0.645666666666667
TRAM1L1	1.2947
EPO	-0.00166666666666667
MRPS18B	-0.88525
ZNF682	-0.377833333333333
RPL14	-0.101166666666667
MAFF	-0.2135
LOC51136	-1.02575
LY96	-0.615
DDX20	-0.64375
ABTB1	-0.0703333333333333
ARL5A	-0.1264
CCT6A	-1.22725
HEPACAM	-0.7664
EHHADH	-0.658
RBAK	0.371833333333333
CGB1	0.05575
ITGB5	0.9445
YIPF3	0.3325
FKBP2	0.38325
NR1D1	0.7861
TMEM110	1.141
NEK2	-1.421
PRAMEF8	-3.6545
C20orf52	0.0133333333333333
PCDHGA3	0.1775
VWA3B	-0.122
NDUFA5	0.963125
THAP9	-1.717
FLVCR2	-0.203833333333333
AP1S1	-0.655875
SMAD6	-1.30475
SAV1	0.510125
SAT1	1.140875
ZNF251	-0.091875
ADAMTS7	1.0806
RPP38	0.12425
C1orf211	0.1855
YPEL2	1.826
RBMS1	-0.59
ZNF445	-0.133
NRXN2	0.3185
PGBD4	0.20725
UGT2B28	-2.20425
WBSCR16	-0.4416
NLRC3	-0.289125
ASTL	0.68925
ST6GALNAC1	-3.1325
ZADH2	-0.2845
MLLT4	0.748083333333333
ARL6	-0.8745
MEF2C	0.11475
CBFA2T3	-0.9195
AFF3	0.253642857142857
COG7	0.611833333333333
MYB	1.035
PLXNA3	0.096
XRCC2	-0.8155
MMS19	-0.28675
ST8SIA5	-0.721
CHPT1	0.204666666666667
KIAA1712	-0.201875
OR6X1	0.457
ACTR3	-0.395125
UGCG	1.78166666666667
OR4P4	-0.515
ZAP70	-3.391
LPP	2.0745
ZNF485	-0.177
PTPRCAP	-0.71825
IL12RB1	0.37975
ATRX	-0.5185
CHST8	4.544
C14orf109	0.275
ARV1	0.79675
NMB	-1.39414285714286
COX5A	-0.614166666666667
EIF6	-0.31975
MPPED2	-0.767
SEMG1	-1.105
CHRDL1	-0.7715
TRAF3IP2	1.88075
WNK2	0.412625
LILRA4	0.4895
LAMA2	3.1535
PXT1	0.141
RLBP1	-3.212
CD300C	-0.63975
SLTM	-0.530875
FLJ10404	0.0226875
APOBEC3D	-0.970833333333333
RENBP	-0.455166666666667
ATXN7L1	1.018875
NID1	-0.81
TUBGCP3	-1.53475
ITIH5	0.485833333333333
CCDC110	1.07925
C8A	-3.168
MGC87042	-1.9925
HOXC13	0.69475
TFDP2	-0.928
HCP5	1.4675
POLI	0.514
UCN	0.711
ZNF764	0.354166666666667
C8orf45	1.08525
FHL3	-0.708
SPATA5L1	-0.5215
MMRN2	2.7175
NDST1	2.05633333333333
COL20A1	0.0841666666666667
ZNF248	-0.962
PELP1	-0.668166666666667
MBL2	-2.85025
RNF41	0.417875
C5orf24	0.81775
THOC5	-0.439125
SERINC3	-0.363583333333333
RP11-151A6.2	-0.096
CDCP2	0.337
HIST1H2AA	0.447
C11orf75	-0.0413333333333333
FKBP7	0.10675
DDOST	-0.41175
GPNMB	-0.467833333333333
TTF2	-1.68733333333333
KCNT1	0.0321666666666667
SLC39A14	-1.096625
NGRN	0.4513
GPR137B	0.0535
MECP2	-0.0475
PSMA1	-0.75825
C16orf73	-5.636
TMEM60	0.428666666666667
CSN3	0.1585
NOS1	0.5855
RAB7L1	-0.294166666666667
YBX2	-1.0395
KIAA1166	-0.236375
FUBP3	-1.143
ABCG1	2.3175
ACACA	0.22025
ARL11	-0.7016
ATOH1	-0.679
ODF1	0.133
CREB3L3	-2.42283333333333
TMEM127	1.9875
DSCAML1	0.1865
PLN	2.5215
LYPLA1	-1.00841666666667
PRDM9	-2.7885
SASP	0.8465
PLUNC	0.1475
INTU	1.717
HISPPD1	-0.50525
LNPEP	0.254666666666667
YARS2	-0.988833333333333
APCDD1L	-0.404
ZCCHC4	-1.1951
FBXO22	-0.892666666666667
TTLL13	-0.5135
ZNF669	0.255
PTGDR	2.0815
DDX27	-0.89225
KIAA0409	-0.5535
GJB6	0.1095
ASB8	0.4215
PLP2	0.204333333333333
MEPE	0.87825
OR10J5	0.1565
KRT222P	3.2945
COQ7	0.844333333333333
C1orf101	1.82525
RERG	2.846
CHMP5	0.078875
THAP11	-0.84375
ZNF43	0.131833333333333
ZRANB3	-0.521666666666667
KRT13	2.054375
MRPL19	0.191
RBBP9	-0.029375
SPATA17	1.40825
BXDC5	-0.958833333333333
PAFAH1B1	-1.21408333333333
MAGEE1	0.3085
OSTF1	1.269
KIAA0323	0.446666666666667
TXNDC13	-0.00749999999999999
CNTN4	1.138125
LCE1B	-0.1445
UNQ501	2.0705
ZNF154	0.45325
C3orf64	-0.72225
SYT5	0.2067
PON1	-0.4
FLJ10357	-0.579875
ATP4A	-1.783
GNPDA1	-1.08966666666667
MGAT1	0.651666666666667
C14orf121	0.81225
SLC35B2	-0.09625
MIER3	0.0793333333333333
CHEK1	-2.71275
ZNF8	0.773
TXNDC1	-1.10816666666667
CKB	-0.3045
RTN3	0.72
FZD2	-0.3635
PART1	-0.767875
PSMB6	-1.249
PCDHB8	-0.506
PHC3	0.0984
PPP1R8	-0.774333333333333
NOVA2	1.69633333333333
TNFRSF11B	-3.14425
GOLPH3	0.259666666666667
UBLCP1	-0.79975
SUHW3	-0.64125
TTLL1	1.27075
OPN4	0.701
OR13G1	0.6235
ZPBP2	0.1386
HSD17B11	-2.161375
C9orf50	0.5105
DHDDS	0.478214285714286
CTSW	0.1149
NEFM	-1.29266666666667
MRPL28	-0.2435
SYN1	1.41483333333333
PIGV	0.053
ZIM2	-1.24
APBB1	-0.332333333333333
SND1	-0.29775
C1orf123	-0.287
CHD3	-1.2645
BHLHB8	0.526
RNASE2	-1.09133333333333
BCAP31	0.158875
SLC25A44	0.362833333333333
CHD6	0.1702
PIB5PA	2.24407692307692
SELS	0.10175
LOC541471	0.417875
FAT2	-0.8925
ZNF81	-0.153
OR4C16	0.454
FLJ10081	-0.0611
LRRC4	1.0825
CS	-0.6435
N4BP2	0.241
IGFBP7	0.88725
ZNF318	0.8985
NDNL2	-0.08925
ZNF609	0.698625
SIRT4	0.1815
EXOSC10	0.02125
ECE2	0.13675
OVGP1	1.1355
GTPBP3	-0.3315
PACS2	0.6914
C19orf36	1.024
ARL4C	-0.96025
ATG4B	0.010625
UBQLNL	2.07425
RHOXF2B	-3.4605
PLEKHG2	-0.227
GALR1	-0.035
AQP4	-0.213833333333333
HDAC7A	0.3695
DCUN1D3	1.0305
OR8A1	-0.253
CCRN4L	1.232875
CBR4	-0.061
KIFC1	-2.13083333333333
SLC7A14	-1.536
LHX5	-0.288
TRPC7	-0.2695
LPXN	-1.6525
SERPINA1	0.67175
RPS13	-0.369
BPIL3	-0.528
PRKAA1	-0.49025
FADS2	0.0102
ENAH	0.4626875
PRO1768	-0.5455
APBA2BP	0.68575
LIPH	3.28283333333333
C3orf33	-0.7495
RCC2	0.622142857142857
ALDH1A2	-3.4934
RNF103	2.4365
AHCY	-1.20625
ALG12	1.4275
CCL17	1.311
ZNF543	1.214
ESRRG	4.4407
CNGA1	-0.0815
RDH5	-1.3295
OTX1	0.1484
PTGFR	-2.07116666666667
CDR2	-0.05525
SELE	1.6325
NLGN2	-0.839
EXOSC9	-1.39525
ZNF566	-0.293
KLRC2	-5.208
GPR12	0.807
KIAA0196	-0.5345
PDRG1	0.5165
SSR3	-0.145857142857143
MSI1	-0.9235
CST9	1.7875
CC2D1A	0.615
PLAGL1	-0.592388888888889
ZNF778	-0.5915
RNF2	0.5
KLF6	0.532833333333333
THBD	3.01833333333333
tcag7.1314	0.8085
NR5A1	-0.055
ABCD2	-0.957
DNAJC7	-2.16875
CLEC4C	-0.11
TM2D3	-0.162125
CCDC4	-0.6105
PLAC2	1.51
DCD	1.411
FAAH	2.731875
POLA1	-0.645333333333333
TM7SF2	0.2975
FLJ39822	-1.7005
FLOT2	0.006125
MAP4K1	-1.029
SRP68	0.07225
C21orf74	-0.2315
ARPC5	-0.46575
LOC126075	2.95425
HECW2	1.12975
ZDHHC4	-0.21675
ANKRD42	2.3474
PDE9A	-0.819166666666667
ABCA8	-0.7025
NDUFS2	-0.91375
UBR5	-1.165375
BTBD16	-2.44525
LOC554174	0.4105
ZNF20	1.6
KIAA1843	0.4925
WDR17	0.182875
C15orf33	0.1165
RNF113A	-0.7395
CAMKK1	-1.0729
CLCN2	0.26325
ANXA6	-0.97
LOC340069	0.923
EMID1	0.157375
DPM3	-0.389833333333333
ELA1	-0.458
SLC25A13	-0.3102
KRT24	-0.09275
SMPD1	0.163
TH	0.404125
COL6A2	1.33107142857143
ANKS1B	1.244
GPR126	-4.0605
ZC3H12A	0.148
TMEM47	1.96016666666667
C2orf51	-0.3035
C1orf88	2.222
HSF2BP	-0.65875
AKAP10	-0.97025
RPAP3	-1.248
KLHDC8B	0.240125
STOM	0.9801
MUPCDH	0.04275
C10orf72	-0.795375
PLEKHA3	0.662583333333333
TCP11L1	-0.6435
CWF19L1	-0.316875
SPEF1	2.89761538461538
YSK4	-0.08525
ELN	2.1516
SAMD8	0.806666666666667
MPI	-0.881666666666667
MEPCE	0.103
ABCC3	0.10775
