Hybridization REF	TCGA-BH-A0BJ-11A-23R-A089-07
FAM114A1	-0.4045
SERINC1	1.42091666666667
SLC9A8	0.09975
PEX19	0.417
EDN2	2.01375
PSMD7	-1.05488888888889
C3orf41	0.15375
UQCR	-0.55025
PPP1R3C	1.68625
LRP4	-0.8545
TM2D1	0.117
TTC17	0.2804375
C4BPB	-3.46625
CCL25	0.54425
ZNF253	0.564333333333333
CHRNA9	-3.7055
SOX11	-0.869
HIVEP3	0.7635
CGN	1.76125
C3orf35	0.01375
PKD2L1	0.206
SYVN1	-0.0275
PDE8B	-0.237
LOC439951	-0.153
LTC4S	1.98916666666667
MIF4GD	0.00816666666666668
SMARCA2	1.8125
TUBGCP6	-0.253
CABLES1	-0.10475
C16orf77	3.0405
ZNF791	0.92425
FUT5	-0.291
ADH6	-2.9435
P4HB	-0.32175
CLDND2	-0.68975
ALKBH8	0.4435
PLAC4	-2.06875
F11R	-0.0657142857142857
MGC35295	-0.0283333333333333
PDZD4	-0.165
LOC389073	-0.4845
FAM80B	-0.206166666666667
PSMB1	-0.700875
TXN	-1.353
VIPR1	2.0157
WBSCR18	-0.1117
EXOSC6	-0.800666666666667
ACTA2	3.68316666666667
SP5	-2.85116666666667
ANKRD1	-2.57075
DDR1	1.7142
ATP6V1D	0.118
PTGS1	-0.90025
RNF157	-1.20725
DCC	0.0600000000000001
SPAG7	0.59525
FBXO18	0.16725
UBE3C	-0.8477
HOXC6	0.61925
LRP2BP	0.261
MYST2	0.00125
PDSS2	0.0125
ATE1	-0.3435
ARAF	-0.09
KLF10	1.16825
PLA2G2E	0.296
ASCL1	-1.2835
TSNAXIP1	1.056
FAM131B	0.44325
IFNA10	-0.775
NUP43	-0.82225
FAM44B	-0.07975
L1TD1	-4.24716666666667
NMD3	-0.28775
C18orf54	-1.1259
PHOSPHO1	-0.317
RAG2	-1.4415
EMILIN3	-0.205
METTL3	-0.31775
VPS13C	0.663375
REXO2	-0.563
ANXA4	0.08775
CA1	-0.951
DCP1B	0.92425
TULP3	-0.738666666666667
ATP2A2	0.184571428571429
ATIC	-1.57025
ADAM15	-1.25016666666667
NPL	0.353666666666667
LGR4	0.544
UEVLD	0.375333333333333
GAB1	1.63075
SNAI2	1.21366666666667
ZGPAT	-0.4228
SNF1LK	0.732375
DLEU1	-1.564
UBE2Q1	0.397
ZMYM6	0.4181875
JPH3	-1.9475
FAM38A	-0.788416666666667
PXK	-0.085
DENND2D	1.81225
BAX	-1.66225
CP	-1.55609090909091
RPL37	-0.0394
G6PC3	-0.456625
NCOA4	0.715833333333333
LRRC14	-0.224375
GORASP1	0.62025
FCHO2	0.858375
CYP24A1	-2.4933
FXYD3	1.745
SMARCAL1	0.06625
ABCB8	-0.520833333333333
CCDC44	-0.711
PRDM7	-3.17875
USH1C	-1.4825
DNAH5	1.0195
SRF	1.20408333333333
MAL2	1.515
PGPEP1	-0.341666666666667
SIN3B	-0.9875
SEMA3C	1.28433333333333
GRAMD3	3.9825
FBXO10	0.1965
OR5D13	1.2105
FLJ31818	1.2895
CACNA1I	-0.15975
S100A13	0.406
TP63	4.26085714285714
ANXA11	0.8209
WDR66	0.172625
CSF2RB	0.019
IFI44	0.18425
DACT1	1.52583333333333
ANKRD23	-1.316
ATP5G1	-1.03566666666667
C21orf70	-0.825666666666667
PPWD1	-0.39475
DNAJC13	0.16125
PAH	-4.37833333333333
PTCH2	0.489
TRMU	-1.30625
CCDC9	-0.412
USP3	-0.3668
DCLRE1C	-0.0471
FAM55C	-0.247
FRMD4B	2.37775
CYP2R1	-0.1075
RFPL1	-0.4589
XPO5	-1.138
ARL6IP2	0.96
OSBPL5	1.32425
MMP9	-0.529545454545455
KIAA0802	-0.285
DHRS2	-3.56866666666667
SGEF	0.40175
TXNDC10	-0.4099
EXOC6	1.08525
RPS27	0.927333333333333
PNCK	-1.44233333333333
FSTL1	1.096
AACS	0.59875
SLMAP	1.09516666666667
SAMD4A	0.1166
ABRA	-0.3315
SMARCD3	2.22275
PKNOX2	-1.41933333333333
A4GNT	0.473
C9orf39	-0.515333333333333
RALYL	0.28
MGC33556	-3.024
C10orf25	-0.1135
BBOX1	6.931
NHEDC1	0.2975
XDH	3.169
GCSH	-0.8075
EDN1	2.84216666666667
MTERF	0.41575
CLK4	1.843375
ZNF799	0.773166666666667
KCNG1	-1.25625
CXCR4	0.448833333333333
PTPRR	-2.47125
IRAK1	-0.717125
LOC401397	-0.15175
TMSB10	0.0567857142857143
CXCL3	-0.5793
TMC4	1.88925
OR7A10	0.3345
STYK1	1.2825
CHRNA10	-0.00199999999999999
CCNI	0.72475
EP300	0.658571428571429
LOC165186	-0.380666666666667
HIC2	-1.9115
SDR-O	-1.1535
OR2W1	0.845
KCNA6	0.8065
TRIM74	-1.54325
REEP6	0.5865
ATP5G2	0.202
ERG	1.29575
TMEM42	0.284
PARN	-0.355833333333333
SOD2	0.033625
DIRAS1	0.1515
PNPT1	-1.768
JOSD3	-0.364
hCG_40738	0.0465
PDE1C	0.306
SEMA4D	0.30425
AGPAT1	-0.244666666666667
NOSTRIN	1.048375
MAP3K3	0.0118333333333333
MAX	0.636857142857143
CAPS	0.788166666666667
SERPINA12	0.129
OSBPL8	-0.114875
RICS	1.0276
NR4A2	2.86666666666667
PPCS	1.008
LONP1	-1.4585
SCYL3	1.11875
HERC2P2	-0.0996666666666667
FIBCD1	-0.9075
C15orf41	-0.33825
DMC1	-0.5285
C20orf27	-1.6015
RPS6KA5	1.8541
FAHD1	-0.422333333333333
SLC12A4	0.02325
BRCA1	-2.15808333333333
GBL	-0.76325
SLK	0.124333333333333
NUDT9P1	0.7375
NOXO1	1.9355
USP52	-0.76
BAZ1B	-0.67
SLCO2B1	3.3105
BBS12	1.91
LRGUK	-0.495833333333333
TERF2IP	0.4355
COL1A1	4.1885
KIAA0090	0.17325
GRK5	0.906666666666667
AP1S2	-1.0012
TMEM52	-1.06683333333333
CA11	0.992875
OR4A15	0.353166666666667
ACBD3	0.4934
SPAG11B	0.428625
PRDM2	1.4174
FOXP3	0.000999999999999987
SMYD3	-0.5826
LOC389199	-0.165
LGI2	0.185666666666667
NAPE-PLD	0.0405
ANKRD6	1.8135
WDR45	0.177166666666667
SHROOM1	-0.63625
PSCD3	-0.057
PYY	-0.032
KCNC1	1.642
ARHGEF9	0.8299
OR8J1	0.52125
GPR55	-0.0178333333333333
NS3BP	-1.4765
C10orf22	1.016
NAT8L	-1.21225
DUSP4	0.2695
FOXM1	-3.457
GRAMD2	2.9793
ZBTB48	-0.179333333333333
BUD31	-0.363
PABPC5	1.1715
CCDC41	-0.859
FBXO11	0.173
C6orf148	-0.428
RFXAP	0.3065
C6orf15	2.91166666666667
CDK8	-0.463166666666667
C6orf70	0.096375
TESSP2	-0.293
ALG2	0.582
PPP1R3D	0.345
TPM3	-0.526944444444444
SYT13	-0.49625
EPB42	-0.500666666666667
CETN3	-0.7435
PRY	-0.117
NTHL1	-0.927833333333333
POLR2B	0.319
RPS28	0.3
P2RX3	0.10725
LYZL4	0.45525
WBP4	0.4255
PMM1	-0.50125
C11orf79	0.20075
CBLL1	-0.47375
IL1F10	-0.0465
VAX2	-0.497
SETDB1	0.151833333333333
LRAP	-0.739166666666667
GCLM	-0.231166666666667
CPEB3	3.10775
PPM1A	0.4864375
INTS1	-1.025
CAMTA1	1.3205
SAMSN1	-2.14675
LOC158830	-2.28316666666667
GMPPA	-0.77775
AIPL1	-0.115666666666667
IL24	-0.0909166666666667
BDKRB1	-0.995333333333333
MLF1	1.0863
TAF12	-0.289
ID1	-1.9775
THADA	-0.3165
PIK3CB	0.0325
OR4N5	0.003
TBC1D17	-0.248166666666667
COX8A	-1.25225
CDCA4	-0.904
C2orf44	-0.45
ZNF534	-1.049
IMMP1L	-0.556
NIPSNAP3B	1.177375
FTMT	1.529125
PWP2	-0.886833333333333
MMP15	-1.0788
DNAH11	-1.3195
MTMR14	-0.024
DNAL4	0.9045
IPP	-0.36675
TMEM59	0.843625
C1orf157	0.1535
RGS4	0.110833333333333
DDX18	-0.367166666666667
SNX6	0.384
ZNHIT2	-0.3485
NCDN	-0.3945
FLJ33534	0.31575
RAG1	-1.149375
OR4D10	0.00199999999999999
PTPN5	-0.8075
POMT1	0.14725
LRRC8A	0.6947
CYP1A1	-1.668
CAPN1	0.6225
DDHD2	-0.191625
GRIK2	-0.698
GNRHR	0.06775
PPBP	2.22225
HTR3A	-0.8725
SLITRK4	1.50325
ANKRD49	0.42425
BTF3	0.3155
SARS	-0.14775
C13orf18	1.34966666666667
CACNB1	0.207
QKI	0.758863636363636
SETMAR	0.912625
MAN2B1	0.716666666666667
EML3	-0.2295
ACADL	0.951333333333333
OFD1	0.186875
DEFB114	0.561
CGA	-3.919
PEX16	-0.16
LRRC10	-0.4635
GNG12	0.0405
C1orf152	-0.303333333333333
CHRM1	0.223
CD53	-0.210875
DBH	-1.269
TFAP2B	3.95575
HIST1H2BJ	-1.66316666666667
FAM46D	0.291
TMEM11	-0.0715
C3orf32	-2.8575
PCCB	-1.373625
IPO13	-0.11125
C6orf105	-1.4875
COMMD5	-0.11425
SUV420H1	0.5455
LTBR	0.37925
ARHGAP15	-0.6855
HDHD2	0.74675
TDRKH	-0.653166666666667
LOC401052	1.551
PSG4	-0.80175
GNB4	-0.5534
SPATA4	2.297
SLC9A3	-1.274
OSBP	0.678166666666667
NBPF3	-0.180666666666667
DOCK11	-0.708
SLC39A5	-2.13616666666667
PRR5	0.3931
C10orf63	0.7625
SMTNL2	0.3845
ADRA1A	0.3
ASAH1	1.5286
DOM3Z	-0.2159
GIPR	0.348833333333333
AHI1	-0.17775
NADSYN1	-0.406833333333333
RGS14	-0.0768
IL18BP	0.5363
RTN4RL1	1.51275
ARMC6	-0.812
PSMD5	0.228166666666667
HK3	0.3064
OR4S1	0.54175
RSU1	1.2452
MAD2L1	-3.17288888888889
EIF4A3	-0.411
DLEC1	0.705333333333333
E4F1	-0.656333333333333
CHMP2B	0.4223
CAMSAP1	-0.372
RPS21	-0.539333333333333
ARID5A	2.7805
UBE2N	-0.0427
IGSF8	0.386333333333333
MAGEB6	-3.3475
ACAD11	-0.9152
MGC4172	-0.69975
LMO4	0.79
KLKB1	0.7495
HP	-1.266
HDAC3	0.24875
SCHIP1	1.7935
CLCA1	0.216
OLFML2A	1.899625
C1orf112	-2.071
KIF19	0.784666666666667
HAPLN4	0.3603
CXCR7	1.1405
GOT2	-0.791
RAB38	-0.197125
DCX	4.34925
PPM1H	-0.125166666666667
NFYC	0.211833333333333
KIN	0.047375
ZNF228	1.698
PLSCR4	3.73533333333333
HIG2	-1.49475
FAM79B	4.5325
C21orf86	-0.8571
KCNK10	-0.222
ZNF738	-0.586875
FSTL5	-0.620833333333333
OR6A2	0.2105
OTOA	0.719666666666667
EXOC1	0.71775
AHRR	-3.864125
PDAP1	-2.38691666666667
C19orf6	-0.597125
ZAN	0.15975
LY6G6E	-0.1395
EIF4E2	-0.8355
C20orf198	-0.67075
ZNF324	0.2705
CYP3A5	-2.9865
ENTPD7	-0.0346666666666667
MBOAT5	0.3555
GJB5	2.204
TTC13	-0.58225
S100Z	-1.29616666666667
KIAA0664	-0.395166666666667
PDGFRB	2.08883333333333
IL17D	1.102
OR56B4	-0.0895
RDX	-0.872
SLC34A3	-0.2025
IL28B	-0.9835
JUND	1.72025
CHRNB1	0.14
CAMK2B	2.63225
FETUB	-0.00375
CXorf23	1.095375
MRTO4	-1.256375
TTC3	0.2634
NDUFB8	-0.465
EDG2	0.653
SEMA3G	2.682
IL23A	-0.81175
GRHL1	2.4311
LOC441054	-1.1385
WDR65	1.09575
PSTK	0.17725
STOML3	0.5395
R3HDM2	0.5323
C5	-1.937
SLC2A10	0.2475
C3orf22	-0.076
PAQR3	-0.432384615384615
ANKRD26	-0.33525
HCRTR1	-0.3735
LOC399947	0.21175
PSD2	1.8085
TIGD2	1.35766666666667
SCRN1	-0.998625
COQ10A	-0.0575
DDI2	0.204
METTL7B	-0.782333333333333
UCN2	-0.105
FAM92A3	-0.417
WDR16	1.174
ZNF511	-0.3535
ZMYM5	-0.2095
POLR3G	-2.94125
ZNF586	0.84775
C1orf49	0.1895
TANK	2.4225
RCAN1	3.29
PELI3	0.9055
LIMD2	-0.679666666666667
TMEM189	-1.2625
NTN4	3.4535
LOC151300	0.582
CLEC2A	-1.677
GPR135	-0.51175
DPYSL4	-0.7863
JAK2	0.0673333333333333
TSHZ1	1.04116666666667
TM9SF4	-0.651375
ZNF264	0.831166666666666
SIRPG	1.064625
BICD1	-0.0005
HERC6	1.72833333333333
METTL5	-0.791
CASP1	2.1265
PRRT1	-0.0183333333333333
PLA2G4C	1.97716666666667
ICA1L	0.608428571428571
TPTE2	-0.0988333333333333
OTUD7A	-0.048
AQP11	-1.176
APOA2	-4.4861
KALRN	0.8485
SECTM1	0.53875
IFNAR1	0.1525
TALDO1	-0.5755
RAB11FIP4	-0.474916666666667
EIF5A	-1.9195
FAM49A	2.64125
NEGR1	0.5785
YTHDC2	-0.547625
EHD2	0.545375
NCF1	1.3684
SCRT2	-0.6745
HOXA5	2.56283333333333
NUP133	0.17925
FGF12	0.659
SLMO2	-0.482625
SNTA1	-0.11
CACNG2	0.19225
GCM1	-0.062625
ELF1	0.705
TLR5	3.2275
TCFL5	-1.09833333333333
RBMY2FP	-0.9105
LOC100125556	0.157875
FAM129B	-0.037875
MAP3K7IP1	-0.0545
NCK2	0.9985
OXA1L	-0.43675
FMO9P	0.067
ZSCAN12	0.862
PSMD12	-0.706
HSCB	0.063
CLDN10	-1.54975
MGC13053	-0.7925
HPCAL4	-0.0333333333333333
ASZ1	-0.6765
MEX3D	0.216916666666667
NFAT5	-0.00649999999999999
CSPG4LYP1	-0.614333333333333
FBXO3	1.3313
DVL1	-0.498833333333333
CMKLR1	1.75883333333333
TYMS	-4.15575
PEF1	0.6205
ZNF750	3.087
MCM5	-1.6162
MEGF11	-0.4335
KCNK7	-0.1775
PTP4A3	-0.6795
C1QTNF2	-0.5875
OR6S1	-0.1245
FAM122B	-1.864
ZNF551	-0.10675
HBQ1	-1.875
GEMIN6	-0.89925
ARSK	0.64575
RBP7	3.48283333333333
CPNE9	-0.09175
DSC1	3.439
LOC730112	-0.60375
MAP2K4	1.218
HS3ST5	-1.7525
EPB41L3	0.04225
TEKT2	1.1075
CDKN2B	-0.860583333333333
ZNF480	-0.963
MAP3K6	0.5512
MAP6	2.82566666666667
HN1	-1.4915
OR2L13	1.76133333333333
SLC16A11	0.73125
FAM96A	-1.2725
APOL1	0.1525
C5orf32	-0.11875
RTP1	-0.33
RNF175	0.817125
ZBTB41	0.852375
AHCTF1	-0.9222
SAE2	-0.3733
ITGA2	1.114
MME	3.239
CCDC14	-0.47575
MAST4	0.761857142857143
KRT33B	-0.3515
KCTD2	0.482
WDR26	0.45275
MFI2	1.545375
NR4A3	1.526875
ARSA	0.6635
UNKL	-0.31
SULT6B1	0.1865
CCNA2	-4.23983333333333
SOX15	-0.5305
PPAPDC1B	-0.06475
C19orf44	0.385
MCAT	-0.049
ARID1B	0.09825
OR52N1	0.276
C12orf48	-1.96675
MAGI1	1.21875
NIPA2	-0.53925
GBX2	-2.31325
RSHL3	0.95775
RAVER1	-0.191
C15orf17	0.3085
SLC30A2	1.6095
ZNF518	0.11625
PCYT1B	-0.61925
C10orf114	-0.55
EIF3H	0.0314166666666667
SLC25A39	-1.21783333333333
KIF1B	0.230125
AMOTL2	1.79275
C6orf120	0.508375
PSRC1	-2.49975
PLA2G10	0.473125
KIF5C	-0.10975
MRPL37	-0.789
C17orf62	-0.521333333333333
C9orf135	-1.4125
DUSP10	1.1971
CLCNKB	0.137
PSMA5	-1.00025
C8orf53	-0.157
AMPD3	0.876166666666667
PIAS1	0.0955
ADCYAP1R1	0.1805
GYLTL1B	0.94125
CDH20	0.00116666666666666
FBXO7	0.064
TMEM134	0.225666666666667
FLJ14213	1.01383333333333
ZNF3	-0.436
LRRFIP1	0.287291666666667
CNOT2	0.356833333333333
ABI3	2.3295
ALDH5A1	-0.312833333333333
HNT	1.2556
SERPINA4	-2.4355
TK2	0.66525
STMN1	-2.45022222222222
GUCA2A	0.0681666666666667
GALNT10	-0.135142857142857
DPP6	0.36685
C9orf93	0.23325
PRELID2	-0.258125
STK39	-0.57125
SFTPA1	-1.3425
CKS2	-3.46355555555556
RHO	-0.0845
C20orf135	-0.43025
XKR3	-2.6225
CR1	0.761125
RPS6KA2	0.964714285714286
C20orf112	0.897
MRPL22	-0.49475
C4orf23	0.8845
GADD45B	0.589
KLHDC1	2.44583333333333
C2orf48	-2.061
ZNF287	1.825
DAAM2	0.5545
DPPA2	-3.04783333333333
TCTN3	0.506833333333333
DNAJB11	-0.34625
FPR1	1.98125
DEFB4	-0.581
PTCD2	-0.0201
SMOC2	5.14816666666667
CABP7	0.24625
SERPINB11	-0.0685
MAGEF1	0.751
NDE1	-0.758333333333333
ITGA10	0.471
FSHB	0.143
ANXA2	0.375125
HORMAD2	0.0145
HLCS	-0.10325
MCF2L	1.19291666666667
FH	-0.69175
TBC1D24	0.889
KIAA1505	1.4705
LGALS2	0.19925
CNBD1	-0.208
SYNPO2L	-0.573
PTPN23	-0.183428571428571
C1orf183	-0.304333333333333
MAGEA8	-2.831
DGCR8	-1.51725
GSR	-1.693
PAQR7	0.3915
ZNF676	0.02875
CACNA1C	0.5894
SP7	0.393
PDCD6	-0.13975
NRN1L	-0.429
BRI3BP	-1.88558333333333
KIAA1183	1.6285
ASB4	0.02475
CCL23	1.1911
OBSL1	0.324
SLC12A7	0.514916666666667
KIAA0240	2.002375
CD1B	-3.23583333333333
FCGR2A	0.363875
MDC1	-0.86775
HTR1A	-0.0558333333333333
OCEL1	-0.41475
ATP11B	-0.4806875
FBXO34	0.262166666666667
PCDH12	3.1885
RPE	-0.66075
C17orf74	-0.6155
CSDC2	0.353333333333333
PET112L	-0.13275
TMBIM1	1.00025
P2RXL1	-0.30475
TCHP	-0.6435
TRMT1	-1.18516666666667
F2RL2	0.471583333333333
LRRC32	3.05266666666667
IMPG2	-0.2465
BGLAP	-0.04475
LOC493869	-1.7655
MRAS	2.835
SLC35F5	0.38775
CBWD1	0.387
AXL	-0.731625
ATP2C2	0.383
TELO2	-1.15775
PNPLA3	-4.515
PCDHB14	2.04325
CD276	-0.387
KRT80	-0.688125
DUSP28	-0.047
CSNK1E	0.193166666666667
SRP14	0.663
KCNQ4	-0.179
KRT72	-0.0726666666666667
CCDC117	0.019125
C6orf89	0.5175
TUBB2B	-0.4445
RTN4IP1	-0.816
CR1L	-3.6985
CEND1	-0.1225
C12orf41	0.490666666666667
RNF31	0.086
UBN1	-0.573
C17orf32	0.406
SLC5A7	0.37475
GPR92	0.987833333333333
ESAM	2.2097
CTNNA1	0.362416666666667
HRBL	0.5283
CBX4	-0.41975
TMEM182	1.09225
SH3TC2	0.457166666666667
IL10	0.6455
PXMP4	-0.2935
RNF167	-0.3472
PAK7	3.78133333333333
ETV3	-0.3665
ATPIF1	-0.993333333333333
LOC554207	-2.09483333333333
OR8H1	-0.134
WDFY3	1.318
DPM1	-0.81675
GPSM1	-0.307
WDR92	-0.3268
LRP1	0.620833333333333
ANKH	-0.631875
THUMPD3	-0.9885
POLR1B	-0.779
OLFM4	7.521
RAD9B	0.8515
TSPY2	-4.2865
PAX6	-1.98783333333333
SCG2	-1.866
SLC17A6	0.137
FMO3	3.310625
PADI4	-0.342875
TUBB4	-0.7342
NLK	-1.45225
POU4F3	-0.685
SDF4	-0.28825
ITGBL1	2.319
NETO1	-2.218
TAP2	0.09625
ABBA-1	-0.218166666666667
GNAI1	0.6355
VPS4B	1.39275
NOPE	0.4139
GALNT6	1.49016666666667
SESN1	1.8835
GBE1	-1.70388888888889
CLASP1	-0.1095
RASGEF1B	1.872875
ACOT11	0.0917142857142857
AFAP1	1.171
OR2H2	0.001
DPY19L2P1	-0.69875
DZIP1	-0.785
SEC22C	-0.395583333333333
GPR161	0.00883333333333334
RNF146	1.5265
WDR74	-0.937375
GALP	-0.516
PURA	0.889
DNPEP	0.154083333333333
RP11-78J21.1	0.05425
ERBB2	1.89775
FANCM	-0.634
NEO1	0.880333333333333
DDX3Y	-4.967
RPS3A	0.783625
MXRA7	0.504857142857143
LGALS3	0.549
GLT8D1	0.19325
CFL2	-0.5325
UPB1	-0.11325
NAP1L5	1.036625
CLDN14	-2.185
DHX38	-0.528
BTBD1	0.04425
TARS2	-1.04466666666667
ABCF1	-0.9097
FCF1	0.3275
LRRC49	0.30075
GUCY1B2	-2.513
C1orf177	0.316666666666667
SMARCA4	-0.627285714285714
LRP8	-4.01
TAGLN3	-0.867
MRPL14	-1.06025
TTRAP	0.15325
ZDHHC20	-0.03925
NFE2L3	-1.622
KIAA1377	1.34425
PALMD	2.4167
TMEM43	0.62825
TTL	-1.445
STAT5B	-0.991166666666667
SSB	-0.910625
OR10H5	0.282
SLC22A13	-0.6025
AKAP3	1.1395
TIMM23	-0.403833333333333
OAS2	0.710333333333333
KIAA0423	1.7865
TRIM11	-0.136333333333333
GLIS3	1.123375
TMEM50B	0.850333333333333
ARHGEF4	0.36925
DEGS1	0.529454545454545
TBL1XR1	0.0179333333333333
G6PD	-2.2235
SP140	0.2293
MUC17	0.102428571428571
NUDC	-0.7621
DNAJC5B	0.491666666666667
SCARA3	1.0295
CPA3	5.06483333333333
BCAT2	-0.207625
MFN1	-0.1133
NRG3	1.259
SNX11	-0.25975
PLEKHH1	0.8325
GPR177	1.2915
HCFC2	0.50825
TCAP	-0.43975
MOCOS	-1.7145
C14orf93	0.24975
PRDM10	0.110166666666667
SLC16A4	1.4975
SRGAP1	-0.525
VIP	1.14775
DUSP27	0.770333333333333
LILRA1	0.5648
MC2R	-0.5295
MGC24103	-1.957
MBTD1	-1.0235
FUT11	-0.8435
USP33	0.741
C15orf39	-0.3815
MAP3K12	0.263625
PAAF1	-0.8275
BARHL1	0.249
FLJ16165	-0.045
PIWIL2	-1.5455
SYNE1	0.787083333333333
CMTM4	0.427375
TSPYL1	1.4535
GUF1	-1.2415
TMEM157	1.018
WDR44	0.1965
HIST1H3C	0.86675
DKFZp666G057	1.567
RNPEP	-0.12575
GAS2L2	1.23516666666667
ADH4	-2.61325
GRPR	1.96383333333333
FBXL17	-0.13625
ZBTB10	0.700916666666667
Gcom1	1.29194444444444
HTRA1	1.8132
ZNF585A	0.331333333333333
SLC26A2	0.325642857142857
OTOP3	0.0668333333333333
WISP1	-0.250888888888889
ATP2B4	-0.272916666666667
FLJ10769	0.71925
CRAMP1L	0.33675
CHST12	-1.2095
RAB22A	0.0730833333333333
TARDBP	-0.334571428571429
STAU1	-0.20375
CRB3	1.13366666666667
MIG7	-1.56525
CHMP1A	-0.309333333333333
ZNF160	0.720875
B3GALT6	-0.040625
BARX1	-1.81166666666667
C6orf167	-1.1053125
NXNL1	0.221
DHX29	0.19325
HADHB	0.048
PLXNB2	0.970625
ILDR1	-1.18775
SLC15A3	1.4825
GAS2	-0.7845
C20orf69	-0.31125
NUMB	0.21175
TNIP1	0.18025
MESP1	1.72483333333333
PSKH1	0.15
NSFL1C	0.097375
RHOG	-0.12375
HEY1	-0.572166666666667
KNG1	-1.85
ITGAX	1.0539
LIN9	-0.745833333333333
CANT1	0.129
XRN1	0.306928571428571
CCDC96	1.1706
HEATR6	-1.74433333333333
GNG7	1.72666666666667
RUNX2	0.1203125
SOX1	-0.404833333333333
FCRL5	0.0381
ZNF99	0.773875
FAM9A	0.227
SNX22	-0.2575
MBNL3	-1.7865
ODC1	-1.9119
ADORA2B	-1.05266666666667
NR2F6	-0.34075
ZFYVE16	0.117833333333333
SYNJ2BP	0.3592
POLE	-1.379375
E2F2	-1.751625
THRA	1.70666666666667
PTGES2	-1.079
HIP1R	0.944833333333333
TMUB1	-1.0495
ENO3	-2.30225
RSPH10B	0.3255
CXorf39	-0.224375
IRGC	-0.01875
GPR109B	0.84775
FLJ13305	-1.1725
LCE3A	0.1815
TNFRSF18	-1.58766666666667
DET1	0.6195
TRPM3	0.738333333333333
C16orf79	-1.613
FECH	0.174833333333333
RAP2A	0.553333333333333
CRIP1	0.576833333333333
AZIN1	-0.65125
SLC7A7	2.551
IL10RA	0.5565
TMEM64	-1.967
CDC42EP4	1.4709
C16orf58	-0.3809
ARG2	-1.44775
POU5F1P4	-4.928
FAM62B	0.00175
DNAH8	-2.6765
ASH2L	-0.127375
TSLP	0.5975
CNTNAP5	-0.756833333333333
TMEM16C	1.30175
IFNA14	0.1405
SLC1A3	-0.084125
CABYR	1.13575
BCL7B	-0.1949
NUDT13	-0.636
C13orf28	0.09
C1orf53	-0.5885
ARL6IP4	0.0483
RPL35A	0.47325
EMR3	0.7475
RAB40C	0.197666666666667
SLC41A1	-0.254
LRCH1	0.56
LY6G5B	-0.898
FAM124A	0.241357142857143
MGC10981	-4.35083333333333
CLIP3	1.0883
MAP4K2	-0.698666666666667
CHIC1	0.928
SULF1	1.61916666666667
C20orf30	0.195714285714286
PRDM5	0.24625
ELOVL1	-0.0625
C11orf48	-1.44675
SLC39A10	-0.18025
KCNV1	0.0535
ACP1	-0.3645
ZMYM2	-0.181375
B3GNT6	-0.103166666666667
C9orf69	-0.6375
C2orf15	0.5935
C20orf166	-0.049
HSP90AA6P	-0.634
EDG7	0.1765
NEURL	-0.807125
LPL	2.71133333333333
CLEC2D	-0.0424285714285714
GRRP1	2.35316666666667
CD8B	-2.6493
HIST1H3D	-1.91366666666667
SLC6A12	1.078875
FAM27L	-0.944
CD84	1.042
RASA1	0.6115
PHKG1	0.517
MAGEA11	-1.809
IMPA1	-0.3413
NPM3	-1.2875
RARRES1	5.88275
SH3BP1	-0.329125
B3GNTL1	-0.8485
ARPC5L	-0.539
KLHL26	0.463
SIM2	-2.191125
GJC1	-0.231
C20orf194	0.55475
EXO1	-3.74475
SLC2A2	-1.937
LOC285074	-0.27325
LRG1	-0.1065
KIRREL	-0.2895
PIK3R1	3.355
C4orf34	0.28775
MAF	0.0827777777777778
ADCY4	3.8355
ZMIZ2	0.1069
SLC46A3	1.80683333333333
STAMBP	-0.767166666666667
CCDC16	1.39575
MS4A12	-0.0125
TCF20	0.823
LRRC46	0.09225
C20orf152	0.591
MRPS6	-0.45725
ABCB11	0.1645
KCNC2	3.74083333333333
CDH19	-0.122166666666667
C9orf123	1.3425
SSH3	0.944125
LDLRAD1	-2.844
CCBE1	0.1125
ZNF135	1.55725
TAAR1	0.85
WFDC12	0.2205
CCDC42	0.186
FLJ12529	-0.27725
PER1	-0.4315
TIMM50	-1.2205
SMARCAD1	0.204
FAM26C	0.127
TP53TG3	-0.547166666666667
SH3RF1	1.5609
LMCD1	1.41575
GPR63	-0.074
FLJ21986	-1.485125
AIFM3	-0.6995
MICAL1	-0.970833333333333
BLZF1	0.860333333333333
IQCA	3.00233333333333
PCDHGC3	0.2335
SAC	0.443
BCL6B	2.189
DDO	1.536
MARCO	3.527
DCHS1	1.58783333333333
C1orf170	0.233166666666667
CD200R1	1.723
C22orf15	-0.6475
SEPT11	-0.672166666666667
ADNP	0.304
UST	0.7354
C13orf34	-1.26916666666667
RFFL	0.232071428571429
APBA3	-0.4225
C2orf60	-0.27575
CUTL1	-0.6235
PMS1	-0.5795
ZNF689	-0.34
EIF3E	0.536166666666667
IL9	-0.406666666666667
RPL31	0.476875
LY9	0.411666666666667
ATP2B3	-0.0795
KDELR2	-0.3275
TFCP2	0.201125
NLRP12	-0.62225
FLJ45422	-0.7705
TLE4	0.7352
ZNF570	0.7335
FLJ43806	0.5105
TLK2	-0.558
CIR	0.89575
MARS2	0.547
COL24A1	-0.82775
SDF2L1	-1.567
HIBADH	0.820666666666667
IGFBP3	-1.58714285714286
C12orf23	0.561625
PSPC1	-0.03625
C20orf43	0.162
