Hybridization REF	TCGA-B6-A0WS-01A-11R-A115-07
PRRC1	0.654166666666667
AP3B2	1.1615
TRGV7	0.288333333333333
TMEM184B	1.97675
ADPRHL1	0.550166666666667
C21orf45	-0.613125
ARNTL	0.872625
AADAT	-1.201125
CCL2	1.4705
SNTB2	0.310333333333333
RGS9BP	-0.131
KPNA1	1.02925
TMEM41B	-0.38
S100A11	0.824416666666667
DOT1L	-1.358
EFHC2	0.42975
CLTC	0.021
SRP9	0.7875
ZNF521	0.6075
FAM26F	1.1975
GPR88	0.250333333333333
COL13A1	-1.4895
CHMP4B	0.6256
SIGLEC6	0.435666666666667
NFAM1	0.2285
PVRL2	1.6073
ALKBH4	0.04675
CCDC93	-0.08975
NXT1	0.03425
KCNK4	0.097
TROAP	-1.91083333333333
KCNA10	-0.1385
CCDC114	0.210333333333333
RAN	-0.677666666666667
LMTK2	0.2
LOC400657	0.753
UFC1	0.5285
UBE1DC1	-0.6515
EEF1A1	-0.311722222222222
CHAC1	-1.0395
HMGA2	-5.9501
B3GALTL	-1.5135
ING2	-0.2845
C1orf109	-0.3415
INTS3	0.186375
ZNF558	0.371
TRPM4	2.1645
LTB4R	-1.065
ISYNA1	0.604
LSM7	-0.13375
LRRC47	-0.071625
ZNF179	-2.0515
EXDL1	0.0378333333333333
SLC4A10	-1.045375
ACSS2	-0.144166666666667
COPS7B	-0.558
KIAA0040	1.95133333333333
C1orf95	0.828
AP1GBP1	0.2205
OR9A2	-0.071
FAM71C	-0.0516666666666667
RIN1	-1.36083333333333
ITGA4	-1.436625
DNAJC6	-0.385166666666667
CLOCK	0.9985
SLC35A4	0.716333333333333
DSG4	1.18975
LOC26010	0.49975
NSUN2	-0.716
TMEM86B	-0.4073
C14orf135	-0.91425
KIFC3	-1.54133333333333
PHF5A	-0.30525
NCAPH	-2.033875
STK11IP	0.43925
FLJ42953	1.047625
CCDC19	2.11383333333333
ZNF329	-1.337
TAX1BP1	0.337
ZDHHC18	0.703166666666667
C10orf88	-0.148
TMBIM4	1.104
NMUR1	0.9105
KIR2DS4	0.64025
C9orf90	-0.1925
MGC87631	-0.6495
KDR	2.9208
ST3GAL2	-0.527375
RLN2	4.83183333333333
HPD	-3.51125
MOXD1	-1.65366666666667
PDGFRL	2.72316666666667
SMYD4	-1.14321428571429
FAM103A1	0.373166666666667
MFAP4	1.07416666666667
LOC285141	1.54825
TMEM45B	-0.808875
SMCR7L	-0.486714285714286
GZMH	3.89175
CBLN1	-3.344
CNNM1	-0.43925
PHF17	-1.04116666666667
NUP98	-0.283333333333333
RMI1	-0.76825
PTPRS	0.69
ANKRD57	0.411375
CLDN15	-0.332333333333333
OR51A2	-0.3295
GUCA2B	1.028
DOCK9	0.6065
ITGB1BP1	-0.204
DLG2	0.2215
BRAP	-0.1335
SESN3	0.19575
ZC3H7B	1.11275
FAM101A	2.675
FKSG24	0.425
ZYG11B	0.107375
RFC2	-0.97025
SH2D3A	1.57866666666667
DVL3	-0.25675
ADFP	-1.67316666666667
KRIT1	-0.332375
SERTAD3	1.82216666666667
LEFTY2	-3.5085
KRT27	0.013
SCFD2	-0.49225
MN1	-0.09175
RORA	-0.14725
PTPRD	0.0935
PIAS2	-0.142166666666667
CYP4X1	2.34566666666667
FBXL15	0.73475
MYH15	-0.215333333333333
CRX	0.252833333333333
TBC1D13	0.19275
SLC22A17	1.13516666666667
PLK2	0.0381666666666667
ARHGAP9	2.2105
EIF1B	-0.53675
C20orf185	-0.21
DEFA7P	0.199
PRIM1	-2.43716666666667
CRYAA	-2.12675
BACE1	0.49225
AGTRL1	0.8455
ACAD9	0.089375
GRASP	0.84475
RBP4	-3.62966666666667
TFB2M	-0.38075
METTL9	-0.0594
ATP5O	-0.452
SP100	0.4894
CPSF1	0.2995
S100A4	-0.33075
LIME1	-0.286
GPR137C	-1.133
OR2A2	-0.1005
C2orf29	-0.17
NUP188	-0.83075
SDPR	-1.38575
RAI1	-0.1525
RPS20	0.2377
LAMB1	-0.26575
ADM2	1.45266666666667
ZNF229	-2.7115
DKFZp434K1815	-0.589625
EPN3	2.78433333333333
CLIC3	0.37
MEIG1	1.47125
HMGB4	0.02975
STARD10	2.876
KLF8	2.5975
EPB41L2	-1.07733333333333
JMJD6	-0.629625
CTSL1	-0.576833333333333
GPR27	0.0105
ELAVL4	0.954625
MMP21	0.4155
PPM1B	0.453125
SUV39H1	-0.90475
AAMP	0.2215
TUSC4	-0.206666666666667
MBD6	0.5255
KLK13	-1.297375
FMNL3	0.820333333333333
TRIM13	0.0374166666666667
C15orf5	-0.544
IQCF1	0.01325
CACNG8	-0.118
SLC35D3	0.3315
ZDHHC9	0.834
ODF3L1	-0.1315
C9orf86	-0.039
TSEN2	-1.7295
C17orf64	0.4105
SEPX1	1.0133
TSPO	1.12883333333333
SYMPK	0.413
ADORA1	2.098
TSPAN10	1.30575
SEMA6C	0.652833333333333
RTTN	-0.1133
IL2	1.135
ARRDC3	-0.8895
TBPL1	-1.54466666666667
STX12	0.95075
MRPL39	-1.271
OR8H3	0.314
IFIT5	1.8695
CASC5	-2.296375
FAM46A	-0.398
HPCAL1	-0.48
CYLC1	-1.1235
VGLL2	-0.120875
C20orf191	0.358
CDH1	2.35808333333333
ITPA	-0.2155
CCDC101	0.67775
D15Wsu75e	-0.157
EDA	-1.863
CREG1	-0.50725
OR7G2	0.3815
SAP18	0.4475
IFIT1	3.42325
CALML3	2.33833333333333
FLJ37440	1.416
FNDC5	0.022
SERPINB6	0.00564285714285715
JUNB	1.1083
SYS1	1.029
SCN2A	0.214666666666667
ZKSCAN5	-0.6606
WNT7A	0.392
TSHZ3	2.65825
RNF148	1.14025
H6PD	-0.067
CAD	-1.08833333333333
ZNF449	0.29125
DOCK10	0.613
FAIM2	0.0523333333333333
HEXDC	0.3815
PRB1	-0.31225
C14orf148	-3.308
ETHE1	1.2205
IRF5	1.2921
GNMT	-0.599333333333333
MGC16291	-2.075875
RPAIN	-0.6955
CAGE1	-1.016
CNTNAP3	-2.937125
ACTR1B	-0.1175
EEF1E1	-0.98475
MSX1	0.968125
ESF1	-0.7447
HSPC171	0.078
MRPL2	-0.1465
RDH12	-0.6595
CELP	0.3275
METRNL	0.057
C10orf116	3.69
C19orf48	-1.14275
ZNF346	-0.00749999999999999
NCR1	0.7135
C10orf64	0.2965
CD52	2.8995
VPS18	0.701
AP4S1	-0.613666666666667
NPBWR1	2.2845
TPK1	1.27825
UBA52	-0.0402777777777778
RIPK1	0.920666666666667
CPNE3	0.7244
HSPC159	0.00124999999999993
C8orf38	1.6045
LRRC4B	0.142
PARP10	1.7288
ANKRD50	0.283875
CXCL9	6.06025
FGF18	2.37236363636364
EIF2A	-0.915375
SLC20A2	3.21133333333333
KIAA1549	-0.288083333333333
SPINT1	2.0705
ZNF584	-0.3335
CRBN	0.964833333333333
ABCF3	0.3515
NCBP1	-0.814666666666667
PLA2G4F	0.5725
PCDH10	-0.832
TTC21A	-0.478
C20orf144	0.451
FGFR1OP2	-0.390833333333333
SLC9A1	0.4411
CHRND	-0.0435
FOXF1	-2.37025
KIAA1467	1.12125
TPO	1.29583333333333
LTF	1.85521428571429
DNAJB9	0.51875
MRPS27	-0.876
bA16L21.2.1	0.87275
WBP2	0.588666666666667
MRGPRX3	-2.15733333333333
PRPF18	0.5675
C10orf58	0.77
SMOC1	-2.9515
ADAT3	0.590833333333333
TMEM138	-0.20175
TMEM131	0.64825
TIMM8B	-0.35175
MYH7	-0.190333333333333
ST6GAL2	1.47325
KIF1C	-0.1665
SUHW2	-0.5465
PAPSS1	0.50275
CABP2	0.0115
HOXA4	-1.392
ELF2	-0.484
SEMA3D	1.6188
MC5R	0.5045
OGFR	0.417
FLJ30092	0.4335
TGFA	-1.0132
MMP17	0.161
KIF15	-3.34425
CHIA	0.16225
CATSPER3	0.19025
CEACAM7	1.61933333333333
PADI2	1.991
HOXA9	0.514666666666667
LNX2	0.118166666666667
TMEM144	3.5985
HIF1AN	0.47775
METTL7A	-0.777
C6orf165	2.4925
KIAA1468	1.039625
DSG3	-1.3845
ZNF180	0.180666666666667
EIF4E3	0.998125
SLC46A1	0.36175
DKK1	-2.42833333333333
ZNF205	1.5115
LOC162073	1.31016666666667
COX7A1	4.2655
MAGEA1	-5.41133333333333
NEDD8	-0.42625
KLHDC5	-0.109055555555556
C3orf19	-0.305166666666667
MRPS2	-0.37475
POLR3H	0.7855
ABHD11	1.0871
TMEM17	1.987
PAIP2B	-1.1807
MAT1A	-4.95025
LGI3	0.055
THUMPD2	-0.874
TKTL2	-0.04475
XAGE3	-2.338
CALM3	0.25025
C6orf136	-0.675666666666667
KCNC4	0.2625
RGS9	0.0475
ACIN1	-0.9035
SPATS1	0.0365
XKR8	0.31525
FAM84A	0.68375
MS4A7	4.05945454545455
AGXT2L2	-0.02725
OR1F1	0.248
SMAP1L	0.206916666666667
IPO11	0.251875
ZC3H11A	-0.4571875
C1orf151	0.912
RNASEH2A	-0.9855
CCR10	-0.752
TXNDC11	0.2515
TMEM112	1.088375
MAP1B	-0.711285714285714
NVL	-0.12175
PKM2	-1.27655
ARC	0.406
NUP54	-0.581
PPFIBP2	1.39066666666667
STAT2	0.854875
PTAFR	2.58583333333333
ROBO2	-0.733875
RNF40	0.554666666666667
CCDC135	-0.091
IFT81	-0.2822
MORF4	-0.083
TM7SF3	-0.30075
OR10H3	0.5105
ABP1	0.021
CHRD	0.34325
PLEKHA8	-0.0908333333333333
NCALD	1.09733333333333
OR5AK2	0.138
ACCN1	-0.276166666666667
SLITRK1	-0.11625
ARMET	-0.3025
C9orf52	0.513
REEP4	-0.8055
MTSS1	2.445625
ADH1B	2.64083333333333
DLD	-0.75425
CDK5	-0.2775
PPFIA1	-0.270125
WFDC3	0.81975
DNAJB12	0.786
RANGRF	-0.4105
MLANA	-5.10675
AMY2B	-0.504
KIAA0319	-1.381875
RPS7	-1.1045
JAK3	0.2583
ARFGEF1	1.36525
CXCL5	0.548833333333333
TRAPPC4	-0.89375
CETN2	0.62275
HSPC111	-0.928
RHOBTB3	-2.94311111111111
PHLPP	0.235
RGS10	1.62575
TMEM58	0.555
CHERP	0.02275
HSP90AB3P	-1.24533333333333
FSTL3	-0.320666666666667
PEX11A	0.903
OR5V1	0.4695
FCN3	2.03275
PTPN3	0.214875
NPTX1	-4.85225
C21orf84	-0.87775
C11orf51	0.195125
ZBED2	3.7725
FLJ90757	1.5085
NPY2R	0.62975
PLD3	0.9655
SYT17	2.9655
SGSM2	-1.26325
OR1A2	0.397
FOXP1	0.6915
SLC5A1	2.74425
POFUT1	-0.6669
EPHB6	-2.177
MYO1G	-0.87575
STAC	-2.113
KLHL17	-0.413
RGMA	-0.0981
TJP2	-0.5133
FAM114A1	0.337833333333333
SERINC1	0.736416666666667
SLC9A8	0.5265
PEX19	0.339875
EDN2	4.186
PSMD7	-0.712777777777778
C3orf41	-2.82525
UQCR	0.301375
PPP1R3C	-1.67575
LRP4	-2.4905
TM2D1	0.27225
TTC17	-0.21225
C4BPB	-4.99475
CCL25	1.11575
ZNF253	0.0878333333333333
CHRNA9	-4.03525
SOX11	-2.50125
HIVEP3	1.4035
CGN	2.26325
C3orf35	-0.259
PKD2L1	3.36425
SYVN1	0.718625
PDE8B	-1.65525
LOC439951	2.02075
LTC4S	2.3615
MIF4GD	0.674666666666667
SMARCA2	1.182875
TUBGCP6	0.0993333333333333
CABLES1	0.3295
C16orf77	1.8775
ZNF791	0.59525
FUT5	-0.8335
ADH6	-2.61816666666667
P4HB	0.1595
CLDND2	-1.3045
ALKBH8	-0.017
PLAC4	-2.233
F11R	0.157
MGC35295	-0.0428333333333334
PDZD4	-0.0995
LOC389073	-1.24
FAM80B	-0.340666666666667
PSMB1	-0.073375
TXN	-0.177
VIPR1	1.0622
WBSCR18	0.6552
EXOSC6	-0.692166666666667
ACTA2	3.85066666666667
SP5	-1.6275
ANKRD1	-3.10775
DDR1	2.6956
ATP6V1D	-0.8105
PTGS1	-1.19016666666667
RNF157	-0.7045
DCC	-0.32825
SPAG7	-0.00725
FBXO18	0.17225
UBE3C	-0.5686
HOXC6	1.24825
LRP2BP	-0.122666666666667
MYST2	-0.25875
PDSS2	-0.021
ATE1	0.05975
ARAF	0.41175
KLF10	0.529
PLA2G2E	0.1235
ASCL1	-1.26716666666667
TSNAXIP1	0.79425
FAM131B	-0.10775
IFNA10	-0.33
NUP43	-1.0745
FAM44B	-0.415125
L1TD1	-4.899
NMD3	-1.26141666666667
C18orf54	-1.3454
PHOSPHO1	0.6045
RAG2	-2.6085
EMILIN3	-0.8355
METTL3	-1.58225
VPS13C	1.46225
REXO2	-0.8805
ANXA4	0.1515
CA1	-1.413
DCP1B	0.27975
TULP3	-0.616166666666667
ATP2A2	-0.266714285714286
ATIC	-0.8685
ADAM15	0.0859166666666667
NPL	1.05516666666667
LGR4	-1.044625
UEVLD	0.947833333333333
GAB1	0.94475
SNAI2	0.161333333333333
ZGPAT	0.2153
SNF1LK	0.5895
DLEU1	-2.28975
UBE2Q1	0.22625
ZMYM6	0.071
JPH3	-1.11116666666667
FAM38A	-0.18275
PXK	0.1865
DENND2D	2.44625
BAX	-0.452333333333333
CP	-2.11290909090909
RPL37	-1.122
G6PC3	1.005
NCOA4	-0.4175
LRRC14	0.740875
GORASP1	-0.0135
FCHO2	1.11075
CYP24A1	-3.7001
FXYD3	3.167125
SMARCAL1	0.329
ABCB8	0.841166666666667
CCDC44	-0.59025
PRDM7	-3.54975
USH1C	-1.443
DNAH5	1.65633333333333
SRF	0.161833333333333
MAL2	2.68933333333333
PGPEP1	0.277583333333333
SIN3B	-0.5855
SEMA3C	-0.206833333333333
GRAMD3	1.25575
FBXO10	0.192875
OR5D13	0.416
FLJ31818	0.033
CACNA1I	1.188125
S100A13	0.6005
TP63	1.62735714285714
ANXA11	0.9483
WDR66	2.272875
CSF2RB	0.8915
IFI44	1.917
DACT1	2.37416666666667
ANKRD23	-1.586125
ATP5G1	-0.5595
C21orf70	-0.783833333333333
PPWD1	-1.009
DNAJC13	0.31775
PAH	-5.05083333333333
PTCH2	0.53975
TRMU	-1.6145
CCDC9	0.963
USP3	-0.3317
DCLRE1C	-0.0576
FAM55C	0.103
FRMD4B	0.793
CYP2R1	0.12275
RFPL1	0.8495
XPO5	-0.88025
ARL6IP2	-1.3685
OSBPL5	1.78875
MMP9	4.19763636363636
KIAA0802	-0.027625
DHRS2	-3.00433333333333
SGEF	1.9115
TXNDC10	-0.1197
EXOC6	0.54125
RPS27	0.367333333333333
PNCK	-1.24466666666667
FSTL1	-0.08125
AACS	0.63475
SLMAP	0.074
SAMD4A	-0.4757
ABRA	-0.256
SMARCD3	0.709
PKNOX2	-2.764
A4GNT	-0.152
C9orf39	-0.33
RALYL	-0.098
MGC33556	-2.2385
C10orf25	-0.713
BBOX1	2.706
NHEDC1	0.75725
XDH	-0.25225
GCSH	-0.956
EDN1	0.732833333333333
MTERF	-0.56775
CLK4	0.382375
ZNF799	0.834833333333333
KCNG1	-2.539
CXCR4	0.0526666666666667
PTPRR	-3.16175
IRAK1	-0.468625
LOC401397	-0.097
TMSB10	0.456142857142857
CXCL3	-4.1995
TMC4	3.093
OR7A10	0.1725
STYK1	1.24475
CHRNA10	-0.3145
CCNI	1.04175
EP300	1.09864285714286
LOC165186	-0.326833333333333
HIC2	-2.33025
SDR-O	0.848
OR2W1	0.454
KCNA6	0.222
TRIM74	-2.0545
REEP6	0.43
ATP5G2	0.147
ERG	0.6335
TMEM42	-0.40125
PARN	0.137
SOD2	-0.6234375
DIRAS1	0.556666666666667
PNPT1	-1.15175
JOSD3	-1.44175
hCG_40738	-0.5475
PDE1C	-2.08425
SEMA4D	0.29825
AGPAT1	-0.0673333333333333
NOSTRIN	-0.257875
MAP3K3	0.1315
MAX	0.596714285714286
CAPS	2.62566666666667
SERPINA12	-0.225
OSBPL8	-0.073125
RICS	1.591
NR4A2	-0.735166666666667
PPCS	1.669
LONP1	-0.708
SCYL3	1.4335
HERC2P2	-1.92983333333333
FIBCD1	-0.8685
C15orf41	-0.8
DMC1	-1.01716666666667
C20orf27	-0.89025
RPS6KA5	-0.0344
FAHD1	0.986333333333334
SLC12A4	-0.28825
BRCA1	-1.384
GBL	0.06925
SLK	0.0765
NUDT9P1	-0.8675
NOXO1	2.7885
USP52	-1.425
BAZ1B	0.015375
SLCO2B1	3.08925
BBS12	1.10216666666667
LRGUK	-0.679666666666667
TERF2IP	-0.18625
COL1A1	5.8135
KIAA0090	0.184375
GRK5	-0.0508333333333333
AP1S2	-1.1281
TMEM52	0.365
CA11	0.23225
OR4A15	0.592
ACBD3	1.1023
SPAG11B	0.514125
PRDM2	0.9589
FOXP3	0.59925
SMYD3	-0.64
LOC389199	0.907
LGI2	2.92533333333333
NAPE-PLD	-0.2462
ANKRD6	1.4895
WDR45	0.503
SHROOM1	-1.011
PSCD3	0.103
PYY	0.8775
KCNC1	1.9305
ARHGEF9	0.0199
OR8J1	0.33575
GPR55	0.0863333333333333
NS3BP	-1.859
C10orf22	0.840333333333333
NAT8L	-0.82625
DUSP4	2.48966666666667
FOXM1	-1.8395
GRAMD2	0.4235
ZBTB48	0.186166666666667
BUD31	-0.3795
PABPC5	-0.214
CCDC41	-0.702
FBXO11	0.01075
C6orf148	-0.46775
RFXAP	-1.265
C6orf15	0.5025
CDK8	-0.9915
C6orf70	0.285625
TESSP2	-0.1795
ALG2	0.41425
PPP1R3D	0.8955
TPM3	0.368111111111111
SYT13	6.179
EPB42	-0.408333333333333
CETN3	-0.3245
PRY	0.3525
NTHL1	0.380833333333333
POLR2B	-0.5165
RPS28	0.569333333333333
P2RX3	0.44975
LYZL4	0.37975
WBP4	-0.5923
PMM1	0.03175
C11orf79	0.14175
CBLL1	-0.4315
IL1F10	0.207666666666667
VAX2	-0.711
SETDB1	-0.669166666666667
LRAP	-0.419666666666667
GCLM	-0.637833333333333
CPEB3	1.5545
PPM1A	-0.0181875
INTS1	-0.1995
CAMTA1	0.896333333333333
SAMSN1	-1.59475
LOC158830	-0.888833333333333
GMPPA	0.994
AIPL1	-0.132666666666667
IL24	0.402333333333333
BDKRB1	-0.461
MLF1	0.5635
TAF12	-0.15
ID1	-1.842375
THADA	-0.789375
PIK3CB	-0.365
OR4N5	0.019
TBC1D17	0.333333333333333
COX8A	0.3605
CDCA4	-1.01475
C2orf44	-1.31475
ZNF534	-0.05875
IMMP1L	0.4485
NIPSNAP3B	0.27425
FTMT	0.57175
PWP2	-0.300666666666667
MMP15	-1.2477
DNAH11	-1.49575
MTMR14	2.66875
DNAL4	1.729
IPP	1.02225
TMEM59	1.11575
C1orf157	0.9995
RGS4	1.151
DDX18	-0.975833333333333
SNX6	-0.575
ZNHIT2	0.728666666666667
NCDN	0.903333333333333
FLJ33534	-0.41375
RAG1	-1.993125
OR4D10	0.5705
PTPN5	-0.217833333333333
POMT1	0.17075
LRRC8A	0.9467
CYP1A1	-1.40475
CAPN1	1.23416666666667
DDHD2	0.498875
GRIK2	-0.45875
GNRHR	-0.074
PPBP	0.30975
HTR3A	-0.74
SLITRK4	0.16625
ANKRD49	-0.13175
BTF3	-0.3808
SARS	0.1945
C13orf18	0.3505
CACNB1	-0.0548571428571429
QKI	0.653909090909091
SETMAR	0.3685
MAN2B1	1.0475
EML3	0.832
ACADL	-0.1005
OFD1	-0.222
DEFB114	0.378
CGA	-3.98111111111111
PEX16	0.182
LRRC10	0.0165
GNG12	0.0805
C1orf152	-0.121666666666667
CHRM1	0.566
CD53	1.173125
DBH	-0.671
TFAP2B	4.24425
HIST1H2BJ	-0.615833333333333
FAM46D	1.051
TMEM11	0.503
C3orf32	-2.898
PCCB	-0.78675
IPO13	0.8305
C6orf105	-3.27225
COMMD5	0.85
SUV420H1	-0.1534
LTBR	0.62475
ARHGAP15	0.22
HDHD2	1.23775
TDRKH	-1.04116666666667
LOC401052	4.1275
PSG4	-0.65725
GNB4	0.4055
SPATA4	3.635
SLC9A3	-0.633
OSBP	0.386333333333333
NBPF3	-0.171083333333333
DOCK11	-0.078
SLC39A5	-1.74366666666667
PRR5	1.7099
C10orf63	1.256375
SMTNL2	-1.292
ADRA1A	0.315
ASAH1	1.3698
DOM3Z	0.0505
GIPR	0.500666666666667
AHI1	-0.051
NADSYN1	0.387666666666667
RGS14	0.6236
IL18BP	1.5218
RTN4RL1	2.04758333333333
ARMC6	-0.522
PSMD5	-0.142666666666667
HK3	1.2586
OR4S1	0.15275
RSU1	0.6717
MAD2L1	-1.79755555555556
EIF4A3	-0.306
DLEC1	0.728833333333333
E4F1	0.105166666666667
CHMP2B	-0.2046
CAMSAP1	-0.2835
RPS21	-0.762833333333333
ARID5A	0.99975
UBE2N	0.0608
IGSF8	1.02
MAGEB6	-1.6665
ACAD11	-1.5448
MGC4172	-0.38525
LMO4	-1.0035
KLKB1	0.5335
HP	-0.2115
HDAC3	-0.024
SCHIP1	0.60325
CLCA1	-0.9025
OLFML2A	0.869125
C1orf112	-1.766
KIF19	0.7525
HAPLN4	-0.0988
CXCR7	-0.189833333333333
GOT2	-0.8272
RAB38	-1.86025
DCX	0.63875
PPM1H	0.684916666666667
NFYC	0.380916666666667
KIN	-0.032375
ZNF228	0.51075
PLSCR4	1.58566666666667
HIG2	0.06
FAM79B	7.084
C21orf86	-0.3931
KCNK10	1.1815
ZNF738	-1.4695
FSTL5	-1.50175
OR6A2	0.2475
OTOA	1.4375
EXOC1	0.179375
AHRR	-3.61225
PDAP1	-1.02991666666667
C19orf6	0.084125
ZAN	0.37425
LY6G6E	-0.0035
EIF4E2	-0.54075
C20orf198	-0.405
ZNF324	0.39225
CYP3A5	-2.80033333333333
ENTPD7	1.01816666666667
MBOAT5	0.87
GJB5	3.26875
TTC13	-0.20975
S100Z	-1.32266666666667
KIAA0664	-0.839833333333333
PDGFRB	1.74766666666667
IL17D	0.30425
OR56B4	0.051
RDX	-1.62366666666667
SLC34A3	0.44
IL28B	0.4455
JUND	1.1535
CHRNB1	-0.10175
CAMK2B	-0.51075
FETUB	-1.65525
CXorf23	1.016
MRTO4	-1.105
TTC3	0.4203
NDUFB8	0.0408333333333333
EDG2	-0.3935
SEMA3G	1.9
IL23A	-0.77225
GRHL1	1.0248
LOC441054	-2.251
WDR65	1.390625
PSTK	-0.01475
STOML3	-0.236666666666667
R3HDM2	0.0364
C5	-2.20125
SLC2A10	1.72033333333333
C3orf22	0.01925
PAQR3	-1.24669230769231
ANKRD26	-0.57275
HCRTR1	0.0295
LOC399947	-0.34225
PSD2	-0.24175
TIGD2	0.101333333333333
SCRN1	-0.315375
COQ10A	-0.886
DDI2	0.1845
METTL7B	-0.643833333333333
UCN2	0.334
FAM92A3	0.366
WDR16	0.71725
ZNF511	-0.156833333333333
ZMYM5	-1.059375
POLR3G	-3.33575
ZNF586	0.00775
C1orf49	-0.445
TANK	0.699166666666667
RCAN1	0.2685
PELI3	1.35766666666667
LIMD2	0.81025
TMEM189	-0.6775
NTN4	1.84275
LOC151300	0.0135
CLEC2A	-2.2965
GPR135	-0.441
DPYSL4	-1.3648
JAK2	0.224
TSHZ1	1.7155
TM9SF4	-0.32475
ZNF264	1.002
SIRPG	2.57475
BICD1	-0.9075
HERC6	2.44133333333333
METTL5	-1.3015
CASP1	0.9695
PRRT1	0.2125
PLA2G4C	3.723
ICA1L	0.336357142857143
TPTE2	-0.0738333333333333
OTUD7A	1.90916666666667
AQP11	-1.6535
APOA2	-3.9015
KALRN	-0.7171
SECTM1	1.28841666666667
IFNAR1	-0.16225
TALDO1	0.37875
RAB11FIP4	0.176333333333333
EIF5A	-0.488
FAM49A	1.9915
NEGR1	1.30816666666667
YTHDC2	-0.21275
EHD2	0.852
NCF1	2.6409
SCRT2	1.4655
HOXA5	-0.429666666666667
NUP133	-0.21625
FGF12	-0.5086875
SLMO2	-0.90475
SNTA1	0.244375
CACNG2	0.224625
GCM1	0.3245
ELF1	-0.108166666666667
TLR5	2.82125
TCFL5	-0.673916666666667
RBMY2FP	-1.6125
LOC100125556	0.806375
FAM129B	0.83925
MAP3K7IP1	0.35275
NCK2	0.7675
OXA1L	-1.5275
FMO9P	0.211
ZSCAN12	-0.403
PSMD12	-0.638833333333333
HSCB	0.132
CLDN10	-3.5795
MGC13053	-0.7055
HPCAL4	0.188
ASZ1	-1.1045
MEX3D	0.557416666666667
NFAT5	-1.3365
CSPG4LYP1	-0.259333333333333
FBXO3	0.4506
DVL1	0.0075
CMKLR1	2.135
TYMS	-1.88825
PEF1	0.92475
ZNF750	2.11266666666667
MCM5	-0.7497
MEGF11	-0.57425
KCNK7	-0.081
PTP4A3	0.8015
C1QTNF2	-0.770666666666667
OR6S1	0.5605
FAM122B	-1.1615
ZNF551	-1.6085
HBQ1	-2.1815
GEMIN6	-0.2795
ARSK	-1.13225
RBP7	3.43616666666667
CPNE9	0.502
DSC1	0.3395
LOC730112	0.183
MAP2K4	0.031375
HS3ST5	-1.8545
EPB41L3	-0.79175
TEKT2	2.01325
CDKN2B	0.694583333333333
ZNF480	-1.05875
MAP3K6	0.9382
MAP6	3.0875
HN1	-0.7866
OR2L13	0.2535
SLC16A11	0.47675
FAM96A	-0.19675
APOL1	0.75325
C5orf32	0.24325
RTP1	-0.266166666666667
RNF175	0.427875
ZBTB41	0.878125
AHCTF1	-0.6487
SAE2	-1.044
ITGA2	-0.786666666666667
MME	-0.598666666666667
CCDC14	-1.0755
MAST4	0.892928571428571
KRT33B	-0.683
KCTD2	0.429833333333333
WDR26	0.407666666666667
MFI2	0.8965
NR4A3	0.04775
ARSA	1.48275
UNKL	0.140666666666667
SULT6B1	0.598
CCNA2	-2.66
SOX15	-0.581
PPAPDC1B	2.18866666666667
C19orf44	0.0235
MCAT	1.19608333333333
ARID1B	0.153125
OR52N1	0.4575
C12orf48	-1.99525
MAGI1	-0.45475
NIPA2	-0.2135
GBX2	-2.57375
RSHL3	0.429875
RAVER1	0.615833333333333
C15orf17	0.503
SLC30A2	0.50275
ZNF518	0.42125
PCYT1B	-1.0285
C10orf114	0.856
EIF3H	0.00308333333333332
SLC25A39	0.0715
KIF1B	-0.247875
AMOTL2	0.6005
C6orf120	0.10775
PSRC1	-2.04825
PLA2G10	3.98125
KIF5C	0.726375
MRPL37	-0.7145
C17orf62	0.411166666666667
C9orf135	-1.91083333333333
DUSP10	0.0186
CLCNKB	0.3905
PSMA5	-0.212875
C8orf53	0.278
AMPD3	1.0965
PIAS1	-0.26925
ADCYAP1R1	0.131
GYLTL1B	0.678
CDH20	-0.0543333333333333
FBXO7	0.574
TMEM134	0.730833333333333
FLJ14213	1.85133333333333
ZNF3	-0.24625
LRRFIP1	0.423208333333333
CNOT2	-0.0923333333333333
ABI3	2.639
ALDH5A1	0.267416666666667
HNT	2.6898
SERPINA4	-2.951
TK2	0.504583333333333
STMN1	-1.30966666666667
GUCA2A	0.112833333333333
GALNT10	1.05121428571429
DPP6	-0.72905
C9orf93	-0.061125
PRELID2	-0.45
STK39	0.58075
SFTPA1	-1.431
CKS2	-1.91788888888889
RHO	0.3015
C20orf135	0.03325
XKR3	-2.933
CR1	0.449625
RPS6KA2	1.34471428571429
C20orf112	0.4905
MRPL22	-0.6135
C4orf23	0.545
GADD45B	1.71525
KLHDC1	1.169
C2orf48	-2.0545
ZNF287	1.123
DAAM2	-0.86425
DPPA2	-3.296
TCTN3	0.812333333333333
DNAJB11	-0.814375
FPR1	2.61125
DEFB4	0.2015
PTCD2	-0.4037
SMOC2	5.0265
CABP7	0.6035
SERPINB11	-0.106666666666667
MAGEF1	1.1335
NDE1	1.112
ITGA10	0.189
FSHB	0.2725
ANXA2	0.74275
HORMAD2	0.48825
HLCS	0.65975
MCF2L	0.879333333333333
FH	-0.96725
TBC1D24	0.92525
KIAA1505	1.47875
LGALS2	1.64525
