Hybridization REF	TCGA-BH-A0HW-01A-11R-A034-07
CHRM1	0.6915
CD53	-1.8155
DBH	-1.0015
TFAP2B	-5.15828571428571
HIST1H2BJ	-0.128
FAM46D	-0.464
TMEM11	1.0555
C3orf32	-2.66925
PCCB	-0.368
IPO13	-0.26475
C6orf105	-4.62825
COMMD5	1.0185
SUV420H1	-0.0715
LTBR	0.118
ARHGAP15	-2.30375
HDHD2	1.44675
TDRKH	-0.145833333333333
LOC401052	0.519
PSG4	0.129
GNB4	-1.0808
SPATA4	4.24075
SLC9A3	-0.803
OSBP	0.603166666666667
NBPF3	-1.26075
DOCK11	-3.416
SLC39A5	-1.91833333333333
PRR5	0.3269
C10orf63	0.222333333333333
SMTNL2	-2.306
ADRA1A	-0.0205
ASAH1	1.2148
DOM3Z	0.0507
GIPR	0.929166666666667
AHI1	-0.488083333333333
NADSYN1	0.402166666666667
RGS14	-0.3459
IL18BP	0.3555
RTN4RL1	1.69941666666667
ARMC6	-0.034
PSMD5	-0.962166666666667
HK3	0.7483
OR4S1	-0.47125
RSU1	0.0702
MAD2L1	-2.05622222222222
EIF4A3	1.12175
DLEC1	-1.16366666666667
E4F1	-0.173833333333333
CHMP2B	0.9684
CAMSAP1	-0.10825
RPS21	-1.15766666666667
ARID5A	-1.618
UBE2N	0.8335
IGSF8	0.8635
MAGEB6	-1.9945
ACAD11	-1.1803
MGC4172	0.35325
LMO4	-0.265
KLKB1	0.36675
HP	-1.039
HDAC3	-0.6705
SCHIP1	0.181
CLCA1	0.611
OLFML2A	1.518375
C1orf112	-2.00725
KIF19	0.331454545454545
HAPLN4	-0.4796
CXCR7	-0.682
GOT2	0.8908
RAB38	-3.01325
DCX	-0.766
PPM1H	0.61075
NFYC	-0.182166666666667
KIN	0.181625
ZNF228	1.9375
PLSCR4	0.384
HIG2	1.163
FAM79B	4.5115
C21orf86	-0.5752
KCNK10	-0.94625
ZNF738	-1.212375
FSTL5	-0.7535
OR6A2	0.401
OTOA	0.571166666666667
EXOC1	1.544625
AHRR	-3.58675
PDAP1	-1.70783333333333
C19orf6	0.028375
ZAN	0.16725
LY6G6E	1.9315
EIF4E2	-0.83675
C20orf198	0.79375
ZNF324	0.80075
CYP3A5	-4.05816666666667
ENTPD7	0.491333333333333
MBOAT5	-1.13383333333333
GJB5	-3.10025
TTC13	-0.422
S100Z	-2.07183333333333
KIAA0664	-1.69833333333333
PDGFRB	1.2965
IL17D	-0.356
OR56B4	-0.143
RDX	-2.12433333333333
SLC34A3	0.304
IL28B	0.9145
JUND	1.168
CHRNB1	-0.273875
CAMK2B	2.092
FETUB	-3.3375
CXorf23	1.464125
MRTO4	-1.168125
TTC3	0.616
NDUFB8	-0.339166666666667
EDG2	0.2105
SEMA3G	-0.0125
IL23A	-0.93975
GRHL1	1.0431
LOC441054	-1.6
WDR65	2.401
PSTK	-0.449
STOML3	0.64275
R3HDM2	0.3555
C5	-1.83425
SLC2A10	0.554333333333333
C3orf22	0.565
PAQR3	-0.929153846153846
ANKRD26	-0.094
HCRTR1	0.1905
LOC399947	0.4905
PSD2	-0.757333333333333
TIGD2	-0.00899999999999998
SCRN1	-0.18675
COQ10A	0.15125
DDI2	-0.00750000000000001
METTL7B	-0.950666666666667
UCN2	0.10675
FAM92A3	-0.00899999999999999
WDR16	0.224
ZNF511	-0.3325
ZMYM5	0.476125
POLR3G	-2.274
ZNF586	0.5435
C1orf49	0.488333333333333
TANK	0.640833333333333
RCAN1	-0.595166666666667
PELI3	1.4565
LIMD2	-0.740833333333333
TMEM189	-0.4985
NTN4	-3.504
LOC151300	-0.51
CLEC2A	-0.253
GPR135	0.261875
DPYSL4	-3.786
JAK2	-0.654
TSHZ1	1.345
TM9SF4	-0.125125
ZNF264	0.713166666666667
SIRPG	-0.0775
BICD1	-1.8465
HERC6	1.34183333333333
METTL5	-1.345
CASP1	-1.3375
PRRT1	0.390333333333333
PLA2G4C	2.787
ICA1L	0.321642857142857
TPTE2	0.201
OTUD7A	0.263833333333333
AQP11	0.5935
APOA2	-4.4116
KALRN	-0.4116
SECTM1	1.78266666666667
IFNAR1	-0.47025
TALDO1	-0.363
RAB11FIP4	0.300833333333333
EIF5A	-2.499
FAM49A	-0.2785
NEGR1	0.4535
YTHDC2	0.325125
EHD2	-0.814625
NCF1	0.4911
SCRT2	0.4285
HOXA5	-2.1195
NUP133	0.068
FGF12	1.1386875
SLMO2	-0.23425
SNTA1	-0.22425
CACNG2	-0.471125
GCM1	0.694625
ELF1	-0.327833333333333
TLR5	2.6515
TCFL5	-1.234
RBMY2FP	-1.3555
LOC100125556	0.531
FAM129B	0.124
MAP3K7IP1	-0.10925
NCK2	-0.3125
OXA1L	-1.3765
FMO9P	0.218
ZSCAN12	0.90925
PSMD12	1.15425
HSCB	-0.28175
CLDN10	-3.6765
MGC13053	-0.511
HPCAL4	-1.36866666666667
ASZ1	0.282
MEX3D	-0.284416666666667
NFAT5	-1.0258
CSPG4LYP1	-0.851833333333333
FBXO3	1.8392
DVL1	0.0816666666666667
CMKLR1	0.343
TYMS	-2.186125
PEF1	0.59975
ZNF750	2.33133333333333
MCM5	-0.9726
MEGF11	-0.85125
KCNK7	-0.0285
PTP4A3	-0.158
C1QTNF2	-2.17516666666667
OR6S1	-2.2045
FAM122B	-1.3355
ZNF551	-0.34425
HBQ1	-3.1975
GEMIN6	-0.24775
ARSK	0.309
RBP7	3.35983333333333
CPNE9	-0.36775
DSC1	0.1675
LOC730112	0.24375
MAP2K4	0.69125
HS3ST5	-2.266
EPB41L3	0.4885
TEKT2	0.71575
CDKN2B	0.725666666666667
ZNF480	1.48575
MAP3K6	-0.5427
MAP6	3.7915
HN1	0.4167
OR2L13	-0.7238
SLC16A11	0.5645
FAM96A	-1.052
APOL1	-1.373
C5orf32	0.817
RTP1	-0.645
RNF175	-1.8085
ZBTB41	1.037375
AHCTF1	-1.0359
SAE2	-0.3535
ITGA2	-0.567
MME	-3.077
CCDC14	-1.7895
MAST4	0.851357142857143
KRT33B	0.781
KCTD2	0.5735
WDR26	0.0890833333333333
MFI2	0.344625
NR4A3	-1.42642857142857
ARSA	1.87025
UNKL	-1.627
SULT6B1	0.237
CCNA2	-2.47433333333333
SOX15	0.226
PPAPDC1B	2.69208333333333
C19orf44	1.105
MCAT	0.41175
ARID1B	-0.122125
OR52N1	0.4985
C12orf48	-0.3335
MAGI1	1.559
NIPA2	-0.0535
GBX2	-2.552
RSHL3	0.399125
RAVER1	-0.324666666666667
C15orf17	0.69825
SLC30A2	0.377125
ZNF518	-0.5375
PCYT1B	-0.6635
C10orf114	-1.86325
EIF3H	0.964916666666667
SLC25A39	0.473666666666667
KIF1B	-0.901125
AMOTL2	1.64225
C6orf120	-0.506625
PSRC1	-2.2145
PLA2G10	2.850625
KIF5C	0.80475
MRPL37	-0.965
C17orf62	0.983833333333333
C9orf135	-0.9608
DUSP10	-0.386
CLCNKB	0.2675
PSMA5	-0.463625
C8orf53	1.46675
AMPD3	1.3935
PIAS1	-0.23275
ADCYAP1R1	0.1725
GYLTL1B	-1.25275
CDH20	0.0723333333333333
FBXO7	0.43775
TMEM134	0.610666666666667
FLJ14213	-0.144333333333333
ZNF3	-0.5555
LRRFIP1	-0.210041666666667
CNOT2	0.360083333333333
ABI3	1.71575
ALDH5A1	-0.047
HNT	1.1392
SERPINA4	-2.7805
TK2	-0.02425
STMN1	-1.647
GUCA2A	0.172166666666667
GALNT10	-0.136071428571429
DPP6	-1.099
C9orf93	0.159
PRELID2	0.12625
STK39	-0.439
SFTPA1	-0.663
CKS2	-1.57144444444444
RHO	0.14125
C20orf135	-0.44325
XKR3	-3.0275
CR1	-0.57125
RPS6KA2	0.480071428571429
C20orf112	0.69475
MRPL22	0.1875
C4orf23	-0.234
GADD45B	0.068
KLHDC1	2.86466666666667
C2orf48	-3.1305
ZNF287	1.0505
DAAM2	-1.59975
DPPA2	-2.88433333333333
TCTN3	0.153
DNAJB11	0.280125
FPR1	2.173
DEFB4	0.31
PTCD2	0.1961
SMOC2	3.958
CABP7	-0.6575
SERPINB11	-0.14175
MAGEF1	1.39575
NDE1	-0.279166666666667
ITGA10	-2.922
FSHB	0.4475
ANXA2	-0.30025
HORMAD2	-0.44275
HLCS	0.551
MCF2L	1.00933333333333
FH	-1.212625
TBC1D24	-0.04125
KIAA1505	0.52325
LGALS2	-2.57375
CNBD1	0.465
SYNPO2L	5.9105
PTPN23	0.0117142857142857
C1orf183	-1.18783333333333
MAGEA8	-2.26675
DGCR8	-0.468125
GSR	-2.13
PAQR7	0.09475
ZNF676	0.3
CACNA1C	-1.0921
SP7	-0.268
PDCD6	0.717
NRN1L	-0.47
BRI3BP	-0.47775
KIAA1183	0.265
ASB4	0.37725
CCL23	-0.194666666666667
OBSL1	0.737625
SLC12A7	0.0318333333333333
KIAA0240	1.960875
CD1B	-2.90416666666667
FCGR2A	-0.787875
MDC1	-0.4125
HTR1A	0.558333333333333
OCEL1	1.1865
ATP11B	-0.394066666666667
FBXO34	0.0496666666666667
PCDH12	3.81683333333333
RPE	-0.51825
C17orf74	0.169
CSDC2	0.148166666666667
PET112L	0.37725
TMBIM1	-0.134125
P2RXL1	0.467333333333333
TCHP	-0.7815
TRMT1	-0.8615
F2RL2	-2.47818181818182
LRRC32	1.8335
IMPG2	0.371
BGLAP	-0.2925
LOC493869	-3.14516666666667
MRAS	0.166
SLC35F5	0.049
CBWD1	1.0035
AXL	-1.19475
ATP2C2	1.484
TELO2	-1.21575
PNPLA3	-4.61625
PCDHB14	0.66275
CD276	-0.73725
KRT80	-0.00550000000000001
DUSP28	0.282
CSNK1E	-0.258
SRP14	0.9495
KCNQ4	0.4145
KRT72	0.548166666666667
CCDC117	0.8425
C6orf89	0.500833333333333
TUBB2B	-2.7908
RTN4IP1	-1.34475
CR1L	-3.86666666666667
CEND1	0.044625
C12orf41	0.0726666666666667
RNF31	0.25825
UBN1	-0.132666666666667
C17orf32	2.693875
SLC5A7	1.2075
GPR92	-0.465
ESAM	2.6926
CTNNA1	0.639416666666667
HRBL	0.6396
CBX4	-1.24375
TMEM182	-0.46575
SH3TC2	-1.32233333333333
IL10	0.651166666666667
PXMP4	1.29
RNF167	-0.241
PAK7	-0.4095
ETV3	-0.4235
ATPIF1	0.436166666666667
LOC554207	-1.1365
OR8H1	-0.0485
WDFY3	1.548
DPM1	-0.613
GPSM1	0.57
WDR92	-0.2958
LRP1	-0.794
ANKH	-2.645875
THUMPD3	-1.8665
POLR1B	-0.717
OLFM4	0.4114
RAD9B	0.74
TSPY2	-2.838
PAX6	-2.89316666666667
SCG2	-4.317125
SLC17A6	0.39375
FMO3	2.3405
PADI4	-0.682125
TUBB4	-1.2934
NLK	0.95425
POU4F3	-0.058
SDF4	-0.529
ITGBL1	-0.171166666666667
NETO1	-1.20375
TAP2	0.07375
ABBA-1	-0.161166666666667
GNAI1	0.21175
VPS4B	1.1425
NOPE	0.812
GALNT6	2.854
SESN1	-0.765375
GBE1	-1.40233333333333
CLASP1	0.0035
RASGEF1B	-0.274857142857143
ACOT11	-0.824214285714286
AFAP1	0.4445
OR2H2	-0.409
DPY19L2P1	1.009
DZIP1	-3.291
SEC22C	-0.244583333333333
GPR161	-1.19858333333333
RNF146	0.59375
WDR74	-0.441375
GALP	0.9395
PURA	0.72575
DNPEP	0.136916666666667
RP11-78J21.1	-1.097
ERBB2	3.399125
FANCM	-0.460333333333333
NEO1	0.531666666666667
DDX3Y	-4.4371
RPS3A	0.345875
MXRA7	0.567571428571429
LGALS3	-1.86016666666667
GLT8D1	0.41675
CFL2	-1.45433333333333
UPB1	-0.421
NAP1L5	-0.045125
CLDN14	-2.17625
DHX38	-0.6195
BTBD1	0.16825
TARS2	-0.965333333333333
ABCF1	-0.213
FCF1	0.126666666666667
LRRC49	-0.1985
GUCY1B2	-2.433
C1orf177	-0.850666666666667
SMARCA4	-0.611
LRP8	-2.12266666666667
TAGLN3	-1.88675
MRPL14	-0.607
TTRAP	0.05125
ZDHHC20	0.83075
NFE2L3	1.342
KIAA1377	-0.731125
PALMD	-0.4532
TMEM43	-0.252
TTL	-1.871
STAT5B	-0.565833333333333
SSB	-0.966375
OR10H5	-0.135
SLC22A13	-0.257666666666667
AKAP3	1.0025
TIMM23	0.401
OAS2	1.68136363636364
KIAA0423	1.52125
TRIM11	0.408833333333333
GLIS3	-1.0165
TMEM50B	0.845833333333333
ARHGEF4	-2.637875
DEGS1	-2.48509090909091
TBL1XR1	1.24123333333333
G6PD	-2.28125
SP140	-1.0336
MUC17	0.216230769230769
NUDC	-0.4834
DNAJC5B	0.246666666666667
SCARA3	-1.4645
CPA3	6.33883333333333
BCAT2	-0.147
MFN1	0.2616
NRG3	3.653
SNX11	0.9345
PLEKHH1	-0.0961666666666667
GPR177	-1.9935
HCFC2	0.834
TCAP	1.71525
MOCOS	-1.443
C14orf93	0.33625
PRDM10	0.1255
SLC16A4	-0.548
SRGAP1	1.89333333333333
VIP	0.12475
DUSP27	0.364666666666667
LILRA1	-0.1937
MC2R	0.453
MGC24103	-4.124
MBTD1	-1.664
FUT11	-0.808166666666667
USP33	0.565
C15orf39	-0.93525
MAP3K12	0.211
PAAF1	0.051
BARHL1	0.2825
FLJ16165	0.3955
PIWIL2	-3.00775
SYNE1	-0.8515
CMTM4	-0.304625
TSPYL1	0.6104
GUF1	-0.359166666666667
TMEM157	2.641
WDR44	0.09525
HIST1H3C	0.70725
DKFZp666G057	2.31175
RNPEP	-0.82325
GAS2L2	0.748666666666667
ADH4	-4.6565
GRPR	0.578333333333333
FBXL17	-0.18725
ZBTB10	1.56633333333333
Gcom1	0.862388888888889
HTRA1	0.0645
ZNF585A	0.354166666666667
SLC26A2	-0.901571428571429
OTOP3	0.272333333333333
WISP1	0.242222222222222
ATP2B4	-1.68458333333333
FLJ10769	1.305
CRAMP1L	-0.2605
CHST12	0.611
RAB22A	0.445916666666667
TARDBP	-0.000857142857142862
STAU1	-0.57475
CRB3	2.55483333333333
MIG7	2.5085
CHMP1A	-0.713166666666667
ZNF160	0.182375
B3GALT6	0.82175
BARX1	-2.3845
C6orf167	-1.7756875
NXNL1	0.6435
DHX29	0.537875
HADHB	-0.4295
PLXNB2	-0.325
ILDR1	-1.47625
SLC15A3	1.04475
GAS2	-3.75783333333333
C20orf69	-0.45
NUMB	-0.05075
TNIP1	-0.6775
MESP1	5.147
PSKH1	-0.424
NSFL1C	-0.01975
RHOG	-0.29475
HEY1	-2.456
KNG1	-1.76275
ITGAX	0.774
LIN9	-0.5555
CANT1	2.48325
XRN1	-0.101857142857143
CCDC96	1.0693
HEATR6	-0.394166666666667
GNG7	0.517
RUNX2	-1.0671875
SOX1	0.17
FCRL5	-0.1322
ZNF99	0.56075
FAM9A	-1.245
SNX22	0.5105
MBNL3	-2.4875
ODC1	-2.506
ADORA2B	-2.86633333333333
NR2F6	0.0345
ZFYVE16	-0.145722222222222
SYNJ2BP	0.8427
POLE	-1.605125
E2F2	-0.945125
THRA	1.88316666666667
PTGES2	-0.404333333333333
HIP1R	0.169
TMUB1	-0.370333333333333
ENO3	-2.16975
RSPH10B	0.4495
CXorf39	0.7685
IRGC	0.403
GPR109B	0.45775
FLJ13305	-0.9815
LCE3A	-0.3975
TNFRSF18	1.188
DET1	0.96
TRPM3	-0.834181818181818
C16orf79	-1.4075
FECH	-0.529666666666667
RAP2A	0.3675
CRIP1	2.7385
AZIN1	-0.1295
SLC7A7	1.7525
IL10RA	-0.6816
TMEM64	-4.201
CDC42EP4	1.7069
C16orf58	0.0959
ARG2	-2.57125
POU5F1P4	-4.9125
FAM62B	-0.470375
DNAH8	-2.89677777777778
ASH2L	1.499375
TSLP	-3.40383333333333
CNTNAP5	0.189833333333333
TMEM16C	-0.718
IFNA14	-0.881
SLC1A3	-1.71
CABYR	2.163
BCL7B	-0.0776
NUDT13	-0.969166666666667
C13orf28	0.533
C1orf53	-1.11375
ARL6IP4	0.5874
RPL35A	-0.67025
EMR3	0.0555
RAB40C	0.0625833333333334
SLC41A1	-0.5495
LRCH1	0.079
LY6G5B	-0.994
FAM124A	-0.739285714285714
MGC10981	-4.17566666666667
CLIP3	-0.6231
MAP4K2	0.200833333333333
CHIC1	0.57525
SULF1	1.69783333333333
C20orf30	0.8105
PRDM5	-0.821875
ELOVL1	-0.113
C11orf48	-0.020375
SLC39A10	-0.46
KCNV1	1.7555
ACP1	-1.04416666666667
ZMYM2	0.02275
B3GNT6	-0.0783333333333333
C9orf69	-0.8675
C2orf15	2.05475
C20orf166	-0.309
HSP90AA6P	-1.3635
EDG7	-1.459
NEURL	2.1725
LPL	-1.28816666666667
CLEC2D	-0.0108571428571429
GRRP1	1.63
CD8B	-4.1316
HIST1H3D	1.6075
SLC6A12	0.32325
FAM27L	-2.2755
CD84	-0.3895
RASA1	-0.337
PHKG1	-0.0375
MAGEA11	-1.154
IMPA1	0.2398
NPM3	-1.32275
RARRES1	-0.80425
SH3BP1	-0.310375
B3GNTL1	0.64
ARPC5L	-0.0836666666666666
KLHL26	0.2155
SIM2	0.656625
GJC1	0.7165
C20orf194	-0.6185
EXO1	-3.11325
SLC2A2	-2.48633333333333
LOC285074	-0.81725
LRG1	-3.67025
KIRREL	-0.502
PIK3R1	-0.479
C4orf34	1.04925
MAF	-1.52527777777778
ADCY4	3.61233333333333
ZMIZ2	0.4559
SLC46A3	2.39966666666667
STAMBP	-0.577333333333333
CCDC16	2.34025
MS4A12	-1.492
TCF20	0.6125
LRRC46	2.8935
C20orf152	-1.0665
MRPS6	-0.936
ABCB11	-0.024
KCNC2	4.9955
CDH19	-2.95033333333333
C9orf123	1.16783333333333
SSH3	0.818
LDLRAD1	-3.40125
CCBE1	-0.95325
ZNF135	1.8595
TAAR1	0.896
WFDC12	2.039
CCDC42	-0.164
FLJ12529	-0.786
PER1	-1.00633333333333
TIMM50	-0.347333333333333
SMARCAD1	-0.156333333333333
FAM26C	0.7595
TP53TG3	-2.63566666666667
SH3RF1	1.28
LMCD1	0.07375
GPR63	-0.4075
FLJ21986	-3.458
AIFM3	1.56925
MICAL1	-1.35083333333333
BLZF1	1.26833333333333
IQCA	-1.54966666666667
PCDHGC3	0.83
SAC	0.803
BCL6B	2.19216666666667
DDO	-1.76725
MARCO	4.23225
DCHS1	0.954833333333333
C1orf170	-0.0731666666666667
CD200R1	0.465166666666667
C22orf15	-0.307
SEPT11	0.310833333333333
ADNP	0.10575
UST	-1.1008
C13orf34	-0.588166666666667
RFFL	1.96628571428571
APBA3	-0.449
C2orf60	-0.146375
CUTL1	0.6129
PMS1	-1.09075
ZNF689	-0.533
EIF3E	-0.657666666666667
IL9	0.302666666666667
RPL31	-0.352
LY9	-0.511333333333333
ATP2B3	0.26675
KDELR2	-0.315041666666667
TFCP2	0.242625
NLRP12	-1.015375
FLJ45422	-0.37825
TLE4	-2.4389
ZNF570	-0.096
FLJ43806	-1.1295
TLK2	0.214
CIR	0.64725
MARS2	0.269
COL24A1	0.471
SDF2L1	1.0865
HIBADH	-0.044
IGFBP3	-3.41685714285714
C12orf23	1.046
PSPC1	0.123
C20orf43	-0.3075
TRAV20	1.437
ARHGAP24	-0.063375
KIAA1975	1.496625
C1QA	3.3919
DNTT	-3.9254
C10orf6	-0.379333333333333
C11orf41	-1.58925
HNRPF	0.4825
COL11A1	3.72733333333333
UBAP2	-0.172
CDKN2AIPNL	0.598
C20orf174	0.23075
SPRED2	1.04025
PLA2G12A	0.792333333333333
ICEBERG	-1.01383333333333
SCN10A	0.237
C11orf65	0.1405
GBP5	2.20625
PITPNC1	-2.0915
POU3F3	-0.045
NCOA7	-1.823
LIN7C	0.4341
LOC348840	-2.531
NKX2-2	-2.592
ANKRD13D	-0.02825
LOC123688	0.76425
FUT2	1.63666666666667
TAAR8	0.346
FZD4	0.463583333333333
PNMA3	-1.86266666666667
OR4L1	0.7185
WIT1	-3.33225
EXOC3L	1.56975
ATPBD4	2.1756
KRBA1	-0.28825
UBXD6	-0.30875
HOXB7	-1.57235714285714
C7orf23	-0.411
UNQ338	-0.70575
STAB2	1.2465
CDC20B	-0.0287500000000001
IRF9	2.43725
CENTG1	-0.0905833333333333
TNPO2	-0.69
MCPH1	0.029375
BMS1P5	-0.95975
SLC26A7	0.48175
HIST1H3J	0.8175
C9orf3	0.4995
LBH	0.70175
MYO1D	0.560125
PTDSS2	1.06325
NFU1	1.07
DEPDC4	-0.51225
WNT7B	-0.9893
GLP2R	-0.372666666666667
SETD4	0.0199
DYNLT3	0.0597
FKBP11	-1.43833333333333
SESTD1	-0.1415
FLII	-1.7165
RPS16	-0.0745
CHPF	-1.18016666666667
CSNK2A1	-0.227666666666667
SUMO1P1	0.32275
FKBP6	1.9485
ZNF214	2.7285
TWIST1	2.7635
DDX56	-0.963666666666667
TRAM1L1	3.7021
EPO	-2.14983333333333
MRPS18B	0.68475
ZNF682	0.625666666666667
RPL14	-0.470166666666667
MAFF	0.572
LOC51136	0.051
LY96	-1.76425
DDX20	-0.2295
ABTB1	0.0918333333333333
ARL5A	-0.4326
CCT6A	-1.2245
HEPACAM	-1.2132
EHHADH	0.2245
RBAK	-0.751333333333333
CGB1	-0.16075
ITGB5	0.3005
YIPF3	0.15225
FKBP2	0.3975
NR1D1	0.4132
TMEM110	-0.0325
NEK2	-1.874
PRAMEF8	-2.91475
C20orf52	0.3105
PCDHGA3	0.2805
VWA3B	-2.43533333333333
NDUFA5	0.478875
THAP9	0.69675
FLVCR2	0.273666666666667
AP1S1	-0.567125
SMAD6	-1.44175
SAV1	0.358625
SAT1	1.004875
ZNF251	1.40125
ADAMTS7	-0.2237
RPP38	0.3665
C1orf211	-1.948
YPEL2	0.81075
RBMS1	-1.36525
ZNF445	-0.745833333333333
NRXN2	0.0153333333333333
PGBD4	0.091
UGT2B28	-0.6705
WBSCR16	-0.3857
NLRC3	0.16325
ASTL	0.09125
ST6GALNAC1	-3.76375
ZADH2	0.13325
MLLT4	0.655416666666667
ARL6	0.2435
MEF2C	-0.34275
CBFA2T3	-2.757
AFF3	2.32378571428571
COG7	0.530166666666667
MYB	1.02066666666667
PLXNA3	-0.5475
XRCC2	-2.15533333333333
MMS19	-0.65925
ST8SIA5	-1.4345
CHPT1	3.38833333333333
KIAA1712	0.693125
OR6X1	0.288
ACTR3	-0.747625
UGCG	3.6725
OR4P4	-0.216
ZAP70	-3.50325
LPP	0.6295
ZNF485	0.16725
PTPRCAP	-1.102
IL12RB1	-0.0815
ATRX	0.4592
CHST8	-2.746375
C14orf109	1.26325
ARV1	0.52625
NMB	-0.381
COX5A	-0.330333333333333
EIF6	-0.032
MPPED2	1.619
SEMG1	-2.103
CHRDL1	0.3005
TRAF3IP2	-0.9725
WNK2	-0.63575
LILRA4	0.499333333333333
LAMA2	0.19075
PXT1	-0.498
RLBP1	-3.5205
CD300C	-0.9515
SLTM	1.4425
FLJ10404	-0.5895
APOBEC3D	-1.74483333333333
RENBP	-0.835333333333333
ATXN7L1	-1.005125
NID1	-0.6635
TUBGCP3	-0.2305
ITIH5	0.884111111111111
CCDC110	3.21225
C8A	-2.69875
MGC87042	-1.3275
HOXC13	-2.49725
TFDP2	-0.83075
HCP5	0.811125
POLI	0.72725
UCN	-0.36
ZNF764	-0.136666666666667
C8orf45	0.2315
FHL3	-1.6865
SPATA5L1	0.20925
MMRN2	2.90233333333333
NDST1	0.1065
COL20A1	-0.271833333333333
ZNF248	0.011
PELP1	-0.586166666666667
MBL2	-2.66683333333333
RNF41	0.764875
C5orf24	0.228875
THOC5	-1.839
SERINC3	0.603083333333333
RP11-151A6.2	3.0015
CDCP2	-0.16425
HIST1H2AA	1.38625
C11orf75	-0.599166666666667
FKBP7	-1.702
DDOST	-1.1355
GPNMB	-1.17366666666667
TTF2	-2.79
KCNT1	0.102166666666667
SLC39A14	-1.29214285714286
NGRN	0.5395
GPR137B	1.383
MECP2	0.193
PSMA1	0.13
C16orf73	-5.1735
TMEM60	0.558166666666667
CSN3	0.86
NOS1	0.424833333333333
RAB7L1	-1.18516666666667
YBX2	0.895
KIAA1166	0.134875
FUBP3	0.898
ABCG1	1.5015
ACACA	0.6165
ARL11	1.7035
ATOH1	0.057
ODF1	0.0665
CREB3L3	-2.09783333333333
TMEM127	1.47907142857143
DSCAML1	-0.36675
PLN	2.22816666666667
LYPLA1	2.22216666666667
PRDM9	-1.622
SASP	0.4255
PLUNC	-0.1325
INTU	1.43825
HISPPD1	0.14325
LNPEP	-0.248666666666667
YARS2	-0.623166666666667
APCDD1L	-1.532
ZCCHC4	0.1091
FBXO22	-0.218
TTLL13	0.5845
ZNF669	-1.4475
PTGDR	0.6505
DDX27	0.1915
KIAA0409	-0.121666666666667
GJB6	0.24325
ASB8	1.16775
PLP2	0.157166666666667
MEPE	-0.91025
OR10J5	0.469
KRT222P	5.529
COQ7	0.182
C1orf101	0.61425
RERG	3.8868
CHMP5	1.507875
THAP11	-1.021875
ZNF43	0.626666666666667
ZRANB3	-0.1245
KRT13	2.9685
MRPL19	-0.525375
RBBP9	-0.143625
SPATA17	0.292333333333333
BXDC5	0.6155
PAFAH1B1	-1.02758333333333
MAGEE1	1.80625
OSTF1	0.00025
KIAA0323	-0.341833333333333
TXNDC13	-0.357166666666667
CNTN4	1.443375
LCE1B	0.77
UNQ501	1.35125
ZNF154	-0.34575
C3orf64	-0.73325
SYT5	0.00639999999999999
PON1	-0.4188
FLJ10357	-1.00375
ATP4A	-2.675
GNPDA1	-0.756
MGAT1	-0.384166666666667
C14orf121	0.288
SLC35B2	0.0575
MIER3	1.321
CHEK1	-3.395125
ZNF8	0.007
TXNDC1	-0.326333333333333
CKB	-3.0731
RTN3	0.730714285714286
FZD2	0.240333333333333
PART1	-0.657
PSMB6	-0.51375
PCDHB8	0.586
PHC3	0.4293
PPP1R8	0.391333333333333
NOVA2	1.28466666666667
TNFRSF11B	-3.127625
GOLPH3	0.579833333333333
UBLCP1	0.0865
SUHW3	-0.65625
TTLL1	1.744
OPN4	0.284
OR13G1	0.3095
ZPBP2	-0.2705
HSD17B11	-3.49975
C9orf50	0.9165
DHDDS	-0.193285714285714
CTSW	0.1322
NEFM	-3.01166666666667
MRPL28	-1.07375
SYN1	0.1355
PIGV	1.101
ZIM2	0.87375
APBB1	-0.211
SND1	-0.37925
C1orf123	0.413
CHD3	-0.616
BHLHB8	0.273
RNASE2	-0.621666666666667
BCAP31	0.68025
SLC25A44	-0.1355
CHD6	0.1794
PIB5PA	2.70107692307692
SELS	1.064375
LOC541471	-0.031125
FAT2	-0.224
ZNF81	-0.2315
OR4C16	0.4
FLJ10081	0.1439
LRRC4	0.73925
CS	-0.958166666666667
N4BP2	0.60325
IGFBP7	1.28825
ZNF318	0.05475
NDNL2	0.79825
ZNF609	0.582125
SIRT4	0.977
EXOSC10	-0.86225
ECE2	0.00416666666666668
OVGP1	1.36325
GTPBP3	0.095
PACS2	0.3432
C19orf36	-0.9075
ARL4C	-3.0425
ATG4B	-0.093375
UBQLNL	0.72425
RHOXF2B	-3.864
PLEKHG2	-0.988
GALR1	-0.6655
AQP4	-0.408
HDAC7A	-0.6855
DCUN1D3	0.00175
OR8A1	0.8125
CCRN4L	1.915875
CBR4	0.522
KIFC1	-1.30766666666667
SLC7A14	-1.1354
LHX5	3.9415
TRPC7	-0.4645
LPXN	-1.5115
SERPINA1	-3.078125
RPS13	-0.327
BPIL3	0.295
PRKAA1	-1.7235
FADS2	-2.3164
ENAH	-0.3814375
PRO1768	-1.8165
APBA2BP	1.39725
LIPH	2.8955
C3orf33	-0.55825
RCC2	-0.618428571428571
ALDH1A2	-3.3333
RNF103	2.3745
AHCY	-0.664625
ALG12	0.433
CCL17	-0.10325
ZNF543	1.49333333333333
ESRRG	0.0531
CNGA1	-0.1415
RDH5	-0.3815
