Hybridization REF	TCGA-AO-A03N-01B-11R-A10J-07
C1QTNF2	0.4225
OR6S1	0.1875
FAM122B	-1.70725
ZNF551	-0.482
HBQ1	-1.9675
GEMIN6	0.76175
ARSK	0.0445
RBP7	1.35366666666667
CPNE9	0.407
DSC1	0.3605
LOC730112	0.18725
MAP2K4	0.847125
HS3ST5	-0.431
EPB41L3	-0.371
TEKT2	3.6065
CDKN2B	0.471583333333333
ZNF480	0.2925
MAP3K6	0.7818
MAP6	2.2635
HN1	0.5319
OR2L13	0.4346
SLC16A11	0.474
FAM96A	-0.65175
APOL1	0.19175
C5orf32	0.71575
RTP1	0.273166666666667
RNF175	-1.134125
ZBTB41	0.738125
AHCTF1	0.5272
SAE2	0.0498
ITGA2	0.31725
MME	-0.9625
CCDC14	-1.246
MAST4	1.70935714285714
KRT33B	-0.1245
KCTD2	-0.242833333333333
WDR26	0.60975
MFI2	-0.431875
NR4A3	-0.4885
ARSA	1.32125
UNKL	0.578
SULT6B1	0.474
CCNA2	-2.20083333333333
SOX15	-0.4265
PPAPDC1B	0.710916666666667
C19orf44	1.3415
MCAT	1.30108333333333
ARID1B	1.00575
OR52N1	-0.354
C12orf48	-0.83825
MAGI1	0.276375
NIPA2	-0.847
GBX2	-0.6425
RSHL3	2.77725
RAVER1	1.39416666666667
C15orf17	-1.4165
SLC30A2	1.813125
ZNF518	-0.54325
PCYT1B	-0.4845
C10orf114	2.16625
EIF3H	0.131583333333333
SLC25A39	-1.18666666666667
KIF1B	-1.088
AMOTL2	0.542
C6orf120	0.477875
PSRC1	-1.89625
PLA2G10	2.154125
KIF5C	0.513375
MRPL37	-2.087
C17orf62	-0.252833333333333
C9orf135	0.2445
DUSP10	1.5136
CLCNKB	0.0395
PSMA5	-0.5215
C8orf53	1.53725
AMPD3	0.458166666666667
PIAS1	0.42175
ADCYAP1R1	0.1515
GYLTL1B	1.8145
CDH20	-0.112
FBXO7	-1.13525
TMEM134	0.745
FLJ14213	0.580333333333333
ZNF3	0.08625
LRRFIP1	0.35275
CNOT2	0.955166666666667
ABI3	1.86025
ALDH5A1	-0.24825
HNT	2.3902
SERPINA4	-1.361
TK2	0.1705
STMN1	-1.63777777777778
GUCA2A	0.151833333333333
GALNT10	1.04728571428571
DPP6	-0.1606
C9orf93	0.432
PRELID2	-0.868375
STK39	1.426375
SFTPA1	-0.14275
CKS2	-0.884555555555556
RHO	0.370125
C20orf135	0.28525
XKR3	-1.824
CR1	-6.93889390390723e-18
RPS6KA2	0.945142857142857
C20orf112	0.743
MRPL22	-0.11275
C4orf23	0.2755
GADD45B	1.309
KLHDC1	0.244833333333333
C2orf48	-1.2885
ZNF287	-0.053
DAAM2	-0.31925
DPPA2	-1.62633333333333
TCTN3	-0.673
DNAJB11	1.063125
FPR1	1.12175
DEFB4	1.1985
PTCD2	-0.6476
SMOC2	5.3965
CABP7	1.193
SERPINB11	0.145
MAGEF1	-0.0455
NDE1	0.354
ITGA10	0.2915
FSHB	-0.272
ANXA2	1.03825
HORMAD2	-0.0095
HLCS	0.50225
MCF2L	1.39183333333333
FH	-0.4835
TBC1D24	2.82275
KIAA1505	2.18675
LGALS2	-3.155
CNBD1	0.06
SYNPO2L	0.50325
PTPN23	0.151071428571429
C1orf183	0.0275
MAGEA8	-1.587
DGCR8	-0.627
GSR	0.1595
PAQR7	-0.21925
ZNF676	-0.437
CACNA1C	0.8818
SP7	-0.076
PDCD6	-0.4485
NRN1L	-0.666
BRI3BP	0.23675
KIAA1183	0.33075
ASB4	0.744
CCL23	0.3631
OBSL1	-0.6135
SLC12A7	-0.0011666666666667
KIAA0240	2.865125
CD1B	-2.64016666666667
FCGR2A	-0.82425
MDC1	-1.439
HTR1A	0.477333333333333
OCEL1	0.278
ATP11B	-1.01746666666667
FBXO34	1.02533333333333
PCDH12	4.15933333333333
RPE	-0.15275
C17orf74	0.383
CSDC2	0.592666666666667
PET112L	-0.19425
TMBIM1	-1.102125
P2RXL1	-0.192
TCHP	-0.2495
TRMT1	-0.7595
F2RL2	0.51125
LRRC32	3.05266666666667
IMPG2	0.309
BGLAP	0.5245
LOC493869	-0.202083333333333
MRAS	1.462625
SLC35F5	0.49225
CBWD1	-1.498
AXL	-2.418
ATP2C2	2.80925
TELO2	0.26475
PNPLA3	-3.6065
PCDHB14	2.63725
CD276	0.611
KRT80	-0.755125
DUSP28	-0.0665
CSNK1E	0.1675
SRP14	0.9905
KCNQ4	-0.14
KRT72	0.971333333333333
CCDC117	0.079
C6orf89	-0.0146111111111112
TUBB2B	-1.75
RTN4IP1	-0.6515
CR1L	-2.71216666666667
CEND1	1.182875
C12orf41	-1.53783333333333
RNF31	0.4235
UBN1	1.39783333333333
C17orf32	-0.0507499999999999
SLC5A7	0.64675
GPR92	-0.176333333333333
ESAM	2.579
CTNNA1	0.6795
HRBL	0.7559
CBX4	-0.00525
TMEM182	0.392
SH3TC2	0.166166666666667
IL10	0.233333333333333
PXMP4	1.461
RNF167	-0.0744
PAK7	-0.270333333333333
ETV3	0.3625
ATPIF1	1.08983333333333
LOC554207	-0.998333333333333
OR8H1	0.11675
WDFY3	0.871625
DPM1	-1.30925
GPSM1	0.2155
WDR92	-0.2463
LRP1	1.27783333333333
ANKH	-0.583
THUMPD3	-2.10575
POLR1B	-1.23325
OLFM4	6.91283333333333
RAD9B	-0.3805
TSPY2	-1.9285
PAX6	-1.11616666666667
SCG2	-2.08325
SLC17A6	-0.05475
FMO3	0.809
PADI4	0.054
TUBB4	-0.5651
NLK	-0.507
POU4F3	-0.4245
SDF4	-0.6315
ITGBL1	3.39366666666667
NETO1	-0.508125
TAP2	0.0145
ABBA-1	0.733666666666667
GNAI1	-0.58025
VPS4B	-0.25275
NOPE	0.0528
GALNT6	4.23616666666667
SESN1	-0.270625
GBE1	-2.11588888888889
CLASP1	0.63325
RASGEF1B	-0.078375
ACOT11	-0.236928571428571
AFAP1	1.104
OR2H2	0.4255
DPY19L2P1	-0.611
DZIP1	-1.072
SEC22C	-0.996083333333333
GPR161	-0.13675
RNF146	0.232
WDR74	-0.936375
GALP	0.0115
PURA	2.429
DNPEP	0.30225
RP11-78J21.1	-1.82425
ERBB2	2.564125
FANCM	0.728666666666667
NEO1	1.16083333333333
DDX3Y	-4.3997
RPS3A	-0.91425
MXRA7	-0.245357142857143
LGALS3	2.05016666666667
GLT8D1	-0.17125
CFL2	-1.89283333333333
UPB1	0.22025
NAP1L5	-0.255125
CLDN14	2.399
DHX38	-1.72025
BTBD1	-1.4675
TARS2	0.974
ABCF1	-0.4731
FCF1	0.314
LRRC49	1.25375
GUCY1B2	-1.223
C1orf177	0.242833333333333
SMARCA4	-0.992142857142857
LRP8	-2.59083333333333
TAGLN3	-0.57225
MRPL14	0.35825
TTRAP	-0.33975
ZDHHC20	1.684
NFE2L3	-0.95225
KIAA1377	2.164
PALMD	0.8881
TMEM43	-0.2075
TTL	-0.795875
STAT5B	-1.3275
SSB	-0.245375
OR10H5	0.382
SLC22A13	-0.08225
AKAP3	-0.69725
TIMM23	0.6635
OAS2	0.9195
KIAA0423	0.70975
TRIM11	1.235
GLIS3	1.835375
TMEM50B	-0.294333333333333
ARHGEF4	-0.482625
DEGS1	0.986545454545454
TBL1XR1	0.4309
G6PD	-2.18933333333333
SP140	0.9862
MUC17	0.140785714285714
NUDC	-0.2415
DNAJC5B	0.607666666666667
SCARA3	-0.919166666666667
CPA3	2.39166666666667
BCAT2	-0.475625
MFN1	-0.804
NRG3	0.6225
SNX11	0.2475
PLEKHH1	-0.612
GPR177	-0.949166666666667
HCFC2	0.4145
TCAP	0.28875
MOCOS	-2.44525
C14orf93	0.227
PRDM10	-0.4255
SLC16A4	-0.0910833333333334
SRGAP1	1.222
VIP	0.20725
DUSP27	0.353833333333333
LILRA1	0.2932
MC2R	-0.001
MGC24103	-0.71375
MBTD1	-0.824
FUT11	0.324
USP33	0.4434
C15orf39	0.67875
MAP3K12	0.442125
PAAF1	-1.375
BARHL1	-0.0565
FLJ16165	-0.465
PIWIL2	-1.74425
SYNE1	0.841833333333333
CMTM4	-0.271625
TSPYL1	0.0681
GUF1	-0.7015
TMEM157	2.325
WDR44	-0.3625
HIST1H3C	0.213
DKFZp666G057	2.13475
RNPEP	-0.08375
GAS2L2	1.25266666666667
ADH4	-4.51275
GRPR	0.156333333333333
FBXL17	3.29425
ZBTB10	0.161916666666667
Gcom1	0.414833333333333
HTRA1	2.5988
ZNF585A	0.313166666666667
SLC26A2	2.66485714285714
OTOP3	-0.038
WISP1	1.70855555555556
ATP2B4	-0.4735
FLJ10769	0.488
CRAMP1L	0.32025
CHST12	-0.32275
RAB22A	0.556
TARDBP	-0.347642857142857
STAU1	0.0785
CRB3	2.895
MIG7	0.31075
CHMP1A	-0.244666666666667
ZNF160	-0.142875
B3GALT6	0.20875
BARX1	-0.6515
C6orf167	-1.426375
NXNL1	0.2095
DHX29	0.6735
HADHB	-0.6985
PLXNB2	0.367375
ILDR1	-0.97
SLC15A3	2.0995
GAS2	-3.4625
C20orf69	1.0785
NUMB	0.24025
TNIP1	-0.018875
MESP1	2.14383333333333
PSKH1	-0.11225
NSFL1C	-0.7105
RHOG	-0.30325
HEY1	1.18166666666667
KNG1	-1.0905
ITGAX	1.1808
LIN9	0.244333333333333
CANT1	-0.5825
XRN1	0.400714285714286
CCDC96	2.6976
HEATR6	-0.792833333333333
GNG7	-0.00408333333333333
RUNX2	1.879875
SOX1	0.9655
FCRL5	-0.0143
ZNF99	0.39825
FAM9A	0.2765
SNX22	0.709666666666667
MBNL3	-1.14616666666667
ODC1	-2.4175
ADORA2B	-2.541
NR2F6	-0.47675
ZFYVE16	-0.0443888888888889
SYNJ2BP	1.0707
POLE	-0.65875
E2F2	-0.83225
THRA	0.376333333333333
PTGES2	-1.90366666666667
HIP1R	1.40366666666667
TMUB1	-0.0213333333333333
ENO3	-1.9715
RSPH10B	-0.3725
CXorf39	1.901875
IRGC	0.028
GPR109B	-2.02275
FLJ13305	0.191
LCE3A	-0.5035
TNFRSF18	-1.14533333333333
DET1	-0.06275
TRPM3	0.0873333333333333
C16orf79	-0.409
FECH	-1.646
RAP2A	-0.493833333333333
CRIP1	4.03616666666667
AZIN1	-0.12775
SLC7A7	1.92025
IL10RA	-0.2078
TMEM64	-4.00875
CDC42EP4	0.0898
C16orf58	0.665
ARG2	-2.47175
POU5F1P4	-5.32
FAM62B	-0.272625
DNAH8	-0.6431
ASH2L	-0.4155
TSLP	-3.26483333333333
CNTNAP5	0.129333333333333
TMEM16C	0.35125
IFNA14	0.2895
SLC1A3	0.53225
CABYR	0.621
BCL7B	-0.0541
NUDT13	-0.759833333333333
C13orf28	0.76325
C1orf53	0.10275
ARL6IP4	0.7738
RPL35A	-0.01125
EMR3	0.53875
RAB40C	0.835
SLC41A1	0.0248333333333333
LRCH1	0.18875
LY6G5B	-0.315
FAM124A	0.0655714285714286
MGC10981	-3.89383333333333
CLIP3	0.3983
MAP4K2	0.933833333333333
CHIC1	-0.545
SULF1	3.68933333333333
C20orf30	-0.0627857142857143
PRDM5	-0.1135
ELOVL1	-1.4975
C11orf48	-0.43675
SLC39A10	-0.59075
KCNV1	-0.2505
ACP1	-0.8535
ZMYM2	0.8705
B3GNT6	0.315666666666667
C9orf69	0.48175
C2orf15	1.339
C20orf166	0.083
HSP90AA6P	0.7155
EDG7	-0.075
NEURL	-0.906
LPL	1.069
CLEC2D	-0.743
GRRP1	1.653
CD8B	-3.4181
HIST1H3D	-0.257
SLC6A12	0.0125
FAM27L	0.386
CD84	0.2943
RASA1	-0.0085
PHKG1	-0.4845
MAGEA11	-1.016
IMPA1	-2.3183
NPM3	-0.90825
RARRES1	0.82775
SH3BP1	0.628125
B3GNTL1	-0.4865
ARPC5L	-0.373833333333333
KLHL26	0.53425
SIM2	0.1095
GJC1	1.53
C20orf194	-0.08675
EXO1	-1.66975
SLC2A2	-1.21433333333333
LOC285074	-1.2815
LRG1	2.9755
KIRREL	0.9815
PIK3R1	1.39692857142857
C4orf34	0.92875
MAF	-1.03377777777778
ADCY4	2.8755
ZMIZ2	1.6444
SLC46A3	0.0226666666666667
STAMBP	0.3035
CCDC16	0.314
MS4A12	-0.186
TCF20	0.87375
LRRC46	3.6995
C20orf152	0.1795
MRPS6	-0.477625
ABCB11	0.6355
KCNC2	0.464
CDH19	-0.9665
C9orf123	-0.586666666666667
SSH3	1.371875
LDLRAD1	1.44375
CCBE1	0.26425
ZNF135	1.322875
TAAR1	-0.1355
WFDC12	0.2585
CCDC42	0.283666666666667
FLJ12529	-0.124
PER1	-0.178
TIMM50	0.0788333333333334
SMARCAD1	-0.796833333333333
FAM26C	0.186
TP53TG3	-1.76816666666667
SH3RF1	2.2296
LMCD1	2.488
GPR63	0.23
FLJ21986	-2.039625
AIFM3	-0.764
MICAL1	-0.976833333333333
BLZF1	0.863833333333333
IQCA	2.92933333333333
PCDHGC3	0.424
SAC	0.0993333333333333
BCL6B	2.17316666666667
DDO	1.002
MARCO	0.52725
DCHS1	2.119
C1orf170	1.9635
CD200R1	0.127166666666667
C22orf15	1.8835
SEPT11	0.676833333333333
ADNP	-0.44
UST	0.7325
C13orf34	-0.7345
RFFL	0.664142857142857
APBA3	-0.3255
C2orf60	-0.183375
CUTL1	0.7965
PMS1	-1.34025
ZNF689	-0.553
EIF3E	-1.7445
IL9	-0.2552
RPL31	-0.604125
LY9	-0.117333333333333
ATP2B3	-0.1095
KDELR2	1.01433333333333
TFCP2	0.00187499999999999
NLRP12	0.360625
FLJ45422	0.61125
TLE4	-1.1377
ZNF570	-0.131
FLJ43806	-0.3645
TLK2	-0.31425
CIR	2.0625
MARS2	0.075
COL24A1	2.03275
SDF2L1	0.665
HIBADH	-0.254333333333333
IGFBP3	-1.6975
C12orf23	1.03075
PSPC1	0.48825
C20orf43	-0.3105
TRAV20	-0.4265
ARHGAP24	0.358125
KIAA1975	0.040375
C1QA	2.6787
DNTT	-3.93783333333333
C10orf6	-0.556166666666667
C11orf41	0.75775
HNRPF	1.356875
COL11A1	7.97733333333333
UBAP2	-0.620666666666667
CDKN2AIPNL	-1.0675
C20orf174	0.19225
SPRED2	0.17875
PLA2G12A	0.101333333333333
ICEBERG	-0.491
SCN10A	-0.2755
C11orf65	-0.194333333333333
GBP5	2.516
PITPNC1	-1.53033333333333
POU3F3	2.855
NCOA7	0.441
LIN7C	-0.1723
LOC348840	-0.0205
NKX2-2	-1.121
ANKRD13D	0.73525
LOC123688	0.1765
FUT2	1.52466666666667
TAAR8	0.132
FZD4	0.298333333333333
PNMA3	-1.04483333333333
OR4L1	0.7265
WIT1	0.145
EXOC3L	1.9185
ATPBD4	-0.2558
KRBA1	-0.14275
UBXD6	-1.11275
HOXB7	1.54271428571429
C7orf23	-0.7565
UNQ338	-0.3455
STAB2	1.11975
CDC20B	1.86175
IRF9	2.88375
CENTG1	0.36075
TNPO2	-0.67875
MCPH1	-0.2115
BMS1P5	-0.67875
SLC26A7	0.29175
HIST1H3J	1.76925
C9orf3	0.4405
LBH	3.29425
MYO1D	0.93075
PTDSS2	-0.188
NFU1	-0.25925
DEPDC4	-1.06125
WNT7B	1.4819
GLP2R	-0.184666666666667
SETD4	-0.0322
DYNLT3	-0.2196
FKBP11	-0.7595
SESTD1	0.700333333333333
FLII	-0.01025
RPS16	-0.8361
CHPF	-0.415166666666667
CSNK2A1	0.219
SUMO1P1	-0.58525
FKBP6	-0.3945
ZNF214	0.990833333333333
TWIST1	1.22516666666667
DDX56	-1.22966666666667
TRAM1L1	0.5671
EPO	-0.653166666666667
MRPS18B	0.4505
ZNF682	0.309833333333333
RPL14	0.01
MAFF	-0.858
LOC51136	-1.8385
LY96	0.2955
DDX20	-0.17725
ABTB1	-0.134
ARL5A	-0.2764
CCT6A	-0.671
HEPACAM	-0.8936
EHHADH	-0.280833333333333
RBAK	0.8205
CGB1	0.30875
ITGB5	0.8351
YIPF3	0.18
FKBP2	0.89525
NR1D1	-0.3937
TMEM110	-0.5175
NEK2	-0.148666666666667
PRAMEF8	-2.4585
C20orf52	1.1005
PCDHGA3	0.708
VWA3B	0.13
NDUFA5	0.538625
THAP9	-0.69425
FLVCR2	-0.7605
AP1S1	-1.76275
SMAD6	-0.1305
SAV1	2.182875
SAT1	0.779125
ZNF251	0.286125
ADAMTS7	0.7373
RPP38	-0.4335
C1orf211	-0.1335
YPEL2	1.10375
RBMS1	-0.252
ZNF445	0.2235
NRXN2	0.693
PGBD4	0.322875
UGT2B28	2.302
WBSCR16	-0.2986
NLRC3	0.26275
ASTL	0.40475
ST6GALNAC1	1.52125
ZADH2	-0.22175
MLLT4	0.12175
ARL6	0.502333333333333
MEF2C	1.4105
CBFA2T3	-1.3955
AFF3	0.781
COG7	0.9075
MYB	-0.877833333333333
PLXNA3	0.164
XRCC2	-0.874666666666667
MMS19	-1.461
ST8SIA5	-0.814875
CHPT1	-0.312833333333333
KIAA1712	-0.582125
OR6X1	0.073
ACTR3	-0.197125
UGCG	-0.103833333333333
OR4P4	0.1915
ZAP70	-3.62425
LPP	1.179375
ZNF485	0.161
PTPRCAP	-0.82675
IL12RB1	0.3655
ATRX	-0.0835
CHST8	0.39225
C14orf109	-0.57575
ARV1	0.2525
NMB	-1.16457142857143
COX5A	-1.71816666666667
EIF6	-0.139
MPPED2	0.406333333333333
SEMG1	0.9455
CHRDL1	0.631
TRAF3IP2	0.086
WNK2	0.1905
LILRA4	0.641833333333333
LAMA2	1.702
PXT1	0.2755
RLBP1	-1.85925
CD300C	-0.3135
SLTM	-0.309625
FLJ10404	1.03075
APOBEC3D	-2.356
RENBP	0.0556666666666667
ATXN7L1	0.857875
NID1	0.61775
TUBGCP3	-0.740625
ITIH5	0.460722222222222
CCDC110	0.8215
C8A	-2.7
MGC87042	-1.844
HOXC13	1.87875
TFDP2	-1.6365
HCP5	0.6045
POLI	0.5395
UCN	-0.691333333333333
ZNF764	1.28366666666667
C8orf45	-0.17475
FHL3	-0.20625
SPATA5L1	-0.8355
MMRN2	2.07133333333333
NDST1	0.536
COL20A1	1.06083333333333
ZNF248	-1.06983333333333
PELP1	0.611166666666667
MBL2	-0.838666666666667
RNF41	0.206
C5orf24	1.515625
THOC5	-1.229875
SERINC3	-0.536916666666667
RP11-151A6.2	0.11275
CDCP2	0.25675
HIST1H2AA	-0.17425
C11orf75	0.421833333333333
FKBP7	0.69625
DDOST	-1.158
GPNMB	0.0913333333333333
TTF2	-0.624833333333333
KCNT1	0.0235
SLC39A14	-0.9455
NGRN	0.8369
GPR137B	1.50775
MECP2	0.338
PSMA1	-0.71325
C16orf73	-5.06325
TMEM60	-0.395333333333333
CSN3	0.09
NOS1	0.765
RAB7L1	-1.26633333333333
YBX2	1.073
KIAA1166	-0.0972500000000001
FUBP3	-0.276
ABCG1	3.5785
ACACA	-0.12075
ARL11	0.0562
ATOH1	-0.1635
ODF1	0.436166666666667
CREB3L3	-1.33333333333333
TMEM127	1.1825
DSCAML1	0.1145
PLN	3.2615
LYPLA1	-1.31316666666667
PRDM9	-0.85075
SASP	0.2485
PLUNC	0.0705
INTU	-0.482
HISPPD1	-0.813
LNPEP	0.259
YARS2	-0.234166666666667
APCDD1L	-0.352
ZCCHC4	-0.5277
FBXO22	-1.2695
TTLL13	-0.116
ZNF669	0.185333333333333
PTGDR	1.746
DDX27	0.94475
KIAA0409	-0.3735
GJB6	-0.04825
ASB8	0.951
PLP2	-0.373666666666667
MEPE	-0.049
OR10J5	0.121
KRT222P	1.3315
COQ7	1.307
C1orf101	0.0515
RERG	0.903
CHMP5	0.244625
THAP11	-0.757875
ZNF43	-0.322
ZRANB3	-0.849833333333333
KRT13	-1.03525
MRPL19	0.375375
RBBP9	-0.44975
SPATA17	1.912125
BXDC5	-0.566333333333333
PAFAH1B1	-1.30333333333333
MAGEE1	0.7565
OSTF1	0.22075
KIAA0323	0.188
TXNDC13	0.448666666666667
CNTN4	0.56425
LCE1B	0.5665
UNQ501	0.16175
ZNF154	-0.14875
C3orf64	-0.278
SYT5	0.2218
PON1	-0.277166666666667
FLJ10357	0.01725
ATP4A	-0.047
GNPDA1	-1.75733333333333
MGAT1	0.453666666666667
C14orf121	0.551
SLC35B2	0.7325
MIER3	0.0873333333333333
CHEK1	-2.195375
ZNF8	0.0286666666666667
TXNDC1	0.0955
CKB	0.2899
RTN3	0.379928571428571
FZD2	0.799666666666667
PART1	0.165625
PSMB6	-1.16225
PCDHB8	2.3845
PHC3	0.4294
PPP1R8	0.612166666666667
NOVA2	1.83266666666667
TNFRSF11B	-4.546875
GOLPH3	1.3835
UBLCP1	-0.77175
SUHW3	-0.27775
TTLL1	0.608
OPN4	0.871
OR13G1	-0.075
ZPBP2	0.147
HSD17B11	-2.05125
C9orf50	1.212
DHDDS	-0.371285714285714
CTSW	0.228
NEFM	-0.776833333333333
MRPL28	0.10475
SYN1	1.72716666666667
PIGV	-0.183166666666667
ZIM2	-0.2725
APBB1	-0.367833333333333
SND1	-0.33125
C1orf123	-0.3725
CHD3	-0.407
BHLHB8	0.138
RNASE2	-0.0951666666666667
BCAP31	-0.193
SLC25A44	1.04566666666667
CHD6	1.0258
PIB5PA	1.38830769230769
SELS	0.040375
LOC541471	-0.1095
FAT2	0.141
ZNF81	1.012
OR4C16	-0.075
FLJ10081	-0.5063
LRRC4	2.8465
CS	-0.821833333333333
N4BP2	-0.282875
IGFBP7	2.49875
ZNF318	0.433916666666667
NDNL2	1.3615
ZNF609	0.98225
SIRT4	0.3065
EXOSC10	-0.22925
ECE2	-0.0965
OVGP1	1.61525
GTPBP3	0.08475
PACS2	0.3191
C19orf36	-0.7115
ARL4C	-0.501875
ATG4B	-0.399125
UBQLNL	0.05875
RHOXF2B	-3.892
PLEKHG2	-0.056
GALR1	0.332
AQP4	0.155
HDAC7A	0.807333333333333
DCUN1D3	1.47375
OR8A1	-0.04
CCRN4L	0.145714285714286
CBR4	-0.769833333333333
KIFC1	-1.04233333333333
SLC7A14	-0.456333333333333
LHX5	-0.414
TRPC7	-0.256
LPXN	0.711
SERPINA1	-2.113625
RPS13	-1.152
BPIL3	-0.6405
PRKAA1	-0.3625
FADS2	0.3882
ENAH	0.988375
PRO1768	0.1135
APBA2BP	0.39475
LIPH	1.22916666666667
C3orf33	-0.81175
RCC2	0.00664285714285712
ALDH1A2	-2.76322222222222
RNF103	2.14675
AHCY	-0.937125
ALG12	0.6125
CCL17	1.342
ZNF543	1.49333333333333
ESRRG	2.4989
CNGA1	-0.482
RDH5	-0.797833333333333
OTX1	-0.4676
PTGFR	-0.421
CDR2	0.789375
SELE	1.98475
NLGN2	-0.975166666666667
EXOSC9	-1.89925
ZNF566	-0.188
KLRC2	-4.834
GPR12	1.137
KIAA0196	-0.88425
PDRG1	-0.1465
SSR3	-0.235642857142857
MSI1	-0.4465
CST9	0.1475
CC2D1A	0.155875
PLAGL1	-0.506888888888889
ZNF778	-0.193
RNF2	0.77975
KLF6	0.0533333333333333
THBD	0.469
tcag7.1314	1.10275
NR5A1	0.785
ABCD2	-0.22775
DNAJC7	-1.625
CLEC4C	-0.422
TM2D3	-0.21325
CCDC4	0.115
PLAC2	0.1505
DCD	4.201
FAAH	0.310625
POLA1	0.608166666666667
TM7SF2	0.746375
FLJ39822	0.269333333333333
FLOT2	-1.001875
MAP4K1	-0.906666666666667
SRP68	-0.393875
C21orf74	0.1135
ARPC5	1.010875
LOC126075	1.3625
HECW2	0.340875
ZDHHC4	-2.15725
ANKRD42	1.8235
PDE9A	-0.6565
ABCA8	-0.48575
NDUFS2	-2.07375
UBR5	-0.993125
BTBD16	-2.00775
LOC554174	-0.323
ZNF20	-0.1095
KIAA1843	0.02
WDR17	-0.065
C15orf33	-0.089
RNF113A	-0.108
CAMKK1	-0.0513
CLCN2	0.01225
ANXA6	-1.3255
LOC340069	0.449
EMID1	0.379625
DPM3	0.0183333333333333
ELA1	0.171
SLC25A13	-0.00309999999999998
KRT24	2.46475
SMPD1	-0.2745
TH	0.023875
COL6A2	1.52607142857143
ANKS1B	0.65
GPR126	-3.617
ZC3H12A	0.321833333333333
TMEM47	0.2305
C2orf51	0.113333333333333
C1orf88	3.23183333333333
HSF2BP	0.502
AKAP10	0.0065
RPAP3	-0.664
KLHDC8B	-0.200125
STOM	-0.7023
MUPCDH	0.5305
C10orf72	-0.151428571428571
PLEKHA3	0.107083333333333
TCP11L1	-0.8085
CWF19L1	-0.125375
SPEF1	2.44715384615385
YSK4	1.23375
ELN	0.8447
SAMD8	0.563666666666667
MPI	-1.145
MEPCE	0.0627
ABCC3	-2.36075
NANOGP1	-2.297
KCNK17	0.85225
HLA-DMB	2.81
RRAGA	0.46975
ANGEL1	-0.65575
RBM32B	0.2715
CPN1	-2.39125
MGC52282	0.1224
HLA-A	0.819416666666667
OR9G4	-0.215
EDNRB	-1.241625
SCD	-1.24578571428571
C14orf80	0.703333333333333
BAGE2	1.414
RABL4	1.18883333333333
RCVRN	-0.149
SHANK1	-0.168
NLRP7	-2.6185
CD226	0.156
STAT3	0.905875
SYNJ2	-0.000299999999999995
TPCN2	-0.207
WDR36	-1.25266666666667
MBD4	0.4965
ROBO1	0.6673
ST3GAL6	-3.4125
SLAMF8	1.13933333333333
ATN1	1.25933333333333
GPR141	0.08975
KRT36	-0.051
TPH1	0.605
DDX52	0.29325
ZSCAN29	0.920833333333333
TRPT1	0.734166666666667
DPEP3	0.70475
DENND4A	-0.7055
TSPAN16	-0.066
PTCHD2	0.384
LOC145814	-0.59775
CAP1	-0.0276666666666666
EIF5A2	-0.538
NT5DC3	-1.946125
SEPT9	-0.655125
SEZ6L2	1.08225
EGFLAM	2.66275
VPS11	-0.122375
NDUFB5	-1.2125
CIDEA	0.249333333333333
IER5L	1.66025
N6AMT1	1.20125
FAM83C	-0.20025
OXR1	0.702
IRX1	0.272
DGKB	-0.153666666666667
GCN5L2	-2.03975
MIR16	1.139875
FBXW9	-0.97225
WDR4	-1.53283333333333
PDC	0.085
VPS33B	-0.99775
HEXB	-1.809
FLJ32214	1.13775
TCEB3	-0.7255
CRLF1	-3.886
ABI3BP	-0.02975
C8orf22	-2.85225
PYCR1	-1.0305
KIAA1706	1.0675
CDK5R2	1.401875
WAS	-0.3105
C12orf60	-0.79475
CCBL2	-1.3215
MADD	-0.9485
C5orf34	-1.48375
WDR42A	-0.0821
KLF12	0.24275
HSPA1A	3.31975
ITM2C	-1.75466666666667
DAPK2	1.76433333333333
LOC442590	0.976
SUMF2	-0.456375
CENPA	-1.92492307692308
TMED5	-2.24275
CDH6	0.2933
BRP44	1.631
THG1L	-0.38975
GABRA2	-1.04575
C14orf166	1.12125
MYL1	-0.343833333333333
TNFSF18	-0.3015
PAP2D	-0.677833333333333
PPIB	-0.4965
KLHL4	-0.114375
SFN	-0.3405
CCDC127	0.92375
FRAP1	-1.361
GOLGA5	1.531
SDCCAG1	1.243375
MGC21675	0.6805
C10orf95	0.078
KIAA1345	0.0776666666666667
C1orf163	-1.2075
LACE1	-0.1335
OR10K2	0.2935
CENPN	-1.6428
TMED2	-0.41475
UGT1A6	0.6095
ANG	-0.723
U2AF1	0.0833333333333334
CASC2	1.23166666666667
NMT2	-1.5015
OSGEPL1	-0.441125
DFNB31	-0.8345
SLC6A20	-0.068625
DKC1	-1.24525
FXYD4	-0.03525
WDR64	-0.142
MGC5590	0.6515
CREBZF	-0.3415
DAZ1	-0.06125
PRPSAP1	-1.199
GCHFR	-1.3305
TTC7A	-0.433
LOC196993	0.469
UBD	0.661333333333333
S100A1	1.730875
RPL6	0.626833333333333
DNAJB6	0.65045
NAGS	0.4412
C2orf58	-0.3665
KERA	0.732833333333333
MT1X	-0.5845
UBE2B	0.3926
KEAP1	0.08525
MST1	-3.318625
OMA1	-0.353
ABLIM2	-0.3215
