Hybridization REF	TCGA-A7-A0DB-11A-33R-A089-07
PELI3	1.0325
LIMD2	-0.434083333333333
TMEM189	-0.559
NTN4	0.473375
LOC151300	-0.2225
CLEC2A	-0.6595
GPR135	0.033
DPYSL4	-3.241
JAK2	0.774333333333333
TSHZ1	1.302
TM9SF4	-0.42025
ZNF264	0.825
SIRPG	0.954
BICD1	-0.08725
HERC6	0.758666666666667
METTL5	-0.4925
CASP1	1.69475
PRRT1	-0.499166666666667
PLA2G4C	2.903
ICA1L	0.735428571428571
TPTE2	0.0148333333333333
OTUD7A	0.358
AQP11	-1.388
APOA2	-4.4231
KALRN	0.7434
SECTM1	1.10633333333333
IFNAR1	0.712
TALDO1	0.8785
RAB11FIP4	-2.45141666666667
EIF5A	-1.6595
FAM49A	3.798
NEGR1	2.16233333333333
YTHDC2	-0.47275
EHD2	2.146375
NCF1	2.9651
SCRT2	0.716
HOXA5	1.77266666666667
NUP133	-0.4685
FGF12	-0.335125
SLMO2	-1.194875
SNTA1	1.845
CACNG2	0.467375
GCM1	0.02525
ELF1	0.321666666666667
TLR5	3.3355
TCFL5	-0.80975
RBMY2FP	-1.0005
LOC100125556	-0.3145
FAM129B	-0.093625
MAP3K7IP1	0.001125
NCK2	0.4475
OXA1L	-0.09725
FMO9P	0.449
ZSCAN12	0.00725
PSMD12	-0.393083333333333
HSCB	-0.37775
CLDN10	-1.01325
MGC13053	-0.53275
HPCAL4	-0.906666666666667
ASZ1	-0.5995
MEX3D	-0.0510833333333333
NFAT5	-0.1411
CSPG4LYP1	-0.215666666666667
FBXO3	0.6793
DVL1	-0.409333333333333
CMKLR1	4.19733333333333
TYMS	-3.361875
PEF1	1.27925
ZNF750	-1.88233333333333
MCM5	-1.3366
MEGF11	-0.483
KCNK7	-0.0265
PTP4A3	-0.3205
C1QTNF2	1.931
OR6S1	0.2505
FAM122B	-2.33225
ZNF551	-0.90175
HBQ1	-0.1815
GEMIN6	-1.00525
ARSK	1.47925
RBP7	4.34833333333333
CPNE9	0.51725
DSC1	0.347
LOC730112	0.319
MAP2K4	0.11025
HS3ST5	-0.978
EPB41L3	2.54325
TEKT2	-1.219
CDKN2B	3.09383333333333
ZNF480	-1.274
MAP3K6	0.7683
MAP6	2.325
HN1	-1.4647
OR2L13	0.403666666666667
SLC16A11	0.4185
FAM96A	-0.86225
APOL1	1.41625
C5orf32	1.10625
RTP1	-0.250666666666667
RNF175	0.657
ZBTB41	0.23775
AHCTF1	-0.5089
SAE2	0.2317
ITGA2	-2.00041666666667
MME	3.2525
CCDC14	-1.752
MAST4	1.40685714285714
KRT33B	-0.676
KCTD2	0.713833333333333
WDR26	0.494583333333333
MFI2	0.47375
NR4A3	0.272875
ARSA	1.483
UNKL	0.403833333333333
SULT6B1	0.135
CCNA2	-3.47816666666667
SOX15	-0.3625
PPAPDC1B	-1.19433333333333
C19orf44	0.354
MCAT	0.5675
ARID1B	0.122875
OR52N1	0.2395
C12orf48	-2.26675
MAGI1	0.525
NIPA2	0.046
GBX2	-1.76325
RSHL3	-0.042625
RAVER1	0.227333333333333
C15orf17	0.64675
SLC30A2	0.261875
ZNF518	-0.0905
PCYT1B	-1.68175
C10orf114	-0.48475
EIF3H	-0.3685
SLC25A39	-0.895833333333333
KIF1B	0.80025
AMOTL2	1.79625
C6orf120	0.6105
PSRC1	-2.718
PLA2G10	-1.206375
KIF5C	-0.493125
MRPL37	-0.4565
C17orf62	0.426
C9orf135	-1.47666666666667
DUSP10	0.4493
CLCNKB	0.0235
PSMA5	-0.954875
C8orf53	-0.45525
AMPD3	0.6235
PIAS1	0.39375
ADCYAP1R1	-0.2585
GYLTL1B	-2.3135
CDH20	0.368166666666667
FBXO7	0.27525
TMEM134	-0.335833333333333
FLJ14213	1.8625
ZNF3	-0.9175
LRRFIP1	0.453833333333333
CNOT2	0.0954166666666666
ABI3	2.4345
ALDH5A1	-0.02975
HNT	2.6623
SERPINA4	-3.20675
TK2	1.66033333333333
STMN1	-1.85622222222222
GUCA2A	0.180833333333333
GALNT10	0.555785714285714
DPP6	0.4118
C9orf93	-0.307
PRELID2	-0.81375
STK39	0.2865
SFTPA1	-0.60575
CKS2	-3.86166666666667
RHO	0.142375
C20orf135	0.113
XKR3	-2.3675
CR1	2.365875
RPS6KA2	1.52671428571429
C20orf112	0.28575
MRPL22	-0.5995
C4orf23	0.296166666666667
GADD45B	2.69625
KLHDC1	2.24916666666667
C2orf48	-1.998
ZNF287	0.8005
DAAM2	1.82175
DPPA2	-3.04466666666667
TCTN3	0.226166666666667
DNAJB11	-0.2325
FPR1	3.85025
DEFB4	0.119
PTCD2	-0.0924
SMOC2	5.06366666666667
CABP7	1.71825
SERPINB11	0.12275
MAGEF1	-1.13225
NDE1	-0.5275
ITGA10	0.139
FSHB	-0.00650000000000001
ANXA2	1.596625
HORMAD2	0.3585
HLCS	-0.2475
MCF2L	1.39216666666667
FH	-0.40125
TBC1D24	0.78425
KIAA1505	1.405
LGALS2	0.391
CNBD1	-0.2535
SYNPO2L	-0.526
PTPN23	0.0964285714285714
C1orf183	0.462666666666667
MAGEA8	-2.832
DGCR8	-1.59625
GSR	-0.41225
PAQR7	0.742
ZNF676	-0.68975
CACNA1C	-0.2851
SP7	0.6895
PDCD6	-0.86325
NRN1L	-0.186
BRI3BP	-1.24575
KIAA1183	1.88725
ASB4	-0.218
CCL23	3.6848
OBSL1	-0.874875
SLC12A7	0.772333333333333
KIAA0240	1.4615
CD1B	-2.68133333333333
FCGR2A	2.101125
MDC1	-1.72175
HTR1A	0.277
OCEL1	0.50375
ATP11B	0.00668750000000002
FBXO34	-0.175833333333333
PCDH12	3.82466666666667
RPE	-0.38125
C17orf74	0.133
CSDC2	0.446666666666667
PET112L	0.80025
TMBIM1	2.718125
P2RXL1	-0.5795
TCHP	-0.2785
TRMT1	-0.974
F2RL2	-1.929
LRRC32	3.5915
IMPG2	0.3945
BGLAP	-0.16825
LOC493869	-0.668583333333333
MRAS	3.7825
SLC35F5	0.34075
CBWD1	-0.7385
AXL	0.781
ATP2C2	-3.22975
TELO2	-1.2495
PNPLA3	-3.79575
PCDHB14	0.95625
CD276	0.9575
KRT80	-2.936875
DUSP28	-0.2925
CSNK1E	-0.26375
SRP14	0.606
KCNQ4	-0.032
KRT72	0.0455
CCDC117	-0.05275
C6orf89	0.713777777777778
TUBB2B	-2.45816666666667
RTN4IP1	-1.05625
CR1L	-2.13516666666667
CEND1	-0.0135
C12orf41	-0.347166666666667
RNF31	-0.297
UBN1	-0.124666666666667
C17orf32	0.037375
SLC5A7	0.272
GPR92	0.663666666666667
ESAM	3.1513
CTNNA1	0.486583333333333
HRBL	-0.0505
CBX4	-1.09925
TMEM182	-0.31525
SH3TC2	-1.05333333333333
IL10	2.22883333333333
PXMP4	-0.2415
RNF167	0.1379
PAK7	-0.577666666666667
ETV3	-0.0845
ATPIF1	-1.26216666666667
LOC554207	-1.87
OR8H1	0.11325
WDFY3	1.346625
DPM1	-1.26425
GPSM1	-0.448
WDR92	-0.1006
LRP1	1.90816666666667
ANKH	0.44675
THUMPD3	-1.10175
POLR1B	-1.22575
OLFM4	2.8765
RAD9B	0.501
TSPY2	-3.708
PAX6	-1.81416666666667
SCG2	-3.301125
SLC17A6	0.61275
FMO3	4.462375
PADI4	0.078
TUBB4	0.0721
NLK	-0.832
POU4F3	-0.5225
SDF4	0.3285
ITGBL1	1.9555
NETO1	-1.536625
TAP2	0.241857142857143
ABBA-1	-0.187
GNAI1	2.6435
VPS4B	1.01475
NOPE	0.372
GALNT6	-0.303166666666667
SESN1	2.33325
GBE1	0.695666666666667
CLASP1	0.4865
RASGEF1B	1.82375
ACOT11	0.0645
AFAP1	0.99075
OR2H2	0.27425
DPY19L2P1	-0.823
DZIP1	-0.83225
SEC22C	-0.2175
GPR161	-0.475833333333333
RNF146	1.58375
WDR74	-1.426875
GALP	0.105
PURA	1.41325
DNPEP	0.347
RP11-78J21.1	-0.952
ERBB2	-0.475375
FANCM	-1.31575
NEO1	-0.146833333333333
DDX3Y	-5.0212
RPS3A	-0.249125
MXRA7	1.77292857142857
LGALS3	1.232
GLT8D1	0.31025
CFL2	0.544
UPB1	0.02275
NAP1L5	0.272625
CLDN14	-2.599
DHX38	-0.08225
BTBD1	0.354
TARS2	-0.8685
ABCF1	-0.5599
FCF1	0.235
LRRC49	-0.32475
GUCY1B2	-1.929
C1orf177	0.126833333333333
SMARCA4	-1.07478571428571
LRP8	-3.15433333333333
TAGLN3	-0.723
MRPL14	-1.35475
TTRAP	0.48275
ZDHHC20	-0.01625
NFE2L3	-2.525
KIAA1377	2.53575
PALMD	3.805
TMEM43	1.096
TTL	-0.793625
STAT5B	-0.0805
SSB	-0.699375
OR10H5	-0.0175
SLC22A13	-0.4665
AKAP3	0.80975
TIMM23	-0.112666666666667
OAS2	1.64741666666667
KIAA0423	0.84275
TRIM11	-0.386666666666667
GLIS3	1.953625
TMEM50B	0.961166666666667
ARHGEF4	0.9665
DEGS1	0.342272727272727
TBL1XR1	0.4448
G6PD	-1.02175
SP140	0.6955
MUC17	0.326357142857143
NUDC	-0.4941
DNAJC5B	1.86633333333333
SCARA3	0.436833333333333
CPA3	6.00516666666667
BCAT2	-0.032375
MFN1	-0.3634
NRG3	-0.0745
SNX11	1.07475
PLEKHH1	-1.11166666666667
GPR177	1.3475
HCFC2	1.0775
TCAP	0.12025
MOCOS	-2.01725
C14orf93	-0.04575
PRDM10	-0.574833333333333
SLC16A4	0.584916666666667
SRGAP1	-0.0291666666666667
VIP	2.082
DUSP27	1.77566666666667
LILRA1	1.8512
MC2R	0.328
MGC24103	0.26425
MBTD1	-0.283
FUT11	-0.363666666666667
USP33	0.8794
C15orf39	-0.8395
MAP3K12	0.21675
PAAF1	-0.433833333333333
BARHL1	-0.2675
FLJ16165	-0.635
PIWIL2	-1.81025
SYNE1	1.726
CMTM4	-0.86125
TSPYL1	0.8261
GUF1	-0.784
TMEM157	0.2345
WDR44	0.20225
HIST1H3C	-0.376
DKFZp666G057	-1.2535
RNPEP	0.053
GAS2L2	1.22383333333333
ADH4	-2.64
GRPR	-0.167166666666667
FBXL17	0.7875
ZBTB10	0.36375
Gcom1	1.48772222222222
HTRA1	2.0512
ZNF585A	0.0195
SLC26A2	0.303642857142857
OTOP3	0.209
WISP1	-0.117666666666667
ATP2B4	1.03116666666667
FLJ10769	0.251
CRAMP1L	0.00987500000000001
CHST12	0.25
RAB22A	0.07725
TARDBP	-0.683071428571429
STAU1	-0.20625
CRB3	-1.997
MIG7	-0.36025
CHMP1A	-0.0683333333333333
ZNF160	-0.011875
B3GALT6	-0.3375
BARX1	-1.58533333333333
C6orf167	-1.911375
NXNL1	0.655
DHX29	0.256125
HADHB	0.724
PLXNB2	0.421375
ILDR1	-0.31
SLC15A3	3.244
GAS2	-3.49233333333333
C20orf69	-0.416
NUMB	0.14225
TNIP1	1.819125
MESP1	1.939
PSKH1	0.07725
NSFL1C	0.489125
RHOG	0.974
HEY1	-0.100833333333333
KNG1	-1.674
ITGAX	1.944
LIN9	-1.78216666666667
CANT1	-0.1815
XRN1	0.207714285714286
CCDC96	0.7777
HEATR6	-1.53233333333333
GNG7	0.27175
RUNX2	-0.5494375
SOX1	0.169666666666667
FCRL5	-0.1027
ZNF99	-0.335125
FAM9A	0.2165
SNX22	-0.0133333333333333
MBNL3	-0.414
ODC1	-1.8415
ADORA2B	-1.35733333333333
NR2F6	-0.48175
ZFYVE16	-0.340388888888889
SYNJ2BP	0.6118
POLE	-1.181375
E2F2	-1.783
THRA	1.74133333333333
PTGES2	-0.9685
HIP1R	-0.0746666666666667
TMUB1	-0.877833333333333
ENO3	-1.9225
RSPH10B	-0.795
CXorf39	-0.21775
IRGC	0.944
GPR109B	4.02575
FLJ13305	-0.878
LCE3A	-0.181
TNFRSF18	-2.28683333333333
DET1	0.44525
TRPM3	0.000833333333333334
C16orf79	-1.72
FECH	0.124333333333333
RAP2A	0.621
CRIP1	2.54383333333333
AZIN1	-0.0995
SLC7A7	4.608
IL10RA	2.5184
TMEM64	-1.955
CDC42EP4	1.2821
C16orf58	-0.4718
ARG2	-3.091
POU5F1P4	-4.87975
FAM62B	0.563125
DNAH8	-2.3085
ASH2L	-0.03125
TSLP	0.865666666666666
CNTNAP5	-0.281
TMEM16C	2.98975
IFNA14	-0.168
SLC1A3	2.647125
CABYR	-1.19275
BCL7B	0.6413
NUDT13	-0.949833333333333
C13orf28	0.147
C1orf53	-0.82325
ARL6IP4	0.4185
RPL35A	-0.38325
EMR3	0.147
RAB40C	0.0104166666666667
SLC41A1	0.0151666666666667
LRCH1	0.36775
LY6G5B	-1.1965
FAM124A	0.523071428571429
MGC10981	-4.17433333333333
CLIP3	0.8585
MAP4K2	-0.360166666666667
CHIC1	0.3045
SULF1	2.80666666666667
C20orf30	0.580857142857143
PRDM5	0.376875
ELOVL1	0.357
C11orf48	-1.20925
SLC39A10	-0.2435
KCNV1	0.001
ACP1	-0.859666666666667
ZMYM2	-0.5325
B3GNT6	0.075
C9orf69	1.02725
C2orf15	-2.01175
C20orf166	1.015
HSP90AA6P	-1.055
EDG7	-1.1395
NEURL	-1.7655
LPL	6.52383333333333
CLEC2D	-0.347642857142857
GRRP1	2.75666666666667
CD8B	-3.7092
HIST1H3D	-2.44866666666667
SLC6A12	0.877125
FAM27L	-0.21
CD84	3.7226
RASA1	0.3275
PHKG1	2.0745
MAGEA11	-0.9985
IMPA1	-0.9691
NPM3	-1.90025
RARRES1	3.7815
SH3BP1	0.080125
B3GNTL1	-0.508
ARPC5L	-0.774833333333333
KLHL26	0.48625
SIM2	-2.177
GJC1	0.4115
C20orf194	1.914
EXO1	-3.32175
SLC2A2	-2.20533333333333
LOC285074	-0.336
LRG1	-1.46775
KIRREL	0.3045
PIK3R1	1.98
C4orf34	0.39125
MAF	1.27438888888889
ADCY4	4.389
ZMIZ2	0.0139
SLC46A3	2.1255
STAMBP	-0.275333333333333
CCDC16	0.04475
MS4A12	0.2175
TCF20	0.0415
LRRC46	-0.65175
C20orf152	0.3865
MRPS6	0.023375
ABCB11	1.569
KCNC2	-0.230166666666667
CDH19	-0.855333333333333
C9orf123	0.461833333333333
SSH3	-0.113
LDLRAD1	-3.729
CCBE1	0.63625
ZNF135	0.659125
TAAR1	0.448
WFDC12	0.6195
CCDC42	0.0185
FLJ12529	-0.494
PER1	0.943
TIMM50	-0.7595
SMARCAD1	-0.903
FAM26C	0.175
TP53TG3	-1.63216666666667
SH3RF1	0.6653
LMCD1	3.2375
GPR63	-0.399
FLJ21986	0.67825
AIFM3	-0.25825
MICAL1	-0.448666666666667
BLZF1	0.456333333333333
IQCA	0.0911666666666667
PCDHGC3	0.3875
SAC	0.041
BCL6B	3.0645
DDO	1.11325
MARCO	4.4555
DCHS1	1.90016666666667
C1orf170	-1.93833333333333
CD200R1	3.146
C22orf15	-0.5635
SEPT11	0.420333333333333
ADNP	-0.70525
UST	1.2981
C13orf34	-1.48916666666667
RFFL	0.0699285714285714
APBA3	-0.4075
C2orf60	-1.0215
CUTL1	0.0333
PMS1	-0.680125
ZNF689	-0.1845
EIF3E	-0.252333333333333
IL9	-0.1202
RPL31	-0.56125
LY9	0.108333333333333
ATP2B3	0.13975
KDELR2	0.209583333333333
TFCP2	0.6185
NLRP12	1.269125
FLJ45422	-0.9075
TLE4	0.5294
ZNF570	0.174
FLJ43806	-0.6775
TLK2	-0.39425
CIR	0.603
MARS2	-1.1135
COL24A1	-0.63125
SDF2L1	-1.2015
HIBADH	1.17816666666667
IGFBP3	-0.9915
C12orf23	0.13925
PSPC1	-0.605
C20orf43	0.502
TRAV20	0.428
ARHGAP24	2.47425
KIAA1975	-1.007375
C1QA	4.0372
DNTT	-4.24033333333333
C10orf6	-0.0374166666666667
C11orf41	-1.308
HNRPF	-0.38875
COL11A1	-1.42616666666667
UBAP2	-0.748333333333333
CDKN2AIPNL	-1.8535
C20orf174	3.081
SPRED2	-0.24175
PLA2G12A	-0.598
ICEBERG	-2.15633333333333
SCN10A	0.393
C11orf65	-0.257
GBP5	4.05
PITPNC1	-0.228333333333333
POU3F3	0.637
NCOA7	0.633375
LIN7C	0.2125
LOC348840	-0.6595
NKX2-2	-3.306
ANKRD13D	-0.224
LOC123688	0.155
FUT2	0.0788333333333333
TAAR8	0.2365
FZD4	2.22016666666667
PNMA3	-0.138
OR4L1	0.3405
WIT1	-2.6765
EXOC3L	1.39925
ATPBD4	-0.2795
KRBA1	-0.719
UBXD6	0.14575
HOXB7	0.671071428571429
C7orf23	-0.131
UNQ338	3.89175
STAB2	2.4615
CDC20B	0.0055
IRF9	1.55675
CENTG1	0.206166666666667
TNPO2	-0.74175
MCPH1	0.34575
BMS1P5	-0.58025
SLC26A7	0.7345
HIST1H3J	-0.98675
C9orf3	0.2286
LBH	0.866625
MYO1D	-0.07425
PTDSS2	-0.1255
NFU1	1.07225
DEPDC4	-2.19
WNT7B	-1.4315
GLP2R	-0.105833333333333
SETD4	-0.8618
DYNLT3	-0.708
FKBP11	-1.47066666666667
SESTD1	2.13116666666667
FLII	0.97025
RPS16	-0.6206
CHPF	-0.992166666666667
CSNK2A1	-0.371666666666667
SUMO1P1	0.06125
FKBP6	-0.453
ZNF214	0.679
TWIST1	2.28166666666667
DDX56	-0.892166666666667
TRAM1L1	1.3658
EPO	-3.3375
MRPS18B	-0.53775
ZNF682	-1.03766666666667
RPL14	-0.548833333333333
MAFF	0.33175
LOC51136	0.184375
LY96	1.79275
DDX20	-1.087
ABTB1	1.49333333333333
ARL5A	0.3218
CCT6A	-1.72475
HEPACAM	1.46933333333333
EHHADH	1.41416666666667
RBAK	-0.4655
CGB1	1.85375
ITGB5	1.4969
YIPF3	0.38925
FKBP2	-0.348
NR1D1	-0.7174
TMEM110	0.5345
NEK2	-3.4485
PRAMEF8	-3.384
C20orf52	-1.04916666666667
PCDHGA3	-0.152
VWA3B	0.000249999999999997
NDUFA5	-0.562125
THAP9	-0.3665
FLVCR2	1.24266666666667
AP1S1	-1.51975
SMAD6	0.94075
SAV1	1.065875
SAT1	2.342
ZNF251	0.17525
ADAMTS7	-0.0858
RPP38	-0.60575
C1orf211	-2.383
YPEL2	1.92925
RBMS1	1.2735
ZNF445	-0.308166666666667
NRXN2	0.467333333333333
PGBD4	-0.1205
UGT2B28	-3.494
WBSCR16	-0.2432
NLRC3	0.10075
ASTL	0.0625
ST6GALNAC1	-1.41675
ZADH2	0.062125
MLLT4	-0.117333333333333
ARL6	-0.330333333333333
MEF2C	2.14275
CBFA2T3	-0.7065
AFF3	-0.231285714285714
COG7	-0.382
MYB	-5.86183333333333
PLXNA3	0.071
XRCC2	-2.7395
MMS19	-0.314125
ST8SIA5	-0.8745
CHPT1	-0.052
KIAA1712	-1.375875
OR6X1	0.4365
ACTR3	0.367
UGCG	-0.431166666666667
OR4P4	0.2345
ZAP70	-3.072
LPP	1.789375
ZNF485	-0.714
PTPRCAP	-0.318
IL12RB1	0.7135
ATRX	0.4348
CHST8	-1.811875
C14orf109	-0.3175
ARV1	-0.426
NMB	2.75071428571429
COX5A	-0.824833333333333
EIF6	-1.125
MPPED2	1.69183333333333
SEMG1	-1.323
CHRDL1	4.117
TRAF3IP2	1.2185
WNK2	-1.161125
LILRA4	1.70266666666667
LAMA2	5.97925
PXT1	-0.2815
RLBP1	-3.12975
CD300C	1.925
SLTM	-0.021625
FLJ10404	-0.2171875
APOBEC3D	-1.9958
RENBP	2.22466666666667
ATXN7L1	0.516
NID1	1.90775
TUBGCP3	-0.389
ITIH5	3.74955555555556
CCDC110	0.618666666666667
C8A	-3.0905
MGC87042	1.0515
HOXC13	-4.272
TFDP2	-0.79475
HCP5	1.347
POLI	0.865
UCN	-1.817
ZNF764	-0.143
C8orf45	0.1875
FHL3	-0.296
SPATA5L1	-1.29525
MMRN2	3.69783333333333
NDST1	0.532
COL20A1	-0.2195
ZNF248	-0.439166666666667
PELP1	-0.961833333333333
MBL2	-2.815
RNF41	0.648875
C5orf24	0.367
THOC5	-0.12625
SERINC3	0.80625
RP11-151A6.2	1.868
CDCP2	0.01125
HIST1H2AA	-0.0585
C11orf75	0.406
FKBP7	0.2455
DDOST	-0.02875
GPNMB	3.05466666666667
TTF2	-1.281
KCNT1	0.123666666666667
SLC39A14	0.30325
NGRN	0.5767
GPR137B	2.3315
MECP2	0.249625
PSMA1	-0.62825
C16orf73	-5.27225
TMEM60	-0.0831666666666667
CSN3	-0.103
NOS1	0.216333333333333
RAB7L1	0.974333333333333
YBX2	0.2975
KIAA1166	0.00800000000000001
FUBP3	0.3695
ABCG1	1.5665
ACACA	-0.7975
ARL11	1.6123
ATOH1	0.1665
ODF1	0.0686
CREB3L3	-1.50966666666667
TMEM127	1.48385714285714
DSCAML1	2.4145
PLN	3.92583333333333
LYPLA1	-0.99775
PRDM9	-1.738
SASP	1.19275
PLUNC	0.298166666666667
INTU	0.53275
HISPPD1	-0.44275
LNPEP	0.824
YARS2	-0.804666666666667
APCDD1L	-1.037
ZCCHC4	0.019
FBXO22	-1.2545
TTLL13	-0.563
ZNF669	-0.368166666666667
PTGDR	2.7435
DDX27	-0.7325
KIAA0409	-0.493
GJB6	-0.03825
ASB8	1.06075
PLP2	-0.892333333333333
MEPE	-0.02975
OR10J5	-0.275
KRT222P	3.74875
COQ7	-0.683166666666667
C1orf101	1.23075
RERG	2.0771
CHMP5	0.182125
THAP11	0.450375
ZNF43	0.0708333333333333
ZRANB3	-0.914666666666667
KRT13	-2.17275
MRPL19	-1.065375
RBBP9	-0.1205
SPATA17	-0.204875
BXDC5	-0.473333333333333
PAFAH1B1	-0.194666666666667
MAGEE1	-0.32175
OSTF1	0.99275
KIAA0323	0.0142727272727273
TXNDC13	-0.00683333333333333
CNTN4	2.82675
LCE1B	0.096
UNQ501	-0.40175
ZNF154	-0.30675
C3orf64	0.79525
SYT5	-0.0728
PON1	0.0686666666666666
FLJ10357	1.126
ATP4A	-1.3505
GNPDA1	0.596
MGAT1	2.05366666666667
C14orf121	0.47575
SLC35B2	-0.53
MIER3	-0.661666666666667
CHEK1	-4.17125
ZNF8	-0.5805
TXNDC1	-0.301
CKB	-0.1419
RTN3	0.935357142857143
FZD2	-0.741166666666667
PART1	-0.499875
PSMB6	-0.18325
PCDHB8	-0.4825
PHC3	0.0115
PPP1R8	-0.0375
NOVA2	2.41966666666667
TNFRSF11B	-3.21775
GOLPH3	0.104833333333333
UBLCP1	-0.05875
SUHW3	-1.853
TTLL1	0.8655
OPN4	0.2745
OR13G1	0.0105
ZPBP2	-0.3045
HSD17B11	0.552625
C9orf50	-0.4985
DHDDS	1.4375
CTSW	1.0856
NEFM	-2.7895
MRPL28	-0.88
SYN1	0.320166666666667
PIGV	0.253333333333333
ZIM2	-0.76825
APBB1	0.871833333333333
SND1	-0.43975
C1orf123	0.798333333333333
CHD3	-0.8195
BHLHB8	-0.00125
RNASE2	1.0665
BCAP31	0.904625
SLC25A44	0.156666666666667
CHD6	-0.8641
PIB5PA	-1.07992307692308
SELS	0.146375
LOC541471	-0.68875
FAT2	0.363
ZNF81	-0.0185
OR4C16	-0.0565
FLJ10081	-0.0591
LRRC4	2.6615
CS	0.415333333333333
N4BP2	-1.040375
IGFBP7	2.5485
ZNF318	0.0305
NDNL2	0.66075
ZNF609	0.1265
SIRT4	0.49825
EXOSC10	-0.698
ECE2	-0.49525
OVGP1	-0.18125
GTPBP3	-1.5795
PACS2	0.8235
C19orf36	0.316166666666667
ARL4C	0.226875
ATG4B	-0.553875
UBQLNL	1.0875
RHOXF2B	-3.3095
PLEKHG2	-0.5345
GALR1	0.4245
AQP4	0.2204
HDAC7A	0.889833333333333
DCUN1D3	1.63575
OR8A1	-0.118
CCRN4L	-0.488125
CBR4	-0.417833333333333
KIFC1	-2.579
SLC7A14	-1.26483333333333
LHX5	0.163
TRPC7	-0.6925
LPXN	0.114
SERPINA1	-3.063375
RPS13	-0.4073
BPIL3	0.2975
PRKAA1	-0.4585
FADS2	-0.4871
ENAH	-0.4841875
PRO1768	0.1115
APBA2BP	-1.07025
LIPH	-0.925833333333333
C3orf33	-0.68175
RCC2	-1.32714285714286
ALDH1A2	-1.5445
RNF103	1.029
AHCY	-1.275875
ALG12	0.209
CCL17	1.23325
ZNF543	0.194166666666667
ESRRG	-0.0629
CNGA1	2.5435
RDH5	3.5
OTX1	-1.5314
PTGFR	1.28766666666667
CDR2	-0.314375
SELE	1.89675
NLGN2	-0.609333333333333
EXOSC9	-1.44575
ZNF566	0.406833333333333
KLRC2	-3.6085
GPR12	0.331
KIAA0196	0.277
PDRG1	-0.898
SSR3	-0.382142857142857
MSI1	-1.277
CST9	-0.0465
CC2D1A	-0.432375
PLAGL1	1.42822222222222
ZNF778	0.634
RNF2	-0.15625
KLF6	2.52
THBD	3.037
tcag7.1314	1.0635
NR5A1	0.00166666666666667
ABCD2	3.438
DNAJC7	-0.18175
CLEC4C	0.2725
TM2D3	0.618
CCDC4	-0.3885
PLAC2	-3.39675
DCD	-0.462
FAAH	0.249
POLA1	-1.03433333333333
TM7SF2	1.87525
FLJ39822	-0.473666666666667
FLOT2	0.2395
MAP4K1	-0.454833333333333
SRP68	0.249125
C21orf74	0.353
ARPC5	0.57
LOC126075	1.14175
HECW2	0.72575
ZDHHC4	-0.22825
ANKRD42	0.7067
PDE9A	0.746166666666667
ABCA8	4.95025
NDUFS2	-0.12175
UBR5	-0.340625
BTBD16	-3.42875
LOC554174	0.0205
ZNF20	-0.156
KIAA1843	0.2215
WDR17	-0.12725
C15orf33	0.3505
RNF113A	-0.486
CAMKK1	-0.4078
CLCN2	-1.648
ANXA6	1.5675
LOC340069	-0.0375
EMID1	0.09425
DPM3	-0.750916666666666
ELA1	-0.341
SLC25A13	-1.3441
KRT24	1.5005
SMPD1	0.751666666666667
TH	-0.11575
COL6A2	1.90978571428571
ANKS1B	-0.0185
GPR126	-2.0834
ZC3H12A	-0.386
TMEM47	1.82533333333333
C2orf51	-0.0916666666666667
C1orf88	1.01783333333333
HSF2BP	-1.0755
AKAP10	0.329
RPAP3	-1.0095
KLHDC8B	1.595875
STOM	1.7192
MUPCDH	-0.089
C10orf72	1.222375
PLEKHA3	0.672583333333333
TCP11L1	0.355
CWF19L1	0.12575
SPEF1	-0.344846153846154
YSK4	0.061
ELN	3.6706
SAMD8	1.152
MPI	-1.11666666666667
MEPCE	-0.1239
ABCC3	-0.981125
NANOGP1	-3.6745
KCNK17	3.072
HLA-DMB	4.37583333333333
RRAGA	1.131
ANGEL1	-0.18375
RBM32B	-0.0625
CPN1	-2.73625
MGC52282	0.6827
HLA-A	1.65916666666667
OR9G4	0.173
EDNRB	1.243875
SCD	-1.01607142857143
C14orf80	-1.85516666666667
BAGE2	-0.35
RABL4	0.671666666666667
RCVRN	0.988
SHANK1	-0.114
NLRP7	-4.002
CD226	1.0655
STAT3	1.4158125
SYNJ2	-1.6862
TPCN2	0.483833333333333
WDR36	-0.509833333333333
MBD4	-0.554
ROBO1	0.4768
ST3GAL6	-1.5285
SLAMF8	3.01316666666667
ATN1	0.695166666666667
GPR141	0.261
KRT36	0.594
TPH1	-0.235
DDX52	-0.5545
ZSCAN29	-0.59
TRPT1	-0.3945
DPEP3	0.885
DENND4A	-0.164875
TSPAN16	-0.162
PTCHD2	-0.383
LOC145814	-0.947
CAP1	0.878333333333333
EIF5A2	0.1774
NT5DC3	-1.003125
SEPT9	-1.189
SEZ6L2	-2.62725
EGFLAM	4.18375
VPS11	0.890125
NDUFB5	0.00483333333333333
CIDEA	4.50466666666667
IER5L	-0.687
N6AMT1	-0.071
FAM83C	-0.301
OXR1	0.53425
IRX1	0.1355
DGKB	-0.27
GCN5L2	-1.822
MIR16	0.54725
FBXW9	-1.20275
WDR4	-2.12416666666667
