Hybridization REF	TCGA-A7-A0DC-01A-11R-A00Z-07
OR5V1	0.7965
FCN3	1.76425
PTPN3	-0.846625
NPTX1	-1.514125
C21orf84	-0.75525
C11orf51	0.418875
ZBED2	-1.09575
FLJ90757	0.701
NPY2R	0.52175
PLD3	0.10875
SYT17	2.846
SGSM2	0.8345
OR1A2	-0.61375
FOXP1	1.2125
SLC5A1	0.07125
POFUT1	0.2123
EPHB6	-3.20266666666667
MYO1G	-1.87775
STAC	-2.24211111111111
KLHL17	0.156333333333333
RGMA	-0.3431
TJP2	-0.4624
FAM114A1	-0.507166666666667
SERINC1	1.66283333333333
SLC9A8	0.9895
PEX19	0.698
EDN2	0.1285
PSMD7	-1.271
C3orf41	0.4715
UQCR	-0.247
PPP1R3C	0.04225
LRP4	-2.24083333333333
TM2D1	0.45725
TTC17	0.95125
C4BPB	-4.788875
CCL25	0.4145
ZNF253	-0.00350000000000001
CHRNA9	0.69925
SOX11	-1.54225
HIVEP3	1.772
CGN	3.68925
C3orf35	0.266125
PKD2L1	0.03225
SYVN1	-0.20275
PDE8B	0.654625
LOC439951	0.844
LTC4S	2.58816666666667
MIF4GD	-0.556
SMARCA2	1.7081875
TUBGCP6	0.771
CABLES1	0.472875
C16orf77	0.651166666666667
ZNF791	0.6285
FUT5	-0.858
ADH6	-2.66066666666667
P4HB	-0.787
CLDND2	-0.817
ALKBH8	0.30475
PLAC4	-1.95325
F11R	-0.0874285714285714
MGC35295	2.93483333333333
PDZD4	-0.271333333333333
LOC389073	-0.78575
FAM80B	0.703666666666667
PSMB1	0.296625
TXN	-1.17033333333333
VIPR1	2.1598
WBSCR18	0.4451
EXOSC6	0.18
ACTA2	2.21083333333333
SP5	-4.42591666666667
ANKRD1	-3.73825
DDR1	2.0033
ATP6V1D	-0.105
PTGS1	-3.35216666666667
RNF157	-1.656
DCC	-1.427
SPAG7	0.87725
FBXO18	-0.07
UBE3C	-0.5551
HOXC6	-1.3315
LRP2BP	0.296166666666667
MYST2	0.43525
PDSS2	0.6455
ATE1	0.13875
ARAF	0.05075
KLF10	-1.019
PLA2G2E	-0.442
ASCL1	-1.1255
TSNAXIP1	2.31675
FAM131B	-1.06775
IFNA10	0.045
NUP43	-0.21075
FAM44B	1.61975
L1TD1	-5.441
NMD3	-0.38325
C18orf54	-0.9725
PHOSPHO1	-0.1075
RAG2	-1.762
EMILIN3	0.0375
METTL3	-0.0335
VPS13C	-0.243625
REXO2	-1.71925
ANXA4	-0.8045
CA1	-1.4215
DCP1B	0.41425
TULP3	-0.793833333333333
ATP2A2	-0.155214285714286
ATIC	-0.21525
ADAM15	-1.5585
NPL	-0.0691666666666667
LGR4	0.745375
UEVLD	1.06966666666667
GAB1	1.79975
SNAI2	-2.69783333333333
ZGPAT	1.2333
SNF1LK	0.8575
DLEU1	-2.049
UBE2Q1	0.165625
ZMYM6	0.043875
JPH3	-3.02333333333333
FAM38A	-0.905416666666667
PXK	0.202333333333333
DENND2D	1.6425
BAX	-0.707416666666667
CP	-4.90263636363636
RPL37	-0.4848
G6PC3	0.949625
NCOA4	0.2015
LRRC14	1.293125
GORASP1	0.77575
FCHO2	0.499875
CYP24A1	-3.3136
FXYD3	2.493125
SMARCAL1	0.004
ABCB8	0.187
CCDC44	0.26475
PRDM7	-3.42225
USH1C	-1.1385
DNAH5	2.0565
SRF	-0.216833333333333
MAL2	3.72666666666667
PGPEP1	0.265833333333333
SIN3B	-0.1095
SEMA3C	0.465666666666667
GRAMD3	0.04175
FBXO10	-0.21725
OR5D13	0.5655
FLJ31818	-0.322375
CACNA1I	0.88925
S100A13	-1.268
TP63	0.258571428571429
ANXA11	-0.0453
WDR66	2.0095
CSF2RB	0.0835
IFI44	-1.99875
DACT1	-1.572
ANKRD23	-0.672
ATP5G1	-0.752333333333333
C21orf70	-0.545
PPWD1	-1.427
DNAJC13	-0.69425
PAH	-3.76416666666667
PTCH2	1.53575
TRMU	-0.1395
CCDC9	0.78
USP3	-0.7323
DCLRE1C	-0.4344
FAM55C	-0.5615
FRMD4B	0.64575
CYP2R1	0.59675
RFPL1	-1.2818
XPO5	-0.7665
ARL6IP2	0.5465
OSBPL5	1.19
MMP9	3.28445454545455
KIAA0802	0.804875
DHRS2	-1.36633333333333
SGEF	2.630375
TXNDC10	-0.6026
EXOC6	0.7485
RPS27	-0.191
PNCK	-0.883666666666667
FSTL1	-3.318
AACS	1.03625
SLMAP	0.797166666666667
SAMD4A	-2.3479
ABRA	-0.0805
SMARCD3	0.9025
PKNOX2	-1.2435
A4GNT	0.341
C9orf39	-1.24666666666667
RALYL	0.019
MGC33556	-2.7255
C10orf25	0.1345
BBOX1	1.68866666666667
NHEDC1	1.983
XDH	1.0655
GCSH	-1.257
EDN1	-0.309166666666667
MTERF	-0.41725
CLK4	1.31925
ZNF799	1.61833333333333
KCNG1	-2.080125
CXCR4	-0.673
PTPRR	-2.0785
IRAK1	-0.373375
LOC401397	-1.30525
TMSB10	-0.7765
CXCL3	-4.0256
TMC4	3.30375
OR7A10	0.113
STYK1	-0.46775
CHRNA10	-0.23975
CCNI	0.46575
EP300	1.17678571428571
LOC165186	-0.7495
HIC2	-1.9935
SDR-O	-0.613
OR2W1	0.4255
KCNA6	-0.097
TRIM74	-1.05325
REEP6	1.354
ATP5G2	0.38775
ERG	0.09075
TMEM42	-0.59225
PARN	1.19766666666667
SOD2	-1.1410625
DIRAS1	0.558666666666667
PNPT1	-1.747
JOSD3	-1.87675
hCG_40738	-0.24
PDE1C	-2.29675
SEMA4D	-0.497625
AGPAT1	0.1315
NOSTRIN	0.651625
MAP3K3	-1.2785
MAX	0.398571428571429
CAPS	1.73233333333333
SERPINA12	0.047
OSBPL8	0.411125
RICS	1.6097
NR4A2	0.559833333333333
PPCS	1.623
LONP1	-0.506
SCYL3	0.436
HERC2P2	-0.843666666666667
FIBCD1	-0.697
C15orf41	-0.891
DMC1	-0.713166666666667
C20orf27	0.0705
RPS6KA5	1.0653
FAHD1	1.86033333333333
SLC12A4	-0.873
BRCA1	-1.71166666666667
GBL	1.05575
SLK	-0.289666666666667
NUDT9P1	-0.866
NOXO1	2.1295
USP52	0.06025
BAZ1B	-0.233375
SLCO2B1	-0.41675
BBS12	0.431333333333333
LRGUK	-0.822666666666667
TERF2IP	0.9085
COL1A1	1.862
KIAA0090	0.218625
GRK5	0.000333333333333343
AP1S2	-2.6688
TMEM52	0.688333333333333
CA11	0.5925
OR4A15	0.4865
ACBD3	0.8634
SPAG11B	0.690375
PRDM2	1.0871
FOXP3	-0.5305
SMYD3	0.00589999999999999
LOC389199	0.945
LGI2	-1.34383333333333
NAPE-PLD	-0.4557
ANKRD6	-0.7095
WDR45	0.961333333333333
SHROOM1	-2.592
PSCD3	-0.228
PYY	1.1065
KCNC1	4.216
ARHGEF9	0.7259
OR8J1	0.3825
GPR55	0.2845
NS3BP	-0.349
C10orf22	0.6135
NAT8L	1.9715
DUSP4	-2.16683333333333
FOXM1	-2.82666666666667
GRAMD2	-0.2994
ZBTB48	0.304166666666667
BUD31	-0.579
PABPC5	0.75
CCDC41	0.0575
FBXO11	-0.39575
C6orf148	-1.19675
RFXAP	-2.036
C6orf15	0.313833333333333
CDK8	-1.8455
C6orf70	1.1545
TESSP2	0.23
ALG2	-0.0605
PPP1R3D	2.066
TPM3	0.323388888888889
SYT13	1.758
EPB42	-1.69283333333333
CETN3	-0.82575
PRY	-0.1655
NTHL1	0.533666666666667
POLR2B	0.179
RPS28	0.0146666666666667
P2RX3	0.44725
LYZL4	-0.78775
WBP4	-0.3186
PMM1	0.52
C11orf79	-0.286
CBLL1	-1.62225
IL1F10	0.4645
VAX2	-0.279
SETDB1	-0.198833333333333
LRAP	-5.1285
GCLM	-0.605333333333333
CPEB3	2.41
PPM1A	0.79025
INTS1	-0.53075
CAMTA1	1.17141666666667
SAMSN1	-4.087
LOC158830	-4.2645
GMPPA	-0.107875
AIPL1	0.440666666666667
IL24	-0.3235
BDKRB1	-2.05216666666667
MLF1	2.0197
TAF12	-0.46525
ID1	-3.113
THADA	-0.482375
PIK3CB	0.1075
OR4N5	0.174
TBC1D17	0.0448333333333333
COX8A	-1.43225
CDCA4	-0.4145
C2orf44	-1.07025
ZNF534	-1.49775
IMMP1L	0.745
NIPSNAP3B	-0.17425
FTMT	0.98775
PWP2	-0.700833333333333
MMP15	-1.0294
DNAH11	1.77625
MTMR14	-0.298375
DNAL4	1.98
IPP	0.63175
TMEM59	0.7225
C1orf157	-0.3495
RGS4	-1.97966666666667
DDX18	-0.289333333333333
SNX6	0.02825
ZNHIT2	0.358333333333333
NCDN	0.513833333333333
FLJ33534	1.363
RAG1	-2.461
OR4D10	0.4385
PTPN5	-0.412333333333333
POMT1	0.369625
LRRC8A	-0.3104
CYP1A1	-1.3645
CAPN1	-1.04816666666667
DDHD2	0.294375
GRIK2	-0.103
GNRHR	0.0746666666666666
PPBP	0.63175
HTR3A	-0.648
SLITRK4	-2.445
ANKRD49	-0.675
BTF3	0.4115
SARS	-0.03975
C13orf18	-1.64333333333333
CACNB1	-0.253
QKI	-0.764863636363636
SETMAR	0.52825
MAN2B1	-0.266333333333333
EML3	-0.41775
ACADL	-1.41583333333333
OFD1	0.165375
DEFB114	0.016
CGA	-1.615
PEX16	0.9385
LRRC10	-1.121
GNG12	-1.1
C1orf152	0.187833333333333
CHRM1	0.773
CD53	-3.31475
DBH	-0.5395
TFAP2B	-3.929
HIST1H2BJ	-0.1985
FAM46D	0.067
TMEM11	-0.15525
C3orf32	-2.91625
PCCB	0.20575
IPO13	-0.2075
C6orf105	-5.90475
COMMD5	1.14425
SUV420H1	0.8842
LTBR	1.5025
ARHGAP15	-3.38175
HDHD2	1.2295
TDRKH	-0.598166666666667
LOC401052	2.0625
PSG4	-0.118
GNB4	-3.666875
SPATA4	2.7205
SLC9A3	-0.0605
OSBP	-0.134333333333333
NBPF3	-0.781916666666667
DOCK11	-2.166
SLC39A5	-1.45216666666667
PRR5	0.9715
C10orf63	0.339125
SMTNL2	-1.86875
ADRA1A	0.62675
ASAH1	2.3488
DOM3Z	0.1665
GIPR	0.934833333333333
AHI1	-0.130083333333333
NADSYN1	1.07016666666667
RGS14	-0.0907
IL18BP	0.1617
RTN4RL1	3.10716666666667
ARMC6	-0.0295
PSMD5	-0.255333333333333
HK3	0.3646
OR4S1	0.39125
RSU1	0.2953
MAD2L1	-2.61577777777778
EIF4A3	-0.18475
DLEC1	-0.978833333333333
E4F1	1.28766666666667
CHMP2B	0.4377
CAMSAP1	-0.5965
RPS21	0.105666666666667
ARID5A	0.241
UBE2N	0.5851
IGSF8	0.581
MAGEB6	-2.35
ACAD11	-0.8513
MGC4172	-0.809
LMO4	-2.14975
KLKB1	-0.234
HP	-1.324
HDAC3	-0.202
SCHIP1	-0.96675
CLCA1	0.1315
OLFML2A	1.81125
C1orf112	-1.84275
KIF19	-0.472545454545454
HAPLN4	-0.1521
CXCR7	-0.642833333333333
GOT2	1.2767
RAB38	-3.54975
DCX	0.01925
PPM1H	-2.24725
NFYC	0.550166666666667
KIN	0.124875
ZNF228	0.984
PLSCR4	0.35
HIG2	0.819
FAM79B	5.024
C21orf86	-1.2165
KCNK10	-1.2105
ZNF738	-0.279875
FSTL5	-2.9432
OR6A2	-1.3325
OTOA	0.627833333333333
EXOC1	0.2365
AHRR	-2.846625
PDAP1	-1.87958333333333
C19orf6	0.720625
ZAN	0.3995
LY6G6E	0.513
EIF4E2	-0.94075
C20orf198	2.372
ZNF324	0.52525
CYP3A5	-4.50433333333333
ENTPD7	0.245166666666667
MBOAT5	-0.168833333333333
GJB5	-2.82875
TTC13	-0.798
S100Z	-2.12433333333333
KIAA0664	-0.1585
PDGFRB	1.60533333333333
IL17D	-1.62875
OR56B4	0.3365
RDX	-2.4505
SLC34A3	0.783
IL28B	-0.285
JUND	1.63825
CHRNB1	1.207625
CAMK2B	3.7105
FETUB	-1.9515
CXorf23	1.194875
MRTO4	-0.928875
TTC3	0.7749
NDUFB8	-0.567666666666667
EDG2	-0.66975
SEMA3G	2.5895
IL23A	-1.4125
GRHL1	0.4675
LOC441054	-0.8435
WDR65	1.546
PSTK	0.66525
STOML3	-0.0276666666666667
R3HDM2	0.7058
C5	-2.66575
SLC2A10	2.2325
C3orf22	0.64675
PAQR3	-1.65269230769231
ANKRD26	0.141583333333333
HCRTR1	-0.471
LOC399947	-1.08333333333333
PSD2	0.29425
TIGD2	-0.358833333333333
SCRN1	-1.16175
COQ10A	-0.52675
DDI2	0.4505
METTL7B	-1.0505
UCN2	0.72225
FAM92A3	-2.221
WDR16	0.926666666666667
ZNF511	-0.204333333333333
ZMYM5	-1.016375
POLR3G	-2.9645
ZNF586	0.423
C1orf49	0.926833333333333
TANK	0.4965
RCAN1	-1.8
PELI3	1.854
LIMD2	-1.99141666666667
TMEM189	-0.0195
NTN4	-2.45125
LOC151300	0.367
CLEC2A	-1.8525
GPR135	0.03075
DPYSL4	-3.7989
JAK2	-0.418333333333333
TSHZ1	3.1085
TM9SF4	1.174125
ZNF264	0.569833333333333
SIRPG	-0.6295
BICD1	-1.99225
HERC6	-1.64366666666667
METTL5	-0.967
CASP1	-3.128
PRRT1	-0.165333333333333
PLA2G4C	2.0495
ICA1L	1.06621428571429
TPTE2	0.0303333333333333
OTUD7A	0.801333333333333
AQP11	0.7615
APOA2	-3.99
KALRN	-0.6806
SECTM1	0.279083333333333
IFNAR1	0.12775
TALDO1	0.303875
RAB11FIP4	-0.0873333333333333
EIF5A	-1.0665
FAM49A	-0.611
NEGR1	-1.155
YTHDC2	0.7925
EHD2	0.1245
NCF1	-0.2713
SCRT2	0.8525
HOXA5	-2.48416666666667
NUP133	-0.1885
FGF12	-0.4181875
SLMO2	0.622125
SNTA1	1.134875
CACNG2	0.647375
GCM1	0.657
ELF1	-0.097
TLR5	3.441
TCFL5	-1.26583333333333
RBMY2FP	0.1785
LOC100125556	1.389125
FAM129B	0.195875
MAP3K7IP1	0.565375
NCK2	-0.027
OXA1L	-0.9475
FMO9P	1.235
ZSCAN12	1.1755
PSMD12	-0.324083333333333
HSCB	-0.1105
CLDN10	-3.2205
MGC13053	-1.10733333333333
HPCAL4	-1.1085
ASZ1	-0.7175
MEX3D	0.138083333333333
NFAT5	-0.0135
CSPG4LYP1	-0.720166666666667
FBXO3	1.5553
DVL1	0.0125
CMKLR1	-0.064
TYMS	-3.115875
PEF1	0.98725
ZNF750	1.3575
MCM5	-1.1717
MEGF11	-0.7765
KCNK7	-0.444
PTP4A3	0.998
C1QTNF2	-2.12
OR6S1	0.311
FAM122B	-0.9215
ZNF551	-0.04325
HBQ1	-2.157
GEMIN6	-0.55875
ARSK	-0.876
RBP7	3.83183333333333
CPNE9	-0.324
DSC1	0.132
LOC730112	-0.4195
MAP2K4	1.225875
HS3ST5	-0.9805
EPB41L3	0.44175
TEKT2	2.508
CDKN2B	0.472916666666667
ZNF480	-0.668
MAP3K6	-0.3141
MAP6	1.58316666666667
HN1	-1.6752
OR2L13	0.1765
SLC16A11	0.62975
FAM96A	-1.08625
APOL1	-1.36325
C5orf32	-0.02725
RTP1	-0.0756666666666667
RNF175	-0.89725
ZBTB41	0.882625
AHCTF1	-0.5258
SAE2	0.0426
ITGA2	-0.0171666666666667
MME	-3.89416666666667
CCDC14	-0.62875
MAST4	1.549
KRT33B	0.8135
KCTD2	-0.4575
WDR26	0.00783333333333333
MFI2	0.41125
NR4A3	-1.6655
ARSA	0.9995
UNKL	0.674
SULT6B1	0.107
CCNA2	-3.8415
SOX15	1.4385
PPAPDC1B	1.50541666666667
C19orf44	0.6835
MCAT	1.04391666666667
ARID1B	0.6445
OR52N1	0.96
C12orf48	-2.22475
MAGI1	1.94675
NIPA2	-0.80075
GBX2	-2.552
RSHL3	1.033125
RAVER1	0.297166666666667
C15orf17	0.79175
SLC30A2	2.20175
ZNF518	0.17325
PCYT1B	-2.0465
C10orf114	-2.603
EIF3H	1.2735
SLC25A39	-0.305833333333333
KIF1B	-1.061625
AMOTL2	0.65425
C6orf120	0.66625
PSRC1	-2.5345
PLA2G10	4.396625
KIF5C	1.406875
MRPL37	-0.949
C17orf62	-0.283833333333333
C9orf135	-1.9784
DUSP10	-0.8885
CLCNKB	0.7045
PSMA5	-0.644375
C8orf53	0.94725
AMPD3	1.63983333333333
PIAS1	-0.5215
ADCYAP1R1	0.233
GYLTL1B	-0.4735
CDH20	0.457166666666667
FBXO7	-0.13125
TMEM134	1.44266666666667
FLJ14213	0.244
ZNF3	0.1415
LRRFIP1	0.401833333333333
CNOT2	0.454416666666667
ABI3	0.917
ALDH5A1	1.0775
HNT	0.8128
SERPINA4	-2.4365
TK2	-0.182818181818182
STMN1	-1.80677777777778
GUCA2A	0.267333333333333
GALNT10	0.385714285714286
DPP6	-1.17147368421053
C9orf93	0.657
PRELID2	0.22875
STK39	0.371875
SFTPA1	-1.31866666666667
CKS2	-2.634
RHO	0.137428571428571
C20orf135	0.28175
XKR3	-3.2605
CR1	-0.171285714285714
RPS6KA2	-0.377428571428571
C20orf112	1.24425
MRPL22	0.08025
C4orf23	0.5865
GADD45B	2.28925
KLHDC1	1.91683333333333
C2orf48	-2.0815
ZNF287	2.6585
DAAM2	-1.6725
DPPA2	-3.60716666666667
TCTN3	0.393833333333333
DNAJB11	0.200625
FPR1	1.18375
DEFB4	0.2615
PTCD2	0.1259
SMOC2	1.97033333333333
CABP7	0.66075
SERPINB11	2.45075
MAGEF1	0.9415
NDE1	1.6
ITGA10	-0.852
FSHB	-0.2895
ANXA2	-0.55775
HORMAD2	0.4135
HLCS	0.79
MCF2L	1.09691666666667
FH	-0.711875
TBC1D24	2.2055
KIAA1505	1.38125
LGALS2	-3.23775
CNBD1	0.104
SYNPO2L	1.65925
PTPN23	-0.0735
C1orf183	-0.465833333333333
MAGEA8	-3.15775
DGCR8	-1.066875
GSR	-0.88525
PAQR7	0.98175
ZNF676	0.13425
CACNA1C	-0.88
SP7	-0.9865
PDCD6	-0.09475
NRN1L	-0.5605
BRI3BP	-0.04475
KIAA1183	-0.24975
ASB4	0.389
CCL23	-0.9264
OBSL1	0.441375
SLC12A7	0.680666666666667
KIAA0240	1.559125
CD1B	-3.34616666666667
FCGR2A	-1.232125
MDC1	-0.73175
HTR1A	0.716166666666667
OCEL1	1.68
ATP11B	-0.928375
FBXO34	0.5455
PCDH12	3.61233333333333
RPE	-0.8825
C17orf74	0.6585
CSDC2	0.00633333333333336
PET112L	0.50275
TMBIM1	0.449125
P2RXL1	0.14125
TCHP	-0.56875
TRMT1	-0.483333333333333
F2RL2	-1.67316666666667
LRRC32	1.73216666666667
IMPG2	0.3825
BGLAP	-0.33875
LOC493869	-4.55458333333333
MRAS	-0.867875
SLC35F5	-0.213
CBWD1	0.024
AXL	-2.36475
ATP2C2	1.5795
TELO2	0.98925
PNPLA3	-3.62725
PCDHB14	0.7315
CD276	-0.1245
KRT80	-1.63475
DUSP28	0.924
CSNK1E	1.02633333333333
SRP14	0.6345
KCNQ4	-0.1935
KRT72	-1.00416666666667
CCDC117	1.97775
C6orf89	0.738
TUBB2B	-3.0155
RTN4IP1	-0.1085
CR1L	-4.30416666666667
CEND1	0.4055
C12orf41	0.448333333333333
RNF31	-0.1335
UBN1	0.132333333333333
C17orf32	1.118375
SLC5A7	0.732
GPR92	-0.909
ESAM	2.0578
CTNNA1	0.29775
HRBL	-0.3463
CBX4	1.14875
TMEM182	0.15375
SH3TC2	-2.028
IL10	0.250833333333333
PXMP4	2.163
RNF167	0.5552
PAK7	-0.115333333333333
ETV3	0.036
ATPIF1	-0.2095
LOC554207	-1.89816666666667
OR8H1	-0.09075
WDFY3	1.40175
DPM1	0.00449999999999999
GPSM1	0.8125
WDR92	-0.1055
LRP1	-0.129
ANKH	-1.4035
THUMPD3	-0.81375
POLR1B	-0.55975
OLFM4	-0.643333333333333
RAD9B	1.45475
TSPY2	-4.078
PAX6	-2.51316666666667
SCG2	-3.809
SLC17A6	0.86325
FMO3	2.103375
PADI4	-0.53275
TUBB4	-0.7249
NLK	-0.5455
POU4F3	-0.306
SDF4	-0.447
ITGBL1	-1.50516666666667
NETO1	-2.049375
TAP2	-0.92875
ABBA-1	-0.212833333333333
GNAI1	-1.886
VPS4B	0.89525
NOPE	0.9251
GALNT6	2.476
SESN1	0.125125
GBE1	-1.19877777777778
CLASP1	-0.1215
RASGEF1B	0.290125
ACOT11	0.327
AFAP1	-0.25475
OR2H2	0.391
DPY19L2P1	0.4765
DZIP1	-2.98975
SEC22C	-0.333416666666667
GPR161	-1.97833333333333
RNF146	1.45625
WDR74	-0.228625
GALP	-0.933
PURA	1.147
DNPEP	0.723333333333333
RP11-78J21.1	-0.71125
ERBB2	2.882
FANCM	-0.6865
NEO1	1.0415
DDX3Y	-5.135
RPS3A	0.677375
MXRA7	-0.989285714285714
LGALS3	-2.24283333333333
GLT8D1	0.916
CFL2	-2.15483333333333
UPB1	0.289
NAP1L5	-0.47725
CLDN14	-2.71575
DHX38	-0.59975
BTBD1	-0.57825
TARS2	-0.261666666666667
ABCF1	-0.0454
FCF1	0.415333333333333
LRRC49	0.66325
GUCY1B2	-2.1305
C1orf177	-0.224333333333333
SMARCA4	0.0810714285714286
LRP8	-3.7405
TAGLN3	-1.506
MRPL14	-0.1325
TTRAP	0.2525
ZDHHC20	-0.8515
NFE2L3	1.64075
KIAA1377	-2.91725
PALMD	-0.5395
TMEM43	-0.13675
TTL	-1.559
STAT5B	-0.611666666666667
SSB	-0.758125
OR10H5	0.199
SLC22A13	-0.703
AKAP3	-0.3805
TIMM23	0.182666666666667
OAS2	0.68625
KIAA0423	1.689
TRIM11	0.112833333333333
GLIS3	-0.70375
TMEM50B	0.820166666666667
ARHGEF4	-2.70042857142857
DEGS1	-2.70354545454545
TBL1XR1	0.496
G6PD	-2.139
SP140	-2.3239
MUC17	-0.497785714285714
NUDC	-0.0509
DNAJC5B	1.13166666666667
SCARA3	-1.53216666666667
CPA3	6.10483333333333
BCAT2	0.665625
MFN1	-0.2763
NRG3	0.31
SNX11	0.66125
PLEKHH1	-0.317333333333333
GPR177	-3.0665
HCFC2	-0.93225
TCAP	-0.08875
MOCOS	-2.262
C14orf93	0.09225
PRDM10	-0.213833333333333
SLC16A4	-0.2575
SRGAP1	1.74233333333333
VIP	0.12775
DUSP27	-0.319833333333333
LILRA1	-0.340666666666667
MC2R	0.445
MGC24103	-4.726
MBTD1	-1.046
FUT11	-0.555
USP33	0.2146
C15orf39	-1.383
MAP3K12	0.35775
PAAF1	0.025
BARHL1	0.1595
FLJ16165	-0.194
PIWIL2	-2.7465
SYNE1	0.0139166666666667
CMTM4	-0.25075
TSPYL1	1.7544
GUF1	-0.247833333333333
TMEM157	2.4915
WDR44	-0.04075
HIST1H3C	-0.34425
DKFZp666G057	2.1275
RNPEP	-0.1875
GAS2L2	0.4346
ADH4	-4.82675
GRPR	5.10816666666667
FBXL17	0.977
ZBTB10	2.46033333333333
Gcom1	0.451888888888889
HTRA1	-0.7302
ZNF585A	0.785333333333333
SLC26A2	-0.0607857142857143
OTOP3	-1.2165
WISP1	-0.504666666666667
ATP2B4	-1.32283333333333
FLJ10769	0.49575
CRAMP1L	1.35
CHST12	-0.0775
RAB22A	1.28175
TARDBP	0.313071428571429
STAU1	0.52725
CRB3	2.6115
MIG7	-0.2695
CHMP1A	-0.116666666666667
ZNF160	0.34575
B3GALT6	0.2765
BARX1	-1.62683333333333
C6orf167	-1.155625
NXNL1	0.7265
DHX29	0.814125
HADHB	-0.3395
PLXNB2	0.796
ILDR1	-0.806
SLC15A3	-0.1745
GAS2	-3.92583333333333
C20orf69	0.76025
NUMB	-0.61575
TNIP1	-0.151875
MESP1	2.5325
PSKH1	-0.4355
NSFL1C	0.777875
RHOG	-0.33175
HEY1	-0.981333333333333
KNG1	-1.566875
ITGAX	0.492555555555556
LIN9	-1.07766666666667
CANT1	0.41625
XRN1	-0.305
CCDC96	2.4152
HEATR6	-0.612666666666667
GNG7	1.55308333333333
RUNX2	-0.6105
SOX1	2.01733333333333
FCRL5	0.0119
ZNF99	0.229
FAM9A	-1.2195
SNX22	0.552
MBNL3	-3.85383333333333
ODC1	-2.9704
ADORA2B	-3.38333333333333
NR2F6	1.9795
ZFYVE16	0.5855
SYNJ2BP	-0.0537
POLE	-0.88525
E2F2	-1.898375
THRA	0.712
PTGES2	-0.382333333333333
HIP1R	0.1025
TMUB1	-0.586333333333333
ENO3	-1.57
RSPH10B	0.013
CXorf39	1.638
IRGC	1.15425
GPR109B	0.1515
FLJ13305	-0.835
LCE3A	0.067
TNFRSF18	0.660833333333333
DET1	0.04325
TRPM3	-0.390727272727273
C16orf79	-0.6315
FECH	0.170833333333333
RAP2A	-0.546
CRIP1	3.07316666666667
AZIN1	-0.145625
SLC7A7	-0.047
IL10RA	-1.1399
TMEM64	-4.537
CDC42EP4	2.0971
C16orf58	0.8762
ARG2	-2.2515
POU5F1P4	-4.31
FAM62B	-0.71825
DNAH8	-2.11866666666667
ASH2L	0.799375
TSLP	-4.70566666666667
CNTNAP5	-0.848833333333333
TMEM16C	-1.1185
IFNA14	-3.214
SLC1A3	-2.745
CABYR	2.3105
BCL7B	-0.4427
NUDT13	-1.83833333333333
C13orf28	-0.918
C1orf53	0.34
ARL6IP4	0.4351
RPL35A	-0.251
EMR3	-0.670333333333333
RAB40C	1.40825
SLC41A1	-0.967333333333333
LRCH1	-0.29175
LY6G5B	-0.7185
FAM124A	-0.7725
MGC10981	-3.98433333333333
CLIP3	0.194
MAP4K2	-0.703666666666667
CHIC1	0.7435
SULF1	0.608333333333333
C20orf30	0.883785714285714
PRDM5	-1.883125
ELOVL1	0.06475
C11orf48	0.35525
SLC39A10	-0.80375
KCNV1	-0.41225
ACP1	-0.4838
ZMYM2	-0.751375
B3GNT6	0.928
C9orf69	-0.6985
C2orf15	1.679
C20orf166	1.507
HSP90AA6P	-0.5885
EDG7	-0.8915
NEURL	2.833625
LPL	-0.925
CLEC2D	0.576
GRRP1	1.02416666666667
CD8B	-4.0428
HIST1H3D	-0.963166666666667
SLC6A12	-0.341625
FAM27L	-0.1365
CD84	-0.64
RASA1	-0.0065
PHKG1	-0.0135
MAGEA11	-1.0225
IMPA1	0.0598
NPM3	-1.819
RARRES1	0.57625
SH3BP1	0.13375
B3GNTL1	-0.173
ARPC5L	-0.312833333333333
KLHL26	0.79775
SIM2	-1.889375
GJC1	0.826
C20orf194	-0.0845
EXO1	-3.279
SLC2A2	-2.80533333333333
LOC285074	-1.20075
LRG1	1.63175
KIRREL	0.152
PIK3R1	0.525857142857143
C4orf34	2.056
MAF	-3.1885
ADCY4	3.69566666666667
ZMIZ2	0.1569
SLC46A3	0.9645
STAMBP	-0.338666666666667
CCDC16	0.5815
MS4A12	-0.098
TCF20	1.4195
LRRC46	1.588
C20orf152	2.6525
MRPS6	-0.158375
ABCB11	0.11
KCNC2	0.8908
CDH19	-2.3772
C9orf123	0.895166666666667
SSH3	2.08925
LDLRAD1	-2.72425
CCBE1	-1.91825
ZNF135	2.21425
TAAR1	0.406
WFDC12	-0.702
CCDC42	0.664166666666667
FLJ12529	-1.18475
PER1	1.531
TIMM50	-0.428333333333333
SMARCAD1	-0.174666666666667
FAM26C	0.2405
TP53TG3	-2.86366666666667
SH3RF1	1.5151
LMCD1	0.99025
GPR63	-0.2665
FLJ21986	-3.610625
AIFM3	1.24825
MICAL1	-0.125
BLZF1	0.240833333333333
IQCA	-0.704166666666667
PCDHGC3	-0.675
SAC	0.512
BCL6B	1.88933333333333
DDO	-1.55925
MARCO	0.359
DCHS1	1.09583333333333
C1orf170	1.5515
CD200R1	0.289833333333333
C22orf15	-0.3575
SEPT11	0.052
ADNP	0.5555
UST	-3.3417
C13orf34	-2.35616666666667
