Hybridization REF	TCGA-B6-A0IM-01A-11R-A034-07
GJC1	0.6005
C20orf194	-0.23875
EXO1	-2.331
SLC2A2	-3.3925
LOC285074	-0.31525
LRG1	2.193
KIRREL	0.522
PIK3R1	0.553071428571429
C4orf34	0.7885
MAF	-1.3185
ADCY4	4.1745
ZMIZ2	2.0404
SLC46A3	0.915666666666667
STAMBP	-0.9165
CCDC16	0.4435
MS4A12	0.628
TCF20	0.093
LRRC46	1.31175
C20orf152	0.7265
MRPS6	-0.55975
ABCB11	-0.3895
KCNC2	6.36633333333333
CDH19	-3.4022
C9orf123	0.495
SSH3	1.3495
LDLRAD1	-2.57025
CCBE1	-0.35675
ZNF135	-0.216875
TAAR1	-0.272
WFDC12	1.333
CCDC42	0.251333333333333
FLJ12529	-1.34075
PER1	-0.894333333333333
TIMM50	-0.611166666666667
SMARCAD1	-0.0181666666666667
FAM26C	1.093
TP53TG3	-2.90633333333333
SH3RF1	2.0908
LMCD1	2.18025
GPR63	-0.245
FLJ21986	-1.805375
AIFM3	0.7755
MICAL1	0.389833333333333
BLZF1	-0.0885
IQCA	0.271833333333333
PCDHGC3	-0.7675
SAC	-1.5315
BCL6B	3.09983333333333
DDO	0.24425
MARCO	2.682
DCHS1	1.554
C1orf170	0.28
CD200R1	0.154666666666667
C22orf15	-0.711
SEPT11	0.365166666666667
ADNP	-0.61175
UST	-1.1217
C13orf34	-1.12016666666667
RFFL	0.626428571428571
APBA3	0.0155
C2orf60	-0.35925
CUTL1	0.452
PMS1	-1.97825
ZNF689	0.0405
EIF3E	-0.778
IL9	-1.212
RPL31	-0.725125
LY9	-0.161833333333333
ATP2B3	-0.24
KDELR2	-0.00858333333333329
TFCP2	0.338
NLRP12	0.24725
FLJ45422	-0.2755
TLE4	-1.5505
ZNF570	-1.551
FLJ43806	-0.0845
TLK2	-0.591375
CIR	0.55775
MARS2	-0.2635
COL24A1	0.869
SDF2L1	-0.1265
HIBADH	-0.336
IGFBP3	-2.40871428571429
C12orf23	0.890625
PSPC1	-0.50675
C20orf43	-0.24475
TRAV20	-2.4885
ARHGAP24	0.198625
KIAA1975	-2.005625
C1QA	3.4574
DNTT	-5.2105
C10orf6	-0.2905
C11orf41	0.664625
HNRPF	0.453125
COL11A1	6.957
UBAP2	-0.665333333333333
CDKN2AIPNL	-0.272
C20orf174	3.00975
SPRED2	-0.034
PLA2G12A	0.685333333333333
ICEBERG	-4.81233333333333
SCN10A	-0.229
C11orf65	-1.2045
GBP5	3.78175
PITPNC1	-0.9085
POU3F3	1.1855
NCOA7	-1.17375
LIN7C	0.1156
LOC348840	-1.6005
NKX2-2	-3.99075
ANKRD13D	0.48675
LOC123688	0.431
FUT2	2.70166666666667
TAAR8	0.5965
FZD4	1.0765
PNMA3	-0.5265
OR4L1	0.773
WIT1	-2.52975
EXOC3L	1.96825
ATPBD4	0.8727
KRBA1	0.1745
UBXD6	-1.01075
HOXB7	-0.883285714285714
C7orf23	-0.7195
UNQ338	-0.687
STAB2	0.34275
CDC20B	0.18425
IRF9	2.17125
CENTG1	0.720333333333333
TNPO2	-0.838
MCPH1	-0.509375
BMS1P5	-1.82925
SLC26A7	1.16525
HIST1H3J	0.34975
C9orf3	0.1883
LBH	1.44875
MYO1D	1.146375
PTDSS2	0.463
NFU1	0.02375
DEPDC4	-1.9215
WNT7B	2.4855
GLP2R	-0.792333333333333
SETD4	-0.7965
DYNLT3	0.9652
FKBP11	-0.9995
SESTD1	1.34683333333333
FLII	-0.325
RPS16	0.1469
CHPF	-0.3945
CSNK2A1	-0.4205
SUMO1P1	0.214
FKBP6	0.7175
ZNF214	1.75583333333333
TWIST1	0.526666666666667
DDX56	-0.286
TRAM1L1	2.931
EPO	-3.0065
MRPS18B	-0.44425
ZNF682	0.231833333333333
RPL14	-0.372666666666667
MAFF	0.65775
LOC51136	-0.514125
LY96	-0.191
DDX20	-0.387
ABTB1	1.07866666666667
ARL5A	-0.1902
CCT6A	-0.9565
HEPACAM	-0.419666666666667
EHHADH	-0.252833333333333
RBAK	0.0923333333333333
CGB1	0.48025
ITGB5	0.7521
YIPF3	0.19825
FKBP2	-0.943
NR1D1	-0.0654
TMEM110	-0.0235
NEK2	-1.76466666666667
PRAMEF8	-3.025
C20orf52	-0.75
PCDHGA3	-1.144
VWA3B	-0.43225
NDUFA5	0.580625
THAP9	-0.70025
FLVCR2	-0.146666666666667
AP1S1	0.422625
SMAD6	-0.5315
SAV1	0.199625
SAT1	1.68875
ZNF251	0.248625
ADAMTS7	-0.1057
RPP38	0.089
C1orf211	-2.373
YPEL2	2.13775
RBMS1	-0.41775
ZNF445	-0.4275
NRXN2	0.448666666666667
PGBD4	-0.417625
UGT2B28	-3.546
WBSCR16	-0.0027
NLRC3	0.075
ASTL	0.5715
ST6GALNAC1	-2.79675
ZADH2	0.524125
MLLT4	0.658083333333333
ARL6	0.296333333333333
MEF2C	-1.0315
CBFA2T3	-3.102
AFF3	3.51292857142857
COG7	0.390166666666667
MYB	0.276
PLXNA3	1.3305
XRCC2	-1.46283333333333
MMS19	-0.32725
ST8SIA5	-0.713625
CHPT1	1.002
KIAA1712	-0.58025
OR6X1	0.1775
ACTR3	-0.719125
UGCG	2.91716666666667
OR4P4	0.8095
ZAP70	-3.025
LPP	0.959375
ZNF485	-1.107
PTPRCAP	-0.71375
IL12RB1	0.3715
ATRX	1.0028
CHST8	-2.21975
C14orf109	0.28275
ARV1	0.2555
NMB	0.159571428571429
COX5A	-0.554
EIF6	-0.87575
MPPED2	0.123166666666667
SEMG1	-2.536
CHRDL1	0.6885
TRAF3IP2	1.1065
WNK2	-0.00012500000000001
LILRA4	1.56166666666667
LAMA2	4.5845
PXT1	0.1575
RLBP1	-4.31175
CD300C	0.92275
SLTM	0.071875
FLJ10404	-0.390625
APOBEC3D	-1.13966666666667
RENBP	0.265833333333333
ATXN7L1	0.366625
NID1	-0.05825
TUBGCP3	-0.800375
ITIH5	2.1725
CCDC110	2.105
C8A	-3.015
MGC87042	-0.8835
HOXC13	2.3375
TFDP2	-1.186
HCP5	2.22575
POLI	0.23625
UCN	0.178333333333333
ZNF764	0.385
C8orf45	0.02725
FHL3	-0.49275
SPATA5L1	-0.105
MMRN2	3.12083333333333
NDST1	0.521666666666667
COL20A1	-0.174
ZNF248	-0.749833333333333
PELP1	-1.041
MBL2	-2.7724
RNF41	0.540125
C5orf24	0.146375
THOC5	-0.169875
SERINC3	0.428666666666667
RP11-151A6.2	1.00875
CDCP2	-0.2905
HIST1H2AA	0.881
C11orf75	-0.445166666666667
FKBP7	0.3175
DDOST	-0.6435
GPNMB	0.665833333333333
TTF2	-2.026
KCNT1	0.1396
SLC39A14	-0.746
NGRN	0.8408
GPR137B	2.16675
MECP2	1.014125
PSMA1	-0.37375
C16orf73	-6.0095
TMEM60	0.644
CSN3	-0.0944999999999999
NOS1	0.644333333333333
RAB7L1	-0.360166666666667
YBX2	-0.325
KIAA1166	-0.936125
FUBP3	0.0721666666666667
ABCG1	0.7785
ACACA	-0.78325
ARL11	-0.2086
ATOH1	0.3015
ODF1	0.5144
CREB3L3	-1.896
TMEM127	1.44285714285714
DSCAML1	-1.179
PLN	2.91
LYPLA1	-0.466416666666667
PRDM9	-1.9625
SASP	-0.58375
PLUNC	0.504
INTU	0.27775
HISPPD1	-0.347
LNPEP	-0.0508333333333333
YARS2	-0.853166666666667
APCDD1L	-1.257
ZCCHC4	-0.5038
FBXO22	-0.511
TTLL13	0.2125
ZNF669	-0.668833333333333
PTGDR	2.4725
DDX27	-0.635
KIAA0409	-0.578166666666667
GJB6	-0.1725
ASB8	0.7935
PLP2	0.817
MEPE	1.328
OR10J5	-0.3845
KRT222P	2.58525
COQ7	-0.416833333333333
C1orf101	0.23825
RERG	3.7414
CHMP5	1.254
THAP11	-0.413375
ZNF43	0.0696666666666666
ZRANB3	-1.936
KRT13	-1.6665
MRPL19	-1.30325
RBBP9	-0.5665
SPATA17	0.821166666666667
BXDC5	0.582666666666667
PAFAH1B1	-0.908416666666667
MAGEE1	2.25725
OSTF1	0.31
KIAA0323	0.689083333333333
TXNDC13	-0.275166666666667
CNTN4	1.109
LCE1B	1.4705
UNQ501	0.48775
ZNF154	-0.585
C3orf64	-0.1235
SYT5	-0.4755
PON1	-0.50975
FLJ10357	-0.07575
ATP4A	-1.7425
GNPDA1	-0.173
MGAT1	0.614833333333333
C14orf121	0.0225
SLC35B2	0.0755
MIER3	0.513833333333333
CHEK1	-2.9265
ZNF8	-0.415666666666667
TXNDC1	-0.471
CKB	-1.587
RTN3	-0.301571428571429
FZD2	-1.03433333333333
PART1	-0.072875
PSMB6	-1.07925
PCDHB8	-0.7575
PHC3	-0.0641
PPP1R8	0.201
NOVA2	2.1265
TNFRSF11B	-3.817
GOLPH3	0.543666666666667
UBLCP1	-0.61
SUHW3	-0.62675
TTLL1	1.188
OPN4	0.334
OR13G1	0.346
ZPBP2	-0.65375
HSD17B11	-0.958125
C9orf50	0.607
DHDDS	0.0280714285714285
CTSW	0.0232222222222222
NEFM	-2.41266666666667
MRPL28	-0.63
SYN1	0.455333333333333
PIGV	0.165166666666667
ZIM2	-1.2275
APBB1	-0.736
SND1	-0.32875
C1orf123	-0.0913333333333333
CHD3	-0.19675
BHLHB8	0.0265
RNASE2	-0.257666666666667
BCAP31	0.958125
SLC25A44	0.223833333333333
CHD6	0.4887
PIB5PA	3.48515384615385
SELS	0.934125
LOC541471	0.3655
FAT2	-2.828
ZNF81	0.0615
OR4C16	0.6615
FLJ10081	0.1155
LRRC4	0.9935
CS	-0.416833333333333
N4BP2	-0.77925
IGFBP7	1.8615
ZNF318	0.136166666666667
NDNL2	1.415125
ZNF609	1.277625
SIRT4	-1.2055
EXOSC10	-0.43675
ECE2	-0.102916666666667
OVGP1	1.97225
GTPBP3	-0.6935
PACS2	1.2156
C19orf36	-1.46016666666667
ARL4C	-1.48575
ATG4B	-0.141
UBQLNL	-0.024
RHOXF2B	-3.525
PLEKHG2	-0.495
GALR1	-1.378
AQP4	0.2618
HDAC7A	0.149833333333333
DCUN1D3	0.6645
OR8A1	-0.0165
CCRN4L	0.07375
CBR4	0.305666666666667
KIFC1	-1.39766666666667
SLC7A14	-1.3882
LHX5	2.391
TRPC7	-0.3375
LPXN	-0.706
SERPINA1	-2.531625
RPS13	-0.4936
BPIL3	0.12
PRKAA1	-1.7735
FADS2	-1.6109
ENAH	0.267
PRO1768	-1.5405
APBA2BP	0.669
LIPH	2.1505
C3orf33	-1.0275
RCC2	-0.0335
ALDH1A2	-3.0366
RNF103	1.95125
AHCY	-1.102875
ALG12	0.421
CCL17	1.185
ZNF543	1.19566666666667
ESRRG	0.0193
CNGA1	-0.7
RDH5	0.615666666666667
OTX1	-0.795
PTGFR	-3.40533333333333
CDR2	-0.088625
SELE	4.908
NLGN2	-0.585666666666667
EXOSC9	-1.24925
ZNF566	-0.236833333333333
KLRC2	-1.2925
GPR12	0.795
KIAA0196	1.172
PDRG1	-0.0595
SSR3	-0.718285714285714
MSI1	-0.834
CST9	2.2345
CC2D1A	-0.134875
PLAGL1	-0.933444444444444
ZNF778	-1.379
RNF2	0.3985
KLF6	0.410166666666667
THBD	1.40716666666667
tcag7.1314	1.93425
NR5A1	-0.279
ABCD2	0.1255
DNAJC7	-0.88625
CLEC4C	-0.381
TM2D3	1.1075
CCDC4	-0.396
PLAC2	-2.21325
DCD	1.0195
FAAH	2.14425
POLA1	0.478
TM7SF2	-0.66275
FLJ39822	-0.642666666666667
FLOT2	0.815
MAP4K1	-1.05416666666667
SRP68	-0.12475
C21orf74	-0.956
ARPC5	0.124375
LOC126075	1.68025
HECW2	0.33025
ZDHHC4	0.746
ANKRD42	1.2067
PDE9A	-0.833166666666667
ABCA8	1.1705
NDUFS2	-0.57425
UBR5	0.218375
BTBD16	-3.0515
LOC554174	0.678
ZNF20	1.038
KIAA1843	-0.8715
WDR17	1.203375
C15orf33	-0.722
RNF113A	0.23075
CAMKK1	-1.3494
CLCN2	0.12575
ANXA6	0.256
LOC340069	0.6595
EMID1	1.412125
DPM3	-0.412916666666667
ELA1	-0.319
SLC25A13	-0.5114
KRT24	1.72425
SMPD1	-0.157
TH	-0.40325
COL6A2	1.17407142857143
ANKS1B	1.99325
GPR126	-4.0396
ZC3H12A	0.964166666666667
TMEM47	0.329166666666667
C2orf51	0.0855
C1orf88	3.9555
HSF2BP	0.341
AKAP10	0.56725
RPAP3	-0.5285
KLHDC8B	0.83925
STOM	1.1126
MUPCDH	0.40125
C10orf72	0.504625
PLEKHA3	1.1315
TCP11L1	-0.027
CWF19L1	-0.384875
SPEF1	1.79638461538462
YSK4	0.2035
ELN	1.3596
SAMD8	0.587666666666667
MPI	-1.32083333333333
MEPCE	0.1581
ABCC3	0.04175
NANOGP1	-2.195
KCNK17	1.786125
HLA-DMB	3.94916666666667
RRAGA	0.836
ANGEL1	0.5525
RBM32B	0.2965
CPN1	-3.116
MGC52282	-0.321444444444444
HLA-A	1.53366666666667
OR9G4	0.3675
EDNRB	-2.21225
SCD	-2.66114285714286
C14orf80	0.177833333333333
BAGE2	-0.3045
RABL4	1.5095
RCVRN	0.55
SHANK1	-0.324
NLRP7	-3.9195
CD226	0.5065
STAT3	0.7748125
SYNJ2	0.1104
TPCN2	0.1715
WDR36	-0.994583333333333
MBD4	-0.49975
ROBO1	-0.9851
ST3GAL6	-2.90925
SLAMF8	3.52283333333333
ATN1	0.5705
GPR141	0.7675
KRT36	0.7095
TPH1	-0.0205
DDX52	-0.12825
ZSCAN29	0.7285
TRPT1	-0.874
DPEP3	0.91
DENND4A	-0.34825
TSPAN16	-2.183
PTCHD2	-1.265
LOC145814	-0.5005
CAP1	0.465333333333333
EIF5A2	-0.7512
NT5DC3	-0.836625
SEPT9	-0.756375
SEZ6L2	0.69375
EGFLAM	3.60475
VPS11	0.2365
NDUFB5	-0.450166666666667
CIDEA	4.38883333333333
IER5L	0.24575
N6AMT1	0.62625
FAM83C	-0.67675
OXR1	1.37158333333333
IRX1	-0.233
DGKB	-0.621666666666667
GCN5L2	-1.3115
MIR16	0.65425
FBXW9	0.321
WDR4	-1.5045
PDC	-0.161
VPS33B	0.37275
HEXB	-0.03325
FLJ32214	0.81675
TCEB3	-1.23025
CRLF1	-3.51775
ABI3BP	-0.23575
C8orf22	-4.042
PYCR1	-1.025125
KIAA1706	0.37775
CDK5R2	0.67775
WAS	-0.06
C12orf60	0.81725
CCBL2	-0.351125
MADD	0.4125
C5orf34	-1.845
WDR42A	0.9774
KLF12	-0.111
HSPA1A	0.7685
ITM2C	-1.55925
DAPK2	2.86216666666667
LOC442590	0.703
SUMF2	0.11925
CENPA	-1.71038461538462
TMED5	-0.461875
CDH6	-0.669
BRP44	0.067125
THG1L	-0.8955
GABRA2	-1.5535
C14orf166	-0.2695
MYL1	-1.896
TNFSF18	0.7255
PAP2D	-0.049
PPIB	-0.96
KLHL4	-0.499125
SFN	-0.531166666666667
CCDC127	0.62325
FRAP1	-0.207
GOLGA5	0.59875
SDCCAG1	0.181375
MGC21675	0.36
C10orf95	-0.1885
KIAA1345	-0.394166666666667
C1orf163	-1.6745
LACE1	-0.704833333333333
OR10K2	-0.193
CENPN	-1.92684
TMED2	0.30575
UGT1A6	-1.483
ANG	-0.24075
U2AF1	-0.863333333333333
CASC2	0.642666666666667
NMT2	-1.26166666666667
OSGEPL1	-0.265875
DFNB31	-0.7525
SLC6A20	-0.641875
DKC1	-0.7735
FXYD4	-0.85425
WDR64	-0.4165
MGC5590	0.4625
CREBZF	-0.936666666666667
DAZ1	0.15275
PRPSAP1	-0.3925
GCHFR	0.07
TTC7A	-0.902375
LOC196993	1.77475
UBD	4.77066666666667
S100A1	-1.165375
RPL6	0.297
DNAJB6	0.7518
NAGS	1.7666
C2orf58	-0.2285
KERA	1.14233333333333
MT1X	-0.3416
UBE2B	1.3507
KEAP1	0.373
MST1	-2.88925
OMA1	0.025
ABLIM2	2.116
BCL2L13	0.0424166666666667
JAZF1	1.15233333333333
TMEM63B	1.1275
S100A8	-0.2375
ARFIP2	0.14575
UROS	0.49225
KHDRBS2	-1.0675
POLQ	-1.96875
SOAT1	-1.87425
SPAG4	-3.149
MRPS30	2.08133333333333
LOC494141	-1.5
OR2T11	1.4715
ORAOV1	0.0037
ZNF184	-0.278333333333333
TCEB3B	-0.390833333333333
ADAM21	-0.261
GDPD1	1.4015
SPINLW1	-0.531
PRR14	0.122
KCTD9	-1.6251
NUDT3	-0.1485
KIAA1822	0.8567
HIST1H4K	1.995
DFNA5	-2.47725
GABPA	-0.459
C14orf44	0.18525
POLB	1.64275
PTAR1	-0.48225
SEC31A	0.297
TRIM58	0.4675
TAS2R14	-0.731
VPS8	0.4915
H1F0	1.537
PRKCB1	-3.551
UGT2A1	0.4555
TOR1B	0.0095
LSS	-1.21575
C2orf19	0.256
HNRNPC	0.0877857142857143
TMEM100	-1.04666666666667
LOC116349	-0.283
OR51M1	0.7845
CCDC142	-1.63375
ISG15	1.6546875
ZCCHC14	-0.4105
CREBL2	1.17525
TGDS	-1.73325
DC2	-0.26375
CACNA2D3	-1.62592857142857
ZNF429	-1.033375
LYPD6	1.32266666666667
SUCLG1	-0.501666666666667
OR51I1	-2.1345
MAGEH1	2.57325
PRPF40A	-0.6995
SMR3A	0.601
SPINK2	-0.72075
THAP2	0.523375
NPY5R	2.58075
IRF4	-2.941875
SPESP1	-2.28283333333333
OR10S1	0.678
DTD1	-1.0165
TUBE1	-1.344
DDX19A	-1.1655
PDPN	-1.02875
TMEM34	-0.0169166666666667
MGAM	5.0085
COL3A1	6.23788888888889
GFM2	-0.3428
OR5A2	0.2085
PSG9	-0.53
ARHGEF11	0.327666666666667
IVNS1ABP	-0.7925
SIGIRR	1.37475
DUSP19	-0.672
DNAJC14	0.3737
ACSS1	0.74775
IL1RAPL2	1.172
C4orf30	-0.27525
SEPT4	2.52625
LANCL3	-2.221
SPAG17	2.37716666666667
PRDX3	0.1705
HNF1A	-0.7095
P4HA2	-0.3745
RFWD3	-1.30966666666667
MOV10	0.0975
DNAJA5	0.0226428571428571
LOC729440	0.222
LOC200383	0.635875
SMC2	-1.97125
MIXL1	-1.35
TMEM9	0.0685
FAM86A	1.031
ZNF174	0.9992
MYH14	-0.90625
CCR8	-0.4145
VPS37C	0.402
GPATCH1	0.359666666666667
B3GNT8	3.3545
TBX4	-1.50125
CNR2	0.232666666666667
PCDH1	2.2085
C5orf29	4.85314285714286
OCIAD2	1.4005
PLCG2	0.326
KIAA0247	2.00525
HRH3	0.247888888888889
CAPN13	4.139375
CCR1	-0.67
MGC15523	0.488555555555556
UVRAG	-0.202333333333333
DNAJA2	-0.744
ITGA2B	-1.17883333333333
CLDN5	3.59175
PTPRN2	-0.0889285714285714
ZNF512	0.383666666666667
PSAP	0.843071428571429
CCDC140	0.301
LRRC55	0.179
CYP26C1	0.608
C8orf47	-1.1585
LYN	-0.352375
DUSP6	-0.262333333333333
TGFB3	3.15726666666667
ELK1	0.4963
PCDH11Y	-0.668166666666667
HGD	-1.95975
C17orf58	0.56725
MYO3A	-0.049
SERPINE2	-4.58383333333333
AARSD1	-0.9145
C14orf73	-1.14975
ADAM33	-0.3265
ZNF491	0.0465
MAPK6	-0.333666666666667
TCN1	0.661
SLC24A6	1.2745
UBE2R2	0.079
H1FNT	0.5095
TATDN2	0.413666666666667
LILRB1	1.35475
P2RY5	0.7015
NUCB2	0.96625
C2orf37	-0.49175
SNX27	-0.1795
MTA3	0.66575
FOXO4	0.267375
ID4	-0.436833333333333
SOX5	-3.67633333333333
PXMP3	0.921
OR52M1	0.128
SFT2D3	0.105375
INA	-2.728
MCOLN1	1.1285
NFIX	-1.0047
CLEC14A	5.78833333333333
HIBCH	-0.9005
PLA2G5	1.164
TIMM10	-1.36433333333333
MED17	-0.0662
COL4A4	-0.487
TPP1	0.574166666666667
GJA3	-0.988833333333333
TMPRSS5	-1.83325
AADACL3	0.773
DNMBP	0.6325
ENPP5	3.3925
NQO1	-2.3996
ZSCAN2	0.407375
SEC24C	-0.4095
GTF2A1L	-1.932
AXIN2	0.1229
FAM33A	-1.60925
C16orf13	-0.4715
SPNS2	0.92425
TAF1	0.3735
AP1G2	0.307333333333333
RBM42	0.177333333333333
HCN2	0.229833333333333
EFHB	-1.04216666666667
RUSC1	-0.363666666666667
GRIK5	0.5585
USP21	-0.444166666666667
ATAD3C	0.524
ORMDL2	0.330375
PRSS7	-3.705
PSAT1	-4.1505
FLJ13195	0.00516666666666667
TBC1D1	0.491
IFNG	1.28533333333333
OTOS	0.783666666666667
ZNF773	-0.524
EMD	0.57125
RETN	0.52225
CCL8	4.459
APH1A	-0.155125
COX18	-0.58375
GTF2IRD2	0.35325
CCDC82	-1.91891666666667
PAFAH2	0.4543
NPEPL1	-0.2961
RP11-114G1.1	0.216
TP53INP1	1.52525
ZNF300	-1.99216666666667
FOXL2	-2.64925
LARP2	-0.283833333333333
LATS1	-0.38475
HTR6	-0.779
SPOCK2	-0.641
RNF144B	3.51883333333333
HTATIP2	0.585375
MGC10334	0.460166666666667
CENTA2	2.326
FGF2	-2.5185
FXYD7	0.4345
PHYHIPL	-2.85375
GPR34	5.679
DDX6	-0.610166666666667
OR10W1	0.094
LHFPL1	-0.198
ZNF313	-0.731
VPS28	0.256
AP3M1	0.4864
AKR1CL2	0.52475
TRAF4	0.505625
OR2B11	0.342
C19orf12	0.759833333333333
AKAP9	1.10483333333333
C1orf62	-0.150666666666667
SLC20A1	-0.948
FAM112A	-1.36433333333333
LDB2	1.117125
MRPS23	-0.3865
KLK5	-0.51875
SPTB	-1.0313
EFEMP2	0.56925
EFNB2	1.042875
PCM1	-0.736785714285714
NMNAT3	3.00125
TSG101	0.855666666666667
C8orf40	1.34316666666667
NOB1	-1.891
ABHD3	-1.5355
GTF3C4	-1.260125
PIGN	1.0685
GALNTL1	0.473
AEBP1	2.13975
OR9Q1	0.3405
ANKRD2	0.056875
CCL28	-3.236
TRIM38	0.798833333333333
TMCC1	0.2195
SMG5	0.3905
LRRC7	-0.151
NCAPD2	-1.42633333333333
C6orf153	-0.68625
C1orf74	-0.414
OTUD6A	0.8075
DCP2	-0.298166666666667
TMEM24	-0.24275
RPL18	-0.250166666666667
TMEM177	-0.678
LRRC37A3	0.5815
C1D	-0.0795
LDHC	-2.26275
UBE4B	0.598666666666667
NIT1	0.5265
BTN3A3	0.2365
RASD1	1.1335
COMMD3	0.13875
SHFM1	0.274
BIRC8	0.274
DUT	-0.1375
C12orf51	-0.0045
LRRC59	-0.365666666666667
LY6H	-0.1435
WDR22	0.141
EDEM1	0.155785714285714
ADH1A	3.937
PANX2	0.8179
CYP11B1	0.218
CDC73	-1.22
GPR172A	-0.22775
GSTM3	0.883
KCNA5	-0.790125
SERAC1	0.959166666666667
NFATC2	1.17
ANAPC5	-0.1876
C15orf24	0.99675
NFATC2IP	-0.336666666666667
TNRC6C	-0.004
MGC102966	-3.39425
FGD5	1.09166666666667
MED9	-0.36225
RAB13	0.2615
C15orf49	0.493
CRYGS	-0.3711
C12orf53	-0.8251
LOC283693	-0.688
COX6B2	0.751375
PHF14	0.076625
FAM3A	0.295375
RPL13	-1.1217
PRDX2	-0.0951
FLJ34047	-2.51825
PRMT3	-1.0415
KCTD19	-2.3345
TRIM10	-0.6112
MGC26597	0.3375
GCNT4	1.45725
GPRASP1	1.0455
CDKN1C	-1.32008333333333
RHBDL2	2.1413
HSPH1	0.56575
AQP1	3.05575
COL17A1	-2.6979
GFAP	0.181857142857143
CDC16	0.23925
KIAA1614	-0.08
C6orf118	-0.9016
ZSWIM5	0.329
FAM83F	3.8335
LYNX1	0.603875
SYNPR	-0.582
XG	3.48316666666667
PRSS16	1.72925
KIF13B	0.304214285714286
PCDH9	-0.478125
HIST1H2AH	1.36283333333333
RBM18	-0.74575
ZNF626	0.0915
HEXIM2	0.111166666666667
ITFG1	-0.488
TUBG2	-0.983
SFRS7	-0.0109166666666666
C9orf14	1.178
EXTL1	-1.41175
GBP3	2.78033333333333
WDR5	-1.44075
RARG	1.31416666666667
MYO7A	-0.53
CECR6	-0.0355
C13orf3	-1.243875
SFRS18	-1.241875
ACVR1B	1.0405
PSMD1	-0.3297
C7orf31	0.497
ILVBL	-0.386
IFNGR1	0.827
RNF186	-0.14025
NOL9	-1.11275
MAGEL2	1.49025
SLC29A2	-0.34075
NHSL1	-1.72575
RBMX	-0.8
PSORS1C2	0.4955
RAD51L3	0.393416666666667
LCN6	1.169
ORAI2	-0.099125
BRUNOL6	0.5648
OR4K5	-0.2925
CDC123	-0.501125
MSLN	-2.45683333333333
WWTR1	-1.41016666666667
ZNF700	-0.956833333333333
COBL	-0.5275
PPP1R16B	0.20375
GAS7	0.238
MDN1	-0.863375
HAAO	0.073
C9orf68	1.3585
TNFAIP2	1.5035
FOXN1	0.8435
hCG_2033311	0.592333333333333
ATP6V0D2	2.6612
RPL41	0.9455
SLC38A1	0.79825
ARHGAP6	-1.46291666666667
ADAD2	-0.63625
PHF20L1	0.3855625
MCM3AP	-0.100333333333333
ST3GAL3	-0.375333333333333
SNX1	1.12116666666667
ELF5	-1.6655
PARP3	0.513625
RBM8A	-0.5265625
LINGO4	-0.4475
ITGA9	0.0591666666666667
ZFR	0.021
ACSL6	0.62075
FLJ20699	0.6364
DAOA	-0.3405
FABP4	7.23575
KCNB1	-1.273
CANX	0.3347
SLC25A28	0.0733333333333333
ADIPOR2	0.2115
ECHDC2	2.449875
SMA4	2.95075
FRZB	2.905625
PABPC1	0.498666666666667
DMRTB1	-0.109571428571429
APOBEC3G	-0.2645
CATSPER2	-0.914
CUEDC1	0.506833333333333
STARD9	-1.3815
CLDN8	4.31657142857143
LOC23117	-1.24095454545455
E2F6	-0.0347777777777778
TMEM126B	-1.3785
DPY19L4	0.64575
GIMAP5	2.53833333333333
NDUFA9	-0.583666666666667
FAM77C	3.7895
CTPS2	0.39125
LOC51035	-0.608375
WDSOF1	-0.62525
EGLN3	-0.519125
PITX3	0.989333333333333
OR52E8	-0.7715
GRM4	0.00499999999999998
KLK1	-3.0485
GPM6B	-0.73575
RRAGD	-0.101
PAGE5	-3.30225
UCHL5	-2.53666666666667
ULK3	0.152
AIM2	-0.383
PNO1	-1.61733333333333
OR2F2	-0.4365
GNAT2	-0.8565
SIX1	1.80575
ST13	0.40325
ZBTB44	-0.015125
TIMP2	-0.17575
ZMAT4	-2.95175
GTF2IRD1	0.362333333333333
ZNF19	0.037
ZNF714	-1.18425
RSC1A1	0.1915
C9orf80	-0.04075
PSMA8	0.2798
TMEM141	0.29725
COX4I1	-0.648428571428571
CTAGE1	-0.252
DTWD1	-0.37825
HSD11B1	3.0285
KRT6B	-2.166625
ARID4B	0.818375
LHFPL3	0.505333333333333
WWP2	-0.219833333333333
ZNF326	0.262833333333333
RGPD1	-1.086
CTSH	-0.314333333333333
FASTKD1	-0.18025
PAF1	0.2132
TTC9C	-0.86125
IFT57	1.2532
PRSS36	0.00749999999999999
IL20RB	-2.965
ZNF592	0.498
DCTD	0.0631
CFP	1.6425
MFNG	-0.666875
JMJD2B	1.30275
ALDH3B1	-1.02075
THSD4	3.82066666666667
KCNJ5	3.02616666666667
LMNA	-0.730333333333333
TBCD	0.32975
ZNF250	0.04
CASQ2	1.431
PEG10	-2.9315
PRAME	-5.2938
NP	0.6115
TRIM59	-0.5455
ZNF12	0.46125
XTP3TPA	0.1605
SIGLEC7	-0.3144
PANK4	-0.46425
FAM70A	-2.31466666666667
SNED1	-0.3605
HIP1	0.5473
RAET1E	-2.13616666666667
AMAC1L2	-0.6765
AHNAK2	-1.18833333333333
TOE1	-0.887166666666667
RECQL4	-1.646
SPRYD3	1.29475
DPAGT1	-0.9385
MAGED2	3.8241
ANKRD55	3.768
TRPS1	4.31375
