Hybridization REF	TCGA-AN-A0AL-01A-11R-A00Z-07
CHPF	1.82383333333333
CSNK2A1	-0.0856666666666667
SUMO1P1	0.153
FKBP6	-0.699
ZNF214	-1.44583333333333
TWIST1	0.943833333333333
DDX56	-0.81
TRAM1L1	-0.3595
EPO	-2.85566666666667
MRPS18B	-1.1015
ZNF682	0.101666666666667
RPL14	-1.357
MAFF	0.7865
LOC51136	-0.79425
LY96	1.21475
DDX20	-0.64325
ABTB1	0.146
ARL5A	0.3005
CCT6A	-0.73125
HEPACAM	-1.1272
EHHADH	-0.266333333333333
RBAK	0.8735
CGB1	2.64275
ITGB5	0.7102
YIPF3	0.185
FKBP2	1.0835
NR1D1	-0.4589
TMEM110	0.1905
NEK2	-1.7205
PRAMEF8	-3.07975
C20orf52	-0.180666666666667
PCDHGA3	1.1165
VWA3B	0.2325
NDUFA5	-0.376625
THAP9	-0.39175
FLVCR2	-0.168333333333333
AP1S1	-2.216125
SMAD6	-0.32125
SAV1	0.88775
SAT1	2.487375
ZNF251	-0.75625
ADAMTS7	1.034
RPP38	0.518
C1orf211	-1.356
YPEL2	0.4013
RBMS1	0.31575
ZNF445	-0.654666666666667
NRXN2	0.746
PGBD4	-0.287
UGT2B28	0.952
WBSCR16	-0.8893
NLRC3	0.501
ASTL	0.2805
ST6GALNAC1	-0.8615
ZADH2	-0.65275
MLLT4	1.44041666666667
ARL6	-0.745666666666667
MEF2C	0.93275
CBFA2T3	-2.743
AFF3	-0.216769230769231
COG7	-0.4545
MYB	-4.0675
PLXNA3	0.6275
XRCC2	-1.38066666666667
MMS19	-1.185375
ST8SIA5	-0.684571428571428
CHPT1	0.663833333333333
KIAA1712	-1.8635
OR6X1	1.211
ACTR3	0.93275
UGCG	0.557166666666667
OR4P4	0.3365
ZAP70	-2.23725
LPP	1.862875
ZNF485	-0.5015
PTPRCAP	0.63725
IL12RB1	0.572
ATRX	-0.0613
CHST8	-1.621375
C14orf109	-0.1295
ARV1	-1.06025
NMB	1.65842857142857
COX5A	0.0926666666666667
EIF6	-0.072
MPPED2	1.96733333333333
SEMG1	0.061
CHRDL1	-0.171
TRAF3IP2	0.49
WNK2	0.897375
LILRA4	2.34083333333333
LAMA2	2.5705
PXT1	0.278
RLBP1	-1.57325
CD300C	0.3025
SLTM	-0.472
FLJ10404	0.2139375
APOBEC3D	1.82116666666667
RENBP	0.528666666666667
ATXN7L1	0.421375
NID1	0.892
TUBGCP3	1.005125
ITIH5	0.567277777777778
CCDC110	1.18575
C8A	-2.9495
MGC87042	0.61475
HOXC13	0.812
TFDP2	-1.24825
HCP5	1.783875
POLI	-1.31925
UCN	-1.80166666666667
ZNF764	-0.321
C8orf45	-0.217
FHL3	0.03225
SPATA5L1	-0.443
MMRN2	3.4315
NDST1	0.584
COL20A1	0.0543333333333333
ZNF248	-1.14966666666667
PELP1	-0.6225
MBL2	-2.5515
RNF41	-0.293875
C5orf24	0.618875
THOC5	-0.08375
SERINC3	0.11325
RP11-151A6.2	1.22
CDCP2	1.62175
HIST1H2AA	0.617
C11orf75	1.9615
FKBP7	0.826
DDOST	0.45725
GPNMB	0.2135
TTF2	-0.5425
KCNT1	0.257833333333333
SLC39A14	-0.68925
NGRN	0.3002
GPR137B	0.6435
MECP2	0.16675
PSMA1	-0.65775
C16orf73	-5.018
TMEM60	-0.753166666666667
CSN3	0.7495
NOS1	0.527833333333333
RAB7L1	0.405166666666667
YBX2	-0.325
KIAA1166	-0.739125
FUBP3	-0.55
ABCG1	1.5615
ACACA	-0.914583333333333
ARL11	0.6033
ATOH1	-0.536
ODF1	0.427833333333333
CREB3L3	-1.36216666666667
TMEM127	1.80785714285714
DSCAML1	-0.87525
PLN	2.007
LYPLA1	-0.271916666666667
PRDM9	-0.81925
SASP	-0.9215
PLUNC	4.29316666666667
INTU	-1.76125
HISPPD1	-1.4195
LNPEP	-0.0761666666666667
YARS2	-1.0948
APCDD1L	-0.9075
ZCCHC4	-0.2395
FBXO22	-1.08333333333333
TTLL13	-0.283
ZNF669	0.359333333333333
PTGDR	2.95675
DDX27	-0.0605
KIAA0409	-0.911
GJB6	3.45525
ASB8	0.01725
PLP2	-0.883333333333333
MEPE	0.00524999999999998
OR10J5	-0.2105
KRT222P	0.292
COQ7	-1.24483333333333
C1orf101	0.37525
RERG	-0.7007
CHMP5	-0.4585
THAP11	0.2945
ZNF43	-0.685166666666667
ZRANB3	-1.16966666666667
KRT13	-0.52975
MRPL19	-0.456375
RBBP9	-0.51175
SPATA17	-0.923125
BXDC5	0.1435
PAFAH1B1	-0.45975
MAGEE1	-0.16475
OSTF1	0.75125
KIAA0323	-0.345166666666667
TXNDC13	1.81833333333333
CNTN4	1.449875
LCE1B	1.683
UNQ501	-1.786
ZNF154	-0.089
C3orf64	1.26
SYT5	0.425
PON1	0.2045
FLJ10357	0.0905
ATP4A	-0.872
GNPDA1	-1.4255
MGAT1	1.47483333333333
C14orf121	0.638
SLC35B2	0.9295
MIER3	-0.4585
CHEK1	-0.66475
ZNF8	-0.3605
TXNDC1	0.173333333333333
CKB	-0.4993
RTN3	0.723142857142857
FZD2	-1.0485
PART1	0.679875
PSMB6	-0.87075
PCDHB8	-0.5165
PHC3	0.2586
PPP1R8	0.248666666666667
NOVA2	2.2595
TNFRSF11B	-2.938875
GOLPH3	1.09566666666667
UBLCP1	-0.96175
SUHW3	-0.7195
TTLL1	0.321
OPN4	0.2925
OR13G1	0.9085
ZPBP2	0.167
HSD17B11	-1.652375
C9orf50	0.9655
DHDDS	0.406428571428572
CTSW	0.612111111111111
NEFM	-2.3485
MRPL28	-0.6375
SYN1	1.58216666666667
PIGV	-1.2455
ZIM2	-1.339
APBB1	-0.415166666666667
SND1	-0.3685
C1orf123	-0.397166666666667
CHD3	-0.43775
BHLHB8	0.7695
RNASE2	1.05166666666667
BCAP31	0.559375
SLC25A44	0.302166666666667
CHD6	-0.4303
PIB5PA	0.0489230769230769
SELS	2.368625
LOC541471	0.7225
FAT2	0.702
ZNF81	-0.792
OR4C16	1.4075
FLJ10081	-0.7691
LRRC4	4.02425
CS	-0.594
N4BP2	-0.557875
IGFBP7	2.10425
ZNF318	-0.0118333333333333
NDNL2	0.632625
ZNF609	-0.089875
SIRT4	-1.0945
EXOSC10	-1.4085
ECE2	0.410545454545455
OVGP1	-1.0945
GTPBP3	-1.13175
PACS2	0.2677
C19orf36	-1.43766666666667
ARL4C	0.688875
ATG4B	-0.705375
UBQLNL	-0.244
RHOXF2B	-3.5515
PLEKHG2	-0.315
GALR1	-0.0185
AQP4	0.4105
HDAC7A	0.2155
DCUN1D3	0.13725
OR8A1	0.7
CCRN4L	0.974285714285714
CBR4	-1.006
KIFC1	-2.13833333333333
SLC7A14	-0.85825
LHX5	-0.5265
TRPC7	-0.0865
LPXN	0.2725
SERPINA1	-2.1595
RPS13	-0.594
BPIL3	0.4535
PRKAA1	-0.238
FADS2	1.5213
ENAH	-0.521875
PRO1768	-1.433
APBA2BP	-1.0185
LIPH	3.37416666666667
C3orf33	-0.6635
RCC2	0.394071428571429
ALDH1A2	-3.0764
RNF103	1.47625
AHCY	-0.718125
ALG12	0.365
CCL17	2.834
ZNF543	1.2695
ESRRG	2.1275
CNGA1	0.40825
RDH5	-0.9595
OTX1	1.1622
PTGFR	-0.901666666666667
CDR2	-0.48475
SELE	5.94925
NLGN2	-1.43283333333333
EXOSC9	-1.71
ZNF566	-0.3725
KLRC2	-3.0845
GPR12	1.4825
KIAA0196	-0.59725
PDRG1	-0.7635
SSR3	-0.288285714285714
MSI1	0.189
CST9	-1.11
CC2D1A	0.67825
PLAGL1	-0.254166666666667
ZNF778	-0.546
RNF2	0.291375
KLF6	1.64233333333333
THBD	2.02833333333333
tcag7.1314	0.6775
NR5A1	0.481333333333333
ABCD2	0.933
DNAJC7	-2.3495
CLEC4C	0.3175
TM2D3	2.238375
CCDC4	-0.8485
PLAC2	-3.266
DCD	-0.4025
FAAH	0.696125
POLA1	0.311333333333333
TM7SF2	0.349375
FLJ39822	-1.05233333333333
FLOT2	-0.308875
MAP4K1	-0.002
SRP68	0.23825
C21orf74	1.0035
ARPC5	1.552375
LOC126075	-0.54025
HECW2	0.8515
ZDHHC4	0.33075
ANKRD42	0.4459
PDE9A	-0.7645
ABCA8	0.3605
NDUFS2	0.04875
UBR5	-0.41625
BTBD16	-3.35
LOC554174	0.296
ZNF20	0.316
KIAA1843	0.2735
WDR17	-1.494
C15orf33	-0.07
RNF113A	-0.57325
CAMKK1	-0.8492
CLCN2	1.37575
ANXA6	-1.998
LOC340069	0.3975
EMID1	-0.37125
DPM3	-0.628583333333333
ELA1	-0.773
SLC25A13	-0.1897
KRT24	1.03775
SMPD1	0.394666666666667
TH	0.390285714285714
COL6A2	1.43492857142857
ANKS1B	0.79075
GPR126	-0.8027
ZC3H12A	-0.113166666666667
TMEM47	1.80216666666667
C2orf51	-0.5605
C1orf88	-0.0301666666666666
HSF2BP	0.4555
AKAP10	-0.67175
RPAP3	-1.013
KLHDC8B	-0.107875
STOM	-0.3359
MUPCDH	0.229625
C10orf72	-0.398428571428571
PLEKHA3	1.54525
TCP11L1	-0.0805
CWF19L1	-0.554
SPEF1	0.541083333333333
YSK4	0.0136666666666666
ELN	0.2846
SAMD8	0.143833333333333
MPI	-1.2885
MEPCE	-0.27
ABCC3	-0.94825
NANOGP1	-4.283
KCNK17	3.346125
HLA-DMB	4.34016666666667
RRAGA	0.68575
ANGEL1	0.20525
RBM32B	0.521
CPN1	-2.53775
MGC52282	0.2319
HLA-A	2.35375
OR9G4	0.00800000000000001
EDNRB	-1.193125
SCD	-2.08142857142857
C14orf80	0.054
BAGE2	0.2555
RABL4	-0.381
RCVRN	-0.4665
SHANK1	-0.517
NLRP7	-2.567
CD226	1.39425
STAT3	0.5729375
SYNJ2	1.0879
TPCN2	0.674166666666667
WDR36	-1.39436363636364
MBD4	0.047
ROBO1	1.1866
ST3GAL6	-1.379
SLAMF8	3.1375
ATN1	0.5685
GPR141	0.66
KRT36	0.292
TPH1	0.282
DDX52	-0.3335
ZSCAN29	0.268
TRPT1	0.609166666666667
DPEP3	1.22425
DENND4A	-0.605125
TSPAN16	-0.4795
PTCHD2	0.308
LOC145814	-0.42025
CAP1	0.654166666666667
EIF5A2	-0.4133
NT5DC3	0.2595
SEPT9	0.5515
SEZ6L2	-0.161875
EGFLAM	3.77575
VPS11	0.290375
NDUFB5	0.224
CIDEA	-0.0478333333333333
IER5L	1.4165
N6AMT1	-0.0995
FAM83C	-0.04
OXR1	1.27758333333333
IRX1	1.1265
DGKB	-1.11466666666667
GCN5L2	-2.5345
MIR16	0.466
FBXW9	-0.379
WDR4	-0.990166666666667
PDC	-0.487
VPS33B	-0.518
HEXB	-0.20525
FLJ32214	1.986
TCEB3	0.12125
CRLF1	-4.51525
ABI3BP	0.67875
C8orf22	-3.98725
PYCR1	-0.443875
KIAA1706	1.74775
CDK5R2	1.365
WAS	0.6575
C12orf60	-1.0765
CCBL2	-0.433125
MADD	0.0685
C5orf34	-1.13075
WDR42A	-0.1773
KLF12	-0.238
HSPA1A	0.2235
ITM2C	-0.90675
DAPK2	1.41833333333333
LOC442590	-0.2885
SUMF2	-0.469125
CENPA	-0.293461538461538
TMED5	-0.199
CDH6	-0.1418
BRP44	1.26275
THG1L	-1.3765
GABRA2	-2.3355
C14orf166	-0.46525
MYL1	-1.62183333333333
TNFSF18	0.3835
PAP2D	-2.04816666666667
PPIB	0.90675
KLHL4	-0.276125
SFN	0.900833333333333
CCDC127	-0.074
FRAP1	-1.037
GOLGA5	0.5535
SDCCAG1	-0.06875
MGC21675	0.4755
C10orf95	-1.20925
KIAA1345	-1.088
C1orf163	-0.7115
LACE1	-0.8865
OR10K2	-0.64
CENPN	-1.32264
TMED2	0.985
UGT1A6	4.7545
ANG	-1.46225
U2AF1	-0.334833333333333
CASC2	-0.154166666666667
NMT2	-0.00250000000000001
OSGEPL1	-0.402375
DFNB31	-0.604
SLC6A20	1.704375
DKC1	-0.71075
FXYD4	-0.4155
WDR64	0.61325
MGC5590	0.691
CREBZF	0.396333333333333
DAZ1	0.527333333333333
PRPSAP1	-0.19025
GCHFR	0.023
TTC7A	0.680875
LOC196993	-0.888333333333333
UBD	2.46216666666667
S100A1	-0.734
RPL6	-0.153166666666667
DNAJB6	1.0459
NAGS	-0.4668
C2orf58	0.6815
KERA	0.634833333333333
MT1X	0.1442
UBE2B	-0.1246
KEAP1	0.2415
MST1	-3.048125
OMA1	-0.0995
ABLIM2	-0.088
BCL2L13	0.0503333333333333
JAZF1	0.458833333333333
TMEM63B	1.495
S100A8	0.9397
ARFIP2	-0.58425
UROS	0.327
KHDRBS2	-0.3375
POLQ	-1.508375
SOAT1	-1.25625
SPAG4	-1.09425
MRPS30	-1.04116666666667
LOC494141	0.01275
OR2T11	0.0495
ORAOV1	-0.2367
ZNF184	-0.911
TCEB3B	0.4564
ADAM21	-0.0385
GDPD1	-0.52675
SPINLW1	0.00366666666666669
PRR14	-0.554833333333333
KCTD9	0.6175
NUDT3	0.88725
KIAA1822	1.2351
HIST1H4K	0.609
DFNA5	-2.55875
GABPA	0.17775
C14orf44	-0.5145
POLB	0.06225
PTAR1	-0.3945
SEC31A	1.4258
TRIM58	-1.86975
TAS2R14	-0.8585
VPS8	-0.335875
H1F0	1.7965
PRKCB1	-2.0155
UGT2A1	0.628
TOR1B	-0.40075
LSS	-1.85825
C2orf19	0.036
HNRNPC	0.0421428571428571
TMEM100	-1.7185
LOC116349	-0.26875
OR51M1	0.338
CCDC142	-0.1005
ISG15	3.016375
ZCCHC14	0.15625
CREBL2	0.083375
TGDS	-1.016
DC2	0.05875
CACNA2D3	-1.829
ZNF429	-0.63625
LYPD6	-1.4035
SUCLG1	-0.0238333333333333
OR51I1	-0.342
MAGEH1	0.8265
PRPF40A	0.0405
SMR3A	2.022
SPINK2	1.36325
THAP2	0.93775
NPY5R	1.3785
IRF4	-1.558125
SPESP1	-1.11233333333333
OR10S1	0.259
DTD1	-1.13375
TUBE1	-1.73425
DDX19A	-0.715
PDPN	-0.47975
TMEM34	-0.616
MGAM	0.603
COL3A1	6.23766666666667
GFM2	-1.1964
OR5A2	-0.3435
PSG9	-0.185
ARHGEF11	-0.0358333333333333
IVNS1ABP	0.457375
SIGIRR	0.70125
DUSP19	0.058125
DNAJC14	-0.4863
ACSS1	0.662
IL1RAPL2	0.379
C4orf30	-0.04
SEPT4	2.06175
LANCL3	-2.114
SPAG17	0.2112
PRDX3	-0.371625
HNF1A	-1.10525
P4HA2	-0.2425
RFWD3	-0.9715
MOV10	-0.15725
DNAJA5	0.410142857142857
LOC729440	0.11
LOC200383	0.3025
SMC2	-0.258
MIXL1	-0.762166666666667
TMEM9	0.74675
FAM86A	0.438
ZNF174	-0.2728
MYH14	0.15525
CCR8	0.532
VPS37C	0.7605
GPATCH1	-0.0408333333333333
B3GNT8	2.457
TBX4	0.24075
CNR2	0.870166666666667
PCDH1	1.1795
C5orf29	2.87425
OCIAD2	1.44575
PLCG2	1.211
KIAA0247	1.82375
HRH3	0.2885
CAPN13	1.431625
CCR1	0.7718
MGC15523	0.249444444444444
UVRAG	0.117166666666667
DNAJA2	-0.0186666666666667
ITGA2B	-1.00266666666667
CLDN5	3.897375
PTPRN2	-1.89621428571429
ZNF512	-1.52516666666667
PSAP	0.525357142857143
CCDC140	-0.599
LRRC55	-0.378
CYP26C1	0.3005
C8orf47	4.4825
LYN	1.994
DUSP6	0.968666666666667
TGFB3	3.131
ELK1	-0.2706
PCDH11Y	-0.1125
HGD	-2.15325
C17orf58	-1.382
MYO3A	0.7075
SERPINE2	-4.0155
AARSD1	-1.2895
C14orf73	-0.803
ADAM33	0.033
ZNF491	0.2615
MAPK6	-0.340833333333333
TCN1	6.78116666666667
SLC24A6	1.2785
UBE2R2	0.1595
H1FNT	0.82325
TATDN2	-0.214166666666667
LILRB1	2.014
P2RY5	0.9785
NUCB2	0.9445
C2orf37	0.62125
SNX27	0.281666666666667
MTA3	-0.830125
FOXO4	-0.38625
ID4	1.1655
SOX5	-0.105333333333333
PXMP3	-0.083125
OR52M1	0.662
SFT2D3	0.093125
INA	-3.15966666666667
MCOLN1	-0.247
NFIX	1.6712
CLEC14A	5.80183333333333
HIBCH	0.631666666666667
PLA2G5	1.5165
TIMM10	-0.804333333333333
MED17	0.1767
COL4A4	1.266
TPP1	-0.144666666666667
GJA3	-2.11833333333333
TMPRSS5	3.67825
AADACL3	0.505
DNMBP	-1.269
ENPP5	2.158
NQO1	-0.5747
ZSCAN2	0.11925
SEC24C	-0.607333333333333
GTF2A1L	1.625
AXIN2	0.5329
FAM33A	-1.37341666666667
C16orf13	0.050875
SPNS2	2.806
TAF1	-0.148333333333333
AP1G2	-0.6865
RBM42	0.386
HCN2	1.63116666666667
EFHB	-0.137166666666667
RUSC1	-0.0755
GRIK5	0.157
USP21	-0.656666666666667
ATAD3C	1.71175
ORMDL2	-0.301125
PRSS7	-3.19575
PSAT1	-0.47575
FLJ13195	-1.558
TBC1D1	0.965833333333333
IFNG	0.97725
OTOS	0.972333333333333
ZNF773	0.678333333333333
EMD	-1.64775
RETN	1.902
CCL8	4.3565
APH1A	-0.48175
COX18	0.428625
GTF2IRD2	1.08975
CCDC82	0.113416666666667
PAFAH2	-0.2673
NPEPL1	-1.297
RP11-114G1.1	1.0925
TP53INP1	0.0436249999999999
ZNF300	-1.494
FOXL2	-3.12
LARP2	0.290833333333333
LATS1	0.0975
HTR6	0.244
SPOCK2	1.42583333333333
RNF144B	3.152
HTATIP2	0.7325
MGC10334	0.774333333333333
CENTA2	2.57366666666667
FGF2	-1.74875
FXYD7	-0.03475
PHYHIPL	-1.5525
GPR34	4.533
DDX6	1.068
OR10W1	0.4125
LHFPL1	-0.5505
ZNF313	-0.5305
VPS28	0.375
AP3M1	-0.8308
AKR1CL2	1.65325
TRAF4	-0.849125
OR2B11	0.6945
C19orf12	0.429
AKAP9	-0.634166666666667
C1orf62	-0.1565
SLC20A1	-1.3432
FAM112A	-0.028
LDB2	1.207125
MRPS23	-1.82625
KLK5	1.698875
SPTB	-0.393
EFEMP2	1.24825
EFNB2	2.458125
PCM1	-0.517642857142857
NMNAT3	0.922625
TSG101	0.419833333333333
C8orf40	0.367666666666667
NOB1	-0.91075
ABHD3	-0.22925
GTF3C4	-0.814125
PIGN	-0.661166666666667
GALNTL1	1.6045
AEBP1	2.3085
OR9Q1	0.4615
ANKRD2	-0.12025
CCL28	-1.968
TRIM38	-0.497166666666667
TMCC1	-0.290666666666667
SMG5	0.23575
LRRC7	-0.1355
NCAPD2	-1.15483333333333
C6orf153	0.01875
C1orf74	0.19525
OTUD6A	0.8385
DCP2	-0.761333333333333
TMEM24	0.75775
RPL18	-0.9115
TMEM177	-0.35275
LRRC37A3	-0.946
C1D	-1.00366666666667
LDHC	0.799
UBE4B	-0.765
NIT1	0.44325
BTN3A3	0.675875
RASD1	3.02375
COMMD3	-0.26875
SHFM1	0.6735
BIRC8	1.52325
DUT	-0.231
C12orf51	1.4025
LRRC59	-0.1185
LY6H	0.87575
WDR22	0.731166666666667
EDEM1	0.402214285714286
ADH1A	1.149
PANX2	0.0441
CYP11B1	0.6125
CDC73	0.262
GPR172A	1.12175
GSTM3	-1.34453846153846
KCNA5	-0.11575
SERAC1	-0.150166666666667
NFATC2	0.653
ANAPC5	-0.466
C15orf24	0.40075
NFATC2IP	-1.15208333333333
TNRC6C	0.196166666666667
MGC102966	1.37625
FGD5	0.961166666666667
MED9	-0.3565
RAB13	0.102833333333333
C15orf49	0.515
CRYGS	-0.9456
C12orf53	-0.973
LOC283693	-1.442
COX6B2	0.26375
PHF14	-0.0300000000000001
FAM3A	-0.01175
RPL13	-1.2074
PRDX2	-0.234
FLJ34047	-2.05525
PRMT3	-0.55875
KCTD19	-1.328
TRIM10	-0.540833333333333
MGC26597	-1.09016666666667
GCNT4	0.42225
GPRASP1	-0.43325
CDKN1C	-0.553083333333333
RHBDL2	3.8259
HSPH1	0.50425
AQP1	3.266375
COL17A1	-1.6467
GFAP	0.085125
CDC16	-0.4415
KIAA1614	1.1665
C6orf118	-0.9438
ZSWIM5	-1.80675
FAM83F	5.1605
LYNX1	1.5914375
SYNPR	4.6135
XG	3.03483333333333
PRSS16	0.997
KIF13B	1.20514285714286
PCDH9	-1.84042857142857
HIST1H2AH	0.530833333333333
RBM18	-0.54125
ZNF626	-0.283875
HEXIM2	-0.911166666666667
ITFG1	-0.258
TUBG2	-1.0285
SFRS7	-0.3605
C9orf14	0.2065
EXTL1	-1.94275
GBP3	-1.41116666666667
WDR5	-0.776
RARG	0.307666666666667
MYO7A	-0.04025
CECR6	-0.2035
C13orf3	-0.072875
SFRS18	-1.221625
ACVR1B	0.7616
PSMD1	0.1336
C7orf31	0.559833333333333
ILVBL	-0.775
IFNGR1	0.93775
RNF186	3.67025
NOL9	-0.48225
MAGEL2	0.63275
SLC29A2	-0.088
NHSL1	-1.20275
RBMX	-0.972
PSORS1C2	0.6015
RAD51L3	-0.487333333333333
LCN6	1.317
ORAI2	-0.43625
BRUNOL6	-0.0239
OR4K5	0.385
CDC123	-0.462875
MSLN	-1.20183333333333
WWTR1	1.99166666666667
ZNF700	-1.03066666666667
COBL	-0.061
PPP1R16B	0.3175
GAS7	-0.6544
MDN1	-1.88825
HAAO	0.76
C9orf68	-0.51575
TNFAIP2	3.094625
FOXN1	0.126
hCG_2033311	-0.319833333333333
ATP6V0D2	1.0608
RPL41	-0.687875
SLC38A1	-0.81025
ARHGAP6	-0.707083333333333
ADAD2	0.2075
PHF20L1	-0.0103125
MCM3AP	-0.191333333333333
ST3GAL3	-0.590166666666667
SNX1	-0.00266666666666666
ELF5	6.34575
PARP3	-0.679375
RBM8A	-0.412
LINGO4	0.5965
ITGA9	0.725666666666667
ZFR	0.581
ACSL6	1.375
FLJ20699	1.6248
DAOA	-0.126666666666667
FABP4	3.04525
KCNB1	-1.32375
CANX	-0.3596
SLC25A28	-0.1235
ADIPOR2	0.991875
ECHDC2	1.493
SMA4	-1.1615
FRZB	2.366625
PABPC1	0.655833333333333
DMRTB1	-0.250625
APOBEC3G	-0.0775
CATSPER2	-2.4985
CUEDC1	1.44183333333333
STARD9	-1.69575
CLDN8	5.32475
LOC23117	-1.63645454545455
E2F6	-1.00044444444444
TMEM126B	-0.762833333333333
DPY19L4	-0.089
GIMAP5	3.40733333333333
NDUFA9	-0.0925
FAM77C	-1.768
CTPS2	1.009
LOC51035	-0.339625
WDSOF1	-0.55325
EGLN3	1.82975
PITX3	1.77433333333333
OR52E8	1.8235
GRM4	0.0385
KLK1	-2.3225
GPM6B	0.90525
RRAGD	0.270333333333333
PAGE5	4.181
UCHL5	-0.345833333333333
ULK3	-0.841666666666667
AIM2	2.11366666666667
PNO1	-0.722833333333333
OR2F2	0.331
GNAT2	-0.777
SIX1	3.14675
ST13	0.472166666666667
ZBTB44	0.5725
TIMP2	1.03725
ZMAT4	-4.74133333333333
GTF2IRD1	-0.839166666666667
ZNF19	-0.51
ZNF714	-0.85225
RSC1A1	-0.35875
C9orf80	-0.11225
PSMA8	1.59383333333333
TMEM141	-0.18425
COX4I1	-0.315642857142857
CTAGE1	1.17483333333333
DTWD1	-1.0545
HSD11B1	1.5325
KRT6B	5.750625
ARID4B	-0.024875
LHFPL3	0.60575
WWP2	1.02291666666667
ZNF326	-0.164
RGPD1	-1.0665
CTSH	2.5565
FASTKD1	-1.233875
PAF1	0.3332
TTC9C	0.40825
IFT57	1.0904
PRSS36	-0.1495
IL20RB	-0.4205
ZNF592	0.732833333333333
DCTD	-0.9097
CFP	1.73475
MFNG	0.009375
JMJD2B	-0.45025
ALDH3B1	-0.66575
THSD4	0.373833333333333
KCNJ5	1.17916666666667
LMNA	0.337166666666667
TBCD	0.457
ZNF250	-0.440333333333333
CASQ2	0.2016
PEG10	-2.18275
PRAME	-4.93213333333333
NP	0.251125
TRIM59	0.252333333333333
ZNF12	0.670125
XTP3TPA	-0.88825
SIGLEC7	-0.0999
PANK4	-0.63925
FAM70A	-1.95666666666667
SNED1	-0.089
HIP1	0.3708
RAET1E	-0.8692
AMAC1L2	-0.332
AHNAK2	-1.08883333333333
TOE1	-0.642666666666667
RECQL4	-0.164
SPRYD3	0.7425
DPAGT1	0.27925
MAGED2	0.1144
ANKRD55	-0.04275
TRPS1	1.1175
DOK7	-1.46375
TFPI2	-7.28475
GTF2H3	-0.690833333333333
CYP4F11	-0.915625
LHX2	-1.37633333333333
ATG16L1	-0.0446666666666667
ASB12	0.383
C1orf116	2.60625
NF2	0.4708
POM121	-0.8535
PHYHD1	-0.0967
TXNDC17	-0.264333333333333
DKFZp779O175	-0.544
NUP62	0.245428571428571
MYO18B	0.445666666666667
PRAMEF1	-0.0655
TCBA1	0.604
TMEM168	1.09775
FJX1	0.973666666666667
CLCF1	-0.21675
SEPN1	0.797375
IGSF2	1.14
NUDCD1	-0.444166666666667
TFF3	-1.763
NDFIP1	0.132642857142857
CHCHD4	-1.3285
TNR	0.214
CUTA	-0.627666666666667
USP44	-4.147
DPP10	-0.4645
IWS1	-0.2225
PCGF1	-0.17575
SULT1C4	-0.2865
NTF5	-2.28666666666667
PTPN13	-0.56325
SSTR5	0.1595
SFRP1	1.83125
IDH3B	-0.8035
SUOX	-0.472333333333333
TMCO5	0.7405
GOLT1B	-0.98875
MIB1	0.364285714285714
PCDHGB1	1.109
SUSD1	0.46875
ICAM5	-2.65316666666667
PAPOLB	0.10825
URM1	-0.4344
TMEM106B	1.31933333333333
LRIG2	-1.247
SLC27A5	-1.89025
CLIC6	0.804
ZNF420	0.666
SCN9A	-2.08388888888889
KIAA1909	0.445
ELMOD1	-1.61433333333333
PRKAG1	-1.37225
FAM64A	-1.416
EEF1G	-0.7366
SMAD5	0.92575
INCENP	-1.1445
WASF2	-1.4755
GARS	0.3561
CDK10	-0.4564
HLX	1.0645
MDM4	-0.7115
ZNRF1	-1.17778571428571
HHATL	-1.63566666666667
FAM21C	1.1873
HIST2H3C	0.0375
PFDN2	0.745625
ZNF200	-1.119
NDN	-0.3395
HBA2	-1.44216666666667
FBLN5	1.959625
PUM1	0.389714285714286
TNNT1	-3.89966666666667
C19orf59	1.5495
HNRPH2	0.1725
RAB7A	1.04983333333333
PMS2	-0.20475
BIRC3	2.74966666666667
NRSN2	0.9105
OR52K2	0.1965
SPOCK1	-0.1065
H2AFY	0.66275
RXRB	-1.06575
ZNF638	-0.605333333333333
ANKRD45	1.60025
ACTN4	0.7045
FXC1	-0.20275
EIF2B5	0.13
VPS33A	-0.7225
PINK1	0.246125
FAM106A	-0.249
SKIP	0.6541875
GAPDHS	-0.00950000000000006
MUM1L1	0.0845
PSTPIP1	0.64975
CNTNAP1	-1.6062
CYP26A1	-3.622
APOL2	0.3657
TACC2	0.79
COX7A2L	-0.144214285714286
HSD17B1	0.1938125
ARRB2	0.20875
SLC7A6	-0.7588
HSD17B10	-0.421
RBJ	-0.279
NUP155	-1.04375
MRPL10	-1.25133333333333
CYCS	-0.692416666666667
CCDC46	-0.240166666666667
TECTA	-0.624
GNAL	-0.72125
LPO	-0.1515
PEBP4	0.24625
DDX11	-1.40475
C18orf12	1.155
TAF9B	-0.525333333333333
IMP4	0.5225
RPA4	0.794333333333333
NDUFS1	0.607
UPK1A	-0.7325
ARRDC2	1.21833333333333
C18orf20	-0.365
AES	-0.0811428571428572
CD2BP2	-0.531333333333333
C16orf54	0.4115
UGT2B17	-0.823375
FGFR1	-1.22422727272727
CEACAM6	3.2869
CHRM5	0.39075
CERK	-0.814625
AP3S2	0.492928571428571
ANKS4B	-1.66675
CLCNKA	0.218
ZNF208	-0.739833333333333
HLA-DRB5	4.877
CARKL	-0.82925
GOT1	-0.0781666666666667
