Hybridization REF	TCGA-BH-A0EA-01A-11R-A115-07
NTN4	2.968375
LOC151300	-0.734
CLEC2A	-2.027
GPR135	0.537375
DPYSL4	-3.2169
JAK2	0.0333333333333333
TSHZ1	1.24133333333333
TM9SF4	-0.710375
ZNF264	1.41433333333333
SIRPG	0.99675
BICD1	-0.313
HERC6	0.0501666666666667
METTL5	-0.7935
CASP1	0.45025
PRRT1	0.304
PLA2G4C	3.12566666666667
ICA1L	0.247357142857143
TPTE2	-0.1975
OTUD7A	2.154
AQP11	-0.10775
APOA2	-3.9974
KALRN	0.0683
SECTM1	0.1255
IFNAR1	-0.3825
TALDO1	-0.424375
RAB11FIP4	0.547916666666667
EIF5A	-0.9015
FAM49A	1.92975
NEGR1	1.07266666666667
YTHDC2	-0.070375
EHD2	0.994875
NCF1	1.9055
SCRT2	1.68
HOXA5	1.093
NUP133	0.74375
FGF12	-0.7058125
SLMO2	-1.0695
SNTA1	0.0935
CACNG2	0.0558571428571429
GCM1	0.2965
ELF1	0.945
TLR5	3.695
TCFL5	-0.759916666666667
RBMY2FP	-1.1815
LOC100125556	0.671
FAM129B	1.069
MAP3K7IP1	0.175
NCK2	-0.275
OXA1L	-1.0075
FMO9P	0.222
ZSCAN12	0.2185
PSMD12	-1.07858333333333
HSCB	0.32825
CLDN10	-3.07725
MGC13053	-0.927
HPCAL4	-0.00883333333333332
ASZ1	-0.5215
MEX3D	0.33725
NFAT5	0.2092
CSPG4LYP1	-0.3495
FBXO3	0.1229
DVL1	-0.395333333333333
CMKLR1	2.92416666666667
TYMS	-4.7145
PEF1	0.11925
ZNF750	2.26666666666667
MCM5	-1.498
MEGF11	1.40925
KCNK7	-0.2075
PTP4A3	-0.254
C1QTNF2	0.212666666666667
OR6S1	0.348
FAM122B	-0.983
ZNF551	-0.297875
HBQ1	-2.213
GEMIN6	-0.432
ARSK	-0.4465
RBP7	3.70883333333333
CPNE9	0.36375
DSC1	2.1845
LOC730112	0.196
MAP2K4	0.862625
HS3ST5	-2.57
EPB41L3	-0.92
TEKT2	2.33125
CDKN2B	0.576
ZNF480	-1.2865
MAP3K6	0.7104
MAP6	3.48166666666667
HN1	-1.223
OR2L13	0.664666666666667
SLC16A11	1.20625
FAM96A	-0.89125
APOL1	-0.02275
C5orf32	-0.2075
RTP1	-0.504333333333333
RNF175	1.189125
ZBTB41	1.952875
AHCTF1	0.8457
SAE2	-1.5443
ITGA2	2.29041666666667
MME	2.01483333333333
CCDC14	-1.927
MAST4	1.13078571428571
KRT33B	-0.848
KCTD2	-0.1915
WDR26	0.465333333333333
MFI2	-1.14075
NR4A3	1.3355
ARSA	1.2945
UNKL	0.320833333333333
SULT6B1	-0.104
CCNA2	-4.4985
SOX15	-0.5785
PPAPDC1B	0.669916666666667
C19orf44	0.464
MCAT	0.926916666666667
ARID1B	0.339
OR52N1	0.6645
C12orf48	-3.13225
MAGI1	0.854
NIPA2	-1.27
GBX2	-2.074
RSHL3	1.78575
RAVER1	0.542166666666667
C15orf17	-0.293
SLC30A2	1.80525
ZNF518	0.418
PCYT1B	-0.49075
C10orf114	-0.326
EIF3H	-0.154416666666667
SLC25A39	-0.423333333333333
KIF1B	0.175
AMOTL2	1.1895
C6orf120	0.49325
PSRC1	-2.0005
PLA2G10	1.06425
KIF5C	2.145875
MRPL37	-1.198
C17orf62	-0.197333333333333
C9orf135	-1.56283333333333
DUSP10	0.5029
CLCNKB	0.337
PSMA5	-1.1275
C8orf53	0.649
AMPD3	0.9405
PIAS1	0.0745
ADCYAP1R1	0.37
GYLTL1B	1.5355
CDH20	1.03083333333333
FBXO7	0.33725
TMEM134	0.0981666666666667
FLJ14213	0.740666666666667
ZNF3	0.246
LRRFIP1	0.143083333333333
CNOT2	0.0895
ABI3	2.76775
ALDH5A1	-0.811583333333333
HNT	3.116
SERPINA4	-3.15025
TK2	0.754583333333333
STMN1	-2.80111111111111
GUCA2A	0.00683333333333334
GALNT10	1.08321428571429
DPP6	-0.9211
C9orf93	0.38825
PRELID2	-0.3305
STK39	1.182625
SFTPA1	-1.9065
CKS2	-2.64755555555556
RHO	0.04775
C20orf135	-0.28
XKR3	-2.943
CR1	0.868625
RPS6KA2	1.83307142857143
C20orf112	0.2605
MRPL22	-0.85
C4orf23	0.1845
GADD45B	1.2875
KLHDC1	2.203
C2orf48	-2.3435
ZNF287	2.053
DAAM2	0.09975
DPPA2	-3.68
TCTN3	0.669333333333333
DNAJB11	-1.798
FPR1	3.6405
DEFB4	0.0035
PTCD2	-0.8025
SMOC2	5.035
CABP7	2.18675
SERPINB11	0.401333333333333
MAGEF1	0.5015
NDE1	0.464333333333333
ITGA10	0.173
FSHB	-0.0855
ANXA2	0.09775
HORMAD2	0.33475
HLCS	-0.041
MCF2L	1.15383333333333
FH	-0.529875
TBC1D24	0.63375
KIAA1505	2.28525
LGALS2	0.0295
CNBD1	0.084
SYNPO2L	0.8575
PTPN23	0.531142857142857
C1orf183	-0.482333333333333
MAGEA8	-3.7655
DGCR8	-1.151125
GSR	-1.12725
PAQR7	0.25975
ZNF676	0.20425
CACNA1C	0.3885
SP7	0.0545
PDCD6	-0.58375
NRN1L	-1.1315
BRI3BP	-0.878416666666667
KIAA1183	1.5755
ASB4	-0.19975
CCL23	2.4705
OBSL1	-0.926875
SLC12A7	0.23725
KIAA0240	1.38025
CD1B	-2.67666666666667
FCGR2A	1.169
MDC1	-1.54175
HTR1A	0.874833333333333
OCEL1	0.059
ATP11B	-0.967
FBXO34	0.358
PCDH12	3.59066666666667
RPE	-1.42975
C17orf74	-0.3285
CSDC2	1.63533333333333
PET112L	-0.38925
TMBIM1	0.55725
P2RXL1	-0.67825
TCHP	-1.544
TRMT1	-1.10966666666667
F2RL2	-0.232916666666667
LRRC32	3.02983333333333
IMPG2	-0.012
BGLAP	0.097
LOC493869	-0.917666666666667
MRAS	2.66
SLC35F5	0.27575
CBWD1	0.229
AXL	-1.727125
ATP2C2	2.32375
TELO2	-0.16575
PNPLA3	-3.05825
PCDHB14	0.73675
CD276	0.013
KRT80	-1.71675
DUSP28	-0.118
CSNK1E	0.10825
SRP14	0.624
KCNQ4	-0.0805
KRT72	-0.1015
CCDC117	-0.433125
C6orf89	-0.102888888888889
TUBB2B	-2.3785
RTN4IP1	-1.69575
CR1L	-3.37116666666667
CEND1	0.249875
C12orf41	-1.06133333333333
RNF31	0.05925
UBN1	0.789
C17orf32	-0.145
SLC5A7	0.57225
GPR92	0.5425
ESAM	2.6605
CTNNA1	-0.018
HRBL	-0.0371
CBX4	0.01125
TMEM182	-0.7415
SH3TC2	0.0735
IL10	0.418333333333333
PXMP4	0.9695
RNF167	0.6248
PAK7	3.00866666666667
ETV3	-0.6235
ATPIF1	-0.774
LOC554207	-1.5605
OR8H1	-0.224
WDFY3	1.43425
DPM1	-1.3605
GPSM1	-0.1825
WDR92	-0.061
LRP1	1.13633333333333
ANKH	0.132
THUMPD3	-1.3915
POLR1B	-0.9305
OLFM4	2.466
RAD9B	0.03
TSPY2	-4.541
PAX6	-1.28066666666667
SCG2	-1.219
SLC17A6	-0.40775
FMO3	4.436375
PADI4	-0.06275
TUBB4	-0.9102
NLK	-0.80125
POU4F3	-0.952
SDF4	0.11075
ITGBL1	3.27783333333333
NETO1	-1.97225
TAP2	-0.429
ABBA-1	0.155083333333333
GNAI1	1.0505
VPS4B	0.10225
NOPE	-0.4508
GALNT6	2.75716666666667
SESN1	0.854
GBE1	-1.71011111111111
CLASP1	0.84675
RASGEF1B	0.917125
ACOT11	0.212
AFAP1	1.255
OR2H2	-0.01725
DPY19L2P1	-0.583
DZIP1	-1.53175
SEC22C	-0.130416666666667
GPR161	0.912583333333333
RNF146	0.23025
WDR74	-0.987375
GALP	-1.1785
PURA	1.7755
DNPEP	0.141416666666667
RP11-78J21.1	-1.06975
ERBB2	1.8865
FANCM	-1.01125
NEO1	0.458
DDX3Y	-5.8866
RPS3A	-0.1395
MXRA7	0.233571428571429
LGALS3	0.0195
GLT8D1	0.16675
CFL2	-0.869833333333333
UPB1	0.05975
NAP1L5	0.03375
CLDN14	-1.14875
DHX38	-1.355
BTBD1	-0.6365
TARS2	0.777
ABCF1	-0.711
FCF1	0.265
LRRC49	0.831
GUCY1B2	1.436
C1orf177	0.444166666666667
SMARCA4	-0.939357142857143
LRP8	-4.011
TAGLN3	-1.1875
MRPL14	-0.4595
TTRAP	0.1385
ZDHHC20	0.0515
NFE2L3	-0.85025
KIAA1377	1.698
PALMD	2.4843
TMEM43	0.15
TTL	-1.5845
STAT5B	-0.682833333333333
SSB	-0.99475
OR10H5	0.5955
SLC22A13	-0.8675
AKAP3	0.27725
TIMM23	-1.2835
OAS2	1.21225
KIAA0423	1.3335
TRIM11	0.700166666666667
GLIS3	3.395875
TMEM50B	0.930333333333333
ARHGEF4	0.24075
DEGS1	0.808909090909091
TBL1XR1	0.511566666666667
G6PD	-1.4015
SP140	0.3072
MUC17	0.120785714285714
NUDC	-0.9851
DNAJC5B	1.97
SCARA3	0.157333333333333
CPA3	5.05433333333333
BCAT2	0.095625
MFN1	-0.7072
NRG3	1.4475
SNX11	0.027
PLEKHH1	-1.639
GPR177	0.186166666666667
HCFC2	-0.5185
TCAP	-0.7255
MOCOS	-0.93975
C14orf93	-0.0765
PRDM10	-0.1705
SLC16A4	1.53983333333333
SRGAP1	-0.231666666666667
VIP	1.58025
DUSP27	0.5355
LILRA1	0.7986
MC2R	-0.19
MGC24103	-0.49375
MBTD1	-1.0535
FUT11	-0.810666666666667
USP33	0.1834
C15orf39	-0.47225
MAP3K12	0.4075
PAAF1	-1.23583333333333
BARHL1	0.2575
FLJ16165	-0.499
PIWIL2	-2.93225
SYNE1	1.19733333333333
CMTM4	-0.35925
TSPYL1	0.4694
GUF1	-0.7795
TMEM157	1.097
WDR44	0.51975
HIST1H3C	-0.574
DKFZp666G057	3.193
RNPEP	-0.05925
GAS2L2	1.5625
ADH4	-5.346
GRPR	1.28716666666667
FBXL17	2.4005
ZBTB10	0.4085
Gcom1	0.4075
HTRA1	1.5808
ZNF585A	0.403666666666667
SLC26A2	1.48378571428571
OTOP3	0.139
WISP1	2.75522222222222
ATP2B4	0.552666666666667
FLJ10769	0.47425
CRAMP1L	-0.103375
CHST12	0
RAB22A	0.250666666666667
TARDBP	-0.798714285714286
STAU1	-0.3145
CRB3	1.55066666666667
MIG7	0.4625
CHMP1A	-0.791333333333333
ZNF160	0.258875
B3GALT6	-0.145875
BARX1	-2.84633333333333
C6orf167	-2.5459375
NXNL1	0.25
DHX29	0.315875
HADHB	0.32475
PLXNB2	0.8445
ILDR1	-0.26725
SLC15A3	2.356
GAS2	3.03016666666667
C20orf69	1.255
NUMB	-0.1335
TNIP1	0.652625
MESP1	0.0916666666666667
PSKH1	-0.315
NSFL1C	-0.303375
RHOG	0.52325
HEY1	-1.7115
KNG1	-2.31014285714286
ITGAX	1.6373
LIN9	-0.529333333333333
CANT1	0.496
XRN1	0.539285714285714
CCDC96	1.7788
HEATR6	-1.2275
GNG7	0.92925
RUNX2	1.4963125
SOX1	-0.0233333333333334
FCRL5	0.694
ZNF99	0.414
FAM9A	null
SNX22	0.136166666666667
MBNL3	-1.5485
ODC1	-3.0233
ADORA2B	-1.29983333333333
NR2F6	-0.6625
ZFYVE16	0.1385
SYNJ2BP	0.7757
POLE	-1.291125
E2F2	-2.355125
THRA	0.748333333333333
PTGES2	-1.00166666666667
HIP1R	0.1175
TMUB1	-0.256333333333333
ENO3	-2.38225
RSPH10B	0.228
CXorf39	1.124875
IRGC	-0.03425
GPR109B	1.85575
FLJ13305	0.6295
LCE3A	-0.4985
TNFRSF18	-0.925833333333333
DET1	0.6015
TRPM3	-0.245666666666667
C16orf79	-0.8235
FECH	-0.917833333333333
RAP2A	-0.310833333333333
CRIP1	2.97933333333333
AZIN1	-0.891
SLC7A7	2.78425
IL10RA	0.5462
TMEM64	-2.1045
CDC42EP4	0.8787
C16orf58	0.269
ARG2	-2.766
POU5F1P4	-4.83
FAM62B	-0.60925
DNAH8	-1.9574
ASH2L	0.04875
TSLP	-1.1145
CNTNAP5	0.0975
TMEM16C	2.206
IFNA14	0.4815
SLC1A3	1.311
CABYR	1.53375
BCL7B	-0.5844
NUDT13	-0.802333333333333
C13orf28	-0.14625
C1orf53	0.29825
ARL6IP4	-0.2297
RPL35A	0.5965
EMR3	1.60225
RAB40C	0.44475
SLC41A1	0.3765
LRCH1	0.317
LY6G5B	-0.5735
FAM124A	-0.109071428571429
MGC10981	-4.55816666666667
CLIP3	0.8055
MAP4K2	-0.487666666666667
CHIC1	0.93525
SULF1	3.23
C20orf30	-0.198357142857143
PRDM5	0.4205
ELOVL1	-0.86475
C11orf48	-0.895125
SLC39A10	-0.408
KCNV1	-0.2675
ACP1	-0.611
ZMYM2	-0.043875
B3GNT6	-0.181333333333333
C9orf69	-0.335
C2orf15	1.186
C20orf166	0.175
HSP90AA6P	-0.438
EDG7	0.039
NEURL	-0.428375
LPL	5.228
CLEC2D	0.137285714285714
GRRP1	2.45783333333333
CD8B	-2.8365
HIST1H3D	-0.435333333333333
SLC6A12	0.208
FAM27L	0.02
CD84	1.8705
RASA1	0.2375
PHKG1	-0.033
MAGEA11	-2.174
IMPA1	-1.0446
NPM3	-1.6365
RARRES1	4.1085
SH3BP1	-0.318875
B3GNTL1	-1.158
ARPC5L	-0.791833333333333
KLHL26	0.39075
SIM2	-0.993125
GJC1	0.186
C20orf194	1.109
EXO1	-4.19
SLC2A2	-3.1155
LOC285074	-0.845
LRG1	1.53875
KIRREL	0.738
PIK3R1	1.65778571428571
C4orf34	0.41075
MAF	-0.0322222222222222
ADCY4	4.4425
ZMIZ2	0.6595
SLC46A3	1.21683333333333
STAMBP	-0.503666666666667
CCDC16	0.1305
MS4A12	-0.08
TCF20	-0.12675
LRRC46	1.679
C20orf152	0.267
MRPS6	-0.7465
ABCB11	-0.0515
KCNC2	1.45366666666667
CDH19	-0.870166666666667
C9orf123	0.234666666666667
SSH3	0.856
LDLRAD1	0.27575
CCBE1	-0.1475
ZNF135	1.786125
TAAR1	0.386
WFDC12	0.28
CCDC42	0.143166666666667
FLJ12529	-0.56675
PER1	0.0478333333333333
TIMM50	-1.09633333333333
SMARCAD1	-0.435166666666667
FAM26C	0.2065
TP53TG3	-2.474
SH3RF1	2.349
LMCD1	1.88325
GPR63	-0.8295
FLJ21986	-1.03725
AIFM3	-0.9315
MICAL1	-0.430833333333333
BLZF1	1.06333333333333
IQCA	3.00316666666667
PCDHGC3	-0.059
SAC	1.4155
BCL6B	2.44766666666667
DDO	0.375
MARCO	3.10775
DCHS1	1.79566666666667
C1orf170	1.449
CD200R1	1.3515
C22orf15	-0.8895
SEPT11	-0.00666666666666666
ADNP	0.852
UST	-0.8431
C13orf34	-2.17366666666667
RFFL	0.137714285714286
APBA3	0.123
C2orf60	-0.87575
CUTL1	0.0491
PMS1	-0.70075
ZNF689	0.661
EIF3E	-0.460333333333333
IL9	-0.07525
RPL31	0.580625
LY9	0.877
ATP2B3	-0.0335
KDELR2	-0.601125
TFCP2	-0.06575
NLRP12	-0.09575
FLJ45422	0.44075
TLE4	-0.6848
ZNF570	-0.22
FLJ43806	-0.76
TLK2	-0.487875
CIR	0.30525
MARS2	-0.507
COL24A1	1.15875
SDF2L1	-1.018
HIBADH	-0.715
IGFBP3	-2.44735714285714
C12orf23	-0.063125
PSPC1	-0.596
C20orf43	-0.42625
TRAV20	0.6325
ARHGAP24	1.242625
KIAA1975	-1.303
C1QA	3.2784
DNTT	-5.4795
C10orf6	0.3955
C11orf41	0.47525
HNRPF	-0.500875
COL11A1	6.291
UBAP2	0.531
CDKN2AIPNL	-1.855
C20orf174	3.85025
SPRED2	0.2425
PLA2G12A	0.0391666666666667
ICEBERG	-1.95416666666667
SCN10A	-0.0135
C11orf65	-0.464
GBP5	3.399
PITPNC1	-1.0145
POU3F3	2.9755
NCOA7	0.267125
LIN7C	-0.7145
LOC348840	-1.345
NKX2-2	-2.985
ANKRD13D	0.083
LOC123688	0.358
FUT2	2.364
TAAR8	0.612
FZD4	1.50325
PNMA3	-0.456833333333333
OR4L1	0.0525
WIT1	-1.36625
EXOC3L	1.38875
ATPBD4	-1.0174
KRBA1	0.3365
UBXD6	-0.59925
HOXB7	0.1455
C7orf23	-0.8625
UNQ338	3.554
STAB2	1.962
CDC20B	0.275
IRF9	1.195
CENTG1	0.0415833333333333
TNPO2	-0.8485
MCPH1	0.22775
BMS1P5	-1.4215
SLC26A7	0.99975
HIST1H3J	0.83875
C9orf3	0.3661
LBH	1.879625
MYO1D	1.102125
PTDSS2	0.1
NFU1	0.5455
DEPDC4	-1.7165
WNT7B	1.3754
GLP2R	-0.466833333333333
SETD4	-0.1181
DYNLT3	-0.2467
FKBP11	-0.292333333333333
SESTD1	0.654166666666667
FLII	0.0035
RPS16	-0.0511
CHPF	0.352833333333333
CSNK2A1	-0.654
SUMO1P1	-0.76525
FKBP6	-1.006
ZNF214	2.396
TWIST1	0.809333333333333
DDX56	-1.1015
TRAM1L1	1.8732
EPO	-3.26566666666667
MRPS18B	-0.56375
ZNF682	-0.5315
RPL14	-0.5275
MAFF	0.151
LOC51136	-1.263875
LY96	0.58975
DDX20	-0.3615
ABTB1	1.12716666666667
ARL5A	0.0592
CCT6A	-1.78325
HEPACAM	0.304833333333333
EHHADH	-0.163166666666667
RBAK	0.919166666666667
CGB1	3.1215
ITGB5	0.7828
YIPF3	1.29675
FKBP2	0.74625
NR1D1	-0.1895
TMEM110	-0.107
NEK2	-4.5655
PRAMEF8	-3.437
C20orf52	-0.0771666666666667
PCDHGA3	-0.3345
VWA3B	-0.1545
NDUFA5	0.11175
THAP9	-0.52125
FLVCR2	-0.353333333333333
AP1S1	-2.20725
SMAD6	-0.7895
SAV1	0.998125
SAT1	1.0075
ZNF251	0.231375
ADAMTS7	0.7031
RPP38	0.44375
C1orf211	-1.5015
YPEL2	1.79395
RBMS1	-0.20425
ZNF445	0.0408333333333333
NRXN2	0.964
PGBD4	0.198
UGT2B28	-3.18375
WBSCR16	-0.6964
NLRC3	-0.025375
ASTL	-0.17925
ST6GALNAC1	-1.39325
ZADH2	-0.51325
MLLT4	0.536583333333333
ARL6	-0.227333333333333
MEF2C	1.2135
CBFA2T3	-1.0925
AFF3	2.29142857142857
COG7	0.358
MYB	-0.802666666666667
PLXNA3	0.2365
XRCC2	-3.252
MMS19	-0.53025
ST8SIA5	-0.944714285714286
CHPT1	0.00633333333333333
KIAA1712	-0.142
OR6X1	0.387
ACTR3	-0.408125
UGCG	2.16733333333333
OR4P4	0.458
ZAP70	-3.18725
LPP	1.832625
ZNF485	-0.12625
PTPRCAP	0.0485
IL12RB1	0.1935
ATRX	0.5053
CHST8	-0.37425
C14orf109	-3.46944695195361e-18
ARV1	0.9905
NMB	1.674
COX5A	-0.465333333333333
EIF6	-0.90325
MPPED2	0.349666666666667
SEMG1	-1.962
CHRDL1	2.653
TRAF3IP2	0.41675
WNK2	0.22175
LILRA4	2.332
LAMA2	4.78425
PXT1	-0.4935
RLBP1	-3.49725
CD300C	-0.05375
SLTM	-0.086625
FLJ10404	-0.3460625
APOBEC3D	-3.34283333333333
RENBP	0.7565
ATXN7L1	0.589625
NID1	0.53525
TUBGCP3	-1.093125
ITIH5	2.81127777777778
CCDC110	2.576
C8A	-3.01825
MGC87042	-0.305
HOXC13	3.119
TFDP2	-1.4295
HCP5	0.7635
POLI	0.28625
UCN	0.122833333333333
ZNF764	0.353833333333333
C8orf45	0.296
FHL3	0.4315
SPATA5L1	-0.83225
MMRN2	3.51666666666667
NDST1	1.18766666666667
COL20A1	-0.414
ZNF248	-0.360833333333333
PELP1	-0.3515
MBL2	-2.46433333333333
RNF41	0.580375
C5orf24	1.138875
THOC5	-0.9455
SERINC3	-0.00225
RP11-151A6.2	0.14875
CDCP2	-0.16775
HIST1H2AA	0.242
C11orf75	-0.061
FKBP7	0.2025
DDOST	-0.81425
GPNMB	0.980833333333333
TTF2	-1.77966666666667
KCNT1	0.0578333333333333
SLC39A14	-1.05775
NGRN	-0.1173
GPR137B	2.258
MECP2	1.476
PSMA1	-0.69175
C16orf73	-5.85575
TMEM60	0.980666666666667
CSN3	0.5445
NOS1	0.00716666666666665
RAB7L1	0.777333333333333
YBX2	-1.472
KIAA1166	-0.671625
FUBP3	-1.17
ABCG1	1.62
ACACA	-0.793333333333333
ARL11	1.2892
ATOH1	-0.9005
ODF1	0.1635
CREB3L3	-2.12666666666667
TMEM127	1.3455
DSCAML1	0.134
PLN	4.90266666666667
LYPLA1	-0.583166666666667
PRDM9	-2.04575
SASP	0.23225
PLUNC	1.48266666666667
INTU	0.868
HISPPD1	-0.546
LNPEP	-0.259833333333333
YARS2	-1.10666666666667
APCDD1L	-1.4695
ZCCHC4	-1.2751
FBXO22	-0.938833333333333
TTLL13	-0.664
ZNF669	0.8655
PTGDR	2.885
DDX27	-1.06125
KIAA0409	-0.457833333333333
GJB6	1.29575
ASB8	0.32775
PLP2	0.263833333333333
MEPE	0.0395
OR10J5	0.038
KRT222P	2.449
COQ7	0.5975
C1orf101	2.7585
RERG	3.037
CHMP5	-0.9185
THAP11	-0.5045
ZNF43	0.783333333333333
ZRANB3	-0.842833333333333
KRT13	2.254625
MRPL19	-0.98425
RBBP9	-0.285375
SPATA17	1.52775
BXDC5	-0.522833333333333
PAFAH1B1	-0.518083333333333
MAGEE1	0.60425
OSTF1	-0.25
KIAA0323	0.369833333333333
TXNDC13	1.26933333333333
CNTN4	3.49625
LCE1B	0.595
UNQ501	1.193
ZNF154	-0.20825
C3orf64	0.776
SYT5	0.0105
PON1	-0.140333333333333
FLJ10357	0.058125
ATP4A	-1.157
GNPDA1	-0.631666666666667
MGAT1	0.6615
C14orf121	0.476
SLC35B2	-0.26
MIER3	0.294166666666667
CHEK1	-5.549375
ZNF8	0.061
TXNDC1	-1.24666666666667
CKB	-0.7321
RTN3	0.00407142857142854
FZD2	-0.337833333333333
PART1	0.92825
PSMB6	-0.71375
PCDHB8	-0.085
PHC3	0.7196
PPP1R8	-1.16816666666667
NOVA2	2.00633333333333
TNFRSF11B	-0.728375
GOLPH3	-0.144333333333333
UBLCP1	-0.18575
SUHW3	-0.40325
TTLL1	1.306
OPN4	0.9455
OR13G1	-0.5365
ZPBP2	0.445
HSD17B11	-1.036625
C9orf50	1.9145
DHDDS	0.00128571428571429
CTSW	1.2508
NEFM	-0.236666666666667
MRPL28	-1.19775
SYN1	0.637666666666667
PIGV	0.946
ZIM2	-0.7345
APBB1	0.966
SND1	-0.739
C1orf123	0.331166666666667
CHD3	0.4255
BHLHB8	0.03075
RNASE2	-0.0528333333333333
BCAP31	0.12625
SLC25A44	0.523833333333333
CHD6	0.7946
PIB5PA	2.901
SELS	-0.22425
LOC541471	-0.605125
FAT2	2.1545
ZNF81	0.492
OR4C16	0.1835
FLJ10081	0.5346
LRRC4	1.66275
CS	-1.2335
N4BP2	0.42075
IGFBP7	2.8635
ZNF318	0.262833333333333
NDNL2	-0.072625
ZNF609	0.79475
SIRT4	-0.07875
EXOSC10	-0.15
ECE2	-0.38075
OVGP1	3.25625
GTPBP3	-1.88275
PACS2	0.2606
C19orf36	-0.0166666666666666
ARL4C	-0.82575
ATG4B	-0.40975
UBQLNL	0.915
RHOXF2B	-4.135
PLEKHG2	-0.054
GALR1	0.6405
AQP4	0.256833333333333
HDAC7A	0.714166666666667
DCUN1D3	0.68375
OR8A1	0.156
CCRN4L	0.318625
CBR4	-0.425833333333333
KIFC1	-4.01916666666667
SLC7A14	-1.57716666666667
LHX5	-0.105
TRPC7	-0.238
LPXN	-1.21375
SERPINA1	-1.954125
RPS13	0.2804
BPIL3	-0.6
PRKAA1	-1.37025
FADS2	-0.2652
ENAH	1.0414375
PRO1768	-0.8625
APBA2BP	-0.91375
LIPH	1.21716666666667
C3orf33	-0.475
RCC2	-0.505071428571429
ALDH1A2	-3.6854
RNF103	1.83325
AHCY	-1.056375
ALG12	0.381
CCL17	2.96025
ZNF543	0.841166666666667
ESRRG	3.4016
CNGA1	1.53025
RDH5	2.36216666666667
OTX1	-0.1741
PTGFR	0.0133333333333333
CDR2	-0.00149999999999998
SELE	6.55975
NLGN2	-0.0436666666666667
EXOSC9	-1.61325
ZNF566	-0.180166666666667
KLRC2	-4.921
GPR12	0.3105
KIAA0196	0.70575
PDRG1	-0.80975
SSR3	-1.34071428571429
MSI1	-0.491
CST9	0.9165
CC2D1A	0.073875
PLAGL1	0.387888888888889
ZNF778	-0.7735
RNF2	0.48575
KLF6	1.88433333333333
THBD	3.03033333333333
tcag7.1314	1.543
NR5A1	-0.419166666666667
ABCD2	2.61825
DNAJC7	-2.68975
CLEC4C	-0.2575
TM2D3	0.266125
CCDC4	-0.2075
PLAC2	-2.12725
DCD	4.5475
FAAH	1.919875
POLA1	-0.103833333333333
TM7SF2	-0.17225
FLJ39822	1.26333333333333
FLOT2	0.263625
MAP4K1	-0.518166666666667
SRP68	-1.215875
C21orf74	-0.148
ARPC5	0.05325
LOC126075	1.829
HECW2	0.3845
ZDHHC4	-0.0655
ANKRD42	1.3841
PDE9A	-0.00416666666666667
ABCA8	3.00075
NDUFS2	-0.06125
UBR5	-1.200625
BTBD16	-3.5115
LOC554174	0.4625
ZNF20	0.8985
KIAA1843	-0.005
WDR17	-0.479
C15orf33	1.9205
RNF113A	-0.63625
CAMKK1	-0.0377
CLCN2	-1.032
ANXA6	-0.272
LOC340069	-0.344
EMID1	0.3455
DPM3	0.444833333333333
ELA1	-0.5965
SLC25A13	-1.1061
KRT24	-0.715
SMPD1	0.107166666666667
TH	0.019
COL6A2	1.54335714285714
ANKS1B	2.1385
GPR126	-1.8116
ZC3H12A	0.0123333333333333
TMEM47	0.821666666666667
C2orf51	-0.209166666666667
C1orf88	3.43266666666667
HSF2BP	-0.37
AKAP10	0.49975
RPAP3	-0.8845
KLHDC8B	0.669125
STOM	1.6977
MUPCDH	0.026125
C10orf72	0.15375
PLEKHA3	0.117416666666667
TCP11L1	-0.33825
CWF19L1	-0.688875
SPEF1	2.01115384615385
YSK4	-0.03225
ELN	3.0157
SAMD8	0.162333333333333
MPI	-0.951666666666667
MEPCE	0.0302
ABCC3	-0.09925
NANOGP1	-4.0715
KCNK17	3.777125
HLA-DMB	4.154
RRAGA	1.0065
ANGEL1	0.14625
RBM32B	-0.453
CPN1	-3.68325
MGC52282	-0.0351
HLA-A	0.938583333333333
OR9G4	-0.0515
EDNRB	-0.944875
SCD	0.0775714285714286
C14orf80	-0.982333333333333
BAGE2	0.348
RABL4	1.091
RCVRN	0.7725
SHANK1	-0.3765
NLRP7	-3.707
CD226	0.83975
STAT3	0.9831875
SYNJ2	-1.1577
TPCN2	-0.454833333333333
WDR36	-0.953416666666667
MBD4	-0.63625
ROBO1	-1.0078
ST3GAL6	-2.69975
SLAMF8	3.1795
ATN1	0.691
GPR141	0.7265
KRT36	0.505
TPH1	2.481
DDX52	-0.30425
ZSCAN29	-0.104666666666667
TRPT1	-0.3205
DPEP3	0.2645
DENND4A	-0.469625
TSPAN16	-0.168
PTCHD2	-0.3515
LOC145814	-0.17075
CAP1	0.2975
EIF5A2	-1.0851
NT5DC3	-0.917375
SEPT9	-1.081875
SEZ6L2	-0.432125
EGFLAM	4.03025
VPS11	0.454375
NDUFB5	0.0553333333333333
CIDEA	4.158
IER5L	0.25075
N6AMT1	-0.065
FAM83C	-0.443
OXR1	0.4225
IRX1	0.678
DGKB	-0.531
GCN5L2	-1.2395
MIR16	1.1235
FBXW9	-0.719
WDR4	-2.24083333333333
PDC	-0.113
VPS33B	-0.9755
HEXB	-0.5465
FLJ32214	0.28725
TCEB3	-1.233
CRLF1	-2.2045
ABI3BP	2.6865
C8orf22	-3.9375
PYCR1	-1.021125
