Hybridization REF	TCGA-A1-A0SD-01A-11R-A115-07
ADCY4	3.6145
ZMIZ2	0.6124
SLC46A3	1.86966666666667
STAMBP	-0.719166666666667
CCDC16	0.926
MS4A12	0.3445
TCF20	0.596
LRRC46	0.63075
C20orf152	1.2305
MRPS6	-0.10425
ABCB11	-0.871
KCNC2	0.825666666666667
CDH19	-2.53266666666667
C9orf123	0.753666666666667
SSH3	1.02775
LDLRAD1	-3.79475
CCBE1	-1.101
ZNF135	1.568625
TAAR1	0.311
WFDC12	0.3105
CCDC42	0.4185
FLJ12529	-1.255
PER1	-1.514
TIMM50	-1.09116666666667
SMARCAD1	-0.0433333333333333
FAM26C	0.9205
TP53TG3	-0.420166666666667
SH3RF1	1.9074
LMCD1	3.4015
GPR63	0.0355
FLJ21986	-2.040625
AIFM3	-0.97125
MICAL1	-1.0965
BLZF1	0.631
IQCA	2.41566666666667
PCDHGC3	-0.3635
SAC	-0.09525
BCL6B	1.73316666666667
DDO	-1.20175
MARCO	2.79775
DCHS1	1.54733333333333
C1orf170	0.300333333333333
CD200R1	0.468
C22orf15	-0.4585
SEPT11	0.777
ADNP	0.41325
UST	0.0852
C13orf34	-0.988
RFFL	0.0517142857142857
APBA3	-0.2425
C2orf60	-0.26225
CUTL1	0.6201
PMS1	-0.522125
ZNF689	-0.364
EIF3E	-0.5225
IL9	0.314
RPL31	0.567125
LY9	-0.271666666666667
ATP2B3	0.05
KDELR2	0.0755416666666667
TFCP2	0.4905
NLRP12	0.5025
FLJ45422	-0.56425
TLE4	-0.5026
ZNF570	0.723
FLJ43806	-0.444
TLK2	-0.734
CIR	1.1235
MARS2	-0.2385
COL24A1	1.38425
SDF2L1	-0.207
HIBADH	-0.456333333333333
IGFBP3	-2.85014285714286
C12orf23	0.854625
PSPC1	0.1735
C20orf43	-0.025
TRAV20	0.8305
ARHGAP24	1.8055
KIAA1975	-0.84275
C1QA	3.0713
DNTT	-4.93916666666667
C10orf6	0.627166666666667
C11orf41	1.0675
HNRPF	0.183
COL11A1	7.4485
UBAP2	-0.638166666666667
CDKN2AIPNL	-1.5555
C20orf174	1.6765
SPRED2	0.804
PLA2G12A	0.3035
ICEBERG	-2.5485
SCN10A	-0.1185
C11orf65	0.215
GBP5	3.13325
PITPNC1	-1.233
POU3F3	-0.166
NCOA7	-1.027875
LIN7C	0.5361
LOC348840	-0.67
NKX2-2	-3.84875
ANKRD13D	-0.121875
LOC123688	1.243
FUT2	2.3025
TAAR8	0.4705
FZD4	1.24241666666667
PNMA3	-0.268
OR4L1	0.326
WIT1	-2.62375
EXOC3L	1.10425
ATPBD4	0.7467
KRBA1	-0.2885
UBXD6	-0.88725
HOXB7	-0.4575
C7orf23	-0.093
UNQ338	-1.0005
STAB2	0.05775
CDC20B	-0.528333333333333
IRF9	1.8845
CENTG1	0.547166666666667
TNPO2	-1.2075
MCPH1	-0.38225
BMS1P5	-0.749
SLC26A7	0.3985
HIST1H3J	0.2305
C9orf3	0.5393
LBH	0.74225
MYO1D	0.744625
PTDSS2	0.62
NFU1	1.18975
DEPDC4	-0.88
WNT7B	1.4383
GLP2R	-0.493166666666667
SETD4	-0.5449
DYNLT3	0.6299
FKBP11	-0.448166666666667
SESTD1	1.17016666666667
FLII	-1.17175
RPS16	-0.0448
CHPF	0.433166666666667
CSNK2A1	-0.647833333333333
SUMO1P1	0.60975
FKBP6	0.7875
ZNF214	3.51466666666667
TWIST1	1.52766666666667
DDX56	-1.5675
TRAM1L1	2.8941
EPO	-2.942
MRPS18B	-0.152
ZNF682	-0.0481666666666667
RPL14	-0.200333333333333
MAFF	0.16375
LOC51136	0.0495
LY96	0.25475
DDX20	0.0225
ABTB1	0.5205
ARL5A	0.1475
CCT6A	-1.4685
HEPACAM	-1.58233333333333
EHHADH	0.745833333333333
RBAK	-0.00650000000000001
CGB1	-0.3295
ITGB5	1.7117
YIPF3	0.1825
FKBP2	-0.348
NR1D1	0.4183
TMEM110	-0.153
NEK2	-2.2575
PRAMEF8	-3.26575
C20orf52	0.160333333333333
PCDHGA3	-0.391
VWA3B	-0.48075
NDUFA5	0.080875
THAP9	0.025
FLVCR2	-0.254666666666667
AP1S1	-1.718875
SMAD6	-1.60375
SAV1	0.89475
SAT1	1.02175
ZNF251	1.23025
ADAMTS7	-0.0551
RPP38	0.23325
C1orf211	-1.6325
YPEL2	1.1252
RBMS1	0.10275
ZNF445	-0.418
NRXN2	-0.17
PGBD4	-0.177125
UGT2B28	-2.859
WBSCR16	-0.7981
NLRC3	-0.17425
ASTL	0.27475
ST6GALNAC1	-3.6765
ZADH2	-0.616375
MLLT4	-0.0479166666666667
ARL6	0.989333333333333
MEF2C	0.46675
CBFA2T3	-1.2005
AFF3	2.27435714285714
COG7	-0.185166666666667
MYB	-0.647166666666667
PLXNA3	-0.1435
XRCC2	-1.93983333333333
MMS19	-0.7975
ST8SIA5	-0.62525
CHPT1	1.9235
KIAA1712	-0.249
OR6X1	0.435
ACTR3	0.02725
UGCG	3.12416666666667
OR4P4	0.872
ZAP70	-3.5945
LPP	0.93
ZNF485	-1.9085
PTPRCAP	-1.21225
IL12RB1	0.077
ATRX	1.1898
CHST8	-1.810125
C14orf109	0.3635
ARV1	0.3645
NMB	0.205142857142857
COX5A	-0.828
EIF6	-0.255
MPPED2	0.964166666666667
SEMG1	-1.588
CHRDL1	-0.6195
TRAF3IP2	-0.86775
WNK2	-1.052625
LILRA4	2.12283333333333
LAMA2	4.53425
PXT1	0.458
RLBP1	-4.0875
CD300C	0.2075
SLTM	0.36625
FLJ10404	-0.9184375
APOBEC3D	-2.05833333333333
RENBP	0.319166666666667
ATXN7L1	-0.071875
NID1	0.7825
TUBGCP3	-1.01625
ITIH5	0.655055555555556
CCDC110	3.71525
C8A	-2.29525
MGC87042	-0.18625
HOXC13	-3.45125
TFDP2	-1.1815
HCP5	1.3405
POLI	0.9545
UCN	-0.131333333333333
ZNF764	-0.007
C8orf45	0.564
FHL3	-0.29475
SPATA5L1	-0.4105
MMRN2	2.48033333333333
NDST1	-0.0565
COL20A1	-0.583333333333333
ZNF248	-0.1665
PELP1	-1.16333333333333
MBL2	-2.55583333333333
RNF41	0.581
C5orf24	-0.013
THOC5	-0.714
SERINC3	0.85275
RP11-151A6.2	1.62825
CDCP2	0.49175
HIST1H2AA	0.8
C11orf75	0.314333333333333
FKBP7	1.029
DDOST	-1.05225
GPNMB	1.67833333333333
TTF2	-1.9115
KCNT1	-0.353833333333333
SLC39A14	-1.09071428571429
NGRN	-0.2007
GPR137B	2.17725
MECP2	1.24675
PSMA1	-0.000249999999999998
C16orf73	-4.8495
TMEM60	0.402166666666667
CSN3	-0.302
NOS1	0.1825
RAB7L1	-1.259
YBX2	-0.9955
KIAA1166	-0.420125
FUBP3	0.197
ABCG1	0.9695
ACACA	-0.898
ARL11	-0.2458
ATOH1	0.5285
ODF1	-0.400833333333333
CREB3L3	-2.0545
TMEM127	1.39957142857143
DSCAML1	0.3495
PLN	5.11883333333333
LYPLA1	-0.33375
PRDM9	-2.332
SASP	1.283
PLUNC	2.70966666666667
INTU	0.66475
HISPPD1	0.2255
LNPEP	-0.0691666666666667
YARS2	-0.845833333333333
APCDD1L	-1.1885
ZCCHC4	-0.1419
FBXO22	-0.375666666666667
TTLL13	-0.0375
ZNF669	-0.132
PTGDR	0.935
DDX27	0.37525
KIAA0409	-0.0403333333333334
GJB6	0.556
ASB8	0.64125
PLP2	1.34116666666667
MEPE	1.28225
OR10J5	0.6725
KRT222P	-0.506
COQ7	0.226666666666667
C1orf101	3.08375
RERG	4.331
CHMP5	0.16275
THAP11	-0.059375
ZNF43	0.7385
ZRANB3	-0.213166666666667
KRT13	1.131875
MRPL19	-0.849625
RBBP9	0.1815
SPATA17	0.980375
BXDC5	0.895166666666667
PAFAH1B1	-0.67425
MAGEE1	1.306
OSTF1	-0.0465
KIAA0323	-0.775416666666667
TXNDC13	0.9985
CNTN4	4.51475
LCE1B	1.925
UNQ501	0.599
ZNF154	0.174
C3orf64	1.06975
SYT5	-0.1131
PON1	-0.170666666666667
FLJ10357	-0.0815
ATP4A	-1.425
GNPDA1	-1.105
MGAT1	0.103333333333333
C14orf121	-0.01375
SLC35B2	-0.405
MIER3	1.07116666666667
CHEK1	-3.49275
ZNF8	0.0558333333333333
TXNDC1	0.130166666666667
CKB	-2.8741
RTN3	-0.557214285714286
FZD2	-0.865166666666667
PART1	-0.768125
PSMB6	-0.787
PCDHB8	-0.724
PHC3	0.5876
PPP1R8	-0.2715
NOVA2	1.76033333333333
TNFRSF11B	-2.295
GOLPH3	1.03783333333333
UBLCP1	0.81325
SUHW3	0.1395
TTLL1	1.9575
OPN4	0.1725
OR13G1	0.984
ZPBP2	0.8305
HSD17B11	-1.154125
C9orf50	1.925
DHDDS	-0.268285714285714
CTSW	-0.0464
NEFM	0.0425
MRPL28	-1.15675
SYN1	0.311666666666667
PIGV	1.26316666666667
ZIM2	0.24375
APBB1	0.396666666666667
SND1	-0.68825
C1orf123	0.260666666666667
CHD3	-1.21875
BHLHB8	-0.01775
RNASE2	0.835833333333333
BCAP31	0.8235
SLC25A44	0.281833333333333
CHD6	0.2854
PIB5PA	1.60776923076923
SELS	0.5835
LOC541471	0.194875
FAT2	-0.078
ZNF81	0.271
OR4C16	0.7895
FLJ10081	0.0567
LRRC4	0.71525
CS	-1.1735
N4BP2	0.26175
IGFBP7	2.10775
ZNF318	-0.0473333333333334
NDNL2	1.028875
ZNF609	0.2565
SIRT4	1.2125
EXOSC10	-0.52575
ECE2	-0.2285
OVGP1	0.79725
GTPBP3	-1.22925
PACS2	0.0337
C19orf36	-0.171166666666667
ARL4C	-1.584875
ATG4B	-0.28875
UBQLNL	2.06875
RHOXF2B	-4.0715
PLEKHG2	0.0095
GALR1	1.096
AQP4	0.144
HDAC7A	-0.3995
DCUN1D3	0.489
OR8A1	0.139
CCRN4L	-0.105625
CBR4	-0.284833333333333
KIFC1	-2.59983333333333
SLC7A14	-1.3445
LHX5	-0.765
TRPC7	-0.2015
LPXN	-1.6065
SERPINA1	-2.9735
RPS13	0.216
BPIL3	-0.3125
PRKAA1	-1.09625
FADS2	-1.5261
ENAH	0.340625
PRO1768	-0.4135
APBA2BP	-0.09075
LIPH	1.7515
C3orf33	0.34675
RCC2	-1.10664285714286
ALDH1A2	-3.6338
RNF103	2.497
AHCY	-0.876125
ALG12	-0.032
CCL17	-0.16375
ZNF543	0.8785
ESRRG	2.0085
CNGA1	-0.7365
RDH5	-0.763
OTX1	-0.723
PTGFR	-1.84233333333333
CDR2	0.789625
SELE	3.619
NLGN2	-0.831833333333333
EXOSC9	-0.469
ZNF566	-0.260833333333333
KLRC2	-0.8825
GPR12	0.498
KIAA0196	0.41525
PDRG1	-0.34575
SSR3	-0.450785714285714
MSI1	0.0625
CST9	3.455
CC2D1A	-0.21125
PLAGL1	-0.4865
ZNF778	0.9215
RNF2	0.838
KLF6	0.4415
THBD	1.75866666666667
tcag7.1314	1.378
NR5A1	-0.224166666666667
ABCD2	-0.81975
DNAJC7	-1.91
CLEC4C	0.943
TM2D3	0.97425
CCDC4	-0.8725
PLAC2	0.71425
DCD	-0.483
FAAH	1.222625
POLA1	-0.465333333333333
TM7SF2	-0.932625
FLJ39822	0.718666666666667
FLOT2	-0.0335
MAP4K1	-0.990166666666667
SRP68	-0.68525
C21orf74	0.621
ARPC5	-0.219625
LOC126075	1.511
HECW2	0.88475
ZDHHC4	0.2795
ANKRD42	1.374
PDE9A	-1.3325
ABCA8	-0.33625
NDUFS2	-0.645
UBR5	-0.355375
BTBD16	-2.5915
LOC554174	1.927
ZNF20	1.044
KIAA1843	-0.265
WDR17	1.682
C15orf33	0.7995
RNF113A	0.6755
CAMKK1	-1.2285
CLCN2	-1.1935
ANXA6	-0.817
LOC340069	0.334
EMID1	1.276875
DPM3	-0.330166666666667
ELA1	0.342
SLC25A13	-1.0583
KRT24	0.052
SMPD1	0.838166666666667
TH	0.081
COL6A2	1.69071428571429
ANKS1B	2.3205
GPR126	-3.667
ZC3H12A	0.283
TMEM47	0.9365
C2orf51	-0.182
C1orf88	3.80733333333333
HSF2BP	0.782
AKAP10	0.33525
RPAP3	-0.5615
KLHDC8B	0.68625
STOM	0.1809
MUPCDH	-0.124875
C10orf72	0.2255
PLEKHA3	1.02
TCP11L1	0.241
CWF19L1	-0.0535
SPEF1	0.667230769230769
YSK4	-0.2095
ELN	2.8396
SAMD8	0.490666666666667
MPI	-1.19383333333333
MEPCE	-0.3173
ABCC3	0.677375
NANOGP1	-3.501
KCNK17	0.81675
HLA-DMB	4.1165
RRAGA	0.8495
ANGEL1	0.6885
RBM32B	0.3945
CPN1	-2.83675
MGC52282	-0.1405
HLA-A	0.700833333333333
OR9G4	-0.0385
EDNRB	-0.88875
SCD	-2.34207142857143
C14orf80	-1.18216666666667
BAGE2	-0.801
RABL4	1.293
RCVRN	1.25
SHANK1	0.358
NLRP7	-3.87675
CD226	0.47125
STAT3	0.15675
SYNJ2	-0.7036
TPCN2	-0.395333333333333
WDR36	-1.1165
MBD4	-0.0035
ROBO1	0.0306
ST3GAL6	-2.4165
SLAMF8	2.2535
ATN1	0.29
GPR141	0.2425
KRT36	-0.1825
TPH1	0.3545
DDX52	-0.1215
ZSCAN29	0.0963333333333334
TRPT1	-0.6895
DPEP3	0.3915
DENND4A	-0.06375
TSPAN16	0.517
PTCHD2	-0.7145
LOC145814	-0.31625
CAP1	-0.327166666666667
EIF5A2	0.0753
NT5DC3	-0.5685
SEPT9	-1.305125
SEZ6L2	1.467375
EGFLAM	3.502
VPS11	-0.53075
NDUFB5	0.093
CIDEA	0.430666666666667
IER5L	-0.2505
N6AMT1	0.7425
FAM83C	-0.79675
OXR1	0.26375
IRX1	-0.4385
DGKB	-0.412666666666667
GCN5L2	-2.4065
MIR16	0.4535
FBXW9	-0.73875
WDR4	-1.71616666666667
PDC	-0.0505
VPS33B	-0.96125
HEXB	-0.1085
FLJ32214	-0.1145
TCEB3	-1.42125
CRLF1	-4.01325
ABI3BP	2.86075
C8orf22	-3.939
PYCR1	-1.463125
KIAA1706	0.87425
CDK5R2	0.084875
WAS	0.3235
C12orf60	1.33625
CCBL2	0.7485
MADD	-0.20825
C5orf34	-1.034
WDR42A	0.8269
KLF12	0.812375
HSPA1A	1.2455
ITM2C	-2.1345
DAPK2	1.595
LOC442590	0.813
SUMF2	-0.903
CENPA	-2.18730769230769
TMED5	-0.283
CDH6	-0.0412
BRP44	0.3085
THG1L	-0.775
GABRA2	-2.39675
C14orf166	-0.04225
MYL1	-1.49
TNFSF18	-1.0715
PAP2D	-0.236166666666667
PPIB	-0.77125
KLHL4	1.71925
SFN	0.202166666666667
CCDC127	1.04175
FRAP1	-0.6445
GOLGA5	1.01325
SDCCAG1	0.35675
MGC21675	0.105166666666667
C10orf95	-0.54825
KIAA1345	0.964666666666667
C1orf163	-0.951
LACE1	-0.511666666666667
OR10K2	-0.3685
CENPN	-2.32424
TMED2	0.651
UGT1A6	-0.764
ANG	-0.19325
U2AF1	-1.09633333333333
CASC2	1.12116666666667
NMT2	-0.247833333333333
OSGEPL1	0.879625
DFNB31	-0.934
SLC6A20	-0.355125
DKC1	-0.5295
FXYD4	-0.83975
WDR64	0.67175
MGC5590	0.615
CREBZF	-1.028
DAZ1	0.0674999999999999
PRPSAP1	-0.17225
GCHFR	-0.2925
TTC7A	-0.8355
LOC196993	0.41975
UBD	-2.49466666666667
S100A1	-1.053625
RPL6	0.0866666666666667
DNAJB6	0.4258
NAGS	3.842
C2orf58	-0.022
KERA	3.4745
MT1X	0.2706
UBE2B	1.0919
KEAP1	-0.4705
MST1	-2.865
OMA1	0.7205
ABLIM2	2.1185
BCL2L13	-0.207666666666667
JAZF1	0.594166666666667
TMEM63B	0.225
S100A8	-0.84
ARFIP2	0.4575
UROS	0.0715
KHDRBS2	0.1355
POLQ	-2.832375
SOAT1	-0.982
SPAG4	-1.91825
MRPS30	1.81433333333333
LOC494141	-0.719
OR2T11	0.6175
ORAOV1	0.0692
ZNF184	0.39
TCEB3B	0.396
ADAM21	0.0255
GDPD1	1.17775
SPINLW1	0.3265
PRR14	-0.385833333333333
KCTD9	-0.6108
NUDT3	-0.00900000000000001
KIAA1822	0.9167
HIST1H4K	1.401
DFNA5	-1.625
GABPA	0.02175
C14orf44	0.908
POLB	0.625625
PTAR1	-0.08975
SEC31A	0.6947
TRIM58	-0.18725
TAS2R14	0.394
VPS8	-0.168625
H1F0	1.66133333333333
PRKCB1	-3.87133333333333
UGT2A1	0.411
TOR1B	0.29425
LSS	-1.71083333333333
C2orf19	0.127
HNRNPC	0.176214285714286
TMEM100	-1.76033333333333
LOC116349	-0.916
OR51M1	0.611
CCDC142	-0.84125
ISG15	0.5185
ZCCHC14	0.84675
CREBL2	1.357875
TGDS	-1.04975
DC2	-0.2065
CACNA2D3	-1.75264285714286
ZNF429	0.16275
LYPD6	0.274666666666667
SUCLG1	-0.198166666666667
OR51I1	-0.807
MAGEH1	2.30375
PRPF40A	-0.402
SMR3A	0.913
SPINK2	4.346
THAP2	1.115125
NPY5R	-1.078625
IRF4	-3.23075
SPESP1	-0.299833333333333
OR10S1	0.2845
DTD1	-0.0525
TUBE1	-0.54325
DDX19A	-0.5615
PDPN	0.214625
TMEM34	0.571833333333333
MGAM	1.36875
COL3A1	6.20777777777778
GFM2	-0.1785
OR5A2	0.301
PSG9	0.1385
ARHGEF11	-0.507833333333333
IVNS1ABP	-0.4346875
SIGIRR	1.28575
DUSP19	0.493875
DNAJC14	-0.1467
ACSS1	-0.233875
IL1RAPL2	-0.0645
C4orf30	-0.87475
SEPT4	2.5575
LANCL3	-2.4165
SPAG17	2.90016666666667
PRDX3	-0.208625
HNF1A	-1.763375
P4HA2	-0.375875
RFWD3	-1.20883333333333
MOV10	-1.35775
DNAJA5	1.21835714285714
LOC729440	-0.0075
LOC200383	1.27725
SMC2	-1.6875
MIXL1	-1.3425
TMEM9	-0.23375
FAM86A	0.656
ZNF174	0.2161
MYH14	-0.866
CCR8	0.26925
VPS37C	-0.133833333333333
GPATCH1	0.0656666666666667
B3GNT8	2.7055
TBX4	0.37475
CNR2	0.361666666666667
PCDH1	1.1035
C5orf29	4.85575
OCIAD2	1.449
PLCG2	1.6015
KIAA0247	1.8145
HRH3	-0.2455
CAPN13	3.371875
CCR1	-0.5985
MGC15523	-0.463888888888889
UVRAG	0.195
DNAJA2	-0.254333333333333
ITGA2B	-0.909666666666667
CLDN5	3.08525
PTPRN2	0.563071428571429
ZNF512	0.582166666666667
PSAP	0.971285714285714
CCDC140	-0.895
LRRC55	-0.19075
CYP26C1	0.9045
C8orf47	-1.5115
LYN	-0.631875
DUSP6	2.38966666666667
TGFB3	3.85653333333333
ELK1	-1.2704
PCDH11Y	-0.0406666666666666
HGD	-3.74575
C17orf58	0.8945
MYO3A	0.6505
SERPINE2	-4.45883333333333
AARSD1	-0.507875
C14orf73	-1.2495
ADAM33	0.13075
ZNF491	-0.324
MAPK6	-0.788
TCN1	2.244
SLC24A6	0.8435
UBE2R2	-0.15125
H1FNT	0.2015
TATDN2	-0.115166666666667
LILRB1	1.1425
P2RY5	0.8735
NUCB2	1.40675
C2orf37	0.254
SNX27	0.278833333333333
MTA3	0.09725
FOXO4	0.586875
ID4	0.550333333333333
SOX5	-2.74583333333333
PXMP3	1.018875
OR52M1	0.2635
SFT2D3	-0.140375
INA	-2.82666666666667
MCOLN1	0.4305
NFIX	-0.6924
CLEC14A	5.77583333333333
HIBCH	0.183666666666667
PLA2G5	1.25425
TIMM10	-0.949333333333333
MED17	0.0233
COL4A4	-2.845
TPP1	1.0755
GJA3	0.3525
TMPRSS5	-1.82725
AADACL3	0.703
DNMBP	-0.11175
ENPP5	3.75633333333333
NQO1	-1.295
ZSCAN2	-0.72725
SEC24C	-0.604166666666667
GTF2A1L	0.9955
AXIN2	0.0878
FAM33A	-1.425
C16orf13	-1.086
SPNS2	0.269
TAF1	0.45225
AP1G2	-0.417666666666667
RBM42	-0.359166666666667
HCN2	-0.545833333333333
EFHB	2.999
RUSC1	-0.6175
GRIK5	0.4585
USP21	-0.3695
ATAD3C	0.104
ORMDL2	0.43575
PRSS7	-3.4575
PSAT1	-5.09475
FLJ13195	-0.98
TBC1D1	0.622166666666667
IFNG	1.18925
OTOS	0.328333333333333
ZNF773	0.236666666666667
EMD	-0.77475
RETN	-0.59425
CCL8	3.186
APH1A	-1.292875
COX18	-0.37925
GTF2IRD2	-0.16625
CCDC82	-0.729416666666667
PAFAH2	0.1192
NPEPL1	-0.8832
RP11-114G1.1	1.663
TP53INP1	0.442125
ZNF300	-1.23233333333333
FOXL2	-3.26375
LARP2	0.2325
LATS1	0.06175
HTR6	0.447
SPOCK2	-0.967333333333333
RNF144B	3.00683333333333
HTATIP2	0.411
MGC10334	-0.319833333333333
CENTA2	2.21083333333333
FGF2	-2.67225
FXYD7	0.67475
PHYHIPL	-1.891625
GPR34	5.28775
DDX6	-1.33816666666667
OR10W1	-0.3505
LHFPL1	0.3795
ZNF313	-0.176785714285714
VPS28	0.532
AP3M1	-0.1191
AKR1CL2	-0.4125
TRAF4	-1.10775
OR2B11	0.458
C19orf12	0.269666666666667
AKAP9	0.755166666666667
C1orf62	0.423
SLC20A1	-0.6448
FAM112A	0.629
LDB2	1.563
MRPS23	-0.46975
KLK5	1.2785
SPTB	-0.7547
EFEMP2	1.067
EFNB2	1.245625
PCM1	0.0176428571428572
NMNAT3	2.38975
TSG101	1.38516666666667
C8orf40	1.08766666666667
NOB1	-1.366
ABHD3	-1.15025
GTF3C4	-0.71625
PIGN	0.895333333333333
GALNTL1	1.0395
AEBP1	2.3625
OR9Q1	0.4715
ANKRD2	0.237125
CCL28	-3.20425
TRIM38	0.319
TMCC1	0.42425
SMG5	-0.9125
LRRC7	-2.6485
NCAPD2	-2.44333333333333
C6orf153	-0.54975
C1orf74	-0.096
OTUD6A	0.325
DCP2	-0.495333333333333
TMEM24	-0.98475
RPL18	0.4215
TMEM177	-0.73325
LRRC37A3	0.5555
C1D	0.1065
LDHC	1.552
UBE4B	0.142666666666667
NIT1	-0.0015
BTN3A3	0.183
RASD1	0.347625
COMMD3	0.99325
SHFM1	-0.27325
BIRC8	0.50175
DUT	-0.36275
C12orf51	-0.037
LRRC59	-1.37116666666667
LY6H	1.72675
WDR22	0.563583333333333
EDEM1	-0.379
ADH1A	0.96
PANX2	0.0301
CYP11B1	0.73425
CDC73	-0.329
GPR172A	-0.46375
GSTM3	2.48292307692308
KCNA5	0.368375
SERAC1	-0.217333333333333
NFATC2	0.2115
ANAPC5	-0.8143
C15orf24	0.44825
NFATC2IP	-1.50108333333333
TNRC6C	-0.231666666666667
MGC102966	-1.749125
FGD5	0.589
MED9	-0.522
RAB13	0.483
C15orf49	-0.341
CRYGS	-0.0901
C12orf53	0.0385
LOC283693	0.205
COX6B2	-0.135625
PHF14	0.164125
FAM3A	-0.190875
RPL13	0.2373
PRDX2	-0.0418
FLJ34047	-0.44225
PRMT3	0.36925
KCTD19	-0.923
TRIM10	-0.355333333333333
MGC26597	-0.377166666666667
GCNT4	0.84825
GPRASP1	1.51575
CDKN1C	-0.54725
RHBDL2	1.3037
HSPH1	0.00475
AQP1	2.390625
COL17A1	-0.5774
GFAP	0.049875
CDC16	-0.856
KIAA1614	0.01
C6orf118	0.4645
ZSWIM5	0.01325
FAM83F	2.209
LYNX1	0.2116875
SYNPR	-0.986
XG	3.9575
PRSS16	1.468375
KIF13B	0.6835
PCDH9	-0.82325
HIST1H2AH	1.54833333333333
RBM18	-0.90975
ZNF626	0.402875
HEXIM2	0.591
ITFG1	0.524
TUBG2	-1.105
SFRS7	-0.497333333333333
C9orf14	0.996
EXTL1	0.256
GBP3	2.18333333333333
WDR5	-1.823
RARG	0.0928333333333333
MYO7A	-0.048625
CECR6	-0.3945
C13orf3	-2.165
SFRS18	-0.992125
ACVR1B	-0.162166666666667
PSMD1	-0.2304
C7orf31	0.771833333333333
ILVBL	-0.518
IFNGR1	1.09275
RNF186	1.83075
NOL9	-1.20675
MAGEL2	1.56
SLC29A2	-0.31025
NHSL1	-1.746
RBMX	-0.807
PSORS1C2	0.184375
RAD51L3	-0.114416666666667
LCN6	0.6955
ORAI2	-1.168
BRUNOL6	-0.1213
OR4K5	0.0525
CDC123	-0.58
MSLN	-2.36383333333333
WWTR1	-0.981666666666667
ZNF700	-0.455
COBL	-0.4015
PPP1R16B	0.063
GAS7	0.5692
MDN1	-1.713
HAAO	1.562
C9orf68	1.4645
TNFAIP2	-0.248125
FOXN1	0.1215
hCG_2033311	0.0553333333333333
ATP6V0D2	1.5034
RPL41	1.1605
SLC38A1	0.960625
ARHGAP6	-0.919083333333333
ADAD2	-0.23975
PHF20L1	0.1206875
MCM3AP	-0.711833333333333
ST3GAL3	0.038
SNX1	-0.250166666666667
ELF5	-0.77775
PARP3	0.828125
RBM8A	-0.76
LINGO4	0.089
ITGA9	-0.3615
ZFR	0.1145
ACSL6	-0.68225
FLJ20699	-0.1406
DAOA	-0.609
FABP4	5.26375
KCNB1	-1.27725
CANX	0.3224
SLC25A28	-0.312166666666667
ADIPOR2	-0.523
ECHDC2	1.3225
SMA4	-0.21075
FRZB	3.86975
PABPC1	-0.973
DMRTB1	-0.427875
APOBEC3G	0.88575
CATSPER2	-0.0185
CUEDC1	-0.133833333333333
STARD9	-0.5215
CLDN8	5.866
LOC23117	-1.29295454545455
E2F6	-0.177333333333333
TMEM126B	-0.764666666666667
DPY19L4	0.513
GIMAP5	2.01783333333333
NDUFA9	-0.349833333333333
FAM77C	1.061
CTPS2	-0.82675
LOC51035	-0.57075
WDSOF1	-0.50725
EGLN3	1.33725
PITX3	0.215333333333333
OR52E8	-0.2565
GRM4	0.598
KLK1	-2.406
GPM6B	-0.27425
RRAGD	-1.14616666666667
PAGE5	-3.0735
UCHL5	-1.50433333333333
ULK3	-1.1655
AIM2	-0.130333333333333
PNO1	-0.593333333333333
OR2F2	0.198
GNAT2	-1.883
SIX1	-0.31875
ST13	0.42025
ZBTB44	-0.8865
TIMP2	0.3825
ZMAT4	0.673
GTF2IRD1	-0.702
ZNF19	1.57733333333333
ZNF714	-0.28275
RSC1A1	-0.17075
C9orf80	0.3545
PSMA8	0.156
TMEM141	0.2665
COX4I1	-0.498928571428571
CTAGE1	0.0606666666666667
DTWD1	-0.02675
HSD11B1	-0.25325
KRT6B	3.578625
ARID4B	1.209
LHFPL3	-0.60275
WWP2	-0.162166666666667
ZNF326	0.0966666666666667
RGPD1	-0.616
CTSH	0.749
FASTKD1	-0.0987499999999999
PAF1	0.2198
TTC9C	-0.90025
IFT57	1.3803
PRSS36	0.3595
IL20RB	-2.023
ZNF592	-0.134666666666667
DCTD	0.3497
CFP	0.18025
MFNG	-1.09625
JMJD2B	0.9655
ALDH3B1	0.486
THSD4	2.23016666666667
KCNJ5	2.07266666666667
LMNA	-0.752333333333333
TBCD	-0.21425
ZNF250	0.842166666666667
CASQ2	0.874
PEG10	-4.04983333333333
PRAME	-5.56513333333333
NP	-1.090375
TRIM59	-0.322333333333333
ZNF12	0.29375
XTP3TPA	-0.979
SIGLEC7	-0.2987
PANK4	-1.1735
FAM70A	-2.08633333333333
SNED1	0.7545
HIP1	0.1799
RAET1E	-1.8385
AMAC1L2	-0.7515
AHNAK2	0.115666666666667
TOE1	-0.974
RECQL4	-2.069
SPRYD3	0.76325
DPAGT1	-1.63825
MAGED2	2.3496
ANKRD55	-0.584
TRPS1	5.54125
DOK7	0.93675
TFPI2	-7.546
GTF2H3	-0.807833333333333
CYP4F11	0.34875
LHX2	-4.665
ATG16L1	-0.0228333333333333
ASB12	1.0665
C1orf116	-0.46525
NF2	-0.8226
POM121	-0.846
PHYHD1	1.483
