Hybridization REF	TCGA-E2-A15S-01A-11R-A115-07
RAB3GAP1	-0.052
H1FOO	0.266
NXPH3	1.84525
CROCC	-0.5745
GPX7	-1.794375
BASP1	-0.3352
STAM	-0.63975
TBK1	0.69875
STX2	0.0125
RPL29	0.1445
NR1H3	-0.5565
MPPE1	0.733875
PHACTR3	0.81075
SLC44A2	1.429375
C10orf109	-0.043
CLCN6	-1.72425
C16orf59	-1.20575
SQSTM1	0.7015
AADAC	-0.86025
LRRC8C	-0.5045
BIN3	-1.7315
HPS6	1.50225
MAN2A2	0.0341
GABPB2	-0.89825
KCND1	0.43325
PTPN11	0.583285714285714
ZNF274	0.382
ATF3	-0.59175
C7orf26	0.421
C1QL3	-0.447
WDR54	-0.1915
FLJ40869	1.26233333333333
ZNF397	1.070375
MLL	-0.1837
TTLL6	0.68925
ANKRD15	-2.59033333333333
KIAA1958	0.456
C1orf218	1.168875
ZDHHC16	0.68725
DDX47	0.05
EVI5L	-0.3215
GDF6	-5.326
TAPBPL	-0.0665
BTG1	-0.0152
DPP4	-1.946875
KLHL23	0.2025
APOC3	-3.788
BTBD12	0.251
CNOT4	0.3674375
HIST1H3I	0.414166666666667
OR5H1	-0.08075
APEH	0.201625
TRY1	0.0291666666666667
SLC26A8	-0.0566666666666666
KCNA2	-0.405
TMEM159	0.931375
C6orf81	-0.241166666666667
PCYT1A	-0.150666666666667
C6orf157	-0.0955
BRMS1	-0.14675
CHST1	2.33316666666667
LGALS1	-1.698375
TAF1B	1.4095
FLJ40504	-0.5215
GPR173	0.4945
COL15A1	1.152125
CASP10	-1.63464285714286
PCMT1	-0.522928571428571
HDAC5	0.3207
LOC641367	-1.19725
EVC2	-0.879
SGPL1	1.02183333333333
GON4L	0.425571428571429
AFG3L2	-0.507666666666667
C5orf15	0.229833333333333
UBXD1	-0.179
LILRB4	0.590166666666667
GSTA4	1.11266666666667
ADIG	-0.1065
GRIPAP1	0.396125
HIST1H3B	0.238666666666667
BTRC	1.714
USP49	-0.5535
IQCH	0.536375
ACBD6	-0.39575
YEATS2	-0.98375
CABP5	0.07475
TRIM3	1.5215
HNRPM	-0.81325
FGG	-4.8625
C18orf16	-0.44725
CLEC2B	-1.71875
PQBP1	-0.286166666666667
JTB	0.773333333333333
REST	1.29183333333333
SLC8A3	-0.83
TMEM16H	-0.82325
MRPL47	-0.182625
EVI1	0.2638
MUC1	-0.121
TEAD3	0.994875
STOML1	-0.954625
USP24	-0.1675
PNMA5	-0.84575
MAEL	-0.00916666666666666
LBP	-0.3561
HSD17B4	0.200125
SEC31B	-0.32175
IDH2	-0.3771
SFRS16	-0.372375
AICDA	0.1705
RNF180	-0.00375
C1orf56	0.858666666666667
FLJ10324	1.23266666666667
GPR148	0.104
MEF2A	0.440583333333333
ASF1B	-0.921333333333333
HTN3	-0.89625
RNF215	0.66375
SLC4A3	1.29316666666667
ADAMTS9	-0.091
C9orf66	-0.0516666666666667
FOXD3	-0.294
GSDM1	-0.00824999999999998
IFITM5	-0.4335
PODXL2	0.190333333333333
C1orf176	0.84275
RPS3	0.04275
hCG_2004593	-0.099
COL21A1	-1.08925
NTNG2	-1.17033333333333
RAI14	-1.59533333333333
P76	0.4045
LRFN3	0.0155
FAM14B	-1.388875
FKBP14	-2.7245
TNNI3	0.353333333333333
HOXB3	0.8545
SGCB	-0.02225
PPAPDC3	-1.50475
FRAT1	1.91083333333333
MORN1	0.426833333333333
ARHGEF2	0.257
BNIP2	0.4315
DHX30	0.043
EEFSEC	0.13075
FGF20	0.001
FLJ38973	0.289642857142857
PLCH2	-0.222083333333333
CCNG2	2.373375
PSPN	-0.046
WDR88	0.0795
HOXB13	-1.35625
MTMR8	-0.413
SPAM1	-0.094
PPP2R1B	-0.836625
TANC1	-0.264
CNN3	-2.0659
CHGA	0.72525
C9orf128	0.8995
CACNA1B	-0.0325
MMAB	-0.0803
RHOA	0.0893333333333333
RAPGEFL1	-0.1685
SLC1A5	0.632166666666667
CALCA	-0.244375
SYCP1	-0.06125
CXCL11	1.010125
GFI1B	-1.78083333333333
PSCD1	-0.443666666666667
C11orf58	0.512166666666667
MGC45438	1.36033333333333
NUDT18	-0.1675
ASB3	-0.150333333333333
ZP1	-2.503
LPPR2	0.2431
ZNF527	1.116
ZNF771	0.604
TTBK2	-0.43775
TRIM55	-1.054
GJB3	-0.436666666666667
PRSS35	0.39625
SCRG1	-1.64025
ZDHHC24	0.4425
DUSP26	0.821
C1orf51	-1.90775
DNAJC3	-0.1715
LITAF	0.32825
ZNF410	-0.165
AFP	-4.746
ZW10	-1.455
PHOX2B	0.2975
VILL	-1.74175
ELOVL7	0.6815
LOC644186	3.257
PPP3CC	-0.34025
CHST13	-2.3155
WDR40B	0.190916666666667
MEA1	0.8845
HILS1	-2.0325
DLX6	-0.109666666666667
NKG7	0.978333333333333
EMP1	-0.34375
ACTR6	0.6205
CHCHD7	-0.254071428571429
COG2	0.1901
TCEA2	0.3412
TARS	-0.74325
FLJ20294	-0.0436666666666667
ZNF92	0.382875
TRAPPC2L	-0.1976
ARHGAP28	-0.61775
CCDC109B	-0.38075
LGTN	-2.46216666666667
INGX	0.180333333333333
LOC124446	0.28275
RPS2	-1.72925
C17orf75	-0.0843333333333333
NBPF1	0.5665
SLC2A8	1.12291666666667
SNRPE	-0.388
CARD6	-0.831
IL13RA2	-0.303875
CUEDC2	0.440375
C4orf19	-1.88775
AOC3	0.869375
MTHFD2	0.0393333333333333
OR5M9	0.433
C4orf38	-0.743666666666667
SS18L2	0.23
OAS3	1.65233333333333
LARGE	0.49475
LRIG3	-0.635833333333333
LIMA1	1.69675
STARD3	-0.0866666666666667
VPS39	0.661625
CTAGE6	0.6985
ODAM	-2.5485
MORF4L2	0.089
GSTO2	2.301
MTFMT	-0.8325
PRKAB2	-1.01578571428571
ZNF76	0.1915
HSPB2	3.0985
CRB2	0.123
KLRK1	-2.8075
LYST	0.115875
UBE2M	0.226333333333333
SLC16A9	-1.61175
ZNF281	1.27775
ST8SIA1	-2.818375
C9orf105	-0.204
ANKRD46	1.17175
FAM108A3	-0.44
C20orf91	0.278
ZYX	-0.857833333333333
RSPH1	1.5255
ZSCAN5	-1.395
RIMS3	-0.887833333333333
KRT76	0.4795
CEACAM4	1.05016666666667
SIRPB1	-0.110875
CFHR4	-0.805
SOX3	-0.719333333333333
GATAD1	0.454625
C21orf57	-0.099
TMC8	-0.814
AVIL	1.65483333333333
LMOD1	1.8325
HIGD1A	-0.0775
NEU3	-0.204333333333333
DES	-1.2635
BZW1	1.3046
ZNF221	0.497
CCDC27	-0.086
GDAP1	1.5895
RBBP4	0.661
MGC40499	0.458
PHKA1	-0.27775
PRKAR1A	1.45955555555556
HSD3B1	-0.00900000000000001
RAD52	-0.5315
CD207	-0.059
LOC389791	0.3945
RSPO1	0.102
TMEPAI	1.342375
MFSD2	-0.30925
ETV4	-1.522
SCGN	-1.1635
LOC391356	0.125
MPP1	-1.481
STARD3NL	-1.01225
TFAP2D	-0.164
CD2AP	0.518
CCL20	-5.1955
CCDC86	-1.6335
ZFP30	0.357
CTBP1	0.0445
MAK10	0.831833333333333
STXBP5	-0.924166666666667
LOR	0.0792
MAP6D1	-1.0435
ARMC7	0.8345
TMEM150	0.3431
NSL1	-0.6
KIF5A	-0.78825
ASCC2	0.262833333333333
PSENEN	0.872166666666667
OPTC	-0.1325
FCRL2	-0.802
KBTBD11	0.590125
PCK1	-2.24625
CENTD3	-1.258
MEGF8	0.07575
ALPPL2	-0.45725
OBFC2B	0.707333333333333
ZFYVE20	0.51675
GALC	0.778333333333333
CTRB2	-0.16625
C20orf71	-0.048
TBKBP1	-0.109166666666667
CAMLG	0.818
TREML4	0.02
RSAD1	0.2585
TUBA3D	0.0533
KIAA1833	0.939
PNPLA1	0.115
LRRC34	-2.112
CDH26	1.7935
ZNF167	-0.584666666666667
ZBTB26	0.9713
VWF	2.988
VTN	-0.151333333333333
BAD	0.49125
PDS5B	0.05025
ZNF644	-0.0205833333333333
SH3GLB2	0.652
SMPDL3A	-0.3227
NRG2	-0.586
IL15	-1.31283333333333
GABARAPL1	0.583166666666667
LAT2	-1.1338
SLCO1A2	-2.104
LIG4	-0.66225
GSDMDC1	1.173125
BMP4	-2.74575
METT10D	0.103375
SYCE1	0.8765
SPANXD	-5.37925
SLC12A9	-0.249666666666667
MC1R	-1.9525
RNF168	-0.85425
TRIM69	0.104
GALNT7	1.6025
ISG20L2	0.74925
KIAA2026	0.4945
TNFAIP8L1	-1.045
DPY19L2	1.59125
C12orf63	0.488
PRDX5	-0.3245
MED6	-0.948125
TXNDC5	-1.217875
CD46	0.82625
CCK	-3.05225
C17orf48	-0.523
ANUBL1	2.094
SIT1	-2.0055
TYSND1	0.726
DEF6	0.103166666666667
GLT8D4	-1.34575
UTP14A	0.092625
RPH3AL	1.79675
NXF1	0.202666666666667
TRERF1	1.769
TUBB3	-1.255875
SLC24A2	0.2225
SEC22B	-0.710666666666667
ZNF653	-0.58825
GGTL3	-0.565416666666667
CDKL2	-0.09875
CTF8	-0.752666666666667
EPC1	0.920666666666667
CYP4A11	-0.292666666666667
THRSP	1.87316666666667
LELP1	0.0278333333333333
TES	-1.185625
C17orf87	0.635
FERD3L	-0.0075
SH3TC1	0.25
RAB36	2.523
CRYGB	-0.954
GRIA3	0.4147
BHLHB9	0.22175
C1QTNF9	1.88325
GOPC	0.564625
PNPLA8	0.485
ZNF444	1.242
FMO1	4.2625
POLR3C	0.31575
SLC35F3	2.30525
SGCG	-1.29633333333333
DCDC2	-4.279
NANP	-0.94025
MGC23270	-1.0415
BEX4	1.115
HYDIN	0.9037
RPS6KB2	-0.99675
ADRM1	0.32775
BAT3	0.25725
RAB31	-1.4844375
SCGB2A1	0.830625
SLC6A14	-4.23075
DDX4	-0.5225
PRRC1	0.855666666666667
AP3B2	1.50183333333333
TRGV7	-0.1535
TMEM184B	1.1565
ADPRHL1	-1.1145
C21orf45	0.059
ARNTL	1.28675
AADAT	-0.1035
CCL2	0.108
SNTB2	-0.5785
RGS9BP	1.20875
KPNA1	0.30325
TMEM41B	0.2855
S100A11	-0.373833333333333
DOT1L	-1.8385
EFHC2	0.2975
CLTC	0.697333333333333
SRP9	0.536142857142857
ZNF521	-1.52725
FAM26F	-2.304
GPR88	0.471666666666667
COL13A1	-2.25416666666667
CHMP4B	0.2997
SIGLEC6	-0.172833333333333
NFAM1	0.03125
PVRL2	1.1231
ALKBH4	0.05
CCDC93	0.665
NXT1	-0.47075
KCNK4	0.195
TROAP	-0.0205
KCNA10	0.28975
CCDC114	0.159666666666667
RAN	-0.237916666666667
LMTK2	-0.076
LOC400657	0.7405
UFC1	1.47725
UBE1DC1	-0.6295
EEF1A1	-0.0740555555555555
CHAC1	-0.0045
HMGA2	-5.9419
B3GALTL	1.29625
ING2	-0.6755
C1orf109	0.52575
INTS3	0.216375
ZNF558	0.0325
TRPM4	0.0406666666666667
LTB4R	-1.173
ISYNA1	-0.35275
LSM7	-0.92375
LRRC47	-0.0016875
ZNF179	-3.27066666666667
EXDL1	0.149
SLC4A10	0.881625
ACSS2	-1.17283333333333
COPS7B	-1.0745
KIAA0040	0.844333333333333
C1orf95	0.6985
AP1GBP1	0.123
OR9A2	0.1995
FAM71C	0.237833333333333
RIN1	-1.64283333333333
ITGA4	-2.495875
DNAJC6	-0.294833333333333
CLOCK	1.46716666666667
SLC35A4	-0.4585
DSG4	-0.09625
LOC26010	-1.26875
NSUN2	0.40275
TMEM86B	-0.6907
C14orf135	0.32075
KIFC3	-2.55833333333333
PHF5A	-0.1365
NCAPH	-1.1705
STK11IP	-0.47475
FLJ42953	0.54775
CCDC19	0.913333333333333
ZNF329	0.91575
TAX1BP1	0.504833333333333
ZDHHC18	-0.456
C10orf88	-0.24125
TMBIM4	1.1571
NMUR1	0.5195
KIR2DS4	0.08725
C9orf90	0.153375
MGC87631	-0.8415
KDR	2.9303
ST3GAL2	-0.828125
RLN2	-0.386
HPD	-2.79525
MOXD1	-3.9385
PDGFRL	-0.331666666666667
SMYD4	-0.597428571428572
FAM103A1	0.54
MFAP4	-1.918
LOC285141	-0.19425
TMEM45B	-4.361375
SMCR7L	-0.0647857142857143
GZMH	1.6985
CBLN1	1.17266666666667
CNNM1	0.37375
PHF17	-1.5195
NUP98	-0.0928333333333333
RMI1	-1.161
PTPRS	0.044125
ANKRD57	0.962875
CLDN15	-0.915833333333333
OR51A2	0.226
GUCA2B	-0.064
DOCK9	0.65175
ITGB1BP1	-0.271666666666667
DLG2	-0.36225
BRAP	0.76025
SESN3	2.96775
ZC3H7B	0.81225
FAM101A	-0.936166666666667
FKSG24	-0.8715
ZYG11B	0.38525
RFC2	-0.81375
SH2D3A	-0.517
DVL3	-0.165166666666667
ADFP	-2.2755
KRIT1	0.4175
SERTAD3	1.8365
LEFTY2	-2.60975
KRT27	-0.1155
SCFD2	-0.6215
MN1	-0.68625
RORA	1.94025
PTPRD	-1.03575
PIAS2	0.069
CYP4X1	2.654
FBXL15	0.8675
MYH15	-0.232333333333333
CRX	-0.152833333333333
TBC1D13	0.13775
SLC22A17	1.88116666666667
PLK2	-1.66783333333333
ARHGAP9	-0.35425
EIF1B	-0.35125
C20orf185	0.014
DEFA7P	0.2075
PRIM1	-0.671166666666667
CRYAA	-1.99975
BACE1	-1.17425
AGTRL1	0.443666666666667
ACAD9	0.645625
GRASP	-0.4575
RBP4	-3.48216666666667
TFB2M	-0.4365
METTL9	-0.1037
ATP5O	-0.83775
SP100	-0.7487
CPSF1	0.1685
S100A4	-2.1665
LIME1	-1.1005
GPR137C	0.89775
OR2A2	0.247
C2orf29	-0.56875
NUP188	-0.9355
SDPR	0.3245
RAI1	-0.093
RPS20	0.00650000000000001
LAMB1	-1.4515
ADM2	1.111
ZNF229	1.5985
DKFZp434K1815	-0.602875
EPN3	3.24233333333333
CLIC3	-0.95125
MEIG1	-0.798
HMGB4	-0.16725
STARD10	1.783875
KLF8	1.3305
EPB41L2	-1.553
JMJD6	-0.052875
CTSL1	0.482166666666667
GPR27	1.2725
ELAVL4	1.433375
MMP21	0.074
PPM1B	0.888375
SUV39H1	-0.53225
AAMP	0.36025
TUSC4	0.816
MBD6	1.0735
KLK13	-1.112875
FMNL3	0.146666666666667
TRIM13	0.0224166666666667
C15orf5	-1.2595
IQCF1	0.00512499999999999
CACNG8	0.6095
SLC35D3	0.5595
ZDHHC9	0.914
ODF3L1	0.70025
C9orf86	0.1147
TSEN2	-0.6615
C17orf64	-0.22775
SEPX1	-0.4438
TSPO	-0.0258333333333333
SYMPK	-0.5295
ADORA1	1.47875
TSPAN10	-0.30025
SEMA6C	-0.290333333333333
RTTN	1.0109
IL2	0.381166666666667
ARRDC3	-0.289833333333333
TBPL1	-1.81183333333333
STX12	0.351
MRPL39	-0.8125
OR8H3	0.31
IFIT5	1.43383333333333
CASC5	-0.48475
FAM46A	0.098
HPCAL1	-0.625875
CYLC1	0.5055
VGLL2	0.033625
C20orf191	0.4195
CDH1	3.73383333333333
ITPA	-1.56975
CCDC101	0.18525
D15Wsu75e	0.4195
EDA	0.83275
CREG1	-0.4575
OR7G2	0.3605
SAP18	0.642833333333333
IFIT1	0.91875
CALML3	1.11
FLJ37440	0.4945
FNDC5	0.8895
SERPINB6	0.770642857142857
JUNB	-0.0135
SYS1	1.2655
SCN2A	-0.152333333333333
ZKSCAN5	-0.38
WNT7A	-0.195833333333333
TSHZ3	0.83875
RNF148	-0.5225
H6PD	-0.294875
CAD	-1.1535
ZNF449	0.61775
DOCK10	-0.3795
FAIM2	0.173833333333333
HEXDC	-0.10275
PRB1	-0.2875
C14orf148	-0.1205
ETHE1	-0.028
IRF5	0.7732
GNMT	0.5515
MGC16291	-0.876875
RPAIN	0.0881428571428571
CAGE1	0.61
CNTNAP3	-2.79175
ACTR1B	-0.58275
EEF1E1	0.09275
MSX1	-1.235375
ESF1	-0.8075
HSPC171	-0.09625
MRPL2	0.0261666666666667
RDH12	-0.814
CELP	-0.5335
METRNL	-0.3515
C10orf116	3.61266666666667
C19orf48	-1.093
ZNF346	0.35725
NCR1	-1.936
C10orf64	0.363
CD52	0.42675
VPS18	0.151125
AP4S1	0.104833333333333
NPBWR1	0.095
TPK1	-0.66725
UBA52	-0.845833333333333
RIPK1	0.966
CPNE3	2.0363
HSPC159	-0.1165
C8orf38	2.80525
LRRC4B	0.021
PARP10	0.0648
ANKRD50	1.41525
CXCL9	3.7695
FGF18	2.21545454545455
EIF2A	-0.31025
SLC20A2	-0.671833333333333
KIAA1549	0.782666666666667
SPINT1	2.2308
ZNF584	-0.3785
CRBN	1.38183333333333
ABCF3	0.540166666666667
NCBP1	-0.338833333333333
PLA2G4F	0.877833333333333
PCDH10	-1.002
TTC21A	0.345
C20orf144	-0.165
FGFR1OP2	-0.179666666666667
SLC9A1	0.2501
CHRND	0.16
FOXF1	-3.03025
KIAA1467	3.40725
TPO	0.151666666666667
LTF	1.65457142857143
DNAJB9	0.443
MRPS27	-1.466
bA16L21.2.1	-0.16025
WBP2	0.9695
MRGPRX3	-2.0105
PRPF18	-0.1315
C10orf58	1.94275
SMOC1	-2.9794
ADAT3	-0.697166666666667
TMEM138	-0.609
TMEM131	1.93025
TIMM8B	-0.76675
MYH7	-0.621166666666667
ST6GAL2	-0.801
KIF1C	-0.811
SUHW2	-0.6575
PAPSS1	0.81925
CABP2	-0.01
HOXA4	-1.66875
ELF2	0.595
SEMA3D	-0.6693
MC5R	0.344
OGFR	-0.2285
FLJ30092	1.38683333333333
TGFA	-0.2504
MMP17	-0.37975
KIF15	-1.37525
CHIA	0.34025
CATSPER3	0.4255
CEACAM7	1.20041666666667
PADI2	0.91375
HOXA9	-0.297666666666667
LNX2	0.606333333333333
TMEM144	0.681
HIF1AN	0.806
METTL7A	-0.4116
C6orf165	3.76283333333333
KIAA1468	0.868625
DSG3	-0.11
ZNF180	0.7225
EIF4E3	1.480125
SLC46A1	1.28175
DKK1	-6.80633333333333
ZNF205	-0.263333333333333
LOC162073	0.666833333333333
COX7A1	3.56375
MAGEA1	-4.70333333333333
NEDD8	-0.0425833333333333
KLHDC5	0.853833333333333
C3orf19	1.273
MRPS2	-0.32475
POLR3H	0.642714285714286
ABHD11	0.884
TMEM17	1.6055
PAIP2B	0.0191
MAT1A	-3.71225
LGI3	-0.00925
THUMPD2	0.11075
TKTL2	3.2035
XAGE3	-1.15116666666667
CALM3	0.243666666666667
C6orf136	0.496666666666667
KCNC4	0.123333333333333
RGS9	0.0906666666666667
ACIN1	-0.174833333333333
SPATS1	-0.18575
XKR8	0.45275
FAM84A	2.80275
MS4A7	3.42818181818182
AGXT2L2	0.4435
OR1F1	0.12
SMAP1L	1.33283333333333
IPO11	0.310875
ZC3H11A	0.3193125
C1orf151	-0.266375
RNASEH2A	-0.978
CCR10	-1.6425
TXNDC11	-0.751583333333333
TMEM112	-0.0645
MAP1B	-1.83271428571429
NVL	0.62325
PKM2	-1.3271
ARC	-0.62875
NUP54	-0.1775
PPFIBP2	2.59216666666667
STAT2	0.596375
PTAFR	0.956166666666667
ROBO2	2.119
RNF40	-0.2345
CCDC135	-0.286833333333333
IFT81	0.8947
MORF4	-0.27475
TM7SF3	-0.765125
OR10H3	0.256
ABP1	0.157125
CHRD	1.30125
PLEKHA8	-0.998
NCALD	1.17916666666667
OR5AK2	0.14825
ACCN1	0.213
SLITRK1	-0.19875
ARMET	0.68425
C9orf52	-0.93025
REEP4	-0.35775
MTSS1	1.213125
ADH1B	2.28866666666667
DLD	-0.536
CDK5	0.107
PPFIA1	0.2391875
WFDC3	0.62475
DNAJB12	0.8725
RANGRF	-0.182
MLANA	-4.5875
AMY2B	-0.356
KIAA0319	1.513375
RPS7	-0.1675
JAK3	-0.341
ARFGEF1	1.51
CXCL5	0.274166666666667
TRAPPC4	-0.46425
CETN2	0.72375
HSPC111	-0.30875
RHOBTB3	-1.1446
PHLPP	0.079
RGS10	-0.44025
TMEM58	1.345
CHERP	-0.68875
HSP90AB3P	0.601333333333333
FSTL3	-1.09283333333333
PEX11A	-0.1415
OR5V1	0.3
FCN3	1.85675
PTPN3	0.17825
NPTX1	-3.87225
C21orf84	-0.331
C11orf51	-0.63725
ZBED2	-1.66325
FLJ90757	1.639
NPY2R	0.47575
PLD3	0.12175
SYT17	3.21283333333333
SGSM2	-0.4265
OR1A2	0.427
FOXP1	-0.32275
SLC5A1	0.899
POFUT1	-0.6132
EPHB6	-2.797
MYO1G	-0.402625
STAC	-2.3864
KLHL17	-0.322666666666667
RGMA	0.2021
TJP2	0.2036
FAM114A1	-0.104166666666667
SERINC1	0.436583333333333
SLC9A8	0.43275
PEX19	1.630375
EDN2	-1.66825
PSMD7	-0.898333333333333
C3orf41	-3
UQCR	-0.28575
PPP1R3C	1.99875
LRP4	-0.8935
TM2D1	-0.19725
TTC17	0.3403125
C4BPB	-4.47575
CCL25	1.3955
ZNF253	0.810333333333333
CHRNA9	4.43025
SOX11	-2.20325
HIVEP3	1.285
CGN	3.41816666666667
C3orf35	0.013625
PKD2L1	3.1335
SYVN1	0.43475
PDE8B	0.5475
LOC439951	-0.441
LTC4S	2.13516666666667
MIF4GD	0.967166666666667
SMARCA2	0.324375
TUBGCP6	0.124166666666667
CABLES1	-0.367625
C16orf77	0.663166666666667
ZNF791	1.04825
FUT5	-1.609
ADH6	-2.2155
P4HB	-0.1255
CLDND2	-1.5705
ALKBH8	0.444
PLAC4	-0.901
F11R	1.06742857142857
MGC35295	-0.1625
PDZD4	0.341833333333333
LOC389073	0.15375
FAM80B	0.49
PSMB1	-0.9935
TXN	-0.129166666666667
VIPR1	2.2238
WBSCR18	1.0202
EXOSC6	-0.935333333333333
ACTA2	2.303
SP5	-3.94783333333333
ANKRD1	-3.44125
DDR1	3.2851
ATP6V1D	0.41025
PTGS1	-2.71008333333333
RNF157	0.61825
DCC	0.49325
SPAG7	-0.0705
FBXO18	0.8
UBE3C	0.0084
HOXC6	1.08325
LRP2BP	-0.847166666666667
MYST2	0.516
PDSS2	0.0145
ATE1	-0.21
ARAF	-0.652
KLF10	0.52275
PLA2G2E	-0.19075
ASCL1	3.08216666666667
TSNAXIP1	1.55875
FAM131B	0.158375
IFNA10	0.411
NUP43	-1.065
FAM44B	-0.037125
L1TD1	-4.94833333333333
NMD3	-0.941666666666667
C18orf54	-0.4641
PHOSPHO1	0.072
RAG2	-1.878
EMILIN3	-0.334
METTL3	-0.921
VPS13C	0.7735
REXO2	-1.644
ANXA4	-1.5885
CA1	-0.822
DCP1B	0.256
TULP3	0.407666666666667
ATP2A2	0.539642857142857
ATIC	-0.889
ADAM15	-0.9985
NPL	0.238166666666667
LGR4	-0.488875
UEVLD	0.924833333333333
GAB1	0.655
SNAI2	-0.760666666666667
ZGPAT	0.375
SNF1LK	0.309625
DLEU1	-1.1995
UBE2Q1	0.797875
ZMYM6	1.397875
JPH3	0.489
FAM38A	-1.0905
PXK	-0.454
DENND2D	1.3015
BAX	-0.84025
CP	-4.41972727272727
RPL37	-0.9625
G6PC3	0.90125
NCOA4	1.37033333333333
LRRC14	0.837125
GORASP1	0.42475
FCHO2	1.40625
CYP24A1	-3.8775
FXYD3	2.818
SMARCAL1	0.35225
ABCB8	-0.1945
CCDC44	0.26625
PRDM7	-3.083
USH1C	-0.22575
DNAH5	1.00166666666667
SRF	0.141166666666667
MAL2	2.673
PGPEP1	-0.139833333333333
SIN3B	-1.3285
SEMA3C	1.66483333333333
GRAMD3	-0.24525
FBXO10	-0.414625
OR5D13	-0.285
FLJ31818	0.085375
CACNA1I	-0.393875
S100A13	0.4865
TP63	1.14521428571429
ANXA11	0.6953
WDR66	-0.46775
CSF2RB	-0.1375
IFI44	-0.96375
DACT1	0.676666666666667
ANKRD23	-0.39175
ATP5G1	-0.967666666666667
C21orf70	-0.890666666666667
PPWD1	-0.4085
DNAJC13	0.19025
PAH	-5.555
PTCH2	0.87475
TRMU	0.04475
CCDC9	0.8525
USP3	0.0355
DCLRE1C	0.5628
FAM55C	1.63825
FRMD4B	0.7825
CYP2R1	-0.208
RFPL1	-0.7089
XPO5	0.14225
ARL6IP2	0.687
OSBPL5	0.375
MMP9	2.95636363636364
KIAA0802	1.272
DHRS2	-3.452
SGEF	1.4245
TXNDC10	1.1856
EXOC6	0.47175
RPS27	-0.501
PNCK	0.146833333333333
FSTL1	-1.7955
AACS	0.58675
SLMAP	0.204166666666667
SAMD4A	-2.1459
ABRA	-0.00574999999999999
SMARCD3	0.473
PKNOX2	-2.52916666666667
A4GNT	0.4625
C9orf39	-0.490166666666667
RALYL	-0.141
MGC33556	-2.808
C10orf25	-0.5115
BBOX1	3.25325
NHEDC1	-0.271
XDH	-0.53875
GCSH	-1.718
EDN1	-1.284
MTERF	-0.3895
CLK4	1.567875
ZNF799	0.579833333333333
KCNG1	-0.783375
CXCR4	-0.893666666666667
PTPRR	-2.762
IRAK1	-1.548375
LOC401397	-0.4075
TMSB10	-0.583357142857143
CXCL3	-3.4339
TMC4	2.7735
OR7A10	0.162
STYK1	1.65975
CHRNA10	0.48325
CCNI	1.27775
EP300	2.20507142857143
LOC165186	-0.5145
HIC2	-1.14875
SDR-O	0.142
OR2W1	0.2555
KCNA6	0.0275
TRIM74	-1.25175
REEP6	-1.426
ATP5G2	0.3105
ERG	-0.168
TMEM42	0.23225
PARN	-0.0545
SOD2	-1.386125
DIRAS1	-0.294333333333333
PNPT1	-1.589
JOSD3	-1.35875
hCG_40738	-0.2745
PDE1C	-1.76075
SEMA4D	-1.119625
AGPAT1	0.639666666666667
NOSTRIN	-0.462125
MAP3K3	0.01
MAX	0.503428571428571
CAPS	1.51133333333333
SERPINA12	0.054
OSBPL8	-0.56175
RICS	2.4632
NR4A2	1.3635
PPCS	1.284
LONP1	-1.72775
SCYL3	1.87175
HERC2P2	0.230833333333333
FIBCD1	0.326
C15orf41	-0.5155
DMC1	0.287166666666667
C20orf27	-1.0245
RPS6KA5	0.3966
FAHD1	0.112666666666667
SLC12A4	-1.49325
BRCA1	-0.830833333333333
GBL	-0.86975
SLK	1.20266666666667
NUDT9P1	-1.0005
NOXO1	1.3625
USP52	-0.1025
BAZ1B	0.422875
SLCO2B1	0.79325
BBS12	0.356833333333333
LRGUK	-0.4305
TERF2IP	-0.0985
COL1A1	2.4745
KIAA0090	0.19375
GRK5	-0.6485
AP1S2	-2.5539
TMEM52	-0.388833333333333
CA11	0.217625
OR4A15	0.464166666666667
ACBD3	0.6589
SPAG11B	0.171
PRDM2	0.0361
FOXP3	-0.161
SMYD3	-0.9768
LOC389199	-0.2835
LGI2	-0.401333333333333
NAPE-PLD	-0.3987
ANKRD6	0.791
WDR45	0.138333333333333
SHROOM1	0.00300000000000001
PSCD3	0.3175
PYY	0.205
KCNC1	3.489
ARHGEF9	0.1744
OR8J1	-0.1885
GPR55	0.249833333333333
NS3BP	-1.006
C10orf22	1.641
NAT8L	2.197
DUSP4	-1.16133333333333
FOXM1	-0.170166666666667
GRAMD2	-0.6831
ZBTB48	-0.495666666666667
BUD31	-0.0325
PABPC5	1.495
CCDC41	-0.111
FBXO11	1.12891666666667
C6orf148	-1.69325
RFXAP	0.24075
C6orf15	0.1875
CDK8	-0.242333333333333
C6orf70	0.191625
TESSP2	0.0885
ALG2	0.32675
PPP1R3D	4.78975
TPM3	0.597666666666667
SYT13	0.97525
EPB42	-0.9545
CETN3	0.38325
PRY	0.325
NTHL1	-1.14383333333333
POLR2B	-0.0655
RPS28	-0.48325
P2RX3	-0.032
LYZL4	0.086
WBP4	0.1079
PMM1	0.01175
C11orf79	0.54575
CBLL1	0.13175
IL1F10	0.1435
VAX2	1.264
SETDB1	0.151833333333333
LRAP	-3.48516666666667
GCLM	-0.735333333333333
CPEB3	2.24575
PPM1A	0.629625
INTS1	-0.61475
