Hybridization REF	TCGA-AN-A0AM-01A-11R-A034-07
MSX1	0.384125
ESF1	-0.9356
HSPC171	1.007
MRPL2	-0.664666666666667
RDH12	-0.195
CELP	-0.103
METRNL	2.2895
C10orf116	4.47683333333333
C19orf48	-0.82725
ZNF346	-0.274125
NCR1	0.1675
C10orf64	0.188
CD52	1.18025
VPS18	0.68975
AP4S1	-0.350166666666667
NPBWR1	1.3795
TPK1	0.57575
UBA52	-0.563055555555556
RIPK1	0.629166666666667
CPNE3	0.1969
HSPC159	0.959625
C8orf38	1.4215
LRRC4B	0.1435
PARP10	0.8817
ANKRD50	0.47425
CXCL9	6.94225
FGF18	1.08281818181818
EIF2A	-0.2615
SLC20A2	0.177666666666667
KIAA1549	-0.0845833333333333
SPINT1	1.5457
ZNF584	-0.2235
CRBN	-0.357333333333333
ABCF3	0.106333333333333
NCBP1	-0.869666666666667
PLA2G4F	0.4185
PCDH10	-0.67275
TTC21A	0.171
C20orf144	0.6735
FGFR1OP2	-0.9625
SLC9A1	0.1683
CHRND	0.189
FOXF1	-1.4415
KIAA1467	0.00375
TPO	-0.594166666666667
LTF	0.846785714285714
DNAJB9	0.6335
MRPS27	-0.837
bA16L21.2.1	-0.3615
WBP2	0.706666666666667
MRGPRX3	-1.72066666666667
PRPF18	0.51075
C10orf58	1.98675
SMOC1	-2.4014
ADAT3	1.031
TMEM138	0.8275
TMEM131	-0.47275
TIMM8B	0.0315
MYH7	-0.137
ST6GAL2	0.435125
KIF1C	1.04
SUHW2	-0.2505
PAPSS1	-0.149
CABP2	0.046
HOXA4	-1.277
ELF2	-0.50225
SEMA3D	0.5781
MC5R	0.2525
OGFR	0.7015
FLJ30092	-0.475833333333333
TGFA	-0.7809
MMP17	0.9025
KIF15	-1.9905
CHIA	0.28925
CATSPER3	0.31425
CEACAM7	0.0360833333333333
PADI2	0.417
HOXA9	0.441166666666667
LNX2	0.712333333333333
TMEM144	1.43575
HIF1AN	0.03625
METTL7A	-0.8313
C6orf165	1.95016666666667
KIAA1468	-0.13025
DSG3	-2.0195
ZNF180	0.552666666666667
EIF4E3	1.159125
SLC46A1	2.168375
DKK1	0.609666666666667
ZNF205	1.1675
LOC162073	1.78116666666667
COX7A1	4.86525
MAGEA1	-2.55966666666667
NEDD8	0.229333333333333
KLHDC5	0.126944444444444
C3orf19	0.596833333333333
MRPS2	-0.96725
POLR3H	0.561857142857143
ABHD11	0.2739
TMEM17	1.31275
PAIP2B	0.3784
MAT1A	1.58825
LGI3	0.1495
THUMPD2	-0.09
TKTL2	-0.01575
XAGE3	-1.83766666666667
CALM3	0.879333333333333
C6orf136	-0.452833333333333
KCNC4	-0.153333333333333
RGS9	0.274666666666667
ACIN1	-0.486333333333333
SPATS1	0.22525
XKR8	0.17975
FAM84A	1.51225
MS4A7	4.18445454545455
AGXT2L2	0.29125
OR1F1	-0.0635
SMAP1L	-0.0413333333333334
IPO11	-0.956125
ZC3H11A	-0.2675
C1orf151	0.395375
RNASEH2A	-0.13975
CCR10	-1.188
TXNDC11	0.540666666666667
TMEM112	1.18
MAP1B	-1.53885714285714
NVL	0.0885
PKM2	-0.45975
ARC	0.107
NUP54	-0.5315
PPFIBP2	1.11933333333333
STAT2	1.381125
PTAFR	2.05933333333333
ROBO2	-0.367125
RNF40	0.649833333333333
CCDC135	-0.322333333333333
IFT81	-0.8885
MORF4	-0.15825
TM7SF3	-0.645375
OR10H3	0.118
ABP1	0.1635
CHRD	1.12825
PLEKHA8	0.205833333333333
NCALD	0.491666666666667
OR5AK2	0.4015
ACCN1	0.654833333333333
SLITRK1	-0.06025
ARMET	0.547
C9orf52	1.3
REEP4	-0.74425
MTSS1	-0.176125
ADH1B	0.292166666666667
DLD	-0.86575
CDK5	-0.52375
PPFIA1	-0.207625
WFDC3	1.62275
DNAJB12	0.662214285714286
RANGRF	-1.5455
MLANA	-3.52425
AMY2B	-1.09275
KIAA0319	-0.352625
RPS7	-0.347
JAK3	-0.0395
ARFGEF1	0.06025
CXCL5	0.330416666666667
TRAPPC4	-0.735
CETN2	0.15475
HSPC111	0.293
RHOBTB3	-0.4624
PHLPP	-0.735
RGS10	0.12625
TMEM58	0.97075
CHERP	-0.140125
HSP90AB3P	-0.464833333333333
FSTL3	-0.6095
PEX11A	1.191
OR5V1	0.5255
FCN3	1.14625
PTPN3	1.081875
NPTX1	-3.826875
C21orf84	-0.95275
C11orf51	0.60475
ZBED2	3.6675
FLJ90757	0.55725
NPY2R	0.288
PLD3	-0.10275
SYT17	1.68816666666667
SGSM2	-0.56175
OR1A2	0.128
FOXP1	0.225375
SLC5A1	2.72075
POFUT1	-0.6147
EPHB6	-0.761666666666667
MYO1G	-0.87475
STAC	-1.4153
KLHL17	-0.299333333333333
RGMA	0.3909
TJP2	-1.735
FAM114A1	0.0503333333333333
SERINC1	0.547166666666667
SLC9A8	0.295125
PEX19	0.55375
EDN2	1.4585
PSMD7	-0.289222222222222
C3orf41	-2.9485
UQCR	-0.07625
PPP1R3C	-1.935
LRP4	-2.47716666666667
TM2D1	0.9605
TTC17	0.7123125
C4BPB	-3.24975
CCL25	0.5775
ZNF253	-0.6135
CHRNA9	-2.3525
SOX11	-0.08525
HIVEP3	0.299
CGN	2.09275
C3orf35	0.208875
PKD2L1	2.141
SYVN1	0.419875
PDE8B	-2.811625
LOC439951	1.124
LTC4S	2.249
MIF4GD	1.174
SMARCA2	1.1805625
TUBGCP6	-0.0715
CABLES1	-0.00537500000000002
C16orf77	0.00183333333333336
ZNF791	-0.2285
FUT5	1.4855
ADH6	-1.3735
P4HB	1.74525
CLDND2	-1.543
ALKBH8	-0.37075
PLAC4	-0.07625
F11R	1.29371428571429
MGC35295	0.357166666666667
PDZD4	-0.216333333333333
LOC389073	-0.06975
FAM80B	-0.703833333333333
PSMB1	-0.07975
TXN	-0.492666666666667
VIPR1	0.0399
WBSCR18	0.0643
EXOSC6	-0.526666666666667
ACTA2	3.63266666666667
SP5	-2.48875
ANKRD1	-2.02475
DDR1	1.5877
ATP6V1D	-0.1165
PTGS1	-1.25141666666667
RNF157	-0.91075
DCC	0.39275
SPAG7	0.71325
FBXO18	0.0935
UBE3C	-0.3848
HOXC6	0.302
LRP2BP	0.136833333333333
MYST2	-0.599
PDSS2	1.0815
ATE1	0.2645
ARAF	1.46275
KLF10	-0.48725
PLA2G2E	0.3205
ASCL1	-1.05233333333333
TSNAXIP1	0.75575
FAM131B	-0.358875
IFNA10	-0.1915
NUP43	0.254625
FAM44B	0.028875
L1TD1	-5.04
NMD3	-0.893333333333333
C18orf54	-0.9206
PHOSPHO1	0.1975
RAG2	-1.132
EMILIN3	0.368
METTL3	-0.158
VPS13C	0.303125
REXO2	-1.07525
ANXA4	-0.4265
CA1	-0.61175
DCP1B	0.69525
TULP3	0.217166666666667
ATP2A2	-0.114071428571429
ATIC	0.341
ADAM15	0.0458333333333333
NPL	1.37
LGR4	-0.44025
UEVLD	-0.154
GAB1	0.5315
SNAI2	-0.796166666666667
ZGPAT	0.1076
SNF1LK	-0.0790000000000001
DLEU1	-0.04225
UBE2Q1	0.716875
ZMYM6	-0.1680625
JPH3	1.9435
FAM38A	-0.25975
PXK	-0.0928333333333333
DENND2D	2.25125
BAX	-0.885
CP	3.78754545454545
RPL37	-0.0147
G6PC3	-0.33725
NCOA4	-0.5245
LRRC14	-0.4345
GORASP1	0.0905
FCHO2	0.415125
CYP24A1	-2.5977
FXYD3	0.70425
SMARCAL1	0.62875
ABCB8	-0.5315
CCDC44	0.9445
PRDM7	-2.17325
USH1C	-0.9855
DNAH5	0.0355
SRF	-0.0569166666666667
MAL2	1.6855
PGPEP1	-0.367166666666667
SIN3B	-0.3495
SEMA3C	-1.40783333333333
GRAMD3	1.24925
FBXO10	0.068625
OR5D13	0.4045
FLJ31818	-1.11225
CACNA1I	0.706875
S100A13	1.2625
TP63	1.45478571428571
ANXA11	1.8236
WDR66	-0.626375
CSF2RB	0.111
IFI44	1.64425
DACT1	1.419
ANKRD23	-1.492
ATP5G1	-1.22933333333333
C21orf70	-0.0188333333333333
PPWD1	-1.4305
DNAJC13	-0.273
PAH	-4.09583333333333
PTCH2	0.53775
TRMU	-0.4875
CCDC9	0.6435
USP3	-0.1437
DCLRE1C	-0.3773
FAM55C	1.609
FRMD4B	0.94675
CYP2R1	0.18875
RFPL1	0.1871
XPO5	-0.669
ARL6IP2	-0.362
OSBPL5	1.90625
MMP9	3.46090909090909
KIAA0802	-0.957875
DHRS2	-1.7205
SGEF	0.18825
TXNDC10	-1.2005
EXOC6	-0.50675
RPS27	0.300666666666667
PNCK	-1.096
FSTL1	-0.80925
AACS	0.77575
SLMAP	0.0998333333333333
SAMD4A	0.8597
ABRA	-0.06475
SMARCD3	1.87325
PKNOX2	-2.18916666666667
A4GNT	0.3805
C9orf39	-0.957666666666667
RALYL	0.3015
MGC33556	-2.5755
C10orf25	-0.676
BBOX1	4.054
NHEDC1	-0.3295
XDH	1.0705
GCSH	-1.101
EDN1	1.07116666666667
MTERF	-1.20475
CLK4	0.2565
ZNF799	-0.244833333333333
KCNG1	1.417875
CXCR4	2.831
PTPRR	-2.3205
IRAK1	-0.324875
LOC401397	-1.67725
TMSB10	0.724357142857143
CXCL3	-2.5764
TMC4	2.67775
OR7A10	0.3295
STYK1	0.72675
CHRNA10	-0.19275
CCNI	0.42975
EP300	0.731642857142857
LOC165186	0.190833333333333
HIC2	-2.01625
SDR-O	0.091
OR2W1	0.1215
KCNA6	-0.1505
TRIM74	-1.81625
REEP6	1.2875
ATP5G2	-0.293
ERG	-0.29175
TMEM42	-0.41475
PARN	0.7605
SOD2	0.222625
DIRAS1	0.888666666666667
PNPT1	-0.90825
JOSD3	-1.77375
hCG_40738	-0.7245
PDE1C	-1.42175
SEMA4D	0.0275
AGPAT1	-0.3625
NOSTRIN	0.123375
MAP3K3	-0.108333333333333
MAX	0.872642857142857
CAPS	1.60733333333333
SERPINA12	0.1365
OSBPL8	-0.267
RICS	0.944
NR4A2	0.198333333333333
PPCS	1.16933333333333
LONP1	-0.5635
SCYL3	1.9195
HERC2P2	-1.42283333333333
FIBCD1	-0.7255
C15orf41	-0.89125
DMC1	-1.06833333333333
C20orf27	-1.635
RPS6KA5	-0.7553
FAHD1	0.458666666666667
SLC12A4	-0.23625
BRCA1	-1.41891666666667
GBL	0.31075
SLK	-0.417833333333333
NUDT9P1	-0.502
NOXO1	4.3255
USP52	-1.507
BAZ1B	-0.16375
SLCO2B1	3.007
BBS12	0.713166666666667
LRGUK	-0.775333333333333
TERF2IP	0.07
COL1A1	5.067
KIAA0090	0.051125
GRK5	-0.503666666666667
AP1S2	-1.5279
TMEM52	-0.271333333333333
CA11	-0.58375
OR4A15	0.982666666666667
ACBD3	2.1986
SPAG11B	0.12125
PRDM2	0.7167
FOXP3	0.112
SMYD3	-1.2367
LOC389199	1.147
LGI2	0.397
NAPE-PLD	-0.6635
ANKRD6	1.353
WDR45	1.08083333333333
SHROOM1	0.124
PSCD3	0.099
PYY	0.467
KCNC1	-0.4295
ARHGEF9	0.2518
OR8J1	0.36675
GPR55	0.285833333333333
NS3BP	-1.3535
C10orf22	-0.168666666666667
NAT8L	1.199
DUSP4	0.052
FOXM1	-0.358
GRAMD2	1.7562
ZBTB48	-0.0365
BUD31	-0.713
PABPC5	0.4585
CCDC41	-1.39525
FBXO11	0.115416666666667
C6orf148	-0.40875
RFXAP	-1.15675
C6orf15	0.112333333333333
CDK8	0.798
C6orf70	-0.004
TESSP2	0.3525
ALG2	0.281
PPP1R3D	2.20425
TPM3	0.709611111111111
SYT13	3.562
EPB42	-0.841166666666667
CETN3	-0.72275
PRY	0.0035
NTHL1	0.531166666666667
POLR2B	-0.424
RPS28	-0.106083333333333
P2RX3	0.16425
LYZL4	0.214
WBP4	0.0504
PMM1	0.0505
C11orf79	0.5765
CBLL1	-1.19975
IL1F10	0.264333333333333
VAX2	1.3045
SETDB1	0.3315
LRAP	-2.272
GCLM	-0.399333333333333
CPEB3	1.07375
PPM1A	0.0593125
INTS1	-0.1315
CAMTA1	0.321833333333333
SAMSN1	-2.3825
LOC158830	-1.63583333333333
GMPPA	0.618
AIPL1	0.1095
IL24	-0.109833333333333
BDKRB1	-1.5785
MLF1	-0.1805
TAF12	-0.38125
ID1	-2.497875
THADA	0.224875
PIK3CB	-0.34325
OR4N5	0.2715
TBC1D17	-0.123
COX8A	0.1085
CDCA4	-0.83675
C2orf44	-0.6485
ZNF534	-1.0995
IMMP1L	0.85575
NIPSNAP3B	-1.194625
FTMT	0.3965
PWP2	-0.612
MMP15	0.05
DNAH11	0.22325
MTMR14	-0.401
DNAL4	0.429
IPP	-0.184
TMEM59	1.954
C1orf157	0.4645
RGS4	0.440166666666667
DDX18	-0.344
SNX6	0.33825
ZNHIT2	1.07483333333333
NCDN	0.254
FLJ33534	0.76225
RAG1	-1.26825
OR4D10	0.2885
PTPN5	-0.410833333333333
POMT1	0.36875
LRRC8A	-0.2038
CYP1A1	-1.177
CAPN1	-0.259833333333333
DDHD2	-0.335375
GRIK2	0.5735
GNRHR	0.446
PPBP	0.17775
HTR3A	-0.693625
SLITRK4	0.77125
ANKRD49	-0.775
BTF3	-0.0209
SARS	-0.38575
C13orf18	0.212333333333333
CACNB1	-0.0167142857142857
QKI	-0.2775
SETMAR	0.754
MAN2B1	1.78933333333333
EML3	-0.5775
ACADL	-0.231833333333333
OFD1	2.108875
DEFB114	0.2105
CGA	-1.0676
PEX16	0.963166666666667
LRRC10	-0.445
GNG12	0.019
C1orf152	1.276
CHRM1	0.408
CD53	0.288625
DBH	-0.271
TFAP2B	3.588625
HIST1H2BJ	-0.293666666666667
FAM46D	-0.0005
TMEM11	-0.47925
C3orf32	-3.44875
PCCB	-0.410125
IPO13	0.263375
C6orf105	1.666
COMMD5	0.73625
SUV420H1	-0.2632
LTBR	1.17
ARHGAP15	-1.661875
HDHD2	-0.87625
TDRKH	0.217166666666667
LOC401052	1.2695
PSG4	-1
GNB4	0.6653
SPATA4	0.204
SLC9A3	-0.2585
OSBP	0.468333333333333
NBPF3	-0.603416666666667
DOCK11	-1.1195
SLC39A5	-1.39783333333333
PRR5	1.2241
C10orf63	0.174
SMTNL2	-1.38475
ADRA1A	0.4585
ASAH1	0.5164
DOM3Z	0.1397
GIPR	0.923333333333333
AHI1	-0.0746666666666667
NADSYN1	-0.0915
RGS14	-0.8791
IL18BP	1.801
RTN4RL1	1.8855
ARMC6	-0.684
PSMD5	-0.4595
HK3	1.3882
OR4S1	0.438
RSU1	0.525
MAD2L1	-1.73988888888889
EIF4A3	0.6305
DLEC1	0.712166666666667
E4F1	0.4885
CHMP2B	0.1039
CAMSAP1	-0.548
RPS21	0.0966666666666667
ARID5A	0.10525
UBE2N	-0.6607
IGSF8	1.08033333333333
MAGEB6	-0.213
ACAD11	-0.5496
MGC4172	-1.19225
LMO4	0.3815
KLKB1	-0.5265
HP	-0.667
HDAC3	0.11475
SCHIP1	-0.6545
CLCA1	0.233
OLFML2A	0.327375
C1orf112	-0.1175
KIF19	0.581166666666667
HAPLN4	-0.0519
CXCR7	-0.485333333333333
GOT2	0.2648
RAB38	-0.4285
DCX	-0.8925
PPM1H	-0.269166666666667
NFYC	0.450833333333333
KIN	0.368625
ZNF228	0.796
PLSCR4	2.0685
HIG2	-1.14225
FAM79B	3.937
C21orf86	-0.0915
KCNK10	0.0425
ZNF738	-1.376
FSTL5	-0.1775
OR6A2	0.364
OTOA	0.494166666666667
EXOC1	-0.244625
AHRR	-2.6045
PDAP1	-1.34775
C19orf6	0.12225
ZAN	0.3665
LY6G6E	0.2615
EIF4E2	0.304
C20orf198	0.59475
ZNF324	0.3625
CYP3A5	-3.289
ENTPD7	0.710333333333333
MBOAT5	-0.218
GJB5	1.56475
TTC13	1.90075
S100Z	-1.14133333333333
KIAA0664	-0.083
PDGFRB	2.07966666666667
IL17D	-0.86025
OR56B4	-0.2605
RDX	-1.34616666666667
SLC34A3	1.1815
IL28B	0.051
JUND	0.171
CHRNB1	-0.68225
CAMK2B	0.75075
FETUB	-1.694
CXorf23	1.095875
MRTO4	-0.737375
TTC3	0.3467
NDUFB8	-0.751
EDG2	-0.6725
SEMA3G	-0.198
IL23A	-0.71275
GRHL1	0.3936
LOC441054	-0.876
WDR65	0.538875
PSTK	0.2285
STOML3	0.329166666666667
R3HDM2	-0.6336
C5	-3.0285
SLC2A10	1.18333333333333
C3orf22	0.63575
PAQR3	-1.09776923076923
ANKRD26	-0.816083333333333
HCRTR1	0.181
LOC399947	0.2395
PSD2	-0.1085
TIGD2	-0.567833333333333
SCRN1	-0.513875
COQ10A	1.34825
DDI2	-0.2125
METTL7B	2.75666666666667
UCN2	0.4505
FAM92A3	-0.20275
WDR16	0.331
ZNF511	0.0675
ZMYM5	0.25925
POLR3G	-0.9875
ZNF586	0.03
C1orf49	0.2785
TANK	-0.0608333333333333
RCAN1	0.127833333333333
PELI3	1.18716666666667
LIMD2	-0.0425
TMEM189	1.1545
NTN4	-2.120875
LOC151300	0.281
CLEC2A	-0.745
GPR135	0.07525
DPYSL4	-2.1704
JAK2	0.0156666666666667
TSHZ1	0.626166666666667
TM9SF4	-0.768375
ZNF264	0.816833333333333
SIRPG	1.81675
BICD1	-0.394
HERC6	2.55116666666667
METTL5	-0.5275
CASP1	1.49225
PRRT1	-0.415666666666667
PLA2G4C	2.265
ICA1L	0.0082142857142857
TPTE2	0.286166666666667
OTUD7A	1.0545
AQP11	-1.16525
APOA2	-3.8503
KALRN	-0.496
SECTM1	2.323
IFNAR1	-0.1575
TALDO1	0.220125
RAB11FIP4	-0.106916666666667
EIF5A	-1.37
FAM49A	1.25175
NEGR1	-0.173666666666667
YTHDC2	0.56875
EHD2	-0.897
NCF1	1.8367
SCRT2	1.0295
HOXA5	0.665
NUP133	0.1405
FGF12	0.516625
SLMO2	0.34575
SNTA1	-0.326875
CACNG2	0.35025
GCM1	0.01425
ELF1	-0.296666666666667
TLR5	2.921
TCFL5	-0.7125
RBMY2FP	-0.658
LOC100125556	0.545375
FAM129B	0.2055
MAP3K7IP1	-0.066875
NCK2	-0.1235
OXA1L	-0.089
FMO9P	0.356
ZSCAN12	-0.19375
PSMD12	0.993083333333333
HSCB	0.14325
CLDN10	-3.3735
MGC13053	-0.266
HPCAL4	0.0971666666666667
ASZ1	-0.352
MEX3D	0.29925
NFAT5	-0.6244
CSPG4LYP1	-0.2215
FBXO3	0.6769
DVL1	-0.147833333333333
CMKLR1	1.57733333333333
TYMS	-3.04325
PEF1	0.88475
ZNF750	0.963833333333333
MCM5	-0.3254
MEGF11	-0.56575
KCNK7	0.2755
PTP4A3	-0.1165
C1QTNF2	-0.337
OR6S1	0.172
FAM122B	-1.3475
ZNF551	-0.3975
HBQ1	-2.132
GEMIN6	0.51125
ARSK	-0.1595
RBP7	2.98433333333333
CPNE9	0.128
DSC1	0.563
LOC730112	0.1285
MAP2K4	-0.038375
HS3ST5	-0.4175
EPB41L3	-1.1305
TEKT2	-0.007
CDKN2B	0.93075
ZNF480	-0.217
MAP3K6	0.3936
MAP6	2.77016666666667
HN1	1.653
OR2L13	0.1015
SLC16A11	0.74375
FAM96A	-0.8725
APOL1	1.43475
C5orf32	0.78675
RTP1	-0.178666666666667
RNF175	0.185625
ZBTB41	0.878
AHCTF1	0.2848
SAE2	-0.0449
ITGA2	0.0889166666666667
MME	0.931
CCDC14	-1.52
MAST4	1.70542857142857
KRT33B	-0.267
KCTD2	0.297666666666667
WDR26	0.291
MFI2	0.40175
NR4A3	-0.3265
ARSA	1.97
UNKL	0.348
SULT6B1	0.011
CCNA2	-1.80783333333333
SOX15	-0.1285
PPAPDC1B	0.821083333333333
C19orf44	0.191
MCAT	1.10733333333333
ARID1B	-0.11075
OR52N1	0.006
C12orf48	-1.765
MAGI1	-1.041625
NIPA2	-0.04675
GBX2	-0.534
RSHL3	-0.220125
RAVER1	0.456166666666667
C15orf17	-0.5995
SLC30A2	0.372375
ZNF518	-0.0775
PCYT1B	-0.828
C10orf114	-1.5665
EIF3H	0.32575
SLC25A39	-0.810666666666667
KIF1B	0.56275
AMOTL2	-0.35575
C6orf120	-0.370375
PSRC1	-2.006
PLA2G10	0.6915
KIF5C	0.01475
MRPL37	1.442
C17orf62	1.04283333333333
C9orf135	-0.717333333333333
DUSP10	0.4388
CLCNKB	0.1585
PSMA5	0.100375
C8orf53	0.7245
AMPD3	1.4675
PIAS1	-0.51675
ADCYAP1R1	-0.226
GYLTL1B	0.92875
CDH20	0.166
FBXO7	0.35725
TMEM134	0.489166666666667
FLJ14213	0.0835
ZNF3	-0.848
LRRFIP1	0.155208333333333
CNOT2	0.750166666666667
ABI3	2.15325
ALDH5A1	0.0666666666666667
HNT	2.1028
SERPINA4	-2.35975
TK2	0.892083333333333
STMN1	-1.522
GUCA2A	0.260333333333333
GALNT10	0.852571428571429
DPP6	-0.63735
C9orf93	-0.7635
PRELID2	-1.027125
STK39	-0.816375
SFTPA1	-0.48225
CKS2	-1.26622222222222
RHO	0.34475
C20orf135	-0.23525
XKR3	-2.548
CR1	0.029125
RPS6KA2	0.0948571428571428
C20orf112	-0.01475
MRPL22	0.3825
C4orf23	-0.276666666666667
GADD45B	0.77325
KLHDC1	0.118166666666667
C2orf48	-1.766
ZNF287	-0.635
DAAM2	-0.08
DPPA2	-2.68
TCTN3	-0.1465
DNAJB11	0.65675
FPR1	3.75975
DEFB4	0.418
PTCD2	-0.9846
SMOC2	4.42683333333333
CABP7	0.11475
SERPINB11	0.221
MAGEF1	-0.17325
NDE1	0.228666666666667
ITGA10	0.275
FSHB	0.395
ANXA2	0.75475
HORMAD2	0.02375
HLCS	0.803
MCF2L	0.875833333333333
FH	0.3835
TBC1D24	2.87525
KIAA1505	-0.789
LGALS2	-0.23025
CNBD1	0.324
SYNPO2L	-0.20725
PTPN23	-0.0824285714285714
C1orf183	0.421666666666667
MAGEA8	-2.502
DGCR8	-1.026125
GSR	-0.2645
PAQR7	0.016
ZNF676	-1.23875
CACNA1C	0.1244
SP7	0.5405
PDCD6	1.94025
NRN1L	-0.421
BRI3BP	0.27625
KIAA1183	1.69575
ASB4	0.08825
CCL23	0.4622
OBSL1	-0.755875
SLC12A7	1.76141666666667
KIAA0240	0.900375
CD1B	-2.891
FCGR2A	2.2295
MDC1	-1.66275
HTR1A	-0.042
OCEL1	0.2445
ATP11B	0.1623125
FBXO34	-0.624666666666667
PCDH12	2.69066666666667
RPE	-0.365
C17orf74	-0.33
CSDC2	0.509666666666667
PET112L	-0.485
TMBIM1	-0.463625
P2RXL1	-0.05125
TCHP	-1.048
TRMT1	0.234
F2RL2	-0.467083333333333
LRRC32	2.1135
IMPG2	0.2815
BGLAP	0.022
LOC493869	-0.322833333333333
MRAS	1.8035
SLC35F5	0.70475
CBWD1	0.2465
AXL	-1.54975
ATP2C2	1.285
TELO2	0.11975
PNPLA3	1.92925
PCDHB14	1.691
CD276	0.587
KRT80	-0.614
DUSP28	-0.9945
CSNK1E	-0.368333333333333
SRP14	-0.069
KCNQ4	0.099
KRT72	-0.145666666666667
CCDC117	0.45075
C6orf89	-0.211555555555556
TUBB2B	-2.72116666666667
RTN4IP1	0.8875
CR1L	-3.16816666666667
CEND1	0.518375
C12orf41	-0.0788333333333333
RNF31	0.73225
UBN1	0.680166666666667
C17orf32	1.635625
SLC5A7	0.15875
GPR92	0.4825
ESAM	1.6693
CTNNA1	0.59825
HRBL	-0.2422
CBX4	0.632
TMEM182	-1.141
SH3TC2	-1.17166666666667
IL10	0.411166666666667
PXMP4	-0.3655
RNF167	1.3232
PAK7	-0.00466666666666665
ETV3	-0.1055
ATPIF1	-0.468
LOC554207	-1.75766666666667
OR8H1	0.2975
WDFY3	0.52225
DPM1	0.89125
GPSM1	-0.543
WDR92	-0.1331
LRP1	0.9075
ANKH	0.2955
THUMPD3	-0.672
POLR1B	0.012
OLFM4	1.84416666666667
RAD9B	-0.481
TSPY2	-3.211
PAX6	-0.3445
SCG2	-2.729625
SLC17A6	0.44425
FMO3	1.9825
PADI4	0.22825
TUBB4	-0.5744
NLK	1.3965
POU4F3	0.0445
SDF4	0.0755
ITGBL1	2.29866666666667
NETO1	-1.11725
TAP2	0.63325
ABBA-1	-0.0565
GNAI1	-0.00599999999999998
VPS4B	-0.0225
NOPE	-0.8149
GALNT6	2.89483333333333
SESN1	-1.03025
GBE1	-2.01433333333333
CLASP1	-0.18425
RASGEF1B	0.681625
ACOT11	1.00792857142857
AFAP1	0.00325
OR2H2	0.2635
DPY19L2P1	-0.80175
DZIP1	-1.38375
SEC22C	-0.0914166666666667
GPR161	-0.416916666666667
RNF146	0.115
WDR74	-0.321375
GALP	0.202
PURA	1.11325
DNPEP	0.887166666666667
RP11-78J21.1	-1.52025
ERBB2	0.880125
FANCM	-1.29966666666667
NEO1	0.941166666666667
DDX3Y	-4.1974
RPS3A	0.0128750000000001
MXRA7	0.618785714285714
LGALS3	-0.453666666666667
GLT8D1	-0.73225
CFL2	-1.46283333333333
UPB1	0.22425
NAP1L5	-0.341875
CLDN14	-0.32925
DHX38	-0.42475
BTBD1	0.11525
TARS2	1.06866666666667
ABCF1	-0.0897
FCF1	0.120333333333333
LRRC49	-1.007
GUCY1B2	-0.021
C1orf177	1.6675
SMARCA4	-0.687357142857143
LRP8	0.252333333333333
TAGLN3	-1.06125
MRPL14	-0.60375
TTRAP	-0.402
ZDHHC20	0.789
NFE2L3	-0.1
KIAA1377	0.39975
PALMD	1.0676
TMEM43	-0.044
TTL	-0.559375
STAT5B	-1.285
SSB	-0.82275
OR10H5	-0.5385
SLC22A13	-0.38225
AKAP3	-0.8205
TIMM23	0.625333333333333
OAS2	2.29283333333333
KIAA0423	0.09825
TRIM11	1.3355
GLIS3	1.1545
TMEM50B	0.6405
ARHGEF4	-0.057
DEGS1	0.722181818181818
TBL1XR1	0.8274
G6PD	-0.004
SP140	1.1316
MUC17	0.143857142857143
NUDC	0.0326
DNAJC5B	0.598333333333333
SCARA3	-0.846166666666667
CPA3	3.456
BCAT2	-0.085875
MFN1	-0.1126
NRG3	1.5655
SNX11	0.175
PLEKHH1	-1.16516666666667
GPR177	-0.408333333333333
HCFC2	0.26775
TCAP	-0.599
MOCOS	-0.3755
C14orf93	-0.43425
PRDM10	-0.772333333333333
SLC16A4	-0.775083333333333
SRGAP1	-0.0966666666666667
VIP	0.393
DUSP27	-0.288166666666667
LILRA1	0.3479
MC2R	0.4585
MGC24103	-1.017
MBTD1	-1.2765
FUT11	-0.468166666666667
USP33	-0.3187
C15orf39	-1.15625
MAP3K12	-0.39475
PAAF1	-1.427
BARHL1	-0.333
FLJ16165	-0.229
PIWIL2	-2.57575
SYNE1	0.677333333333333
CMTM4	1.099875
TSPYL1	-0.2596
GUF1	0.109166666666667
TMEM157	1.428
WDR44	0.277
HIST1H3C	0.11025
DKFZp666G057	0.9675
RNPEP	0.607
GAS2L2	0.2575
ADH4	-4.31375
GRPR	2.21333333333333
FBXL17	1.23025
ZBTB10	-0.2585
Gcom1	-0.263444444444444
HTRA1	1.4155
ZNF585A	0.0188333333333334
SLC26A2	0.905
OTOP3	0.145666666666667
WISP1	1.58044444444444
ATP2B4	-0.9435
FLJ10769	0.5005
CRAMP1L	0.126
CHST12	-0.42275
RAB22A	0.165333333333333
TARDBP	0.0521428571428571
STAU1	0.2795
CRB3	2.62716666666667
MIG7	-0.41475
CHMP1A	0.2065
ZNF160	-0.21675
B3GALT6	0.108375
BARX1	0.918666666666667
C6orf167	-0.85775
NXNL1	0.158
DHX29	0.38175
HADHB	-0.1205
PLXNB2	0.8685
ILDR1	-1.193
SLC15A3	3.27325
GAS2	-4.32233333333333
C20orf69	-0.75575
NUMB	-0.11475
TNIP1	0.505625
MESP1	-0.0451666666666667
