Hybridization REF	TCGA-C8-A12N-01A-11R-A115-07
SH3GLB2	0.819625
SMPDL3A	0.5267
NRG2	-1.869375
IL15	1.363
GABARAPL1	-0.161333333333333
LAT2	0.482
SLCO1A2	-2.51166666666667
LIG4	0.164166666666667
GSDMDC1	1.721625
BMP4	-1.229
METT10D	0.601125
SYCE1	0.643
SPANXD	-5.54775
SLC12A9	0.159833333333333
MC1R	-1.3395
RNF168	-1.4675
TRIM69	0.96825
GALNT7	1.02033333333333
ISG20L2	-0.11625
KIAA2026	1.061
TNFAIP8L1	0.565
DPY19L2	-1.249
C12orf63	1.097
PRDX5	0.79175
MED6	-0.58725
TXNDC5	-1.643125
CD46	-0.273666666666667
CCK	0.02825
C17orf48	-0.364
ANUBL1	2.41325
SIT1	-1.6115
TYSND1	0.703666666666667
DEF6	-0.102833333333333
GLT8D4	2.0075
UTP14A	-0.01125
RPH3AL	2.06575
NXF1	0.414666666666667
TRERF1	1.1465
TUBB3	-1.1868125
SLC24A2	1.257
SEC22B	0.239833333333333
ZNF653	0.84525
GGTL3	-2.06966666666667
CDKL2	-0.3895
CTF8	-0.51
EPC1	1.565
CYP4A11	-0.241
THRSP	4.72933333333333
LELP1	-0.774166666666667
TES	1.200375
C17orf87	1.174
FERD3L	0.4295
SH3TC1	-0.0325
RAB36	0.3125
CRYGB	-0.6875
GRIA3	1.8395
BHLHB9	1.14925
C1QTNF9	0.9955
GOPC	0.111375
PNPLA8	0.0886666666666667
ZNF444	0.8175
FMO1	2.6605
POLR3C	-0.197
SLC35F3	-2.938
SGCG	-3.12466666666667
DCDC2	-2.74633333333333
NANP	-1.13275
MGC23270	-0.45
BEX4	-0.7495
HYDIN	1.7732
RPS6KB2	-0.68125
ADRM1	0.319333333333333
BAT3	0.13275
RAB31	2.7416875
SCGB2A1	4.42375
SLC6A14	-3.995
DDX4	-0.30675
PRRC1	0.547
AP3B2	1.19383333333333
TRGV7	0.205666666666667
TMEM184B	0.2995
ADPRHL1	0.970166666666667
C21orf45	-0.746625
ARNTL	0.766875
AADAT	-0.83175
CCL2	1.0015
SNTB2	-1.15916666666667
RGS9BP	-2.1655
KPNA1	1.07175
TMEM41B	-0.386333333333333
S100A11	1.43541666666667
DOT1L	-1.7835
EFHC2	1.006
CLTC	-0.6515
SRP9	-0.501714285714286
ZNF521	-0.37025
FAM26F	-0.10675
GPR88	1.01283333333333
COL13A1	-2.2485
CHMP4B	-0.0703
SIGLEC6	0.261666666666667
NFAM1	0.443125
PVRL2	1.2753
ALKBH4	0.438
CCDC93	-0.6486875
NXT1	-0.54275
KCNK4	1.229
TROAP	-2.124
KCNA10	0.451
CCDC114	0.0611666666666667
RAN	-1.396
LMTK2	-0.5235
LOC400657	0.109
UFC1	0.699
UBE1DC1	-1.236
EEF1A1	-0.199666666666667
CHAC1	-0.6435
HMGA2	-5.644
B3GALTL	-0.30275
ING2	-0.2245
C1orf109	-0.07975
INTS3	0.51675
ZNF558	0.255
TRPM4	2.07316666666667
LTB4R	-1.27
ISYNA1	1.1935
LSM7	-0.4295
LRRC47	-0.4445625
ZNF179	-3.15983333333333
EXDL1	0.0186666666666667
SLC4A10	-1.0485
ACSS2	-0.218166666666667
COPS7B	0.2715
KIAA0040	2.92783333333333
C1orf95	-0.2545
AP1GBP1	-0.3955
OR9A2	-0.2685
FAM71C	0.3825
RIN1	-1.431
ITGA4	-2.157375
DNAJC6	-0.962833333333333
CLOCK	1.45533333333333
SLC35A4	1.14733333333333
DSG4	0.39325
LOC26010	-0.056
NSUN2	-1.4475
TMEM86B	-0.8858
C14orf135	0.1265
KIFC3	-1.347
PHF5A	-0.39575
NCAPH	-2.71
STK11IP	-0.44
FLJ42953	0.629875
CCDC19	2.6145
ZNF329	-0.085125
TAX1BP1	0.404333333333333
ZDHHC18	0.211666666666667
C10orf88	0.1495
TMBIM4	1.505
NMUR1	-1.4375
KIR2DS4	0.24575
C9orf90	-0.09175
MGC87631	-1.6415
KDR	3.1653
ST3GAL2	-0.703
RLN2	3.78566666666667
HPD	-3.65625
MOXD1	-3.60466666666667
PDGFRL	2.87516666666667
SMYD4	-0.7775
FAM103A1	-0.1605
MFAP4	0.548
LOC285141	1.42125
TMEM45B	-0.81025
SMCR7L	-1.07457142857143
GZMH	3.0105
CBLN1	-2.57716666666667
CNNM1	-0.4685
PHF17	-1.14625
NUP98	0.21175
RMI1	-2.09725
PTPRS	0.22925
ANKRD57	0.300875
CLDN15	-0.785666666666667
OR51A2	-0.5725
GUCA2B	0.9715
DOCK9	0.63675
ITGB1BP1	-1.39383333333333
DLG2	-0.29075
BRAP	0.12075
SESN3	-0.2125
ZC3H7B	0.44175
FAM101A	2.353
FKSG24	0.4025
ZYG11B	-0.745625
RFC2	-1.22975
SH2D3A	1.01783333333333
DVL3	0.453166666666667
ADFP	-1.74883333333333
KRIT1	-0.405375
SERTAD3	2.1425
LEFTY2	-3.894
KRT27	-0.7775
SCFD2	-0.37475
MN1	-0.06725
RORA	-0.1625
PTPRD	0.57775
PIAS2	-0.826333333333333
CYP4X1	5.53683333333333
FBXL15	0.60425
MYH15	-0.107166666666667
CRX	-0.2395
TBC1D13	-0.63225
SLC22A17	0.861
PLK2	0.8235
ARHGAP9	1.36775
EIF1B	-0.50225
C20orf185	0.0985
DEFA7P	0.4445
PRIM1	-2.94833333333333
CRYAA	-1.63425
BACE1	0.0505
AGTRL1	0.418
ACAD9	-0.026125
GRASP	-0.3985
RBP4	-4.316
TFB2M	-1.03725
METTL9	0.5589
ATP5O	-0.67575
SP100	0.5883
CPSF1	0.255
S100A4	0.156
LIME1	-1.121
GPR137C	-1.1735
OR2A2	0.949
C2orf29	-0.637
NUP188	-0.751
SDPR	-2.89325
RAI1	0.447625
RPS20	0.7724
LAMB1	-0.591
ADM2	0.7515
ZNF229	0.332
DKFZp434K1815	-1.175625
EPN3	1.62666666666667
CLIC3	-0.3695
MEIG1	0.01325
HMGB4	-0.30475
STARD10	1.646125
KLF8	2.67525
EPB41L2	-1.08066666666667
JMJD6	-0.78325
CTSL1	-0.981333333333333
GPR27	0.094
ELAVL4	2.186375
MMP21	0.982
PPM1B	-0.508125
SUV39H1	-0.52175
AAMP	0.14525
TUSC4	0.874666666666667
MBD6	0.6
KLK13	-1.40575
FMNL3	0.956166666666667
TRIM13	0.255083333333333
C15orf5	-2.30475
IQCF1	0.802125
CACNG8	0.0755
SLC35D3	0.331833333333333
ZDHHC9	1.167
ODF3L1	-0.0645
C9orf86	-0.1596
TSEN2	-0.96625
C17orf64	-0.29175
SEPX1	1.2766
TSPO	1.21733333333333
SYMPK	-0.4535
ADORA1	0.557
TSPAN10	0.91125
SEMA6C	0.5755
RTTN	-1.3087
IL2	-0.3655
ARRDC3	-0.664416666666667
TBPL1	-1.52683333333333
STX12	0.37375
MRPL39	-0.69475
OR8H3	0.6835
IFIT5	1.51383333333333
CASC5	-3.21475
FAM46A	-0.585833333333333
HPCAL1	-0.736625
CYLC1	-0.671
VGLL2	0.063375
C20orf191	-0.456
CDH1	1.05533333333333
ITPA	-0.1935
CCDC101	1.53175
D15Wsu75e	0.65325
EDA	-1.727
CREG1	-0.909
OR7G2	0.554
SAP18	0.838
IFIT1	3.427
CALML3	0.429
FLJ37440	1.731
FNDC5	0.19325
SERPINB6	0.0165
JUNB	1.0489
SYS1	0.98525
SCN2A	-0.696666666666667
ZKSCAN5	-0.5355
WNT7A	0.101333333333333
TSHZ3	2.0515
RNF148	1.8675
H6PD	0.45125
CAD	-1.4195
ZNF449	0.20625
DOCK10	-0.3615
FAIM2	-0.2425
HEXDC	0.5875
PRB1	-0.3665
C14orf148	-0.411
ETHE1	1.41275
IRF5	-0.2778
GNMT	0.767
MGC16291	-2.25775
RPAIN	-0.586785714285714
CAGE1	0.2515
CNTNAP3	-4.083875
ACTR1B	0.01525
EEF1E1	-1.5445
MSX1	-0.433625
ESF1	-0.8818
HSPC171	-0.05525
MRPL2	0.911166666666667
RDH12	-0.771333333333333
CELP	0.73
METRNL	-0.55175
C10orf116	3.88433333333333
C19orf48	-0.9865
ZNF346	0.029875
NCR1	-3.0445
C10orf64	1.32
CD52	0.945
VPS18	0.331375
AP4S1	-0.536333333333333
NPBWR1	1.0855
TPK1	0.6895
UBA52	-0.0333888888888889
RIPK1	0.7895
CPNE3	0.8036
HSPC159	-1.657
C8orf38	1.0365
LRRC4B	-0.00800000000000001
PARP10	1.2708
ANKRD50	1.735875
CXCL9	5.1895
FGF18	1.466
EIF2A	-0.600875
SLC20A2	-0.305333333333333
KIAA1549	-0.27125
SPINT1	2.4675
ZNF584	-0.0465
CRBN	-0.115833333333333
ABCF3	0.824833333333333
NCBP1	-0.6155
PLA2G4F	0.9625
PCDH10	-1.353
TTC21A	0.7565
C20orf144	0.3225
FGFR1OP2	-0.9135
SLC9A1	0.4776
CHRND	0.6555
FOXF1	-3.025
KIAA1467	2.29575
TPO	-2.04966666666667
LTF	4.682
DNAJB9	-0.151
MRPS27	-1.07225
bA16L21.2.1	-0.05125
WBP2	0.707166666666667
MRGPRX3	-2.10966666666667
PRPF18	-0.169
C10orf58	1.01225
SMOC1	-3.1798
ADAT3	1.21066666666667
TMEM138	0.078
TMEM131	0.61775
TIMM8B	0.24225
MYH7	-0.7815
ST6GAL2	1.9415
KIF1C	0.03375
SUHW2	-0.565
PAPSS1	0.52325
CABP2	-0.0115
HOXA4	-1.3175
ELF2	0.2645
SEMA3D	2.1958
MC5R	0.1705
OGFR	0.3365
FLJ30092	0.365
TGFA	-1.8026
MMP17	0.812
KIF15	-3.9705
CHIA	0.473
CATSPER3	1.027
CEACAM7	0.185416666666667
PADI2	1.79225
HOXA9	0.392333333333333
LNX2	0.458833333333333
TMEM144	1.92725
HIF1AN	0.67425
METTL7A	-1.3087
C6orf165	4.28466666666667
KIAA1468	0.515125
DSG3	-0.3665
ZNF180	-0.283833333333333
EIF4E3	1.968875
SLC46A1	0.577125
DKK1	-2.11866666666667
ZNF205	1.158
LOC162073	2.27016666666667
COX7A1	4.16475
MAGEA1	-5.38883333333333
NEDD8	-0.184416666666667
KLHDC5	0.170833333333333
C3orf19	0.0408333333333333
MRPS2	-0.82725
POLR3H	0.235857142857143
ABHD11	0.9689
TMEM17	1.25975
PAIP2B	-0.1079
MAT1A	-3.95475
LGI3	-0.0395
THUMPD2	-0.11925
TKTL2	-0.033
XAGE3	-3.06016666666667
CALM3	0.0208333333333333
C6orf136	0.0306666666666667
KCNC4	-0.032
RGS9	2.41616666666667
ACIN1	-0.2005
SPATS1	1.0015
XKR8	0.2295
FAM84A	1.75658333333333
MS4A7	4.48318181818182
AGXT2L2	0.527
OR1F1	0.031
SMAP1L	0.314
IPO11	-0.63375
ZC3H11A	-0.2863125
C1orf151	1.21975
RNASEH2A	-1.22975
CCR10	-1.2045
TXNDC11	0.69125
TMEM112	1.537125
MAP1B	-1.93364285714286
NVL	0.13725
PKM2	0.08865
ARC	-0.3155
NUP54	-0.73
PPFIBP2	2.0255
STAT2	0.767375
PTAFR	2.20683333333333
ROBO2	0.698
RNF40	1.30066666666667
CCDC135	-0.0725
IFT81	-0.3767
MORF4	-1.566
TM7SF3	-1.242875
OR10H3	-0.0915
ABP1	0.48475
CHRD	1.722
PLEKHA8	-0.7515
NCALD	2.92666666666667
OR5AK2	0.5045
ACCN1	0.801833333333334
SLITRK1	-0.50825
ARMET	-0.58925
C9orf52	0.98475
REEP4	-0.60525
MTSS1	0.37425
ADH1B	0.264833333333333
DLD	-1.37925
CDK5	-0.07875
PPFIA1	-0.1900625
WFDC3	1.32475
DNAJB12	1.55007142857143
RANGRF	0.1515
MLANA	-5.135
AMY2B	0.55825
KIAA0319	-1.68275
RPS7	-0.761
JAK3	-0.527
ARFGEF1	1.447
CXCL5	0.788636363636364
TRAPPC4	-0.48125
CETN2	0.6965
HSPC111	-1.245
RHOBTB3	-1.178
PHLPP	0.945
RGS10	0.25425
TMEM58	0.84925
CHERP	-0.239875
HSP90AB3P	-1.12483333333333
FSTL3	0.656
PEX11A	2.73375
OR5V1	0.576
FCN3	2.9025
PTPN3	0.2725
NPTX1	-4.77075
C21orf84	-1.59025
C11orf51	0.47225
ZBED2	0.6205
FLJ90757	0.84075
NPY2R	-0.602
PLD3	1.64775
SYT17	3.888
SGSM2	0.1005
OR1A2	0.247
FOXP1	1.07325
SLC5A1	0.89025
POFUT1	-1.0603
EPHB6	-2.64733333333333
MYO1G	-1.0655
STAC	-1.3796
KLHL17	-0.424
RGMA	0.0721
TJP2	-1.0683
FAM114A1	0.0401666666666667
SERINC1	0.850916666666667
SLC9A8	0.4225
PEX19	0.118125
EDN2	3.17325
PSMD7	-1.52988888888889
C3orf41	-0.74375
UQCR	0.31425
PPP1R3C	2.82175
LRP4	-2.42916666666667
TM2D1	-0.0685
TTC17	0.3415625
C4BPB	-4.989125
CCL25	1.31925
ZNF253	0.385833333333333
CHRNA9	-3.06125
SOX11	-0.894375
HIVEP3	1.9325
CGN	2.17858333333333
C3orf35	-0.0395
PKD2L1	3.00925
SYVN1	0.56
PDE8B	-2.409625
LOC439951	0.874
LTC4S	2.901
MIF4GD	0.466833333333333
SMARCA2	1.4294375
TUBGCP6	0.400666666666667
CABLES1	0.298375
C16orf77	0.838833333333333
ZNF791	1.21825
FUT5	-1.101
ADH6	-2.6656
P4HB	0.065
CLDND2	-1.60625
ALKBH8	0.138
PLAC4	-1.4795
F11R	0.3945
MGC35295	1.60616666666667
PDZD4	-0.444666666666667
LOC389073	-0.8055
FAM80B	-0.2325
PSMB1	-0.353
TXN	-0.4895
VIPR1	2.0602
WBSCR18	0.5597
EXOSC6	-1.0355
ACTA2	4.10533333333333
SP5	-2.49291666666667
ANKRD1	-3.87425
DDR1	1.4699
ATP6V1D	0.24825
PTGS1	-0.170666666666667
RNF157	-1.6265
DCC	1.07175
SPAG7	0.217
FBXO18	0.672
UBE3C	-0.7334
HOXC6	1.8085
LRP2BP	0.396666666666667
MYST2	0.15425
PDSS2	-0.008
ATE1	-0.473
ARAF	0.198
KLF10	0.52925
PLA2G2E	-0.078
ASCL1	-1.31666666666667
TSNAXIP1	2.40325
FAM131B	0.505875
IFNA10	-0.387
NUP43	-0.9015
FAM44B	-0.376625
L1TD1	-4.525
NMD3	-1.69066666666667
C18orf54	-2.4273
PHOSPHO1	0.0985
RAG2	-2.432
EMILIN3	-0.5805
METTL3	-0.701
VPS13C	0.001
REXO2	-1.02125
ANXA4	-0.371
CA1	-1.07975
DCP1B	-0.28275
TULP3	-0.752
ATP2A2	-0.0222857142857143
ATIC	-0.393
ADAM15	-0.717333333333333
NPL	0.425333333333333
LGR4	-0.290875
UEVLD	0.776666666666667
GAB1	1.23075
SNAI2	0.206666666666667
ZGPAT	-0.2466
SNF1LK	0.088625
DLEU1	-1.18775
UBE2Q1	0.476125
ZMYM6	0.366625
JPH3	-0.9495
FAM38A	-0.392166666666667
PXK	-0.292166666666667
DENND2D	2.70625
BAX	-0.32375
CP	0.752272727272727
RPL37	0.0122
G6PC3	1.242375
NCOA4	-0.019
LRRC14	1.334
GORASP1	1.19775
FCHO2	0.685625
CYP24A1	-3.8297
FXYD3	1.852125
SMARCAL1	0.73575
ABCB8	1.42166666666667
CCDC44	-0.30425
PRDM7	-3.8575
USH1C	-1.47525
DNAH5	1.06083333333333
SRF	-0.141916666666667
MAL2	2.95166666666667
PGPEP1	0.422083333333333
SIN3B	-0.7105
SEMA3C	0.503333333333333
GRAMD3	1.92225
FBXO10	-0.065375
OR5D13	0.8865
FLJ31818	-0.702625
CACNA1I	0.945625
S100A13	0.5335
TP63	0.4785
ANXA11	0.456
WDR66	2.489875
CSF2RB	0.0035
IFI44	1.88775
DACT1	3.0605
ANKRD23	-1.047125
ATP5G1	-0.7735
C21orf70	-0.332666666666667
PPWD1	-1.35025
DNAJC13	0.19225
PAH	-6.08033333333333
PTCH2	0.82325
TRMU	-0.85925
CCDC9	1.199
USP3	-0.1206
DCLRE1C	0.1157
FAM55C	1.87425
FRMD4B	1.81125
CYP2R1	-0.358
RFPL1	0.0134
XPO5	-0.09775
ARL6IP2	-0.9245
OSBPL5	1.08175
MMP9	2.49927272727273
KIAA0802	0.037375
DHRS2	1.53116666666667
SGEF	1.8465
TXNDC10	-0.8706
EXOC6	0.0585
RPS27	-0.083
PNCK	-0.205333333333333
FSTL1	0.648
AACS	0.60075
SLMAP	0.208833333333333
SAMD4A	-0.3917
ABRA	-0.13775
SMARCD3	1.95275
PKNOX2	-2.86966666666667
A4GNT	0.56
C9orf39	-1.52483333333333
RALYL	-0.38925
MGC33556	-2.587
C10orf25	-0.944
BBOX1	3.28825
NHEDC1	-0.045
XDH	0.568
GCSH	-1.7075
EDN1	0.818166666666667
MTERF	-0.672
CLK4	0.476875
ZNF799	1.7755
KCNG1	-2.587125
CXCR4	-0.242166666666667
PTPRR	-3.28925
IRAK1	-1.146875
LOC401397	0.05775
TMSB10	0.917714285714286
CXCL3	-4.2712
TMC4	3.6005
OR7A10	0.255
STYK1	1.8405
CHRNA10	-0.10175
CCNI	1.05325
EP300	1.41557142857143
LOC165186	-0.593
HIC2	-2.959
SDR-O	0.785
OR2W1	-0.1345
KCNA6	0.244
TRIM74	-1.1595
REEP6	2.2715
ATP5G2	0.4445
ERG	-0.086
TMEM42	0.03325
PARN	0.817666666666667
SOD2	0.39025
DIRAS1	0.188
PNPT1	-0.79525
JOSD3	-1.76125
hCG_40738	-0.218
PDE1C	-2.32
SEMA4D	-0.20775
AGPAT1	0.319333333333333
NOSTRIN	1.453625
MAP3K3	0.207166666666667
MAX	0.686857142857143
CAPS	2.36383333333333
SERPINA12	-0.263
OSBPL8	0.219375
RICS	2.3499
NR4A2	2.2785
PPCS	0.755
LONP1	-0.73175
SCYL3	1.23
HERC2P2	-1.24616666666667
FIBCD1	-0.808
C15orf41	-0.755
DMC1	-1.68116666666667
C20orf27	-0.52675
RPS6KA5	-0.6307
FAHD1	0.504666666666667
SLC12A4	-0.0155
BRCA1	-1.97533333333333
GBL	0.32575
SLK	-0.2385
NUDT9P1	-2.3455
NOXO1	2.313
USP52	-0.54725
BAZ1B	0.186
SLCO2B1	1.964
BBS12	1.38
LRGUK	1.74733333333333
TERF2IP	-0.46575
COL1A1	5.44
KIAA0090	-0.268625
GRK5	-0.539666666666667
AP1S2	-1.9723
TMEM52	0.2945
CA11	0.616875
OR4A15	0.585666666666667
ACBD3	0.0298
SPAG11B	-0.26375
PRDM2	1.1163
FOXP3	1.284
SMYD3	-0.618
LOC389199	0.808
LGI2	0.318833333333333
NAPE-PLD	-0.2197
ANKRD6	0.788
WDR45	1.1415
SHROOM1	0.086
PSCD3	-0.1585
PYY	0.641
KCNC1	-1.302
ARHGEF9	0.3039
OR8J1	0.38
GPR55	0.106166666666667
NS3BP	-1.2765
C10orf22	0.481333333333333
NAT8L	0.3115
DUSP4	-0.521833333333333
FOXM1	-2.64716666666667
GRAMD2	1.7213
ZBTB48	0.781833333333333
BUD31	-0.6775
PABPC5	0.995
CCDC41	-0.3605
FBXO11	-0.3495
C6orf148	-1.92125
RFXAP	-0.92675
C6orf15	0.974166666666667
CDK8	-0.2255
C6orf70	0.7445
TESSP2	0.5745
ALG2	0.577
PPP1R3D	0.7455
TPM3	-0.214611111111111
SYT13	5.30675
EPB42	-0.997333333333334
CETN3	-0.12025
PRY	-0.334
NTHL1	0.567333333333333
POLR2B	-0.624
RPS28	0.576416666666667
P2RX3	0.523
LYZL4	0.2125
WBP4	-0.3759
PMM1	-0.2735
C11orf79	0.17625
CBLL1	-0.26225
IL1F10	0.196833333333333
VAX2	1.381
SETDB1	-0.00150000000000002
LRAP	-0.431
GCLM	-1.08266666666667
CPEB3	1.517
PPM1A	0.184625
INTS1	-1.03825
CAMTA1	0.588166666666667
SAMSN1	-2.0045
LOC158830	-2.89716666666667
GMPPA	1.1075
AIPL1	0.09075
IL24	1.22575
BDKRB1	-2.70433333333333
MLF1	1.3951
TAF12	0.24125
ID1	-2.72575
THADA	-0.294875
PIK3CB	-0.578
OR4N5	0.377
TBC1D17	0.451166666666667
COX8A	-0.0245
CDCA4	-0.4845
C2orf44	0.01275
ZNF534	-0.38675
IMMP1L	0.007
NIPSNAP3B	0.254
FTMT	0.469375
PWP2	-0.8645
MMP15	-0.899
DNAH11	-1.42525
MTMR14	0.096625
DNAL4	1.67025
IPP	0.29875
TMEM59	0.519875
C1orf157	-0.3015
RGS4	0.361666666666667
DDX18	-0.897833333333333
SNX6	-0.5695
ZNHIT2	1.31433333333333
NCDN	0.997
FLJ33534	1.3435
RAG1	-2.316875
OR4D10	0.2375
PTPN5	-0.7335
POMT1	-0.195
LRRC8A	-0.3815
CYP1A1	-1.85975
CAPN1	1.09866666666667
DDHD2	-0.877
GRIK2	-1.001
GNRHR	0.719
PPBP	0.26575
HTR3A	-0.84025
SLITRK4	2.226
ANKRD49	-0.209
BTF3	-0.2991
SARS	0.00275
C13orf18	0.512333333333333
CACNB1	0.0504285714285714
QKI	0.505545454545454
SETMAR	0.98625
MAN2B1	0.830666666666667
EML3	0.6285
ACADL	-1.1302
OFD1	0.04575
DEFB114	-0.129
CGA	-3.9129
PEX16	-0.0566666666666666
LRRC10	-0.5045
GNG12	-0.0245
C1orf152	-0.186833333333333
CHRM1	0.412
CD53	0.127
DBH	-0.85275
TFAP2B	4.058625
HIST1H2BJ	-1.17266666666667
FAM46D	-0.856
TMEM11	0.262
C3orf32	-3.541
PCCB	-0.621
IPO13	1.435375
C6orf105	-4.832
COMMD5	1.37875
SUV420H1	-0.6445
LTBR	0.8645
ARHGAP15	-1.254
HDHD2	-0.11375
TDRKH	0.0506666666666667
LOC401052	2.944
PSG4	-1.40025
GNB4	-0.8744
SPATA4	3.65675
SLC9A3	-0.8775
OSBP	0.645166666666667
NBPF3	-0.055
DOCK11	-1.402
SLC39A5	-1.5575
PRR5	0.961
C10orf63	2.2905
SMTNL2	-1.7085
ADRA1A	-0.03325
ASAH1	1.4539
DOM3Z	0.6148
GIPR	0.501
AHI1	-0.2615
NADSYN1	0.713166666666667
RGS14	0.4745
IL18BP	1.2254
RTN4RL1	2.59341666666667
ARMC6	-0.153
PSMD5	-0.0718333333333334
HK3	1.3903
OR4S1	0.29375
RSU1	1.1903
MAD2L1	-3.92688888888889
EIF4A3	-0.8715
DLEC1	-0.3185
E4F1	0.688166666666667
CHMP2B	0.5955
CAMSAP1	-0.129
RPS21	-0.8075
ARID5A	1.08275
UBE2N	-0.3126
IGSF8	1.30833333333333
MAGEB6	-3.9575
ACAD11	-0.8526
MGC4172	0.46925
LMO4	-0.242
KLKB1	-0.1925
HP	-1.267
HDAC3	-0.53175
SCHIP1	-0.57375
CLCA1	0.2395
OLFML2A	1.092625
C1orf112	-2.0315
KIF19	1.17308333333333
HAPLN4	-0.1977
CXCR7	0.3535
GOT2	-0.5208
RAB38	-0.061625
DCX	1.93325
PPM1H	0.974083333333333
NFYC	0.4235
KIN	-0.113125
ZNF228	0.87825
PLSCR4	2.55333333333333
HIG2	-0.7805
FAM79B	5.9245
C21orf86	-0.5637
KCNK10	-0.27175
ZNF738	-0.870375
FSTL5	-1.6535
OR6A2	-0.2475
OTOA	1.02866666666667
EXOC1	-0.164625
AHRR	-3.417
PDAP1	-1.60225
C19orf6	-0.181375
ZAN	0.22775
LY6G6E	0.018
EIF4E2	-0.8155
C20orf198	0.46775
ZNF324	0.771
CYP3A5	-4.10416666666667
ENTPD7	1.31733333333333
MBOAT5	0.787833333333333
GJB5	-1.21325
TTC13	-0.57825
S100Z	-1.4945
KIAA0664	-0.493
PDGFRB	1.8195
IL17D	-0.16275
OR56B4	-0.018
RDX	-3.09183333333333
SLC34A3	0.6775
IL28B	0.9155
JUND	0.599
CHRNB1	0.35425
CAMK2B	1.502
FETUB	-2.1575
CXorf23	0.752875
MRTO4	-0.946625
TTC3	0.7075
NDUFB8	-0.156333333333333
EDG2	0.036
SEMA3G	0.28375
IL23A	-2.4045
GRHL1	0.7026
LOC441054	-0.3215
WDR65	1.50185714285714
PSTK	-0.19375
STOML3	0.454166666666667
R3HDM2	0.1421
C5	-2.027
SLC2A10	0.362166666666667
C3orf22	0.32525
PAQR3	-1.97561538461538
ANKRD26	-0.657166666666667
HCRTR1	-0.1965
LOC399947	-0.381
PSD2	-0.298
TIGD2	-0.732666666666667
SCRN1	-0.38975
COQ10A	-0.2895
DDI2	-0.28
METTL7B	-0.866333333333333
UCN2	0.487
FAM92A3	0.0925
WDR16	2.38525
ZNF511	0.169333333333333
ZMYM5	-0.6405
POLR3G	-2.864
ZNF586	-0.37325
C1orf49	0.357
TANK	0.1515
RCAN1	-1.00083333333333
PELI3	0.7105
LIMD2	0.112166666666667
TMEM189	-0.125
NTN4	2.322125
LOC151300	-0.6445
CLEC2A	-0.6435
GPR135	-0.2775
DPYSL4	-1.1915
JAK2	0.0348333333333333
TSHZ1	1.19383333333333
TM9SF4	-0.36575
ZNF264	0.819166666666667
SIRPG	1.18625
BICD1	-0.4575
HERC6	2.62116666666667
METTL5	-0.911
CASP1	1.32
PRRT1	0.858
PLA2G4C	1.97283333333333
ICA1L	0.268285714285714
TPTE2	0.876333333333333
OTUD7A	0.999166666666667
AQP11	-0.65475
APOA2	-4.221
KALRN	-0.0489
SECTM1	1.5265
IFNAR1	0.09475
TALDO1	0.002875
RAB11FIP4	0.12075
EIF5A	-0.304
FAM49A	1.3035
NEGR1	1.8255
YTHDC2	0.043
EHD2	0.38375
NCF1	2.3291
SCRT2	1.006
HOXA5	-1.081
NUP133	-0.71775
FGF12	0.1161875
SLMO2	-1.40425
SNTA1	0.188125
CACNG2	0.15175
GCM1	1.074875
ELF1	0.308666666666667
TLR5	3.1055
TCFL5	-0.612333333333333
RBMY2FP	-2.2145
LOC100125556	0.948375
FAM129B	0.09125
MAP3K7IP1	0.334625
NCK2	0.196
OXA1L	-0.12775
FMO9P	0.4755
ZSCAN12	0.17775
PSMD12	-0.903416666666667
HSCB	-0.07775
CLDN10	-3.1315
MGC13053	-0.448
HPCAL4	-0.958
ASZ1	0.134
MEX3D	0.239
NFAT5	-1.187
CSPG4LYP1	-0.386833333333333
FBXO3	-0.0829
DVL1	0.233
CMKLR1	0.94
TYMS	-3.739125
PEF1	1.4705
ZNF750	1.63183333333333
MCM5	-1.0297
MEGF11	-1.33525
KCNK7	-0.057
PTP4A3	0.956
C1QTNF2	-0.7785
OR6S1	0.204
FAM122B	-1.82975
ZNF551	-0.597625
HBQ1	-2.4035
GEMIN6	-0.112
ARSK	-0.807
RBP7	1.763
CPNE9	2.98525
DSC1	1.3125
LOC730112	-0.24375
MAP2K4	1.347125
HS3ST5	-2.343
EPB41L3	-0.79175
TEKT2	2.511
CDKN2B	0.734166666666667
ZNF480	-0.88025
MAP3K6	0.5996
MAP6	2.20716666666667
HN1	-0.2799
OR2L13	0.185666666666667
SLC16A11	0.4825
FAM96A	-0.85025
APOL1	0.92075
C5orf32	0.20575
RTP1	-0.216333333333333
RNF175	-1.001625
ZBTB41	0.817125
AHCTF1	-0.9355
SAE2	-1.5482
ITGA2	0.307666666666667
MME	-1.06033333333333
CCDC14	-1.23425
MAST4	1.93542857142857
KRT33B	-0.094
KCTD2	0.648833333333333
WDR26	0.201
MFI2	0.385625
NR4A3	-0.73175
ARSA	1.67425
UNKL	0.113
SULT6B1	0.0645
CCNA2	-3.58633333333333
SOX15	0.057
PPAPDC1B	-0.317916666666667
C19orf44	0.493
MCAT	0.75825
ARID1B	0.1895
OR52N1	1.4145
C12orf48	-2.6855
MAGI1	0.43525
NIPA2	-1.25875
GBX2	-2.07725
RSHL3	2.3685
RAVER1	0.770166666666667
C15orf17	0.112
SLC30A2	0.35575
ZNF518	0.067
PCYT1B	-0.40925
C10orf114	-0.9535
EIF3H	0.991916666666667
