Hybridization REF	TCGA-A2-A0CX-01A-21R-A00Z-07
STXBP5	-0.877166666666667
LOR	0.8815
MAP6D1	-0.93825
ARMC7	0.4295
TMEM150	0.816
NSL1	0.02
KIF5A	-0.0392857142857143
ASCC2	0.193333333333333
PSENEN	0.532333333333333
OPTC	-0.9015
FCRL2	-0.895833333333333
KBTBD11	-2.2765
PCK1	-2.1165
CENTD3	-1.3135
MEGF8	-1.139125
ALPPL2	0.131
OBFC2B	-0.1
ZFYVE20	0.8865
GALC	1.97816666666667
CTRB2	0.144
C20orf71	-0.0245
TBKBP1	-0.043
CAMLG	0.011625
TREML4	1.0755
RSAD1	0.25
TUBA3D	-0.1942
KIAA1833	-0.240875
PNPLA1	0.931
LRRC34	-1.86916666666667
CDH26	-0.764833333333333
ZNF167	0.0323333333333333
ZBTB26	-1.1566
VWF	3.9489
VTN	-0.5268
BAD	-0.1615
PDS5B	0.312454545454545
ZNF644	0.0755833333333333
SH3GLB2	-1.115625
SMPDL3A	1.3151
NRG2	-0.654625
IL15	0.6855
GABARAPL1	-0.3665
LAT2	-0.0665
SLCO1A2	-1.0646
LIG4	-0.6725
GSDMDC1	0.009625
BMP4	0.95125
METT10D	0.002875
SYCE1	0.58825
SPANXD	-5.77975
SLC12A9	0.0778333333333334
MC1R	-1.8075
RNF168	0.122
TRIM69	0.4995
GALNT7	2.08916666666667
ISG20L2	1.4795
KIAA2026	0.4975
TNFAIP8L1	0.3845
DPY19L2	-1.30275
C12orf63	0.632
PRDX5	-0.586125
MED6	-0.367125
TXNDC5	-0.23125
CD46	0.250583333333333
CCK	-2.465
C17orf48	-0.32425
ANUBL1	1.11275
SIT1	-0.629666666666667
TYSND1	0.7615
DEF6	-0.922833333333334
GLT8D4	0.68075
UTP14A	0.9585
RPH3AL	-0.09725
NXF1	-0.412833333333333
TRERF1	1.13883333333333
TUBB3	-0.713625
SLC24A2	0.439
SEC22B	1.96833333333333
ZNF653	0.25725
GGTL3	-1.5925
CDKL2	-0.27075
CTF8	-0.581416666666667
EPC1	0.949166666666667
CYP4A11	-0.2266
THRSP	4.494
LELP1	-0.5534
TES	0.786375
C17orf87	1.0495
FERD3L	0.14425
SH3TC1	0.416
RAB36	1.694
CRYGB	0.236
GRIA3	0.413444444444444
BHLHB9	0.24125
C1QTNF9	-0.702
GOPC	0.2295
PNPLA8	0.521333333333333
ZNF444	-0.17225
FMO1	3.4335
POLR3C	0.41425
SLC35F3	-1.361
SGCG	-2.9156
DCDC2	-5.0665
NANP	-1.125
MGC23270	-1.042
BEX4	0.0330833333333333
HYDIN	0.5167
RPS6KB2	-1.07525
ADRM1	-0.531083333333333
BAT3	-1.2085
RAB31	1.180875
SCGB2A1	6.112125
SLC6A14	-3.672375
DDX4	0.03525
PRRC1	1.19683333333333
AP3B2	-0.63
TRGV7	0.9218
TMEM184B	0.389
ADPRHL1	0.5255
C21orf45	-0.247625
ARNTL	0.568375
AADAT	0.35425
CCL2	1.08216666666667
SNTB2	0.666833333333333
RGS9BP	-0.58725
KPNA1	1.07225
TMEM41B	-0.5795
S100A11	0.96875
DOT1L	-0.4895
EFHC2	1.393
CLTC	0.912333333333333
SRP9	0.864142857142857
ZNF521	-0.51075
FAM26F	0.52725
GPR88	6.18066666666667
COL13A1	-0.221833333333333
CHMP4B	0.0598
SIGLEC6	0.387666666666667
NFAM1	0.37925
PVRL2	0.6355
ALKBH4	0.2425
CCDC93	-0.1354375
NXT1	0.20225
KCNK4	0.414
TROAP	-1.50366666666667
KCNA10	0.185666666666667
CCDC114	-0.0378333333333333
RAN	-0.231909090909091
LMTK2	-0.2315
LOC400657	-0.9125
UFC1	1.86275
UBE1DC1	-0.8025
EEF1A1	-0.929
CHAC1	-0.524
HMGA2	-5.0127
B3GALTL	-0.6325
ING2	-0.09475
C1orf109	-0.6595
INTS3	1.521
ZNF558	-0.1665
TRPM4	1.38716666666667
LTB4R	-1.001
ISYNA1	-1.0545
LSM7	-0.30875
LRRC47	-0.4190625
ZNF179	-2.58316666666667
EXDL1	0.702666666666667
SLC4A10	-0.206
ACSS2	-0.475666666666667
COPS7B	-0.908
KIAA0040	1.14716666666667
C1orf95	-0.5135
AP1GBP1	-0.407
OR9A2	0.38
FAM71C	0.741833333333333
RIN1	-2.33616666666667
ITGA4	-1.713875
DNAJC6	-0.5574
CLOCK	0.566
SLC35A4	-0.0888333333333333
DSG4	-0.21675
LOC26010	-0.10875
NSUN2	0.53925
TMEM86B	-1.0923
C14orf135	-0.22425
KIFC3	-1.4625
PHF5A	-0.00925
NCAPH	-0.91575
STK11IP	0.22175
FLJ42953	1.1315
CCDC19	4.65633333333333
ZNF329	-0.20775
TAX1BP1	0.9255
ZDHHC18	-0.759666666666667
C10orf88	-0.2095
TMBIM4	0.8815
NMUR1	-0.0215
KIR2DS4	0.26225
C9orf90	-0.298
MGC87631	1.0475
KDR	2.4068
ST3GAL2	-0.979
RLN2	-1.70383333333333
HPD	-2.359
MOXD1	-1.13316666666667
PDGFRL	2.21216666666667
SMYD4	-1.08221428571429
FAM103A1	-0.651666666666667
MFAP4	-1.43233333333333
LOC285141	-1.0845
TMEM45B	-0.4435
SMCR7L	0.0448571428571429
GZMH	3.1515
CBLN1	-1.927
CNNM1	0.1415
PHF17	-1.89241666666667
NUP98	-0.0155833333333333
RMI1	-1.0465
PTPRS	0.183
ANKRD57	-0.142375
CLDN15	-0.454166666666667
OR51A2	-1.216
GUCA2B	0.4915
DOCK9	1.13
ITGB1BP1	-0.743
DLG2	-0.219125
BRAP	0.57925
SESN3	1.66875
ZC3H7B	0.35475
FAM101A	2.30116666666667
FKSG24	-0.017
ZYG11B	0.959
RFC2	-1.26575
SH2D3A	0.397
DVL3	-0.0284166666666667
ADFP	-0.113166666666667
KRIT1	-0.6675
SERTAD3	0.904
LEFTY2	-3.40225
KRT27	-1.929
SCFD2	0.3685
MN1	-0.907
RORA	1.0795
PTPRD	-0.0195
PIAS2	0.495833333333333
CYP4X1	4.76883333333333
FBXL15	-0.31775
MYH15	0.253333333333333
CRX	0.361
TBC1D13	-0.735
SLC22A17	0.3475
PLK2	0.381166666666667
ARHGAP9	1.454
EIF1B	-0.929
C20orf185	0.19925
DEFA7P	0.219
PRIM1	-2.23083333333333
CRYAA	-0.5035
BACE1	-0.31425
AGTRL1	-0.312333333333333
ACAD9	0.2205
GRASP	-0.1095
RBP4	-3.433
TFB2M	0.8305
METTL9	0.2732
ATP5O	-0.6315
SP100	0.6567
CPSF1	-1.565
S100A4	0.09075
LIME1	-1.11225
GPR137C	-0.8325
OR2A2	1.091
C2orf29	0.182
NUP188	-1.20375
SDPR	-0.937
RAI1	-0.4005
RPS20	0.6551
LAMB1	-0.6405
ADM2	1.2875
ZNF229	0.96775
DKFZp434K1815	-1.391625
EPN3	2.38033333333333
CLIC3	-0.2185
MEIG1	-0.66225
HMGB4	-0.30725
STARD10	0.96475
KLF8	3.8145
EPB41L2	-0.228166666666667
JMJD6	-0.357625
CTSL1	0.200666666666667
GPR27	-0.376
ELAVL4	1.217125
MMP21	-0.0045
PPM1B	0.310375
SUV39H1	-1.092
AAMP	-0.08425
TUSC4	-0.1645
MBD6	0.688
KLK13	0.000749999999999917
FMNL3	0.0903333333333333
TRIM13	0.100166666666667
C15orf5	-1.6395
IQCF1	-0.0908333333333333
CACNG8	-0.3655
SLC35D3	0.3625
ZDHHC9	1.6175
ODF3L1	-0.151
C9orf86	0.3938
TSEN2	-1.538
C17orf64	-0.364
SEPX1	0.8548
TSPO	1.37633333333333
SYMPK	-0.088
ADORA1	0.62925
TSPAN10	-0.44925
SEMA6C	0.104166666666667
RTTN	-0.8727
IL2	0.2606
ARRDC3	-0.272666666666667
TBPL1	-0.5485
STX12	0.387
MRPL39	-1.296
OR8H3	0.836
IFIT5	1.67483333333333
CASC5	-1.75657142857143
FAM46A	-0.4925
HPCAL1	-1.1735
CYLC1	-0.711
VGLL2	-0.1165
C20orf191	0.2635
CDH1	3.11108333333333
ITPA	0.49575
CCDC101	0.5845
D15Wsu75e	0.967
EDA	-0.8055
CREG1	-0.196
OR7G2	0.9485
SAP18	0.518333333333333
IFIT1	3.10775
CALML3	1.84333333333333
FLJ37440	0.807
FNDC5	-0.238
SERPINB6	-0.166857142857143
JUNB	0.5673
SYS1	1.782
SCN2A	0.578166666666667
ZKSCAN5	-1.0492
WNT7A	0.00799999999999997
TSHZ3	2.246
RNF148	1.76325
H6PD	0.26875
CAD	-0.864166666666667
ZNF449	-0.14825
DOCK10	0.206
FAIM2	-0.163833333333333
HEXDC	-0.10325
PRB1	0.505
C14orf148	-0.2625
ETHE1	1.0625
IRF5	0.6889
GNMT	2.36366666666667
MGC16291	-2.245
RPAIN	-1.1045
CAGE1	1.0055
CNTNAP3	-3.014875
ACTR1B	-0.89525
EEF1E1	-1.75825
MSX1	-0.68475
ESF1	0.8612
HSPC171	0.117
MRPL2	-0.734166666666667
RDH12	0.668833333333333
CELP	-0.0445
METRNL	0.1705
C10orf116	3.61483333333333
C19orf48	-0.69675
ZNF346	-0.45125
NCR1	-1.779
C10orf64	0.118
CD52	1.012
VPS18	1.60375
AP4S1	-0.313666666666667
NPBWR1	-0.7865
TPK1	0.82825
UBA52	-0.290166666666667
RIPK1	0.867166666666667
CPNE3	1.0913
HSPC159	0.787875
C8orf38	1.156
LRRC4B	0.4205
PARP10	-0.467
ANKRD50	3.02175
CXCL9	6.6025
FGF18	2.10181818181818
EIF2A	-0.45
SLC20A2	0.761166666666667
KIAA1549	-0.0883333333333334
SPINT1	2.0706
ZNF584	-0.4975
CRBN	0.325333333333333
ABCF3	0.364666666666667
NCBP1	-0.179166666666667
PLA2G4F	0.561166666666667
PCDH10	0.16075
TTC21A	0.7655
C20orf144	0.145
FGFR1OP2	-0.524166666666667
SLC9A1	0.3077
CHRND	0.0835
FOXF1	-1.47775
KIAA1467	-0.04975
TPO	-1.44616666666667
LTF	4.17528571428571
DNAJB9	-0.126
MRPS27	-1.215
bA16L21.2.1	-0.66425
WBP2	-0.250166666666667
MRGPRX3	-1.74416666666667
PRPF18	0.16925
C10orf58	1.2935
SMOC1	-2.44688888888889
ADAT3	0.5295
TMEM138	-0.1005
TMEM131	-0.071875
TIMM8B	0.61275
MYH7	-0.402333333333333
ST6GAL2	1.167
KIF1C	-0.243
SUHW2	-0.6395
PAPSS1	0.444
CABP2	0.033
HOXA4	-1.51975
ELF2	0.56525
SEMA3D	1.8941
MC5R	0.302
OGFR	-0.3035
FLJ30092	0.329666666666667
TGFA	-0.7752
MMP17	-0.33125
KIF15	-2.16225
CHIA	0.0255
CATSPER3	-1.0495
CEACAM7	2.852
PADI2	1.318375
HOXA9	0.524333333333333
LNX2	0.383666666666667
TMEM144	1.396
HIF1AN	-0.12825
METTL7A	0.00210000000000002
C6orf165	3.10983333333333
KIAA1468	0.58575
DSG3	0.791
ZNF180	-0.3225
EIF4E3	0.132375
SLC46A1	0.459875
DKK1	-5.81966666666667
ZNF205	0.0926666666666667
LOC162073	1.73238888888889
COX7A1	4.91
MAGEA1	-4.41633333333333
NEDD8	-0.513666666666667
KLHDC5	0.1025
C3orf19	2.04016666666667
MRPS2	-0.6625
POLR3H	0.565142857142857
ABHD11	0.2689
TMEM17	1.1425
PAIP2B	-0.6254
MAT1A	-2.79
LGI3	0.12675
THUMPD2	0.145
TKTL2	0.2305
XAGE3	-2.16566666666667
CALM3	0.0769166666666667
C6orf136	-0.537
KCNC4	-0.252666666666667
RGS9	0.130333333333333
ACIN1	0.645333333333333
SPATS1	0.22675
XKR8	-0.4015
FAM84A	1.07225
MS4A7	4.62054545454545
AGXT2L2	-0.518
OR1F1	-0.186
SMAP1L	0.340166666666667
IPO11	-0.123
ZC3H11A	0.6335625
C1orf151	0.320714285714286
RNASEH2A	-1.3375
CCR10	-0.924
TXNDC11	0.928916666666667
TMEM112	0.290875
MAP1B	-1.44207142857143
NVL	0.521
PKM2	-1.14745
ARC	-0.92575
NUP54	-0.316
PPFIBP2	2.2795
STAT2	1.44125
PTAFR	2.161
ROBO2	-0.838125
RNF40	0.188333333333333
CCDC135	-0.0353333333333334
IFT81	0.0817777777777778
MORF4	-0.8965
TM7SF3	-0.07125
OR10H3	1.76
ABP1	-0.3465
CHRD	0.432375
PLEKHA8	0.344166666666667
NCALD	0.534833333333333
OR5AK2	0.439
ACCN1	-0.0332
SLITRK1	-0.16225
ARMET	-0.067
C9orf52	1.33725
REEP4	-0.15725
MTSS1	1.41975
ADH1B	0.923833333333333
DLD	-0.44425
CDK5	-1.003
PPFIA1	-0.7770625
WFDC3	1.72675
DNAJB12	0.956214285714286
RANGRF	-0.8275
MLANA	-4.07675
AMY2B	-0.1705
KIAA0319	-0.518
RPS7	-0.5865
JAK3	0.1954
ARFGEF1	1.5915
CXCL5	0.709416666666667
TRAPPC4	-0.37775
CETN2	1.21125
HSPC111	-0.27625
RHOBTB3	-0.8729
PHLPP	-0.726
RGS10	1.49125
TMEM58	0.83425
CHERP	-0.211625
HSP90AB3P	0.0598333333333333
FSTL3	-0.866833333333333
PEX11A	1.99725
OR5V1	0.8165
FCN3	1.957
PTPN3	0.10525
NPTX1	-3.979125
C21orf84	-1.1745
C11orf51	-0.083
ZBED2	2.858
FLJ90757	-0.10325
NPY2R	2.129
PLD3	-0.148
SYT17	3.09016666666667
SGSM2	-2.31425
OR1A2	0.5355
FOXP1	2.112625
SLC5A1	3.87575
POFUT1	-0.5794
EPHB6	-2.26033333333333
MYO1G	-1.45875
STAC	-1.6053
KLHL17	-0.204833333333333
RGMA	0.0661
TJP2	-0.4216
FAM114A1	0.217
SERINC1	0.93575
SLC9A8	0.052625
PEX19	0.337125
EDN2	3.21025
PSMD7	-0.382111111111111
C3orf41	-2.4745
UQCR	0.37725
PPP1R3C	1.6395
LRP4	-0.823833333333333
TM2D1	0.3935
TTC17	0.2634375
C4BPB	-3.611125
CCL25	0.647
ZNF253	0.109333333333333
CHRNA9	-2.355
SOX11	4.147375
HIVEP3	0.4815
CGN	2.5855
C3orf35	0.8305
PKD2L1	4.08725
SYVN1	-0.414875
PDE8B	0.786
LOC439951	-1.193
LTC4S	1.762
MIF4GD	-0.0085
SMARCA2	1.161125
TUBGCP6	-0.317333333333333
CABLES1	-0.222
C16orf77	0.806666666666667
ZNF791	0.10875
FUT5	0.3985
ADH6	-2.1552
P4HB	0.72875
CLDND2	-1.0365
ALKBH8	1.11175
PLAC4	-1.16
F11R	1.826
MGC35295	0.342666666666667
PDZD4	0.2325
LOC389073	0.031
FAM80B	2.192
PSMB1	-1.02625
TXN	0.00583333333333333
VIPR1	0.7955
WBSCR18	0.3211
EXOSC6	-0.3295
ACTA2	4.113
SP5	-4.5135
ANKRD1	-1.781
DDR1	0.9476
ATP6V1D	0.10425
PTGS1	-1.04383333333333
RNF157	-0.54625
DCC	0.1815
SPAG7	-0.929
FBXO18	-0.30575
UBE3C	-0.1002
HOXC6	-0.321
LRP2BP	-0.8496
MYST2	-0.12125
PDSS2	-0.01575
ATE1	0.26825
ARAF	-0.621
KLF10	-0.23125
PLA2G2E	0.39175
ASCL1	-1.06033333333333
TSNAXIP1	1.0325
FAM131B	0.509
IFNA10	2.433
NUP43	-1.766
FAM44B	-0.83
L1TD1	-4.23633333333333
NMD3	-0.77275
C18orf54	-0.2084
PHOSPHO1	0.0505
RAG2	-0.034
EMILIN3	0.091
METTL3	-0.57375
VPS13C	-1.153
REXO2	-1.3345
ANXA4	0.70325
CA1	-0.75775
DCP1B	0.51825
TULP3	-0.8035
ATP2A2	0.0792142857142857
ATIC	-0.6315
ADAM15	0.166833333333333
NPL	1.9895
LGR4	-1.671875
UEVLD	0.367
GAB1	0.79675
SNAI2	-0.242666666666667
ZGPAT	-0.4923
SNF1LK	-0.678125
DLEU1	-1.045
UBE2Q1	1.2435
ZMYM6	-0.1808125
JPH3	-1.20383333333333
FAM38A	-0.466583333333333
PXK	-0.417
DENND2D	2.1715
BAX	-1.0935
CP	3.07536363636364
RPL37	0.9419
G6PC3	-0.00937500000000002
NCOA4	-0.342666666666667
LRRC14	-0.377
GORASP1	0.39925
FCHO2	0.625625
CYP24A1	-3.6528
FXYD3	1.033125
SMARCAL1	0.755
ABCB8	-0.5275
CCDC44	0.43925
PRDM7	-2.25875
USH1C	-0.324666666666667
DNAH5	0.269666666666667
SRF	-0.427166666666667
MAL2	3.44866666666667
PGPEP1	-0.521833333333333
SIN3B	-0.47025
SEMA3C	0.363833333333333
GRAMD3	1.61325
FBXO10	0.071
OR5D13	-0.2395
FLJ31818	-0.466625
CACNA1I	-0.431875
S100A13	0.289
TP63	1.74964285714286
ANXA11	0.063
WDR66	-0.2625
CSF2RB	0.029
IFI44	1.48975
DACT1	2.44116666666667
ANKRD23	-0.5585
ATP5G1	-0.377833333333333
C21orf70	-0.4485
PPWD1	-1.73325
DNAJC13	0.195
PAH	-5.03566666666667
PTCH2	0.58125
TRMU	-0.33575
CCDC9	-0.352
USP3	0.011
DCLRE1C	0.2061
FAM55C	2.71275
FRMD4B	1.47925
CYP2R1	-1.0305
RFPL1	-0.1327
XPO5	-0.4015
ARL6IP2	0.1605
OSBPL5	1.20675
MMP9	4.26218181818182
KIAA0802	-0.553
DHRS2	-3.68483333333333
SGEF	2.1195
TXNDC10	-0.8543
EXOC6	0.01525
RPS27	1.0265
PNCK	-1.25733333333333
FSTL1	0.28575
AACS	0.7575
SLMAP	0.2535
SAMD4A	-0.438
ABRA	0.214
SMARCD3	-0.56175
PKNOX2	-0.917166666666667
A4GNT	0.853
C9orf39	-0.514666666666667
RALYL	-0.03975
MGC33556	-2.685
C10orf25	-0.69
BBOX1	1.91925
NHEDC1	-0.82325
XDH	0.649
GCSH	-2.101
EDN1	0.471333333333333
MTERF	-0.1095
CLK4	0.05575
ZNF799	0.3925
KCNG1	-0.99825
CXCR4	1.29233333333333
PTPRR	-1.76225
IRAK1	-1.041375
LOC401397	-0.78325
TMSB10	1.68435714285714
CXCL3	-4.0338
TMC4	1.5275
OR7A10	0.1665
STYK1	1.504
CHRNA10	-0.846333333333333
CCNI	0.58125
EP300	1.685
LOC165186	-0.398
HIC2	-2.257
SDR-O	-0.713
OR2W1	0.4815
KCNA6	0.335
TRIM74	-1.5865
REEP6	0.86925
ATP5G2	-0.12325
ERG	0.828375
TMEM42	0.0315
PARN	0.823833333333333
SOD2	-0.00912499999999998
DIRAS1	0.0616666666666667
PNPT1	0.02225
JOSD3	-1.6945
hCG_40738	0.4085
PDE1C	-1.692
SEMA4D	-0.10625
AGPAT1	-0.083
NOSTRIN	0.228375
MAP3K3	-0.5245
MAX	0.742285714285714
CAPS	3.99133333333333
SERPINA12	0.084
OSBPL8	0.505625
RICS	1.819
NR4A2	2.438
PPCS	1.6285
LONP1	-0.972
SCYL3	1.9185
HERC2P2	-1.9455
FIBCD1	-0.288
C15orf41	-0.4805
DMC1	-1.466
C20orf27	-0.43975
RPS6KA5	0.5665
FAHD1	0.295666666666667
SLC12A4	-0.75675
BRCA1	-1.44991666666667
GBL	-0.26125
SLK	0.459166666666667
NUDT9P1	-1.8335
NOXO1	3.2555
USP52	-0.6995
BAZ1B	0.120875
SLCO2B1	3.2835
BBS12	0.333333333333333
LRGUK	-0.3835
TERF2IP	-0.366
COL1A1	4.904
KIAA0090	0.583
GRK5	-0.308333333333333
AP1S2	-1.8146
TMEM52	-0.4835
CA11	-0.580625
OR4A15	0.1135
ACBD3	1.4
SPAG11B	0.5995
PRDM2	0.6781
FOXP3	-0.12675
SMYD3	1.8466
LOC389199	-0.13
LGI2	1.43983333333333
NAPE-PLD	-0.3735
ANKRD6	1.019
WDR45	0.171166666666667
SHROOM1	0.89875
PSCD3	0.276
PYY	0.8055
KCNC1	-1.191
ARHGEF9	0.209
OR8J1	0.13025
GPR55	0.396
NS3BP	-0.8015
C10orf22	-0.106833333333333
NAT8L	1.002
DUSP4	0.950333333333333
FOXM1	-1.33916666666667
GRAMD2	1.8148
ZBTB48	-0.615833333333333
BUD31	-0.6755
PABPC5	0.385
CCDC41	0.049
FBXO11	1.10025
C6orf148	-1.4755
RFXAP	-1.67025
C6orf15	0.166666666666667
CDK8	-0.0275
C6orf70	-0.647625
TESSP2	0.866
ALG2	0.4025
PPP1R3D	1.53475
TPM3	0.688833333333333
SYT13	-2.02375
EPB42	-0.274333333333333
CETN3	-1.41475
PRY	0.2075
NTHL1	0.2375
POLR2B	-0.0525
RPS28	0.747166666666667
P2RX3	0.21675
LYZL4	0.55725
WBP4	-0.074
PMM1	-0.54475
C11orf79	0.279
CBLL1	-0.34175
IL1F10	0.935333333333333
VAX2	-4.43
SETDB1	0.840333333333333
LRAP	0.0035
GCLM	0.023
CPEB3	0.94275
PPM1A	0.3155
INTS1	-1.1085
CAMTA1	-0.15075
SAMSN1	-0.91025
LOC158830	-0.896333333333333
GMPPA	-0.529625
AIPL1	0.532666666666667
IL24	-0.0191666666666667
BDKRB1	-2.42283333333333
MLF1	1.1457
TAF12	-0.28475
ID1	-3.313625
THADA	0.525125
PIK3CB	-0.42575
OR4N5	0.539
TBC1D17	-0.802
COX8A	-0.09925
CDCA4	-1.208
C2orf44	0.15
ZNF534	-1.0885
IMMP1L	0.0935
NIPSNAP3B	-0.32275
FTMT	0.51
PWP2	-0.140833333333333
MMP15	0.5492
DNAH11	-0.94225
MTMR14	-0.721
DNAL4	0.722
IPP	0.19425
TMEM59	1.24125
C1orf157	-0.399
RGS4	1.09283333333333
DDX18	0.452333333333333
SNX6	-0.5505
ZNHIT2	0.555166666666667
NCDN	-0.222166666666667
FLJ33534	-0.55775
RAG1	-1.916625
OR4D10	0.091
PTPN5	-0.558333333333333
POMT1	0.411625
LRRC8A	0.8139
CYP1A1	-0.92125
CAPN1	-1.58716666666667
DDHD2	-0.633375
GRIK2	-0.25575
GNRHR	0.434666666666667
PPBP	0.3755
HTR3A	-0.3675
SLITRK4	1.40325
ANKRD49	-0.57
BTF3	-0.683
SARS	-0.97775
C13orf18	0.6756
CACNB1	0.0325
QKI	-0.122272727272727
SETMAR	1.163125
MAN2B1	0.881666666666667
EML3	-1.61775
ACADL	-0.347333333333333
OFD1	-0.81225
DEFB114	0.366
CGA	-3.0437
PEX16	-0.0573333333333333
LRRC10	-0.1135
GNG12	0.657
C1orf152	-0.140666666666667
CHRM1	0.258
CD53	0.513625
DBH	-0.7125
TFAP2B	2.14925
HIST1H2BJ	-0.0908333333333334
FAM46D	-0.2765
TMEM11	0.124
C3orf32	-3.2535
PCCB	-0.051375
IPO13	-0.36425
C6orf105	0.506
COMMD5	0.96975
SUV420H1	-0.5475
LTBR	1.1705
ARHGAP15	-1.0485
HDHD2	-0.59325
TDRKH	0.617166666666667
LOC401052	0.055
PSG4	-0.9825
GNB4	-0.0321
SPATA4	-0.43075
SLC9A3	-0.5715
OSBP	0.531333333333333
NBPF3	-0.411166666666667
DOCK11	-2.3445
SLC39A5	-1.2005
PRR5	0.5496
C10orf63	-0.00550000000000003
SMTNL2	-0.84125
ADRA1A	0.477
ASAH1	2.0762
DOM3Z	-0.7286
GIPR	0.759333333333333
AHI1	-0.738833333333333
NADSYN1	-0.546666666666667
RGS14	-1.7644
IL18BP	1.2032
RTN4RL1	0.273083333333333
ARMC6	-0.5975
PSMD5	0.526833333333333
HK3	1.0801
OR4S1	0.83125
RSU1	0.8895
MAD2L1	-1.13222222222222
EIF4A3	-0.24575
DLEC1	-0.387833333333333
E4F1	0.340333333333333
CHMP2B	0.655
CAMSAP1	-0.1185
RPS21	-0.293
ARID5A	1.44525
UBE2N	0.0575
IGSF8	1.414
MAGEB6	0.0405
ACAD11	-1.2635
MGC4172	-0.0355
LMO4	0.55675
KLKB1	-0.14725
HP	-1.4415
HDAC3	-0.4195
SCHIP1	-0.1835
CLCA1	0.828
OLFML2A	1.230375
C1orf112	-0.50375
KIF19	0.7725
HAPLN4	0.0442
CXCR7	0.747166666666667
GOT2	0.7833
RAB38	-2.673375
DCX	-0.938
PPM1H	0.65425
NFYC	0.2375
KIN	0.02375
ZNF228	0.2535
PLSCR4	2.54766666666667
HIG2	0.431
FAM79B	1.414
C21orf86	-0.5648
KCNK10	0.3335
ZNF738	-0.391
FSTL5	-1.32933333333333
OR6A2	0.921
OTOA	0.816166666666667
EXOC1	0.231
AHRR	-2.735375
PDAP1	-0.899166666666667
C19orf6	-0.5455
ZAN	0.168
LY6G6E	0.3975
EIF4E2	0.00825
C20orf198	-0.255
ZNF324	0.082
CYP3A5	-1.78783333333333
ENTPD7	2.66566666666667
MBOAT5	-0.356666666666667
GJB5	-1.07975
TTC13	-0.07725
S100Z	-1.336
KIAA0664	-0.502333333333333
PDGFRB	2.03133333333333
IL17D	-0.6025
OR56B4	0.046
RDX	-1.5775
SLC34A3	-0.0975
IL28B	-0.1285
JUND	0.9225
CHRNB1	-0.31625
CAMK2B	-0.24875
FETUB	-0.913
CXorf23	1.657375
MRTO4	-0.576
TTC3	2.0398
NDUFB8	-0.3395
EDG2	-1.27425
SEMA3G	0.4795
IL23A	0.3725
GRHL1	1.376
LOC441054	-0.322
WDR65	-0.0755714285714286
PSTK	-0.57425
STOML3	0.595333333333333
R3HDM2	-0.5672
C5	-2.88525
SLC2A10	1.042
C3orf22	0.31475
PAQR3	-1.27376923076923
ANKRD26	-0.579666666666667
HCRTR1	-0.0645
LOC399947	0.112666666666667
PSD2	-1.64875
TIGD2	-0.251666666666667
SCRN1	-1.156875
COQ10A	-1.32325
DDI2	0.041
METTL7B	-0.518
UCN2	0.16425
FAM92A3	-0.00125
WDR16	0.145333333333333
ZNF511	0.1955
ZMYM5	-0.65025
POLR3G	-2.31975
ZNF586	-0.64475
C1orf49	2.49116666666667
TANK	0.0123333333333333
RCAN1	-0.7015
PELI3	0.8475
LIMD2	-0.50775
TMEM189	0.62
NTN4	0.2405
LOC151300	0.1345
CLEC2A	-1.199
GPR135	-0.402125
DPYSL4	-1.9688
JAK2	0.0738333333333333
TSHZ1	0.361333333333333
TM9SF4	0.072
ZNF264	0.095
SIRPG	1.089
BICD1	-1.065
HERC6	1.50533333333333
METTL5	-1.214
CASP1	0.5555
PRRT1	0.321166666666667
PLA2G4C	1.01916666666667
ICA1L	-0.600928571428571
TPTE2	-0.148333333333333
OTUD7A	-0.891
AQP11	-0.8455
APOA2	-3.9594
KALRN	0.7888
SECTM1	0.192583333333333
IFNAR1	0.47275
TALDO1	-0.149875
RAB11FIP4	0.0840833333333333
EIF5A	-1.864
FAM49A	1.98925
NEGR1	0.316333333333333
YTHDC2	0.1885
EHD2	-0.500125
NCF1	1.7562
SCRT2	0.3995
HOXA5	-0.760333333333333
NUP133	0.47825
FGF12	-0.721625
SLMO2	-0.116375
SNTA1	-0.043125
CACNG2	-0.0425
GCM1	0.508
ELF1	0.997
TLR5	2.68025
TCFL5	0.205583333333333
RBMY2FP	-0.3595
LOC100125556	0.200625
FAM129B	-0.61
MAP3K7IP1	0.157375
NCK2	-0.0665
OXA1L	-0.76
FMO9P	0.412
ZSCAN12	-0.1445
PSMD12	-0.199666666666667
HSCB	-0.28925
CLDN10	-2.42175
MGC13053	-0.0315000000000001
HPCAL4	-0.7285
ASZ1	-0.254
MEX3D	-0.0084166666666667
NFAT5	-0.6635
CSPG4LYP1	-0.4665
FBXO3	0.1201
DVL1	-0.9845
CMKLR1	2.052
TYMS	-3.45375
PEF1	0.154
ZNF750	0.727833333333333
MCM5	-0.3736
MEGF11	-1.63425
KCNK7	0.098
PTP4A3	0.1685
C1QTNF2	0.289833333333333
OR6S1	1.052
FAM122B	-0.909
ZNF551	-0.379875
HBQ1	-2.32
GEMIN6	0.90325
ARSK	-0.6495
RBP7	2.36216666666667
CPNE9	0.55975
DSC1	2.0765
LOC730112	-0.19375
MAP2K4	-0.138875
HS3ST5	-0.6005
