Hybridization REF	TCGA-AN-A0XN-01A-21R-A109-07
JMJD6	0.17775
CTSL1	0.762333333333333
GPR27	0.2085
ELAVL4	0.909875
MMP21	0.56
PPM1B	-0.243125
SUV39H1	-1.5135
AAMP	0.90675
TUSC4	0.2895
MBD6	0.4805
KLK13	-1.401875
FMNL3	0.664166666666667
TRIM13	0.20075
C15orf5	-1.47875
IQCF1	-0.301714285714286
CACNG8	0.5845
SLC35D3	0.430666666666667
ZDHHC9	1.4355
ODF3L1	-0.0215
C9orf86	-0.5569
TSEN2	-0.51325
C17orf64	0.3575
SEPX1	0.0068
TSPO	0.900833333333333
SYMPK	-0.9835
ADORA1	1.4105
TSPAN10	0.5115
SEMA6C	0.826333333333333
RTTN	-0.3813
IL2	0.2825
ARRDC3	0.0238333333333333
TBPL1	-0.818333333333333
STX12	1.08125
MRPL39	-1.89475
OR8H3	0.2255
IFIT5	1.42733333333333
CASC5	-2.147
FAM46A	0.0531666666666667
HPCAL1	-0.5755
CYLC1	0.255
VGLL2	0.38225
C20orf191	0.22325
CDH1	0.586583333333333
ITPA	-0.354
CCDC101	-0.38725
D15Wsu75e	0.297
EDA	-0.77725
CREG1	0.35875
OR7G2	0.24
SAP18	0.80825
IFIT1	3.02775
CALML3	-1.69883333333333
FLJ37440	1.962
FNDC5	0.209
SERPINB6	-0.0527857142857143
JUNB	1.921
SYS1	0.59875
SCN2A	0.901333333333333
ZKSCAN5	-0.7334
WNT7A	0.0448333333333333
TSHZ3	3.67925
RNF148	0.59075
H6PD	0.585
CAD	-1.204
ZNF449	0.59775
DOCK10	0.046
FAIM2	0.0738333333333333
HEXDC	-0.63825
PRB1	0.267
C14orf148	-0.543
ETHE1	1.0185
IRF5	0.1723
GNMT	-0.529333333333333
MGC16291	-0.59125
RPAIN	-1.02207142857143
CAGE1	0.1745
CNTNAP3	-2.41925
ACTR1B	-0.684
EEF1E1	-1.34775
MSX1	0.01475
ESF1	-0.5872
HSPC171	0.09075
MRPL2	-0.358333333333333
RDH12	-0.429166666666667
CELP	0.3635
METRNL	1.1985
C10orf116	4.45933333333333
C19orf48	-0.4995
ZNF346	0.0245
NCR1	-1.387
C10orf64	1.6035
CD52	1.15975
VPS18	1.178375
AP4S1	-0.2415
NPBWR1	0.201
TPK1	1.2975
UBA52	0.553555555555555
RIPK1	0.7225
CPNE3	0.2002
HSPC159	0.437125
C8orf38	0.16425
LRRC4B	0.0515
PARP10	0.6804
ANKRD50	1.0645
CXCL9	6.27475
FGF18	1.40290909090909
EIF2A	-0.2855
SLC20A2	2.88866666666667
KIAA1549	-0.323833333333333
SPINT1	1.4369
ZNF584	-0.078
CRBN	0.587333333333333
ABCF3	0.043
NCBP1	-0.995666666666667
PLA2G4F	-0.132666666666667
PCDH10	-0.699125
TTC21A	0.54625
C20orf144	0.378
FGFR1OP2	-0.827666666666667
SLC9A1	0.3754
CHRND	0.0955
FOXF1	-0.8485
KIAA1467	-0.1895
TPO	-1.31483333333333
LTF	1.47492857142857
DNAJB9	1.03025
MRPS27	-1.11325
bA16L21.2.1	0.2025
WBP2	0.100333333333333
MRGPRX3	-2.2105
PRPF18	0.17775
C10orf58	0.8025
SMOC1	-1.5075
ADAT3	0.348333333333333
TMEM138	0.2635
TMEM131	-0.042375
TIMM8B	-0.329
MYH7	-0.610666666666667
ST6GAL2	1.8665
KIF1C	0.038
SUHW2	-1.79
PAPSS1	0.695
CABP2	0.4585
HOXA4	-0.00525
ELF2	0.6645
SEMA3D	1.5019
MC5R	0.4485
OGFR	0.08
FLJ30092	0.0395
TGFA	-0.8458
MMP17	0.611
KIF15	-2.60375
CHIA	0.2305
CATSPER3	0.34125
CEACAM7	0.62275
PADI2	2.343625
HOXA9	0.8555
LNX2	0.795333333333333
TMEM144	2.48575
HIF1AN	0.18
METTL7A	-1.7291
C6orf165	2.45283333333333
KIAA1468	0.493625
DSG3	-2.1515
ZNF180	-0.184
EIF4E3	0.97675
SLC46A1	0.598875
DKK1	0.986333333333333
ZNF205	0.368
LOC162073	1.29188888888889
COX7A1	5.15175
MAGEA1	-5.29516666666667
NEDD8	-0.546416666666667
KLHDC5	-0.0263888888888889
C3orf19	0.450166666666667
MRPS2	-0.7955
POLR3H	0.535785714285714
ABHD11	0.1635
TMEM17	1.15775
PAIP2B	-0.3951
MAT1A	-4.657
LGI3	-0.21775
THUMPD2	1.17625
TKTL2	0.548
XAGE3	-2.14683333333333
CALM3	0.2735
C6orf136	-0.215166666666667
KCNC4	0.4445
RGS9	-0.0906666666666667
ACIN1	-1.1905
SPATS1	0.64375
XKR8	0.20125
FAM84A	2.09275
MS4A7	5.75836363636364
AGXT2L2	0.05075
OR1F1	0.0005
SMAP1L	-0.523583333333333
IPO11	0.20625
ZC3H11A	0.128875
C1orf151	0.021125
RNASEH2A	-1.4775
CCR10	-0.527
TXNDC11	0.09075
TMEM112	0.450875
MAP1B	-0.794
NVL	0.20875
PKM2	-0.84035
ARC	0.787
NUP54	-0.3645
PPFIBP2	1.1025
STAT2	1.21275
PTAFR	2.28333333333333
ROBO2	2.33625
RNF40	-0.4015
CCDC135	-0.461833333333333
IFT81	-0.5057
MORF4	0.10925
TM7SF3	-1.010875
OR10H3	0.5355
ABP1	-0.07025
CHRD	1.49925
PLEKHA8	0.0815
NCALD	1.084
OR5AK2	0.88
ACCN1	1.06283333333333
SLITRK1	-0.316333333333333
ARMET	0.09225
C9orf52	0.35025
REEP4	-1.23575
MTSS1	1.778625
ADH1B	1.05183333333333
DLD	-0.9095
CDK5	-0.86875
PPFIA1	0.4545
WFDC3	2.3895
DNAJB12	1.24
RANGRF	-0.59
MLANA	-4.64125
AMY2B	0.1655
KIAA0319	1.07475
RPS7	-0.5935
JAK3	0.017
ARFGEF1	0.5745
CXCL5	0.671833333333333
TRAPPC4	-0.9095
CETN2	0.7215
HSPC111	-0.14725
RHOBTB3	-1.6812
PHLPP	-0.182
RGS10	0.665
TMEM58	0.976
CHERP	-0.554875
HSP90AB3P	-0.8365
FSTL3	0.666833333333333
PEX11A	0.1945
OR5V1	0.7765
FCN3	1.99275
PTPN3	0.258875
NPTX1	-4.340625
C21orf84	-0.729
C11orf51	-0.379
ZBED2	1.13125
FLJ90757	0.3265
NPY2R	0.453
PLD3	0.65575
SYT17	1.5575
SGSM2	-0.93975
OR1A2	0.105
FOXP1	1.214
SLC5A1	0.44925
POFUT1	-0.2319
EPHB6	-2.66633333333333
MYO1G	-0.6325
STAC	-1.797
KLHL17	-0.496833333333333
RGMA	-0.288
TJP2	-1.2508
FAM114A1	0.6025
SERINC1	1.50616666666667
SLC9A8	0.06925
PEX19	0.179
EDN2	3.8625
PSMD7	-0.886777777777778
C3orf41	-2.00975
UQCR	-0.139125
PPP1R3C	0.48825
LRP4	-1.87233333333333
TM2D1	-0.0405
TTC17	0.08825
C4BPB	-3.933
CCL25	0.847
ZNF253	-0.399166666666667
CHRNA9	-3.31875
SOX11	-0.3805
HIVEP3	1.3325
CGN	0.7785
C3orf35	0.668
PKD2L1	2.582
SYVN1	0.270375
PDE8B	-2.041625
LOC439951	0.497
LTC4S	2.40283333333333
MIF4GD	0.0106666666666667
SMARCA2	0.759
TUBGCP6	-0.3985
CABLES1	0.84675
C16orf77	1.6985
ZNF791	0.6755
FUT5	-1.2555
ADH6	-2.23533333333333
P4HB	0.63175
CLDND2	-1.00425
ALKBH8	1.4645
PLAC4	-2.00425
F11R	-0.429142857142857
MGC35295	1.611
PDZD4	-0.542333333333333
LOC389073	-0.129
FAM80B	-0.8385
PSMB1	-0.784125
TXN	-0.559166666666667
VIPR1	0.1984
WBSCR18	0.0752
EXOSC6	-0.6505
ACTA2	4.2575
SP5	-1.0935
ANKRD1	-0.9945
DDR1	1.2114
ATP6V1D	-0.23175
PTGS1	0.411583333333333
RNF157	-1.27675
DCC	-0.5
SPAG7	-0.08975
FBXO18	0.356
UBE3C	-0.4584
HOXC6	0.94925
LRP2BP	0.259666666666667
MYST2	-0.43675
PDSS2	2.048
ATE1	-0.245
ARAF	0.13325
KLF10	0.2915
PLA2G2E	0.487
ASCL1	-1.2275
TSNAXIP1	0.582
FAM131B	-0.139
IFNA10	-0.636
NUP43	-0.655625
FAM44B	-0.2445
L1TD1	-4.86066666666667
NMD3	-0.365833333333333
C18orf54	-0.8779
PHOSPHO1	-0.6845
RAG2	-0.4205
EMILIN3	-0.506
METTL3	-0.7555
VPS13C	-0.232125
REXO2	-0.57325
ANXA4	0.4735
CA1	-0.9405
DCP1B	0.08275
TULP3	-0.650333333333333
ATP2A2	0.189357142857143
ATIC	0.197
ADAM15	-0.97425
NPL	1.97933333333333
LGR4	-1.245125
UEVLD	0.550333333333333
GAB1	1.41375
SNAI2	0.584
ZGPAT	0.1383
SNF1LK	0.50225
DLEU1	-1.34375
UBE2Q1	0.48
ZMYM6	0.3113125
JPH3	-0.359
FAM38A	-0.255666666666667
PXK	0.197333333333333
DENND2D	1.3855
BAX	-1.3315
CP	-1.91645454545455
RPL37	-0.4058
G6PC3	-0.157375
NCOA4	0.0453333333333333
LRRC14	-0.059375
GORASP1	0.2855
FCHO2	0.7365
CYP24A1	-3.5502
FXYD3	1.229875
SMARCAL1	0.7955
ABCB8	-0.747
CCDC44	-0.3145
PRDM7	-3.51425
USH1C	-1.28675
DNAH5	2.37216666666667
SRF	0.535583333333333
MAL2	2.15766666666667
PGPEP1	0.53825
SIN3B	-0.02475
SEMA3C	-1.06033333333333
GRAMD3	2.225
FBXO10	-0.12275
OR5D13	-0.394
FLJ31818	0.425625
CACNA1I	0.762
S100A13	1.0045
TP63	1.20485714285714
ANXA11	1.006
WDR66	-0.03475
CSF2RB	0.0015
IFI44	1.7025
DACT1	3.95166666666667
ANKRD23	-2.249625
ATP5G1	-1.41516666666667
C21orf70	-0.168333333333333
PPWD1	-0.89975
DNAJC13	0.57825
PAH	-3.30266666666667
PTCH2	0.41025
TRMU	-0.6145
CCDC9	0.0325
USP3	-0.1496
DCLRE1C	-0.3321
FAM55C	-0.0675
FRMD4B	1.46325
CYP2R1	-0.5295
RFPL1	-0.0579
XPO5	-0.376
ARL6IP2	-0.1985
OSBPL5	1.3235
MMP9	5.12881818181818
KIAA0802	-0.719875
DHRS2	-3.92566666666667
SGEF	-0.044625
TXNDC10	-0.1473
EXOC6	0.22175
RPS27	0.8405
PNCK	-0.993666666666667
FSTL1	0.8785
AACS	-0.30575
SLMAP	0.272333333333333
SAMD4A	1.4297
ABRA	0.4145
SMARCD3	2.02
PKNOX2	-2.4115
A4GNT	0.859
C9orf39	-0.0273333333333333
RALYL	0.1385
MGC33556	-2.4305
C10orf25	0.1485
BBOX1	5.65275
NHEDC1	0.13575
XDH	0.177
GCSH	-1.724
EDN1	2.36466666666667
MTERF	-0.32375
CLK4	1.43475
ZNF799	0.5895
KCNG1	-0.74
CXCR4	1.363
PTPRR	-0.71225
IRAK1	-0.245625
LOC401397	-0.31325
TMSB10	0.572357142857143
CXCL3	-2.8841
TMC4	1.35275
OR7A10	1.3985
STYK1	0.05375
CHRNA10	-0.8395
CCNI	1.04075
EP300	0.926571428571428
LOC165186	-0.371666666666667
HIC2	-2.70175
SDR-O	0.383
OR2W1	-0.265
KCNA6	-0.1335
TRIM74	-1.46575
REEP6	0.6
ATP5G2	-0.29125
ERG	1.013
TMEM42	-0.0905
PARN	-0.198166666666667
SOD2	0.7824375
DIRAS1	0.905833333333333
PNPT1	-0.914
JOSD3	-0.8415
hCG_40738	-0.1965
PDE1C	-1.679
SEMA4D	0.363125
AGPAT1	0.037
NOSTRIN	0.090125
MAP3K3	-0.123833333333333
MAX	0.294
CAPS	1.42316666666667
SERPINA12	0.386
OSBPL8	0.898125
RICS	0.715
NR4A2	0.514333333333333
PPCS	0.6165
LONP1	-0.68225
SCYL3	0.74375
HERC2P2	-1.62183333333333
FIBCD1	-0.5265
C15orf41	-0.53125
DMC1	-0.847666666666667
C20orf27	-1.48775
RPS6KA5	0.0492
FAHD1	-0.0973333333333333
SLC12A4	0.5975
BRCA1	-1.53183333333333
GBL	-0.45525
SLK	0.0528333333333334
NUDT9P1	-0.1575
NOXO1	2.314
USP52	-1.5695
BAZ1B	-0.68025
SLCO2B1	3.655
BBS12	1.07883333333333
LRGUK	0.149166666666667
TERF2IP	0.173
COL1A1	5.8695
KIAA0090	0.177875
GRK5	-0.517833333333333
AP1S2	-0.1918
TMEM52	-0.731333333333334
CA11	-0.601
OR4A15	0.506666666666667
ACBD3	0.8565
SPAG11B	-0.208125
PRDM2	1.3213
FOXP3	0.47725
SMYD3	-0.1702
LOC389199	0.752
LGI2	1.612
NAPE-PLD	-0.194
ANKRD6	2.291
WDR45	0.538
SHROOM1	-0.96225
PSCD3	1.3555
PYY	0.48
KCNC1	0.3095
ARHGEF9	0.5251
OR8J1	0.737
GPR55	0.166333333333333
NS3BP	-1.512
C10orf22	-0.00566666666666666
NAT8L	-2.64775
DUSP4	0.0216666666666667
FOXM1	-2.19283333333333
GRAMD2	1.6791
ZBTB48	-0.440333333333333
BUD31	-0.5255
PABPC5	0.472
CCDC41	-0.91725
FBXO11	-0.00233333333333333
C6orf148	-0.139
RFXAP	-1.086
C6orf15	0.0561666666666667
CDK8	-0.327666666666667
C6orf70	-0.23725
TESSP2	0.7775
ALG2	0.49025
PPP1R3D	1.16525
TPM3	0.251166666666667
SYT13	2.15625
EPB42	-0.959333333333333
CETN3	-1.7025
PRY	-0.3055
NTHL1	-0.4235
POLR2B	-0.1135
RPS28	0.575166666666667
P2RX3	0.202
LYZL4	0.54075
WBP4	-0.1454
PMM1	0.0345
C11orf79	0.50725
CBLL1	-0.12775
IL1F10	0.663166666666667
VAX2	-0.6115
SETDB1	-0.249166666666667
LRAP	-2.8895
GCLM	0.4605
CPEB3	0.94375
PPM1A	0.0839375
INTS1	-0.63625
CAMTA1	0.451333333333333
SAMSN1	-1.103
LOC158830	-2.42233333333333
GMPPA	-0.033
AIPL1	0.12525
IL24	0.439666666666667
BDKRB1	0.168166666666667
MLF1	1.2597
TAF12	-0.29575
ID1	-1.95225
THADA	-0.0945
PIK3CB	-0.23575
OR4N5	-1.0205
TBC1D17	-0.144666666666667
COX8A	-0.4225
CDCA4	-0.97075
C2orf44	-0.484
ZNF534	-1.62175
IMMP1L	-0.3145
NIPSNAP3B	0.48875
FTMT	0.5865
PWP2	-0.6175
MMP15	-0.7664
DNAH11	-1.974
MTMR14	0.479
DNAL4	0.637
IPP	-0.69625
TMEM59	0.887875
C1orf157	1.5705
RGS4	1.435
DDX18	-0.739166666666667
SNX6	0.95475
ZNHIT2	0.627833333333333
NCDN	-0.571166666666667
FLJ33534	0.60975
RAG1	-1.42225
OR4D10	0.435
PTPN5	-0.5215
POMT1	-0.037125
LRRC8A	0.4157
CYP1A1	-1.67525
CAPN1	-0.2995
DDHD2	1.48375
GRIK2	0.3485
GNRHR	0.03475
PPBP	1.5085
HTR3A	-1.24775
SLITRK4	4.309
ANKRD49	-0.097
BTF3	-0.4976
SARS	0.27225
C13orf18	0.808666666666667
CACNB1	0.247214285714286
QKI	0.209636363636364
SETMAR	0.706625
MAN2B1	1.42
EML3	-0.4245
ACADL	-0.622166666666667
OFD1	-0.7255
DEFB114	-0.473
CGA	-3.524
PEX16	-0.392
LRRC10	-0.6865
GNG12	0.7325
C1orf152	0.702166666666667
CHRM1	0.1085
CD53	1.523375
DBH	-0.69
TFAP2B	4.1285
HIST1H2BJ	-0.4495
FAM46D	0.8085
TMEM11	-0.0915
C3orf32	-3.197
PCCB	-0.867875
IPO13	-0.191125
C6orf105	-2.39775
COMMD5	0.93725
SUV420H1	0.6602
LTBR	0.47275
ARHGAP15	-0.489125
HDHD2	-0.516
TDRKH	-0.912
LOC401052	2.2865
PSG4	1.552
GNB4	0.2559
SPATA4	0.185
SLC9A3	-0.459
OSBP	0.489166666666667
NBPF3	-0.36875
DOCK11	-1.0995
SLC39A5	-1.687
PRR5	0.7489
C10orf63	1.455125
SMTNL2	-1.36325
ADRA1A	0.06325
ASAH1	1.5869
DOM3Z	-0.3826
GIPR	0.753333333333333
AHI1	-0.46425
NADSYN1	-0.0215
RGS14	-0.6573
IL18BP	0.8257
RTN4RL1	0.302916666666667
ARMC6	-0.91325
PSMD5	0.108
HK3	3.0946
OR4S1	0.64775
RSU1	1.5423
MAD2L1	-2.86333333333333
EIF4A3	-0.27525
DLEC1	-0.5825
E4F1	-0.336666666666667
CHMP2B	0.4353
CAMSAP1	-0.60325
RPS21	-0.554833333333333
ARID5A	0.226
UBE2N	-0.0701
IGSF8	0.228833333333333
MAGEB6	-1.362
ACAD11	-1.1269
MGC4172	-1.49375
LMO4	0.017
KLKB1	0.4065
HP	-1.0135
HDAC3	0.11
SCHIP1	1.1
CLCA1	-0.2575
OLFML2A	1.88925
C1orf112	-1.74075
KIF19	0.436416666666667
HAPLN4	-0.076
CXCR7	2.00683333333333
GOT2	-0.3712
RAB38	-0.03925
DCX	-1.64825
PPM1H	-0.832083333333333
NFYC	0.382666666666667
KIN	0.1345
ZNF228	0.66625
PLSCR4	3.02883333333333
HIG2	1.406
FAM79B	7.076
C21orf86	-0.3991
KCNK10	-0.3215
ZNF738	-1.4585
FSTL5	-0.368666666666667
OR6A2	-0.134
OTOA	1.48833333333333
EXOC1	0.1455
AHRR	-2.176125
PDAP1	-1.361
C19orf6	-0.3965
ZAN	0.34925
LY6G6E	0.487
EIF4E2	-0.04925
C20orf198	-0.44
ZNF324	-0.30625
CYP3A5	-3.51733333333333
ENTPD7	0.799333333333333
MBOAT5	0.152166666666667
GJB5	-2.1135
TTC13	0.2735
S100Z	-1.17516666666667
KIAA0664	-0.775166666666667
PDGFRB	3.39683333333333
IL17D	-1.6595
OR56B4	-0.333
RDX	-0.4085
SLC34A3	-0.1405
IL28B	-0.9575
JUND	1.66225
CHRNB1	-0.497625
CAMK2B	-0.6615
FETUB	-1.25775
CXorf23	0.936875
MRTO4	-0.48575
TTC3	0.5137
NDUFB8	-0.837666666666667
EDG2	-0.07475
SEMA3G	0.3775
IL23A	-1.95225
GRHL1	0.1846
LOC441054	-0.6945
WDR65	0.504
PSTK	-0.9855
STOML3	-0.0806
R3HDM2	-0.0329
C5	-2.4775
SLC2A10	0.499833333333333
C3orf22	0.511
PAQR3	-0.664230769230769
ANKRD26	-0.792833333333333
HCRTR1	0.353
LOC399947	-0.64375
PSD2	0.2805
TIGD2	-0.586333333333333
SCRN1	-0.508625
COQ10A	-0.9765
DDI2	0.0845
METTL7B	-0.783333333333333
UCN2	0.06725
FAM92A3	-0.266
WDR16	0.80375
ZNF511	-0.347
ZMYM5	-0.592
POLR3G	-2.428
ZNF586	0.33525
C1orf49	0.108833333333333
TANK	0.512
RCAN1	1.40316666666667
PELI3	1.49016666666667
LIMD2	-0.485083333333333
TMEM189	-0.5675
NTN4	0.77375
LOC151300	2.078
CLEC2A	-0.939
GPR135	-0.41375
DPYSL4	-0.2598
JAK2	-0.294166666666667
TSHZ1	-0.499
TM9SF4	0.23
ZNF264	0.706833333333333
SIRPG	1.640125
BICD1	0.626
HERC6	1.68533333333333
METTL5	-0.3755
CASP1	1.3455
PRRT1	-0.686833333333333
PLA2G4C	2.40033333333333
ICA1L	-0.482928571428571
TPTE2	0.677166666666667
OTUD7A	0.4965
AQP11	-1.0885
APOA2	-4.1571
KALRN	-0.00980000000000002
SECTM1	0.404916666666667
IFNAR1	0.5375
TALDO1	-0.427875
RAB11FIP4	-0.856166666666667
EIF5A	-1.0695
FAM49A	3.4185
NEGR1	1.00783333333333
YTHDC2	-0.42025
EHD2	0.935875
NCF1	2.6616
SCRT2	0.6125
HOXA5	-0.137666666666667
NUP133	0.22525
FGF12	1.6785
SLMO2	0.101
SNTA1	0.812875
CACNG2	0.358
GCM1	0.10075
ELF1	-0.182166666666667
TLR5	3.4215
TCFL5	-0.345833333333333
RBMY2FP	-1.347
LOC100125556	0.189625
FAM129B	0.347625
MAP3K7IP1	-0.148875
NCK2	0.2315
OXA1L	-0.51925
FMO9P	0.563
ZSCAN12	-0.1905
PSMD12	-0.58025
HSCB	-0.535
CLDN10	-3.51375
MGC13053	-0.668
HPCAL4	-0.893666666666667
ASZ1	-0.1815
MEX3D	0.955916666666667
NFAT5	-0.4388
CSPG4LYP1	-0.133
FBXO3	0.6502
DVL1	-0.744666666666666
CMKLR1	2.5065
TYMS	-3.295125
PEF1	0.8125
ZNF750	0.446
MCM5	-1.0704
MEGF11	-0.683
KCNK7	-0.0075
PTP4A3	0.875
C1QTNF2	-1.03933333333333
OR6S1	0.6475
FAM122B	-0.77575
ZNF551	-0.791
HBQ1	-2.6665
GEMIN6	-0.62625
ARSK	0.198
RBP7	1.70583333333333
CPNE9	0.44875
DSC1	-0.338
LOC730112	-0.45475
MAP2K4	0.11925
HS3ST5	-1.4495
EPB41L3	-0.28775
TEKT2	1.30575
CDKN2B	1.47908333333333
ZNF480	-1.555
MAP3K6	0.277
MAP6	1.95333333333333
HN1	-0.4694
OR2L13	0.36
SLC16A11	0.188
FAM96A	-1.35775
APOL1	1.18425
C5orf32	0.2895
RTP1	-0.519833333333333
RNF175	0.734375
ZBTB41	1.019625
AHCTF1	0.178
SAE2	0.7563
ITGA2	-0.796916666666667
MME	2.18916666666667
CCDC14	-1.5055
MAST4	0.336714285714286
KRT33B	-0.4935
KCTD2	0.5385
WDR26	0.996916666666666
MFI2	1.29925
NR4A3	0.1945
ARSA	1.6775
UNKL	-0.369
SULT6B1	-0.1955
CCNA2	-2.61233333333333
SOX15	-0.164
PPAPDC1B	1.62391666666667
C19orf44	0.7865
MCAT	0.985166666666667
ARID1B	-0.058125
OR52N1	-0.118
C12orf48	-2.19025
MAGI1	-0.9445
NIPA2	-0.51525
GBX2	-0.9285
RSHL3	0.060125
RAVER1	0.294
C15orf17	0.1585
SLC30A2	0.29275
ZNF518	-0.66025
PCYT1B	-0.671
C10orf114	1.20275
EIF3H	0.267083333333333
SLC25A39	-0.735166666666667
KIF1B	0.122875
AMOTL2	1.12175
C6orf120	-0.25075
PSRC1	-2.13175
PLA2G10	-0.078375
KIF5C	-0.0578571428571428
MRPL37	-0.286
C17orf62	0.301666666666667
C9orf135	-1.28883333333333
DUSP10	1.1139
CLCNKB	0.354
PSMA5	-0.365
C8orf53	-0.0115
AMPD3	1.36633333333333
PIAS1	0.0155
ADCYAP1R1	-0.1455
GYLTL1B	0.328
CDH20	0.344166666666667
FBXO7	0.01975
TMEM134	0.626333333333333
FLJ14213	1.42116666666667
ZNF3	-0.15325
LRRFIP1	0.738583333333333
CNOT2	0.384583333333333
ABI3	2.70875
ALDH5A1	-0.368333333333333
HNT	4.2957
SERPINA4	-2.63025
TK2	0.793166666666667
STMN1	-1.72966666666667
GUCA2A	0.919166666666667
GALNT10	1.46392857142857
DPP6	-0.3542
C9orf93	-0.314375
PRELID2	-0.617
STK39	-0.0945
SFTPA1	-0.98675
CKS2	-2.04255555555556
RHO	-0.038875
C20orf135	0.03175
XKR3	-2.4835
CR1	0.1255
RPS6KA2	0.770857142857143
C20orf112	0.0275
MRPL22	-0.8135
C4orf23	0.393
GADD45B	2.2075
KLHDC1	1.13666666666667
C2orf48	-1.9275
ZNF287	0.7495
DAAM2	0.21825
DPPA2	-3.0664
TCTN3	1.41316666666667
DNAJB11	0.57775
FPR1	3.65075
DEFB4	0.2725
PTCD2	-0.564
SMOC2	5.38166666666667
CABP7	1.4925
SERPINB11	-0.05825
MAGEF1	-0.73625
NDE1	-0.276333333333333
ITGA10	0.147
FSHB	0.0835
ANXA2	0.97225
HORMAD2	-0.0145
HLCS	0.17275
MCF2L	0.429583333333333
FH	-0.00749999999999997
TBC1D24	0.38075
KIAA1505	1.89025
LGALS2	-2.3145
CNBD1	0.524
SYNPO2L	-0.27375
PTPN23	0.211642857142857
C1orf183	-0.2055
MAGEA8	-2.7785
DGCR8	-1.772375
GSR	-1.17725
PAQR7	0.4045
ZNF676	-0.139
CACNA1C	0.2864
SP7	0.039
PDCD6	-0.13775
NRN1L	-0.604
BRI3BP	-0.771083333333333
KIAA1183	1.122
ASB4	-0.125
CCL23	0.6684
OBSL1	-0.825625
SLC12A7	0.83725
KIAA0240	0.735625
CD1B	-3.00216666666667
FCGR2A	2.28325
MDC1	-0.9945
HTR1A	0.2045
OCEL1	0.184
ATP11B	0.156
FBXO34	0.463166666666667
PCDH12	4.2
RPE	0.15025
C17orf74	0.071
CSDC2	1.47283333333333
PET112L	0.774
TMBIM1	1.779625
P2RXL1	-0.00100000000000004
TCHP	-0.924
TRMT1	-0.675833333333333
F2RL2	-1.20816666666667
LRRC32	3.51333333333333
IMPG2	0.156
BGLAP	0.199
LOC493869	0.803
MRAS	2.272375
SLC35F5	1.4695
CBWD1	-0.3165
AXL	0.1225
ATP2C2	1.284
TELO2	-0.769
PNPLA3	-1.466
PCDHB14	1.168
CD276	1.22725
KRT80	1.165625
DUSP28	-0.086
CSNK1E	0.10775
SRP14	0.179
KCNQ4	0.215
KRT72	0.366833333333333
CCDC117	0.04675
C6orf89	0.161444444444444
TUBB2B	-2.2105
RTN4IP1	1.20075
CR1L	-3.85916666666667
CEND1	0.16425
C12orf41	-0.0218333333333333
RNF31	-0.038
UBN1	-0.778
C17orf32	0.7505
SLC5A7	0.35575
GPR92	1.79933333333333
ESAM	2.8831
CTNNA1	0.244333333333333
HRBL	-0.3682
CBX4	-0.289
TMEM182	-0.32725
SH3TC2	-1.8195
IL10	1.40783333333333
PXMP4	0.304
RNF167	-0.5944
PAK7	-0.436166666666667
ETV3	-0.2955
ATPIF1	-1.301
LOC554207	-1.93283333333333
OR8H1	0.06125
WDFY3	1.143125
DPM1	-0.499
GPSM1	-0.58
WDR92	-0.0041
LRP1	1.31266666666667
ANKH	1.266125
THUMPD3	-0.16675
POLR1B	-0.0865
OLFM4	-0.2025
RAD9B	1.13825
TSPY2	-3.036
PAX6	-1.67533333333333
SCG2	-0.600125
SLC17A6	0.66375
FMO3	3.56475
PADI4	0.292625
TUBB4	-0.434
NLK	-0.72125
POU4F3	-0.5125
SDF4	-0.223
ITGBL1	4.68633333333333
NETO1	1.074375
TAP2	0.204125
ABBA-1	0.427166666666667
GNAI1	-0.327
VPS4B	1.09475
NOPE	-0.3827
GALNT6	2.2795
SESN1	0.103875
GBE1	-0.143666666666667
CLASP1	0.07075
RASGEF1B	1.3495
ACOT11	0.0465
AFAP1	1.3165
OR2H2	0.257
DPY19L2P1	-0.76
DZIP1	-0.695
SEC22C	0.140166666666667
GPR161	0.522333333333333
RNF146	0.36875
WDR74	-0.4725
GALP	-0.055
PURA	0.96
DNPEP	0.88975
RP11-78J21.1	-0.728
ERBB2	1.097875
FANCM	-1.191
NEO1	0.876833333333333
DDX3Y	-4.8003
RPS3A	0.919625
MXRA7	1.93842857142857
LGALS3	0.949833333333333
GLT8D1	0.49275
CFL2	-1.27216666666667
UPB1	0.83625
NAP1L5	-0.436375
CLDN14	3.53925
DHX38	-0.47925
BTBD1	-0.32325
TARS2	-0.470333333333333
ABCF1	-0.0011
FCF1	-0.4645
LRRC49	0.4185
GUCY1B2	-0.202
C1orf177	0.331166666666667
SMARCA4	-0.577285714285714
LRP8	-2.21116666666667
TAGLN3	-1.11875
MRPL14	-0.188
TTRAP	0.64725
ZDHHC20	1.045
NFE2L3	-1.128
KIAA1377	0.951375
PALMD	1.3241
TMEM43	0.6475
TTL	-0.910875
STAT5B	-1.00716666666667
SSB	-0.297625
OR10H5	0.4255
SLC22A13	-0.906
AKAP3	-0.71375
TIMM23	-0.092
OAS2	2.48358333333333
KIAA0423	0.98725
TRIM11	0.421666666666667
GLIS3	2.640125
TMEM50B	0.359666666666667
ARHGEF4	-0.477
DEGS1	0.384
TBL1XR1	1.41396666666667
G6PD	-1.7765
SP140	0.659
MUC17	0.0743571428571428
