Hybridization REF	TCGA-A8-A09K-01A-11R-A00Z-07
TRAM1L1	3.1772
EPO	-2.93216666666667
MRPS18B	-0.592
ZNF682	-2.0465
RPL14	-0.302
MAFF	0.01325
LOC51136	0.5845
LY96	-0.4595
DDX20	-0.7135
ABTB1	1.31783333333333
ARL5A	-0.0228
CCT6A	-0.7565
HEPACAM	-1.74733333333333
EHHADH	-1.256
RBAK	-0.197
CGB1	-0.43175
ITGB5	-1.2844
YIPF3	0.34325
FKBP2	-0.39275
NR1D1	0.3691
TMEM110	1.0705
NEK2	-0.589666666666667
PRAMEF8	-3.078
C20orf52	-0.572666666666667
PCDHGA3	-1.093
VWA3B	-0.354
NDUFA5	0.755875
THAP9	-0.18425
FLVCR2	-0.461833333333333
AP1S1	-0.577875
SMAD6	-1.02225
SAV1	-0.699375
SAT1	1.334
ZNF251	1.2815
ADAMTS7	0.1584
RPP38	0.236
C1orf211	-2.101
YPEL2	2.1917
RBMS1	-1.154
ZNF445	-0.0156666666666667
NRXN2	0.401166666666667
PGBD4	0.263
UGT2B28	-2.63725
WBSCR16	-0.4713
NLRC3	0.9305
ASTL	0.30575
ST6GALNAC1	-3.21275
ZADH2	0.56925
MLLT4	1.35566666666667
ARL6	0.4095
MEF2C	-0.82325
CBFA2T3	-0.6235
AFF3	3.51978571428571
COG7	0.829333333333333
MYB	1.0205
PLXNA3	0.981
XRCC2	-1.68116666666667
MMS19	-0.52475
ST8SIA5	-1.120625
CHPT1	1.7255
KIAA1712	-0.217125
OR6X1	1.3165
ACTR3	-0.342
UGCG	4.894
OR4P4	0.704
ZAP70	-2.0025
LPP	0.809375
ZNF485	-0.781
PTPRCAP	0.7625
IL12RB1	0.5575
ATRX	0.6896
CHST8	2.27925
C14orf109	0.3465
ARV1	0.53325
NMB	-2.21871428571429
COX5A	-0.221666666666667
EIF6	-0.14525
MPPED2	-1.01783333333333
SEMG1	-0.699
CHRDL1	0.0605
TRAF3IP2	0.4505
WNK2	-1.3355
LILRA4	1.66116666666667
LAMA2	3.45
PXT1	0.7685
RLBP1	-3.0205
CD300C	0.3055
SLTM	0.65125
FLJ10404	-0.74575
APOBEC3D	-0.6525
RENBP	0.304333333333333
ATXN7L1	0.343125
NID1	-1.06075
TUBGCP3	-0.891125
ITIH5	0.432611111111111
CCDC110	2.1445
C8A	-2.6745
MGC87042	-1.3905
HOXC13	-3.19675
TFDP2	-0.917
HCP5	1.448625
POLI	1.04075
UCN	0.3405
ZNF764	1.3375
C8orf45	-0.5425
FHL3	-1.12875
SPATA5L1	-0.59725
MMRN2	2.527
NDST1	0.416166666666667
COL20A1	-0.505333333333334
ZNF248	0.184166666666667
PELP1	-0.5685
MBL2	-3.08733333333333
RNF41	1.11825
C5orf24	0.024125
THOC5	0.715875
SERINC3	0.79825
RP11-151A6.2	0.84425
CDCP2	0.10675
HIST1H2AA	0.3625
C11orf75	-0.681333333333333
FKBP7	-1.9435
DDOST	-0.72825
GPNMB	0.229
TTF2	-1.62816666666667
KCNT1	-0.187166666666667
SLC39A14	-1.94625
NGRN	1.0517
GPR137B	2.93
MECP2	0.396625
PSMA1	-0.01525
C16orf73	-4.995
TMEM60	0.3665
CSN3	-0.288
NOS1	0.432833333333333
RAB7L1	-0.938833333333333
YBX2	0.4625
KIAA1166	-1.1
FUBP3	-1.10466666666667
ABCG1	2.947
ACACA	-0.736166666666667
ARL11	-0.2124
ATOH1	0.475
ODF1	0.121666666666667
CREB3L3	-1.40666666666667
TMEM127	1.42807142857143
DSCAML1	0.171
PLN	0.705
LYPLA1	1.38658333333333
PRDM9	-1.67825
SASP	-1.41975
PLUNC	-0.247666666666667
INTU	0.606
HISPPD1	-0.6045
LNPEP	-0.247333333333333
YARS2	-0.908666666666667
APCDD1L	-1.9975
ZCCHC4	0.3217
FBXO22	-0.8085
TTLL13	0.4945
ZNF669	-0.141666666666667
PTGDR	2.38
DDX27	-0.44775
KIAA0409	-0.1935
GJB6	-0.229
ASB8	1.36525
PLP2	-0.00533333333333333
MEPE	0.211
OR10J5	-0.9175
KRT222P	1.34875
COQ7	0.725666666666667
C1orf101	1.00075
RERG	3.7672
CHMP5	0.984375
THAP11	0.14675
ZNF43	-0.773166666666667
ZRANB3	-1.12683333333333
KRT13	1.972375
MRPL19	-1.12525
RBBP9	0.5335
SPATA17	0.58
BXDC5	0.929666666666667
PAFAH1B1	-0.606333333333334
MAGEE1	1.1525
OSTF1	-0.0405
KIAA0323	0.317666666666667
TXNDC13	0.2045
CNTN4	4.565125
LCE1B	-0.4
UNQ501	0.79525
ZNF154	-0.35575
C3orf64	-0.42125
SYT5	-0.0043
PON1	-0.291333333333333
FLJ10357	-1.533875
ATP4A	-1.1715
GNPDA1	-0.657166666666667
MGAT1	0.101
C14orf121	-0.2545
SLC35B2	-0.753
MIER3	-0.223833333333333
CHEK1	-3.798875
ZNF8	-0.435333333333333
TXNDC1	-1.13816666666667
CKB	-0.4263
RTN3	0.448571428571429
FZD2	-2.71516666666667
PART1	-0.089625
PSMB6	-0.7655
PCDHB8	-1.146
PHC3	0.8017
PPP1R8	0.2285
NOVA2	0.602666666666667
TNFRSF11B	-5.429125
GOLPH3	0.236
UBLCP1	-0.72775
SUHW3	-1.24875
TTLL1	1.89925
OPN4	0.2105
OR13G1	0.2935
ZPBP2	-0.2068
HSD17B11	-2.436125
C9orf50	0.3045
DHDDS	0.257071428571429
CTSW	2.1169
NEFM	-3.21116666666667
MRPL28	-0.471
SYN1	0.471833333333333
PIGV	0.617
ZIM2	-1.3325
APBB1	0.864833333333333
SND1	-0.82475
C1orf123	-0.264333333333333
CHD3	0.117
BHLHB8	0.36925
RNASE2	-0.247833333333333
BCAP31	0.386
SLC25A44	0.566166666666667
CHD6	1.3112
PIB5PA	3.21107692307692
SELS	0.896625
LOC541471	-2.179875
FAT2	-1.061
ZNF81	0.599
OR4C16	0.5875
FLJ10081	0.782
LRRC4	-0.90225
CS	-0.593666666666667
N4BP2	0.542875
IGFBP7	0.32025
ZNF318	0.12975
NDNL2	0.1375
ZNF609	1.121625
SIRT4	-1.02675
EXOSC10	-0.29975
ECE2	0.0791666666666667
OVGP1	2.91425
GTPBP3	0.01225
PACS2	0.3905
C19orf36	0.645333333333333
ARL4C	-1.690375
ATG4B	0.25825
UBQLNL	3.37725
RHOXF2B	-3.4945
PLEKHG2	-1.6225
GALR1	-0.39
AQP4	0.5095
HDAC7A	0.650333333333333
DCUN1D3	0.20625
OR8A1	0.1595
CCRN4L	-0.277125
CBR4	-0.634666666666667
KIFC1	-2.07833333333333
SLC7A14	-1.12016666666667
LHX5	0.109
TRPC7	-0.342
LPXN	-0.58325
SERPINA1	-2.327125
RPS13	-0.3614
BPIL3	-0.929
PRKAA1	-2.33175
FADS2	-1.8562
ENAH	0.6635
PRO1768	-0.7015
APBA2BP	2.14975
LIPH	0.9845
C3orf33	0.92175
RCC2	-0.165285714285714
ALDH1A2	-3.1658
RNF103	2.48275
AHCY	-0.623875
ALG12	1.266
CCL17	0.919
ZNF543	0.56
ESRRG	1.562
CNGA1	-0.32875
RDH5	-0.723166666666667
OTX1	-0.4284
PTGFR	-1.358
CDR2	-0.251375
SELE	2.10425
NLGN2	-0.8085
EXOSC9	-0.75525
ZNF566	-0.0116666666666667
KLRC2	-3.3865
GPR12	0.898
KIAA0196	2.18725
PDRG1	0.687
SSR3	-0.498571428571429
MSI1	-0.2905
CST9	3.43
CC2D1A	0.224375
PLAGL1	-1.12138888888889
ZNF778	-0.9495
RNF2	0.178625
KLF6	0.609833333333333
THBD	-0.292
tcag7.1314	2.23275
NR5A1	0.0473333333333333
ABCD2	0.46225
DNAJC7	-0.96775
CLEC4C	0.3285
TM2D3	0.822
CCDC4	-1.114
PLAC2	-3.4995
DCD	0.042
FAAH	2.30425
POLA1	-0.07
TM7SF2	0.122375
FLJ39822	-1.321
FLOT2	0.480625
MAP4K1	-0.0178333333333333
SRP68	0.796
C21orf74	0.328
ARPC5	0.1085
LOC126075	1.80875
HECW2	-0.82875
ZDHHC4	-0.7485
ANKRD42	1.1794
PDE9A	-1.7125
ABCA8	0.4745
NDUFS2	0.53425
UBR5	0.381
BTBD16	-3.43075
LOC554174	0.308
ZNF20	0.9945
KIAA1843	-0.1795
WDR17	-0.01225
C15orf33	0.4275
RNF113A	-0.048
CAMKK1	-0.4703
CLCN2	-0.22825
ANXA6	0.311
LOC340069	-0.3965
EMID1	0.5875
DPM3	0.0883333333333333
ELA1	0.3565
SLC25A13	-1.454
KRT24	0.9625
SMPD1	0.209166666666667
TH	0.18925
COL6A2	-0.801142857142857
ANKS1B	1.35375
GPR126	-2.5319
ZC3H12A	0.949333333333333
TMEM47	-1.19483333333333
C2orf51	-0.157833333333333
C1orf88	2.79566666666667
HSF2BP	0.58225
AKAP10	0.6275
RPAP3	-0.7635
KLHDC8B	1.27425
STOM	-0.3458
MUPCDH	-0.013875
C10orf72	-0.42575
PLEKHA3	1.00575
TCP11L1	-0.66375
CWF19L1	-0.219125
SPEF1	1.80023076923077
YSK4	-0.4615
ELN	0.5733
SAMD8	1.23516666666667
MPI	-0.638833333333333
MEPCE	0.2228
ABCC3	-2.58775
NANOGP1	-5.8825
KCNK17	-0.08225
HLA-DMB	4.14133333333333
RRAGA	0.66325
ANGEL1	-0.50525
RBM32B	-0.198
CPN1	-3.49175
MGC52282	-0.3582
HLA-A	0.904333333333334
OR9G4	0.302
EDNRB	-2.079375
SCD	0.169
C14orf80	-0.171166666666667
BAGE2	1.1455
RABL4	2.13683333333333
RCVRN	0.027
SHANK1	-0.3
NLRP7	-1.633
CD226	1.59225
STAT3	-0.2188125
SYNJ2	0.2532
TPCN2	-1.57133333333333
WDR36	-1.48991666666667
MBD4	0.24025
ROBO1	-1.6229
ST3GAL6	-3.494
SLAMF8	3.92133333333333
ATN1	0.548333333333333
GPR141	0.05175
KRT36	0.115
TPH1	-1.677
DDX52	-0.88425
ZSCAN29	0.268666666666667
TRPT1	-0.993166666666667
DPEP3	0.72925
DENND4A	0.10575
TSPAN16	-0.8415
PTCHD2	0.2225
LOC145814	-0.2075
CAP1	0.015
EIF5A2	-2.4813
NT5DC3	-1.089
SEPT9	0.349625
SEZ6L2	-0.013375
EGFLAM	2.10625
VPS11	0.460125
NDUFB5	-0.0736666666666667
CIDEA	1.8265
IER5L	1.0365
N6AMT1	0.3355
FAM83C	-0.601
OXR1	1.66216666666667
IRX1	-0.3625
DGKB	-0.599833333333333
GCN5L2	-1.231
MIR16	0.8325
FBXW9	0.57675
WDR4	-0.737666666666667
PDC	-0.3685
VPS33B	0.0575
HEXB	-0.83175
FLJ32214	0.23225
TCEB3	-0.45
CRLF1	-4.03925
ABI3BP	0.8115
C8orf22	-4.21175
PYCR1	-0.496625
KIAA1706	-0.1555
CDK5R2	0.390625
WAS	0.557
C12orf60	0.0625
CCBL2	0.293
MADD	0.841
C5orf34	-1.76425
WDR42A	1.2377
KLF12	-0.4855
HSPA1A	2.553
ITM2C	-1.66566666666667
DAPK2	2.79166666666667
LOC442590	0.7855
SUMF2	-0.04325
CENPA	-2.22753846153846
TMED5	-0.351375
CDH6	-1.8044
BRP44	1.0305
THG1L	-1.88025
GABRA2	-0.333
C14orf166	-1.16
MYL1	-1.03816666666667
TNFSF18	0.1665
PAP2D	-1.99566666666667
PPIB	-0.8725
KLHL4	-0.78325
SFN	0.217166666666667
CCDC127	0.23375
FRAP1	0.1005
GOLGA5	0.2625
SDCCAG1	-0.244375
MGC21675	0.299666666666667
C10orf95	-0.08
KIAA1345	-0.267166666666667
C1orf163	-1.239
LACE1	-1.08866666666667
OR10K2	0.08
CENPN	-2.33048
TMED2	0.07425
UGT1A6	-1.3565
ANG	-2.42325
U2AF1	-0.435666666666667
CASC2	0.534666666666667
NMT2	-2.26983333333333
OSGEPL1	0.232125
DFNB31	0.0345
SLC6A20	-0.473375
DKC1	-0.4285
FXYD4	-0.562
WDR64	-0.83025
MGC5590	0.16
CREBZF	-0.156166666666667
DAZ1	-0.378
PRPSAP1	1.356
GCHFR	-1.14175
TTC7A	-1.453875
LOC196993	0.23375
UBD	2.5295
S100A1	-0.987875
RPL6	-0.3135
DNAJB6	0.8913
NAGS	1.2644
C2orf58	0.283
KERA	0.273666666666667
MT1X	-0.3361
UBE2B	0.5026
KEAP1	0.77725
MST1	-1.32075
OMA1	1.0605
ABLIM2	0.72075
BCL2L13	0.5685
JAZF1	0.215333333333333
TMEM63B	1.3005
S100A8	-1.2862
ARFIP2	2.00025
UROS	0.01925
KHDRBS2	-0.973
POLQ	-2.156125
SOAT1	-2.18375
SPAG4	-1.46775
MRPS30	1.032
LOC494141	-1.05575
OR2T11	0.8425
ORAOV1	-0.5698
ZNF184	-0.576833333333333
TCEB3B	0.5764
ADAM21	-0.101
GDPD1	2.1955
SPINLW1	0.5475
PRR14	0.711
KCTD9	-1.8214
NUDT3	-0.561
KIAA1822	0.1367
HIST1H4K	2.3575
DFNA5	-2.82725
GABPA	0.332
C14orf44	1.209
POLB	-1.205125
PTAR1	-0.61075
SEC31A	0.4457
TRIM58	-2.28025
TAS2R14	0.1075
VPS8	0.976875
H1F0	2.1665
PRKCB1	-1.65783333333333
UGT2A1	0.459
TOR1B	-0.28825
LSS	-0.680583333333333
C2orf19	0.215
HNRNPC	0.1245
TMEM100	-2.40916666666667
LOC116349	0.03425
OR51M1	0.012
CCDC142	-0.39
ISG15	1.2886875
ZCCHC14	-0.10875
CREBL2	1.0175
TGDS	-1.313
DC2	-0.7675
CACNA2D3	-2.0565
ZNF429	-1.217875
LYPD6	2.244
SUCLG1	-0.05
OR51I1	-1.11
MAGEH1	2.33425
PRPF40A	-0.0395
SMR3A	1.1165
SPINK2	-1.641
THAP2	0.893375
NPY5R	-0.98425
IRF4	-0.850625
SPESP1	2.71716666666667
OR10S1	0.608
DTD1	-1.44075
TUBE1	-0.824
DDX19A	-1.4075
PDPN	-3.68725
TMEM34	-0.0428333333333333
MGAM	0.033
COL3A1	4.21266666666667
GFM2	-0.5339
OR5A2	-0.193
PSG9	-1.40066666666667
ARHGEF11	0.523166666666667
IVNS1ABP	-0.9993125
SIGIRR	1.79725
DUSP19	0.159625
DNAJC14	0.4354
ACSS1	1.895
IL1RAPL2	0.8715
C4orf30	0.602
SEPT4	3.81125
LANCL3	-2.88525
SPAG17	0.4296
PRDX3	0.201125
HNF1A	-1.61475
P4HA2	-1.02475
RFWD3	-1.30333333333333
MOV10	0.14825
DNAJA5	0.446785714285714
LOC729440	-0.0435
LOC200383	1.1045
SMC2	-1.8695
MIXL1	-1.208
TMEM9	-0.24375
FAM86A	1.6215
ZNF174	0.8527
MYH14	0.0425
CCR8	0.595
VPS37C	0.796833333333333
GPATCH1	0.332166666666667
B3GNT8	2.4655
TBX4	0.87675
CNR2	0.433166666666667
PCDH1	1.8115
C5orf29	2.213
OCIAD2	1.05025
PLCG2	0.15125
KIAA0247	0.957125
HRH3	0.4329
CAPN13	3.12025
CCR1	-0.4203
MGC15523	-0.208722222222222
UVRAG	-0.185666666666667
DNAJA2	-0.657
ITGA2B	-0.801
CLDN5	2.972625
PTPRN2	-0.560071428571429
ZNF512	-2.3435
PSAP	0.646428571428571
CCDC140	-0.324
LRRC55	-0.117
CYP26C1	-1.419
C8orf47	-0.9645
LYN	-0.206
DUSP6	-2.00716666666667
TGFB3	1.914
ELK1	0.3294
PCDH11Y	-0.711
HGD	-3.87525
C17orf58	3.4145
MYO3A	0.2885
SERPINE2	-5.41433333333333
AARSD1	-1.268125
C14orf73	-0.9315
ADAM33	-0.345
ZNF491	-0.138
MAPK6	-1.64416666666667
TCN1	-1.286
SLC24A6	0.143
UBE2R2	0.4815
H1FNT	0.103
TATDN2	0.633833333333333
LILRB1	1.6845
P2RY5	0.2125
NUCB2	0.14575
C2orf37	0.41425
SNX27	1.14016666666667
MTA3	0.1405
FOXO4	0.173428571428571
ID4	-2.67383333333333
SOX5	0.0285
PXMP3	1.648375
OR52M1	0.1645
SFT2D3	0.51525
INA	-3.33016666666667
MCOLN1	1.43325
NFIX	-0.1312
CLEC14A	4.17316666666667
HIBCH	-0.782166666666667
PLA2G5	0.235
TIMM10	-1.0925
MED17	-0.0528999999999999
COL4A4	-0.457
TPP1	0.609666666666667
GJA3	-1.88566666666667
TMPRSS5	-1.7455
AADACL3	0.7335
DNMBP	-0.68175
ENPP5	3.314
NQO1	-1.067
ZSCAN2	1.074625
SEC24C	-0.221166666666667
GTF2A1L	-1.312
AXIN2	1.1459
FAM33A	-1.6755
C16orf13	0.45025
SPNS2	0.394
TAF1	0.57475
AP1G2	-0.183166666666667
RBM42	-0.116
HCN2	0.120333333333333
EFHB	1.59833333333333
RUSC1	0.6075
GRIK5	0.3435
USP21	0.632
ATAD3C	0.6865
ORMDL2	0.68675
PRSS7	-2.63275
PSAT1	-5.46525
FLJ13195	0.0436666666666667
TBC1D1	-0.905166666666667
IFNG	4.72175
OTOS	-0.151666666666667
ZNF773	-1.85383333333333
EMD	-0.261
RETN	-0.557
CCL8	4.2025
APH1A	-0.422
COX18	0.152125
GTF2IRD2	0.239
CCDC82	-2.39291666666667
PAFAH2	1.3684
NPEPL1	0.0437
RP11-114G1.1	0.421
TP53INP1	3.12825
ZNF300	-1.3
FOXL2	-3.5745
LARP2	0.189916666666667
LATS1	0.44225
HTR6	0.5035
SPOCK2	0.940166666666667
RNF144B	0.803833333333333
HTATIP2	0.117875
MGC10334	0.8125
CENTA2	1.6605
FGF2	-2.06225
FXYD7	0.3865
PHYHIPL	-2.1885
GPR34	4.222
DDX6	0.0906666666666667
OR10W1	-0.019
LHFPL1	1.1235
ZNF313	0.0952142857142857
VPS28	1.779
AP3M1	0.726
AKR1CL2	-0.97425
TRAF4	1.18675
OR2B11	0.5835
C19orf12	0.5965
AKAP9	0.488333333333333
C1orf62	-0.40975
SLC20A1	-0.4879
FAM112A	0.33375
LDB2	-0.632125
MRPS23	1.148
KLK5	0.03725
SPTB	-0.132
EFEMP2	-1.049
EFNB2	0.251625
PCM1	-0.4665
NMNAT3	3.07375
TSG101	1.41916666666667
C8orf40	-0.851833333333333
NOB1	-1.40825
ABHD3	0.23275
GTF3C4	-0.516625
PIGN	0.5995
GALNTL1	0.4385
AEBP1	-0.2685
OR9Q1	0.8885
ANKRD2	-0.28925
CCL28	-3.17025
TRIM38	0.269833333333333
TMCC1	0.663416666666667
SMG5	0.25225
LRRC7	-0.9695
NCAPD2	-1.6495
C6orf153	-0.81875
C1orf74	-0.05825
OTUD6A	0.443
DCP2	-0.836333333333333
TMEM24	0.4455
RPL18	0.1885
TMEM177	-0.25925
LRRC37A3	2.293
C1D	-0.103166666666667
LDHC	0.609
UBE4B	0.464333333333333
NIT1	0.739375
BTN3A3	0.233
RASD1	-1.422
COMMD3	0.63725
SHFM1	-0.3635
BIRC8	0.3905
DUT	0.183
C12orf51	1.3005
LRRC59	-1.16216666666667
LY6H	0.3025
WDR22	0.667583333333333
EDEM1	0.481428571428571
ADH1A	2.5385
PANX2	0.7919
CYP11B1	0.707
CDC73	-1.26475
GPR172A	0.60025
GSTM3	2.44907692307692
KCNA5	-0.152375
SERAC1	0.2575
NFATC2	0.206
ANAPC5	-0.1377
C15orf24	0.316
NFATC2IP	-0.211181818181818
TNRC6C	1.79
MGC102966	-3.114875
FGD5	-0.3945
MED9	-0.57925
RAB13	0.268666666666667
C15orf49	-0.4745
CRYGS	0.3141
C12orf53	-1.2975
LOC283693	0.332
COX6B2	0.289125
PHF14	-0.25625
FAM3A	-0.319375
RPL13	-1.5154
PRDX2	0.0955
FLJ34047	-1.92766666666667
PRMT3	0.0115
KCTD19	-1.663
TRIM10	-0.7365
MGC26597	0.0251666666666667
GCNT4	0.0135
GPRASP1	0.73225
CDKN1C	-2.48672727272727
RHBDL2	0.3519
HSPH1	0.16625
AQP1	2.199
COL17A1	-2.4452
GFAP	0.335
CDC16	-0.5695
KIAA1614	-0.3885
C6orf118	-0.493166666666667
ZSWIM5	0.90475
FAM83F	3.8905
LYNX1	1.002875
SYNPR	-0.0826666666666667
XG	1.936
PRSS16	-2.734875
KIF13B	0.316642857142857
PCDH9	-1.978125
HIST1H2AH	2.98266666666667
RBM18	-0.67375
ZNF626	-0.1065
HEXIM2	0.701833333333333
ITFG1	-0.4275
TUBG2	-0.8855
SFRS7	0.0630833333333334
C9orf14	0.306
EXTL1	1.581
GBP3	2.60116666666667
WDR5	-0.9525
RARG	1.41533333333333
MYO7A	0.1095
CECR6	-0.08575
C13orf3	-2.175125
SFRS18	-0.647125
ACVR1B	0.3905
PSMD1	0.1519
C7orf31	-0.937833333333333
ILVBL	-0.34825
IFNGR1	0.03425
RNF186	0.0685
NOL9	-0.86325
MAGEL2	-1.606
SLC29A2	-0.56075
NHSL1	-2.238
RBMX	-0.962
PSORS1C2	0.233875
RAD51L3	-0.353916666666667
LCN6	0.8325
ORAI2	-0.41625
BRUNOL6	0.0433
OR4K5	0.275
CDC123	-0.606375
MSLN	-2.265
WWTR1	-2.868
ZNF700	-0.00566666666666667
COBL	0.66125
PPP1R16B	0.666
GAS7	-0.5472
MDN1	-0.92625
HAAO	-0.243
C9orf68	1.74025
TNFAIP2	1.220625
FOXN1	0.417
hCG_2033311	-0.265833333333333
ATP6V0D2	-0.567888888888889
RPL41	0.093875
SLC38A1	1.9505
ARHGAP6	-1.67391666666667
ADAD2	-0.80875
PHF20L1	0.4519375
MCM3AP	1.7225
ST3GAL3	-1.10883333333333
SNX1	0.367333333333333
ELF5	2.3775
PARP3	1.111125
RBM8A	-0.4173125
LINGO4	0.1825
ITGA9	2.02166666666667
ZFR	0.11975
ACSL6	-0.441
FLJ20699	-0.415
DAOA	-0.203666666666667
FABP4	3.629
KCNB1	-1.17625
CANX	-0.463
SLC25A28	0.3965
ADIPOR2	0.152625
ECHDC2	2.53625
SMA4	0.53675
FRZB	2.39425
PABPC1	0.0793333333333333
DMRTB1	0.0377142857142857
APOBEC3G	0.4105
CATSPER2	0.0506666666666667
CUEDC1	1.9625
STARD9	-1.57625
CLDN8	2.925625
LOC23117	0.145045454545455
E2F6	-0.0188333333333333
TMEM126B	-1.25233333333333
DPY19L4	0.856
GIMAP5	2.9515
NDUFA9	-0.811166666666667
FAM77C	4.3375
CTPS2	0.35375
LOC51035	-0.53825
WDSOF1	-0.03275
EGLN3	-2.53825
PITX3	0.349
OR52E8	1.6995
GRM4	0.1345
KLK1	-2.51983333333333
GPM6B	-3.194625
RRAGD	-1.433
PAGE5	-0.34825
UCHL5	-2.29466666666667
ULK3	1.0655
AIM2	2.04983333333333
PNO1	-0.758
OR2F2	1.169
GNAT2	-0.5295
SIX1	-3.10175
ST13	1.13441666666667
ZBTB44	0.132875
TIMP2	-0.02875
ZMAT4	-4.07425
GTF2IRD1	0.2425
ZNF19	0.28
ZNF714	-0.98225
RSC1A1	0.4065
C9orf80	0.41
PSMA8	-0.23
TMEM141	0.76675
COX4I1	-0.328214285714286
CTAGE1	0.419
DTWD1	-0.34875
HSD11B1	1.97475
KRT6B	0.321875
ARID4B	1.033
LHFPL3	0.24425
WWP2	0.147
ZNF326	-0.2595
RGPD1	-0.8465
CTSH	1.26683333333333
FASTKD1	-0.682875
PAF1	0.589
TTC9C	-0.69725
IFT57	0.9173
PRSS36	0.2105
IL20RB	-3.338
ZNF592	0.206166666666667
DCTD	-0.4931
CFP	1.99625
MFNG	-0.51425
JMJD2B	0.95
ALDH3B1	-1.235
THSD4	3.63633333333333
KCNJ5	2.395
LMNA	-0.504833333333333
TBCD	0.99025
ZNF250	1.02183333333333
CASQ2	0.77
PEG10	-3.28516666666667
PRAME	-5.0746
NP	-1.02
TRIM59	-0.884166666666667
ZNF12	-0.3455
XTP3TPA	1.07175
SIGLEC7	0.1487
PANK4	0.41575
FAM70A	-2.769
SNED1	-1.28775
HIP1	0.6336
RAET1E	-1.44416666666667
AMAC1L2	-0.311
AHNAK2	-0.979916666666667
TOE1	-0.547166666666667
RECQL4	-0.77575
SPRYD3	1.118
DPAGT1	-0.7775
MAGED2	3.9874
ANKRD55	-0.34475
TRPS1	5.42325
DOK7	-1.195
TFPI2	-7.32
GTF2H3	-0.7345
CYP4F11	-2.24375
LHX2	-4.3945
ATG16L1	1.05033333333333
ASB12	-0.144
C1orf116	-0.328375
NF2	0.1945
POM121	-0.4966
PHYHD1	0.2871
TXNDC17	-0.854666666666667
DKFZp779O175	-0.51225
NUP62	0.016
MYO18B	-0.256166666666667
PRAMEF1	0.1995
TCBA1	-0.435875
TMEM168	1.04825
FJX1	-0.058
CLCF1	-0.4215
SEPN1	1.031625
IGSF2	0.43775
NUDCD1	-0.225
TFF3	1.96966666666667
NDFIP1	0.223785714285714
CHCHD4	0.11225
TNR	0.2445
CUTA	0.313666666666667
USP44	-3.84075
DPP10	1.05183333333333
IWS1	-0.367333333333333
PCGF1	0.596
SULT1C4	0.4085
NTF5	-1.20525
PTPN13	1.88175
SSTR5	-0.016
SFRP1	-3.884375
IDH3B	-0.571
SUOX	1.486
TMCO5	0.233
GOLT1B	-0.51925
MIB1	0.483071428571429
PCDHGB1	0.4735
SUSD1	-0.6775
ICAM5	-3.70216666666667
PAPOLB	-0.83
URM1	-0.1634
TMEM106B	-0.288
LRIG2	-0.91225
SLC27A5	-0.3015
CLIC6	-1.331
ZNF420	0.426
SCN9A	-2.0348
KIAA1909	-1.0925
ELMOD1	-2.00275
PRKAG1	0.4995
FAM64A	-2.01844444444444
EEF1G	-1.34905
SMAD5	0.48675
INCENP	-2.811
WASF2	-0.242
GARS	-0.3273
CDK10	-0.8008
HLX	-1.083
MDM4	-0.609375
ZNRF1	-0.5785
HHATL	-1.82966666666667
FAM21C	0.6981
HIST2H3C	1.3885
PFDN2	-0.019
ZNF200	-0.48675
NDN	-0.802
HBA2	-2.59916666666667
FBLN5	-0.0185
PUM1	0.605214285714286
TNNT1	-0.168666666666667
C19orf59	-0.7985
HNRPH2	0.6065
RAB7A	0.881
PMS2	-0.482125
BIRC3	-0.427166666666667
NRSN2	0.63625
OR52K2	0.459833333333333
SPOCK1	-2.46421428571429
H2AFY	0.4675
RXRB	-0.30975
ZNF638	0.2065
ANKRD45	-0.378
ACTN4	0.0513333333333334
FXC1	0.9405
EIF2B5	0.54275
VPS33A	-0.015
PINK1	0.52625
FAM106A	-0.4035
SKIP	0.5540625
GAPDHS	0.267666666666667
MUM1L1	1.2555
PSTPIP1	1.206
CNTNAP1	-2.1609
CYP26A1	-4.44725
APOL2	0.6183
TACC2	0.535625
COX7A2L	0.2045
HSD17B1	-0.0398125
ARRB2	-0.058
SLC7A6	-0.6267
HSD17B10	-0.03125
RBJ	0.43325
NUP155	-2.22175
MRPL10	-1.01466666666667
CYCS	-0.572583333333333
CCDC46	-1.072
TECTA	-0.1145
GNAL	-1.035
LPO	0.4105
PEBP4	-0.20025
DDX11	-1.70275
C18orf12	0.621
TAF9B	0.464833333333333
IMP4	-0.1835
RPA4	-0.406333333333333
NDUFS1	-0.864
UPK1A	-0.756333333333333
ARRDC2	0.185666666666667
C18orf20	0.498
AES	1.37507142857143
CD2BP2	0.558
C16orf54	0.6595
UGT2B17	-1.951875
FGFR1	-1.04468181818182
CEACAM6	-3.7394
CHRM5	0.281
CERK	-0.23825
AP3S2	0.951285714285714
ANKS4B	-1.4815
CLCNKA	0.286166666666667
ZNF208	-0.278833333333333
HLA-DRB5	4.7495
CARKL	0.2485
GOT1	-0.338333333333333
CASP6	0.40975
HOXA1	-0.531
RCL1	-0.3265
ZNF181	0.790833333333333
RAB40B	2.86
MRPL38	0.883875
LRRN2	1.5595
C3orf25	1.9045
OR5D14	0.37
OR10AG1	-0.129
BET1L	0.7692
FRY	3.78125
AK3L1	-0.84425
CSF3R	0.9855
POLR3K	0.822
ATG2B	0.0635
EPS8	0.377
